panel,seed,stem,length,condition,plddt,self_consistency_rmsd,sequence_excluded,structure_excluded,fine_cluster
36,2786401,proteina-6da7f25b73b70ae1d72d,371,unconditional,90.3446614742279,0.8581680965660167,True,False,
37,2786401,proteina-e883705116665c59a7aa,362,unconditional,85.70002317428589,1.208737842436939,True,False,
38,2786401,proteina-316ea30c3efd0bd1d8b6,266,2.x.x.x,91.27483367919922,0.9757134535205642,True,False,
39,2786401,proteina-216cc2fd41d2a2b22a40,467,1.x.x.x,92.90268421173096,0.76878279968936,True,False,
40,2786401,proteina-a6891e070f0ac952186d,227,unconditional,79.97633814811707,1.4374842371551826,False,False,proteina-a6891e070f0ac952186d
41,2786401,proteina-fd52d7274669cc66ef60,165,unconditional,93.28336715698242,0.9990245178534642,True,False,
42,2786401,proteina-8ebdf85ed0a9248e2dbc,442,3.x.x.x,86.4883542060852,1.083424847147455,True,False,
43,2786401,proteina-f54018841f1684cd3692,182,3.x.x.x,91.22995734214783,0.9527821216195058,False,False,proteina-f54018841f1684cd3692
44,2786401,proteina-33f0efe6b7dbfd49f0f4,187,3.x.x.x,91.63172841072083,0.6472254025575248,False,False,proteina-33f0efe6b7dbfd49f0f4
45,2786401,proteina-f0b264a80f07d3ee6370,500,3.x.x.x,87.18491196632385,1.604751013015714,False,False,proteina-f0b264a80f07d3ee6370
46,2786401,proteina-b3a86882a80c54d610ab,258,unconditional,87.2487485408783,1.101926140814464,True,True,
47,2786401,proteina-108f801d490959ba26c1,240,1.x.x.x,93.05788278579712,1.3624614163943922,True,False,
48,2786401,proteina-f493e51df3d2073e3de2,193,3.x.x.x,90.92403650283813,0.6673055399240313,False,False,proteina-f493e51df3d2073e3de2
49,2786401,proteina-0b57c786bac9cd0fda66,336,3.x.x.x,93.27058792114258,1.0739212556332114,False,False,proteina-0b57c786bac9cd0fda66
50,2786401,proteina-1bf8269348a10dfb28ad,128,1.x.x.x,87.7197265625,0.8592551331666675,False,False,proteina-1bf8269348a10dfb28ad
51,2786401,proteina-eb94069276a289ef1cfe,205,1.x.x.x,90.75375199317932,0.9663689874463801,False,False,proteina-eb94069276a289ef1cfe
52,2786401,proteina-557eca52e1d6832dfc81,161,2.x.x.x,79.80665564537048,1.9746925873053685,False,False,proteina-557eca52e1d6832dfc81
53,2786401,proteina-e6edcb2fc8d7f9ecc074,250,unconditional,90.4375433921814,0.8252168087047009,True,False,
54,2786401,proteina-00472239b527025355b9,346,unconditional,93.89663338661194,1.1908683008850343,True,False,
55,2786401,proteina-06795d05cf5e2648c358,113,2.x.x.x,84.72868204116821,1.2363231923026936,False,False,proteina-06795d05cf5e2648c358
56,2786401,proteina-06acd9bd4e35d7cfbdb1,420,3.x.x.x,87.75073885917664,1.105178202574084,False,False,proteina-06acd9bd4e35d7cfbdb1
57,2786401,proteina-68ec47d24178e65d7053,275,3.x.x.x,84.59228277206421,1.5161766147097564,False,False,proteina-68ec47d24178e65d7053
58,2786401,proteina-5960e233ff3f6654a0d1,92,1.x.x.x,90.62629342079163,1.675978927919646,False,False,proteina-5960e233ff3f6654a0d1
59,2786401,proteina-d19a64e6e975926a8b85,396,1.x.x.x,83.62253904342651,1.221112231493098,True,False,
60,2786401,proteina-ef6adec05c310e18e558,482,1.x.x.x,88.63458633422852,1.5105488536844516,True,False,
61,2786401,proteina-a20e0c620387f302b523,384,2.x.x.x,97.01333045959473,1.600387896098403,True,False,
62,2786401,proteina-e65ff983973db82adb7c,321,1.x.x.x,90.20918011665344,1.2782702912897563,True,False,
63,2786401,proteina-0f3a766b9d6e800501bf,241,3.x.x.x,85.35587191581726,1.7239187810561223,True,False,
64,2786401,proteina-66c45a3d75a676c7cdfa,81,1.x.x.x,88.06126117706299,0.6932348130293589,False,False,proteina-66c45a3d75a676c7cdfa
