dataset,stem,L,range,r_precision,n_true,n_candidate
cameo_hard,9de9_B,81,long,0.5208333333333334,48,1653
cameo_hard,9deb_E,83,all,0.5964912280701754,57,3003
cameo_hard,9deb_E,83,short,0.5714285714285714,7,447
cameo_hard,9deb_E,83,medium,0.5833333333333334,12,786
cameo_hard,9deb_E,83,long,0.631578947368421,38,1770
cameo_hard,9def_A,151,all,0.3652173913043478,115,10585
cameo_hard,9def_A,151,short,0.6818181818181818,22,855
cameo_hard,9def_A,151,medium,0.3888888888888889,18,1602
cameo_hard,9def_A,151,long,0.29333333333333333,75,8128
cameo_hard,9deg_A,157,all,0.3873239436619718,142,11476
cameo_hard,9deg_A,157,short,0.6153846153846154,26,891
cameo_hard,9deg_A,157,medium,0.6086956521739131,23,1674
cameo_hard,9deg_A,157,long,0.3225806451612903,93,8911
cameo_hard,9dl1_D,124,all,0.11764705882352941,34,7021
cameo_hard,9dl1_D,124,short,0.1,10,693
cameo_hard,9dl1_D,124,medium,0.1111111111111111,9,1278
cameo_hard,9dl1_D,124,long,0.2,15,5050
cameo_hard,9emy_B,379,all,0.5206971677559913,459,69751
cameo_hard,9emy_B,379,short,0.5294117647058824,68,2223
cameo_hard,9emy_B,379,medium,0.5584415584415584,77,4338
cameo_hard,9emy_B,379,long,0.5031847133757962,314,63190
cameo_hard,9eqn_A,72,all,0.36363636363636365,33,2211
cameo_hard,9eqn_A,72,short,0.5714285714285714,14,381
cameo_hard,9eqn_A,72,medium,0.3333333333333333,9,654
cameo_hard,9eqn_A,72,long,0.0,10,1176
cameo_hard,9eum_A,176,all,0.5579710144927537,138,14535
cameo_hard,9eum_A,176,short,0.6,20,1005
cameo_hard,9eum_A,176,medium,0.6666666666666666,36,1902
cameo_hard,9eum_A,176,long,0.5,82,11628
cameo_hard,9f4c_A,141,all,0.27692307692307694,65,9180
cameo_hard,9f4c_A,141,short,0.4444444444444444,18,795
cameo_hard,9f4c_A,141,medium,0.6666666666666666,6,1482
cameo_hard,9f4c_A,141,long,0.0975609756097561,41,6903
cameo_hard,9fdg_A,179,all,0.6824324324324325,148,15051
cameo_hard,9fdg_A,179,short,0.7619047619047619,42,1023
cameo_hard,9fdg_A,179,medium,0.7894736842105263,57,1938
cameo_hard,9fdg_A,179,long,0.4489795918367347,49,12090
cameo_hard,9hac_B,127,all,0.36036036036036034,111,7381
cameo_hard,9hac_B,127,short,0.7333333333333333,15,711
cameo_hard,9hac_B,127,medium,0.36,25,1314
cameo_hard,9hac_B,127,long,0.2112676056338028,71,5356
cameo_hard,9had_C,108,all,0.8541666666666666,96,5253
cameo_hard,9had_C,108,short,0.7,10,597
cameo_hard,9had_C,108,medium,0.8095238095238095,21,1086
cameo_hard,9had_C,108,long,0.8769230769230769,65,3570
cameo_hard,9isp_A,156,all,0.15060240963855423,166,11325
cameo_hard,9isp_A,156,short,0.1,20,885
cameo_hard,9isp_A,156,medium,0.0625,16,1662
cameo_hard,9isp_A,156,long,0.2,130,8778
cameo_hard,9j46_F,124,all,0.21052631578947367,95,7021
cameo_hard,9j46_F,124,short,0.25,12,693
cameo_hard,9j46_F,124,medium,0.25,12,1278
cameo_hard,9j46_F,124,long,0.14084507042253522,71,5050
cameo_hard,9j5h_A,35,all,0.4666666666666667,15,435
cameo_hard,9j5h_A,35,short,0.4,5,159
cameo_hard,9j5h_A,35,medium,0.7142857142857143,7,210
cameo_hard,9j5h_A,35,long,0.3333333333333333,3,66
cameo_hard,9k3e_C,116,all,0.1724137931034483,116,6105
cameo_hard,9k3e_C,116,short,0.05263157894736842,19,645
cameo_hard,9k3e_C,116,medium,0.2647058823529412,34,1182
cameo_hard,9k3e_C,116,long,0.09523809523809523,63,4278
casp_fm,T1027-D1,168,all,0.09302325581395349,129,13203
casp_fm,T1027-D1,168,short,0.3181818181818182,22,957
casp_fm,T1027-D1,168,medium,0.18181818181818182,11,1806
casp_fm,T1027-D1,168,long,0.020833333333333332,96,10440
casp_fm,T1029-D1,125,all,0.2826086956521739,92,7140
casp_fm,T1029-D1,125,short,0.5263157894736842,19,699
casp_fm,T1029-D1,125,medium,0.25,32,1290
casp_fm,T1029-D1,125,long,0.04878048780487805,41,5151
casp_fm,T1031-D1,95,all,0.19540229885057472,87,4005
casp_fm,T1031-D1,95,short,0.37037037037037035,27,519
casp_fm,T1031-D1,95,medium,0.14285714285714285,14,930
casp_fm,T1031-D1,95,long,0.043478260869565216,46,2556
casp_fm,T1033-D1,100,all,0.1686746987951807,83,4465
casp_fm,T1033-D1,100,short,0.42857142857142855,7,549
casp_fm,T1033-D1,100,medium,0.1,20,990
casp_fm,T1033-D1,100,long,0.14285714285714285,56,2926
casp_fm,T1035-D1,102,all,0.2,70,4656
casp_fm,T1035-D1,102,short,0.3333333333333333,9,561
casp_fm,T1035-D1,102,medium,0.25,16,1014
casp_fm,T1035-D1,102,long,0.13333333333333333,45,3081
casp_fm,T1037-D1,404,all,0.1330049261083744,406,79401
casp_fm,T1037-D1,404,short,0.26785714285714285,56,2373
casp_fm,T1037-D1,404,medium,0.2222222222222222,81,4638
casp_fm,T1037-D1,404,long,0.05204460966542751,269,72390
casp_fm,T1038-D1,114,all,0.17073170731707318,82,5886
casp_fm,T1038-D1,114,short,0.3333333333333333,15,633
casp_fm,T1038-D1,114,medium,0.16666666666666666,18,1158
casp_fm,T1038-D1,114,long,0.20408163265306123,49,4095
casp_fm,T1038-D2,76,all,0.38333333333333336,60,2485
casp_fm,T1038-D2,76,short,0.5384615384615384,13,405
casp_fm,T1038-D2,76,medium,0.36363636363636365,22,702
casp_fm,T1038-D2,76,long,0.44,25,1378
casp_fm,T1039-D1,161,all,0.13513513513513514,148,12090
casp_fm,T1039-D1,161,short,0.23529411764705882,17,915
casp_fm,T1039-D1,161,medium,0.18181818181818182,22,1722
casp_fm,T1039-D1,161,long,0.12844036697247707,109,9453
casp_fm,T1040-D1,130,all,0.13924050632911392,79,7750
casp_fm,T1040-D1,130,short,0.07692307692307693,13,729
casp_fm,T1040-D1,130,medium,0.18181818181818182,11,1350
casp_fm,T1040-D1,130,long,0.18181818181818182,55,5671
casp_fm,T1041-D1,242,all,0.1232876712328767,219,27966
casp_fm,T1041-D1,242,short,0.2903225806451613,31,1401
casp_fm,T1041-D1,242,medium,0.06451612903225806,31,2694
casp_fm,T1041-D1,242,long,0.09554140127388536,157,23871
casp_fm,T1042-D1,276,all,0.14761904761904762,210,36585
casp_fm,T1042-D1,276,short,0.23529411764705882,34,1605
casp_fm,T1042-D1,276,medium,0.0,29,3102
casp_fm,T1042-D1,276,long,0.11564625850340136,147,31878
casp_fm,T1043-D1,148,all,0.125,128,10153
casp_fm,T1043-D1,148,short,0.25,24,837
casp_fm,T1043-D1,148,medium,0.13043478260869565,23,1566
casp_fm,T1043-D1,148,long,0.037037037037037035,81,7750
casp_fm,T1049-D1,134,all,0.14173228346456693,127,8256
casp_fm,T1049-D1,134,short,0.2,10,753
casp_fm,T1049-D1,134,medium,0.2,25,1398
casp_fm,T1049-D1,134,long,0.10869565217391304,92,6105
casp_fm,T1104-D1,117,all,0.25,96,6216
casp_fm,T1104-D1,117,short,0.5,14,651
casp_fm,T1104-D1,117,medium,0.2857142857142857,14,1194
casp_fm,T1104-D1,117,long,0.17647058823529413,68,4371
casp_fm,T1112-D1,460,all,0.43349753694581283,406,103285
casp_fm,T1112-D1,460,short,0.375,32,2709
casp_fm,T1112-D1,460,medium,0.4166666666666667,48,5310
casp_fm,T1112-D1,460,long,0.4447852760736196,326,95266
casp_fm,T1113-D1,167,all,0.308411214953271,107,13041
casp_fm,T1113-D1,167,short,0.5185185185185185,27,951
casp_fm,T1113-D1,167,medium,0.40625,32,1794
casp_fm,T1113-D1,167,long,0.0625,48,10296
casp_fm,T1120-D1,118,all,0.3230769230769231,65,6328
casp_fm,T1120-D1,118,short,0.5833333333333334,24,657
casp_fm,T1120-D1,118,medium,0.2,10,1206
casp_fm,T1120-D1,118,long,0.16129032258064516,31,4465
casp_fm,T1120-D2,110,all,0.25,64,5460
casp_fm,T1120-D2,110,short,0.3125,16,609
casp_fm,T1120-D2,110,medium,0.2727272727272727,11,1110
casp_fm,T1120-D2,110,long,0.13513513513513514,37,3741
casp_fm,T1121-D1,196,all,0.14743589743589744,156,18145
casp_fm,T1121-D1,196,short,0.2972972972972973,37,1125
casp_fm,T1121-D1,196,medium,0.20689655172413793,29,2142
casp_fm,T1121-D1,196,long,0.03333333333333333,90,14878
casp_fm,T1122-D1,230,all,0.125,152,25200
casp_fm,T1122-D1,230,short,0.2,25,1329
casp_fm,T1122-D1,230,medium,0.2222222222222222,27,2550
casp_fm,T1122-D1,230,long,0.07,100,21321
casp_fm,T1123-D1,214,all,0.11693548387096774,248,21736
casp_fm,T1123-D1,214,short,0.25925925925925924,27,1233
casp_fm,T1123-D1,214,medium,0.08108108108108109,37,2358
casp_fm,T1123-D1,214,long,0.10326086956521739,184,18145
casp_fm,T1125-D1,134,all,0.23655913978494625,93,8256
casp_fm,T1125-D1,134,short,0.4,25,753
casp_fm,T1125-D1,134,medium,0.06666666666666667,15,1398
casp_fm,T1125-D1,134,long,0.1320754716981132,53,6105
casp_fm,T1125-D2,148,all,0.19708029197080293,137,10153
casp_fm,T1125-D2,148,short,0.6111111111111112,18,837
casp_fm,T1125-D2,148,medium,0.2857142857142857,14,1566
casp_fm,T1125-D2,148,long,0.11428571428571428,105,7750
casp_fm,T1125-D4,141,all,0.35106382978723405,94,9180
casp_fm,T1125-D4,141,short,0.7222222222222222,18,795
casp_fm,T1125-D4,141,medium,0.6,15,1482
casp_fm,T1125-D4,141,long,0.2459016393442623,61,6903
casp_fm,T1125-D5,150,all,0.3655913978494624,93,10440
casp_fm,T1125-D5,150,short,0.5,18,849
casp_fm,T1125-D5,150,medium,0.4090909090909091,22,1590
casp_fm,T1125-D5,150,long,0.18867924528301888,53,8001
denovo_pdb,1mj0_A,156,all,0.9345794392523364,107,11325
denovo_pdb,1mj0_A,156,short,1.0,14,885
denovo_pdb,1mj0_A,156,medium,0.9411764705882353,17,1662
denovo_pdb,1mj0_A,156,long,0.9210526315789473,76,8778
denovo_pdb,1qys_A,92,all,0.5921052631578947,76,3741
denovo_pdb,1qys_A,92,short,0.8333333333333334,12,501
denovo_pdb,1qys_A,92,medium,0.6111111111111112,18,894
denovo_pdb,1qys_A,92,long,0.5,46,2346
denovo_pdb,1uw1_A,67,all,0.3392857142857143,56,1891
denovo_pdb,1uw1_A,67,short,0.0,10,351
denovo_pdb,1uw1_A,67,medium,0.5,18,594
denovo_pdb,1uw1_A,67,long,0.32142857142857145,28,946
denovo_pdb,2af5_A,292,all,0.5577689243027888,251,41041
denovo_pdb,2af5_A,292,short,0.6896551724137931,87,1701
denovo_pdb,2af5_A,292,medium,0.5619834710743802,121,3294
denovo_pdb,2af5_A,292,long,0.16279069767441862,43,36046
denovo_pdb,2avp_A,68,all,0.9615384615384616,52,1953
denovo_pdb,2avp_A,68,short,1.0,6,357
denovo_pdb,2avp_A,68,medium,0.9090909090909091,22,606
denovo_pdb,2avp_A,68,long,1.0,24,990
denovo_pdb,2fkg_A,315,all,0.5970695970695971,273,47895
denovo_pdb,2fkg_A,315,short,0.6875,96,1839
denovo_pdb,2fkg_A,315,medium,0.625,128,3570
denovo_pdb,2fkg_A,315,long,0.14285714285714285,49,42486
denovo_pdb,2fo7_A,136,all,0.9203539823008849,113,8515
denovo_pdb,2fo7_A,136,short,1.0,13,765
denovo_pdb,2fo7_A,136,medium,0.9318181818181818,44,1422
denovo_pdb,2fo7_A,136,long,0.9107142857142857,56,6328
denovo_pdb,2hkd_A,315,all,0.5934065934065934,273,47895
denovo_pdb,2hkd_A,315,short,0.6881720430107527,93,1839
denovo_pdb,2hkd_A,315,medium,0.6136363636363636,132,3570
denovo_pdb,2hkd_A,315,long,0.14583333333333334,48,42486
denovo_pdb,2hyz_A,136,all,0.9173553719008265,121,8515
denovo_pdb,2hyz_A,136,short,1.0,14,765
denovo_pdb,2hyz_A,136,medium,0.875,48,1422
denovo_pdb,2hyz_A,136,long,0.9152542372881356,59,6328
denovo_pdb,2i5v_O,246,all,0.48292682926829267,205,28920
denovo_pdb,2i5v_O,246,short,0.45588235294117646,68,1425
denovo_pdb,2i5v_O,246,medium,0.4946236559139785,93,2742
denovo_pdb,2i5v_O,246,long,0.11363636363636363,44,24753
denovo_pdb,2i5z_O,246,all,0.445,200,28920
denovo_pdb,2i5z_O,246,short,0.5151515151515151,66,1425
denovo_pdb,2i5z_O,246,medium,0.45263157894736844,95,2742
denovo_pdb,2i5z_O,246,long,0.07692307692307693,39,24753
denovo_pdb,2p05_A,63,all,0.34545454545454546,55,1653
denovo_pdb,2p05_A,63,short,0.1,10,327
denovo_pdb,2p05_A,63,medium,0.5,18,546
denovo_pdb,2p05_A,63,long,0.2962962962962963,27,780
denovo_pdb,2p09_A,69,all,0.3137254901960784,51,2016
denovo_pdb,2p09_A,69,short,0.0,8,363
denovo_pdb,2p09_A,69,medium,0.5294117647058824,17,618
denovo_pdb,2p09_A,69,long,0.3076923076923077,26,1035
denovo_pdb,2qyj_A,154,all,0.9159663865546218,119,11026
denovo_pdb,2qyj_A,154,short,1.0,16,873
denovo_pdb,2qyj_A,154,medium,0.95,20,1638
denovo_pdb,2qyj_A,154,long,0.891566265060241,83,8515
denovo_pdb,2wqh_A,104,all,0.9540229885057471,87,4851
denovo_pdb,2wqh_A,104,short,1.0,11,573
denovo_pdb,2wqh_A,104,medium,0.9393939393939394,33,1038
denovo_pdb,2wqh_A,104,long,0.9767441860465116,43,3240
denovo_pdb,2xen_A,91,all,0.9333333333333333,60,3655
denovo_pdb,2xen_A,91,short,1.0,8,495
denovo_pdb,2xen_A,91,medium,1.0,13,882
denovo_pdb,2xen_A,91,long,0.8974358974358975,39,2278
denovo_pdb,2zgd_A,97,all,0.7837837837837838,74,4100
denovo_pdb,2zgd_A,97,short,0.8,10,519
denovo_pdb,2zgd_A,97,medium,0.9375,16,930
denovo_pdb,2zgd_A,97,long,0.7083333333333334,48,2651
denovo_pdb,2zgg_A,88,all,0.873015873015873,63,3403
denovo_pdb,2zgg_A,88,short,0.9166666666666666,12,477
denovo_pdb,2zgg_A,88,medium,0.9375,16,846
denovo_pdb,2zgg_A,88,long,0.8857142857142857,35,2080
denovo_pdb,3dgl_A,69,all,0.2641509433962264,53,2016
denovo_pdb,3dgl_A,69,short,0.0,8,363
denovo_pdb,3dgl_A,69,medium,0.4375,16,618
denovo_pdb,3dgl_A,69,long,0.3103448275862069,29,1035
denovo_pdb,3dgm_A,69,all,0.3018867924528302,53,2016
denovo_pdb,3dgm_A,69,short,0.0,9,363
denovo_pdb,3dgm_A,69,medium,0.5,18,618
denovo_pdb,3dgm_A,69,long,0.19230769230769232,26,1035
denovo_pdb,3dgn_A,69,all,0.2857142857142857,49,2016
denovo_pdb,3dgn_A,69,short,0.0,8,363
denovo_pdb,3dgn_A,69,medium,0.5,16,618
denovo_pdb,3dgn_A,69,long,0.24,25,1035
denovo_pdb,3dgo_A,69,all,0.25,52,2016
denovo_pdb,3dgo_A,69,short,0.0,8,363
denovo_pdb,3dgo_A,69,medium,0.47058823529411764,17,618
denovo_pdb,3dgo_A,69,long,0.18518518518518517,27,1035
denovo_pdb,3lt8_A,69,all,0.35714285714285715,56,2016
denovo_pdb,3lt8_A,69,short,0.0,9,363
denovo_pdb,3lt8_A,69,medium,0.4117647058823529,17,618
denovo_pdb,3lt8_A,69,long,0.3,30,1035
denovo_pdb,3lt9_A,69,all,0.32142857142857145,56,2016
denovo_pdb,3lt9_A,69,short,0.1111111111111111,9,363
denovo_pdb,3lt9_A,69,medium,0.47058823529411764,17,618
denovo_pdb,3lt9_A,69,long,0.3,30,1035
denovo_pdb,3lta_A,69,all,0.2830188679245283,53,2016
denovo_pdb,3lta_A,69,short,0.0,8,363
denovo_pdb,3lta_A,69,medium,0.4375,16,618
denovo_pdb,3lta_A,69,long,0.20689655172413793,29,1035
denovo_pdb,3ltb_A,69,all,0.3,50,2016
denovo_pdb,3ltb_A,69,short,0.0,8,363
denovo_pdb,3ltb_A,69,medium,0.5,16,618
denovo_pdb,3ltb_A,69,long,0.15384615384615385,26,1035
denovo_pdb,3ltc_A,69,all,0.3018867924528302,53,2016
denovo_pdb,3ltc_A,69,short,0.0,8,363
denovo_pdb,3ltc_A,69,medium,0.4666666666666667,15,618
denovo_pdb,3ltc_A,69,long,0.26666666666666666,30,1035
denovo_pdb,3ltd_A,69,all,0.2857142857142857,49,2016
denovo_pdb,3ltd_A,69,short,0.0,8,363
denovo_pdb,3ltd_A,69,medium,0.4666666666666667,15,618
denovo_pdb,3ltd_A,69,long,0.19230769230769232,26,1035
denovo_pdb,3o49_A,123,all,0.8656716417910447,134,6903
denovo_pdb,3o49_A,123,short,0.8928571428571429,28,687
denovo_pdb,3o49_A,123,medium,0.8958333333333334,48,1266
denovo_pdb,3o49_A,123,long,0.8620689655172413,58,4950
denovo_pdb,3o4b_A,123,all,0.8620689655172413,145,6903
denovo_pdb,3o4b_A,123,short,0.8709677419354839,31,687
denovo_pdb,3o4b_A,123,medium,0.8723404255319149,47,1266
denovo_pdb,3o4b_A,123,long,0.8805970149253731,67,4950
denovo_pdb,3o4c_A,124,all,0.8591549295774648,142,7021
denovo_pdb,3o4c_A,124,short,0.8387096774193549,31,693
denovo_pdb,3o4c_A,124,medium,0.8936170212765957,47,1278
denovo_pdb,3o4c_A,124,long,0.859375,64,5050
denovo_pdb,3o4d_A,123,all,0.8783783783783784,148,6903
denovo_pdb,3o4d_A,123,short,0.8387096774193549,31,687
denovo_pdb,3o4d_A,123,medium,0.875,48,1266
denovo_pdb,3o4d_A,123,long,0.8985507246376812,69,4950
denovo_pdb,3og3_A,242,all,0.7532467532467533,231,27966
denovo_pdb,3og3_A,242,short,0.6756756756756757,37,1401
denovo_pdb,3og3_A,242,medium,0.71875,32,2694
denovo_pdb,3og3_A,242,long,0.7839506172839507,162,23871
denovo_pdb,3p6i_A,127,all,0.7777777777777778,153,7381
denovo_pdb,3p6i_A,127,short,0.90625,32,711
denovo_pdb,3p6i_A,127,medium,0.8863636363636364,44,1314
denovo_pdb,3p6i_A,127,long,0.7922077922077922,77,5356
denovo_pdb,3p6j_A,125,all,0.75177304964539,141,7140
denovo_pdb,3p6j_A,125,short,0.8888888888888888,36,699
denovo_pdb,3p6j_A,125,medium,0.8372093023255814,43,1290
denovo_pdb,3p6j_A,125,long,0.6612903225806451,62,5151
denovo_pdb,3pg0_A,140,all,0.9130434782608695,184,9045
denovo_pdb,3pg0_A,140,short,0.9393939393939394,33,789
denovo_pdb,3pg0_A,140,medium,0.9821428571428571,56,1470
denovo_pdb,3pg0_A,140,long,0.8631578947368421,95,6786
denovo_pdb,3q7w_A,124,all,0.8705035971223022,139,7021
denovo_pdb,3q7w_A,124,short,0.8666666666666667,30,693
denovo_pdb,3q7w_A,124,medium,0.8837209302325582,43,1278
denovo_pdb,3q7w_A,124,long,0.8484848484848485,66,5050
denovo_pdb,3q7x_A,125,all,0.8461538461538461,130,7140
denovo_pdb,3q7x_A,125,short,0.8125,32,699
denovo_pdb,3q7x_A,125,medium,0.8285714285714286,35,1290
denovo_pdb,3q7x_A,125,long,0.873015873015873,63,5151
denovo_pdb,3q7y_A,124,all,0.8686131386861314,137,7021
denovo_pdb,3q7y_A,124,short,0.8787878787878788,33,693
denovo_pdb,3q7y_A,124,medium,0.9166666666666666,48,1278
denovo_pdb,3q7y_A,124,long,0.875,56,5050
denovo_pdb,3qa9_A,142,all,0.7430555555555556,144,9316
denovo_pdb,3qa9_A,142,short,0.7857142857142857,14,801
denovo_pdb,3qa9_A,142,medium,0.7272727272727273,33,1494
denovo_pdb,3qa9_A,142,long,0.7628865979381443,97,7021
denovo_pdb,3rfn_A,151,all,0.6896551724137931,145,10585
denovo_pdb,3rfn_A,151,short,0.5714285714285714,14,855
denovo_pdb,3rfn_A,151,medium,0.6296296296296297,27,1602
denovo_pdb,3rfn_A,151,long,0.7115384615384616,104,8128
denovo_pdb,3teu_A,98,all,0.8378378378378378,74,4278
denovo_pdb,3teu_A,98,short,0.9,10,537
denovo_pdb,3teu_A,98,medium,0.88,25,966
denovo_pdb,3teu_A,98,long,0.8205128205128205,39,2775
denovo_pdb,3v1a_A,48,all,0.8333333333333334,24,903
denovo_pdb,3v1a_A,48,short,0.75,4,237
denovo_pdb,3v1a_A,48,medium,0.8888888888888888,9,366
denovo_pdb,3v1a_A,48,long,0.8181818181818182,11,300
denovo_pdb,3v45_A,166,all,0.7380952380952381,126,12880
denovo_pdb,3v45_A,166,short,0.6666666666666666,9,945
denovo_pdb,3v45_A,166,medium,0.6,15,1782
denovo_pdb,3v45_A,166,long,0.7549019607843137,102,10153
denovo_pdb,3ww9_A,251,all,0.8755364806866953,233,30135
denovo_pdb,3ww9_A,251,short,0.9814814814814815,54,1455
denovo_pdb,3ww9_A,251,medium,0.84,75,2802
denovo_pdb,3ww9_A,251,long,0.8557692307692307,104,25878
denovo_pdb,3wwa_A,251,all,0.8634361233480177,227,30135
denovo_pdb,3wwa_A,251,short,0.9615384615384616,52,1455
denovo_pdb,3wwa_A,251,medium,0.7727272727272727,66,2802
denovo_pdb,3wwa_A,251,long,0.8623853211009175,109,25878
denovo_pdb,4a29_A,247,all,0.5880281690140845,284,29161
denovo_pdb,4a29_A,247,short,0.7096774193548387,31,1431
denovo_pdb,4a29_A,247,medium,0.7,50,2754
denovo_pdb,4a29_A,247,long,0.541871921182266,203,24976
denovo_pdb,4d8h_A,124,all,0.3968253968253968,126,7021
denovo_pdb,4d8h_A,124,short,0.5714285714285714,28,693
denovo_pdb,4d8h_A,124,medium,0.3333333333333333,42,1278
denovo_pdb,4d8h_A,124,long,0.4107142857142857,56,5050
denovo_pdb,4db6_A,197,all,0.8525641025641025,156,18336
denovo_pdb,4db6_A,197,short,0.9444444444444444,18,1131
denovo_pdb,4db6_A,197,medium,0.8076923076923077,26,2154
denovo_pdb,4db6_A,197,long,0.8482142857142857,112,15051
denovo_pdb,4drt_A,352,all,0.7066246056782335,317,60031
denovo_pdb,4drt_A,352,short,0.75,44,2061
denovo_pdb,4drt_A,352,medium,0.75,56,4014
denovo_pdb,4drt_A,352,long,0.6774193548387096,217,53956
denovo_pdb,4dui_A,165,all,0.9174311926605505,109,12566
denovo_pdb,4dui_A,165,short,0.8333333333333334,18,927
denovo_pdb,4dui_A,165,medium,0.8823529411764706,17,1746
denovo_pdb,4dui_A,165,long,0.918918918918919,74,9893
denovo_pdb,4ess_A,158,all,0.7903225806451613,124,11628
denovo_pdb,4ess_A,158,short,0.9090909090909091,11,897
denovo_pdb,4ess_A,158,medium,0.6470588235294118,17,1686
denovo_pdb,4ess_A,158,long,0.7916666666666666,96,9045
denovo_pdb,4etj_A,164,all,0.7610619469026548,113,12561
denovo_pdb,4etj_A,164,short,0.7692307692307693,13,933
denovo_pdb,4etj_A,164,medium,0.7272727272727273,11,1758
denovo_pdb,4etj_A,164,long,0.7528089887640449,89,9870
denovo_pdb,4gvw_A,192,all,0.7914110429447853,163,17391
denovo_pdb,4gvw_A,192,short,0.7727272727272727,22,1101
denovo_pdb,4gvw_A,192,medium,0.7083333333333334,24,2094
denovo_pdb,4gvw_A,192,long,0.7948717948717948,117,14196
denovo_pdb,4hxt_A,247,all,0.8442211055276382,199,29161
denovo_pdb,4hxt_A,247,short,0.7058823529411765,17,1431
denovo_pdb,4hxt_A,247,medium,0.9142857142857143,35,2754
denovo_pdb,4hxt_A,247,long,0.8367346938775511,147,24976
denovo_pdb,4ijb_A,244,all,0.5738396624472574,237,28441
