dataset,stem,n_hits,best_fident,length,fold_verdict,seq_leakage,neff_tier,msa_neff
denovo_pdb,6xi6_A,0,0.0,269,same_fold,novel_seq,low,7.0
denovo_pdb,6xt4_A,0,0.0,235,same_fold,novel_seq,low,8.0
denovo_pdb,7ah0_A,0,0.0,104,redundant,novel_seq,orphan,1.0
denovo_pdb,7hiy_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hiz_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hj0_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hj1_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hj2_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hj3_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hj4_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hj5_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hj6_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hj7_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hj8_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hj9_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hja_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjb_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjc_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjd_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hje_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjf_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjg_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjh_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hji_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjj_A,0,0.0,126,same_fold,novel_seq,low,3.0
denovo_pdb,7hjk_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjl_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjm_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjn_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjo_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjp_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjq_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjr_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjs_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjt_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hju_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjv_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjw_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjx_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjy_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hjz_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hk0_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hk1_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hk2_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hk3_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7hk4_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,7jrq_A,0,0.0,127,same_fold,novel_seq,low,2.0
denovo_pdb,7rmx_A,0,0.0,229,same_fold,novel_seq,low,4.3333
denovo_pdb,7sq3_A,0,0.0,146,novel_fold,novel_seq,low,2.0
denovo_pdb,7sq4_A,0,0.0,48,same_fold,novel_seq,orphan,1.0
denovo_pdb,7sq5_A,0,0.0,140,same_fold,novel_seq,orphan,1.0
denovo_pdb,7tjl_A,0,0.0,85,same_fold,novel_seq,orphan,1.0
denovo_pdb,7ur7_A,0,0.0,63,same_fold,novel_seq,orphan,1.0
denovo_pdb,8ah9_A,0,0.0,115,same_fold,novel_seq,low,4.6667
denovo_pdb,8bcs_A,0,0.0,49,redundant,novel_seq,orphan,1.0
denovo_pdb,8d9p_A,0,0.0,195,same_fold,novel_seq,deep,124.9429
denovo_pdb,8etq_A,0,0.0,277,novel_fold,novel_seq,orphan,1.0
denovo_pdb,8fjf_A,0,0.0,127,novel_fold,novel_seq,orphan,1.0
denovo_pdb,8g9j_A,0,0.0,201,same_fold,novel_seq,orphan,1.0
denovo_pdb,8ju8_A,0,0.0,139,same_fold,novel_seq,orphan,1.0
denovo_pdb,8k7z_A,0,0.0,172,same_fold,novel_seq,orphan,1.0
denovo_pdb,8k8g_A,0,0.0,209,novel_fold,novel_seq,orphan,1.0
denovo_pdb,8k8i_A,0,0.0,211,same_fold,novel_seq,orphan,1.0
denovo_pdb,8kck_A,0,0.0,206,novel_fold,novel_seq,orphan,1.0
denovo_pdb,8oys_A,0,0.0,190,same_fold,novel_seq,orphan,1.0
denovo_pdb,8qad_A,0,0.0,145,same_fold,novel_seq,orphan,1.0
denovo_pdb,8qkd_A,0,0.0,281,same_fold,novel_seq,orphan,1.0
denovo_pdb,8tnm_A,0,0.0,136,same_fold,novel_seq,orphan,1.0
denovo_pdb,8w97_A,0,0.0,135,same_fold,novel_seq,orphan,1.0
denovo_pdb,9bk7_A,0,0.0,102,same_fold,novel_seq,orphan,1.0
denovo_pdb,9d01_A,0,0.0,369,same_fold,novel_seq,orphan,1.0
denovo_pdb,9dbu_A,0,0.0,106,same_fold,novel_seq,orphan,1.0
denovo_pdb,9dbv_A,0,0.0,107,same_fold,novel_seq,orphan,1.0
denovo_pdb,9dbw_A,0,0.0,107,same_fold,novel_seq,orphan,1.0
denovo_pdb,9dcx_A,0,0.0,257,novel_fold,novel_seq,low,3.0
denovo_pdb,9dd2_A,0,0.0,258,novel_fold,novel_seq,low,5.0
denovo_pdb,9de4_A,0,0.0,106,same_fold,novel_seq,orphan,1.0
denovo_pdb,9dea_A,0,0.0,79,same_fold,novel_seq,orphan,1.0
denovo_pdb,9dw2_A,0,0.0,126,redundant,novel_seq,low,3.0
denovo_pdb,9gvf_A,0,0.0,211,same_fold,novel_seq,low,2.0
denovo_pdb,9h10_A,0,0.0,208,novel_fold,novel_seq,orphan,1.0
denovo_pdb,9h3c_A,0,0.0,212,same_fold,novel_seq,low,2.0
denovo_pdb,9h4c_A,0,0.0,106,same_fold,novel_seq,orphan,1.0
denovo_pdb,9hnh_A,0,0.0,151,same_fold,novel_seq,orphan,1.0
denovo_pdb,9kgz_A,0,0.0,125,same_fold,novel_seq,orphan,1.0
denovo_pdb,9lni_A,0,0.0,212,same_fold,novel_seq,orphan,1.0
denovo_pdb,9lns_A,0,0.0,64,redundant,novel_seq,orphan,1.0
denovo_pdb,9r1j_A,0,0.0,132,same_fold,novel_seq,orphan,1.0
denovo_pdb,9r1k_A,0,0.0,126,redundant,novel_seq,orphan,1.0
denovo_pdb,9r1l_A,0,0.0,133,same_fold,novel_seq,orphan,1.0
denovo_pdb,9r1m_A,0,0.0,129,same_fold,novel_seq,orphan,1.0
denovo_pdb,9r1n_A,0,0.0,132,same_fold,novel_seq,orphan,1.0
denovo_pdb,9r7f_A,0,0.0,202,novel_fold,novel_seq,orphan,1.0
denovo_pdb,9raa_A,0,0.0,208,novel_fold,novel_seq,orphan,1.0
denovo_pdb,9raq_A,0,0.0,208,same_fold,novel_seq,orphan,1.0
denovo_pdb,9rar_A,0,0.0,208,same_fold,novel_seq,orphan,1.0
denovo_pdb,9rb0_A,0,0.0,208,novel_fold,novel_seq,orphan,1.0
denovo_pdb,9rbe_A,0,0.0,208,same_fold,novel_seq,orphan,1.0
denovo_pdb,9tas_A,0,0.0,126,redundant,novel_seq,orphan,1.0
denovo_pdb,9tau_A,0,0.0,120,redundant,novel_seq,low,3.0
denovo_pdb,9ugr_A,0,0.0,181,same_fold,novel_seq,orphan,1.0
denovo_pdb,9v3a_A,0,0.0,120,same_fold,novel_seq,orphan,1.0
denovo_pdb,9v4l_A,0,0.0,68,redundant,novel_seq,orphan,1.0
denovo_pdb,9x1w_A,0,0.0,88,same_fold,novel_seq,orphan,1.0
denovo_pdb,9x1x_A,0,0.0,90,same_fold,novel_seq,orphan,1.0
foldbench100,7xp9_A,0,0.0,84,,,,
foldbench100,7zu3_A,0,0.0,132,,,,
foldbench100,8ah9_A,0,0.0,120,,,,
foldbench100,8eb9_A,0,0.0,95,,,,
