key,dataset,stem,n_alignments,n_rows_dropped
foldbench100__7y5m_A,foldbench100,7y5m_A,2103,30
foldbench100__7y5r_A,foldbench100,7y5r_A,4210,637
foldbench100__7y8h_A,foldbench100,7y8h_A,7679,980
foldbench100__7y8i_A,foldbench100,7y8i_A,1436,108
foldbench100__7y5j_A,foldbench100,7y5j_A,11258,1962
foldbench100__7yd4_A,foldbench100,7yd4_A,222,4
foldbench100__7yhr_A,foldbench100,7yhr_A,182,114
foldbench100__7ykm_A,foldbench100,7ykm_A,2357,1128
foldbench100__7ylr_A,foldbench100,7ylr_A,7676,1595
foldbench100__8gmy_A,foldbench100,8gmy_A,1724,66
foldbench100__7yug_A,foldbench100,7yug_A,649,4
foldbench100__7yyg_A,foldbench100,7yyg_A,970,105
foldbench100__7z65_A,foldbench100,7z65_A,1990,151
foldbench100__7znz_A,foldbench100,7znz_A,4738,2716
foldbench100__7zoi_A,foldbench100,7zoi_A,3694,508
foldbench100__7zs2_A,foldbench100,7zs2_A,8031,3617
foldbench100__7zu3_A,foldbench100,7zu3_A,300,0
foldbench100__7zv1_A,foldbench100,7zv1_A,413,0
foldbench100__8adc_A,foldbench100,8adc_A,3258,33
foldbench100__8add_A,foldbench100,8add_A,509,39
foldbench100__8ah9_A,foldbench100,8ah9_A,276,4
foldbench100__8akh_A,foldbench100,8akh_A,13931,5181
foldbench100__8ak2_A,foldbench100,8ak2_A,30431,11414
foldbench100__8arl_A,foldbench100,8arl_A,139,62
foldbench100__8q8i_A,foldbench100,8q8i_A,5728,2250
foldbench100__8au6_A,foldbench100,8au6_A,553,265
foldbench100__8axj_A,foldbench100,8axj_A,8123,834
foldbench100__8azb_A,foldbench100,8azb_A,36163,22643
foldbench100__8b2e_A,foldbench100,8b2e_A,494,185
foldbench100__8b2g_A,foldbench100,8b2g_A,3032,700
foldbench100__8b2s_A,foldbench100,8b2s_A,4276,1486
foldbench100__8b4u_A,foldbench100,8b4u_A,85972,16622
foldbench100__8b5w_A,foldbench100,8b5w_A,356,30
foldbench100__8b61_A,foldbench100,8b61_A,2026,168
foldbench100__8b6a_A,foldbench100,8b6a_A,2331,540
foldbench100__8b6e_A,foldbench100,8b6e_A,872,237
foldbench100__8baq_A,foldbench100,8baq_A,1767,792
foldbench100__8bau_A,foldbench100,8bau_A,1584,531
foldbench100__8bfy_A,foldbench100,8bfy_A,9526,1632
foldbench100__8bgb_A,foldbench100,8bgb_A,1259,223
foldbench100__8bke_A,foldbench100,8bke_A,739,31
foldbench100__8bsb_A,foldbench100,8bsb_A,616,5
foldbench100__8bux_A,foldbench100,8bux_A,318,0
foldbench100__8c4d_A,foldbench100,8c4d_A,1609,149
foldbench100__7xlz_A,foldbench100,7xlz_A,2232,1298
foldbench100__8c4y_A,foldbench100,8c4y_A,3009,1116
foldbench100__8cba_A,foldbench100,8cba_A,988,4
foldbench100__8ci9_A,foldbench100,8ci9_A,2562,538
foldbench100__8cih_A,foldbench100,8cih_A,331,113
foldbench100__8amo_A,foldbench100,8amo_A,9892,3872
foldbench100__8cpk_A,foldbench100,8cpk_A,12161,3322
foldbench100__8cpn_A,foldbench100,8cpn_A,691,33
foldbench100__8d2z_A,foldbench100,8d2z_A,9976,4763
foldbench100__8daj_A,foldbench100,8daj_A,18913,5172
foldbench100__8dez_A,foldbench100,8dez_A,1294,119
foldbench100__8dge_A,foldbench100,8dge_A,6920,2658
foldbench100__8dhj_A,foldbench100,8dhj_A,9590,5874
foldbench100__8dmu_A,foldbench100,8dmu_A,721,114
foldbench100__8dp9_A,foldbench100,8dp9_A,2431,20
foldbench100__8dqd_A,foldbench100,8dqd_A,112846,50980
foldbench100__8dx0_A,foldbench100,8dx0_A,33743,14358
foldbench100__8e0r_A,foldbench100,8e0r_A,420,155
foldbench100__8e5h_A,foldbench100,8e5h_A,3621,1450
foldbench100__8eb9_A,foldbench100,8eb9_A,166,0
foldbench100__8ec3_A,foldbench100,8ec3_A,64,0
foldbench100__8eo5_A,foldbench100,8eo5_A,4160,1850
denovo_pdb__1mj0_A,denovo_pdb,1mj0_A,145430,104112
denovo_pdb__1qys_A,denovo_pdb,1qys_A,193,1
denovo_pdb__1uw1_A,denovo_pdb,1uw1_A,164,1
denovo_pdb__2avp_A,denovo_pdb,2avp_A,356261,246165
denovo_pdb__2fkg_A,denovo_pdb,2fkg_A,38,4
denovo_pdb__2fo7_A,denovo_pdb,2fo7_A,386574,216826
denovo_pdb__2hkd_A,denovo_pdb,2hkd_A,39,4
denovo_pdb__2hyz_A,denovo_pdb,2hyz_A,386574,216826
denovo_pdb__2i5v_O,denovo_pdb,2i5v_O,376,4
denovo_pdb__2i5z_O,denovo_pdb,2i5z_O,55,4
denovo_pdb__2p05_A,denovo_pdb,2p05_A,271,5
denovo_pdb__2p09_A,denovo_pdb,2p09_A,1020,12
denovo_pdb__2qyj_A,denovo_pdb,2qyj_A,135518,104905
denovo_pdb__2wqh_A,denovo_pdb,2wqh_A,319442,177044
denovo_pdb__2xen_A,denovo_pdb,2xen_A,119482,85691
denovo_pdb__2zgd_A,denovo_pdb,2zgd_A,105060,69264
denovo_pdb__2zgg_A,denovo_pdb,2zgg_A,119908,85994
denovo_pdb__3dgl_A,denovo_pdb,3dgl_A,1020,12
denovo_pdb__3dgm_A,denovo_pdb,3dgm_A,1020,12
denovo_pdb__3dgn_A,denovo_pdb,3dgn_A,1020,12
denovo_pdb__3dgo_A,denovo_pdb,3dgo_A,769,7
denovo_pdb__3lt8_A,denovo_pdb,3lt8_A,495,5
denovo_pdb__3lt9_A,denovo_pdb,3lt9_A,495,5
denovo_pdb__3lta_A,denovo_pdb,3lta_A,769,7
denovo_pdb__3ltb_A,denovo_pdb,3ltb_A,1020,12
denovo_pdb__3ltc_A,denovo_pdb,3ltc_A,1020,12
denovo_pdb__3ltd_A,denovo_pdb,3ltd_A,1020,12
denovo_pdb__3o49_A,denovo_pdb,3o49_A,5695,142
denovo_pdb__3o4b_A,denovo_pdb,3o4b_A,11433,258
denovo_pdb__3o4c_A,denovo_pdb,3o4c_A,10386,222
denovo_pdb__3o4d_A,denovo_pdb,3o4d_A,18324,348
denovo_pdb__3p6i_A,denovo_pdb,3p6i_A,13355,187
denovo_pdb__3p6j_A,denovo_pdb,3p6j_A,17835,276
denovo_pdb__3pg0_A,denovo_pdb,3pg0_A,11761,5492
denovo_pdb__3q7w_A,denovo_pdb,3q7w_A,15090,303
denovo_pdb__3q7x_A,denovo_pdb,3q7x_A,16251,316
denovo_pdb__3q7y_A,denovo_pdb,3q7y_A,14164,179
denovo_pdb__3rfn_A,denovo_pdb,3rfn_A,890,121
denovo_pdb__3teu_A,denovo_pdb,3teu_A,8257,1428
denovo_pdb__3v45_A,denovo_pdb,3v45_A,2337,1225
denovo_pdb__3ww9_A,denovo_pdb,3ww9_A,21495,7780
denovo_pdb__3wwa_A,denovo_pdb,3wwa_A,21495,7780
denovo_pdb__4a29_A,denovo_pdb,4a29_A,2788,789
denovo_pdb__4d8h_A,denovo_pdb,4d8h_A,10376,263
denovo_pdb__4db6_A,denovo_pdb,4db6_A,5750,1950
denovo_pdb__4drt_A,denovo_pdb,4drt_A,5938,3527
denovo_pdb__4dui_A,denovo_pdb,4dui_A,137151,97069
denovo_pdb__4etj_A,denovo_pdb,4etj_A,2304,1212
denovo_pdb__4hxt_A,denovo_pdb,4hxt_A,3047,1115
denovo_pdb__4ijb_A,denovo_pdb,4ijb_A,2062,627
denovo_pdb__4j8y_A,denovo_pdb,4j8y_A,144443,101488
denovo_pdb__4lny_A,denovo_pdb,4lny_A,2056,612
denovo_pdb__4lpx_A,denovo_pdb,4lpx_A,11445,1771
denovo_pdb__4lt9_A,denovo_pdb,4lt9_A,1661,610
denovo_pdb__4n6t_A,denovo_pdb,4n6t_A,846,420
denovo_pdb__4n6u_A,denovo_pdb,4n6u_A,846,420
denovo_pdb__4nez_A,denovo_pdb,4nez_A,81,0
denovo_pdb__4oxw_A,denovo_pdb,4oxw_A,3055,1463
denovo_pdb__4oza_A,denovo_pdb,4oza_A,66,2
denovo_pdb__4ozc_A,denovo_pdb,4ozc_A,60,2
denovo_pdb__4pq8_A,denovo_pdb,4pq8_A,38844,20438
denovo_pdb__4psj_A,denovo_pdb,4psj_A,41467,22785
denovo_pdb__4pww_A,denovo_pdb,4pww_A,1085,12
denovo_pdb__4qkr_A,denovo_pdb,4qkr_A,15008,248
denovo_pdb__4qks_A,denovo_pdb,4qks_A,17611,250
denovo_pdb__4r5c_A,denovo_pdb,4r5c_A,55563,30714
denovo_pdb__4r6f_A,denovo_pdb,4r6f_A,55212,24360
denovo_pdb__4u3h_A,denovo_pdb,4u3h_A,50041,16002
denovo_pdb__4uos_A,denovo_pdb,4uos_A,111,11
denovo_pdb__4wpy_A,denovo_pdb,4wpy_A,1278,215
denovo_pdb__4wsp_A,denovo_pdb,4wsp_A,1199,189
denovo_pdb__4yxx_A,denovo_pdb,4yxx_A,35,0
denovo_pdb__4yxz_A,denovo_pdb,4yxz_A,364,6
denovo_pdb__5bvl_A,denovo_pdb,5bvl_A,1049,1
denovo_pdb__5cwb_A,denovo_pdb,5cwb_A,1242,84
denovo_pdb__5cwc_A,denovo_pdb,5cwc_A,145,3
denovo_pdb__5cwd_A,denovo_pdb,5cwd_A,2,0
denovo_pdb__5cwg_A,denovo_pdb,5cwg_A,102,3
denovo_pdb__5cwh_A,denovo_pdb,5cwh_A,41,1
denovo_pdb__5cwi_A,denovo_pdb,5cwi_A,6,0
denovo_pdb__5cwj_A,denovo_pdb,5cwj_A,39,2
denovo_pdb__5cwk_A,denovo_pdb,5cwk_A,12,0
denovo_pdb__5cwm_A,denovo_pdb,5cwm_A,77,9
denovo_pdb__5cwn_A,denovo_pdb,5cwn_A,29,5
denovo_pdb__5cwp_A,denovo_pdb,5cwp_A,67,6
denovo_pdb__5cwq_A,denovo_pdb,5cwq_A,15,5
denovo_pdb__5di5_A,denovo_pdb,5di5_A,20103,13994
denovo_pdb__5dra_A,denovo_pdb,5dra_A,17453,12833
denovo_pdb__5f53_A,denovo_pdb,5f53_A,21877,9027
denovo_pdb__5hrz_A,denovo_pdb,5hrz_A,399763,188492
denovo_pdb__5ieo_A,denovo_pdb,5ieo_A,3877,1205
denovo_pdb__5iep_A,denovo_pdb,5iep_A,7401,1823
denovo_pdb__5j0i_A,denovo_pdb,5j0i_A,31,3
denovo_pdb__5l0p_A,denovo_pdb,5l0p_A,6916,403
denovo_pdb__5l33_A,denovo_pdb,5l33_A,128,1
denovo_pdb__5le4_A,denovo_pdb,5le4_A,142492,92852
denovo_pdb__5le9_A,denovo_pdb,5le9_A,161900,113363
denovo_pdb__5lea_A,denovo_pdb,5lea_A,159079,108192
denovo_pdb__5lw2_A,denovo_pdb,5lw2_A,136820,92907
denovo_pdb__5oos_A,denovo_pdb,5oos_A,149886,105468
denovo_pdb__5oou_A,denovo_pdb,5oou_A,148508,103236
denovo_pdb__5op3_A,denovo_pdb,5op3_A,143832,102831
denovo_pdb__5orm_A,denovo_pdb,5orm_A,22327,10303
denovo_pdb__5trv_A,denovo_pdb,5trv_A,25,2
denovo_pdb__5vjs_A,denovo_pdb,5vjs_A,31,1
denovo_pdb__5vjt_A,denovo_pdb,5vjt_A,31,1
denovo_pdb__5vju_A,denovo_pdb,5vju_A,17,1
denovo_pdb__5vnv_A,denovo_pdb,5vnv_A,1523,416
denovo_pdb__5xg5_A,denovo_pdb,5xg5_A,1916,137
denovo_pdb__5ys7_A,denovo_pdb,5ys7_A,684,5
denovo_pdb__6ais_O,denovo_pdb,6ais_O,61,4
denovo_pdb__6ds9_A,denovo_pdb,6ds9_A,96,1
denovo_pdb__6ee5_A,denovo_pdb,6ee5_A,11360,9374
denovo_pdb__6egc_A,denovo_pdb,6egc_A,677,181
denovo_pdb__6f0s_A,denovo_pdb,6f0s_A,26484,9041
denovo_pdb__6ff6_A,denovo_pdb,6ff6_A,5165,648
denovo_pdb__6fpb_A,denovo_pdb,6fpb_A,146459,105242
denovo_pdb__6g6m_A,denovo_pdb,6g6m_A,46049,26072
denovo_pdb__6g6p_A,denovo_pdb,6g6p_A,54373,24619
denovo_pdb__6i37_A,denovo_pdb,6i37_A,18520,6641
denovo_pdb__6i38_A,denovo_pdb,6i38_A,18888,6753
denovo_pdb__6i39_A,denovo_pdb,6i39_A,18238,6292
denovo_pdb__6i3a_A,denovo_pdb,6i3a_A,17681,6205
denovo_pdb__6ics_O,denovo_pdb,6ics_O,60,4
denovo_pdb__6idc_A,denovo_pdb,6idc_A,70,4
denovo_pdb__6iei_A,denovo_pdb,6iei_A,75,4
denovo_pdb__6jcc_A,denovo_pdb,6jcc_A,751,8
denovo_pdb__6mrr_A,denovo_pdb,6mrr_A,97,0
denovo_pdb__6mrs_A,denovo_pdb,6mrs_A,20,1
denovo_pdb__6n9h_A,denovo_pdb,6n9h_A,45,5
denovo_pdb__6naf_A,denovo_pdb,6naf_A,45,5
denovo_pdb__6nek_A,denovo_pdb,6nek_A,13265,4572
denovo_pdb__6nla_A,denovo_pdb,6nla_A,426,6
denovo_pdb__6qb2_A,denovo_pdb,6qb2_A,322,140
denovo_pdb__6qsd_A,denovo_pdb,6qsd_A,23725,8938
denovo_pdb__6qse_A,denovo_pdb,6qse_A,23214,8799
denovo_pdb__6qsg_A,denovo_pdb,6qsg_A,23214,8799
denovo_pdb__6qsh_A,denovo_pdb,6qsh_A,25431,9146
denovo_pdb__6rej_A,denovo_pdb,6rej_A,25592,9527
denovo_pdb__6rek_A,denovo_pdb,6rek_A,25538,9495
denovo_pdb__6rem_A,denovo_pdb,6rem_A,25538,9495
denovo_pdb__6reo_A,denovo_pdb,6reo_A,26098,9363
denovo_pdb__6rlh_A,denovo_pdb,6rlh_A,26957,9614
denovo_pdb__6rli_A,denovo_pdb,6rli_A,26092,9352
denovo_pdb__6sa6_A,denovo_pdb,6sa6_A,134602,76115
denovo_pdb__6tjg_A,denovo_pdb,6tjg_A,44672,19079
denovo_pdb__6veh_A,denovo_pdb,6veh_A,47292,19504
denovo_pdb__6w3w_A,denovo_pdb,6w3w_A,1635,13
denovo_pdb__6w90_A,denovo_pdb,6w90_A,443,1
denovo_pdb__6wvs_A,denovo_pdb,6wvs_A,2809,3
denovo_pdb__6x9z_A,denovo_pdb,6x9z_A,2343,19
denovo_pdb__6xi6_A,denovo_pdb,6xi6_A,24,2
denovo_pdb__6xt4_A,denovo_pdb,6xt4_A,19,1
denovo_pdb__6y7p_A,denovo_pdb,6y7p_A,46058,26070
denovo_pdb__6ypi_A,denovo_pdb,6ypi_A,225,1
denovo_pdb__6yqx_A,denovo_pdb,6yqx_A,5169,3
denovo_pdb__6yqy_A,denovo_pdb,6yqy_A,1639,1
denovo_pdb__6z2i_A,denovo_pdb,6z2i_A,2547,1
denovo_pdb__7a8s_A,denovo_pdb,7a8s_A,848,0
denovo_pdb__7ah0_A,denovo_pdb,7ah0_A,10,0
denovo_pdb__7awy_A,denovo_pdb,7awy_A,119392,23075
denovo_pdb__7awz_A,denovo_pdb,7awz_A,69833,17100
denovo_pdb__7ax0_A,denovo_pdb,7ax0_A,73006,17328
denovo_pdb__7ax2_A,denovo_pdb,7ax2_A,69818,16741
denovo_pdb__7bid_A,denovo_pdb,7bid_A,45197,22070
denovo_pdb__7dgu_A,denovo_pdb,7dgu_A,141,0
denovo_pdb__7dgw_A,denovo_pdb,7dgw_A,487,7
denovo_pdb__7dgy_A,denovo_pdb,7dgy_A,124,0
denovo_pdb__7dmf_A,denovo_pdb,7dmf_A,135,0
denovo_pdb__7f1h_A,denovo_pdb,7f1h_A,822,234
denovo_pdb__7f1i_A,denovo_pdb,7f1i_A,832,234
denovo_pdb__7f1j_A,denovo_pdb,7f1j_A,825,234
denovo_pdb__7f1k_A,denovo_pdb,7f1k_A,874,234
denovo_pdb__7f1l_A,denovo_pdb,7f1l_A,882,234
denovo_pdb__7hiy_A,denovo_pdb,7hiy_A,260,0
denovo_pdb__7hiz_A,denovo_pdb,7hiz_A,260,0
denovo_pdb__7hj0_A,denovo_pdb,7hj0_A,260,0
denovo_pdb__7hj1_A,denovo_pdb,7hj1_A,260,0
denovo_pdb__7hj2_A,denovo_pdb,7hj2_A,260,0
denovo_pdb__7hj3_A,denovo_pdb,7hj3_A,260,0
denovo_pdb__7hj4_A,denovo_pdb,7hj4_A,260,0
denovo_pdb__7hj5_A,denovo_pdb,7hj5_A,260,0
denovo_pdb__7hj6_A,denovo_pdb,7hj6_A,260,0
denovo_pdb__7hj7_A,denovo_pdb,7hj7_A,260,0
denovo_pdb__7hj8_A,denovo_pdb,7hj8_A,260,0
denovo_pdb__7hj9_A,denovo_pdb,7hj9_A,260,0
denovo_pdb__7hja_A,denovo_pdb,7hja_A,260,0
denovo_pdb__7hjb_A,denovo_pdb,7hjb_A,260,0
denovo_pdb__7hjc_A,denovo_pdb,7hjc_A,260,0
denovo_pdb__7hjd_A,denovo_pdb,7hjd_A,260,0
denovo_pdb__7hje_A,denovo_pdb,7hje_A,260,0
denovo_pdb__7hjf_A,denovo_pdb,7hjf_A,260,0
denovo_pdb__7hjg_A,denovo_pdb,7hjg_A,260,0
denovo_pdb__7hjh_A,denovo_pdb,7hjh_A,260,0
denovo_pdb__7hji_A,denovo_pdb,7hji_A,260,0
denovo_pdb__7hjj_A,denovo_pdb,7hjj_A,260,0
denovo_pdb__7hjk_A,denovo_pdb,7hjk_A,260,0
denovo_pdb__7hjl_A,denovo_pdb,7hjl_A,260,0
denovo_pdb__7hjm_A,denovo_pdb,7hjm_A,260,0
denovo_pdb__7hjn_A,denovo_pdb,7hjn_A,260,0
denovo_pdb__7hjo_A,denovo_pdb,7hjo_A,260,0
denovo_pdb__7hjp_A,denovo_pdb,7hjp_A,260,0
denovo_pdb__7hjq_A,denovo_pdb,7hjq_A,260,0
denovo_pdb__7hjr_A,denovo_pdb,7hjr_A,260,0
denovo_pdb__7hjs_A,denovo_pdb,7hjs_A,260,0
denovo_pdb__7hjt_A,denovo_pdb,7hjt_A,260,0
denovo_pdb__7hju_A,denovo_pdb,7hju_A,260,0
denovo_pdb__7hjv_A,denovo_pdb,7hjv_A,260,0
denovo_pdb__7hjw_A,denovo_pdb,7hjw_A,260,0
denovo_pdb__7hjx_A,denovo_pdb,7hjx_A,260,0
denovo_pdb__7hjy_A,denovo_pdb,7hjy_A,260,0
denovo_pdb__7hjz_A,denovo_pdb,7hjz_A,260,0
denovo_pdb__7hk0_A,denovo_pdb,7hk0_A,260,0
denovo_pdb__7hk1_A,denovo_pdb,7hk1_A,260,0
denovo_pdb__7hk2_A,denovo_pdb,7hk2_A,260,0
denovo_pdb__7hk3_A,denovo_pdb,7hk3_A,260,0
denovo_pdb__7hk4_A,denovo_pdb,7hk4_A,260,0
denovo_pdb__7jrq_A,denovo_pdb,7jrq_A,26,1
denovo_pdb__7kuw_A,denovo_pdb,7kuw_A,68,1
denovo_pdb__7mcc_A,denovo_pdb,7mcc_A,149,2
denovo_pdb__7ocm_A,denovo_pdb,7ocm_A,2582,361
denovo_pdb__7osu_A,denovo_pdb,7osu_A,1240,0
denovo_pdb__7osv_A,denovo_pdb,7osv_A,1835,1
denovo_pdb__7ot7_A,denovo_pdb,7ot7_A,848,0
denovo_pdb__7p12_A,denovo_pdb,7p12_A,4892,2
denovo_pdb__7qnl_AAA,denovo_pdb,7qnl_AAA,154073,107352
denovo_pdb__7rmx_A,denovo_pdb,7rmx_A,200,4
denovo_pdb__7smj_A,denovo_pdb,7smj_A,214,2
denovo_pdb__7sq3_A,denovo_pdb,7sq3_A,16,0
denovo_pdb__7sq4_A,denovo_pdb,7sq4_A,8,0
denovo_pdb__7sq5_A,denovo_pdb,7sq5_A,3,0
denovo_pdb__7tal_A,denovo_pdb,7tal_A,5467,1395
denovo_pdb__7tjl_A,denovo_pdb,7tjl_A,62,0
denovo_pdb__7udo_A,denovo_pdb,7udo_A,295,0
denovo_pdb__7uek_A,denovo_pdb,7uek_A,549,0
denovo_pdb__7ur7_A,denovo_pdb,7ur7_A,339,2
denovo_pdb__7ur8_A,denovo_pdb,7ur8_A,3503,67
denovo_pdb__7vql_A,denovo_pdb,7vql_A,21494,5601
denovo_pdb__7vqv_A,denovo_pdb,7vqv_A,21888,6176
denovo_pdb__7vty_A,denovo_pdb,7vty_A,59,13
denovo_pdb__7vu4_A,denovo_pdb,7vu4_A,25276,5097
denovo_pdb__8a3k_UNK,denovo_pdb,8a3k_UNK,25,0
denovo_pdb__8ah9_A,denovo_pdb,8ah9_A,450,3
denovo_pdb__8bcs_A,denovo_pdb,8bcs_A,3,0
denovo_pdb__8bl3_A,denovo_pdb,8bl3_A,1180,3
denovo_pdb__8bl5_A,denovo_pdb,8bl5_A,5310,543
denovo_pdb__8bl6_A,denovo_pdb,8bl6_A,238,1
denovo_pdb__8bl9_A,denovo_pdb,8bl9_A,5031,511
denovo_pdb__8bu0_A,denovo_pdb,8bu0_A,386574,216826
denovo_pdb__8ch0_A,denovo_pdb,8ch0_A,386574,216826
denovo_pdb__8chy_A,denovo_pdb,8chy_A,382175,221814
denovo_pdb__8cig_A,denovo_pdb,8cig_A,386574,216826
denovo_pdb__8ckr_A,denovo_pdb,8ckr_A,386574,216826
denovo_pdb__8cmq_A,denovo_pdb,8cmq_A,386574,216826
denovo_pdb__8cqq_A,denovo_pdb,8cqq_A,382175,221814
denovo_pdb__8cux_B,denovo_pdb,8cux_B,491,288
denovo_pdb__8d03_A,denovo_pdb,8d03_A,343,1
denovo_pdb__8d05_A,denovo_pdb,8d05_A,1531,28
denovo_pdb__8d9o_A,denovo_pdb,8d9o_A,30,1
denovo_pdb__8d9p_A,denovo_pdb,8d9p_A,31,1
denovo_pdb__8eov_A,denovo_pdb,8eov_A,35,0
denovo_pdb__8eoz_B,denovo_pdb,8eoz_B,671,0
denovo_pdb__8etq_A,denovo_pdb,8etq_A,2,0
denovo_pdb__8fjf_A,denovo_pdb,8fjf_A,226,1
denovo_pdb__8fjg_A,denovo_pdb,8fjg_A,108,0
denovo_pdb__8g9j_A,denovo_pdb,8g9j_A,2,1
denovo_pdb__8gl3_A,denovo_pdb,8gl3_A,1095,300
denovo_pdb__8j1w_A,denovo_pdb,8j1w_A,759,54
denovo_pdb__8j1x_A,denovo_pdb,8j1x_A,616,49
denovo_pdb__8j98_A,denovo_pdb,8j98_A,532,50
denovo_pdb__8ju8_A,denovo_pdb,8ju8_A,868,1
denovo_pdb__8k7o_A,denovo_pdb,8k7o_A,1705,0
denovo_pdb__8k7z_A,denovo_pdb,8k7z_A,1,0
denovo_pdb__8k8f_A,denovo_pdb,8k8f_A,326,0
denovo_pdb__8k8g_A,denovo_pdb,8k8g_A,40,0
denovo_pdb__8k8i_A,denovo_pdb,8k8i_A,2,0
denovo_pdb__8ka7_A,denovo_pdb,8ka7_A,104,0
denovo_pdb__8kac_A,denovo_pdb,8kac_A,35,0
denovo_pdb__8kc0_A,denovo_pdb,8kc0_A,182,0
denovo_pdb__8kc1_A,denovo_pdb,8kc1_A,930,8
denovo_pdb__8kc4_A,denovo_pdb,8kc4_A,38,0
denovo_pdb__8kc8_A,denovo_pdb,8kc8_A,1328,1
denovo_pdb__8kcj_A,denovo_pdb,8kcj_A,326,0
denovo_pdb__8kck_A,denovo_pdb,8kck_A,61,0
denovo_pdb__8kdq_A,denovo_pdb,8kdq_A,1705,0
denovo_pdb__8oys_A,denovo_pdb,8oys_A,32,0
denovo_pdb__8oyw_A,denovo_pdb,8oyw_A,135,0
denovo_pdb__8p4y_A,denovo_pdb,8p4y_A,176,3
denovo_pdb__8pf0_A,denovo_pdb,8pf0_A,3221,1087
denovo_pdb__8q52_A,denovo_pdb,8q52_A,148134,47441
denovo_pdb__8qad_A,denovo_pdb,8qad_A,19,0
denovo_pdb__8qaf_A,denovo_pdb,8qaf_A,6,0
denovo_pdb__8qkd_A,denovo_pdb,8qkd_A,2,0
denovo_pdb__8qup_A,denovo_pdb,8qup_A,466,12
denovo_pdb__8qzn_A,denovo_pdb,8qzn_A,135345,79393
denovo_pdb__8r8o_A,denovo_pdb,8r8o_A,249,0
denovo_pdb__8sjf_A,denovo_pdb,8sjf_A,28,18
denovo_pdb__8tnm_A,denovo_pdb,8tnm_A,19,0
denovo_pdb__8vc8_A,denovo_pdb,8vc8_A,212,0
denovo_pdb__8vei_A,denovo_pdb,8vei_A,208,1
denovo_pdb__8vez_A,denovo_pdb,8vez_A,1072,19
denovo_pdb__8w97_A,denovo_pdb,8w97_A,226,0
denovo_pdb__8xyr_A,denovo_pdb,8xyr_A,2791,550
denovo_pdb__8xyu_A,denovo_pdb,8xyu_A,3149,564
denovo_pdb__8xyw_A,denovo_pdb,8xyw_A,74180,24885
denovo_pdb__8y33_A,denovo_pdb,8y33_A,532,50
denovo_pdb__9bk7_A,denovo_pdb,9bk7_A,29,0
denovo_pdb__9cte_A,denovo_pdb,9cte_A,147,0
denovo_pdb__9d01_A,denovo_pdb,9d01_A,6,0
denovo_pdb__9db8_A,denovo_pdb,9db8_A,28,18
denovo_pdb__9db9_A,denovo_pdb,9db9_A,28,18
denovo_pdb__9dba_A,denovo_pdb,9dba_A,28,18
denovo_pdb__9dbb_A,denovo_pdb,9dbb_A,28,18
denovo_pdb__9dbc_A,denovo_pdb,9dbc_A,28,17
denovo_pdb__9dbd_A,denovo_pdb,9dbd_A,35,11
denovo_pdb__9dbu_A,denovo_pdb,9dbu_A,5,0
denovo_pdb__9dbv_A,denovo_pdb,9dbv_A,5,0
denovo_pdb__9dbw_A,denovo_pdb,9dbw_A,5,0
denovo_pdb__9dcx_A,denovo_pdb,9dcx_A,37,0
