eval_set,stem,L,requested_pairs,effective_pairs,dropped_short_pairs
eval-denovo,8kac_A,129,20,20,0
eval-denovo,8kac_A,129,30,30,0
eval-denovo,8kac_A,129,40,40,0
eval-denovo,8kac_A,129,50,50,0
eval-denovo,8kac_A,129,60,59,1
eval-denovo,8kac_A,129,70,69,1
eval-denovo,8kac_A,129,80,79,1
eval-denovo,8kac_A,129,90,89,1
eval-denovo,8kac_A,129,100,99,1
eval-denovo,8kac_A,129,110,109,1
eval-denovo,8kac_A,129,120,119,1
eval-denovo,8kac_A,129,129,128,1
eval-denovo,8kcj_A,181,0,0,0
eval-denovo,8kcj_A,181,10,10,0
eval-denovo,8kcj_A,181,20,20,0
eval-denovo,8kcj_A,181,30,30,0
eval-denovo,8kcj_A,181,40,40,0
eval-denovo,8kcj_A,181,50,50,0
eval-denovo,8kcj_A,181,60,60,0
eval-denovo,8kcj_A,181,70,70,0
eval-denovo,8kcj_A,181,80,80,0
eval-denovo,8kcj_A,181,90,90,0
eval-denovo,8kcj_A,181,100,100,0
eval-denovo,8kcj_A,181,110,110,0
eval-denovo,8kcj_A,181,120,120,0
eval-denovo,8kcj_A,181,130,130,0
eval-denovo,8kcj_A,181,140,140,0
eval-denovo,8kcj_A,181,150,150,0
eval-denovo,8kcj_A,181,160,160,0
eval-denovo,8kcj_A,181,170,170,0
eval-denovo,8kcj_A,181,180,180,0
eval-denovo,8kcj_A,181,181,181,0
eval-denovo,8oys_A,190,0,0,0
eval-denovo,8oys_A,190,10,10,0
eval-denovo,8oys_A,190,20,20,0
eval-denovo,8oys_A,190,30,30,0
eval-denovo,8oys_A,190,40,40,0
eval-denovo,8oys_A,190,50,50,0
eval-denovo,8oys_A,190,60,60,0
eval-denovo,8oys_A,190,70,70,0
eval-denovo,8oys_A,190,80,80,0
eval-denovo,8oys_A,190,90,90,0
eval-denovo,8oys_A,190,100,100,0
eval-denovo,8oys_A,190,110,110,0
eval-denovo,8oys_A,190,120,120,0
eval-denovo,8oys_A,190,130,130,0
eval-denovo,8oys_A,190,140,140,0
eval-denovo,8oys_A,190,150,150,0
eval-denovo,8oys_A,190,160,160,0
eval-denovo,8oys_A,190,170,170,0
eval-denovo,8oys_A,190,180,180,0
eval-denovo,8oys_A,190,190,190,0
eval-denovo,8oyy_A,242,0,0,0
eval-denovo,8oyy_A,242,10,10,0
eval-denovo,8oyy_A,242,20,20,0
eval-denovo,8oyy_A,242,30,30,0
eval-denovo,8oyy_A,242,40,40,0
eval-denovo,8oyy_A,242,50,50,0
eval-denovo,8oyy_A,242,60,60,0
eval-denovo,8oyy_A,242,70,70,0
eval-denovo,8oyy_A,242,80,80,0
eval-denovo,8oyy_A,242,90,90,0
eval-denovo,8oyy_A,242,100,100,0
eval-denovo,8oyy_A,242,110,110,0
eval-denovo,8oyy_A,242,120,120,0
eval-denovo,8oyy_A,242,130,130,0
eval-denovo,8oyy_A,242,140,140,0
eval-denovo,8oyy_A,242,150,150,0
eval-denovo,8oyy_A,242,160,160,0
eval-denovo,8oyy_A,242,170,170,0
eval-denovo,8oyy_A,242,180,180,0
eval-denovo,8oyy_A,242,190,190,0
eval-denovo,8oyy_A,242,200,200,0
eval-denovo,8oyy_A,242,210,210,0
eval-denovo,8oyy_A,242,220,220,0
eval-denovo,8oyy_A,242,230,230,0
eval-denovo,8oyy_A,242,240,240,0
eval-denovo,8oyy_A,242,242,242,0
eval-denovo,8qkd_A,284,0,0,0
eval-denovo,8qkd_A,284,10,10,0
eval-denovo,8qkd_A,284,20,20,0
eval-denovo,8qkd_A,284,30,30,0
eval-denovo,8qkd_A,284,40,40,0
eval-denovo,8qkd_A,284,50,50,0
eval-denovo,8qkd_A,284,60,60,0
eval-denovo,8qkd_A,284,70,70,0
eval-denovo,8qkd_A,284,80,80,0
eval-denovo,8qkd_A,284,90,90,0
eval-denovo,8qkd_A,284,100,100,0
eval-denovo,8qkd_A,284,110,110,0
eval-denovo,8qkd_A,284,120,120,0
eval-denovo,8qkd_A,284,130,130,0
eval-denovo,8qkd_A,284,140,140,0
eval-denovo,8qkd_A,284,150,150,0
eval-denovo,8qkd_A,284,160,160,0
eval-denovo,8qkd_A,284,170,170,0
eval-denovo,8qkd_A,284,180,180,0
eval-denovo,8qkd_A,284,190,190,0
eval-denovo,8qkd_A,284,200,200,0
eval-denovo,8qkd_A,284,210,210,0
eval-denovo,8qkd_A,284,220,220,0
eval-denovo,8qkd_A,284,230,230,0
eval-denovo,8qkd_A,284,240,240,0
eval-denovo,8qkd_A,284,250,250,0
eval-denovo,8qkd_A,284,260,260,0
eval-denovo,8qkd_A,284,270,270,0
eval-denovo,8qkd_A,284,280,280,0
eval-denovo,8qkd_A,284,284,284,0
eval-denovo,8qup_A,124,0,0,0
eval-denovo,8qup_A,124,10,10,0
eval-denovo,8qup_A,124,20,20,0
eval-denovo,8qup_A,124,30,30,0
eval-denovo,8qup_A,124,40,40,0
eval-denovo,8qup_A,124,50,50,0
eval-denovo,8qup_A,124,60,59,1
eval-denovo,8qup_A,124,70,69,1
eval-denovo,8qup_A,124,80,79,1
eval-denovo,8qup_A,124,90,89,1
eval-denovo,8qup_A,124,100,99,1
eval-denovo,8qup_A,124,110,109,1
eval-denovo,8qup_A,124,120,119,1
eval-denovo,8qup_A,124,124,123,1
eval-denovo,8vc8_A,204,0,0,0
eval-denovo,8vc8_A,204,10,10,0
eval-denovo,8vc8_A,204,20,20,0
eval-denovo,8vc8_A,204,30,30,0
eval-denovo,8vc8_A,204,40,40,0
eval-denovo,8vc8_A,204,50,50,0
eval-denovo,8vc8_A,204,60,60,0
eval-denovo,8vc8_A,204,70,70,0
eval-denovo,8vc8_A,204,80,80,0
eval-denovo,8vc8_A,204,90,90,0
eval-denovo,8vc8_A,204,100,100,0
eval-denovo,8vc8_A,204,110,110,0
eval-denovo,8vc8_A,204,120,120,0
eval-denovo,8vc8_A,204,130,130,0
eval-denovo,8vc8_A,204,140,140,0
eval-denovo,8vc8_A,204,150,150,0
eval-denovo,8vc8_A,204,160,160,0
eval-denovo,8vc8_A,204,170,170,0
eval-denovo,8vc8_A,204,180,180,0
eval-denovo,8vc8_A,204,190,190,0
eval-denovo,8vc8_A,204,200,200,0
eval-denovo,8vc8_A,204,204,204,0
eval-val,7qp5_A,245,0,0,0
eval-val,7qp5_A,245,10,10,0
eval-val,7qp5_A,245,20,20,0
eval-val,7qp5_A,245,30,30,0
eval-val,7qp5_A,245,40,40,0
eval-val,7qp5_A,245,50,50,0
eval-val,7qp5_A,245,60,60,0
eval-val,7qp5_A,245,70,70,0
eval-val,7qp5_A,245,80,80,0
eval-val,7qp5_A,245,90,90,0
eval-val,7qp5_A,245,100,100,0
eval-val,7qp5_A,245,110,110,0
eval-val,7qp5_A,245,120,120,0
eval-val,7qp5_A,245,130,130,0
eval-val,7qp5_A,245,140,140,0
eval-val,7qp5_A,245,150,150,0
eval-val,7qp5_A,245,160,160,0
eval-val,7qp5_A,245,170,170,0
eval-val,7qp5_A,245,180,180,0
eval-val,7qp5_A,245,190,190,0
eval-val,7qp5_A,245,200,200,0
eval-val,7qp5_A,245,210,210,0
eval-val,7qp5_A,245,220,220,0
eval-val,7qp5_A,245,230,230,0
eval-val,7qp5_A,245,240,240,0
eval-val,7qp5_A,245,245,245,0
eval-val,7qsj_A,373,0,0,0
eval-val,7qsj_A,373,10,10,0
eval-val,7qsj_A,373,20,20,0
eval-val,7qsj_A,373,30,30,0
eval-val,7qsj_A,373,40,40,0
eval-val,7qsj_A,373,50,50,0
eval-val,7qsj_A,373,60,60,0
eval-val,7qsj_A,373,70,70,0
eval-val,7qsj_A,373,80,80,0
eval-val,7qsj_A,373,90,90,0
eval-val,7qsj_A,373,100,100,0
eval-val,7qsj_A,373,110,110,0
eval-val,7qsj_A,373,120,120,0
eval-val,7qsj_A,373,130,130,0
eval-val,7qsj_A,373,140,140,0
eval-val,7qsj_A,373,150,150,0
eval-val,7qsj_A,373,160,160,0
eval-val,7qsj_A,373,170,170,0
eval-val,7qsj_A,373,180,180,0
eval-val,7qsj_A,373,190,190,0
eval-val,7qsj_A,373,200,200,0
eval-val,7qsj_A,373,210,210,0
eval-val,7qsj_A,373,220,220,0
eval-val,7qsj_A,373,230,230,0
eval-val,7qsj_A,373,240,240,0
eval-val,7qsj_A,373,250,250,0
eval-val,7qsj_A,373,260,260,0
eval-val,7qsj_A,373,270,270,0
eval-val,7qsj_A,373,280,280,0
eval-val,7qsj_A,373,290,290,0
eval-val,7qsj_A,373,300,300,0
eval-val,7qsj_A,373,310,310,0
eval-val,7qsj_A,373,320,320,0
eval-val,7qsj_A,373,330,330,0
eval-val,7qsj_A,373,340,340,0
eval-val,7qsj_A,373,350,350,0
eval-val,7qsj_A,373,360,360,0
eval-val,7qsj_A,373,370,370,0
eval-val,7qsj_A,373,373,373,0
eval-val,7t9r_A,38,0,0,0
eval-val,7t9r_A,38,10,10,0
eval-val,7t9r_A,38,20,20,0
eval-val,7t9r_A,38,30,30,0
eval-val,7t9r_A,38,38,38,0
eval-val,7tjb_A,227,0,0,0
eval-val,7tjb_A,227,10,10,0
eval-val,7tjb_A,227,20,20,0
eval-val,7tjb_A,227,30,30,0
eval-val,7tjb_A,227,40,40,0
eval-val,7tjb_A,227,50,50,0
eval-val,7tjb_A,227,60,60,0
eval-val,7tjb_A,227,70,70,0
eval-val,7tjb_A,227,80,80,0
eval-val,7tjb_A,227,90,90,0
eval-val,7tjb_A,227,100,100,0
eval-val,7tjb_A,227,110,110,0
eval-val,7tjb_A,227,120,120,0
eval-val,7tjb_A,227,130,130,0
eval-val,7tjb_A,227,140,140,0
eval-val,7tjb_A,227,150,150,0
eval-val,7tjb_A,227,160,160,0
eval-val,7tjb_A,227,170,170,0
eval-val,7tjb_A,227,180,180,0
eval-val,7tjb_A,227,190,190,0
eval-val,7tjb_A,227,200,200,0
eval-val,7tjb_A,227,210,210,0
eval-val,7tjb_A,227,220,220,0
eval-val,7tjb_A,227,227,227,0
eval-val,7tlh_A,136,0,0,0
eval-val,7tlh_A,136,10,10,0
eval-val,7tlh_A,136,20,20,0
eval-val,7tlh_A,136,30,30,0
eval-val,7tlh_A,136,40,40,0
eval-val,7tlh_A,136,50,50,0
eval-val,7tlh_A,136,60,60,0
eval-val,7tlh_A,136,70,70,0
eval-val,7tlh_A,136,80,80,0
eval-val,7tlh_A,136,90,90,0
eval-val,7tlh_A,136,100,100,0
eval-val,7tlh_A,136,110,110,0
eval-val,7tlh_A,136,120,120,0
eval-val,7tlh_A,136,130,130,0
eval-val,7tlh_A,136,136,136,0
eval-val,7uba_A,213,0,0,0
eval-val,7uba_A,213,10,10,0
eval-val,7uba_A,213,20,20,0
eval-val,7uba_A,213,30,30,0
eval-val,7uba_A,213,40,40,0
eval-val,7uba_A,213,50,50,0
eval-val,7uba_A,213,60,60,0
eval-val,7uba_A,213,70,70,0
eval-val,7uba_A,213,80,80,0
eval-val,7uba_A,213,90,90,0
eval-val,7uba_A,213,100,100,0
eval-val,7uba_A,213,110,110,0
eval-val,7uba_A,213,120,120,0
eval-val,7uba_A,213,130,130,0
eval-val,7uba_A,213,140,140,0
eval-val,7uba_A,213,150,150,0
eval-val,7uba_A,213,160,160,0
eval-val,7uba_A,213,170,170,0
eval-val,7uba_A,213,180,180,0
eval-val,7uba_A,213,190,190,0
eval-val,7uba_A,213,200,200,0
eval-val,7uba_A,213,210,210,0
eval-val,7uba_A,213,213,213,0
eval-val,7uk8_A,394,0,0,0
eval-val,7uk8_A,394,10,10,0
eval-val,7uk8_A,394,20,19,1
eval-val,7uk8_A,394,30,29,1
eval-val,7uk8_A,394,40,39,1
eval-val,7uk8_A,394,50,49,1
eval-val,7uk8_A,394,60,59,1
eval-val,7uk8_A,394,70,69,1
eval-val,7uk8_A,394,80,79,1
eval-val,7uk8_A,394,90,89,1
eval-val,7uk8_A,394,100,99,1
eval-val,7uk8_A,394,110,109,1
eval-val,7uk8_A,394,120,119,1
eval-val,7uk8_A,394,130,129,1
eval-val,7uk8_A,394,140,139,1
eval-val,7uk8_A,394,150,149,1
eval-val,7uk8_A,394,160,159,1
eval-val,7uk8_A,394,170,169,1
eval-val,7uk8_A,394,180,179,1
eval-val,7uk8_A,394,190,189,1
eval-val,7uk8_A,394,200,199,1
eval-val,7uk8_A,394,210,209,1
eval-val,7uk8_A,394,220,219,1
eval-val,7uk8_A,394,230,229,1
eval-val,7uk8_A,394,240,239,1
eval-val,7uk8_A,394,250,249,1
eval-val,7uk8_A,394,260,259,1
eval-val,7uk8_A,394,270,269,1
eval-val,7uk8_A,394,280,279,1
eval-val,7uk8_A,394,290,289,1
eval-val,7uk8_A,394,300,299,1
eval-val,7uk8_A,394,310,309,1
eval-val,7uk8_A,394,320,319,1
eval-val,7uk8_A,394,330,329,1
eval-val,7uk8_A,394,340,339,1
eval-val,7uk8_A,394,350,349,1
eval-val,7uk8_A,394,360,359,1
eval-val,7uk8_A,394,370,369,1
eval-val,7uk8_A,394,380,379,1
eval-val,7uk8_A,394,390,389,1
eval-val,7uk8_A,394,394,393,1
eval-val,7ur2_A,195,0,0,0
eval-val,7ur2_A,195,10,10,0
eval-val,7ur2_A,195,20,20,0
eval-val,7ur2_A,195,30,30,0
eval-val,7ur2_A,195,40,40,0
eval-val,7ur2_A,195,50,50,0
eval-val,7ur2_A,195,60,60,0
eval-val,7ur2_A,195,70,70,0
eval-val,7ur2_A,195,80,80,0
eval-val,7ur2_A,195,90,90,0
eval-val,7ur2_A,195,100,100,0
eval-val,7ur2_A,195,110,110,0
eval-val,7ur2_A,195,120,120,0
eval-val,7ur2_A,195,130,130,0
eval-val,7ur2_A,195,140,140,0
eval-val,7ur2_A,195,150,150,0
eval-val,7ur2_A,195,160,160,0
eval-val,7ur2_A,195,170,169,1
eval-val,7ur2_A,195,180,179,1
eval-val,7ur2_A,195,190,189,1
eval-val,7ur2_A,195,195,194,1
eval-val,7urp_A,160,0,0,0
eval-val,7urp_A,160,10,10,0
eval-val,7urp_A,160,20,20,0
eval-val,7urp_A,160,30,30,0
eval-val,7urp_A,160,40,40,0
eval-val,7urp_A,160,50,50,0
eval-val,7urp_A,160,60,60,0
eval-val,7urp_A,160,70,70,0
eval-val,7urp_A,160,80,80,0
eval-val,7urp_A,160,90,90,0
eval-val,7urp_A,160,100,100,0
eval-val,7urp_A,160,110,110,0
eval-val,7urp_A,160,120,120,0
eval-val,7urp_A,160,130,130,0
eval-val,7urp_A,160,140,140,0
eval-val,7urp_A,160,150,150,0
eval-val,7urp_A,160,160,160,0
eval-val,7uvg_A,183,0,0,0
eval-val,7uvg_A,183,10,9,1
eval-val,7uvg_A,183,20,19,1
eval-val,7uvg_A,183,30,28,2
eval-val,7uvg_A,183,40,38,2
eval-val,7uvg_A,183,50,48,2
eval-val,7uvg_A,183,60,58,2
eval-val,7uvg_A,183,70,68,2
eval-val,7uvg_A,183,80,78,2
eval-val,7uvg_A,183,90,88,2
eval-val,7uvg_A,183,100,98,2
eval-val,7uvg_A,183,110,108,2
eval-val,7uvg_A,183,120,118,2
eval-val,7uvg_A,183,130,128,2
eval-val,7uvg_A,183,140,137,3
eval-val,7uvg_A,183,150,147,3
eval-val,7uvg_A,183,160,157,3
eval-val,7uvg_A,183,170,167,3
eval-val,7uvg_A,183,180,177,3
eval-val,7uvg_A,183,183,180,3
eval-val,7uww_A,635,0,0,0
eval-val,7uww_A,635,10,10,0
eval-val,7uww_A,635,20,20,0
eval-val,7uww_A,635,30,30,0
eval-val,7uww_A,635,40,40,0
eval-val,7uww_A,635,50,50,0
eval-val,7uww_A,635,60,60,0
eval-val,7uww_A,635,70,70,0
eval-val,7uww_A,635,80,80,0
eval-val,7uww_A,635,90,90,0
eval-val,7uww_A,635,100,100,0
eval-val,7uww_A,635,110,110,0
eval-val,7uww_A,635,120,120,0
eval-val,7uww_A,635,130,130,0
eval-val,7uww_A,635,140,140,0
eval-val,7uww_A,635,150,150,0
eval-val,7uww_A,635,160,160,0
eval-val,7uww_A,635,170,170,0
eval-val,7uww_A,635,180,180,0
eval-val,7uww_A,635,190,190,0
eval-val,7uww_A,635,200,200,0
eval-val,7uww_A,635,210,210,0
eval-val,7uww_A,635,220,220,0
eval-val,7uww_A,635,230,230,0
eval-val,7uww_A,635,240,240,0
eval-val,7uww_A,635,250,250,0
eval-val,7uww_A,635,260,260,0
eval-val,7uww_A,635,270,270,0
eval-val,7uww_A,635,280,280,0
eval-val,7uww_A,635,290,290,0
eval-val,7uww_A,635,300,300,0
eval-val,7uww_A,635,310,310,0
eval-val,7uww_A,635,320,320,0
eval-val,7uww_A,635,330,330,0
eval-val,7uww_A,635,340,340,0
eval-val,7uww_A,635,350,350,0
eval-val,7uww_A,635,360,360,0
eval-val,7uww_A,635,370,370,0
eval-val,7uww_A,635,380,380,0
eval-val,7uww_A,635,390,390,0
eval-val,7uww_A,635,400,400,0
eval-val,7uww_A,635,410,410,0
eval-val,7uww_A,635,420,420,0
eval-val,7uww_A,635,430,430,0
eval-val,7uww_A,635,440,440,0
eval-val,7uww_A,635,450,450,0
eval-val,7uww_A,635,460,460,0
eval-val,7uww_A,635,470,470,0
eval-val,7uww_A,635,480,480,0
eval-val,7uww_A,635,490,490,0
eval-val,7uww_A,635,500,500,0
eval-val,7uww_A,635,510,510,0
eval-val,7uww_A,635,520,520,0
eval-val,7uww_A,635,530,530,0
eval-val,7uww_A,635,540,540,0
eval-val,7uww_A,635,550,550,0
eval-val,7uww_A,635,560,560,0
eval-val,7uww_A,635,570,570,0
eval-val,7uww_A,635,580,580,0
eval-val,7uww_A,635,590,590,0
eval-val,7uww_A,635,600,600,0
eval-val,7uww_A,635,610,610,0
eval-val,7uww_A,635,620,620,0
eval-val,7uww_A,635,630,630,0
eval-val,7uww_A,635,635,635,0
eval-val,7v3o_A,328,0,0,0
eval-val,7v3o_A,328,10,10,0
eval-val,7v3o_A,328,20,20,0
eval-val,7v3o_A,328,30,30,0
eval-val,7v3o_A,328,40,40,0
eval-val,7v3o_A,328,50,50,0
eval-val,7v3o_A,328,60,60,0
eval-val,7v3o_A,328,70,70,0
eval-val,7v3o_A,328,80,80,0
eval-val,7v3o_A,328,90,90,0
eval-val,7v3o_A,328,100,100,0
eval-val,7v3o_A,328,110,110,0
eval-val,7v3o_A,328,120,120,0
eval-val,7v3o_A,328,130,130,0
eval-val,7v3o_A,328,140,140,0
eval-val,7v3o_A,328,150,150,0
eval-val,7v3o_A,328,160,160,0
eval-val,7v3o_A,328,170,170,0
eval-val,7v3o_A,328,180,180,0
eval-val,7v3o_A,328,190,190,0
eval-val,7v3o_A,328,200,200,0
eval-val,7v3o_A,328,210,210,0
eval-val,7v3o_A,328,220,220,0
eval-val,7v3o_A,328,230,230,0
eval-val,7v3o_A,328,240,240,0
eval-val,7v3o_A,328,250,250,0
eval-val,7v3o_A,328,260,260,0
eval-val,7v3o_A,328,270,270,0
eval-val,7v3o_A,328,280,280,0
eval-val,7v3o_A,328,290,290,0
eval-val,7v3o_A,328,300,300,0
eval-val,7v3o_A,328,310,310,0
eval-val,7v3o_A,328,320,320,0
eval-val,7v3o_A,328,328,328,0
eval-val,7w15_A,302,0,0,0
eval-val,7w15_A,302,10,10,0
eval-val,7w15_A,302,20,20,0
eval-val,7w15_A,302,30,30,0
eval-val,7w15_A,302,40,40,0
eval-val,7w15_A,302,50,50,0
eval-val,7w15_A,302,60,60,0
eval-val,7w15_A,302,70,70,0
eval-val,7w15_A,302,80,80,0
eval-val,7w15_A,302,90,90,0
eval-val,7w15_A,302,100,100,0
eval-val,7w15_A,302,110,110,0
eval-val,7w15_A,302,120,120,0
eval-val,7w15_A,302,130,130,0
eval-val,7w15_A,302,140,140,0
eval-val,7w15_A,302,150,150,0
eval-val,7w15_A,302,160,160,0
eval-val,7w15_A,302,170,170,0
eval-val,7w15_A,302,180,180,0
eval-val,7w15_A,302,190,190,0
