eval_set,stem,method_id,method_label,method_group,gdt_ts
eval-denovo,8oys_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.8710106382978724
eval-denovo,8oys_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9321808510638298
eval-denovo,8oys_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.8191489361702129
eval-denovo,8oys_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.901596
eval-denovo,8oys_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.893617
eval-denovo,8oyy_A,esmfold,ESMFold,external,0.9603
eval-denovo,8oyy_A,esmfold2,ESMFold2,external,0.977468
eval-denovo,8oyy_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9248927038626609
eval-denovo,8oyy_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9474248927038627
eval-denovo,8oyy_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9045064377682404
eval-denovo,8oyy_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.963519
eval-denovo,8oyy_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.963519
eval-denovo,8qkd_A,esmfold,ESMFold,external,0.987544
eval-denovo,8qkd_A,esmfold2,ESMFold2,external,0.990214
eval-denovo,8qkd_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9555160142348754
eval-denovo,8qkd_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9715302491103203
eval-denovo,8qkd_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9501779359430605
eval-denovo,8qkd_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.986655
eval-denovo,8qkd_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.986655
eval-denovo,8qup_A,esmfold,ESMFold,external,0.035088
eval-denovo,8qup_A,esmfold2,ESMFold2,external,0.879386
eval-denovo,8qup_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.7828947368421053
eval-denovo,8qup_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.8728070175438596
eval-denovo,8qup_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.8157894736842104
eval-denovo,8qup_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.837719
eval-denovo,8qup_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.763158
eval-denovo,8vc8_A,esmfold,ESMFold,external,0.862944
eval-denovo,8vc8_A,esmfold2,ESMFold2,external,0.936548
eval-denovo,8vc8_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9517766497461929
eval-denovo,8vc8_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9708121827411167
eval-denovo,8vc8_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9467005076142132
eval-denovo,8vc8_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.85533
eval-denovo,8vc8_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.85533
eval-val,7qp5_A,esmfold,ESMFold,external,0.848548
eval-val,7qp5_A,esmfold2,ESMFold2,external,0.967842
eval-val,7qp5_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.7230290456431535
eval-val,7qp5_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.7302904564315353
eval-val,7qp5_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.6151452282157677
eval-val,7qp5_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.958506
eval-val,7qp5_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.03527
eval-val,7qsj_A,esmfold,ESMFold,external,0.973988
eval-val,7qsj_A,esmfold2,ESMFold2,external,0.984827
eval-val,7qsj_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.8338150289017341
eval-val,7qsj_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9132947976878613
eval-val,7qsj_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.8533236994219653
eval-val,7qsj_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.986272
eval-val,7qsj_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.194364
eval-val,7t9r_A,esmfold,ESMFold,external,0.736842
eval-val,7t9r_A,esmfold2,ESMFold2,external,0.723684
eval-val,7t9r_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.1118421052631579
eval-val,7t9r_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.15789473684210525
eval-val,7t9r_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.14473684210526316
eval-val,7t9r_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.75
eval-val,7t9r_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.157895
eval-val,7tjb_A,esmfold,ESMFold,external,0.875
eval-val,7tjb_A,esmfold2,ESMFold2,external,0.921171
eval-val,7tjb_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.8277027027027026
eval-val,7tjb_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.8896396396396395
eval-val,7tjb_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.7511261261261262
eval-val,7tjb_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.948198
eval-val,7tjb_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.480856
eval-val,7tlh_A,esmfold,ESMFold,external,0.933468
eval-val,7tlh_A,esmfold2,ESMFold2,external,0.905242
eval-val,7tlh_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.5705645161290323
eval-val,7tlh_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.6189516129032258
eval-val,7tlh_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.4254032258064516
eval-val,7tlh_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.907258
eval-val,7tlh_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.034274
eval-val,7uba_A,esmfold,ESMFold,external,0.113636
eval-val,7uba_A,esmfold2,ESMFold2,external,0.23262
eval-val,7uba_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.09759358288770054
eval-val,7uba_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.18850267379679145
eval-val,7uba_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.08556149732620322
eval-val,7uba_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.973262
eval-val,7uba_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.046791
eval-val,7uk8_A,esmfold,ESMFold,external,0.860313
eval-val,7uk8_A,esmfold2,ESMFold2,external,0.888381
eval-val,7uk8_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.3322454308093995
eval-val,7uk8_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.6279373368146214
eval-val,7uk8_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.5580939947780679
eval-val,7uk8_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.903394
eval-val,7uk8_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.048956
eval-val,7ur2_A,esmfold,ESMFold,external,0.576562
eval-val,7ur2_A,esmfold2,ESMFold2,external,0.559375
eval-val,7ur2_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.4078125
eval-val,7ur2_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.678125
eval-val,7ur2_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.5625
eval-val,7ur2_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.771875
eval-val,7ur2_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.173437
eval-val,7urp_A,esmfold,ESMFold,external,0.633648
eval-val,7urp_A,esmfold2,ESMFold2,external,0.913522
eval-val,7urp_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.925
eval-val,7urp_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.925
eval-val,7urp_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.3609375
eval-val,7urp_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.984277
eval-val,7urp_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.075472
eval-val,7uvg_A,esmfold,ESMFold,external,0.47741
eval-val,7uvg_A,esmfold2,ESMFold2,external,0.947289
eval-val,7uvg_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.21234939759036142
eval-val,7uvg_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.2936746987951807
eval-val,7uvg_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.22289156626506024
eval-val,7uvg_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.893072
eval-val,7uvg_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.058735
eval-val,7uww_A,esmfold,ESMFold,external,0.013449
eval-val,7uww_A,esmfold2,ESMFold2,external,0.020965
eval-val,7uww_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.0015723270440251573
eval-val,7uww_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.10455974842767296
eval-val,7uww_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.008254716981132075
eval-val,7uww_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.584652
eval-val,7uww_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.007911
eval-val,7v3o_A,esmfold,ESMFold,external,0.704874
eval-val,7v3o_A,esmfold2,ESMFold2,external,0.955776
eval-val,7v3o_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.5415162454873647
eval-val,7v3o_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.5884476534296028
eval-val,7v3o_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.5433212996389892
eval-val,7v3o_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.954874
eval-val,7v3o_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.011733
eval-val,7w15_A,esmfold,ESMFold,external,0.87628
eval-val,7w15_A,esmfold2,ESMFold2,external,0.854096
eval-val,7w15_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.5816326530612245
eval-val,7w15_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.6352040816326531
eval-val,7w15_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.6020408163265305
eval-val,7w15_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.936007
eval-val,7w15_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.0657
eval-val,7wz5_A,esmfold,ESMFold,external,0.925466
eval-val,7wz5_A,esmfold2,ESMFold2,external,0.940994
eval-val,7wz5_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.05434782608695652
eval-val,7wz5_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.16459627329192544
eval-val,7wz5_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.021739130434782608
eval-val,7wz5_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.936335
eval-val,7wz5_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.114907
eval-val,7wzm_A,esmfold,ESMFold,external,0.760371
eval-val,7wzm_A,esmfold2,ESMFold2,external,0.883734
eval-val,7wzm_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.5584061135371179
eval-val,7wzm_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.8406113537117904
eval-val,7wzm_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.8067685589519651
eval-val,7wzm_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.740175
eval-val,7wzm_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.096616
eval-val,7x3h_A,esmfold,ESMFold,external,0.225543
eval-val,7x3h_A,esmfold2,ESMFold2,external,0.236413
eval-val,7x3h_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.20833333333333334
eval-val,7x3h_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.4384057971014492
eval-val,7x3h_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.22282608695652176
eval-val,7x3h_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.398551
eval-val,7x3h_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.015399
eval-val,7x4p_A,esmfold,ESMFold,external,0.81781
eval-val,7x4p_A,esmfold2,ESMFold2,external,0.818627
eval-val,7x4p_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.48295454545454547
eval-val,7x4p_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.5608766233766234
eval-val,7x4p_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.4659090909090909
eval-val,7x4p_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.830882
eval-val,7x4p_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.091503
eval-val,7x8l_A,esmfold,ESMFold,external,0.899706
eval-val,7x8l_A,esmfold2,ESMFold2,external,0.944716
eval-val,7x8l_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.62573385518591
eval-val,7x8l_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.6487279843444227
eval-val,7x8l_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.62573385518591
eval-val,7x8l_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.97456
eval-val,7x8l_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.02544
eval-val,7xcd_A,esmfold,ESMFold,external,0.134831
eval-val,7xcd_A,esmfold2,ESMFold2,external,0.369382
eval-val,7xcd_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.0351123595505618
eval-val,7xcd_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.12921348314606743
eval-val,7xcd_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.04073033707865169
eval-val,7xcd_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.851124
eval-val,7xcd_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.105337
eval-val,7xg9_A,esmfold,ESMFold,external,0.867133
eval-val,7xg9_A,esmfold2,ESMFold2,external,0.923951
eval-val,7xg9_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.3902439024390244
eval-val,7xg9_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.44337979094076657
eval-val,7xg9_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.21689895470383275
eval-val,7xg9_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.929196
eval-val,7xg9_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.343531
eval-val,7xi5_A,esmfold,ESMFold,external,0.986842
eval-val,7xi5_A,esmfold2,ESMFold2,external,0.986842
eval-val,7xi5_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.9824561403508771
eval-val,7xi5_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.9868421052631579
eval-val,7xi5_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.9868421052631579
eval-val,7xi5_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.97807
eval-val,7xi5_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.153509
eval-val,7xjr_A,esmfold,ESMFold,external,0.928922
eval-val,7xjr_A,esmfold2,ESMFold2,external,0.956699
eval-val,7xjr_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.7818627450980393
eval-val,7xjr_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.8031045751633987
eval-val,7xjr_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.7410130718954249
eval-val,7xjr_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.99183
eval-val,7xjr_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.220588
eval-val,7xlz_A,esmfold,ESMFold,external,0.957469
eval-val,7xlz_A,esmfold2,ESMFold2,external,0.983402
eval-val,7xlz_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.6632231404958677
eval-val,7xlz_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.7489669421487604
eval-val,7xlz_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.6394628099173554
eval-val,7xlz_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.970954
eval-val,7xlz_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.073651
eval-val,7xp9_A,esmfold,ESMFold,external,0.236842
eval-val,7xp9_A,esmfold2,ESMFold2,external,0.858553
eval-val,7xp9_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.5789473684210527
eval-val,7xp9_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.6513157894736843
eval-val,7xp9_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.21710526315789475
eval-val,7xp9_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.664474
eval-val,7xp9_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.361842
eval-val,7xq4_A,esmfold,ESMFold,external,0.917178
eval-val,7xq4_A,esmfold2,ESMFold2,external,0.943252
eval-val,7xq4_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.019427402862985686
eval-val,7xq4_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.06901840490797546
eval-val,7xq4_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.022494887525562373
eval-val,7xq4_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.944785
eval-val,7xq4_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.240798
eval-val,7xrx_A,esmfold,ESMFold,external,0.913945
eval-val,7xrx_A,esmfold2,ESMFold2,external,0.983668
eval-val,7xrx_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.5657894736842105
eval-val,7xrx_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.6290726817042607
eval-val,7xrx_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.550125313283208
eval-val,7xrx_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.991206
eval-val,7xrx_A,protenix_v2_single_seq,Protenix-v2 single sequence,external,0.08794
eval-val,7xyr_A,esmfold,ESMFold,external,0.912088
eval-val,7xyr_A,esmfold2,ESMFold2,external,0.975275
eval-val,7xyr_A,helico_confidence,Helico + top-N MarinFold contacts (confidence selected),helico,0.6945970695970696
eval-val,7xyr_A,helico_oracle,Helico + top-N MarinFold contacts (oracle),oracle,0.7097069597069596
eval-val,7xyr_A,helico_top_l,Helico + top-L MarinFold contacts,helico,0.6506410256410257
eval-val,7xyr_A,protenix_v2_msa,Protenix-v2 + MSA,external,0.970696
