experiment_id	description	mean_lddt	median_lddt	total_wall_seconds	runtime_ratio_vs_baseline	mean_lddt_delta_pct	notes
sharpen_T0.3_on_iterative_contacts_R2_kc1.0_min0.1_byprob	Post-process temperature sharpening (T=0.3) of the iterative_contacts_R2_kc1.0_min0.1_byprob distogram. probs' = softmax(log(p+eps)/T) applied to non-empty pair rows; empty rows left as zero. No new inference.	0.3248	0.3125	235.8	0.170	+30.13	
iterative_contacts_R2_kc2.0_min0.1	Iterative R=2, K=2L (double density), min_prob=0.1, long_med_short.	0.3209	0.3143	1912.7	1.379	+28.58	
sharpen_T1.0_on_iterative_contacts_R2_kc2.0_min0.1	Post-process temperature sharpening (T=1.0) of the iterative_contacts_R2_kc2.0_min0.1 distogram. probs' = softmax(log(p+eps)/T) applied to non-empty pair rows; empty rows left as zero. No new inference.	0.3209	0.3143	235.8	0.170	+28.58	
sampled_contacts_union_n10_T0.7	Sampled union: M=10 rollouts at T=0.7, union of all unique contacts, single readout.	0.3168	0.3181	990.2	0.714	+26.92	
sharpen_T1.0_on_sampled_contacts_union_n10_T0.7	Post-process temperature sharpening (T=1.0) of the sampled_contacts_union_n10_T0.7 distogram. probs' = softmax(log(p+eps)/T) applied to non-empty pair rows; empty rows left as zero. No new inference.	0.3168	0.3181	236.2	0.170	+26.92	
iter_R2_on_R3low_kc1.0_min0.1	Iterative R=2 starting from iter_R3_low distogram as prior. Effectively R=5 total.	0.3364	0.3038	1321.9	0.953	+34.79	
sharpen_T0.1_on_iter_R2_on_R3low_kc1.0_min0.1	Post-process temperature sharpening (T=0.1) of the iter_R2_on_R3low_kc1.0_min0.1 distogram. probs' = softmax(log(p+eps)/T) applied to non-empty pair rows; empty rows left as zero. No new inference.	0.3389	0.3078	236.0	0.170	+35.79	
iter_R3_grow_kc05_10_15	Iter R=3 with growing K per round: K=0.5L, L, 1.5L. min_prob=0.1.	0.3421	0.3026	1930.5	1.392	+37.07	
sharpen_T1.0_on_iter_R3_grow_kc05_10_15	Post-process temperature sharpening (T=1.0) of the iter_R3_grow_kc05_10_15 distogram. probs' = softmax(log(p+eps)/T) applied to non-empty pair rows; empty rows left as zero. No new inference.	0.3421	0.3026	235.7	0.170	+37.07	
iter_R1_from_R3low_kc2.0_min0.5	Single round from iter_R3_low prior with K=2L, min_prob=0.5. Use the now-richer set of high-confidence iterated contacts.	0.3333	0.3075	738.2	0.532	+33.52	
sharpen_T0.3_on_iter_R1_from_R3low_kc2.0_min0.5	Post-process temperature sharpening (T=0.3) of the iter_R1_from_R3low_kc2.0_min0.5 distogram. probs' = softmax(log(p+eps)/T) applied to non-empty pair rows; empty rows left as zero. No new inference.	0.3343	0.3094	235.9	0.170	+33.92	
