pair_id,fold1,fold2,tier,seq_class,hit_target,hit_arm,hit_shard,hit_row,hit_entry_id,hit_identity,hit_qcov,hit_evalue,corpus_status,uniprot_accession,train_seq_identity_to_reference,n_train_contacts,n_hit_a,n_hit_b,n_a,n_b,recall_a,recall_b,training_fold
2frha_1fzpd,2frhA,1fzpD,B,identical,esm_atlas|02953_9067_e27ea03286b8f9b9061d38dd4b760fab,esm_atlas,2953,9067,e27ea03286b8f9b9061d38dd4b760fab,0.804,0.835,7.474E-49,ok,,0.6335,86,48,0,66,47,0.7273,0.0,fold1
2hdma_2n54b,2hdmA,2n54B,C,homolog,afdb|01526_113_AF-W5PV16-F1,afdb,1526,113,AF-W5PV16-F1,0.445,0.747,4.753E-05,ok,W5PV16,0.4203,10,3,0,29,28,0.1034,0.0,neither
6c6sd_2ougc,6c6sD,2ougC,C,identical,afdb|00138_1464_AF-A0A2X1KF18-F1,afdb,138,1464,AF-A0A2X1KF18-F1,0.977,0.671,1.264E-64,ok,A0A2X1KF18,0.9826,80,17,8,61,58,0.2787,0.1379,fold1
3hdea_3hdfa,3hdeA,3hdfA,B,identical,afdb|01785_1209_AF-A0A831MVC7-F1,afdb,1785,1209,AF-A0A831MVC7-F1,1.0,0.709,9.999E-74,ok,A0A831MVC7,0.9829,89,44,4,64,51,0.6875,0.0784,fold1
3ifaa_5et5a,3ifaA,5et5A,B,identical,afdb|01209_428_AF-A0A6P7DMX4-F1,afdb,1209,428,AF-A0A6P7DMX4-F1,0.871,0.417,4.772E-71,ok,A0A6P7DMX4,0.8859,103,8,5,34,30,0.2353,0.1667,ambiguous
3j7wb_3j7vg,3j7wB,3j7vG,C,identical,esm_atlas|01466_8760_707caa717f01bb1e09b952307cee6a32,esm_atlas,1466,8760,707caa717f01bb1e09b952307cee6a32,0.7,0.169,4.099E-14,ok,,0.3318,22,1,1,105,121,0.0095,0.0083,neither
3jv6a_1zk9a,3jv6A,1zk9A,B,identical,afdb|01413_201_AF-A0A2K5I663-F1,afdb,1413,201,AF-A0A2K5I663-F1,0.986,0.927,4.182E-62,ok,A0A2K5I663,0.227,98,49,2,58,10,0.8448,0.2,fold1
3m1bf_3lowa,3m1bF,3lowA,B,identical,afdb|02046_102_AF-O77532-F1,afdb,2046,102,AF-O77532-F1,0.915,0.99,2.354E-54,ok,O77532,0.7227,110,63,7,76,10,0.8289,0.7,ambiguous
3o44a_1xeza,3o44A,1xezA,B,identical,afdb|00886_240_AF-P09545-F1,afdb,886,240,AF-P09545-F1,0.907,1.0,0.000E+00,ok,P09545,0.8853,833,30,182,140,220,0.2143,0.8273,fold2
3qy2a_1qb3a,3qy2A,1qb3A,B,identical,afdb|01987_823_AF-A0A109UWJ5-F1,afdb,1987,823,AF-A0A109UWJ5-F1,0.929,0.915,2.990E-61,ok,A0A109UWJ5,0.8099,105,38,2,46,13,0.8261,0.1538,fold1
3tp2a_5lj3m,3tp2A,5lj3M,C,identical,afdb|00394_1028_AF-A0A0L8RM11-F1,afdb,394,1028,AF-A0A0L8RM11-F1,0.904,1.0,1.910E-150,ok,A0A0L8RM11,0.6194,241,57,24,87,68,0.6552,0.3529,fold1
3zwgn_4tsyd,3zwgN,4tsyD,B,identical,afdb|00942_1958_AF-A0A515MEM9-F1,afdb,942,1958,AF-A0A515MEM9-F1,0.97,1.0,3.348E-113,ok,A0A515MEM9,0.9777,207,37,12,46,28,0.8043,0.4286,fold1
4aana_4aala,4aanA,4aalA,B,identical,afdb|01654_1363_AF-A0A7V4Q459-F1,afdb,1654,1363,AF-A0A7V4Q459-F1,0.707,0.602,2.473E-80,ok,A0A7V4Q459,0.6224,87,20,3,87,95,0.2299,0.0316,fold1
4gqcc_4gqcb,4gqcC,4gqcB,A,identical,afdb|01503_452_AF-A0A520QDS6-F1,afdb,1503,452,AF-A0A520QDS6-F1,0.463,0.919,1.157E-30,ok,A0A520QDS6,0.3947,39,2,0,49,29,0.0408,0.0,neither
4j3of_2jmra,4j3oF,2jmrA,C,identical,afdb|01991_1854_AF-A0A376YFJ3-F1,afdb,1991,1854,AF-A0A376YFJ3-F1,0.947,0.559,4.693E-56,ok,A0A376YFJ3,0.8268,30,1,6,35,53,0.0286,0.1132,neither
4jphb_5hk5h,4jphB,5hk5H,B,identical,afdb|00535_1311_AF-A0A6F9C6P5-F1,afdb,535,1311,AF-A0A6F9C6P5-F1,0.878,0.95,7.393E-60,ok,A0A6F9C6P5,0.5689,89,14,6,32,16,0.4375,0.375,ambiguous
4nc9c_4n9wa,4nc9C,4n9wA,B,identical,esm_atlas|01723_19974_843eca3d7e7fe968e82631556a38ced5,esm_atlas,1723,19974,843eca3d7e7fe968e82631556a38ced5,0.791,0.702,1.902E-132,ok,,0.8175,161,6,11,71,64,0.0845,0.1719,neither
4o0pa_4o01d,4o0pA,4o01D,B,identical,afdb|01725_408_AF-A0A2S5LSK1-F1,afdb,1725,408,AF-A0A2S5LSK1-F1,0.465,0.374,8.924E-37,ok,A0A2S5LSK1,0.4753,121,3,1,76,89,0.0395,0.0112,neither
4phqa_2wcdx,4phqA,2wcdX,B,identical,afdb|01106_428_AF-A0A828USX5-F1,afdb,1106,428,AF-A0A828USX5-F1,0.913,0.546,3.432E-90,ok,A0A828USX5,0.7419,71,38,2,181,132,0.2099,0.0152,fold1
4pyia_4pyja,4pyiA,4pyjA,B,identical,afdb|01632_1153_AF-A0A667I5V7-F1,afdb,1632,1153,AF-A0A667I5V7-F1,0.792,0.707,1.313E-72,ok,A0A667I5V7,0.5759,131,10,3,61,38,0.1639,0.0789,neither
4qhfa_4qhha,4qhfA,4qhhA,B,identical,esm_atlas|01633_7817_7d4a22c21058e784d824df9f081872a8,esm_atlas,1633,7817,7d4a22c21058e784d824df9f081872a8,0.5,0.725,4.632E-14,ok,,0.4188,43,5,0,62,26,0.0806,0.0,neither
4rwna_4rwqb,4rwnA,4rwqB,B,identical,afdb|01651_1221_AF-Q29599-F1,afdb,1651,1221,AF-Q29599-F1,0.993,1.0,1.396E-237,ok,Q29599,1.0,377,46,78,134,116,0.3433,0.6724,fold2
4uv2d_4q79f,4uv2D,4q79F,B,identical,afdb|01446_836_AF-A0A3S4I9Z6-F1,afdb,1446,836,AF-A0A3S4I9Z6-F1,0.918,0.481,2.621E-61,ok,A0A3S4I9Z6,0.9831,52,4,5,55,49,0.0727,0.102,neither
4y0mj_4xwsd,4y0mJ,4xwsD,B,identical,esm_atlas|03305_2058_fea1709a4e4d8b8b569114ea33a26357,esm_atlas,3305,2058,fea1709a4e4d8b8b569114ea33a26357,0.839,0.569,4.310E-58,ok,,0.467,64,8,4,32,41,0.25,0.0976,fold1
4zrbc_4zrbh,4zrbC,4zrbH,A,identical,esm_atlas|01789_14913_894a8f9bcb2c1a126ebd7317063077d1,esm_atlas,1789,14913,894a8f9bcb2c1a126ebd7317063077d1,0.948,1.0,3.250E-75,ok,,0.6576,102,6,7,10,19,0.6,0.3684,fold1
4zt0c_4cmqb,4zt0C,4cmqB,B,identical,afdb|01874_1452_AF-A0A8B1KJT0-F1,afdb,1874,1452,AF-A0A8B1KJT0-F1,0.75,0.327,6.593E-198,ok,A0A8B1KJT0,0.7381,306,15,27,224,374,0.067,0.0722,neither
5aoeb_5ly6b,5aoeB,5ly6B,C,identical,afdb|01077_819_AF-A0A4F6X3K8-F1,afdb,1077,819,AF-A0A4F6X3K8-F1,0.963,0.533,2.476E-164,ok,A0A4F6X3K8,0.9961,193,57,4,265,208,0.2151,0.0192,fold1
5c1va_5c1vb,5c1vA,5c1vB,A,identical,afdb|00296_996_AF-A0A6J1UDX1-F1,afdb,296,996,AF-A0A6J1UDX1-F1,1.0,0.912,4.546E-199,ok,A0A6J1UDX1,0.6269,328,51,9,73,50,0.6986,0.18,fold1
5flue_2uy7d,5fluE,2uy7D,C,identical,afdb|00113_590_AF-A0A7B4Y6L1-F1,afdb,113,590,AF-A0A7B4Y6L1-F1,0.895,0.423,3.933E-32,ok,A0A7B4Y6L1,0.6989,15,4,2,49,45,0.0816,0.0444,neither
5hmga_3ztje,5hmgA,3ztjE,B,identical,esm_atlas|01550_19298_76f65d92828a22e0c60b89d3b469cfbd,esm_atlas,1550,19298,76f65d92828a22e0c60b89d3b469cfbd,0.86,0.159,8.286E-18,ok,,0.2405,25,2,1,55,38,0.0364,0.0263,neither
5i2ma_5i2sa,5i2mA,5i2sA,B,identical,esm_atlas|03318_9628_ffa770c29784f92edcede377085f3511,esm_atlas,3318,9628,ffa770c29784f92edcede377085f3511,0.257,0.896,1.095E-28,ok,,0.126,11,0,0,113,178,0.0,0.0,neither
5jzha_5jztg,5jzhA,5jztG,C,identical,esm_atlas|00892_15362_447dc3013696558449f894100a6afecb,esm_atlas,892,15362,447dc3013696558449f894100a6afecb,0.737,0.988,1.798E-198,ok,,0.5782,358,129,20,299,183,0.4314,0.1093,fold1
5keqf_1dzla,5keqF,1dzlA,C,identical,afdb|00158_607_AF-Q9Y4Y5-F1,afdb,158,607,AF-Q9Y4Y5-F1,0.715,0.996,9.455E-218,ok,Q9Y4Y5,0.6157,367,21,40,70,109,0.3,0.367,ambiguous
5l35d_5l35g,5l35D,5l35G,A,identical,afdb|01918_29_AF-E7SY78-F1,afdb,1918,29,AF-E7SY78-F1,0.956,0.701,1.558E-188,ok,E7SY78,0.9865,240,30,12,58,70,0.5172,0.1714,fold1
2k42a_1ceeb,2k42A,1ceeB,C,homolog,afdb|00132_50_AF-A0A6J3EP08-F1,afdb,132,50,AF-A0A6J3EP08-F1,0.803,1.0,2.191E-35,ok,A0A6J3EP08,0.1641,47,11,0,16,10,0.6875,0.0,fold1
2h44a_1rkpa,2h44A,1rkpA,B,identical,afdb|00033_449_AF-A0A2J8LWY4-F1,afdb,33,449,AF-A0A2J8LWY4-F1,0.971,0.31,2.946E-56,ok,A0A2J8LWY4,0.1695,77,2,4,54,70,0.037,0.0571,neither
2grmb_2axza,2grmB,2axzA,B,identical,esm_atlas|01081_14238_52fa171edcbb3cdd4afa8cfbb232bb82,esm_atlas,1081,14238,52fa171edcbb3cdd4afa8cfbb232bb82,0.949,1.0,5.277E-202,ok,,0.9206,290,46,15,80,55,0.575,0.2727,fold1
2c1vb_2c1uc,2c1vB,2c1uC,B,identical,afdb|00598_1058_AF-P83787-F1,afdb,598,1058,AF-P83787-F1,0.676,0.994,4.308E-139,ok,P83787,0.6687,269,58,9,87,84,0.6667,0.1071,fold1
3kdsg_2ce7c,3kdsG,2ce7C,B,identical,afdb|00291_247_AF-B7A6Y4-F1,afdb,291,247,AF-B7A6Y4-F1,0.719,0.283,1.533E-49,ok,B7A6Y4,0.371,61,4,1,80,85,0.05,0.0118,neither
1nrjb_2gedb,1nrjB,2gedB,B,identical,afdb|01090_314_AF-P36057-F1,afdb,1090,314,AF-P36057-F1,0.833,1.0,2.737E-111,ok,P36057,0.7828,173,44,4,49,37,0.898,0.1081,fold1
2lela_2k0qa,2lelA,2k0qA,C,identical,afdb|01282_1925_AF-A0A6S6Y1A0-F1,afdb,1282,1925,AF-A0A6S6Y1A0-F1,0.706,0.811,9.690E-19,ok,A0A6S6Y1A0,0.4787,40,11,2,30,29,0.3667,0.069,fold1
2p3vd_2p3va,2p3vD,2p3vA,A,identical,esm_atlas|01548_17703_76cdaf7aacd01a68459cea7dfcaac550,esm_atlas,1548,17703,76cdaf7aacd01a68459cea7dfcaac550,0.411,0.898,2.056E-43,ok,,0.3373,81,4,7,35,48,0.1143,0.1458,neither
5jyta_2qkee,5jytA,2qkeE,C,homolog,afdb|00826_1475_AF-A0A7G8DRD7-F1,afdb,826,1475,AF-A0A7G8DRD7-F1,0.811,0.717,1.577E-32,ok,A0A7G8DRD7,0.6869,42,18,3,54,46,0.3333,0.0652,fold1
3g0ha_3ewsb,3g0hA,3ewsB,B,identical,afdb|00708_514_AF-Q68DY7-F1,afdb,708,514,AF-Q68DY7-F1,0.957,0.766,2.012E-205,ok,Q68DY7,0.9634,352,62,37,158,133,0.3924,0.2782,ambiguous
2vfxl_3gmhl,2vfxL,3gmhL,B,identical,afdb|01843_100_AF-A0A2K6GUH6-F1,afdb,1843,100,AF-A0A2K6GUH6-F1,0.901,0.547,5.048E-59,ok,A0A2K6GUH6,0.9558,65,14,0,112,97,0.125,0.0,neither
4h2aa_3j9ca,4h2aA,3j9cA,C,identical,esm_atlas|03126_319_f0e177d94c24e367b55fd1b18342daec,esm_atlas,3126,319,f0e177d94c24e367b55fd1b18342daec,0.502,0.102,1.709E-09,ok,,0.2761,40,0,0,141,101,0.0,0.0,neither
2pbkb_3njqa,2pbkB,3njqA,B,identical,,,,,,,,,no_training_hit,,,,,,55,55,,,none
1kcta_3t1pa,1kctA,3t1pA,B,identical,afdb|01903_1966_AF-A0A0G2JRN3-F1,afdb,1903,1966,AF-A0A0G2JRN3-F1,0.945,0.833,5.562E-199,ok,A0A0G2JRN3,0.8719,293,21,56,181,132,0.116,0.4242,fold2
3t5oa_4a5wb,3t5oA,4a5wB,B,identical,afdb|02057_1967_AF-P61134-F1,afdb,2057,1967,AF-P61134-F1,0.982,1.0,0.000E+00,ok,P61134,0.9486,810,229,60,351,265,0.6524,0.2264,fold1
4ow6b_4ae0a,4ow6B,4ae0A,B,identical,esm_atlas|03297_5846_fe07a95e562aade6ffac0266ece96fa2,esm_atlas,3297,5846,fe07a95e562aade6ffac0266ece96fa2,0.959,0.358,1.464E-111,ok,,0.3131,188,24,8,138,86,0.1739,0.093,neither
3meea_4b3ob,3meeA,4b3oB,B,identical,esm_atlas|01564_13592_7802c4d4edf76134223ce3baabcafd6a,esm_atlas,1564,13592,7802c4d4edf76134223ce3baabcafd6a,0.963,0.366,3.278E-122,ok,,0.7233,198,32,13,157,190,0.2038,0.0684,fold1
4dxra_4dxta,4dxrA,4dxtA,B,identical,afdb|01083_1213_AF-A0A1U7SLM8-F1,afdb,1083,1213,AF-A0A1U7SLM8-F1,0.96,0.646,2.326E-76,ok,A0A1U7SLM8,0.4437,44,3,5,25,33,0.12,0.1515,neither
2qqja_4qdsa,2qqjA,4qdsA,B,identical,afdb|00318_1243_AF-A0A834EIC9-F1,afdb,318,1243,AF-A0A834EIC9-F1,0.988,0.342,2.033E-63,ok,A0A834EIC9,0.3046,75,3,0,19,20,0.1579,0.0,neither
4rmbb_4rmba,4rmbB,4rmbA,A,identical,,,,,,,,,no_training_hit,,,,,,18,18,,,none
4ydqb_4twaa,4ydqB,4twaA,B,identical,afdb|00647_1836_AF-U6H9Z8-F1,afdb,647,1836,AF-U6H9Z8-F1,0.733,0.67,7.817E-149,ok,U6H9Z8,0.3788,304,56,10,111,99,0.5045,0.101,fold1
3zxgb_5ec5p,3zxgB,5ec5P,B,identical,esm_atlas|03139_10301_f1ea11a02bacd4ac35eb44df797b14ae,esm_atlas,3139,10301,f1ea11a02bacd4ac35eb44df797b14ae,0.965,1.0,4.316E-191,ok,,0.9452,345,92,18,119,70,0.7731,0.2571,fold1
5f5rb_5f3ka,5f5rB,5f3kA,B,identical,esm_atlas|01678_16999_80c69c44b40f629b4930f317a9fc1d7f,esm_atlas,1678,16999,80c69c44b40f629b4930f317a9fc1d7f,0.966,0.369,7.674E-45,ok,,0.7757,47,5,2,70,54,0.0714,0.037,neither
4yhdg_7ahle,4yhdG,7ahlE,B,identical,afdb|01310_1349_AF-A0A5C8X4B3-F1,afdb,1310,1349,AF-A0A5C8X4B3-F1,0.988,0.812,5.201E-157,ok,A0A5C8X4B3,0.9958,259,12,30,105,61,0.1143,0.4918,fold2
