pair_id,fold1,fold2,tier,seq_class,same_entry,method1,method2,resolution1,resolution2,L,n_common,coverage,pair_identity,n_seq_mismatch,n_contacts_fold1,n_contacts_fold2,n_shared,n_only1,n_only2,n_only1_fs,n_only2_fs,jaccard,fs_region_start,fs_region_end,fs_share_of_discriminative,passes_gate,status,reason
1xjta_1xjub,1xjtA,1xjuB,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.75,1.07,178,155,0.8707865168539326,1.0,0,106,120,81,25,39,20,19,0.5586206896551724,30,61,0.609375,True,ok,
1xnta_3lqca,1xntA,3lqcA,C,identical,False,SOLUTION NMR,X-RAY DIFFRACTION,,2.349,152,150,0.9868421052631579,1.0,0,156,136,68,88,68,26,26,0.30357142857142855,16,39,0.3333333333333333,True,ok,
2a73b_3l5nb,2a73B,3l5nB,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.3,7.536,982,885,0.9012219959266803,1.0,0,991,864,556,435,308,56,42,0.42802155504234024,802,839,0.13189771197846567,True,ok,
2frha_1fzpd,2frhA,1fzpD,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.5,2.95,127,100,0.7874015748031497,1.0,0,68,49,2,66,47,63,46,0.017391304347826087,31,123,0.9646017699115044,True,ok,
2hdma_2n54b,2hdmA,2n54B,C,homolog,False,SOLUTION NMR,SOLUTION NMR,,,75,61,0.8133333333333334,0.9466666666666667,4,34,33,5,29,28,10,7,0.08064516129032258,49,71,0.2982456140350877,True,ok,
6c6sd_2ougc,6c6sD,2ougC,C,identical,False,ELECTRON MICROSCOPY,X-RAY DIFFRACTION,3.7,2.1,161,141,0.8757763975155279,1.0,0,103,100,42,61,58,29,40,0.2608695652173913,113,161,0.5798319327731093,True,ok,
3ejha_3m7pa,3ejhA,3m7pA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.1,2.5,310,80,0.25806451612903225,0.9935483870967742,2,73,89,47,26,42,19,29,0.40869565217391307,219,242,0.7058823529411765,False,ok,coverage=0.26<0.5
3hdea_3hdfa,3hdeA,3hdfA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.95,1.7,165,133,0.806060606060606,1.0,0,110,97,46,64,51,25,22,0.2857142857142857,129,149,0.40869565217391307,True,ok,
3ifaa_5et5a,3ifaA,5et5A,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.93,1.67,326,282,0.8650306748466258,1.0,0,271,267,237,34,30,15,9,0.7873754152823921,0,17,0.375,True,ok,
3j7wb_3j7vg,3j7wB,3j7vG,C,identical,False,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,3.5,4.5,343,317,0.924198250728863,1.0,0,192,208,87,105,121,10,21,0.2779552715654952,20,42,0.13716814159292035,True,ok,
3j97m_1xtgb,3j97M,1xtgB,C,identical,False,ELECTRON MICROSCOPY,X-RAY DIFFRACTION,7.804,2.1,131,59,0.45038167938931295,1.0,0,2,1,0,2,1,2,1,0.0,89,129,1.0,False,ok,"min(|A|,|B|)=1<10; coverage=0.45<0.5"
3jv6a_1zk9a,3jv6A,1zk9A,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.78,2.18,110,101,0.9181818181818182,1.0,0,87,39,29,58,10,28,6,0.29896907216494845,47,76,0.5,True,ok,
3kuya_5c3if,3kuyA,5c3iF,B,homolog,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.9,3.5,97,85,0.8762886597938144,0.979381443298969,2,36,29,25,11,4,6,0,0.625,7,27,0.4,False,ok,"min(|A|,|B|)=4<10"
3m1bf_3lowa,3m1bF,3lowA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.1,2.3,100,99,0.99,1.0,0,104,38,28,76,10,74,8,0.24561403508771928,41,100,0.9534883720930233,True,ok,
3o44a_1xeza,3o44A,1xezA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.88,2.3,663,581,0.8763197586726998,1.0,0,638,718,498,140,220,6,31,0.5804195804195804,238,258,0.10277777777777777,True,ok,
3qy2a_1qb3a,3qy2A,1qb3A,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.59,3.0,118,99,0.8389830508474576,0.9915254237288136,1,106,73,60,46,13,26,0,0.5042016806722689,97,117,0.4406779661016949,True,ok,
3tp2a_5lj3m,3tp2A,5lj3M,C,identical,False,X-RAY DIFFRACTION,ELECTRON MICROSCOPY,2.4,3.8,252,224,0.8888888888888888,0.996031746031746,1,229,210,142,87,68,44,20,0.4781144781144781,1,43,0.4129032258064516,True,ok,
3uyia_3v0ta,3uyiA,3v0tA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.313,2.333,313,285,0.9105431309904153,0.9968051118210862,1,247,253,221,26,32,0,0,0.7921146953405018,,,,False,ok,fold-switching region not located
3zwgn_4tsyd,3zwgN,4tsyD,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.0,3.14,178,176,0.9887640449438202,1.0,0,199,181,153,46,28,14,0,0.6740088105726872,0,19,0.1891891891891892,True,ok,
4aana_4aala,4aanA,4aalA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.22,1.84,324,319,0.9845679012345679,1.0,0,276,284,189,87,95,29,44,0.5094339622641509,209,243,0.4010989010989011,True,ok,
4gqcc_4gqcb,4gqcC,4gqcB,A,identical,True,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.0,2.0,161,160,0.9937888198757764,1.0,0,153,133,104,49,29,34,23,0.5714285714285714,43,66,0.7307692307692307,True,ok,
4j3of_2jmra,4j3oF,2jmrA,C,identical,False,X-RAY DIFFRACTION,SOLUTION NMR,3.8,,179,154,0.8603351955307262,1.0,0,94,112,59,35,53,7,6,0.4013605442176871,1,26,0.14772727272727273,True,ok,
4jphb_5hk5h,4jphB,5hk5H,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.25,2.9,119,111,0.9327731092436975,1.0,0,104,88,72,32,16,14,4,0.6,1,23,0.375,True,ok,
4nc9c_4n9wa,4nc9C,4n9wA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.192,1.94,376,330,0.8776595744680851,1.0,0,264,257,193,71,64,21,13,0.5884146341463414,110,133,0.2518518518518518,True,ok,
4o0pa_4o01d,4o0pA,4o01D,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.8,3.24,489,474,0.9693251533742331,0.9959100204498977,2,397,410,321,76,89,19,20,0.6604938271604939,444,464,0.23636363636363636,True,ok,
4phqa_2wcdx,4phqA,2wcdX,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.94,3.29,291,282,0.9690721649484536,0.9896907216494846,3,216,167,35,181,132,16,3,0.10057471264367816,171,191,0.06070287539936102,True,ok,
4pyia_4pyja,4pyiA,4pyjA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.35,1.9,208,207,0.9951923076923077,1.0,0,212,189,151,61,38,40,19,0.604,191,208,0.5959595959595959,True,ok,
4qhfa_4qhha,4qhfA,4qhhA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.1,3.0,109,108,0.9908256880733946,1.0,0,99,63,37,62,26,27,15,0.296,72,97,0.4772727272727273,True,ok,
4rwna_4rwqb,4rwnA,4rwqB,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.0,3.1,349,346,0.9914040114613181,1.0,0,376,358,242,134,116,32,20,0.491869918699187,57,77,0.208,True,ok,
4uv2d_4q79f,4uv2D,4q79F,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.8,3.1,235,183,0.7787234042553192,0.9957446808510638,1,138,132,83,55,49,2,1,0.44385026737967914,210,235,0.028846153846153848,True,ok,
4y0mj_4xwsd,4y0mJ,4xwsD,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.3,3.006,209,193,0.9234449760765551,0.9952153110047847,1,165,174,133,32,41,13,16,0.6456310679611651,89,152,0.3972602739726027,True,ok,
4zrbc_4zrbh,4zrbC,4zrbH,A,identical,True,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.2,2.2,126,123,0.9761904761904762,1.0,0,105,114,95,10,19,3,12,0.7661290322580645,1,21,0.5172413793103449,True,ok,
4zt0c_4cmqb,4zt0C,4cmqB,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.9,3.09,1338,1122,0.8385650224215246,0.9985052316890882,2,1092,1242,868,224,374,42,38,0.592087312414734,438,606,0.13377926421404682,True,ok,
5aoeb_5ly6b,5aoeB,5ly6B,C,identical,False,X-RAY DIFFRACTION,ELECTRON MICROSCOPY,2.5,4.5,490,463,0.9448979591836735,0.9877551020408163,6,454,397,189,265,208,138,80,0.2854984894259819,172,302,0.4608879492600423,True,ok,
5c1va_5c1vb,5c1vA,5c1vB,A,identical,True,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.35,3.35,318,310,0.9748427672955975,1.0,0,331,308,258,73,50,42,36,0.6771653543307087,282,313,0.6341463414634146,True,ok,
5ejbc_1wp8c,5ejbC,1wp8C,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.2,2.2,454,62,0.13656387665198239,0.9977973568281938,1,16,26,0,16,26,16,26,0.0,105,143,1.0,False,ok,coverage=0.14<0.5
5flue_2uy7d,5fluE,2uy7D,C,identical,False,ELECTRON MICROSCOPY,X-RAY DIFFRACTION,3.8,2.6,163,153,0.9386503067484663,0.9938650306748467,1,112,108,63,49,45,9,12,0.4012738853503185,0,30,0.22340425531914893,True,ok,
5hmga_3ztje,5hmgA,3ztjE,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.2,3.41,328,318,0.9695121951219512,1.0,0,344,327,289,55,38,18,14,0.756544502617801,0,96,0.34408602150537637,True,ok,
5i2ma_5i2sa,5i2mA,5i2sA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.4,3.0,413,409,0.9903147699757869,1.0,0,385,450,272,113,178,35,36,0.48312611012433393,382,413,0.24398625429553264,True,ok,
5inea_3mkoa,5ineA,3mkoA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.5,1.8,348,102,0.29310344827586204,0.9971264367816092,1,56,35,1,55,34,42,28,0.011111111111111112,280,328,0.7865168539325843,False,ok,coverage=0.29<0.5
5jzha_5jztg,5jzhA,5jztG,C,identical,False,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,3.9,7.4,424,422,0.9952830188679245,0.9976415094339622,1,440,324,141,299,183,74,31,0.22632423756019263,214,278,0.21784232365145229,True,ok,
5keqf_1dzla,5keqF,1dzlA,C,identical,False,ELECTRON MICROSCOPY,X-RAY DIFFRACTION,4.3,3.5,473,451,0.9534883720930233,0.9915433403805497,4,390,429,320,70,109,4,7,0.6412825651302605,402,436,0.061452513966480445,True,ok,
5l35d_5l35g,5l35D,5l35G,A,identical,True,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,2.89,2.89,422,422,1.0,1.0,0,358,370,300,58,70,15,19,0.7009345794392523,178,206,0.265625,True,ok,
2kxoa_3r9jc,2kxoA,3r9jC,C,homolog,False,SOLUTION NMR,X-RAY DIFFRACTION,,4.3,97,37,0.38144329896907214,0.5979381443298969,39,16,13,4,12,9,8,6,0.16,16,41,0.6666666666666666,False,ok,"min(|A|,|B|)=9<10; coverage=0.38<0.5"
6z4ua_7kdtb,6z4uA,7kdtB,C,identical,False,X-RAY DIFFRACTION,ELECTRON MICROSCOPY,1.95,3.05,84,38,0.4523809523809524,1.0,0,11,10,0,11,10,11,6,0.0,45,67,0.8095238095238095,False,ok,coverage=0.45<0.5
2k42a_1ceeb,2k42A,1ceeB,C,homolog,False,SOLUTION NMR,SOLUTION NMR,,,81,48,0.5925925925925926,0.9753086419753086,2,20,14,4,16,10,10,8,0.13333333333333333,8,32,0.6923076923076923,True,ok,
5tpna_1g2cf,5tpnA,1g2cF,B,homolog,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.141,2.3,490,33,0.0673469387755102,0.9346938775510204,32,6,0,0,6,0,6,0,0.0,422,481,1.0,False,ok,"min(|A|,|B|)=0<10; coverage=0.07<0.5"
2h44a_1rkpa,2h44A,1rkpA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.8,2.05,326,310,0.950920245398773,0.9969325153374233,1,296,312,242,54,70,31,16,0.6612021857923497,121,143,0.3790322580645161,True,ok,
2grmb_2axza,2grmB,2axzA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.0,3.0,315,305,0.9682539682539683,0.9968253968253968,1,294,269,214,80,55,19,26,0.6131805157593123,292,314,0.3333333333333333,True,ok,
2c1vb_2c1uc,2c1vB,2c1uC,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.2,1.95,335,329,0.982089552238806,1.0,0,291,288,204,87,84,30,47,0.544,218,257,0.4502923976608187,True,ok,
3kdsg_2ce7c,3kdsG,2ce7C,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.601,2.44,435,411,0.9448275862068966,0.9977011494252873,1,344,349,264,80,85,27,40,0.6153846153846154,286,306,0.40606060606060607,True,ok,
1nrjb_2gedb,1nrjB,2gedB,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.7,2.2,191,163,0.8534031413612565,1.0,0,147,135,98,49,37,31,14,0.532608695652174,33,60,0.5232558139534884,True,ok,
2lela_2k0qa,2lelA,2k0qA,C,identical,False,SOLUTION NMR,SOLUTION NMR,,,74,74,1.0,1.0,0,61,60,31,30,29,22,14,0.34444444444444444,48,71,0.6101694915254238,True,ok,
2lv1a_6lnia,2lv1A,6lniA,C,identical,False,SOLUTION NMR,ELECTRON MICROSCOPY,,2.702,147,59,0.4013605442176871,0.9931972789115646,1,16,10,2,14,8,0,0,0.08333333333333333,25,45,0.0,False,ok,"min(|A|,|B|)=8<10; coverage=0.40<0.5"
2bzyb_2lqwa,2bzyB,2lqwA,C,identical,False,X-RAY DIFFRACTION,SOLUTION NMR,2.5,,303,63,0.2079207920792079,1.0,0,25,43,16,9,27,9,27,0.3076923076923077,236,303,1.0,False,ok,"min(|A|,|B|)=9<10; coverage=0.21<0.5"
2kkwa_2n0ad,2kkwA,2n0aD,C,identical,False,UNKNOWN,SOLID-STATE NMR,,,140,140,1.0,1.0,0,1,4,0,1,4,0,2,0.0,34,55,0.4,False,ok,"min(|A|,|B|)=1<10"
1iyta_2naof,1iytA,2naoF,C,identical,False,SOLUTION NMR,SOLUTION NMR,,,42,42,1.0,1.0,0,2,7,0,2,7,1,5,0.0,6,26,0.6666666666666666,False,ok,"min(|A|,|B|)=2<10"
2mwfa_2nnta,2mwfA,2nntA,C,homolog,False,SOLUTION NMR,SOLID-STATE NMR,,,38,23,0.6052631578947368,0.9473684210526316,2,14,2,2,12,0,12,0,0.14285714285714285,1,38,1.0,False,ok,"min(|A|,|B|)=0<10"
1jfka_2nxqb,1jfkA,2nxqB,C,identical,False,SOLUTION NMR,X-RAY DIFFRACTION,,2.4,134,64,0.47761194029850745,1.0,0,44,16,7,37,9,18,3,0.1320754716981132,46,133,0.45652173913043476,False,ok,"min(|A|,|B|)=9<10; coverage=0.48<0.5"
2p3vd_2p3va,2p3vD,2p3vA,A,identical,True,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.4,2.4,254,254,1.0,1.0,0,265,278,230,35,48,5,16,0.7348242811501597,21,41,0.25301204819277107,True,ok,
5jyta_2qkee,5jytA,2qkeE,C,homolog,False,SOLUTION NMR,X-RAY DIFFRACTION,,2.7,106,92,0.8679245283018868,0.9056603773584906,10,69,61,15,54,46,41,39,0.13043478260869565,64,99,0.8,True,ok,
3g0ha_3ewsb,3g0hA,3ewsB,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.7,2.7,418,395,0.9449760765550239,1.0,0,450,425,292,158,133,11,27,0.5008576329331046,16,36,0.13058419243986255,True,ok,
2vfxl_3gmhl,2vfxL,3gmhL,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.95,3.95,203,184,0.9064039408866995,0.9852216748768473,3,193,178,81,112,97,70,53,0.2793103448275862,162,200,0.5885167464114832,True,ok,
4h2aa_3j9ca,4h2aA,3j9cA,C,identical,False,X-RAY DIFFRACTION,ELECTRON MICROSCOPY,1.62,2.9,724,403,0.5566298342541437,1.0,0,419,379,278,141,101,21,20,0.5346153846153846,324,346,0.16942148760330578,True,ok,
2pbkb_3njqa,2pbkB,3njqA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.73,2.0,228,189,0.8289473684210527,1.0,0,145,145,90,55,55,20,26,0.45,7,32,0.41818181818181815,True,ok,
1kcta_3t1pa,1kctA,3t1pA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.46,3.9,377,364,0.9655172413793104,0.986737400530504,5,361,312,180,181,132,63,64,0.36511156186612576,263,347,0.4057507987220447,True,ok,
3t5oa_4a5wb,3t5oA,4a5wB,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.869,3.5,897,840,0.9364548494983278,0.9988851727982163,1,726,640,375,351,265,34,25,0.3784056508577195,221,242,0.09577922077922078,True,ok,
4ow6b_4ae0a,4ow6B,4ae0A,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.8,1.996,523,463,0.8852772466539197,0.9980879541108987,1,444,392,306,138,86,11,19,0.5773584905660377,242,262,0.13392857142857142,True,ok,
3meea_4b3ob,3meeA,4b3oB,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.4,3.3,552,407,0.7373188405797102,0.9945652173913043,3,398,431,241,157,190,22,80,0.4098639455782313,400,440,0.29394812680115273,True,ok,
4dxra_4dxta,4dxrA,4dxtA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.32,2.22,198,196,0.98989898989899,1.0,0,168,176,143,25,33,7,4,0.7114427860696517,46,66,0.1896551724137931,True,ok,
4g0dz_4fu4c,4g0dZ,4fu4C,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.54,2.849,26,23,0.8846153846153846,1.0,0,0,0,0,0,0,0,0,1.0,3,26,,False,ok,"min(|A|,|B|)=0<10"
2lepa_4hdda,2lepA,4hddA,C,identical,False,SOLUTION NMR,X-RAY DIFFRACTION,,1.35,66,61,0.9242424242424242,0.9848484848484849,1,58,10,5,53,5,39,3,0.07936507936507936,17,42,0.7241379310344828,False,ok,"min(|A|,|B|)=5<10"
2qqja_4qdsa,2qqjA,4qdsA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.95,2.4,319,178,0.5579937304075235,1.0,0,176,177,157,19,20,4,6,0.8010204081632653,161,181,0.2564102564102564,True,ok,
4rmbb_4rmba,4rmbB,4rmbA,A,identical,True,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.7,1.7,155,141,0.9096774193548387,1.0,0,116,116,98,18,18,2,2,0.7313432835820896,130,150,0.1111111111111111,True,ok,
3l9qb_4rr2d,3l9qB,4rr2D,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.698,2.65,430,166,0.386046511627907,1.0,0,146,160,106,40,54,20,35,0.53,288,334,0.5851063829787234,False,ok,coverage=0.39<0.5
4ydqb_4twaa,4ydqB,4twaA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.3,3.0,488,478,0.9795081967213115,1.0,0,555,543,444,111,99,40,27,0.6788990825688074,78,117,0.319047619047619,True,ok,
1svfc_4wsgc,1svfC,4wsgC,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.4,3.0,479,62,0.12943632567849686,1.0,0,0,10,0,0,10,0,10,0.0,124,163,1.0,False,ok,"min(|A|,|B|)=0<10; coverage=0.13<0.5"
5bmya_5b3za,5bmyA,5b3zA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.001,2.3,388,385,0.9922680412371134,0.9974226804123711,1,369,364,310,59,54,0,0,0.7328605200945626,,,,False,ok,fold-switching region not located
3zxgb_5ec5p,3zxgB,5ec5P,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.12,3.1,293,284,0.9692832764505119,0.9829351535836177,5,324,275,205,119,70,55,17,0.5203045685279187,39,91,0.38095238095238093,True,ok,
5f5rb_5f3ka,5f5rB,5f3kA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.85,1.82,225,202,0.8977777777777778,1.0,0,190,174,120,70,54,31,4,0.4918032786885246,13,38,0.28225806451612906,True,ok,
1eboe_5fhcj,1eboE,5fhcJ,B,homolog,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,3.0,6.704,152,53,0.34868421052631576,0.8486842105263158,23,0,6,0,0,6,0,6,0.0,42,119,1.0,False,ok,"min(|A|,|B|)=0<10; coverage=0.35<0.5"
2kb8a_6vw2a,2kb8A,6vw2A,C,identical,False,SOLUTION NMR,ELECTRON MICROSCOPY,,3.4,37,24,0.6486486486486487,1.0,0,0,1,0,0,1,0,1,0.0,9,37,1.0,False,ok,"min(|A|,|B|)=0<10"
4yhdg_7ahle,4yhdG,7ahlE,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.801,1.89,293,279,0.9522184300341296,0.9931740614334471,2,377,333,272,105,61,59,15,0.6210045662100456,99,152,0.4457831325301205,True,ok,
