pair_id,n_rollouts,phi_mean,phi_sd,null_sd,dispersion,bic_1,bic_2,bic_favours_2,frac_phi_negative
1qomb_1noca,500,0.0169,0.0239,0.0253,0.893,-2304.1,-2282.1,False,0.212
3kdsg_2ce7c,500,0.3683,0.0662,0.0702,0.89,-1284.6,-1266.0,False,0.0
3ifaa_5et5a,500,-0.0592,0.0974,0.1034,0.887,-899.0,-881.1,False,0.752
4h2aa_3j9ca,500,0.0039,0.0208,0.0222,0.88,-2440.5,-2445.5,True,0.376
5l35d_5l35g,500,0.1556,0.0691,0.0759,0.83,-1241.9,-1229.4,False,0.006
5f5rb_5f3ka,500,-0.0119,0.0652,0.0724,0.812,-1300.0,-1282.1,False,0.544
3g0ha_3ewsb,500,0.0746,0.0459,0.0513,0.8,-1651.6,-1630.6,False,0.05
1h38d_1qlna,500,0.0374,0.0222,0.025,0.791,-2376.5,-2363.1,False,0.04
4zrbc_4zrbh,500,-0.1619,0.1575,0.1782,0.781,-417.9,-397.1,False,0.86
4rmbb_4rmba,500,0.016,0.0876,0.0995,0.775,-1004.7,-986.1,False,0.268
4dxra_4dxta,500,0.0318,0.084,0.0993,0.716,-1046.1,-1026.1,False,0.356
1nrjb_2gedb,500,0.3718,0.0833,0.0987,0.712,-1054.9,-1040.6,False,0.0
1k0na_1rk4b,500,0.332,0.0751,0.091,0.682,-1158.3,-1139.0,False,0.0
4y0mj_4xwsd,500,-0.0639,0.0948,0.1151,0.678,-925.9,-903.6,False,0.78
5c1va_5c1vb,500,0.4094,0.061,0.0747,0.667,-1367.1,-1348.8,False,0.0
3tp2a_5lj3m,500,0.0399,0.0339,0.0417,0.663,-1952.9,-1936.1,False,0.118
3meea_4b3ob,500,0.1537,0.0362,0.0448,0.653,-1889.4,-1867.6,False,0.0
1kcta_3t1pa,500,-0.005,0.0449,0.0562,0.637,-1674.0,-1655.1,False,0.562
4nc9c_4n9wa,500,-0.2083,0.0581,0.0797,0.532,-1415.1,-1395.2,False,1.0
4o0pa_4o01d,500,0.0092,0.0414,0.0577,0.516,-1752.9,-1736.8,False,0.43
