pair_id,fold1,fold2,tier,seq_class,L,n_a,n_b,n_a_fs,n_b_fs,jaccard,recall_a,recall_b,phi,phi_seed_sd,phi_fs,prefers,contacts_per_rollout,frac_finished,budget_capped,fold1_R_all,fold1_R_long,fold1_AUC_all,fold2_R_all,fold2_R_long,fold2_AUC_all,R_all_margin,training_fold,hit_identity,hit_arm,train_recall_a,train_recall_b
3jv6a_1zk9a,3jv6A,1zk9A,B,identical,110,58,10,28,6,0.299,0.3426,0.234,0.1086,0.0116,-0.0168,fold1,100.4,1.0,False,0.6023,0.6077,0.9788,0.3897,0.0769,0.9739,0.2126,fold1,0.986,afdb,0.8448,0.2
1qs8b_1miqb,1qs8B,1miqB,B,identical,411,86,74,34,23,0.5467,0.3126,0.2038,0.1088,0.0115,0.2381,fold1,280.5,1.0,False,0.7204,0.6978,0.9902,0.6801,0.673,0.9628,0.0403,neither,0.712,afdb,0.1279,0.0946
3m1bf_3lowa,3m1bF,3lowA,B,identical,100,76,10,74,8,0.2456,0.3975,0.2764,0.1211,0.013,0.1258,fold1,106.7,1.0,False,0.5981,0.5942,0.9732,0.3789,0.0,0.9708,0.2192,ambiguous,0.915,afdb,0.8289,0.7
2grmb_2axza,2grmB,2axzA,B,identical,315,80,55,19,26,0.6132,0.2349,0.1124,0.1225,0.0084,0.1404,fold1,305.7,1.0,False,0.5728,0.537,0.9773,0.5286,0.4919,0.9485,0.0442,fold1,0.949,esm_atlas,0.575,0.2727
3j7wb_3j7vg,3j7wB,3j7vG,C,identical,343,105,121,10,21,0.278,0.3502,0.223,0.1272,0.0051,-0.2096,fold1,279.2,1.0,False,0.5552,0.5605,0.9755,0.4798,0.4662,0.9463,0.0754,neither,0.7,esm_atlas,0.0095,0.0083
3qy2a_1qb3a,3qy2A,1qb3A,B,identical,118,46,13,26,0,0.5042,0.1965,0.0511,0.1454,0.0122,,fold1,97.1,1.0,False,0.4377,0.45,0.8908,0.2,0.1333,0.8307,0.2377,fold1,0.929,afdb,0.8261,0.1538
4pyia_4pyja,4pyiA,4pyjA,B,identical,208,61,38,40,19,0.604,0.2391,0.0916,0.1475,0.0176,0.223,fold1,203.6,1.0,False,0.6481,0.6654,0.9878,0.6011,0.5874,0.9531,0.047,neither,0.792,afdb,0.1639,0.0789
3meea_4b3ob,3meeA,4b3oB,B,identical,552,157,190,22,80,0.4099,0.3013,0.1476,0.1537,0.0026,-0.014,fold1,426.9,1.0,False,0.5839,0.5641,0.9624,0.4928,0.4637,0.9018,0.0911,fold1,0.963,esm_atlas,0.2038,0.0684
5l35d_5l35g,5l35D,5l35G,A,identical,422,58,70,15,19,0.7009,0.3225,0.1669,0.1556,0.009,0.4026,fold1,401.9,1.0,False,0.5888,0.6029,0.9663,0.5519,0.5675,0.9499,0.0369,fold1,0.956,afdb,0.5172,0.1714
4ydqb_4twaa,4ydqB,4twaA,B,identical,488,111,99,40,27,0.6789,0.2936,0.1277,0.1659,0.0093,0.2793,fold1,544.9,1.0,False,0.5593,0.5355,0.9348,0.4994,0.4676,0.9095,0.0599,fold1,0.733,afdb,0.5045,0.101
4aana_4aala,4aanA,4aalA,B,identical,324,87,95,29,44,0.5094,0.2863,0.1141,0.1723,0.0051,0.0761,fold1,280.0,1.0,False,0.6739,0.68,0.9854,0.5782,0.5673,0.9448,0.0957,fold1,0.707,afdb,0.2299,0.0316
2k42a_1ceeb,2k42A,1ceeB,C,homolog,81,16,10,10,8,0.1333,0.2974,0.1228,0.1746,0.0098,0.1361,fold1,20.0,1.0,False,0.56,0.2,0.97,0.3286,,0.9322,0.2314,fold1,0.803,afdb,0.6875,0.0
2c1vb_2c1uc,2c1vB,2c1uC,B,identical,335,87,84,30,47,0.544,0.3078,0.1248,0.183,0.005,0.1173,fold1,291.0,1.0,False,0.6275,0.6,0.979,0.5354,0.5303,0.947,0.0921,fold1,0.676,afdb,0.6667,0.1071
4qhfa_4qhha,4qhfA,4qhhA,B,identical,109,62,26,27,15,0.296,0.4086,0.1928,0.2158,0.009,0.3565,fold1,101.0,1.0,False,0.7091,0.7069,0.9882,0.5714,0.575,0.9188,0.1377,neither,0.5,esm_atlas,0.0806,0.0
5flue_2uy7d,5fluE,2uy7D,C,identical,163,49,45,9,12,0.4013,0.4574,0.2211,0.2363,0.0114,0.1447,fold1,120.1,1.0,False,0.7446,0.7271,0.9912,0.5926,0.5333,0.9562,0.152,neither,0.895,afdb,0.0816,0.0444
1xnta_3lqca,1xntA,3lqcA,C,identical,152,88,68,26,26,0.3036,0.3853,0.0823,0.303,0.012,0.5515,fold1,147.3,1.0,False,0.6038,0.6265,0.9733,0.3412,0.356,0.8661,0.2626,fold1,0.892,afdb,0.3409,0.0147
1xjta_1xjub,1xjtA,1xjuB,B,identical,178,25,39,20,19,0.5586,0.5982,0.2767,0.3214,0.0098,0.6463,fold1,130.6,1.0,False,0.6038,0.68,0.9921,0.505,0.5756,0.9293,0.0988,fold1,0.793,esm_atlas,0.76,0.4103
1k0na_1rk4b,1k0nA,1rk4B,B,identical,229,42,50,23,31,0.5799,0.468,0.1361,0.332,0.0071,0.5328,fold1,184.4,1.0,False,0.6355,0.6192,0.987,0.5311,0.5507,0.8978,0.1044,fold1,0.927,afdb,0.6429,0.26
1repc_2z9ob,1repC,2z9oB,B,identical,227,103,88,28,40,0.4087,0.5865,0.2458,0.3407,0.0047,0.5392,fold1,242.4,1.0,False,0.7591,0.7542,0.9973,0.5727,0.5151,0.9334,0.1864,neither,0.987,afdb,0.0388,0.0455
3kdsg_2ce7c,3kdsG,2ce7C,B,identical,435,80,85,27,40,0.6154,0.5643,0.196,0.3683,0.0044,0.4686,fold1,369.2,1.0,False,0.8122,0.8243,0.9991,0.7032,0.7304,0.9568,0.109,neither,0.719,afdb,0.05,0.0118
1nrjb_2gedb,1nrjB,2gedB,B,identical,191,49,37,31,14,0.5326,0.6083,0.2365,0.3718,0.0122,0.7653,fold1,159.5,1.0,False,0.6,0.6259,0.9785,0.4681,0.5134,0.9253,0.1319,fold1,0.833,afdb,0.898,0.1081
6c6sd_2ougc,6c6sD,2ougC,C,identical,161,61,58,29,40,0.2609,0.4968,0.1098,0.3871,0.0025,0.4644,fold1,110.7,1.0,False,0.7204,0.67,0.9775,0.448,0.4435,0.8122,0.2724,fold1,0.977,afdb,0.2787,0.1379
5c1va_5c1vb,5c1vA,5c1vB,A,identical,318,73,50,42,36,0.6772,0.533,0.1236,0.4094,0.0053,0.5698,fold1,357.7,1.0,False,0.687,0.6947,0.9941,0.5831,0.6167,0.9413,0.1039,fold1,1.0,afdb,0.6986,0.18
5jyta_2qkee,5jytA,2qkeE,C,homolog,106,54,46,41,39,0.1304,0.5578,0.0841,0.4737,0.0138,0.5397,fold1,79.4,1.0,False,0.7652,0.7867,0.9949,0.2754,0.2913,0.7634,0.4898,fold1,0.811,afdb,0.3333,0.0652
3hdea_3hdfa,3hdeA,3hdfA,B,identical,165,64,51,25,22,0.2857,0.6323,0.142,0.4903,0.0134,0.6959,fold1,107.4,1.0,False,0.82,0.7843,0.9933,0.4433,0.2905,0.9018,0.3767,fold1,1.0,afdb,0.6875,0.0784
4gqcc_4gqcb,4gqcC,4gqcB,A,identical,161,49,29,34,23,0.5714,0.6911,0.1281,0.563,0.0141,0.6674,fold1,159.6,1.0,False,0.834,0.8531,0.9988,0.6376,0.6067,0.9519,0.1964,neither,0.463,afdb,0.0408,0.0
1uxmk_2nama,1uxmK,2namA,C,identical,153,105,22,105,22,0.0078,0.602,0.0335,0.5685,0.0082,0.5685,fold1,123.8,1.0,False,0.7132,0.7281,0.9865,0.0,,0.6872,0.7132,fold1,0.835,afdb,0.7524,0.0
2frha_1fzpd,2frhA,1fzpD,B,identical,127,66,47,63,46,0.0174,0.6008,0.015,0.5859,0.0085,0.6131,fold1,73.7,1.0,False,0.6206,0.5949,0.9741,0.0,0.0,0.5135,0.6206,fold1,0.804,esm_atlas,0.7273,0.0
