entry_id,L,n_gt,n_rollouts,n_correct,tensor_parallel,total_gen_tokens,gen_seconds,score_seconds,tokens_per_s,mean_gen_tokens,best_struct_nll,tpu_type,n_rollouts_n,n_correct_n,n_contacts,struct_nll_min,struct_nll_mean,struct_nll_max,struct_nll_per_tok_min,selected_r
AF-A0A078B3L6-F1,399,418,10,10,4,12550,12.285,0.492,1021.6,1255.0,3401.285,v5p-8,10,10,418,3401.285164657816,3463.392270490146,3503.220041812894,2.710187382197463,5
AF-A0A081BMT7-F1,280,128,10,10,4,3850,3.638,3.003,1058.4,385.0,824.864,v5p-8,10,10,128,824.8644259682196,857.6931050811985,897.181645337623,2.142505002514856,3
AF-A0A086AGF5-F1,125,72,10,10,4,2170,2.186,0.218,992.5,217.0,399.033,v5p-8,10,10,72,399.0329919752635,409.94631152305766,424.69820988623485,1.8388617141717212,3
AF-A0A087K663-F1,129,120,10,10,4,3610,3.195,0.147,1129.9,361.0,771.117,v5p-8,10,10,120,771.1173374695278,802.9052404842736,830.3503962073105,2.136059106563789,2
AF-A0A090J1P6-F1,102,26,10,10,4,790,7.965,0.075,99.2,79.0,136.474,v5p-8,10,10,26,136.4741870163241,143.48741684921404,148.5710635690773,1.7275213546370138,2
AF-A0A090QN67-F1,278,186,10,10,4,5590,4.271,0.216,1308.8,559.0,1120.279,v5p-8,10,10,186,1120.2791167265916,1134.03817923711,1162.928354178171,2.004077131890146,9
AF-A0A090VCC4-F1,146,104,10,10,4,3130,2.293,0.27,1365.3,313.0,660.016,v5p-8,10,10,104,660.015883205899,666.168680445644,679.0206740539172,2.108676943149837,2
AF-A0A093Z3Q7-F1,124,45,10,10,4,1360,0.977,0.088,1391.7,136.0,258.091,v5p-8,10,10,45,258.09066793000306,264.2299143265478,271.40791442624675,1.8977254994853165,3
AF-A0A094Q6L8-F1,291,246,10,10,4,7390,5.686,0.247,1299.6,739.0,1834.459,v5p-8,10,10,246,1834.4585621806534,1870.7520184286961,1913.0235639720058,2.4823525875245647,7
AF-A0A094WBF1-F1,153,104,10,10,4,3130,2.26,0.145,1385.2,313.0,679.865,v5p-8,10,10,104,679.8650148425496,699.4705969327672,722.2777631341503,2.1720926991774747,0
AF-A0A0A1Q1Z9-F1,146,65,10,10,4,1960,1.527,0.121,1283.6,196.0,389.886,v5p-8,10,10,65,389.88612430820876,400.39549765121643,410.43226562904306,1.9892149199398406,0
AF-A0A0A6UVY2-F1,101,70,10,10,4,2110,1.631,0.111,1293.8,211.0,422.29,v5p-8,10,10,70,422.28978652392846,429.8841387497192,445.71390433987835,2.001373395848002,6
AF-A0A0A8KXJ8-F1,216,198,10,10,4,5950,4.578,0.326,1299.7,595.0,1303.962,v5p-8,10,10,198,1303.9621524453166,1323.5284887593634,1356.7483738486076,2.19153302931986,9
AF-A0A0B0IDR2-F1,87,81,10,10,4,2440,1.751,0.111,1393.9,244.0,515.327,v5p-8,10,10,81,515.3273243291076,528.8564390822976,545.6084571919884,2.111997230856998,6
AF-A0A0C1IMN7-F1,79,53,10,10,4,1600,1.174,0.076,1362.8,160.0,310.54,v5p-8,10,10,53,310.54012818190586,318.41564642542437,334.74190900830376,1.9408758011369116,3
AF-A0A0C1Z5R4-F1,272,178,10,10,4,5350,4.152,0.211,1288.6,535.0,1372.537,v5p-8,10,10,178,1372.5374756776487,1395.9220383428387,1414.1707430279805,2.5654906087432687,6
AF-A0A0C2RMB1-F1,87,59,10,10,4,1780,1.253,0.083,1420.4,178.0,313.734,v5p-8,10,10,59,313.7337000224546,320.7847148297059,329.0480774137667,1.762548876530644,2
AF-A0A0C2RTK4-F1,132,106,10,10,4,3190,2.348,0.136,1358.6,319.0,608.471,v5p-8,10,10,106,608.4711335094778,620.7548423315336,635.1195982222023,1.9074330204058865,5
AF-A0A0C3AC76-F1,165,98,10,10,4,2950,2.174,0.271,1356.8,295.0,661.849,v5p-8,10,10,98,661.849016811711,674.4347342376386,684.9977605398549,2.2435559891922403,0
AF-A0A0C3I9N6-F1,273,215,10,10,4,6460,4.967,0.223,1300.7,646.0,1536.092,v5p-8,10,10,215,1536.0922903176422,1559.5764378549322,1601.7845807524332,2.3778518425969692,1
AF-A0A0D0K2C7-F1,126,49,10,10,4,1480,1.072,0.09,1380.9,148.0,283.043,v5p-8,10,10,49,283.0425969923417,292.48234140678323,299.2136752323802,1.9124499796779846,2
AF-A0A0D1A8Z2-F1,109,76,10,10,4,2290,1.646,0.115,1391.0,229.0,453.01,v5p-8,10,10,76,453.0097247677338,471.22441093813643,486.24616413305887,1.9782084050992743,7
AF-A0A0D3LB07-F1,183,184,10,10,4,5530,4.143,0.185,1334.7,553.0,1166.745,v5p-8,10,10,184,1166.7451163305204,1204.8342229041336,1225.25431847716,2.1098465033101634,1
AF-A0A0D6M722-F1,466,431,10,10,4,12940,11.018,0.511,1174.4,1294.0,3164.671,v5p-8,10,10,431,3164.670738885895,3214.585929461684,3276.625999115063,2.445649720931913,9
AF-A0A0D6QI55-F1,176,119,10,10,4,3580,2.709,0.159,1321.4,358.0,734.569,v5p-8,10,10,119,734.5690376783076,755.3466031034409,764.6955523749534,2.0518688203304682,1
AF-A0A0E2EBR0-F1,118,49,10,10,4,1480,1.079,0.087,1371.5,148.0,227.819,v5p-8,10,10,49,227.8185910043021,234.64265955506386,243.53839308895192,1.5393148040831224,9
AF-A0A0E2W986-F1,120,34,10,10,4,1030,0.754,0.197,1366.0,103.0,150.622,v5p-8,10,10,34,150.62152960461992,154.61693960542897,159.259626156075,1.462344947617669,0
AF-A0A0E3P1D7-F1,55,33,10,10,4,1000,0.721,0.06,1387.1,100.0,142.609,v5p-8,10,10,33,142.60888088206866,153.55522310007262,162.98700655862535,1.4260888088206867,8
AF-A0A0F4JJR3-F1,275,133,10,10,4,4000,3.036,0.189,1317.5,400.0,866.901,v5p-8,10,10,133,866.9012186898924,879.9747985175594,895.3236030091682,2.167253046724731,4
AF-A0A0F7PNC1-F1,88,27,10,10,4,820,0.588,0.068,1394.3,82.0,107.944,v5p-8,10,10,27,107.9439139303862,111.52226617053148,116.2781838320891,1.3163891942730024,7
AF-A0A0F8FY96-F1,115,121,10,10,4,3640,2.684,0.136,1356.3,364.0,676.038,v5p-8,10,10,121,676.038170931454,702.1135309422439,717.3886043716707,1.8572477223391595,5
AF-A0A0F9L9P7-F1,113,86,10,10,4,2590,1.889,0.121,1371.2,259.0,523.52,v5p-8,10,10,86,523.520017539223,534.6486190247113,544.7624350567929,2.021312809031749,8
AF-A0A0F9UAM7-F1,258,202,10,10,4,6070,4.688,0.337,1294.8,607.0,1384.838,v5p-8,10,10,202,1384.8379285224096,1416.3789467655076,1443.4087885167273,2.2814463402346123,9
AF-A0A0G0C4K1-F1,250,239,10,10,4,7180,5.57,0.227,1289.0,718.0,1528.559,v5p-8,10,10,239,1528.5590913411925,1575.2596390510964,1617.5538216794564,2.128912383483555,7
AF-A0A0G0G5I9-F1,139,114,10,10,4,3430,2.496,0.142,1374.3,343.0,708.582,v5p-8,10,10,114,708.5822748440439,737.4638207620397,749.3132066639955,2.065837535988466,5
AF-A0A0H1RMD7-F1,320,258,10,10,4,7750,6.13,0.369,1264.3,775.0,1875.842,v5p-8,10,10,258,1875.8416527181992,1899.6158674347553,1919.0430709784628,2.4204408422170314,4
AF-A0A0H3GZA4-F1,213,69,10,10,4,2080,1.529,0.144,1360.2,208.0,337.466,v5p-8,10,10,69,337.4660193354455,351.7214901349818,363.066093108745,1.6224327852665648,7
AF-A0A0J8V6N4-F1,285,255,10,10,4,7660,6.053,0.245,1265.5,766.0,1775.445,v5p-8,10,10,255,1775.4446733043596,1796.287106707977,1831.5763721863123,2.317812889431279,1
AF-A0A0M2JQX3-F1,148,27,10,10,4,820,0.605,0.087,1355.6,82.0,130.659,v5p-8,10,10,27,130.65901966084243,137.52141542619597,145.44020122201084,1.5934026787907614,6
AF-A0A0M3KBQ3-F1,134,69,10,10,4,2080,1.545,0.12,1346.2,208.0,417.99,v5p-8,10,10,69,417.99031362905464,431.33074463170635,440.52569369759476,2.009568815524301,1
AF-A0A0N1FD95-F1,240,258,10,10,4,7750,6.062,0.357,1278.4,775.0,1826.894,v5p-8,10,10,258,1826.8942576164943,1851.1143490392624,1873.2739869296397,2.357282913053541,8
AF-A0A0Q5WE75-F1,288,261,10,10,4,7840,6.295,0.248,1245.4,784.0,1857.551,v5p-8,10,10,261,1857.550634123943,1891.3312199375473,1910.6934643609382,2.3693247884233966,0
AF-A0A0Q6VGJ6-F1,157,111,10,10,4,3340,2.45,0.147,1363.5,334.0,719.036,v5p-8,10,10,111,719.0361199526835,732.627760994643,740.7273094533057,2.1528027543493518,4
AF-A0A0Q6W2Y4-F1,196,157,10,10,4,4720,3.576,0.307,1320.1,472.0,1036.008,v5p-8,10,10,157,1036.00754852507,1051.4789464943947,1061.7347328666483,2.1949312468751483,4
AF-A0A0Q6WY09-F1,242,246,10,10,4,7390,5.756,0.225,1283.8,739.0,1737.606,v5p-8,10,10,246,1737.6058432783145,1772.5855066203653,1809.3078763635765,2.351293427981481,4
AF-A0A0Q6X9Y4-F1,79,30,10,10,4,910,0.647,0.068,1406.2,91.0,125.43,v5p-8,10,10,30,125.43045745434938,130.91776076273143,135.82818837001332,1.3783566753225207,3
AF-A0A0Q9ES15-F1,187,139,10,10,4,4180,3.123,0.169,1338.6,418.0,912.102,v5p-8,10,10,139,912.101703681634,924.7475571344942,939.8045578621488,2.1820614920613255,0
AF-A0A0Q9L010-F1,220,119,10,10,4,3580,2.671,0.169,1340.4,358.0,791.899,v5p-8,10,10,119,791.8988784166047,805.3634575099657,824.3169212278215,2.2120080402698457,3
AF-A0A0Q9Z105-F1,268,228,10,10,4,6850,5.346,0.344,1281.3,685.0,1503.346,v5p-8,10,10,228,1503.3459669395222,1545.4547840902856,1589.3774732544694,2.1946656451671855,0
AF-A0A0R2AXN7-F1,94,63,10,10,4,1900,1.359,0.087,1397.7,190.0,313.935,v5p-8,10,10,63,313.9353039859011,325.48127902216646,334.8556051713724,1.6522910736100058,5
AF-A0A0R2QD14-F1,65,23,10,10,4,700,0.5,0.059,1399.5,70.0,111.882,v5p-8,10,10,23,111.88245040263519,117.1153224434618,121.71425252243569,1.5983207200376455,8
AF-A0A0R3BKB2-F1,95,58,10,10,4,1750,1.256,0.083,1392.8,175.0,303.016,v5p-8,10,10,58,303.016482848906,316.3024996795592,332.3701528414848,1.7315227591366056,6
AF-A0A0R3ILJ3-F1,219,112,10,10,4,3370,2.513,0.169,1341.1,337.0,723.949,v5p-8,10,10,112,723.9489998052594,740.028646924889,768.0024859478239,2.1482166166328174,4
AF-A0A0S2I673-F1,186,72,10,10,4,2170,1.579,0.138,1374.3,217.0,369.314,v5p-8,10,10,72,369.313548014092,391.01774172695735,402.1189930774399,1.701905751217014,4
AF-A0A0S2W802-F1,115,48,10,10,4,1450,1.053,0.202,1377.2,145.0,272.014,v5p-8,10,10,48,272.014352045192,277.8532874989645,283.30135142495976,1.8759610485875313,4
AF-A0A0S2ZQV6-F1,388,451,10,10,4,13540,11.433,0.36,1184.3,1354.0,3422.177,v5p-8,10,10,451,3422.1765511371887,3470.035111031044,3514.3066058220556,2.527456832449918,1
AF-A0A0S4LCY7-F1,189,95,10,10,4,2860,2.074,0.151,1379.0,286.0,607.875,v5p-8,10,10,95,607.8745841852186,616.1827445978901,630.0297661958227,2.125435609039226,5
AF-A0A0S7Y438-F1,277,215,10,10,4,6460,4.964,0.334,1301.4,646.0,1465.767,v5p-8,10,10,215,1465.76725855732,1500.3949747633062,1521.313649880349,2.2689895643302167,5
AF-A0A0S8D8U9-F1,212,169,10,10,4,5080,3.89,0.186,1305.8,508.0,1144.06,v5p-8,10,10,169,1144.0603737270026,1165.1413466050315,1184.8413280213688,2.2520873498563043,2
AF-A0A0S8HBW3-F1,116,67,10,10,4,2020,1.476,0.114,1368.5,202.0,347.67,v5p-8,10,10,67,347.6700439837309,354.4491389565369,360.6174720183494,1.7211388316026284,7
AF-A0A0S8KJ43-F1,116,112,10,10,4,3370,2.502,0.137,1347.1,337.0,681.736,v5p-8,10,10,112,681.7364194872569,695.3809209254862,708.3783349694229,2.0229567343835515,6
AF-A0A0U3AG07-F1,189,127,10,10,4,3820,2.82,0.282,1354.5,382.0,770.201,v5p-8,10,10,127,770.2012622471818,781.6734956728914,801.839760934481,2.016233670804141,8
AF-A0A0W8FZR3-F1,69,6,10,10,4,190,0.146,0.164,1299.4,19.0,22.172,v5p-8,10,10,6,22.17214972252259,25.522796487062987,28.17674859278486,1.1669552485538206,7
AF-A0A0X3UPP1-F1,327,186,10,10,4,5590,4.328,0.225,1291.5,559.0,1424.277,v5p-8,10,10,186,1424.2767217485994,1444.6021254926418,1462.6870268936523,2.5479011122515196,3
AF-A0A0Z8LYN6-F1,302,295,10,10,4,8860,7.013,0.262,1263.3,886.0,2173.83,v5p-8,10,10,295,2173.8304680299634,2207.798282284532,2229.6504968978734,2.4535332596274984,1
AF-A0A100I0V3-F1,170,128,10,10,4,3850,2.872,0.275,1340.6,385.0,889.716,v5p-8,10,10,128,889.7163858716178,912.6969714924168,941.1896570619255,2.310951651614592,8
AF-A0A128EME2-F1,137,110,10,10,4,3310,2.428,0.139,1363.3,331.0,709.303,v5p-8,10,10,110,709.302563054139,719.3706025283823,728.4144804762293,2.1429080454807825,2
AF-A0A132MH23-F1,261,287,10,10,4,8620,6.847,0.247,1258.9,862.0,2076.862,v5p-8,10,10,287,2076.862478907212,2116.6826087262293,2171.1632566588823,2.409353223790269,7
AF-A0A135IKW2-F1,99,30,10,10,4,910,0.66,0.074,1379.2,91.0,138.251,v5p-8,10,10,30,138.2510701953463,142.3052963774071,147.05720326151686,1.51924252961919,8
AF-A0A135THY5-F1,221,201,10,10,4,6040,4.611,0.203,1310.0,604.0,1362.752,v5p-8,10,10,201,1362.7521898124594,1382.9262172922995,1418.6537173107706,2.25621223478884,2
AF-A0A136LR62-F1,85,45,10,10,4,1360,0.969,0.191,1403.7,136.0,189.199,v5p-8,10,10,45,189.19888543860804,193.04697462330378,196.4605709644236,1.3911682752838828,4
AF-A0A147GX12-F1,71,58,10,10,4,1750,1.253,0.076,1397.1,175.0,291.824,v5p-8,10,10,58,291.8244089284067,302.63902214086085,310.9724878947061,1.6675680510194668,3
AF-A0A150D5N9-F1,79,58,10,10,4,1750,1.254,0.077,1395.4,175.0,290.786,v5p-8,10,10,58,290.7860106491921,301.24096282317316,308.7017314613406,1.6616343465668122,4
AF-A0A150QTE2-F1,103,106,10,10,4,3190,2.329,0.126,1369.5,319.0,575.075,v5p-8,10,10,106,575.0751279960948,587.6093121517578,601.6295020066594,1.8027433479501405,6
AF-A0A152A5D9-F1,161,82,10,10,4,2470,1.8,0.133,1372.0,247.0,511.017,v5p-8,10,10,82,511.0167937843794,524.9474398427428,553.0002478034064,2.06889390196105,3
AF-A0A154C637-F1,202,127,10,10,4,3820,2.864,0.169,1333.6,382.0,839.758,v5p-8,10,10,127,839.7578086036413,861.2604374482016,903.193534239409,2.1983188706901604,0
AF-A0A160F8Q8-F1,292,174,10,10,4,5230,4.064,0.213,1286.8,523.0,1206.091,v5p-8,10,10,174,1206.0911253472045,1230.068938829065,1258.985984218601,2.3061015781017296,6
AF-A0A164Y4S7-F1,237,121,10,10,4,3640,2.842,8.61,1281.0,364.0,716.809,v5p-8,10,10,121,716.8087594894832,735.6989209364208,766.1465646192571,1.9692548337623166,8
AF-A0A174QVN0-F1,83,28,10,10,4,850,0.616,0.068,1380.1,85.0,130.357,v5p-8,10,10,28,130.35698613303043,136.3838456408068,142.0425207462564,1.5336116015650638,3
AF-A0A175W4K6-F1,427,447,10,10,4,13420,11.704,0.369,1146.6,1342.0,3602.827,v5p-8,10,10,447,3602.8272235961967,3637.96002606797,3696.6406374483427,2.684670062292248,2
AF-A0A177N9G6-F1,144,100,10,10,4,3010,2.213,0.138,1359.9,301.0,578.11,v5p-8,10,10,100,578.1100269315992,594.7197061666059,606.9654704197087,1.920631318709632,0
AF-A0A1B2ECB7-F1,462,488,10,10,4,14650,12.411,0.396,1180.5,1465.0,3892.096,v5p-8,10,10,488,3892.0956471581057,3930.0593633065137,4006.180670335665,2.6567205782649186,2
AF-A0A1C2HVD9-F1,195,119,10,10,4,3580,2.642,0.163,1355.1,358.0,746.267,v5p-8,10,10,119,746.2673607786928,760.0098948926618,772.9851523138334,2.084545700499142,9
AF-A0A1D9EPS7-F1,100,29,10,10,4,880,0.626,0.072,1404.9,88.0,147.65,v5p-8,10,10,29,147.6496072522932,155.4087154980179,164.7417216944898,1.6778364460487865,8
AF-A0A1E3Z9G4-F1,141,129,10,10,4,3880,3.006,0.149,1290.9,388.0,810.963,v5p-8,10,10,129,810.963444781307,830.266193635502,847.8207146592644,2.0901119710858427,3
AF-A0A1E4HKH5-F1,149,120,10,10,4,3610,2.625,0.147,1375.2,361.0,811.674,v5p-8,10,10,120,811.6736323729413,827.6225484243698,849.3776295703974,2.2484034137754607,2
AF-A0A1F3BJC0-F1,84,6,10,10,4,190,0.145,0.048,1309.1,19.0,38.068,v5p-8,10,10,6,38.06834067485761,41.23852211600515,45.18916821485618,2.003596877624085,5
AF-A0A1F4A4R3-F1,120,92,10,10,4,2770,2.052,0.126,1349.8,277.0,500.209,v5p-8,10,10,92,500.2094587433312,522.9018215198282,535.6004612824713,1.805810320373037,6
AF-A0A1F7PSL9-F1,103,86,10,10,4,2590,1.933,0.118,1339.8,259.0,467.319,v5p-8,10,10,86,467.31880276535446,487.0099391827421,503.9650229747979,1.8043197017967354,3
AF-A0A1F8NAE2-F1,164,123,10,10,4,3700,2.718,0.155,1361.5,370.0,766.753,v5p-8,10,10,123,766.7529527110862,789.5029730701531,811.1448713679747,2.0723052775975304,1
AF-A0A1F9Q9B5-F1,426,364,10,10,4,10930,8.91,0.458,1226.7,1093.0,2731.499,v5p-8,10,10,364,2731.4993773336255,2762.975638786476,2814.3337203088686,2.4990845172311302,7
AF-A0A1F9WYC9-F1,127,127,10,10,4,3820,2.818,0.146,1355.6,382.0,728.574,v5p-8,10,10,127,728.5741561398867,741.9658200670922,758.051654371245,1.907262188847871,8
AF-A0A1G0YQE8-F1,161,7,10,10,4,220,0.177,0.08,1241.2,22.0,25.674,v5p-8,10,10,7,25.674095204565674,27.83006973542506,30.97514046356082,1.167004327480258,1
AF-A0A1G1G923-F1,196,179,10,10,4,5380,4.054,0.19,1327.0,538.0,1190.267,v5p-8,10,10,179,1190.2669301386984,1207.5517325009992,1233.5907811152722,2.2123920634548297,3
AF-A0A1G2BPR7-F1,299,248,10,10,4,7450,5.835,0.382,1276.9,745.0,1890.958,v5p-8,10,10,248,1890.958400559705,1918.7380828928647,1941.6570207686796,2.5381991953821545,2
AF-A0A1G2U5Z0-F1,77,16,10,10,4,490,0.351,0.06,1395.3,49.0,63.021,v5p-8,10,10,16,63.0208617214289,67.98677885016507,73.03294893594261,1.286140035131202,8
AF-A0A1G5RTC8-F1,194,144,10,10,4,4330,3.226,6.657,1342.1,433.0,913.142,v5p-8,10,10,144,913.1415380694168,933.668047010374,959.2127711245782,2.1088719124005006,0
AF-A0A1G7LNW0-F1,284,260,10,10,4,7810,6.089,0.241,1282.6,781.0,1892.858,v5p-8,10,10,260,1892.8583694488896,1921.7791388818466,1950.1978217380413,2.4236342758628546,9
AF-A0A1H0DQV3-F1,118,55,10,10,4,1660,1.172,0.09,1415.9,166.0,285.436,v5p-8,10,10,55,285.4356564955722,294.4641725542459,306.2481469918448,1.7194919065998324,3
AF-A0A1H0DWX7-F1,81,22,10,10,4,670,0.466,0.063,1437.2,67.0,109.46,v5p-8,10,10,22,109.46023268006343,112.77021725634636,117.63077330421174,1.6337348161203498,3
AF-A0A1H0HMJ5-F1,177,111,10,10,4,3340,2.398,0.151,1393.0,334.0,608.045,v5p-8,10,10,111,608.0450291766515,620.3682540184373,637.5497558109132,1.820494099331292,9
AF-A0A1H0MSQ8-F1,111,87,10,10,4,2620,1.905,0.121,1375.7,262.0,494.423,v5p-8,10,10,87,494.4232712143298,511.39666461214193,527.9491055944252,1.8871117221920986,2
AF-A0A1H4P998-F1,80,46,10,10,4,1390,0.995,0.074,1396.8,139.0,217.155,v5p-8,10,10,46,217.15460892442047,228.8203248263294,237.9312926707753,1.5622633735569817,0
AF-A0A1H4ZXT8-F1,169,127,10,10,4,3820,2.823,0.301,1353.3,382.0,794.35,v5p-8,10,10,127,794.3498775164899,806.8263295623426,829.299491101101,2.0794499411426437,9
AF-A0A1H5EQN0-F1,365,296,10,10,4,8890,7.093,0.275,1253.4,889.0,2141.641,v5p-8,10,10,296,2141.6409553935355,2175.4077600681076,2241.2483480971505,2.4090449441997026,0
AF-A0A1H7B660-F1,272,236,10,10,4,7090,5.549,0.231,1277.6,709.0,1669.682,v5p-8,10,10,236,1669.68150703754,1690.9522405771472,1715.6602016022134,2.3549809690233285,4
AF-A0A1H7BZP4-F1,219,125,10,10,4,3760,2.781,6.159,1352.2,376.0,829.608,v5p-8,10,10,125,829.6079294435988,841.4792457712086,856.8013095851682,2.206404067669146,5
AF-A0A1H8IES4-F1,201,156,10,10,4,4690,3.494,0.18,1342.5,469.0,1066.167,v5p-8,10,10,156,1066.1668844250316,1083.0320927018188,1103.9261527812034,2.273276939072562,2
AF-A0A1H8J886-F1,263,269,10,10,4,8080,6.327,0.407,1277.0,808.0,1861.168,v5p-8,10,10,269,1861.168408334857,1884.0158947487707,1903.3106379206401,2.3034262479391794,4
AF-A0A1I0MNP8-F1,201,176,10,10,4,5290,3.919,0.189,1349.9,529.0,1091.504,v5p-8,10,10,176,1091.5039716135534,1111.8166016559192,1139.5203382863851,2.063334539912199,2
AF-A0A1I3G1X7-F1,112,38,10,10,4,1150,0.82,0.081,1402.1,115.0,220.118,v5p-8,10,10,38,220.1180704462604,228.5976062236573,235.9058797952132,1.9140701777935687,6
AF-A0A1I3S624-F1,170,118,10,10,4,3550,2.598,0.154,1366.6,355.0,763.993,v5p-8,10,10,118,763.9926923705752,773.409447967998,792.7641667382075,2.152092091184719,1
AF-A0A1I4LSU9-F1,175,134,10,10,4,4030,2.992,0.162,1347.2,403.0,864.551,v5p-8,10,10,134,864.5513891718465,883.288135842538,905.2284880385067,2.145288806878031,7
AF-A0A1I7UQV9-F1,113,86,10,10,4,2590,1.909,0.124,1356.8,259.0,434.474,v5p-8,10,10,86,434.474395716089,440.68429394906053,446.13602453194505,1.677507319367139,3
AF-A0A1J0AGT5-F1,270,116,10,10,4,3490,2.603,0.181,1340.7,349.0,621.19,v5p-8,10,10,116,621.1900599599453,639.7943138532501,652.5535550055072,1.779914211919614,8
AF-A0A1J5KTN9-F1,347,309,10,10,4,9280,7.567,0.454,1226.4,928.0,2068.041,v5p-8,10,10,309,2068.0407512120373,2091.2705652472214,2123.793289072681,2.228492188806075,4
AF-A0A1K2HJG6-F1,232,184,10,10,4,5530,4.222,0.2,1309.7,553.0,1199.777,v5p-8,10,10,184,1199.7771345876147,1219.2671461053374,1232.5552201990413,2.1695789052217265,0
AF-A0A1L9BRL8-F1,115,67,10,10,4,2020,1.452,0.115,1391.5,202.0,356.439,v5p-8,10,10,67,356.4391239611705,363.51081894775234,377.31970301025353,1.764550118619656,8
AF-A0A1L9SD49-F1,356,323,10,10,4,9700,7.809,0.291,1242.2,970.0,2412.162,v5p-8,10,10,323,2412.1617559408755,2432.0780484568254,2465.1750785543964,2.4867646968462633,7
AF-A0A1M3ALQ7-F1,69,46,10,10,4,1390,0.982,0.239,1416.2,139.0,223.318,v5p-8,10,10,46,223.31808058470415,231.56170944105725,236.34279168849446,1.6066048962928356,8
AF-A0A1M3BFE1-F1,156,138,10,10,4,4150,3.038,0.156,1365.9,415.0,841.86,v5p-8,10,10,138,841.8604068234534,867.0488801385543,884.84724027829,2.0285792935504903,5
AF-A0A1M4JLL1-F1,178,128,10,10,4,3850,2.844,0.16,1353.6,385.0,802.182,v5p-8,10,10,128,802.1821578847166,826.980123735244,838.501277660389,2.0835900204797833,9
AF-A0A1M4W3J5-F1,295,288,10,10,4,8650,8.765,0.261,986.9,865.0,2112.353,v5p-8,10,10,288,2112.3532152348853,2162.734073769489,2214.1747911819803,2.4420268384218327,0
AF-A0A1M5NBI5-F1,153,105,10,10,4,3160,2.835,0.179,1114.7,316.0,639.737,v5p-8,10,10,105,639.7374433881258,651.3161182199642,664.2130187913253,2.02448558034217,8
AF-A0A1M7QJT9-F1,136,90,10,10,4,2710,2.51,0.265,1079.6,271.0,534.159,v5p-8,10,10,90,534.1591617283564,548.7607694147193,554.1599739802789,1.9710670174478095,8
AF-A0A1N6IZK8-F1,282,269,10,10,4,8080,8.121,0.499,995.0,808.0,1783.365,v5p-8,10,10,269,1783.365409213347,1814.0146979335332,1866.5484194474534,2.2071354074422613,3
AF-A0A1N6K1Z4-F1,360,76,10,10,4,2290,2.062,0.224,1110.7,229.0,425.782,v5p-8,10,10,76,425.78174583425607,438.74490162914606,457.30748899314415,1.859308933774044,4
AF-A0A1P8PGC2-F1,167,156,10,10,4,4690,4.491,0.206,1044.2,469.0,1034.732,v5p-8,10,10,156,1034.7319751123835,1050.4590422660867,1069.246584268382,2.206251546081841,1
AF-A0A1Q3NGI3-F1,312,282,10,10,4,8470,8.658,0.294,978.3,847.0,2057.416,v5p-8,10,10,282,2057.4163167786382,2109.3791436335473,2149.312214154709,2.4290629477906,0
AF-A0A1Q3WIC3-F1,87,37,10,4,4,457,1.729,0.064,264.3,45.7,190.046,v5p-8,10,4,37,16.762226700730935,89.09020461458212,198.22186035336654,1.696838162034925,7
