stem,n_residues,n_db_reps,mode,alignment_type,elapsed_seconds,n_hits,model_nickname,runner_tag,gpu_name,cpu_model,n_cpus,hostname,platform,foldseek_version,db_snapshot_tag,timestamp_utc
7ur7_A,70,229,per_candidate,1,1.0419,77,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7urp_A,160,229,per_candidate,1,1.225,82,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7uvg_A,183,229,per_candidate,1,1.251,87,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7uww_A,635,229,per_candidate,1,2.5886,124,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7v3o_A,328,229,per_candidate,1,2.0222,102,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7w15_A,302,229,per_candidate,1,2.1549,168,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7wz5_A,161,229,per_candidate,1,1.6305,106,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7wzm_A,492,229,per_candidate,1,2.5776,158,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7x3h_A,290,229,per_candidate,1,1.9833,132,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7x4p_A,307,229,per_candidate,1,2.2016,160,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7x8l_A,514,229,per_candidate,1,2.6858,149,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7xcd_A,178,229,per_candidate,1,1.5507,74,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7xg9_A,288,229,per_candidate,1,2.055,148,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7xi5_A,65,229,per_candidate,1,1.2659,38,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7xjr_A,337,229,per_candidate,1,2.4165,143,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7xlz_A,266,229,per_candidate,1,2.2527,117,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7xp9_A,84,229,per_candidate,1,1.7113,84,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7xq4_A,514,229,per_candidate,1,3.2705,141,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7xrx_A,398,229,per_candidate,1,2.8702,134,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7xyr_A,591,229,per_candidate,1,3.7225,184,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7xz3_A,325,229,per_candidate,1,2.3084,132,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7y3h_A,413,229,per_candidate,1,3.0283,173,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7y4h_A,338,229,per_candidate,1,2.6635,152,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7y54_A,100,229,per_candidate,1,1.7587,79,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7y5j_A,102,229,per_candidate,1,1.7441,81,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7y5m_A,170,229,per_candidate,1,1.9039,99,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7y5r_A,105,229,per_candidate,1,1.9093,94,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7y8h_A,100,229,per_candidate,1,1.6883,77,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7y8i_A,97,229,per_candidate,1,1.6795,80,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7yd4_A,185,229,per_candidate,1,2.1264,139,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7yhr_A,60,229,per_candidate,1,1.5719,29,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7ykm_A,105,229,per_candidate,1,1.8174,69,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7ylr_A,330,229,per_candidate,1,2.6848,144,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7yug_A,118,229,per_candidate,1,1.7469,79,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7yyg_A,365,229,per_candidate,1,2.4671,135,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7z65_A,283,229,per_candidate,1,2.4865,134,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7znz_A,761,229,per_candidate,1,4.6762,168,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7zoi_A,151,229,per_candidate,1,1.7169,55,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7zs2_A,316,229,per_candidate,1,2.384,135,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7zu3_A,132,229,per_candidate,1,1.8717,89,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7zv1_A,136,229,per_candidate,1,1.7573,74,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8adc_A,215,229,per_candidate,1,2.1681,127,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8add_A,213,229,per_candidate,1,2.1367,123,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8ah9_A,120,229,per_candidate,1,1.8321,81,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8ak2_A,297,229,per_candidate,1,2.4559,145,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8akh_A,374,229,per_candidate,1,2.4825,128,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8amo_A,399,229,per_candidate,1,2.7662,135,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8arl_A,246,229,per_candidate,1,1.9899,82,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8au6_A,321,229,per_candidate,1,2.4716,137,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8axj_A,162,229,per_candidate,1,2.0357,60,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8azb_A,521,229,per_candidate,1,3.6332,187,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8b2e_A,143,229,per_candidate,1,1.7107,76,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8b2g_A,74,229,per_candidate,1,1.5619,57,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8b2s_A,245,229,per_candidate,1,2.0135,116,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8b4u_A,277,229,per_candidate,1,2.4175,150,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8b5w_A,459,229,per_candidate,1,2.7499,154,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8b61_A,238,229,per_candidate,1,2.0379,98,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8b6a_A,214,229,per_candidate,1,2.1692,96,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8b6e_A,66,229,per_candidate,1,1.654,21,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8baq_A,208,229,per_candidate,1,1.8574,94,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8bau_A,189,229,per_candidate,1,1.9827,104,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8bfy_A,426,229,per_candidate,1,2.8066,153,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8bgb_A,131,229,per_candidate,1,1.6967,63,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8bke_A,638,229,per_candidate,1,2.4521,96,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8bsb_A,177,229,per_candidate,1,1.9012,109,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8bux_A,334,229,per_candidate,1,2.5726,160,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8c4d_A,330,229,per_candidate,1,1.8991,103,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8c4y_A,314,229,per_candidate,1,2.4531,150,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8cba_A,214,229,per_candidate,1,1.9835,118,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8ci9_A,312,229,per_candidate,1,2.4306,141,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8cih_A,214,229,per_candidate,1,2.0305,121,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8cpk_A,384,229,per_candidate,1,2.2748,79,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8cpn_A,207,229,per_candidate,1,1.7924,98,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
