case,worker,length,condition,generated,refolded,quality_pass,sequences_saved,complete
c004099-l364-1.x.x.x,5,364,1.x.x.x,368,368,270,368,1
c003751-l354-2.x.x.x,5,354,2.x.x.x,48,48,24,48,1
c002841-l324-3.x.x.x,5,324,3.x.x.x,464,464,249,464,1
c008463-l448-1.x.x.x,5,448,1.x.x.x,224,224,150,224,1
c005844-l407-1.x.x.x,5,407,1.x.x.x,304,304,201,304,1
c004147-l365-3.x.x.x,5,365,3.x.x.x,368,112,70,128,0
c012842-l492-1.x.x.x,6,492,1.x.x.x,208,208,118,208,1
c004148-l365-3.x.x.x,6,365,3.x.x.x,368,368,189,368,1
c004097-l364-1.x.x.x,6,364,1.x.x.x,368,368,247,368,1
c013558-l498-1.x.x.x,6,498,1.x.x.x,192,192,128,192,1
c005615-l402-1.x.x.x,6,402,1.x.x.x,304,304,209,304,1
c003417-l344-1.x.x.x,6,344,1.x.x.x,416,416,295,416,1
c009747-l463-1.x.x.x,6,463,1.x.x.x,224,224,142,224,1
c003697-l353-unconditional,6,353,unconditional,240,0,0,0,0
c004149-l365-3.x.x.x,7,365,3.x.x.x,368,368,197,368,1
c000541-l175-2.x.x.x,7,175,2.x.x.x,160,160,71,160,1
c009729-l463-1.x.x.x,7,463,1.x.x.x,224,224,141,224,1
c005846-l407-1.x.x.x,7,407,1.x.x.x,304,304,207,304,1
c007223-l431-2.x.x.x,8,431,2.x.x.x,272,272,92,272,1
c006202-l414-1.x.x.x,8,414,1.x.x.x,288,288,184,288,1
c005814-l406-3.x.x.x,8,406,3.x.x.x,304,304,143,304,1
c012087-l485-3.x.x.x,8,485,3.x.x.x,208,208,90,208,1
c002900-l327-unconditional,8,327,unconditional,448,448,304,448,1
c012867-l492-2.x.x.x,8,492,2.x.x.x,208,208,61,208,1
c001688-l274-1.x.x.x,8,274,1.x.x.x,624,624,480,624,1
c013461-l497-1.x.x.x,8,497,1.x.x.x,176,176,115,176,1
c004321-l370-1.x.x.x,8,370,1.x.x.x,352,352,248,352,1
c007136-l430-unconditional,8,430,unconditional,48,48,31,48,1
c004081-l364-unconditional,8,364,unconditional,368,368,254,368,1
c008332-l446-3.x.x.x,8,446,3.x.x.x,240,240,112,240,1
c006506-l420-unconditional,8,420,unconditional,272,272,164,272,1
c007130-l430-unconditional,8,430,unconditional,272,272,148,272,1
c003925-l359-3.x.x.x,8,359,3.x.x.x,368,368,185,368,1
c012430-l488-3.x.x.x,8,488,3.x.x.x,208,208,91,208,1
c008041-l443-unconditional,8,443,unconditional,256,256,134,256,1
c013653-l498-3.x.x.x,8,498,3.x.x.x,192,192,95,192,1
c002608-l316-unconditional,9,316,unconditional,480,480,336,480,1
c012862-l492-2.x.x.x,9,492,2.x.x.x,208,208,65,208,1
c004626-l378-2.x.x.x,9,378,2.x.x.x,336,336,174,336,1
c011680-l482-1.x.x.x,9,482,1.x.x.x,208,208,116,208,1
c006661-l422-2.x.x.x,9,422,2.x.x.x,272,272,104,272,1
c011728-l482-3.x.x.x,9,482,3.x.x.x,208,208,90,208,1
c001082-l235-unconditional,9,235,unconditional,736,736,534,736,1
c005815-l406-3.x.x.x,9,406,3.x.x.x,304,272,132,288,0
c010344-l469-2.x.x.x,10,469,2.x.x.x,48,48,18,48,1
c001691-l274-2.x.x.x,10,274,2.x.x.x,624,624,417,624,1
c008043-l443-unconditional,10,443,unconditional,256,256,151,256,1
c012863-l492-2.x.x.x,10,492,2.x.x.x,208,208,61,208,1
c004617-l378-1.x.x.x,10,378,1.x.x.x,336,336,236,336,1
c005816-l406-3.x.x.x,10,406,3.x.x.x,304,304,157,304,1
c007132-l430-unconditional,10,430,unconditional,272,272,168,272,1
c012069-l485-3.x.x.x,10,485,3.x.x.x,208,208,86,208,1
c009692-l462-3.x.x.x,10,462,3.x.x.x,192,0,0,0,0
c001006-l228-1.x.x.x,11,228,1.x.x.x,848,848,646,848,1
c007133-l430-unconditional,11,430,unconditional,272,272,164,272,1
c013561-l498-1.x.x.x,11,498,1.x.x.x,192,192,106,192,1
c001170-l241-3.x.x.x,11,241,3.x.x.x,688,688,412,688,1
c009750-l463-1.x.x.x,11,463,1.x.x.x,224,224,141,224,1
c000557-l177-2.x.x.x,11,177,2.x.x.x,160,160,62,160,1
c005817-l406-3.x.x.x,11,406,3.x.x.x,304,304,139,304,1
c002715-l320-unconditional,11,320,unconditional,464,464,317,464,1
c007490-l435-1.x.x.x,11,435,1.x.x.x,256,256,151,256,1
c006777-l424-1.x.x.x,11,424,1.x.x.x,272,272,176,272,1
c012845-l492-1.x.x.x,11,492,1.x.x.x,208,208,130,208,1
c009731-l463-1.x.x.x,11,463,1.x.x.x,224,224,138,224,1
c010078-l466-3.x.x.x,11,466,3.x.x.x,224,224,102,224,1
c007226-l431-2.x.x.x,11,431,2.x.x.x,272,272,112,272,1
c008918-l454-unconditional,11,454,unconditional,240,240,133,240,1
c008044-l443-unconditional,11,443,unconditional,256,256,150,256,1
c012860-l492-2.x.x.x,11,492,2.x.x.x,144,0,0,0,0
c012861-l492-2.x.x.x,12,492,2.x.x.x,208,208,49,208,1
c010079-l466-3.x.x.x,12,466,3.x.x.x,224,224,94,224,1
c006196-l414-1.x.x.x,12,414,1.x.x.x,288,288,194,288,1
c007491-l435-1.x.x.x,12,435,1.x.x.x,256,256,156,256,1
c001007-l228-1.x.x.x,12,228,1.x.x.x,848,848,649,848,1
c012846-l492-1.x.x.x,12,492,1.x.x.x,208,96,60,112,0
c007228-l431-2.x.x.x,13,431,2.x.x.x,272,272,108,272,1
c010080-l466-3.x.x.x,13,466,3.x.x.x,224,224,108,224,1
c012385-l488-2.x.x.x,13,488,2.x.x.x,208,208,64,208,1
c011657-l482-1.x.x.x,13,482,1.x.x.x,208,208,116,208,1
c012857-l492-2.x.x.x,13,492,2.x.x.x,208,208,69,208,1
c007492-l435-1.x.x.x,13,435,1.x.x.x,256,256,171,256,1
c006376-l417-2.x.x.x,13,417,2.x.x.x,48,48,18,48,1
c005819-l406-3.x.x.x,13,406,3.x.x.x,304,304,148,304,1
c002672-l318-2.x.x.x,13,318,2.x.x.x,480,480,315,480,1
c007135-l430-unconditional,13,430,unconditional,272,272,167,272,1
c004760-l382-unconditional,13,382,unconditional,336,336,213,336,1
c003076-l333-unconditional,13,333,unconditional,432,432,288,432,1
c009738-l463-1.x.x.x,13,463,1.x.x.x,224,224,132,224,1
c007619-l437-1.x.x.x,13,437,1.x.x.x,256,256,168,256,1
c012832-l492-1.x.x.x,13,492,1.x.x.x,208,208,112,208,1
c008046-l443-unconditional,13,443,unconditional,256,256,140,256,1
c001761-l278-1.x.x.x,13,278,1.x.x.x,528,528,393,528,1
c013636-l498-3.x.x.x,13,498,3.x.x.x,192,192,80,192,1
c011669-l482-1.x.x.x,14,482,1.x.x.x,208,208,125,208,1
c009271-l458-1.x.x.x,14,458,1.x.x.x,240,240,142,240,1
c005203-l393-unconditional,14,393,unconditional,320,320,196,320,1
c007229-l431-2.x.x.x,14,431,2.x.x.x,272,272,117,272,1
c007503-l435-2.x.x.x,14,435,2.x.x.x,256,256,112,256,1
c000967-l224-3.x.x.x,14,224,3.x.x.x,880,880,533,880,1
c004102-l364-2.x.x.x,14,364,2.x.x.x,368,368,210,368,1
c009249-l457-3.x.x.x,14,457,3.x.x.x,224,224,92,224,1
c010044-l466-2.x.x.x,14,466,2.x.x.x,224,224,73,224,1
c000304-l136-unconditional,14,136,unconditional,1536,1536,1228,1536,1
c000602-l183-1.x.x.x,14,183,1.x.x.x,1184,1184,968,1184,1
c013117-l494-3.x.x.x,14,494,3.x.x.x,208,208,78,208,1
c004423-l373-1.x.x.x,14,373,1.x.x.x,352,352,247,352,1
c011717-l482-3.x.x.x,14,482,3.x.x.x,208,208,94,208,1
c007624-l437-1.x.x.x,14,437,1.x.x.x,256,256,170,256,1
c000877-l216-1.x.x.x,14,216,1.x.x.x,96,96,78,96,1
c012390-l488-2.x.x.x,14,488,2.x.x.x,208,208,73,208,1
c013044-l494-unconditional,14,494,unconditional,208,208,99,208,1
c007435-l434-2.x.x.x,15,434,2.x.x.x,256,256,94,256,1
c007016-l428-1.x.x.x,15,428,1.x.x.x,272,272,182,272,1
c013255-l495-3.x.x.x,15,495,3.x.x.x,208,208,92,208,1
c003941-l360-unconditional,15,360,unconditional,368,368,233,368,1
c006144-l413-1.x.x.x,15,413,1.x.x.x,288,288,195,288,1
c010188-l468-unconditional,15,468,unconditional,224,224,137,224,1
c006464-l419-1.x.x.x,15,419,1.x.x.x,288,288,190,288,1
c011535-l481-unconditional,15,481,unconditional,208,208,110,208,1
c001595-l269-1.x.x.x,15,269,1.x.x.x,640,640,483,640,1
c008988-l454-3.x.x.x,15,454,3.x.x.x,240,240,106,240,1
c000373-l151-3.x.x.x,15,151,3.x.x.x,1504,1504,1064,1504,1
c010616-l472-1.x.x.x,15,472,1.x.x.x,224,224,129,224,1
c007371-l433-3.x.x.x,15,433,3.x.x.x,256,256,127,256,1
c006858-l425-3.x.x.x,15,425,3.x.x.x,272,272,135,272,1
c013339-l496-1.x.x.x,15,496,1.x.x.x,128,128,77,128,1
c009241-l457-3.x.x.x,15,457,3.x.x.x,240,240,117,240,1
c009485-l460-2.x.x.x,15,460,2.x.x.x,96,96,31,96,1
c013791-l500-unconditional,15,500,unconditional,192,192,111,192,1
c010066-l466-3.x.x.x,16,466,3.x.x.x,224,224,108,224,1
c005789-l406-1.x.x.x,16,406,1.x.x.x,304,304,193,304,1
c006465-l419-1.x.x.x,16,419,1.x.x.x,288,288,189,288,1
c001985-l289-3.x.x.x,16,289,3.x.x.x,576,576,355,576,1
c011745-l482-3.x.x.x,16,482,3.x.x.x,208,208,89,208,1
c002617-l316-1.x.x.x,16,316,1.x.x.x,64,64,45,64,1
c008910-l454-unconditional,16,454,unconditional,240,240,138,240,1
c003081-l333-1.x.x.x,16,333,1.x.x.x,432,432,317,432,1
c006772-l424-1.x.x.x,16,424,1.x.x.x,272,272,172,272,1
c002710-l320-unconditional,16,320,unconditional,464,464,323,464,1
c006969-l427-2.x.x.x,16,427,2.x.x.x,272,272,123,272,1
c001756-l278-unconditional,16,278,unconditional,544,544,387,544,1
c007478-l435-1.x.x.x,16,435,1.x.x.x,256,256,171,256,1
c004873-l385-unconditional,16,385,unconditional,336,336,215,336,1
c007273-l432-1.x.x.x,16,432,1.x.x.x,256,256,162,256,1
c013567-l498-1.x.x.x,16,498,1.x.x.x,192,192,112,192,1
c000502-l170-3.x.x.x,16,170,3.x.x.x,1312,1312,872,1312,1
c002631-l317-unconditional,16,317,unconditional,32,0,0,0,0
c006204-l414-1.x.x.x,17,414,1.x.x.x,288,288,191,288,1
c007529-l435-3.x.x.x,17,435,3.x.x.x,256,256,134,256,1
c012866-l492-2.x.x.x,17,492,2.x.x.x,208,208,69,208,1
c006532-l420-1.x.x.x,17,420,1.x.x.x,272,272,179,272,1
c001984-l289-3.x.x.x,17,289,3.x.x.x,576,576,350,576,1
c004080-l364-unconditional,17,364,unconditional,368,368,236,368,1
c007205-l431-1.x.x.x,17,431,1.x.x.x,256,256,160,256,1
c006466-l419-1.x.x.x,17,419,1.x.x.x,288,288,178,288,1
c005813-l406-3.x.x.x,17,406,3.x.x.x,304,304,155,304,1
c001687-l274-1.x.x.x,17,274,1.x.x.x,624,624,469,624,1
c000500-l170-2.x.x.x,17,170,2.x.x.x,1312,1312,597,1312,1
c008926-l454-unconditional,17,454,unconditional,240,240,127,240,1
c000219-l114-3.x.x.x,17,114,3.x.x.x,1376,1376,1039,1376,1
c000178-l104-2.x.x.x,17,104,2.x.x.x,864,864,585,864,1
c006006-l410-3.x.x.x,17,410,3.x.x.x,288,288,131,288,1
c012426-l488-3.x.x.x,17,488,3.x.x.x,208,208,94,208,1
c013809-l500-1.x.x.x,17,500,1.x.x.x,192,192,113,192,1
c003980-l361-1.x.x.x,17,361,1.x.x.x,368,368,266,368,1
c004878-l385-unconditional,18,385,unconditional,336,336,202,336,1
c004091-l364-1.x.x.x,18,364,1.x.x.x,368,368,256,368,1
c002959-l329-unconditional,18,329,unconditional,448,448,299,448,1
c010491-l471-unconditional,18,471,unconditional,224,224,122,224,1
c011649-l482-unconditional,18,482,unconditional,208,208,121,208,1
c005539-l400-3.x.x.x,18,400,3.x.x.x,304,304,171,304,1
c013610-l498-3.x.x.x,18,498,3.x.x.x,192,192,86,192,1
c004937-l386-2.x.x.x,18,386,2.x.x.x,336,336,146,336,1
c012151-l486-1.x.x.x,18,486,1.x.x.x,32,32,19,32,1
c007881-l440-3.x.x.x,18,440,3.x.x.x,256,256,112,256,1
c007665-l437-3.x.x.x,18,437,3.x.x.x,256,256,124,256,1
c011695-l482-2.x.x.x,18,482,2.x.x.x,208,208,60,208,1
c006467-l419-1.x.x.x,18,419,1.x.x.x,288,288,172,288,1
c005129-l391-unconditional,18,391,unconditional,320,320,196,320,1
c003861-l357-3.x.x.x,18,357,3.x.x.x,336,336,177,336,1
c006647-l422-1.x.x.x,18,422,1.x.x.x,272,272,175,272,1
c002620-l316-2.x.x.x,18,316,2.x.x.x,480,480,292,480,1
c002433-l309-1.x.x.x,18,309,1.x.x.x,512,512,382,512,1
c002145-l297-1.x.x.x,19,297,1.x.x.x,544,544,422,544,1
c012362-l488-1.x.x.x,19,488,1.x.x.x,208,208,127,208,1
c002960-l329-unconditional,19,329,unconditional,448,448,303,448,1
c013680-l499-1.x.x.x,19,499,1.x.x.x,192,192,112,192,1
c010492-l471-unconditional,19,471,unconditional,224,224,134,224,1
c007882-l440-3.x.x.x,19,440,3.x.x.x,256,256,129,256,1
c004879-l385-unconditional,19,385,unconditional,336,336,212,336,1
c008767-l452-1.x.x.x,19,452,1.x.x.x,240,240,146,240,1
c009689-l462-3.x.x.x,19,462,3.x.x.x,224,224,90,224,1
c002434-l309-1.x.x.x,19,309,1.x.x.x,512,512,395,512,1
c008404-l447-3.x.x.x,19,447,3.x.x.x,240,240,111,240,1
c004938-l386-2.x.x.x,19,386,2.x.x.x,336,336,156,336,1
c004092-l364-1.x.x.x,19,364,1.x.x.x,368,368,244,368,1
c003645-l351-1.x.x.x,19,351,1.x.x.x,80,80,59,80,1
c006468-l419-1.x.x.x,19,419,1.x.x.x,288,288,188,288,1
c012066-l485-3.x.x.x,19,485,3.x.x.x,208,208,100,208,1
c008593-l450-unconditional,19,450,unconditional,240,240,135,240,1
c001415-l258-1.x.x.x,19,258,1.x.x.x,576,576,444,576,1
c004939-l386-2.x.x.x,20,386,2.x.x.x,336,336,161,336,1
c012067-l485-3.x.x.x,20,485,3.x.x.x,208,208,101,208,1
c002146-l297-1.x.x.x,20,297,1.x.x.x,544,544,411,544,1
c004880-l385-unconditional,20,385,unconditional,336,336,222,336,1
c002961-l329-unconditional,20,329,unconditional,448,448,317,448,1
c009702-l462-3.x.x.x,20,462,3.x.x.x,48,48,23,48,1
c008405-l447-3.x.x.x,20,447,3.x.x.x,240,240,109,240,1
c006469-l419-1.x.x.x,20,419,1.x.x.x,288,288,186,288,1
c009690-l462-3.x.x.x,20,462,3.x.x.x,224,224,118,224,1
c012363-l488-1.x.x.x,20,488,1.x.x.x,208,208,123,208,1
c010493-l471-unconditional,20,471,unconditional,224,224,130,224,1
c008594-l450-unconditional,20,450,unconditional,240,240,147,240,1
c013681-l499-1.x.x.x,20,499,1.x.x.x,192,192,118,192,1
c002435-l309-1.x.x.x,20,309,1.x.x.x,512,512,390,512,1
c008768-l452-1.x.x.x,20,452,1.x.x.x,240,240,141,240,1
c004093-l364-1.x.x.x,20,364,1.x.x.x,368,368,277,368,1
c010278-l468-3.x.x.x,20,468,3.x.x.x,192,192,89,192,1
c007883-l440-3.x.x.x,20,440,3.x.x.x,256,256,126,256,1
c008406-l447-3.x.x.x,21,447,3.x.x.x,240,240,113,240,1
c004940-l386-2.x.x.x,21,386,2.x.x.x,336,336,176,336,1
c000299-l134-3.x.x.x,21,134,3.x.x.x,1440,1440,1012,1440,1
c002436-l309-1.x.x.x,21,309,1.x.x.x,512,512,384,512,1
c004881-l385-unconditional,21,385,unconditional,336,336,214,336,1
c009691-l462-3.x.x.x,21,462,3.x.x.x,224,224,93,224,1
c000439-l162-unconditional,21,162,unconditional,288,288,223,288,1
c013682-l499-1.x.x.x,21,499,1.x.x.x,192,192,99,192,1
c004094-l364-1.x.x.x,21,364,1.x.x.x,368,368,255,368,1
c002962-l329-unconditional,21,329,unconditional,448,448,302,448,1
c008769-l452-1.x.x.x,21,452,1.x.x.x,240,240,154,240,1
c012364-l488-1.x.x.x,21,488,1.x.x.x,208,208,114,208,1
c012068-l485-3.x.x.x,21,485,3.x.x.x,208,208,82,208,1
c002147-l297-1.x.x.x,21,297,1.x.x.x,544,544,407,544,1
c010494-l471-unconditional,21,471,unconditional,224,224,134,224,1
c006470-l419-1.x.x.x,21,419,1.x.x.x,288,288,187,288,1
c007884-l440-3.x.x.x,21,440,3.x.x.x,256,256,114,256,1
c008595-l450-unconditional,21,450,unconditional,240,240,146,240,1
c007120-l430-unconditional,22,430,unconditional,272,272,141,272,1
c000329-l142-1.x.x.x,22,142,1.x.x.x,1312,1312,1109,1312,1
c011823-l483-3.x.x.x,22,483,3.x.x.x,208,208,102,208,1
c010819-l474-1.x.x.x,22,474,1.x.x.x,224,224,139,224,1
c011630-l481-3.x.x.x,22,481,3.x.x.x,208,208,92,208,1
c009209-l457-1.x.x.x,22,457,1.x.x.x,240,240,135,240,1
c013707-l499-1.x.x.x,22,499,1.x.x.x,192,192,115,192,1
c008510-l449-unconditional,22,449,unconditional,240,240,144,240,1
c013221-l495-2.x.x.x,22,495,2.x.x.x,208,208,61,208,1
c006755-l424-unconditional,22,424,unconditional,272,272,161,272,1
c002452-l310-unconditional,22,310,unconditional,496,496,323,496,1
c002396-l307-3.x.x.x,22,307,3.x.x.x,512,512,298,512,1
c000718-l197-3.x.x.x,22,197,3.x.x.x,1088,1088,727,1088,1
c012903-l492-3.x.x.x,22,492,3.x.x.x,208,208,92,208,1
c008953-l454-1.x.x.x,22,454,1.x.x.x,240,240,143,240,1
c006471-l419-1.x.x.x,22,419,1.x.x.x,288,288,181,288,1
c004216-l367-2.x.x.x,22,367,2.x.x.x,80,80,45,80,1
c005059-l389-1.x.x.x,22,389,1.x.x.x,320,320,219,320,1
c012198-l486-3.x.x.x,23,486,3.x.x.x,208,208,96,208,1
c012904-l492-3.x.x.x,23,492,3.x.x.x,208,208,113,208,1
c002397-l307-3.x.x.x,23,307,3.x.x.x,512,512,286,512,1
c008954-l454-1.x.x.x,23,454,1.x.x.x,240,240,147,240,1
c004438-l373-2.x.x.x,23,373,2.x.x.x,128,128,79,128,1
c003737-l354-1.x.x.x,23,354,1.x.x.x,384,384,271,384,1
c006472-l419-1.x.x.x,23,419,1.x.x.x,288,288,194,288,1
c013222-l495-2.x.x.x,23,495,2.x.x.x,208,208,66,208,1
c007344-l433-1.x.x.x,23,433,1.x.x.x,256,256,153,256,1
c007121-l430-unconditional,23,430,unconditional,272,272,158,272,1
c010820-l474-1.x.x.x,23,474,1.x.x.x,224,224,134,224,1
c002450-l310-unconditional,23,310,unconditional,496,496,341,496,1
c011921-l484-1.x.x.x,23,484,1.x.x.x,144,144,87,144,1
c009210-l457-1.x.x.x,23,457,1.x.x.x,240,240,144,240,1
c006745-l424-unconditional,23,424,unconditional,272,272,156,272,1
c011545-l481-1.x.x.x,23,481,1.x.x.x,208,208,133,208,1
c011191-l478-unconditional,23,478,unconditional,160,0,0,0,0
c007122-l430-unconditional,24,430,unconditional,272,272,165,272,1
c012388-l488-2.x.x.x,24,488,2.x.x.x,208,208,72,208,1
c005206-l393-unconditional,24,393,unconditional,320,320,195,320,1
c002533-l313-1.x.x.x,24,313,1.x.x.x,496,496,374,496,1
c010042-l466-2.x.x.x,24,466,2.x.x.x,224,224,77,224,1
c004812-l383-1.x.x.x,24,383,1.x.x.x,336,336,246,336,1
c013223-l495-2.x.x.x,24,495,2.x.x.x,208,208,70,208,1
c007622-l437-1.x.x.x,24,437,1.x.x.x,256,256,152,256,1
c001718-l276-unconditional,24,276,unconditional,608,608,441,608,1
c011666-l482-1.x.x.x,24,482,1.x.x.x,208,208,115,208,1
c007497-l435-1.x.x.x,24,435,1.x.x.x,256,256,149,256,1
c004103-l364-2.x.x.x,24,364,2.x.x.x,368,368,180,368,1
c006473-l419-1.x.x.x,24,419,1.x.x.x,288,288,176,288,1
c001925-l286-3.x.x.x,24,286,3.x.x.x,528,528,310,528,1
c003349-l342-1.x.x.x,24,342,1.x.x.x,416,416,327,416,1
c013540-l498-unconditional,24,498,unconditional,192,192,99,192,1
c011714-l482-3.x.x.x,24,482,3.x.x.x,208,208,83,208,1
c000854-l214-unconditional,24,214,unconditional,112,112,74,112,1
c000361-l149-1.x.x.x,25,149,1.x.x.x,1376,1376,1151,1376,1
c004813-l383-1.x.x.x,25,383,1.x.x.x,336,336,215,336,1
c011667-l482-1.x.x.x,25,482,1.x.x.x,208,208,117,208,1
c006474-l419-1.x.x.x,25,419,1.x.x.x,288,288,181,288,1
c007498-l435-1.x.x.x,25,435,1.x.x.x,256,256,169,256,1
c007623-l437-1.x.x.x,25,437,1.x.x.x,256,256,168,256,1
c003350-l342-1.x.x.x,25,342,1.x.x.x,416,416,285,416,1
c013224-l495-2.x.x.x,25,495,2.x.x.x,208,208,73,208,1
c013541-l498-unconditional,25,498,unconditional,192,192,104,192,1
c001719-l276-unconditional,25,276,unconditional,608,608,417,608,1
c010043-l466-2.x.x.x,25,466,2.x.x.x,224,224,69,224,1
c002534-l313-1.x.x.x,25,313,1.x.x.x,496,496,363,496,1
c011715-l482-3.x.x.x,25,482,3.x.x.x,208,208,86,208,1
c012389-l488-2.x.x.x,25,488,2.x.x.x,208,208,65,208,1
c003484-l346-1.x.x.x,25,346,1.x.x.x,48,48,35,48,1
c004104-l364-2.x.x.x,25,364,2.x.x.x,368,368,225,368,1
c005207-l393-unconditional,25,393,unconditional,320,320,201,320,1
c007123-l430-unconditional,25,430,unconditional,272,272,168,272,1
c010011-l466-1.x.x.x,26,466,1.x.x.x,224,224,133,224,1
c008775-l452-1.x.x.x,26,452,1.x.x.x,240,240,149,240,1
c007124-l430-unconditional,26,430,unconditional,272,272,160,272,1
c013225-l495-2.x.x.x,26,495,2.x.x.x,208,208,67,208,1
c004814-l383-1.x.x.x,26,383,1.x.x.x,336,128,83,144,0
c004991-l387-3.x.x.x,27,387,3.x.x.x,144,144,66,144,1
c003352-l342-1.x.x.x,27,342,1.x.x.x,416,416,321,416,1
c006476-l419-1.x.x.x,27,419,1.x.x.x,288,288,177,288,1
c002295-l303-2.x.x.x,27,303,2.x.x.x,528,528,352,528,1
c007125-l430-unconditional,27,430,unconditional,272,272,147,272,1
c009656-l462-1.x.x.x,27,462,1.x.x.x,224,224,133,224,1
c002536-l313-1.x.x.x,27,313,1.x.x.x,496,496,376,496,1
c007782-l439-1.x.x.x,27,439,1.x.x.x,256,256,159,256,1
c004681-l380-unconditional,27,380,unconditional,336,336,209,336,1
c007322-l433-unconditional,27,433,unconditional,256,256,149,256,1
c011242-l478-1.x.x.x,27,478,1.x.x.x,208,208,126,208,1
c004484-l374-3.x.x.x,27,374,3.x.x.x,208,208,116,208,1
c012100-l486-unconditional,27,486,unconditional,208,208,118,208,1
c013226-l495-2.x.x.x,27,495,2.x.x.x,208,208,63,208,1
c012660-l490-3.x.x.x,27,490,3.x.x.x,208,208,90,208,1
