case,worker,length,condition,generated,refolded,quality_pass,sequences_saved,complete
c004099-l364-1.x.x.x,5,364,1.x.x.x,368,368,270,368,1
c003751-l354-2.x.x.x,5,354,2.x.x.x,48,48,24,48,1
c002841-l324-3.x.x.x,5,324,3.x.x.x,464,464,249,464,1
c008463-l448-1.x.x.x,5,448,1.x.x.x,224,224,150,224,1
c005844-l407-1.x.x.x,5,407,1.x.x.x,304,304,201,304,1
c004147-l365-3.x.x.x,5,365,3.x.x.x,368,112,70,128,0
c012842-l492-1.x.x.x,6,492,1.x.x.x,208,208,118,208,1
c004148-l365-3.x.x.x,6,365,3.x.x.x,368,368,189,368,1
c004097-l364-1.x.x.x,6,364,1.x.x.x,368,368,247,368,1
c013558-l498-1.x.x.x,6,498,1.x.x.x,192,192,128,192,1
c005615-l402-1.x.x.x,6,402,1.x.x.x,304,304,209,304,1
c003417-l344-1.x.x.x,6,344,1.x.x.x,416,416,295,416,1
c009747-l463-1.x.x.x,6,463,1.x.x.x,224,224,142,224,1
c003697-l353-unconditional,6,353,unconditional,240,0,0,0,0
c004149-l365-3.x.x.x,7,365,3.x.x.x,368,368,197,368,1
c000541-l175-2.x.x.x,7,175,2.x.x.x,160,160,71,160,1
c009729-l463-1.x.x.x,7,463,1.x.x.x,224,224,141,224,1
c005846-l407-1.x.x.x,7,407,1.x.x.x,304,304,207,304,1
c007223-l431-2.x.x.x,8,431,2.x.x.x,272,272,92,272,1
c006202-l414-1.x.x.x,8,414,1.x.x.x,288,288,184,288,1
c005814-l406-3.x.x.x,8,406,3.x.x.x,304,304,143,304,1
c012087-l485-3.x.x.x,8,485,3.x.x.x,208,208,90,208,1
c002900-l327-unconditional,8,327,unconditional,448,176,120,192,0
c002608-l316-unconditional,9,316,unconditional,480,480,336,480,1
c012862-l492-2.x.x.x,9,492,2.x.x.x,208,208,65,208,1
c004626-l378-2.x.x.x,9,378,2.x.x.x,336,336,174,336,1
c011680-l482-1.x.x.x,9,482,1.x.x.x,208,208,116,208,1
c006661-l422-2.x.x.x,9,422,2.x.x.x,272,272,104,272,1
c011728-l482-3.x.x.x,9,482,3.x.x.x,208,208,90,208,1
c001082-l235-unconditional,9,235,unconditional,736,736,534,736,1
c005815-l406-3.x.x.x,9,406,3.x.x.x,304,272,132,288,0
c010344-l469-2.x.x.x,10,469,2.x.x.x,48,48,18,48,1
c001691-l274-2.x.x.x,10,274,2.x.x.x,624,624,417,624,1
c008043-l443-unconditional,10,443,unconditional,256,256,151,256,1
c012863-l492-2.x.x.x,10,492,2.x.x.x,208,208,61,208,1
c004617-l378-1.x.x.x,10,378,1.x.x.x,336,336,236,336,1
c005816-l406-3.x.x.x,10,406,3.x.x.x,304,304,157,304,1
c007132-l430-unconditional,10,430,unconditional,272,272,168,272,1
c012069-l485-3.x.x.x,10,485,3.x.x.x,208,208,86,208,1
c009692-l462-3.x.x.x,10,462,3.x.x.x,192,0,0,0,0
c001006-l228-1.x.x.x,11,228,1.x.x.x,848,848,646,848,1
c007133-l430-unconditional,11,430,unconditional,272,272,164,272,1
c013561-l498-1.x.x.x,11,498,1.x.x.x,192,192,106,192,1
c001170-l241-3.x.x.x,11,241,3.x.x.x,688,688,412,688,1
c009750-l463-1.x.x.x,11,463,1.x.x.x,224,224,141,224,1
c000557-l177-2.x.x.x,11,177,2.x.x.x,128,0,0,0,0
c012861-l492-2.x.x.x,12,492,2.x.x.x,208,208,49,208,1
c010079-l466-3.x.x.x,12,466,3.x.x.x,224,224,94,224,1
c006196-l414-1.x.x.x,12,414,1.x.x.x,288,288,194,288,1
c007491-l435-1.x.x.x,12,435,1.x.x.x,256,256,156,256,1
c001007-l228-1.x.x.x,12,228,1.x.x.x,848,848,649,848,1
c012846-l492-1.x.x.x,12,492,1.x.x.x,208,96,60,112,0
c007228-l431-2.x.x.x,13,431,2.x.x.x,272,272,108,272,1
c010080-l466-3.x.x.x,13,466,3.x.x.x,224,224,108,224,1
c012385-l488-2.x.x.x,13,488,2.x.x.x,208,208,64,208,1
c011657-l482-1.x.x.x,13,482,1.x.x.x,208,208,116,208,1
c012857-l492-2.x.x.x,13,492,2.x.x.x,208,128,40,144,0
c011669-l482-1.x.x.x,14,482,1.x.x.x,208,208,125,208,1
c009271-l458-1.x.x.x,14,458,1.x.x.x,240,240,142,240,1
c005203-l393-unconditional,14,393,unconditional,320,320,196,320,1
c007229-l431-2.x.x.x,14,431,2.x.x.x,272,272,117,272,1
c007503-l435-2.x.x.x,14,435,2.x.x.x,256,112,47,128,0
c007435-l434-2.x.x.x,15,434,2.x.x.x,256,256,94,256,1
c007016-l428-1.x.x.x,15,428,1.x.x.x,272,272,182,272,1
c013255-l495-3.x.x.x,15,495,3.x.x.x,208,208,92,208,1
c003941-l360-unconditional,15,360,unconditional,368,368,233,368,1
c006144-l413-1.x.x.x,15,413,1.x.x.x,288,128,83,144,0
c010066-l466-3.x.x.x,16,466,3.x.x.x,224,224,108,224,1
c005789-l406-1.x.x.x,16,406,1.x.x.x,304,304,193,304,1
c006465-l419-1.x.x.x,16,419,1.x.x.x,288,288,189,288,1
c001985-l289-3.x.x.x,16,289,3.x.x.x,576,576,355,576,1
c011745-l482-3.x.x.x,16,482,3.x.x.x,208,48,16,64,0
c006204-l414-1.x.x.x,17,414,1.x.x.x,288,288,191,288,1
c007529-l435-3.x.x.x,17,435,3.x.x.x,256,256,134,256,1
c012866-l492-2.x.x.x,17,492,2.x.x.x,208,208,69,208,1
c006532-l420-1.x.x.x,17,420,1.x.x.x,272,272,179,272,1
c001984-l289-3.x.x.x,17,289,3.x.x.x,576,224,133,240,0
c004878-l385-unconditional,18,385,unconditional,336,336,202,336,1
c004091-l364-1.x.x.x,18,364,1.x.x.x,368,368,256,368,1
c002959-l329-unconditional,18,329,unconditional,448,448,299,448,1
c010491-l471-unconditional,18,471,unconditional,224,224,122,224,1
c011649-l482-unconditional,18,482,unconditional,208,64,35,80,0
c002145-l297-1.x.x.x,19,297,1.x.x.x,544,544,422,544,1
c012362-l488-1.x.x.x,19,488,1.x.x.x,208,208,127,208,1
c002960-l329-unconditional,19,329,unconditional,448,448,303,448,1
c013680-l499-1.x.x.x,19,499,1.x.x.x,192,192,112,192,1
c010492-l471-unconditional,19,471,unconditional,224,192,115,208,0
c004939-l386-2.x.x.x,20,386,2.x.x.x,336,336,161,336,1
c012067-l485-3.x.x.x,20,485,3.x.x.x,208,208,101,208,1
c002146-l297-1.x.x.x,20,297,1.x.x.x,544,544,411,544,1
c004880-l385-unconditional,20,385,unconditional,336,336,222,336,1
c002961-l329-unconditional,20,329,unconditional,448,96,66,112,0
c008406-l447-3.x.x.x,21,447,3.x.x.x,240,240,113,240,1
c004940-l386-2.x.x.x,21,386,2.x.x.x,336,336,176,336,1
c000299-l134-3.x.x.x,21,134,3.x.x.x,1440,32,22,64,0
c007120-l430-unconditional,22,430,unconditional,272,272,141,272,1
c000329-l142-1.x.x.x,22,142,1.x.x.x,1312,1312,1109,1312,1
c011823-l483-3.x.x.x,22,483,3.x.x.x,208,208,102,208,1
c010819-l474-1.x.x.x,22,474,1.x.x.x,224,224,139,224,1
c011630-l481-3.x.x.x,22,481,3.x.x.x,208,192,84,208,0
c012198-l486-3.x.x.x,23,486,3.x.x.x,208,208,96,208,1
c012904-l492-3.x.x.x,23,492,3.x.x.x,208,208,113,208,1
c002397-l307-3.x.x.x,23,307,3.x.x.x,512,80,49,96,0
c007122-l430-unconditional,24,430,unconditional,272,272,165,272,1
c012388-l488-2.x.x.x,24,488,2.x.x.x,208,208,72,208,1
c005206-l393-unconditional,24,393,unconditional,320,320,195,320,1
c002533-l313-1.x.x.x,24,313,1.x.x.x,496,496,374,496,1
c010042-l466-2.x.x.x,24,466,2.x.x.x,224,80,27,96,0
c000361-l149-1.x.x.x,25,149,1.x.x.x,1376,1376,1151,1376,1
c004813-l383-1.x.x.x,25,383,1.x.x.x,336,336,215,336,1
c011667-l482-1.x.x.x,25,482,1.x.x.x,208,208,117,208,1
c006474-l419-1.x.x.x,25,419,1.x.x.x,288,288,181,288,1
c007498-l435-1.x.x.x,25,435,1.x.x.x,256,256,169,256,1
c007623-l437-1.x.x.x,25,437,1.x.x.x,256,256,168,256,1
c003350-l342-1.x.x.x,25,342,1.x.x.x,416,416,285,416,1
c013224-l495-2.x.x.x,25,495,2.x.x.x,208,208,73,208,1
c013541-l498-unconditional,25,498,unconditional,192,192,104,192,1
c001719-l276-unconditional,25,276,unconditional,608,608,417,608,1
c010043-l466-2.x.x.x,25,466,2.x.x.x,224,224,69,224,1
c002534-l313-1.x.x.x,25,313,1.x.x.x,496,496,363,496,1
c011715-l482-3.x.x.x,25,482,3.x.x.x,208,208,86,208,1
c012389-l488-2.x.x.x,25,488,2.x.x.x,208,208,65,208,1
c003484-l346-1.x.x.x,25,346,1.x.x.x,48,48,35,48,1
c004104-l364-2.x.x.x,25,364,2.x.x.x,368,368,225,368,1
c005207-l393-unconditional,25,393,unconditional,320,320,201,320,1
c007123-l430-unconditional,25,430,unconditional,272,272,168,272,1
c010011-l466-1.x.x.x,26,466,1.x.x.x,224,224,133,224,1
c008775-l452-1.x.x.x,26,452,1.x.x.x,240,240,149,240,1
c007124-l430-unconditional,26,430,unconditional,272,272,160,272,1
c013225-l495-2.x.x.x,26,495,2.x.x.x,208,208,67,208,1
c004814-l383-1.x.x.x,26,383,1.x.x.x,336,128,83,144,0
c004991-l387-3.x.x.x,27,387,3.x.x.x,144,144,66,144,1
c003352-l342-1.x.x.x,27,342,1.x.x.x,416,416,321,416,1
c006476-l419-1.x.x.x,27,419,1.x.x.x,288,288,177,288,1
c002295-l303-2.x.x.x,27,303,2.x.x.x,528,528,352,528,1
c007125-l430-unconditional,27,430,unconditional,272,272,147,272,1
c009656-l462-1.x.x.x,27,462,1.x.x.x,80,0,0,0,0
c006643-l422-1.x.x.x,28,422,1.x.x.x,272,272,176,272,1
c007126-l430-unconditional,28,430,unconditional,272,272,163,272,1
c002933-l328-unconditional,28,328,unconditional,448,448,293,448,1
c013227-l495-2.x.x.x,28,495,2.x.x.x,208,208,73,208,1
c001808-l281-unconditional,28,281,unconditional,592,240,174,256,0
c006644-l422-1.x.x.x,29,422,1.x.x.x,272,272,179,272,1
c011179-l477-3.x.x.x,29,477,3.x.x.x,208,208,98,208,1
c008354-l447-unconditional,29,447,unconditional,240,240,133,240,1
c013228-l495-2.x.x.x,29,495,2.x.x.x,208,208,71,208,1
c008327-l446-3.x.x.x,29,446,3.x.x.x,240,144,69,160,0
c007652-l437-3.x.x.x,30,437,3.x.x.x,256,256,112,256,1
c006479-l419-1.x.x.x,30,419,1.x.x.x,288,288,188,288,1
c007128-l430-unconditional,30,430,unconditional,272,272,161,272,1
c001810-l281-unconditional,30,281,unconditional,592,592,401,592,1
c003355-l342-1.x.x.x,30,342,1.x.x.x,416,416,296,416,1
c008340-l447-unconditional,30,447,unconditional,240,240,150,240,1
c006654-l422-1.x.x.x,30,422,1.x.x.x,272,272,166,272,1
c007636-l437-1.x.x.x,30,437,1.x.x.x,256,80,47,96,0
c007129-l430-unconditional,31,430,unconditional,272,272,144,272,1
c013037-l494-unconditional,31,494,unconditional,208,208,96,208,1
c002475-l311-unconditional,31,311,unconditional,496,496,341,496,1
c004703-l380-2.x.x.x,31,380,2.x.x.x,336,336,162,336,1
c002944-l328-1.x.x.x,31,328,1.x.x.x,384,208,159,224,0
c000772-l204-2.x.x.x,32,204,2.x.x.x,1056,1056,381,1056,1
c002279-l302-3.x.x.x,32,302,3.x.x.x,528,528,300,528,1
c006628-l422-unconditional,32,422,unconditional,272,272,168,272,1
c006044-l411-1.x.x.x,32,411,1.x.x.x,288,288,181,288,1
c001132-l239-unconditional,32,239,unconditional,784,784,548,784,1
c013534-l498-unconditional,32,498,unconditional,32,0,0,0,0
c011839-l483-3.x.x.x,33,483,3.x.x.x,208,208,92,208,1
c007977-l442-1.x.x.x,33,442,1.x.x.x,256,256,156,256,1
c002872-l326-unconditional,33,326,unconditional,448,448,310,448,1
c010110-l467-1.x.x.x,33,467,1.x.x.x,224,224,136,224,1
c005022-l388-2.x.x.x,33,388,2.x.x.x,320,320,158,320,1
c012911-l492-3.x.x.x,33,492,3.x.x.x,96,0,0,0,0
c000116-l89-unconditional,34,89,unconditional,1280,1280,1025,1280,1
c007868-l440-3.x.x.x,34,440,3.x.x.x,256,256,121,256,1
c002873-l326-unconditional,34,326,unconditional,448,448,301,448,1
c000853-l214-unconditional,34,214,unconditional,960,960,700,960,1
c002356-l306-unconditional,34,306,unconditional,512,512,363,512,1
c010939-l475-2.x.x.x,34,475,2.x.x.x,64,0,0,0,0
c002603-l316-unconditional,35,316,unconditional,480,480,320,480,1
c004083-l364-unconditional,35,364,unconditional,368,368,246,368,1
c004614-l378-1.x.x.x,35,378,1.x.x.x,336,336,235,336,1
c001861-l283-3.x.x.x,35,283,3.x.x.x,592,592,366,592,1
c002025-l291-3.x.x.x,35,291,3.x.x.x,560,560,318,560,1
c006638-l422-unconditional,35,422,unconditional,272,272,153,272,1
c005867-l407-3.x.x.x,35,407,3.x.x.x,64,0,0,0,0
c005862-l407-3.x.x.x,36,407,3.x.x.x,304,304,154,304,1
c002929-l328-unconditional,36,328,unconditional,448,448,301,448,1
c011881-l484-unconditional,36,484,unconditional,160,128,73,144,0
c007877-l440-3.x.x.x,37,440,3.x.x.x,256,256,125,256,1
c001416-l258-2.x.x.x,37,258,2.x.x.x,688,688,457,688,1
c004044-l363-unconditional,37,363,unconditional,368,368,238,368,1
c006648-l422-1.x.x.x,37,422,1.x.x.x,272,272,182,272,1
c002374-l306-3.x.x.x,37,306,3.x.x.x,512,112,66,128,0
c007872-l440-3.x.x.x,38,440,3.x.x.x,256,256,120,256,1
c003602-l350-unconditional,38,350,unconditional,400,400,262,400,1
c002583-l315-1.x.x.x,38,315,1.x.x.x,480,480,367,480,1
c001344-l253-3.x.x.x,38,253,3.x.x.x,704,704,440,704,1
c012591-l490-1.x.x.x,38,490,1.x.x.x,208,208,126,208,1
c003576-l349-1.x.x.x,38,349,1.x.x.x,400,400,287,400,1
c003653-l351-3.x.x.x,38,351,3.x.x.x,384,384,201,384,1
c005864-l407-3.x.x.x,38,407,3.x.x.x,304,64,30,80,0
c000129-l92-1.x.x.x,39,92,1.x.x.x,1088,1088,932,1088,1
c004636-l378-3.x.x.x,39,378,3.x.x.x,336,336,190,336,1
c005865-l407-3.x.x.x,39,407,3.x.x.x,304,304,152,304,1
c011212-l478-1.x.x.x,39,478,1.x.x.x,208,208,130,208,1
c004113-l364-3.x.x.x,39,364,3.x.x.x,368,368,197,368,1
c004413-l373-unconditional,39,373,unconditional,352,352,216,352,1
c008033-l443-unconditional,39,443,unconditional,256,256,144,256,1
c003146-l335-2.x.x.x,39,335,2.x.x.x,432,432,262,432,1
c008811-l452-3.x.x.x,39,452,3.x.x.x,112,0,0,0,0
c008640-l450-3.x.x.x,40,450,3.x.x.x,240,240,113,240,1
c004388-l372-1.x.x.x,40,372,1.x.x.x,352,352,230,352,1
c002121-l296-unconditional,40,296,unconditional,560,560,373,560,1
c009218-l457-2.x.x.x,40,457,2.x.x.x,240,240,94,240,1
c000599-l182-3.x.x.x,40,182,3.x.x.x,384,384,249,384,1
c000548-l176-2.x.x.x,40,176,2.x.x.x,736,0,0,0,0
c008322-l446-3.x.x.x,41,446,3.x.x.x,240,240,112,240,1
c011166-l477-3.x.x.x,41,477,3.x.x.x,208,208,91,208,1
c001000-l227-3.x.x.x,41,227,3.x.x.x,864,864,520,864,1
c011167-l477-3.x.x.x,42,477,3.x.x.x,208,208,90,208,1
c005529-l400-1.x.x.x,42,400,1.x.x.x,80,80,62,80,1
c001001-l227-3.x.x.x,42,227,3.x.x.x,864,864,510,864,1
c009197-l457-1.x.x.x,42,457,1.x.x.x,240,240,144,240,1
c008350-l447-unconditional,42,447,unconditional,240,240,127,240,1
c005119-l391-unconditional,42,391,unconditional,320,0,0,0,0
c005859-l407-3.x.x.x,43,407,3.x.x.x,304,304,148,304,1
c005840-l407-1.x.x.x,43,407,1.x.x.x,304,304,216,304,1
c000638-l187-3.x.x.x,43,187,3.x.x.x,1184,1184,765,1184,1
c013609-l498-3.x.x.x,43,498,3.x.x.x,192,192,75,192,1
c005128-l391-unconditional,43,391,unconditional,320,48,28,64,0
c005713-l404-2.x.x.x,44,404,2.x.x.x,304,304,132,304,1
c012146-l486-1.x.x.x,44,486,1.x.x.x,208,208,133,208,1
c000496-l170-unconditional,44,170,unconditional,1312,1312,993,1312,1
c010437-l470-2.x.x.x,44,470,2.x.x.x,224,224,78,224,1
c008532-l449-1.x.x.x,44,449,1.x.x.x,240,96,69,112,0
c012342-l488-unconditional,45,488,unconditional,144,144,69,144,1
c005930-l409-unconditional,45,409,unconditional,288,288,181,288,1
c013859-l500-2.x.x.x,45,500,2.x.x.x,192,192,50,192,1
c008215-l445-1.x.x.x,45,445,1.x.x.x,144,0,0,0,0
c010267-l468-3.x.x.x,46,468,3.x.x.x,224,224,97,224,1
c010832-l474-2.x.x.x,46,474,2.x.x.x,224,224,73,224,1
c008814-l452-3.x.x.x,46,452,3.x.x.x,240,240,114,240,1
c009787-l463-3.x.x.x,46,463,3.x.x.x,224,224,92,224,1
c012048-l485-2.x.x.x,46,485,2.x.x.x,208,208,49,208,1
c010552-l471-3.x.x.x,46,471,3.x.x.x,16,0,0,0,0
c003788-l355-3.x.x.x,47,355,3.x.x.x,384,384,204,384,1
c001921-l286-3.x.x.x,47,286,3.x.x.x,576,576,341,576,1
c007412-l434-1.x.x.x,47,434,1.x.x.x,176,0,0,0,0
c002987-l330-unconditional,48,330,unconditional,448,448,298,448,1
c003989-l361-1.x.x.x,48,361,1.x.x.x,80,80,53,80,1
c008411-l447-3.x.x.x,48,447,3.x.x.x,240,240,103,240,1
c009696-l462-3.x.x.x,48,462,3.x.x.x,224,224,98,224,1
c005131-l391-unconditional,48,391,unconditional,272,272,163,272,1
c012107-l486-unconditional,48,486,unconditional,192,0,0,0,0
c010462-l470-3.x.x.x,49,470,3.x.x.x,224,224,96,224,1
c003055-l332-1.x.x.x,49,332,1.x.x.x,432,432,300,432,1
c005806-l406-2.x.x.x,49,406,2.x.x.x,304,304,124,304,1
c010647-l472-3.x.x.x,49,472,3.x.x.x,224,224,95,224,1
c004588-l377-2.x.x.x,49,377,2.x.x.x,320,0,0,0,0
c004589-l377-2.x.x.x,50,377,2.x.x.x,352,352,203,352,1
c003056-l332-1.x.x.x,50,332,1.x.x.x,432,432,322,432,1
c009804-l464-unconditional,50,464,unconditional,224,224,136,224,1
c003122-l334-3.x.x.x,50,334,3.x.x.x,432,432,228,432,1
c010463-l470-3.x.x.x,50,470,3.x.x.x,224,32,14,48,0
c003863-l358-unconditional,51,358,unconditional,384,384,244,384,1
c000677-l192-2.x.x.x,51,192,2.x.x.x,416,416,160,416,1
c002061-l293-1.x.x.x,51,293,1.x.x.x,560,560,435,560,1
c008624-l450-1.x.x.x,51,450,1.x.x.x,16,0,0,0,0
c001168-l241-3.x.x.x,52,241,3.x.x.x,768,768,448,768,1
c007505-l435-2.x.x.x,52,435,2.x.x.x,256,256,88,256,1
c002523-l312-3.x.x.x,52,312,3.x.x.x,48,48,30,48,1
c005739-l405-unconditional,52,405,unconditional,304,304,179,304,1
c006785-l424-2.x.x.x,52,424,2.x.x.x,272,272,112,272,1
c011723-l482-3.x.x.x,52,482,3.x.x.x,208,208,98,208,1
c010481-l471-unconditional,52,471,unconditional,224,224,135,224,1
c000371-l151-1.x.x.x,52,151,1.x.x.x,1376,1376,1133,1376,1
c010853-l474-3.x.x.x,52,474,3.x.x.x,224,0,0,16,0
c004967-l387-1.x.x.x,53,387,1.x.x.x,336,336,217,336,1
c008602-l450-1.x.x.x,53,450,1.x.x.x,240,240,143,240,1
c003865-l358-unconditional,53,358,unconditional,384,384,265,384,1
c002161-l298-unconditional,53,298,unconditional,544,544,363,544,1
c010854-l474-3.x.x.x,53,474,3.x.x.x,224,224,97,224,1
c012637-l490-3.x.x.x,53,490,3.x.x.x,112,0,0,0,0
c007250-l431-3.x.x.x,54,431,3.x.x.x,48,48,22,48,1
c000640-l188-unconditional,54,188,unconditional,1152,1152,882,1152,1
c011634-l482-unconditional,54,482,unconditional,208,208,118,208,1
c002696-l319-1.x.x.x,54,319,1.x.x.x,240,0,0,0,0
c013616-l498-3.x.x.x,55,498,3.x.x.x,192,192,73,192,1
c004969-l387-1.x.x.x,55,387,1.x.x.x,336,336,237,336,1
c011652-l482-unconditional,55,482,unconditional,208,208,114,208,1
c008777-l452-1.x.x.x,55,452,1.x.x.x,240,240,141,240,1
c005686-l404-unconditional,55,404,unconditional,304,304,194,304,1
c010013-l466-1.x.x.x,55,466,1.x.x.x,224,224,145,224,1
c003867-l358-unconditional,55,358,unconditional,384,384,247,384,1
c007318-l432-3.x.x.x,55,432,3.x.x.x,256,48,26,64,0
c007277-l432-1.x.x.x,56,432,1.x.x.x,256,256,153,256,1
c012374-l488-1.x.x.x,56,488,1.x.x.x,208,208,130,208,1
c002908-l327-unconditional,56,327,unconditional,64,64,50,64,1
c003178-l336-3.x.x.x,56,336,3.x.x.x,432,432,240,432,1
c002486-l311-1.x.x.x,56,311,1.x.x.x,496,160,124,176,0
c005627-l402-3.x.x.x,57,402,3.x.x.x,304,304,141,304,1
c000028-l67-unconditional,57,67,unconditional,1120,1120,926,1120,1
c003179-l336-3.x.x.x,57,336,3.x.x.x,432,432,228,432,1
c013817-l500-1.x.x.x,57,500,1.x.x.x,192,192,121,192,1
c000992-l227-unconditional,57,227,unconditional,848,848,622,848,1
c002661-l318-unconditional,57,318,unconditional,480,480,323,480,1
c006539-l420-1.x.x.x,57,420,1.x.x.x,240,0,0,0,0
c011222-l478-1.x.x.x,58,478,1.x.x.x,208,208,127,208,1
c006014-l410-3.x.x.x,58,410,3.x.x.x,288,288,128,288,1
c003180-l336-3.x.x.x,58,336,3.x.x.x,432,432,235,432,1
c009636-l462-1.x.x.x,58,462,1.x.x.x,224,224,142,224,1
c002462-l310-1.x.x.x,58,310,1.x.x.x,304,304,231,304,1
c002662-l318-unconditional,58,318,unconditional,368,0,0,0,0
c000072-l78-unconditional,59,78,unconditional,1184,1184,955,1184,1
c003181-l336-3.x.x.x,59,336,3.x.x.x,432,432,238,432,1
c010342-l469-2.x.x.x,59,469,2.x.x.x,224,224,79,224,1
c009634-l462-1.x.x.x,59,462,1.x.x.x,224,224,136,224,1
c013054-l494-1.x.x.x,59,494,1.x.x.x,208,208,125,208,1
c012327-l488-unconditional,59,488,unconditional,208,208,110,208,1
c009322-l458-3.x.x.x,59,458,3.x.x.x,240,240,88,240,1
c006525-l420-1.x.x.x,59,420,1.x.x.x,272,272,186,272,1
c006884-l426-1.x.x.x,59,426,1.x.x.x,96,0,0,0,0
c010644-l472-3.x.x.x,60,472,3.x.x.x,224,224,100,224,1
c013748-l499-3.x.x.x,60,499,3.x.x.x,192,192,80,192,1
c006098-l412-1.x.x.x,60,412,1.x.x.x,288,288,182,288,1
c003182-l336-3.x.x.x,60,336,3.x.x.x,432,432,232,432,1
c009323-l458-3.x.x.x,60,458,3.x.x.x,240,240,115,240,1
c006003-l410-2.x.x.x,60,410,2.x.x.x,288,288,144,288,1
c001083-l235-1.x.x.x,60,235,1.x.x.x,800,800,619,800,1
c001074-l234-1.x.x.x,60,234,1.x.x.x,640,272,207,288,0
