case,worker,length,condition,generated,refolded,quality_pass,sequences_saved,complete
c000817-l210-unconditional,62,210,unconditional,256,0,0,0,0
c005340-l396-unconditional,63,396,unconditional,80,0,0,0,0
c000085-l81-1.x.x.x,64,81,1.x.x.x,672,0,0,0,0
c007361-l433-2.x.x.x,65,433,2.x.x.x,48,0,0,0,0
c003911-l359-1.x.x.x,66,359,1.x.x.x,64,0,0,0,0
c009595-l461-3.x.x.x,67,461,3.x.x.x,48,0,0,0,0
c004923-l386-unconditional,68,386,unconditional,64,0,0,0,0
c010242-l468-2.x.x.x,69,468,2.x.x.x,48,0,0,0,0
c001950-l288-unconditional,70,288,unconditional,112,0,0,0,0
c004914-l386-unconditional,71,386,unconditional,64,0,0,0,0
c010433-l470-2.x.x.x,72,470,2.x.x.x,48,0,0,0,0
c001286-l249-3.x.x.x,73,249,3.x.x.x,128,0,0,0,0
c010446-l470-3.x.x.x,74,470,3.x.x.x,48,0,0,0,0
c005906-l408-3.x.x.x,75,408,3.x.x.x,48,0,0,0,0
c000013-l63-1.x.x.x,76,63,1.x.x.x,864,0,0,0,0
c008493-l448-3.x.x.x,77,448,3.x.x.x,48,0,0,0,0
c005909-l408-3.x.x.x,78,408,3.x.x.x,48,0,0,0,0
c005140-l391-1.x.x.x,79,391,1.x.x.x,64,0,0,0,0
c006560-l420-3.x.x.x,80,420,3.x.x.x,16,0,0,0,0
c012188-l486-3.x.x.x,81,486,3.x.x.x,16,0,0,0,0
c006673-l422-3.x.x.x,82,422,3.x.x.x,16,0,0,0,0
c009668-l462-2.x.x.x,83,462,2.x.x.x,16,0,0,0,0
c004524-l376-unconditional,84,376,unconditional,16,0,0,0,0
c011692-l482-1.x.x.x,85,482,1.x.x.x,16,0,0,0,0
c006885-l426-1.x.x.x,86,426,1.x.x.x,16,0,0,0,0
c005330-l396-unconditional,87,396,unconditional,16,0,0,0,0
c006048-l411-1.x.x.x,88,411,1.x.x.x,16,0,0,0,0
c000387-l154-unconditional,89,154,unconditional,128,0,0,0,0
c010657-l472-3.x.x.x,90,472,3.x.x.x,16,0,0,0,0
c002406-l308-unconditional,91,308,unconditional,32,0,0,0,0
c009826-l464-1.x.x.x,92,464,1.x.x.x,16,0,0,0,0
c008898-l453-3.x.x.x,93,453,3.x.x.x,16,0,0,0,0
c004674-l379-3.x.x.x,94,379,3.x.x.x,16,0,0,0,0
c012564-l490-unconditional,95,490,unconditional,16,0,0,0,0
c002460-l310-1.x.x.x,96,310,1.x.x.x,32,0,0,0,0
c013807-l500-unconditional,97,500,unconditional,16,0,0,0,0
c005804-l406-2.x.x.x,98,406,2.x.x.x,16,0,0,0,0
c009609-l462-unconditional,99,462,unconditional,16,0,0,0,0
c006108-l412-2.x.x.x,100,412,2.x.x.x,16,0,0,0,0
c007222-l431-1.x.x.x,101,431,1.x.x.x,16,0,0,0,0
c006484-l419-2.x.x.x,102,419,2.x.x.x,16,0,0,0,0
c008771-l452-1.x.x.x,103,452,1.x.x.x,16,0,0,0,0
c011508-l480-3.x.x.x,104,480,3.x.x.x,16,0,0,0,0
c002150-l297-1.x.x.x,105,297,1.x.x.x,32,0,0,0,0
c004181-l366-3.x.x.x,106,366,3.x.x.x,16,0,0,0,0
c009550-l461-1.x.x.x,107,461,1.x.x.x,16,0,0,0,0
c003423-l344-2.x.x.x,108,344,2.x.x.x,32,0,0,0,0
c002078-l294-unconditional,109,294,unconditional,32,0,0,0,0
c001200-l244-unconditional,110,244,unconditional,48,0,0,0,0
c004095-l364-1.x.x.x,111,364,1.x.x.x,16,0,0,0,0
