worker,cases_complete,cases_planned,last_write_utc,idle_hours
418,9,18,2026-09-17T08:06:19.388000+00:00,0.11
420,15,18,2026-09-17T08:06:44.947000+00:00,0.11
422,7,18,2026-09-17T08:06:15.555000+00:00,0.11
425,3,18,2026-09-17T08:06:12.451000+00:00,0.11
431,7,18,2026-09-17T00:17:23.722000+00:00,7.93
433,10,19,2026-09-16T21:51:09.624000+00:00,10.37
437,10,18,2026-09-17T08:05:16.052000+00:00,0.13
440,17,18,2026-09-16T21:51:16.417000+00:00,10.36
442,12,19,2026-09-17T08:06:35.498000+00:00,0.11
446,0,18,2026-09-16T21:51:24.405000+00:00,10.36
449,10,18,2026-09-17T08:06:37.278000+00:00,0.11
451,14,18,2026-09-17T08:04:47.853000+00:00,0.14
452,13,18,2026-09-17T07:18:21.562000+00:00,0.91
453,10,18,2026-09-17T08:07:03.507000+00:00,0.1
455,9,19,2026-09-16T21:51:31.691000+00:00,10.36
459,4,18,2026-09-16T20:56:24.739000+00:00,11.28
460,15,18,2026-09-17T08:08:36.322000+00:00,0.07
461,6,18,2026-09-17T08:06:12.026000+00:00,0.11
464,9,18,2026-09-17T01:08:36.296000+00:00,7.07
466,8,18,2026-09-17T08:04:34.301000+00:00,0.14
467,10,18,2026-09-17T08:05:06.789000+00:00,0.13
469,7,18,2026-09-17T00:09:37.650000+00:00,8.06
470,7,18,2026-09-17T00:44:54.024000+00:00,7.47
471,14,18,2026-09-17T08:07:06.673000+00:00,0.1
473,4,18,2026-09-16T21:50:20.193000+00:00,10.38
475,12,18,2026-09-17T08:06:06.082000+00:00,0.12
476,7,18,2026-09-16T21:50:09.787000+00:00,10.38
479,12,18,2026-09-17T08:07:18.535000+00:00,0.1
483,14,18,2026-09-17T08:06:40.096000+00:00,0.11
484,8,18,2026-09-17T08:07:11.489000+00:00,0.1
485,17,18,2026-09-17T08:05:49.747000+00:00,0.12
486,12,18,2026-09-17T08:06:09.120000+00:00,0.12
487,13,18,2026-09-17T08:04:57.698000+00:00,0.14
488,17,18,2026-09-17T08:08:02.270000+00:00,0.08
489,6,18,2026-09-17T08:06:58.800000+00:00,0.1
491,15,18,2026-09-17T08:05:33.571000+00:00,0.13
492,16,19,2026-09-17T08:06:58.833000+00:00,0.1
493,16,18,2026-09-17T08:05:25.194000+00:00,0.13
494,17,18,2026-09-17T08:07:55.155000+00:00,0.09
495,14,18,2026-09-17T08:05:53.147000+00:00,0.12
498,4,18,2026-09-17T08:06:50.545000+00:00,0.1
504,14,18,2026-09-17T08:06:49.858000+00:00,0.1
509,10,19,2026-09-16T21:50:59.142000+00:00,10.37
511,13,18,2026-09-17T08:07:06.659000+00:00,0.1
516,12,18,2026-09-17T07:17:46.480000+00:00,0.92
524,5,18,2026-09-17T08:06:40.799000+00:00,0.11
546,5,18,2026-09-16T21:50:29.394000+00:00,10.38
553,15,18,2026-09-17T08:05:48.503000+00:00,0.12
566,17,18,2026-09-16T21:51:23.115000+00:00,10.36
613,12,18,2026-09-16T20:57:38.146000+00:00,11.26
634,17,18,2026-09-16T21:51:37.546000+00:00,10.36
636,13,18,2026-09-17T08:06:17.251000+00:00,0.11
637,10,18,2026-09-17T08:06:30.409000+00:00,0.11
645,10,19,2026-09-16T21:51:16.009000+00:00,10.36
646,10,18,2026-09-16T21:51:25.222000+00:00,10.36
652,17,18,2026-09-16T21:50:10.759000+00:00,10.38
668,16,18,2026-09-17T08:08:39.661000+00:00,0.07
684,12,18,2026-09-17T08:08:39.845000+00:00,0.07
711,14,18,2026-09-17T08:07:25.810000+00:00,0.09
713,15,18,2026-09-16T21:51:21.496000+00:00,10.36
730,10,18,2026-09-16T21:51:11.393000+00:00,10.36
736,8,18,2026-09-16T21:50:34.057000+00:00,10.37
739,17,18,2026-09-17T08:07:06.479000+00:00,0.1
747,13,18,2026-09-17T08:05:23.969000+00:00,0.13
757,6,18,2026-09-16T21:51:41.192000+00:00,10.36
760,16,18,2026-09-16T21:51:36.442000+00:00,10.36
761,10,18,2026-09-16T21:51:03.018000+00:00,10.37
763,14,18,2026-09-17T08:07:11.338000+00:00,0.1
764,14,19,2026-09-17T08:07:37.450000+00:00,0.09
766,8,18,2026-09-16T21:51:25.830000+00:00,10.36
