case,worker,length,condition,generated,refolded,quality_pass,sequences_saved,complete
c012058-l485-3.x.x.x,3,485,3.x.x.x,208,208,84,208,1
c000934-l221-3.x.x.x,3,221,3.x.x.x,896,896,569,896,1
c008586-l450-unconditional,3,450,unconditional,240,240,135,240,1
c005117-l390-3.x.x.x,3,390,3.x.x.x,144,144,66,144,1
c004145-l365-3.x.x.x,3,365,3.x.x.x,368,368,182,368,1
c013849-l500-1.x.x.x,3,500,1.x.x.x,192,192,111,192,1
c007334-l433-unconditional,3,433,unconditional,256,256,155,256,1
c005692-l404-unconditional,3,404,unconditional,304,304,195,304,1
c002839-l324-3.x.x.x,3,324,3.x.x.x,464,464,242,464,1
c002151-l297-2.x.x.x,3,297,2.x.x.x,544,544,346,544,1
c008762-l452-1.x.x.x,3,452,1.x.x.x,240,240,150,240,1
c003414-l344-1.x.x.x,3,344,1.x.x.x,416,416,312,416,1
c008587-l450-unconditional,4,450,unconditional,240,240,127,240,1
c000723-l198-1.x.x.x,4,198,1.x.x.x,640,640,507,640,1
c007335-l433-unconditional,4,433,unconditional,256,256,152,256,1
c005693-l404-unconditional,4,404,unconditional,304,304,189,304,1
c000935-l221-3.x.x.x,4,221,3.x.x.x,896,896,541,896,1
c012356-l488-1.x.x.x,4,488,1.x.x.x,208,208,133,208,1
c012815-l492-1.x.x.x,4,492,1.x.x.x,208,208,125,208,1
c008763-l452-1.x.x.x,4,452,1.x.x.x,240,240,154,240,1
c002152-l297-2.x.x.x,4,297,2.x.x.x,544,544,371,544,1
c011526-l481-unconditional,4,481,unconditional,208,208,101,208,1
c004146-l365-3.x.x.x,4,365,3.x.x.x,368,368,185,368,1
c003415-l344-1.x.x.x,4,344,1.x.x.x,416,416,305,416,1
c000643-l188-1.x.x.x,4,188,1.x.x.x,512,512,411,512,1
c005843-l407-1.x.x.x,4,407,1.x.x.x,304,304,208,304,1
c001334-l253-unconditional,4,253,unconditional,704,704,513,704,1
c012059-l485-3.x.x.x,4,485,3.x.x.x,208,208,83,208,1
c013850-l500-1.x.x.x,4,500,1.x.x.x,192,192,103,192,1
c002840-l324-3.x.x.x,4,324,3.x.x.x,464,464,255,464,1
c002713-l320-unconditional,5,320,unconditional,464,464,322,464,1
c009741-l463-1.x.x.x,5,463,1.x.x.x,224,224,149,224,1
c013552-l498-1.x.x.x,5,498,1.x.x.x,192,192,117,192,1
c004099-l364-1.x.x.x,5,364,1.x.x.x,368,368,270,368,1
c003751-l354-2.x.x.x,5,354,2.x.x.x,48,48,24,48,1
c002841-l324-3.x.x.x,5,324,3.x.x.x,464,464,249,464,1
c008463-l448-1.x.x.x,5,448,1.x.x.x,224,224,150,224,1
c005844-l407-1.x.x.x,5,407,1.x.x.x,304,304,201,304,1
c004147-l365-3.x.x.x,5,365,3.x.x.x,368,368,206,368,1
c010069-l466-3.x.x.x,5,466,3.x.x.x,224,224,107,224,1
c012844-l492-1.x.x.x,5,492,1.x.x.x,208,208,119,208,1
c006775-l424-1.x.x.x,5,424,1.x.x.x,272,272,179,272,1
c007481-l435-1.x.x.x,5,435,1.x.x.x,256,256,166,256,1
c008913-l454-unconditional,5,454,unconditional,240,240,152,240,1
c009722-l463-1.x.x.x,5,463,1.x.x.x,224,224,134,224,1
c003084-l333-1.x.x.x,5,333,1.x.x.x,432,432,319,432,1
c000622-l185-3.x.x.x,5,185,3.x.x.x,1184,1184,765,1184,1
c003416-l344-1.x.x.x,5,344,1.x.x.x,416,416,316,416,1
c012842-l492-1.x.x.x,6,492,1.x.x.x,208,208,118,208,1
c004148-l365-3.x.x.x,6,365,3.x.x.x,368,368,189,368,1
c004097-l364-1.x.x.x,6,364,1.x.x.x,368,368,247,368,1
c013558-l498-1.x.x.x,6,498,1.x.x.x,192,192,128,192,1
c005615-l402-1.x.x.x,6,402,1.x.x.x,304,304,209,304,1
c003417-l344-1.x.x.x,6,344,1.x.x.x,416,416,295,416,1
c009747-l463-1.x.x.x,6,463,1.x.x.x,224,224,142,224,1
c003697-l353-unconditional,6,353,unconditional,384,384,259,384,1
c010075-l466-3.x.x.x,6,466,3.x.x.x,224,224,94,224,1
c005845-l407-1.x.x.x,6,407,1.x.x.x,304,304,214,304,1
c001779-l279-1.x.x.x,6,279,1.x.x.x,544,544,405,544,1
c001064-l233-2.x.x.x,6,233,2.x.x.x,816,816,261,816,1
c004383-l372-unconditional,6,372,unconditional,352,352,221,352,1
c009728-l463-1.x.x.x,6,463,1.x.x.x,224,224,136,224,1
c001643-l271-3.x.x.x,6,271,3.x.x.x,80,80,54,80,1
c007487-l435-1.x.x.x,6,435,1.x.x.x,256,256,167,256,1
c007758-l439-unconditional,6,439,unconditional,256,256,142,256,1
c002842-l324-3.x.x.x,6,324,3.x.x.x,464,464,264,464,1
c004149-l365-3.x.x.x,7,365,3.x.x.x,368,368,197,368,1
c000541-l175-2.x.x.x,7,175,2.x.x.x,160,160,71,160,1
c009729-l463-1.x.x.x,7,463,1.x.x.x,224,224,141,224,1
c005846-l407-1.x.x.x,7,407,1.x.x.x,304,304,207,304,1
c007759-l439-unconditional,7,439,unconditional,256,256,153,256,1
c013559-l498-1.x.x.x,7,498,1.x.x.x,192,192,113,192,1
c007488-l435-1.x.x.x,7,435,1.x.x.x,256,256,173,256,1
c005616-l402-1.x.x.x,7,402,1.x.x.x,304,304,203,304,1
c000407-l157-2.x.x.x,7,157,2.x.x.x,1280,1280,613,1280,1
c003418-l344-1.x.x.x,7,344,1.x.x.x,416,416,305,416,1
c004384-l372-unconditional,7,372,unconditional,352,352,219,352,1
c012843-l492-1.x.x.x,7,492,1.x.x.x,208,208,130,208,1
c004098-l364-1.x.x.x,7,364,1.x.x.x,368,368,245,368,1
c001065-l233-2.x.x.x,7,233,2.x.x.x,816,816,264,816,1
c002843-l324-3.x.x.x,7,324,3.x.x.x,464,464,251,464,1
c009748-l463-1.x.x.x,7,463,1.x.x.x,224,224,144,224,1
c010076-l466-3.x.x.x,7,466,3.x.x.x,224,224,100,224,1
c003698-l353-unconditional,7,353,unconditional,384,384,251,384,1
c007223-l431-2.x.x.x,8,431,2.x.x.x,272,272,92,272,1
c006202-l414-1.x.x.x,8,414,1.x.x.x,288,288,184,288,1
c005814-l406-3.x.x.x,8,406,3.x.x.x,304,304,143,304,1
c012087-l485-3.x.x.x,8,485,3.x.x.x,208,208,90,208,1
c002900-l327-unconditional,8,327,unconditional,448,448,304,448,1
c012867-l492-2.x.x.x,8,492,2.x.x.x,208,208,61,208,1
c001688-l274-1.x.x.x,8,274,1.x.x.x,624,624,480,624,1
c013461-l497-1.x.x.x,8,497,1.x.x.x,176,176,115,176,1
c004321-l370-1.x.x.x,8,370,1.x.x.x,352,352,248,352,1
c007136-l430-unconditional,8,430,unconditional,48,48,31,48,1
c004081-l364-unconditional,8,364,unconditional,368,368,254,368,1
c008332-l446-3.x.x.x,8,446,3.x.x.x,240,240,112,240,1
c006506-l420-unconditional,8,420,unconditional,272,272,164,272,1
c007130-l430-unconditional,8,430,unconditional,272,272,148,272,1
c003925-l359-3.x.x.x,8,359,3.x.x.x,368,368,185,368,1
c012430-l488-3.x.x.x,8,488,3.x.x.x,208,208,91,208,1
c008041-l443-unconditional,8,443,unconditional,256,256,134,256,1
c013653-l498-3.x.x.x,8,498,3.x.x.x,192,192,95,192,1
c002608-l316-unconditional,9,316,unconditional,480,480,336,480,1
c012862-l492-2.x.x.x,9,492,2.x.x.x,208,208,65,208,1
c004626-l378-2.x.x.x,9,378,2.x.x.x,336,336,174,336,1
c011680-l482-1.x.x.x,9,482,1.x.x.x,208,208,116,208,1
c006661-l422-2.x.x.x,9,422,2.x.x.x,272,272,104,272,1
c011728-l482-3.x.x.x,9,482,3.x.x.x,208,208,90,208,1
c001082-l235-unconditional,9,235,unconditional,736,736,534,736,1
c005815-l406-3.x.x.x,9,406,3.x.x.x,304,304,151,304,1
c003080-l333-1.x.x.x,9,333,1.x.x.x,432,432,312,432,1
c013472-l497-2.x.x.x,9,497,2.x.x.x,192,192,55,192,1
c012393-l488-2.x.x.x,9,488,2.x.x.x,208,208,73,208,1
c012848-l492-1.x.x.x,9,492,1.x.x.x,208,208,129,208,1
c008042-l443-unconditional,9,443,unconditional,256,256,160,256,1
c007131-l430-unconditional,9,430,unconditional,272,272,165,272,1
c001690-l274-2.x.x.x,9,274,2.x.x.x,624,624,405,624,1
c007627-l437-1.x.x.x,9,437,1.x.x.x,256,256,160,256,1
c007224-l431-2.x.x.x,9,431,2.x.x.x,272,272,105,272,1
c005385-l397-unconditional,9,397,unconditional,32,32,16,32,1
c010344-l469-2.x.x.x,10,469,2.x.x.x,48,48,18,48,1
c001691-l274-2.x.x.x,10,274,2.x.x.x,624,624,417,624,1
c008043-l443-unconditional,10,443,unconditional,256,256,151,256,1
c012863-l492-2.x.x.x,10,492,2.x.x.x,208,208,61,208,1
c004617-l378-1.x.x.x,10,378,1.x.x.x,336,336,236,336,1
c005816-l406-3.x.x.x,10,406,3.x.x.x,304,304,157,304,1
c007132-l430-unconditional,10,430,unconditional,272,272,168,272,1
c012069-l485-3.x.x.x,10,485,3.x.x.x,208,208,86,208,1
c009692-l462-3.x.x.x,10,462,3.x.x.x,224,224,108,224,1
c008407-l447-3.x.x.x,10,447,3.x.x.x,240,240,130,240,1
c007646-l437-2.x.x.x,10,437,2.x.x.x,256,256,98,256,1
c012849-l492-1.x.x.x,10,492,1.x.x.x,208,208,127,208,1
c002478-l311-unconditional,10,311,unconditional,496,496,349,496,1
c007225-l431-2.x.x.x,10,431,2.x.x.x,272,272,111,272,1
c002257-l302-unconditional,10,302,unconditional,528,528,371,528,1
c005740-l405-unconditional,10,405,unconditional,256,256,166,256,1
c013683-l499-1.x.x.x,10,499,1.x.x.x,192,192,124,192,1
c012408-l488-3.x.x.x,10,488,3.x.x.x,208,208,87,208,1
c001006-l228-1.x.x.x,11,228,1.x.x.x,848,848,646,848,1
c007133-l430-unconditional,11,430,unconditional,272,272,164,272,1
c013561-l498-1.x.x.x,11,498,1.x.x.x,192,192,106,192,1
c001170-l241-3.x.x.x,11,241,3.x.x.x,688,688,412,688,1
c009750-l463-1.x.x.x,11,463,1.x.x.x,224,224,141,224,1
c000557-l177-2.x.x.x,11,177,2.x.x.x,160,160,62,160,1
c005817-l406-3.x.x.x,11,406,3.x.x.x,304,304,139,304,1
c002715-l320-unconditional,11,320,unconditional,464,464,317,464,1
c007490-l435-1.x.x.x,11,435,1.x.x.x,256,256,151,256,1
c006777-l424-1.x.x.x,11,424,1.x.x.x,272,272,176,272,1
c012845-l492-1.x.x.x,11,492,1.x.x.x,208,208,130,208,1
c009731-l463-1.x.x.x,11,463,1.x.x.x,224,224,138,224,1
c010078-l466-3.x.x.x,11,466,3.x.x.x,224,224,102,224,1
c007226-l431-2.x.x.x,11,431,2.x.x.x,272,272,112,272,1
c008918-l454-unconditional,11,454,unconditional,240,240,133,240,1
c008044-l443-unconditional,11,443,unconditional,256,256,150,256,1
c012860-l492-2.x.x.x,11,492,2.x.x.x,208,208,66,208,1
c006195-l414-1.x.x.x,11,414,1.x.x.x,288,288,201,288,1
c012861-l492-2.x.x.x,12,492,2.x.x.x,208,208,49,208,1
c010079-l466-3.x.x.x,12,466,3.x.x.x,224,224,94,224,1
c006196-l414-1.x.x.x,12,414,1.x.x.x,288,288,194,288,1
c007491-l435-1.x.x.x,12,435,1.x.x.x,256,256,156,256,1
c001007-l228-1.x.x.x,12,228,1.x.x.x,848,848,649,848,1
c012846-l492-1.x.x.x,12,492,1.x.x.x,208,208,130,208,1
c008356-l447-unconditional,12,447,unconditional,224,224,146,224,1
c007134-l430-unconditional,12,430,unconditional,272,272,147,272,1
c008919-l454-unconditional,12,454,unconditional,240,240,123,240,1
c009751-l463-1.x.x.x,12,463,1.x.x.x,224,224,143,224,1
c009732-l463-1.x.x.x,12,463,1.x.x.x,224,224,127,224,1
c005818-l406-3.x.x.x,12,406,3.x.x.x,304,304,150,304,1
c008045-l443-unconditional,12,443,unconditional,256,256,148,256,1
c007227-l431-2.x.x.x,12,431,2.x.x.x,272,272,117,272,1
c002716-l320-unconditional,12,320,unconditional,464,464,298,464,1
c013562-l498-1.x.x.x,12,498,1.x.x.x,192,192,107,192,1
c006778-l424-1.x.x.x,12,424,1.x.x.x,272,272,164,272,1
c008544-l449-1.x.x.x,12,449,1.x.x.x,32,32,18,32,1
c007228-l431-2.x.x.x,13,431,2.x.x.x,272,272,108,272,1
c010080-l466-3.x.x.x,13,466,3.x.x.x,224,224,108,224,1
c012385-l488-2.x.x.x,13,488,2.x.x.x,208,208,64,208,1
c011657-l482-1.x.x.x,13,482,1.x.x.x,208,208,116,208,1
c012857-l492-2.x.x.x,13,492,2.x.x.x,208,208,69,208,1
c007492-l435-1.x.x.x,13,435,1.x.x.x,256,256,171,256,1
c006376-l417-2.x.x.x,13,417,2.x.x.x,48,48,18,48,1
c005819-l406-3.x.x.x,13,406,3.x.x.x,304,304,148,304,1
c002672-l318-2.x.x.x,13,318,2.x.x.x,480,480,315,480,1
c007135-l430-unconditional,13,430,unconditional,272,272,167,272,1
c004760-l382-unconditional,13,382,unconditional,336,336,213,336,1
c003076-l333-unconditional,13,333,unconditional,432,432,288,432,1
c009738-l463-1.x.x.x,13,463,1.x.x.x,224,224,132,224,1
c007619-l437-1.x.x.x,13,437,1.x.x.x,256,256,168,256,1
c012832-l492-1.x.x.x,13,492,1.x.x.x,208,208,112,208,1
c008046-l443-unconditional,13,443,unconditional,256,256,140,256,1
c001761-l278-1.x.x.x,13,278,1.x.x.x,528,528,393,528,1
c013636-l498-3.x.x.x,13,498,3.x.x.x,192,192,80,192,1
c011669-l482-1.x.x.x,14,482,1.x.x.x,208,208,125,208,1
c009271-l458-1.x.x.x,14,458,1.x.x.x,240,240,142,240,1
c005203-l393-unconditional,14,393,unconditional,320,320,196,320,1
c007229-l431-2.x.x.x,14,431,2.x.x.x,272,272,117,272,1
c007503-l435-2.x.x.x,14,435,2.x.x.x,256,256,112,256,1
c000967-l224-3.x.x.x,14,224,3.x.x.x,880,880,533,880,1
c004102-l364-2.x.x.x,14,364,2.x.x.x,368,368,210,368,1
c009249-l457-3.x.x.x,14,457,3.x.x.x,224,224,92,224,1
c010044-l466-2.x.x.x,14,466,2.x.x.x,224,224,73,224,1
c000304-l136-unconditional,14,136,unconditional,1536,1536,1228,1536,1
c000602-l183-1.x.x.x,14,183,1.x.x.x,1184,1184,968,1184,1
c013117-l494-3.x.x.x,14,494,3.x.x.x,208,208,78,208,1
c004423-l373-1.x.x.x,14,373,1.x.x.x,352,352,247,352,1
c011717-l482-3.x.x.x,14,482,3.x.x.x,208,208,94,208,1
c007624-l437-1.x.x.x,14,437,1.x.x.x,256,256,170,256,1
c000877-l216-1.x.x.x,14,216,1.x.x.x,96,96,78,96,1
c012390-l488-2.x.x.x,14,488,2.x.x.x,208,208,73,208,1
c013044-l494-unconditional,14,494,unconditional,208,208,99,208,1
c007435-l434-2.x.x.x,15,434,2.x.x.x,256,256,94,256,1
c007016-l428-1.x.x.x,15,428,1.x.x.x,272,272,182,272,1
c013255-l495-3.x.x.x,15,495,3.x.x.x,208,208,92,208,1
c003941-l360-unconditional,15,360,unconditional,368,368,233,368,1
c006144-l413-1.x.x.x,15,413,1.x.x.x,288,288,195,288,1
c010188-l468-unconditional,15,468,unconditional,224,224,137,224,1
c006464-l419-1.x.x.x,15,419,1.x.x.x,288,288,190,288,1
c011535-l481-unconditional,15,481,unconditional,208,208,110,208,1
c001595-l269-1.x.x.x,15,269,1.x.x.x,640,640,483,640,1
c008988-l454-3.x.x.x,15,454,3.x.x.x,240,240,106,240,1
c000373-l151-3.x.x.x,15,151,3.x.x.x,1504,1504,1064,1504,1
c010616-l472-1.x.x.x,15,472,1.x.x.x,224,224,129,224,1
c007371-l433-3.x.x.x,15,433,3.x.x.x,256,256,127,256,1
c006858-l425-3.x.x.x,15,425,3.x.x.x,272,272,135,272,1
c013339-l496-1.x.x.x,15,496,1.x.x.x,128,128,77,128,1
c009241-l457-3.x.x.x,15,457,3.x.x.x,240,240,117,240,1
c009485-l460-2.x.x.x,15,460,2.x.x.x,96,96,31,96,1
c013791-l500-unconditional,15,500,unconditional,192,192,111,192,1
c010066-l466-3.x.x.x,16,466,3.x.x.x,224,224,108,224,1
c005789-l406-1.x.x.x,16,406,1.x.x.x,304,304,193,304,1
c006465-l419-1.x.x.x,16,419,1.x.x.x,288,288,189,288,1
c001985-l289-3.x.x.x,16,289,3.x.x.x,576,576,355,576,1
c011745-l482-3.x.x.x,16,482,3.x.x.x,208,208,89,208,1
c002617-l316-1.x.x.x,16,316,1.x.x.x,64,64,45,64,1
c008910-l454-unconditional,16,454,unconditional,240,240,138,240,1
c003081-l333-1.x.x.x,16,333,1.x.x.x,432,432,317,432,1
c006772-l424-1.x.x.x,16,424,1.x.x.x,272,272,172,272,1
c002710-l320-unconditional,16,320,unconditional,464,464,323,464,1
c006969-l427-2.x.x.x,16,427,2.x.x.x,272,272,123,272,1
c001756-l278-unconditional,16,278,unconditional,544,544,387,544,1
c007478-l435-1.x.x.x,16,435,1.x.x.x,256,256,171,256,1
c004873-l385-unconditional,16,385,unconditional,336,336,215,336,1
c007273-l432-1.x.x.x,16,432,1.x.x.x,256,256,162,256,1
c013567-l498-1.x.x.x,16,498,1.x.x.x,192,192,112,192,1
c000502-l170-3.x.x.x,16,170,3.x.x.x,1312,1312,872,1312,1
c002631-l317-unconditional,16,317,unconditional,480,480,305,480,1
c006204-l414-1.x.x.x,17,414,1.x.x.x,288,288,191,288,1
c007529-l435-3.x.x.x,17,435,3.x.x.x,256,256,134,256,1
c012866-l492-2.x.x.x,17,492,2.x.x.x,208,208,69,208,1
c006532-l420-1.x.x.x,17,420,1.x.x.x,272,272,179,272,1
c001984-l289-3.x.x.x,17,289,3.x.x.x,576,576,350,576,1
c004080-l364-unconditional,17,364,unconditional,368,368,236,368,1
c007205-l431-1.x.x.x,17,431,1.x.x.x,256,256,160,256,1
c006466-l419-1.x.x.x,17,419,1.x.x.x,288,288,178,288,1
c005813-l406-3.x.x.x,17,406,3.x.x.x,304,304,155,304,1
c001687-l274-1.x.x.x,17,274,1.x.x.x,624,624,469,624,1
c000500-l170-2.x.x.x,17,170,2.x.x.x,1312,1312,597,1312,1
c008926-l454-unconditional,17,454,unconditional,240,240,127,240,1
c000219-l114-3.x.x.x,17,114,3.x.x.x,1376,1376,1039,1376,1
c000178-l104-2.x.x.x,17,104,2.x.x.x,864,864,585,864,1
c006006-l410-3.x.x.x,17,410,3.x.x.x,288,288,131,288,1
c012426-l488-3.x.x.x,17,488,3.x.x.x,208,208,94,208,1
c013809-l500-1.x.x.x,17,500,1.x.x.x,192,192,113,192,1
c003980-l361-1.x.x.x,17,361,1.x.x.x,368,368,266,368,1
c004878-l385-unconditional,18,385,unconditional,336,336,202,336,1
c004091-l364-1.x.x.x,18,364,1.x.x.x,368,368,256,368,1
c002959-l329-unconditional,18,329,unconditional,448,448,299,448,1
c010491-l471-unconditional,18,471,unconditional,224,224,122,224,1
c011649-l482-unconditional,18,482,unconditional,208,208,121,208,1
c005539-l400-3.x.x.x,18,400,3.x.x.x,304,304,171,304,1
c013610-l498-3.x.x.x,18,498,3.x.x.x,192,192,86,192,1
c004937-l386-2.x.x.x,18,386,2.x.x.x,336,336,146,336,1
c012151-l486-1.x.x.x,18,486,1.x.x.x,32,32,19,32,1
c007881-l440-3.x.x.x,18,440,3.x.x.x,256,256,112,256,1
c007665-l437-3.x.x.x,18,437,3.x.x.x,256,256,124,256,1
c011695-l482-2.x.x.x,18,482,2.x.x.x,208,208,60,208,1
c006467-l419-1.x.x.x,18,419,1.x.x.x,288,288,172,288,1
c005129-l391-unconditional,18,391,unconditional,320,320,196,320,1
c003861-l357-3.x.x.x,18,357,3.x.x.x,336,336,177,336,1
c006647-l422-1.x.x.x,18,422,1.x.x.x,272,272,175,272,1
c002620-l316-2.x.x.x,18,316,2.x.x.x,480,480,292,480,1
c002433-l309-1.x.x.x,18,309,1.x.x.x,512,512,382,512,1
c002145-l297-1.x.x.x,19,297,1.x.x.x,544,544,422,544,1
c012362-l488-1.x.x.x,19,488,1.x.x.x,208,208,127,208,1
c002960-l329-unconditional,19,329,unconditional,448,448,303,448,1
c013680-l499-1.x.x.x,19,499,1.x.x.x,192,192,112,192,1
c010492-l471-unconditional,19,471,unconditional,224,224,134,224,1
c007882-l440-3.x.x.x,19,440,3.x.x.x,256,256,129,256,1
c004879-l385-unconditional,19,385,unconditional,336,336,212,336,1
c008767-l452-1.x.x.x,19,452,1.x.x.x,240,240,146,240,1
c009689-l462-3.x.x.x,19,462,3.x.x.x,224,224,90,224,1
c002434-l309-1.x.x.x,19,309,1.x.x.x,512,512,395,512,1
c008404-l447-3.x.x.x,19,447,3.x.x.x,240,240,111,240,1
c004938-l386-2.x.x.x,19,386,2.x.x.x,336,336,156,336,1
c004092-l364-1.x.x.x,19,364,1.x.x.x,368,368,244,368,1
c003645-l351-1.x.x.x,19,351,1.x.x.x,80,80,59,80,1
c006468-l419-1.x.x.x,19,419,1.x.x.x,288,288,188,288,1
c012066-l485-3.x.x.x,19,485,3.x.x.x,208,208,100,208,1
c008593-l450-unconditional,19,450,unconditional,240,240,135,240,1
c001415-l258-1.x.x.x,19,258,1.x.x.x,576,576,444,576,1
c004939-l386-2.x.x.x,20,386,2.x.x.x,336,336,161,336,1
c012067-l485-3.x.x.x,20,485,3.x.x.x,208,208,101,208,1
c002146-l297-1.x.x.x,20,297,1.x.x.x,544,544,411,544,1
c004880-l385-unconditional,20,385,unconditional,336,336,222,336,1
c002961-l329-unconditional,20,329,unconditional,448,448,317,448,1
c009702-l462-3.x.x.x,20,462,3.x.x.x,48,48,23,48,1
c008405-l447-3.x.x.x,20,447,3.x.x.x,240,240,109,240,1
c006469-l419-1.x.x.x,20,419,1.x.x.x,288,288,186,288,1
c009690-l462-3.x.x.x,20,462,3.x.x.x,224,224,118,224,1
c012363-l488-1.x.x.x,20,488,1.x.x.x,208,208,123,208,1
c010493-l471-unconditional,20,471,unconditional,224,224,130,224,1
c008594-l450-unconditional,20,450,unconditional,240,240,147,240,1
c013681-l499-1.x.x.x,20,499,1.x.x.x,192,192,118,192,1
c002435-l309-1.x.x.x,20,309,1.x.x.x,512,512,390,512,1
c008768-l452-1.x.x.x,20,452,1.x.x.x,240,240,141,240,1
c004093-l364-1.x.x.x,20,364,1.x.x.x,368,368,277,368,1
c010278-l468-3.x.x.x,20,468,3.x.x.x,192,192,89,192,1
c007883-l440-3.x.x.x,20,440,3.x.x.x,256,256,126,256,1
c008406-l447-3.x.x.x,21,447,3.x.x.x,240,240,113,240,1
c004940-l386-2.x.x.x,21,386,2.x.x.x,336,336,176,336,1
c000299-l134-3.x.x.x,21,134,3.x.x.x,1440,1440,1012,1440,1
c002436-l309-1.x.x.x,21,309,1.x.x.x,512,512,384,512,1
c004881-l385-unconditional,21,385,unconditional,336,336,214,336,1
c009691-l462-3.x.x.x,21,462,3.x.x.x,224,224,93,224,1
c000439-l162-unconditional,21,162,unconditional,288,288,223,288,1
c013682-l499-1.x.x.x,21,499,1.x.x.x,192,192,99,192,1
c004094-l364-1.x.x.x,21,364,1.x.x.x,368,368,255,368,1
c002962-l329-unconditional,21,329,unconditional,448,448,302,448,1
c008769-l452-1.x.x.x,21,452,1.x.x.x,240,240,154,240,1
