case,worker,length,condition,generated,refolded,quality_pass,sequences_saved,complete
c004626-l378-2.x.x.x,9,378,2.x.x.x,336,336,174,336,1
c011680-l482-1.x.x.x,9,482,1.x.x.x,208,208,116,208,1
c006661-l422-2.x.x.x,9,422,2.x.x.x,272,160,58,176,0
c010344-l469-2.x.x.x,10,469,2.x.x.x,48,48,18,48,1
c001691-l274-2.x.x.x,10,274,2.x.x.x,624,624,417,624,1
c008043-l443-unconditional,10,443,unconditional,256,256,151,256,1
c012863-l492-2.x.x.x,10,492,2.x.x.x,208,208,61,208,1
c004617-l378-1.x.x.x,10,378,1.x.x.x,336,336,236,336,1
c005816-l406-3.x.x.x,10,406,3.x.x.x,224,0,0,0,0
c001006-l228-1.x.x.x,11,228,1.x.x.x,848,848,646,848,1
c007133-l430-unconditional,11,430,unconditional,272,272,164,272,1
c013561-l498-1.x.x.x,11,498,1.x.x.x,192,192,106,192,1
c001170-l241-3.x.x.x,11,241,3.x.x.x,688,688,412,688,1
c009750-l463-1.x.x.x,11,463,1.x.x.x,224,144,89,160,0
c012861-l492-2.x.x.x,12,492,2.x.x.x,208,208,49,208,1
c010079-l466-3.x.x.x,12,466,3.x.x.x,224,224,94,224,1
c006196-l414-1.x.x.x,12,414,1.x.x.x,288,160,104,176,0
c007228-l431-2.x.x.x,13,431,2.x.x.x,272,272,108,272,1
c010080-l466-3.x.x.x,13,466,3.x.x.x,224,224,108,224,1
c012385-l488-2.x.x.x,13,488,2.x.x.x,208,208,64,208,1
c011657-l482-1.x.x.x,13,482,1.x.x.x,208,208,116,208,1
c012857-l492-2.x.x.x,13,492,2.x.x.x,208,112,33,128,0
c011669-l482-1.x.x.x,14,482,1.x.x.x,208,208,125,208,1
c009271-l458-1.x.x.x,14,458,1.x.x.x,240,240,142,240,1
c005203-l393-unconditional,14,393,unconditional,320,320,196,320,1
c007229-l431-2.x.x.x,14,431,2.x.x.x,272,272,117,272,1
c007503-l435-2.x.x.x,14,435,2.x.x.x,256,80,33,96,0
c007435-l434-2.x.x.x,15,434,2.x.x.x,256,256,94,256,1
c007016-l428-1.x.x.x,15,428,1.x.x.x,272,272,182,272,1
c013255-l495-3.x.x.x,15,495,3.x.x.x,208,208,92,208,1
c003941-l360-unconditional,15,360,unconditional,368,368,233,368,1
c006144-l413-1.x.x.x,15,413,1.x.x.x,288,128,83,144,0
c010066-l466-3.x.x.x,16,466,3.x.x.x,224,224,108,224,1
c005789-l406-1.x.x.x,16,406,1.x.x.x,304,304,193,304,1
c006465-l419-1.x.x.x,16,419,1.x.x.x,288,288,189,288,1
c001985-l289-3.x.x.x,16,289,3.x.x.x,576,576,355,576,1
c011745-l482-3.x.x.x,16,482,3.x.x.x,208,48,16,64,0
c006204-l414-1.x.x.x,17,414,1.x.x.x,288,288,191,288,1
c007529-l435-3.x.x.x,17,435,3.x.x.x,256,256,134,256,1
c012866-l492-2.x.x.x,17,492,2.x.x.x,208,208,69,208,1
c006532-l420-1.x.x.x,17,420,1.x.x.x,272,272,179,272,1
c001984-l289-3.x.x.x,17,289,3.x.x.x,576,224,133,240,0
c004878-l385-unconditional,18,385,unconditional,336,336,202,336,1
c004091-l364-1.x.x.x,18,364,1.x.x.x,368,368,256,368,1
c002959-l329-unconditional,18,329,unconditional,448,448,299,448,1
c010491-l471-unconditional,18,471,unconditional,224,224,122,224,1
c011649-l482-unconditional,18,482,unconditional,208,64,35,80,0
c002145-l297-1.x.x.x,19,297,1.x.x.x,544,544,422,544,1
c012362-l488-1.x.x.x,19,488,1.x.x.x,208,208,127,208,1
c002960-l329-unconditional,19,329,unconditional,448,448,303,448,1
c013680-l499-1.x.x.x,19,499,1.x.x.x,192,192,112,192,1
c010492-l471-unconditional,19,471,unconditional,224,80,43,96,0
c004939-l386-2.x.x.x,20,386,2.x.x.x,336,336,161,336,1
c012067-l485-3.x.x.x,20,485,3.x.x.x,208,208,101,208,1
c002146-l297-1.x.x.x,20,297,1.x.x.x,544,544,411,544,1
c004880-l385-unconditional,20,385,unconditional,336,336,222,336,1
c002961-l329-unconditional,20,329,unconditional,448,48,32,64,0
c008406-l447-3.x.x.x,21,447,3.x.x.x,240,240,113,240,1
c004940-l386-2.x.x.x,21,386,2.x.x.x,336,336,176,336,1
c000299-l134-3.x.x.x,21,134,3.x.x.x,1344,0,0,0,0
c007120-l430-unconditional,22,430,unconditional,272,272,141,272,1
c000329-l142-1.x.x.x,22,142,1.x.x.x,1312,1312,1109,1312,1
c011823-l483-3.x.x.x,22,483,3.x.x.x,208,208,102,208,1
c010819-l474-1.x.x.x,22,474,1.x.x.x,224,224,139,224,1
c011630-l481-3.x.x.x,22,481,3.x.x.x,208,192,84,208,0
c012198-l486-3.x.x.x,23,486,3.x.x.x,208,208,96,208,1
c012904-l492-3.x.x.x,23,492,3.x.x.x,208,208,113,208,1
c002397-l307-3.x.x.x,23,307,3.x.x.x,400,0,0,0,0
c007122-l430-unconditional,24,430,unconditional,272,272,165,272,1
c012388-l488-2.x.x.x,24,488,2.x.x.x,208,208,72,208,1
c005206-l393-unconditional,24,393,unconditional,320,320,195,320,1
c002533-l313-1.x.x.x,24,313,1.x.x.x,496,496,374,496,1
c010042-l466-2.x.x.x,24,466,2.x.x.x,224,64,22,80,0
c000361-l149-1.x.x.x,25,149,1.x.x.x,1376,1376,1151,1376,1
c004813-l383-1.x.x.x,25,383,1.x.x.x,336,336,215,336,1
c011667-l482-1.x.x.x,25,482,1.x.x.x,208,208,117,208,1
c006474-l419-1.x.x.x,25,419,1.x.x.x,288,288,181,288,1
c007498-l435-1.x.x.x,25,435,1.x.x.x,256,160,107,176,0
c010011-l466-1.x.x.x,26,466,1.x.x.x,224,224,133,224,1
c008775-l452-1.x.x.x,26,452,1.x.x.x,240,240,149,240,1
c007124-l430-unconditional,26,430,unconditional,272,272,160,272,1
c013225-l495-2.x.x.x,26,495,2.x.x.x,208,208,67,208,1
c004814-l383-1.x.x.x,26,383,1.x.x.x,336,128,83,144,0
c004991-l387-3.x.x.x,27,387,3.x.x.x,144,144,66,144,1
c003352-l342-1.x.x.x,27,342,1.x.x.x,416,416,321,416,1
c006476-l419-1.x.x.x,27,419,1.x.x.x,288,288,177,288,1
c002295-l303-2.x.x.x,27,303,2.x.x.x,528,528,352,528,1
c007125-l430-unconditional,27,430,unconditional,272,272,147,272,1
c009656-l462-1.x.x.x,27,462,1.x.x.x,80,0,0,0,0
c006643-l422-1.x.x.x,28,422,1.x.x.x,272,272,176,272,1
c007126-l430-unconditional,28,430,unconditional,272,272,163,272,1
c002933-l328-unconditional,28,328,unconditional,448,448,293,448,1
c013227-l495-2.x.x.x,28,495,2.x.x.x,208,208,73,208,1
c001808-l281-unconditional,28,281,unconditional,592,160,118,176,0
c006644-l422-1.x.x.x,29,422,1.x.x.x,272,272,179,272,1
c011179-l477-3.x.x.x,29,477,3.x.x.x,208,208,98,208,1
c008354-l447-unconditional,29,447,unconditional,240,240,133,240,1
c013228-l495-2.x.x.x,29,495,2.x.x.x,208,208,71,208,1
c008327-l446-3.x.x.x,29,446,3.x.x.x,240,144,69,160,0
c007652-l437-3.x.x.x,30,437,3.x.x.x,256,256,112,256,1
c006479-l419-1.x.x.x,30,419,1.x.x.x,288,288,188,288,1
c007128-l430-unconditional,30,430,unconditional,272,272,161,272,1
c001810-l281-unconditional,30,281,unconditional,592,592,401,592,1
c003355-l342-1.x.x.x,30,342,1.x.x.x,416,64,45,80,0
c007129-l430-unconditional,31,430,unconditional,272,272,144,272,1
c013037-l494-unconditional,31,494,unconditional,208,208,96,208,1
c002475-l311-unconditional,31,311,unconditional,496,496,341,496,1
c004703-l380-2.x.x.x,31,380,2.x.x.x,336,336,162,336,1
c002944-l328-1.x.x.x,31,328,1.x.x.x,384,208,159,224,0
c000772-l204-2.x.x.x,32,204,2.x.x.x,1056,1056,381,1056,1
c002279-l302-3.x.x.x,32,302,3.x.x.x,528,528,300,528,1
c006628-l422-unconditional,32,422,unconditional,272,272,168,272,1
c006044-l411-1.x.x.x,32,411,1.x.x.x,288,288,181,288,1
c001132-l239-unconditional,32,239,unconditional,784,32,23,48,0
c011839-l483-3.x.x.x,33,483,3.x.x.x,208,208,92,208,1
c007977-l442-1.x.x.x,33,442,1.x.x.x,256,256,156,256,1
c002872-l326-unconditional,33,326,unconditional,448,448,310,448,1
c010110-l467-1.x.x.x,33,467,1.x.x.x,224,224,136,224,1
c005022-l388-2.x.x.x,33,388,2.x.x.x,320,144,71,160,0
c000116-l89-unconditional,34,89,unconditional,1280,1280,1025,1280,1
c007868-l440-3.x.x.x,34,440,3.x.x.x,256,256,121,256,1
c002873-l326-unconditional,34,326,unconditional,448,448,301,448,1
c000853-l214-unconditional,34,214,unconditional,960,960,700,960,1
c002356-l306-unconditional,34,306,unconditional,512,512,363,512,1
c010939-l475-2.x.x.x,34,475,2.x.x.x,48,0,0,0,0
c002603-l316-unconditional,35,316,unconditional,480,480,320,480,1
c004083-l364-unconditional,35,364,unconditional,368,368,246,368,1
c004614-l378-1.x.x.x,35,378,1.x.x.x,336,336,235,336,1
c001861-l283-3.x.x.x,35,283,3.x.x.x,592,592,366,592,1
c002025-l291-3.x.x.x,35,291,3.x.x.x,560,128,68,144,0
c005862-l407-3.x.x.x,36,407,3.x.x.x,304,304,154,304,1
c002929-l328-unconditional,36,328,unconditional,448,448,301,448,1
c011881-l484-unconditional,36,484,unconditional,160,0,0,0,0
c007877-l440-3.x.x.x,37,440,3.x.x.x,256,256,125,256,1
c001416-l258-2.x.x.x,37,258,2.x.x.x,688,688,457,688,1
c004044-l363-unconditional,37,363,unconditional,368,368,238,368,1
c006648-l422-1.x.x.x,37,422,1.x.x.x,272,272,182,272,1
c002374-l306-3.x.x.x,37,306,3.x.x.x,512,112,66,128,0
c007872-l440-3.x.x.x,38,440,3.x.x.x,256,256,120,256,1
c003602-l350-unconditional,38,350,unconditional,400,400,262,400,1
c002583-l315-1.x.x.x,38,315,1.x.x.x,480,480,367,480,1
c001344-l253-3.x.x.x,38,253,3.x.x.x,704,704,440,704,1
c012591-l490-1.x.x.x,38,490,1.x.x.x,208,48,28,64,0
c000129-l92-1.x.x.x,39,92,1.x.x.x,1088,1088,932,1088,1
c004636-l378-3.x.x.x,39,378,3.x.x.x,336,336,190,336,1
c005865-l407-3.x.x.x,39,407,3.x.x.x,304,304,152,304,1
c011212-l478-1.x.x.x,39,478,1.x.x.x,208,208,130,208,1
c004113-l364-3.x.x.x,39,364,3.x.x.x,368,368,197,368,1
c004413-l373-unconditional,39,373,unconditional,176,0,0,0,0
c008640-l450-3.x.x.x,40,450,3.x.x.x,240,240,113,240,1
c004388-l372-1.x.x.x,40,372,1.x.x.x,352,352,230,352,1
c002121-l296-unconditional,40,296,unconditional,560,560,373,560,1
c009218-l457-2.x.x.x,40,457,2.x.x.x,240,240,94,240,1
c000599-l182-3.x.x.x,40,182,3.x.x.x,384,384,249,384,1
c000548-l176-2.x.x.x,40,176,2.x.x.x,736,0,0,0,0
c008322-l446-3.x.x.x,41,446,3.x.x.x,240,240,112,240,1
c011166-l477-3.x.x.x,41,477,3.x.x.x,208,208,91,208,1
c001000-l227-3.x.x.x,41,227,3.x.x.x,672,0,0,0,0
c011167-l477-3.x.x.x,42,477,3.x.x.x,208,208,90,208,1
c005529-l400-1.x.x.x,42,400,1.x.x.x,80,80,62,80,1
c001001-l227-3.x.x.x,42,227,3.x.x.x,864,864,510,864,1
c009197-l457-1.x.x.x,42,457,1.x.x.x,240,240,144,240,1
c008350-l447-unconditional,42,447,unconditional,240,240,127,240,1
c005119-l391-unconditional,42,391,unconditional,240,0,0,0,0
c005859-l407-3.x.x.x,43,407,3.x.x.x,304,304,148,304,1
c005840-l407-1.x.x.x,43,407,1.x.x.x,304,304,216,304,1
c000638-l187-3.x.x.x,43,187,3.x.x.x,1184,1184,765,1184,1
c013609-l498-3.x.x.x,43,498,3.x.x.x,192,192,75,192,1
c005128-l391-unconditional,43,391,unconditional,320,48,28,64,0
c005713-l404-2.x.x.x,44,404,2.x.x.x,304,304,132,304,1
c012146-l486-1.x.x.x,44,486,1.x.x.x,208,208,133,208,1
c000496-l170-unconditional,44,170,unconditional,1312,1312,993,1312,1
c010437-l470-2.x.x.x,44,470,2.x.x.x,224,224,78,224,1
c008532-l449-1.x.x.x,44,449,1.x.x.x,240,96,69,112,0
c012342-l488-unconditional,45,488,unconditional,144,144,69,144,1
c005930-l409-unconditional,45,409,unconditional,288,288,181,288,1
c013859-l500-2.x.x.x,45,500,2.x.x.x,192,96,29,112,0
c010267-l468-3.x.x.x,46,468,3.x.x.x,224,224,97,224,1
c010832-l474-2.x.x.x,46,474,2.x.x.x,224,224,73,224,1
c008814-l452-3.x.x.x,46,452,3.x.x.x,240,240,114,240,1
c009787-l463-3.x.x.x,46,463,3.x.x.x,224,224,92,224,1
c012048-l485-2.x.x.x,46,485,2.x.x.x,208,112,20,128,0
c003788-l355-3.x.x.x,47,355,3.x.x.x,384,384,204,384,1
c001921-l286-3.x.x.x,47,286,3.x.x.x,576,576,341,576,1
c007412-l434-1.x.x.x,47,434,1.x.x.x,176,0,0,0,0
c002987-l330-unconditional,48,330,unconditional,448,448,298,448,1
c003989-l361-1.x.x.x,48,361,1.x.x.x,80,80,53,80,1
c008411-l447-3.x.x.x,48,447,3.x.x.x,240,240,103,240,1
c009696-l462-3.x.x.x,48,462,3.x.x.x,224,224,98,224,1
c005131-l391-unconditional,48,391,unconditional,272,272,163,272,1
c012107-l486-unconditional,48,486,unconditional,176,0,0,0,0
c010462-l470-3.x.x.x,49,470,3.x.x.x,224,224,96,224,1
c003055-l332-1.x.x.x,49,332,1.x.x.x,432,432,300,432,1
c005806-l406-2.x.x.x,49,406,2.x.x.x,304,304,124,304,1
c010647-l472-3.x.x.x,49,472,3.x.x.x,224,224,95,224,1
c004588-l377-2.x.x.x,49,377,2.x.x.x,320,0,0,0,0
c004589-l377-2.x.x.x,50,377,2.x.x.x,352,352,203,352,1
c003056-l332-1.x.x.x,50,332,1.x.x.x,432,432,322,432,1
c009804-l464-unconditional,50,464,unconditional,224,224,136,224,1
c003122-l334-3.x.x.x,50,334,3.x.x.x,432,432,228,432,1
c010463-l470-3.x.x.x,50,470,3.x.x.x,224,16,7,32,0
c003863-l358-unconditional,51,358,unconditional,384,384,244,384,1
c000677-l192-2.x.x.x,51,192,2.x.x.x,416,416,160,416,1
c002061-l293-1.x.x.x,51,293,1.x.x.x,560,528,409,544,0
c001168-l241-3.x.x.x,52,241,3.x.x.x,768,768,448,768,1
c007505-l435-2.x.x.x,52,435,2.x.x.x,256,256,88,256,1
c002523-l312-3.x.x.x,52,312,3.x.x.x,48,48,30,48,1
c005739-l405-unconditional,52,405,unconditional,304,304,179,304,1
c006785-l424-2.x.x.x,52,424,2.x.x.x,272,272,112,272,1
c011723-l482-3.x.x.x,52,482,3.x.x.x,160,0,0,0,0
c004967-l387-1.x.x.x,53,387,1.x.x.x,336,336,217,336,1
c008602-l450-1.x.x.x,53,450,1.x.x.x,240,240,143,240,1
c003865-l358-unconditional,53,358,unconditional,240,0,0,0,0
c007250-l431-3.x.x.x,54,431,3.x.x.x,48,48,22,48,1
c000640-l188-unconditional,54,188,unconditional,1152,1152,882,1152,1
c011634-l482-unconditional,54,482,unconditional,208,208,118,208,1
c002696-l319-1.x.x.x,54,319,1.x.x.x,208,0,0,0,0
c013616-l498-3.x.x.x,55,498,3.x.x.x,192,192,73,192,1
c004969-l387-1.x.x.x,55,387,1.x.x.x,336,336,237,336,1
c011652-l482-unconditional,55,482,unconditional,208,208,114,208,1
c008777-l452-1.x.x.x,55,452,1.x.x.x,240,240,141,240,1
c005686-l404-unconditional,55,404,unconditional,304,0,0,16,0
c007277-l432-1.x.x.x,56,432,1.x.x.x,256,256,153,256,1
c012374-l488-1.x.x.x,56,488,1.x.x.x,208,208,130,208,1
c002908-l327-unconditional,56,327,unconditional,64,64,50,64,1
c003178-l336-3.x.x.x,56,336,3.x.x.x,240,0,0,0,0
c005627-l402-3.x.x.x,57,402,3.x.x.x,304,304,141,304,1
c000028-l67-unconditional,57,67,unconditional,1120,1120,926,1120,1
c003179-l336-3.x.x.x,57,336,3.x.x.x,432,432,228,432,1
c013817-l500-1.x.x.x,57,500,1.x.x.x,192,192,121,192,1
c000992-l227-unconditional,57,227,unconditional,848,848,622,848,1
c002661-l318-unconditional,57,318,unconditional,96,0,0,0,0
c011222-l478-1.x.x.x,58,478,1.x.x.x,208,208,127,208,1
c006014-l410-3.x.x.x,58,410,3.x.x.x,288,288,128,288,1
c003180-l336-3.x.x.x,58,336,3.x.x.x,432,432,235,432,1
c009636-l462-1.x.x.x,58,462,1.x.x.x,224,224,142,224,1
c002462-l310-1.x.x.x,58,310,1.x.x.x,304,288,220,304,0
c000072-l78-unconditional,59,78,unconditional,1184,1184,955,1184,1
c003181-l336-3.x.x.x,59,336,3.x.x.x,432,432,238,432,1
c010342-l469-2.x.x.x,59,469,2.x.x.x,224,224,79,224,1
c009634-l462-1.x.x.x,59,462,1.x.x.x,224,224,136,224,1
c013054-l494-1.x.x.x,59,494,1.x.x.x,208,208,125,208,1
c012327-l488-unconditional,59,488,unconditional,48,0,0,0,0
c010644-l472-3.x.x.x,60,472,3.x.x.x,224,224,100,224,1
c013748-l499-3.x.x.x,60,499,3.x.x.x,192,192,80,192,1
c006098-l412-1.x.x.x,60,412,1.x.x.x,288,288,182,288,1
c003182-l336-3.x.x.x,60,336,3.x.x.x,432,432,232,432,1
c009323-l458-3.x.x.x,60,458,3.x.x.x,240,16,7,32,0
c009324-l458-3.x.x.x,61,458,3.x.x.x,240,240,119,240,1
c007448-l434-3.x.x.x,61,434,3.x.x.x,256,256,128,256,1
c007353-l433-1.x.x.x,61,433,1.x.x.x,256,256,166,256,1
c013056-l494-1.x.x.x,61,494,1.x.x.x,208,208,129,208,1
c006606-l421-2.x.x.x,61,421,2.x.x.x,208,64,30,80,0
c000817-l210-unconditional,62,210,unconditional,976,976,705,976,1
c008606-l450-1.x.x.x,62,450,1.x.x.x,240,240,164,240,1
c003907-l359-1.x.x.x,62,359,1.x.x.x,384,384,266,384,1
c006110-l412-3.x.x.x,62,412,3.x.x.x,288,288,143,288,1
c002143-l297-unconditional,62,297,unconditional,432,0,0,0,0
c005340-l396-unconditional,63,396,unconditional,320,320,209,320,1
c011982-l485-unconditional,63,485,unconditional,208,208,126,208,1
c002521-l312-3.x.x.x,63,312,3.x.x.x,496,496,284,496,1
c009042-l455-2.x.x.x,63,455,2.x.x.x,240,240,73,240,1
c011512-l480-3.x.x.x,63,480,3.x.x.x,192,0,0,0,0
c000085-l81-1.x.x.x,64,81,1.x.x.x,1216,1216,1030,1216,1
c008567-l449-3.x.x.x,64,449,3.x.x.x,240,240,120,240,1
c012102-l486-unconditional,64,486,unconditional,208,208,117,208,1
c013845-l500-1.x.x.x,64,500,1.x.x.x,192,192,121,192,1
c002522-l312-3.x.x.x,64,312,3.x.x.x,496,496,292,496,1
c003457-l345-3.x.x.x,64,345,3.x.x.x,48,0,0,0,0
c007361-l433-2.x.x.x,65,433,2.x.x.x,256,256,90,256,1
c000790-l206-3.x.x.x,65,206,3.x.x.x,1024,1024,632,1024,1
c005053-l389-1.x.x.x,65,389,1.x.x.x,320,320,214,320,1
c009667-l462-2.x.x.x,65,462,2.x.x.x,224,224,78,224,1
c006749-l424-unconditional,65,424,unconditional,240,0,0,0,0
c003911-l359-1.x.x.x,66,359,1.x.x.x,384,384,281,384,1
c004532-l376-unconditional,66,376,unconditional,352,352,239,352,1
c008928-l454-1.x.x.x,66,454,1.x.x.x,240,240,145,240,1
c010430-l470-1.x.x.x,66,470,1.x.x.x,160,160,88,160,1
c004921-l386-unconditional,66,386,unconditional,336,96,61,112,0
c009595-l461-3.x.x.x,67,461,3.x.x.x,224,224,105,224,1
c011406-l479-3.x.x.x,67,479,3.x.x.x,208,208,104,208,1
c004748-l381-3.x.x.x,67,381,3.x.x.x,336,336,179,336,1
c008929-l454-1.x.x.x,67,454,1.x.x.x,240,240,136,240,1
c001482-l262-2.x.x.x,67,262,2.x.x.x,336,336,233,336,1
c006268-l415-2.x.x.x,67,415,2.x.x.x,16,0,0,16,0
c004923-l386-unconditional,68,386,unconditional,336,336,199,336,1
c000403-l156-3.x.x.x,68,156,3.x.x.x,64,64,40,64,1
c011407-l479-3.x.x.x,68,479,3.x.x.x,208,208,103,208,1
c008523-l449-1.x.x.x,68,449,1.x.x.x,240,240,147,240,1
c003913-l359-1.x.x.x,68,359,1.x.x.x,384,384,276,384,1
c010783-l474-unconditional,68,474,unconditional,160,0,0,0,0
c010242-l468-2.x.x.x,69,468,2.x.x.x,224,224,78,224,1
c002691-l319-1.x.x.x,69,319,1.x.x.x,480,480,356,480,1
c010328-l469-1.x.x.x,69,469,1.x.x.x,224,224,136,224,1
c011718-l482-3.x.x.x,69,482,3.x.x.x,208,208,82,208,1
c010029-l466-1.x.x.x,69,466,1.x.x.x,208,0,0,0,0
c001950-l288-unconditional,70,288,unconditional,576,576,399,576,1
c000073-l78-1.x.x.x,70,78,1.x.x.x,1248,1248,1069,1248,1
c007336-l433-unconditional,70,433,unconditional,256,256,161,256,1
c012060-l485-3.x.x.x,70,485,3.x.x.x,208,208,100,208,1
c008588-l450-unconditional,70,450,unconditional,240,240,142,240,1
c004913-l386-unconditional,70,386,unconditional,16,0,0,0,0
c004914-l386-unconditional,71,386,unconditional,336,336,225,336,1
c005709-l404-2.x.x.x,71,404,2.x.x.x,304,304,129,304,1
c004525-l376-unconditional,71,376,unconditional,352,352,240,352,1
c005336-l396-unconditional,71,396,unconditional,320,320,203,320,1
c001284-l249-3.x.x.x,71,249,3.x.x.x,496,0,0,0,0
c010433-l470-2.x.x.x,72,470,2.x.x.x,192,0,0,0,0
c001286-l249-3.x.x.x,73,249,3.x.x.x,544,0,0,0,0
c010446-l470-3.x.x.x,74,470,3.x.x.x,192,0,0,0,0
c005906-l408-3.x.x.x,75,408,3.x.x.x,240,0,0,0,0
c000013-l63-1.x.x.x,76,63,1.x.x.x,1440,1376,1212,1408,0
c008493-l448-3.x.x.x,77,448,3.x.x.x,208,0,0,0,0
c005909-l408-3.x.x.x,78,408,3.x.x.x,240,0,0,0,0
c005140-l391-1.x.x.x,79,391,1.x.x.x,256,0,0,0,0
c006560-l420-3.x.x.x,80,420,3.x.x.x,16,0,0,0,0
c012188-l486-3.x.x.x,81,486,3.x.x.x,16,0,0,0,0
c006673-l422-3.x.x.x,82,422,3.x.x.x,16,0,0,0,0
c009668-l462-2.x.x.x,83,462,2.x.x.x,16,0,0,0,0
c004524-l376-unconditional,84,376,unconditional,16,0,0,0,0
c011692-l482-1.x.x.x,85,482,1.x.x.x,16,0,0,0,0
c006885-l426-1.x.x.x,86,426,1.x.x.x,16,0,0,0,0
c005330-l396-unconditional,87,396,unconditional,16,0,0,0,0
c006048-l411-1.x.x.x,88,411,1.x.x.x,16,0,0,0,0
c000387-l154-unconditional,89,154,unconditional,128,0,0,0,0
c010657-l472-3.x.x.x,90,472,3.x.x.x,16,0,0,0,0
c002406-l308-unconditional,91,308,unconditional,32,0,0,0,0
c009826-l464-1.x.x.x,92,464,1.x.x.x,16,0,0,0,0
c008898-l453-3.x.x.x,93,453,3.x.x.x,16,0,0,0,0
c004674-l379-3.x.x.x,94,379,3.x.x.x,16,0,0,0,0
c012564-l490-unconditional,95,490,unconditional,16,0,0,0,0
