case,worker,length,condition,generated,refolded,quality_pass,sequences_saved,complete
c006476-l419-1.x.x.x,27,419,1.x.x.x,176,0,0,0,0
c006643-l422-1.x.x.x,28,422,1.x.x.x,272,272,176,272,1
c007126-l430-unconditional,28,430,unconditional,272,176,108,192,0
c006644-l422-1.x.x.x,29,422,1.x.x.x,272,272,179,272,1
c011179-l477-3.x.x.x,29,477,3.x.x.x,208,160,75,176,0
c007652-l437-3.x.x.x,30,437,3.x.x.x,256,256,112,256,1
c006479-l419-1.x.x.x,30,419,1.x.x.x,288,176,116,176,0
c007129-l430-unconditional,31,430,unconditional,272,272,144,272,1
c013037-l494-unconditional,31,494,unconditional,208,112,52,128,0
c000772-l204-2.x.x.x,32,204,2.x.x.x,1056,1056,381,1056,1
c002279-l302-3.x.x.x,32,302,3.x.x.x,528,240,127,256,0
c011839-l483-3.x.x.x,33,483,3.x.x.x,208,208,92,208,1
c007977-l442-1.x.x.x,33,442,1.x.x.x,256,176,109,192,0
c000116-l89-unconditional,34,89,unconditional,1280,1280,1025,1280,1
c007868-l440-3.x.x.x,34,440,3.x.x.x,256,256,121,256,1
c002873-l326-unconditional,34,326,unconditional,256,0,0,0,0
c002603-l316-unconditional,35,316,unconditional,480,480,320,480,1
c004083-l364-unconditional,35,364,unconditional,368,240,165,256,0
c005862-l407-3.x.x.x,36,407,3.x.x.x,304,304,154,304,1
c002929-l328-unconditional,36,328,unconditional,448,256,166,272,0
c007877-l440-3.x.x.x,37,440,3.x.x.x,256,256,125,256,1
c001416-l258-2.x.x.x,37,258,2.x.x.x,688,384,253,400,0
c007872-l440-3.x.x.x,38,440,3.x.x.x,256,256,120,256,1
c003602-l350-unconditional,38,350,unconditional,400,256,170,256,0
c000129-l92-1.x.x.x,39,92,1.x.x.x,1088,1088,932,1088,1
c004636-l378-3.x.x.x,39,378,3.x.x.x,336,336,190,336,1
c005865-l407-3.x.x.x,39,407,3.x.x.x,192,0,0,0,0
c008640-l450-3.x.x.x,40,450,3.x.x.x,240,240,113,240,1
c004388-l372-1.x.x.x,40,372,1.x.x.x,352,240,149,256,0
c008322-l446-3.x.x.x,41,446,3.x.x.x,240,240,112,240,1
c011166-l477-3.x.x.x,41,477,3.x.x.x,208,176,79,192,0
c011167-l477-3.x.x.x,42,477,3.x.x.x,208,208,90,208,1
c005529-l400-1.x.x.x,42,400,1.x.x.x,80,80,62,80,1
c001001-l227-3.x.x.x,42,227,3.x.x.x,784,0,0,0,0
c005859-l407-3.x.x.x,43,407,3.x.x.x,304,304,148,304,1
c005840-l407-1.x.x.x,43,407,1.x.x.x,304,144,101,160,0
c005713-l404-2.x.x.x,44,404,2.x.x.x,304,304,132,304,1
c012146-l486-1.x.x.x,44,486,1.x.x.x,208,144,90,160,0
c012342-l488-unconditional,45,488,unconditional,144,144,69,144,1
c005930-l409-unconditional,45,409,unconditional,288,288,181,288,1
c013859-l500-2.x.x.x,45,500,2.x.x.x,48,0,0,0,0
c010267-l468-3.x.x.x,46,468,3.x.x.x,224,224,97,224,1
c010832-l474-2.x.x.x,46,474,2.x.x.x,224,144,53,160,0
c003788-l355-3.x.x.x,47,355,3.x.x.x,384,384,204,384,1
c001921-l286-3.x.x.x,47,286,3.x.x.x,576,320,202,336,0
c002987-l330-unconditional,48,330,unconditional,448,448,298,448,1
c003989-l361-1.x.x.x,48,361,1.x.x.x,80,80,53,80,1
c008411-l447-3.x.x.x,48,447,3.x.x.x,240,16,6,32,0
c010462-l470-3.x.x.x,49,470,3.x.x.x,224,224,96,224,1
c003055-l332-1.x.x.x,49,332,1.x.x.x,432,304,221,320,0
c004589-l377-2.x.x.x,50,377,2.x.x.x,352,352,203,352,1
c003056-l332-1.x.x.x,50,332,1.x.x.x,432,256,189,272,0
c003863-l358-unconditional,51,358,unconditional,384,384,244,384,1
c000677-l192-2.x.x.x,51,192,2.x.x.x,416,416,160,416,1
c002061-l293-1.x.x.x,51,293,1.x.x.x,384,0,0,0,0
c001168-l241-3.x.x.x,52,241,3.x.x.x,768,768,448,768,1
c007505-l435-2.x.x.x,52,435,2.x.x.x,256,160,61,176,0
c004967-l387-1.x.x.x,53,387,1.x.x.x,336,336,217,336,1
c008602-l450-1.x.x.x,53,450,1.x.x.x,240,128,78,144,0
c007250-l431-3.x.x.x,54,431,3.x.x.x,48,48,22,48,1
c000640-l188-unconditional,54,188,unconditional,1152,1152,882,1152,1
c011634-l482-unconditional,54,482,unconditional,208,32,18,48,0
c013616-l498-3.x.x.x,55,498,3.x.x.x,192,192,73,192,1
c004969-l387-1.x.x.x,55,387,1.x.x.x,336,208,142,224,0
c007277-l432-1.x.x.x,56,432,1.x.x.x,256,256,153,256,1
c012374-l488-1.x.x.x,56,488,1.x.x.x,208,160,103,176,0
c005627-l402-3.x.x.x,57,402,3.x.x.x,304,304,141,304,1
c000028-l67-unconditional,57,67,unconditional,1120,1120,926,1120,1
c003179-l336-3.x.x.x,57,336,3.x.x.x,304,0,0,0,0
c011222-l478-1.x.x.x,58,478,1.x.x.x,208,208,127,208,1
c006014-l410-3.x.x.x,58,410,3.x.x.x,288,208,93,224,0
c000072-l78-unconditional,59,78,unconditional,1184,1184,955,1184,1
c003181-l336-3.x.x.x,59,336,3.x.x.x,432,432,238,432,1
c010342-l469-2.x.x.x,59,469,2.x.x.x,160,0,0,0,0
c010644-l472-3.x.x.x,60,472,3.x.x.x,224,224,100,224,1
c013748-l499-3.x.x.x,60,499,3.x.x.x,192,144,63,160,0
c009324-l458-3.x.x.x,61,458,3.x.x.x,240,240,119,240,1
c007448-l434-3.x.x.x,61,434,3.x.x.x,256,144,76,160,0
c000817-l210-unconditional,62,210,unconditional,976,976,705,976,1
c008606-l450-1.x.x.x,62,450,1.x.x.x,240,128,89,144,0
c005340-l396-unconditional,63,396,unconditional,320,320,209,320,1
c011982-l485-unconditional,63,485,unconditional,208,128,78,144,0
c000085-l81-1.x.x.x,64,81,1.x.x.x,1216,1216,1030,1216,1
c008567-l449-3.x.x.x,64,449,3.x.x.x,240,240,120,240,1
c012102-l486-unconditional,64,486,unconditional,112,0,0,0,0
c007361-l433-2.x.x.x,65,433,2.x.x.x,256,256,90,256,1
c000790-l206-3.x.x.x,65,206,3.x.x.x,1024,464,276,480,0
c003911-l359-1.x.x.x,66,359,1.x.x.x,384,384,281,384,1
c004532-l376-unconditional,66,376,unconditional,352,144,93,160,0
c009595-l461-3.x.x.x,67,461,3.x.x.x,224,224,105,224,1
c011406-l479-3.x.x.x,67,479,3.x.x.x,208,144,72,160,0
c004923-l386-unconditional,68,386,unconditional,336,336,199,336,1
c000403-l156-3.x.x.x,68,156,3.x.x.x,64,64,40,64,1
c011407-l479-3.x.x.x,68,479,3.x.x.x,208,64,35,80,0
c010242-l468-2.x.x.x,69,468,2.x.x.x,224,224,78,224,1
c002691-l319-1.x.x.x,69,319,1.x.x.x,480,256,194,272,0
c001950-l288-unconditional,70,288,unconditional,576,576,399,576,1
c000073-l78-1.x.x.x,70,78,1.x.x.x,1248,1248,1069,1248,1
c007336-l433-unconditional,70,433,unconditional,128,0,0,0,0
c004914-l386-unconditional,71,386,unconditional,336,336,225,336,1
c005709-l404-2.x.x.x,71,404,2.x.x.x,304,128,49,144,0
c010433-l470-2.x.x.x,72,470,2.x.x.x,192,0,0,0,0
c001286-l249-3.x.x.x,73,249,3.x.x.x,544,0,0,0,0
c010446-l470-3.x.x.x,74,470,3.x.x.x,192,0,0,0,0
c005906-l408-3.x.x.x,75,408,3.x.x.x,240,0,0,0,0
c000013-l63-1.x.x.x,76,63,1.x.x.x,1440,1376,1212,1408,0
c008493-l448-3.x.x.x,77,448,3.x.x.x,208,0,0,0,0
c005909-l408-3.x.x.x,78,408,3.x.x.x,240,0,0,0,0
c005140-l391-1.x.x.x,79,391,1.x.x.x,256,0,0,0,0
c006560-l420-3.x.x.x,80,420,3.x.x.x,16,0,0,0,0
c012188-l486-3.x.x.x,81,486,3.x.x.x,16,0,0,0,0
c006673-l422-3.x.x.x,82,422,3.x.x.x,16,0,0,0,0
c009668-l462-2.x.x.x,83,462,2.x.x.x,16,0,0,0,0
c004524-l376-unconditional,84,376,unconditional,16,0,0,0,0
c011692-l482-1.x.x.x,85,482,1.x.x.x,16,0,0,0,0
c006885-l426-1.x.x.x,86,426,1.x.x.x,16,0,0,0,0
c005330-l396-unconditional,87,396,unconditional,16,0,0,0,0
c006048-l411-1.x.x.x,88,411,1.x.x.x,16,0,0,0,0
c000387-l154-unconditional,89,154,unconditional,128,0,0,0,0
c010657-l472-3.x.x.x,90,472,3.x.x.x,16,0,0,0,0
c002406-l308-unconditional,91,308,unconditional,32,0,0,0,0
c009826-l464-1.x.x.x,92,464,1.x.x.x,16,0,0,0,0
c008898-l453-3.x.x.x,93,453,3.x.x.x,16,0,0,0,0
c004674-l379-3.x.x.x,94,379,3.x.x.x,16,0,0,0,0
c012564-l490-unconditional,95,490,unconditional,16,0,0,0,0
c002460-l310-1.x.x.x,96,310,1.x.x.x,32,0,0,0,0
c013807-l500-unconditional,97,500,unconditional,16,0,0,0,0
c005804-l406-2.x.x.x,98,406,2.x.x.x,16,0,0,0,0
c009609-l462-unconditional,99,462,unconditional,16,0,0,0,0
c006108-l412-2.x.x.x,100,412,2.x.x.x,16,0,0,0,0
c007222-l431-1.x.x.x,101,431,1.x.x.x,16,0,0,0,0
c006484-l419-2.x.x.x,102,419,2.x.x.x,16,0,0,0,0
c008771-l452-1.x.x.x,103,452,1.x.x.x,16,0,0,0,0
c011508-l480-3.x.x.x,104,480,3.x.x.x,16,0,0,0,0
c002150-l297-1.x.x.x,105,297,1.x.x.x,32,0,0,0,0
c004181-l366-3.x.x.x,106,366,3.x.x.x,16,0,0,0,0
c009550-l461-1.x.x.x,107,461,1.x.x.x,16,0,0,0,0
c003423-l344-2.x.x.x,108,344,2.x.x.x,32,0,0,0,0
c002078-l294-unconditional,109,294,unconditional,32,0,0,0,0
c001200-l244-unconditional,110,244,unconditional,48,0,0,0,0
c004095-l364-1.x.x.x,111,364,1.x.x.x,16,0,0,0,0
c007843-l440-1.x.x.x,144,440,1.x.x.x,256,256,162,256,1
c011575-l481-1.x.x.x,144,481,1.x.x.x,80,0,0,0,0
c001715-l275-3.x.x.x,145,275,3.x.x.x,192,192,115,192,1
c010124-l467-1.x.x.x,145,467,1.x.x.x,224,160,102,176,0
c013731-l499-2.x.x.x,146,499,2.x.x.x,192,192,54,192,1
c002750-l321-1.x.x.x,146,321,1.x.x.x,192,0,0,0,0
c008104-l443-3.x.x.x,147,443,3.x.x.x,256,256,129,256,1
c000174-l103-2.x.x.x,147,103,2.x.x.x,800,0,0,0,0
c005272-l394-2.x.x.x,148,394,2.x.x.x,320,320,151,320,1
c000253-l123-1.x.x.x,148,123,1.x.x.x,608,0,0,0,0
c001310-l251-1.x.x.x,149,251,1.x.x.x,384,384,309,384,1
c005496-l399-3.x.x.x,149,399,3.x.x.x,304,48,28,64,0
c008483-l448-3.x.x.x,150,448,3.x.x.x,240,240,121,240,1
c002054-l293-unconditional,150,293,unconditional,224,0,0,0,0
c002055-l293-unconditional,151,293,unconditional,560,560,393,560,1
c008481-l448-3.x.x.x,151,448,3.x.x.x,64,0,0,0,0
c001572-l268-unconditional,152,268,unconditional,32,0,0,0,0
c007418-l434-1.x.x.x,153,434,1.x.x.x,16,0,0,0,0
c006728-l423-3.x.x.x,154,423,3.x.x.x,16,0,0,0,0
c003431-l344-3.x.x.x,155,344,3.x.x.x,16,0,0,0,0
c004344-l371-unconditional,156,371,unconditional,16,0,0,0,0
c008864-l453-1.x.x.x,157,453,1.x.x.x,16,0,0,0,0
c004408-l372-3.x.x.x,158,372,3.x.x.x,16,0,0,0,0
