stem,true_union_recall,mean_pairwise_jaccard,unique_maps,invalid_rollouts,finished,source,source_row
8eb9_A,0.9295774647887324,0.0262667504086043,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2344
7y8i_A,1.0,0.6869376908459169,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2358
7y54_A,0.9904761904761904,0.4494250416957347,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2372
7y8h_A,0.9879518072289156,0.5706520790335435,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2386
7y5j_A,0.978021978021978,0.4951891099060133,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2400
7y5r_A,1.0,0.5522816184644406,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2414
7yug_A,0.8297872340425532,0.0484889555739645,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2428
8bgb_A,1.0,0.4816001013980195,100,2,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2442
7zu3_A,0.8369565217391305,0.0952138408865291,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2456
7tlh_A,0.9824561403508772,0.1472429607555956,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2470
7zv1_A,0.8918918918918919,0.2556932660394539,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2484
8dp9_A,0.9794520547945206,0.5081106965748727,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2498
7zoi_A,1.0,0.3566583262449356,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2512
8dx0_A,0.9481481481481482,0.6556607379417042,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2526
7urp_A,0.8955223880597015,0.2118987465902957,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2540
7wz5_A,0.7699115044247787,0.0240317825992761,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2554
8axj_A,0.9090909090909092,0.576716835730568,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2568
7y5m_A,0.8513513513513513,0.3746529666415557,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2582
8dez_A,0.956043956043956,0.0768184934022598,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2596
8bsb_A,0.991304347826087,0.1051676326932091,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2610
7xcd_A,0.722972972972973,0.0512677144894808,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2624
7uvg_A,0.8876404494382022,0.0840495653817688,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2638
8bau_A,0.985645933014354,0.3017030779825189,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2652
7ur2_A,0.9927007299270072,0.1809587066770887,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2666
8cpn_A,0.988095238095238,0.1158011387618031,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2680
8baq_A,0.9210526315789472,0.2036557691682276,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2694
7uba_A,0.8221153846153846,0.0825321104286291,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2708
8b6a_A,0.9897435897435898,0.2907634844212521,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2722
8cba_A,0.8693877551020408,0.0335470287094561,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2736
8cih_A,0.9367088607594936,0.0311218199422834,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2750
8adc_A,0.9470588235294116,0.1042140019339109,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2764
7tjb_A,0.9800995024875622,0.3988273956066944,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2778
8ycm_A,0.9183673469387756,0.0919925543098788,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2792
8b61_A,0.9339622641509434,0.1804202923963372,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2806
7qp5_A,0.995850622406639,0.1739775663317816,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2820
8b2s_A,0.946236559139785,0.3347726561914187,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2834
8arl_A,0.5538461538461539,0.0315148060530933,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2848
8dhj_A,1.0,0.4918659951723136,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2862
8b4u_A,0.9926739926739928,0.5749615765035949,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2876
8q8i_A,0.8670212765957447,0.2568781476925535,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2890
7z65_A,0.96875,0.3457051825096196,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2904
7xg9_A,0.9543568464730292,0.13702705917967,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2918
7x3h_A,0.8851351351351351,0.4076728996336706,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2932
8eo5_A,0.984189723320158,0.5710175378885306,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2946
7w15_A,0.9801980198019802,0.3430002871423819,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2960
8daj_A,0.9765886287625418,0.3831638945134135,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2974
7x4p_A,0.9669669669669668,0.2523351033673267,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,2988
8ci9_A,0.9851632047477744,0.2091312622712887,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3002
8c4y_A,0.9973190348525468,0.4129258973232914,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3016
8au6_A,0.9821428571428572,0.3111802684749341,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3030
7xz3_A,0.9778481012658228,0.1079091186982341,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3044
8d2z_A,0.9775641025641024,0.386023758949381,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3058
7v3o_A,0.9448529411764706,0.1454119291691215,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3072
7ylr_A,0.9835164835164836,0.462275133474044,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3086
8bux_A,0.7,0.0232359833053587,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3100
7xjr_A,0.9548022598870056,0.345224749806982,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3114
7y4h_A,0.953125,0.2889997152116911,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3128
7yyg_A,0.8959276018099548,0.0325043240155577,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3142
8e5h_A,0.938953488372093,0.3071612145541699,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3156
7qsj_A,0.9855907780979828,0.3202501630352659,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3170
8dqd_A,0.9772151898734176,0.5078548468003901,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3184
8cpk_A,0.980169971671388,0.4478656799433007,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3198
7uk8_A,0.9714828897338404,0.2520455589608526,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3212
7xrx_A,0.9772727272727272,0.1086982823718239,100,2,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3226
8amo_A,0.994475138121547,0.3670749736850058,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3240
8bfy_A,0.9888579387186628,0.3762351314091718,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3254
8b5w_A,0.8297297297297297,0.0249117951957042,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3268
8e0r_A,0.7338709677419355,0.019799424159486,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3282
8dmu_A,0.6970227670753065,0.0184176564037958,100,6,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3296
7wzm_A,0.9912280701754386,0.4727917932307885,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3310
7x8l_A,0.9793103448275862,0.3017364415579938,100,0,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3324
8azb_A,0.9948892674616696,0.5279803976054873,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3338
7xyr_A,0.9731258840169732,0.3893691348822973,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3352
7uww_A,0.8672438672438673,0.1448364646882947,100,5,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3366
8bke_A,0.979757085020243,0.2410068731499252,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3380
8dge_A,0.962800875273523,0.262922171566753,100,1,100,experiments/exp321_evals_null_sequence_contrastive_guidance_for_contacts/data/heldout_natural.csv,3394
7wr2_A,0.9852941176470588,0.3338420316403614,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,0
7wu8_A,0.9814814814814816,0.1347367223968394,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,2
7xhz_A,0.9237668161434978,0.3880174930121782,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,4
8an4_A,0.9709302325581396,0.323824518398447,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,6
8axs_A,0.9529085872576176,0.1992607286426652,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,8
8cjd_A,0.7348484848484849,0.0687327085547507,100,2,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,10
8es6_A,0.9934782608695653,0.3573416154677045,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,12
8ev4_A,1.0,0.509569314281934,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,14
8ew1_A,0.9641873278236914,0.3367856796823388,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,16
8ew9_A,0.8528138528138528,0.0354651859390865,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,18
8ey3_A,0.9487179487179488,0.2155307733464046,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,20
8ez6_A,1.0,0.3845877056016696,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,22
8ezw_A,0.9915254237288136,0.3056231699845749,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,24
8f8n_A,0.981651376146789,0.0771748279084892,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,26
8f9o_A,0.9745762711864406,0.2824483626692542,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,28
8fbc_A,0.976525821596244,0.3692060973643205,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,30
8fib_A,0.9876237623762376,0.3966066750528934,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,32
8fr5_A,0.9888888888888888,0.1826058335659993,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,34
8fty_A,0.9793459552495696,0.2265610198115562,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,36
8fz8_A,0.9673024523160764,0.4260849959547406,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,38
8fz9_A,0.9568345323741008,0.3234054037929731,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,40
8g0n_A,0.988593155893536,0.4106822360727223,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,42
8g1l_A,0.9927272727272728,0.1248569435257643,100,2,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,44
8g1y_A,0.9054621848739496,0.0573023493493786,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,46
8g32_A,0.7582089552238805,0.0525362285064428,100,2,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,48
8g52_A,0.984375,0.2162405503972931,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,50
8g53_A,0.9266666666666666,0.2628274053983037,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,52
8g5u_A,0.9869158878504672,0.2876527142121105,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,54
8g64_A,0.9933333333333332,0.4259744997141013,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,56
8gbe_A,0.655,0.0334556795800983,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,58
8gdl_A,0.992462311557789,0.2535863576479797,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,60
8gj9_A,1.0,0.4382284395098992,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,62
8gjw_A,0.9413145539906104,0.0288408175039382,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,64
8gjy_A,0.9716312056737588,0.2129595854354418,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,66
8gkd_A,0.9868131868131867,0.3535647222216453,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,68
8gm7_A,0.9516129032258064,0.049082622966573,100,2,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,70
8gok_A,0.8357664233576643,0.032892624758241,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,72
8gqq_A,0.9595959595959596,0.2509721374725845,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,74
8gr7_A,0.9859550561797752,0.3456575252717643,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,76
8gsy_A,0.991869918699187,0.3584481415203516,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,78
8gtz_A,0.9809322033898306,0.2645008048439645,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,80
8h02_A,1.0,0.1703843264349895,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,82
8h2f_A,0.9144385026737968,0.6120808783040866,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,84
8h5s_A,0.9790575916230366,0.4204865110365423,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,86
8hbt_A,0.968421052631579,0.2158809697308706,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,88
8hd2_A,0.915068493150685,0.2516464701704141,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,90
8he1_A,0.996031746031746,0.4249845282034528,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,92
8hel_A,1.0,0.0665876867020353,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,94
8hic_A,0.9874739039665972,0.3986409600953188,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,96
8hnq_A,0.9607843137254902,0.5355559122875956,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,98
8hvd_A,0.960618846694796,0.3567786976202731,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,100
8hw8_A,0.9834254143646408,0.4259271802883203,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,102
8hxs_A,0.9473684210526316,0.5165093883592186,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,104
8ii8_A,0.8695652173913043,0.0619104949363794,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,106
8ikx_A,0.92,0.4930981153039739,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,108
8ini_A,0.9390243902439024,0.0312961426800827,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,110
8iqc_A,0.987012987012987,0.2094659236445284,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,112
8irq_A,0.8134328358208955,0.0690730251631367,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,114
8iym_A,0.9876543209876544,0.60671287247439,100,3,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,116
8j2n_A,0.992248062015504,0.3370266974586086,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,118
8j2x_A,0.9913419913419912,0.3412912866298878,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,120
8j8y_A,0.9791666666666666,0.1168747945524318,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,122
8j9r_A,0.7058823529411765,0.0655246236476985,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,124
8jb3_A,0.9142857142857144,0.0432097347448195,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,126
8jdg_A,0.9849624060150376,0.4285247199695976,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,128
8jh8_A,0.9840637450199204,0.4804846152748023,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,130
8jiy_A,0.9754098360655736,0.2322701306809369,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,132
8jjq_A,0.9884393063583816,0.4583421732182018,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,134
8jmy_A,0.9747899159663864,0.4477483621316474,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,136
8jn0_A,0.9896907216494846,0.4590725775263576,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,138
8jup_A,0.982608695652174,0.4644856932565347,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,140
8jv2_A,0.9949238578680204,0.3049168294759725,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,142
8jws_A,0.925925925925926,0.1617587714749184,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,144
8k2g_A,0.9869494290375204,0.3262793725511597,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,146
8k2k_A,0.9923430321592648,0.3755731677777841,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,148
8k2m_A,0.9793977812995246,0.1899346177562586,100,3,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,150
8k4m_A,0.9327731092436976,0.0390914705125923,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,152
8k5j_A,0.9337606837606838,0.2240508164753676,100,3,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,154
8k7x_A,0.9785522788203752,0.2042217632897744,100,14,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,156
8kbl_A,0.9642857142857144,0.3674144850143463,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,158
8kg4_A,0.9925925925925926,0.3346975289988336,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,160
8khv_A,0.996996996996997,0.3735793986800768,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,162
8kih_A,0.9929824561403509,0.1876945124445326,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,164
8ok3_A,0.991304347826087,0.310689765197022,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,166
8oqh_A,1.0,0.2007036822952778,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,168
8ork_A,0.9433497536945812,0.2130925856024763,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,170
8os2_A,0.925925925925926,0.0537731449070488,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,172
8osz_A,0.9889705882352942,0.3025419881974288,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,174
8ou1_A,0.8125,0.0225677315167974,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,176
8ovq_A,0.9491525423728814,0.3922418039638491,100,1,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,178
8ovu_A,1.0,0.5263158807130613,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,180
8ow8_A,0.8244111349036403,0.0490545579824692,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,182
8owf_A,0.9493087557603688,0.2903602833076816,100,2,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,184
8oxk_A,0.9473684210526316,0.0799201485781491,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,186
8oxl_A,0.9693877551020408,0.0960005833970438,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,188
8p0e_A,0.9933774834437086,0.3356657794968157,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,190
8p2a_A,1.0,0.3467180031941747,100,0,100,experiments/exp325_evals_writeup_analysis/data/test_sampling_metrics.csv,192
