stem,method,eval_set,range,cut,precision,n_candidate,n_true,n_top
7ur7_A,boltz2,eval-denovo,all,L,0.7714285714285715,1653,60,70
7ur7_A,boltz2,eval-denovo,all,L/2,0.8857142857142857,1653,60,35
7ur7_A,boltz2,eval-denovo,all,L/5,1.0,1653,60,14
7ur7_A,boltz2,eval-denovo,all,R,0.8666666666666667,1653,60,60
7ur7_A,boltz2,eval-denovo,all,AUC,0.9640824440259468,1653,60,1653
7ur7_A,boltz2,eval-denovo,short,L,0.21428571428571427,327,15,70
7ur7_A,boltz2,eval-denovo,short,L/2,0.42857142857142855,327,15,35
7ur7_A,boltz2,eval-denovo,short,L/5,0.9285714285714286,327,15,14
7ur7_A,boltz2,eval-denovo,short,R,0.9333333333333333,327,15,15
7ur7_A,boltz2,eval-denovo,short,AUC,0.9989316239316239,327,15,327
7ur7_A,boltz2,eval-denovo,medium,L,0.17142857142857143,546,14,70
7ur7_A,boltz2,eval-denovo,medium,L/2,0.34285714285714286,546,14,35
7ur7_A,boltz2,eval-denovo,medium,L/5,0.8571428571428571,546,14,14
7ur7_A,boltz2,eval-denovo,medium,R,0.8571428571428571,546,14,14
7ur7_A,boltz2,eval-denovo,medium,AUC,0.9258861439312568,546,14,546
7ur7_A,boltz2,eval-denovo,long,L,0.4142857142857143,780,31,70
7ur7_A,boltz2,eval-denovo,long,L/2,0.7428571428571429,780,31,35
7ur7_A,boltz2,eval-denovo,long,L/5,0.9285714285714286,780,31,14
7ur7_A,boltz2,eval-denovo,long,R,0.8387096774193549,780,31,31
7ur7_A,boltz2,eval-denovo,long,AUC,0.9645548903914898,780,31,780
7urp_A,boltz2,eval-val,all,L,0.8125,11781,134,160
7urp_A,boltz2,eval-val,all,L/2,0.9375,11781,134,80
7urp_A,boltz2,eval-val,all,L/5,0.96875,11781,134,32
7urp_A,boltz2,eval-val,all,R,0.8955223880597015,11781,134,134
7urp_A,boltz2,eval-val,all,AUC,0.9846081689090395,11781,134,11781
7urp_A,boltz2,eval-val,short,L,0.075,903,12,160
7urp_A,boltz2,eval-val,short,L/2,0.15,903,12,80
7urp_A,boltz2,eval-val,short,L/5,0.375,903,12,32
7urp_A,boltz2,eval-val,short,R,0.9166666666666666,903,12,12
7urp_A,boltz2,eval-val,short,AUC,0.9999064721286943,903,12,903
7urp_A,boltz2,eval-val,medium,L,0.15,1698,24,160
7urp_A,boltz2,eval-val,medium,L/2,0.3,1698,24,80
7urp_A,boltz2,eval-val,medium,L/5,0.75,1698,24,32
7urp_A,boltz2,eval-val,medium,R,0.8333333333333334,1698,24,24
7urp_A,boltz2,eval-val,medium,AUC,0.9987056949422541,1698,24,1698
7urp_A,boltz2,eval-val,long,L,0.5875,9180,98,160
7urp_A,boltz2,eval-val,long,L/2,0.95,9180,98,80
7urp_A,boltz2,eval-val,long,L/5,0.96875,9180,98,32
7urp_A,boltz2,eval-val,long,R,0.9183673469387755,9180,98,98
7urp_A,boltz2,eval-val,long,AUC,0.9792379184662194,9180,98,9180
7uvg_A,boltz2,eval-val,all,L,0.8743169398907104,12894,178,183
7uvg_A,boltz2,eval-val,all,L/2,0.9230769230769231,12894,178,91
7uvg_A,boltz2,eval-val,all,L/5,0.9166666666666666,12894,178,36
7uvg_A,boltz2,eval-val,all,R,0.8707865168539326,12894,178,178
7uvg_A,boltz2,eval-val,all,AUC,0.9711259105576979,12894,178,12894
7uvg_A,boltz2,eval-val,short,L,0.12568306010928962,921,23,183
7uvg_A,boltz2,eval-val,short,L/2,0.25274725274725274,921,23,91
7uvg_A,boltz2,eval-val,short,L/5,0.6388888888888888,921,23,36
7uvg_A,boltz2,eval-val,short,R,1.0,921,23,23
7uvg_A,boltz2,eval-val,short,AUC,1.0,921,23,921
7uvg_A,boltz2,eval-val,medium,L,0.1366120218579235,1740,27,183
7uvg_A,boltz2,eval-val,medium,L/2,0.27472527472527475,1740,27,91
7uvg_A,boltz2,eval-val,medium,L/5,0.6666666666666666,1740,27,36
7uvg_A,boltz2,eval-val,medium,R,0.8518518518518519,1740,27,27
7uvg_A,boltz2,eval-val,medium,AUC,0.9436120300101619,1740,27,1740
7uvg_A,boltz2,eval-val,long,L,0.6612021857923497,10233,128,183
7uvg_A,boltz2,eval-val,long,L/2,0.9010989010989011,10233,128,91
7uvg_A,boltz2,eval-val,long,L/5,0.9166666666666666,10233,128,36
7uvg_A,boltz2,eval-val,long,R,0.8515625,10233,128,128
7uvg_A,boltz2,eval-val,long,AUC,0.9717775853537852,10233,128,10233
7uww_A,boltz2,eval-val,all,L,0.8692913385826772,196251,693,635
7uww_A,boltz2,eval-val,all,L/2,0.9148264984227129,196251,693,317
7uww_A,boltz2,eval-val,all,L/5,0.952755905511811,196251,693,127
7uww_A,boltz2,eval-val,all,R,0.847041847041847,196251,693,693
7uww_A,boltz2,eval-val,all,AUC,0.9579021163947375,196251,693,196251
7uww_A,boltz2,eval-val,short,L,0.14015748031496064,3741,96,635
7uww_A,boltz2,eval-val,short,L/2,0.2807570977917981,3741,96,317
7uww_A,boltz2,eval-val,short,L/5,0.7007874015748031,3741,96,127
7uww_A,boltz2,eval-val,short,R,0.8854166666666666,3741,96,96
7uww_A,boltz2,eval-val,short,AUC,0.9620899062642891,3741,96,3741
7uww_A,boltz2,eval-val,medium,L,0.1858267716535433,7374,123,635
7uww_A,boltz2,eval-val,medium,L/2,0.36908517350157727,7374,123,317
7uww_A,boltz2,eval-val,medium,L/5,0.8503937007874016,7374,123,127
7uww_A,boltz2,eval-val,medium,R,0.8617886178861789,7374,123,123
7uww_A,boltz2,eval-val,medium,AUC,0.9745770978603454,7374,123,7374
7uww_A,boltz2,eval-val,long,L,0.6771653543307087,185136,474,635
7uww_A,boltz2,eval-val,long,L/2,0.8927444794952681,185136,474,317
7uww_A,boltz2,eval-val,long,L/5,0.9212598425196851,185136,474,127
7uww_A,boltz2,eval-val,long,R,0.8354430379746836,185136,474,474
7uww_A,boltz2,eval-val,long,AUC,0.9523345126804146,185136,474,185136
7v3o_A,boltz2,eval-val,all,L,0.7804878048780488,36865,272,328
7v3o_A,boltz2,eval-val,all,L/2,0.9024390243902439,36865,272,164
7v3o_A,boltz2,eval-val,all,L/5,0.9230769230769231,36865,272,65
7v3o_A,boltz2,eval-val,all,R,0.8639705882352942,36865,272,272
7v3o_A,boltz2,eval-val,all,AUC,0.9773963318281703,36865,272,36865
7v3o_A,boltz2,eval-val,short,L,0.13414634146341464,1599,47,328
7v3o_A,boltz2,eval-val,short,L/2,0.2682926829268293,1599,47,164
7v3o_A,boltz2,eval-val,short,L/5,0.6615384615384615,1599,47,65
7v3o_A,boltz2,eval-val,short,R,0.851063829787234,1599,47,47
7v3o_A,boltz2,eval-val,short,AUC,0.9555686554068875,1599,47,1599
7v3o_A,boltz2,eval-val,medium,L,0.10670731707317073,3090,38,328
7v3o_A,boltz2,eval-val,medium,L/2,0.21341463414634146,3090,38,164
7v3o_A,boltz2,eval-val,medium,L/5,0.5384615384615384,3090,38,65
7v3o_A,boltz2,eval-val,medium,R,0.9210526315789473,3090,38,38
7v3o_A,boltz2,eval-val,medium,AUC,0.9600908808719045,3090,38,3090
7v3o_A,boltz2,eval-val,long,L,0.5548780487804879,32176,187,328
7v3o_A,boltz2,eval-val,long,L/2,0.8536585365853658,32176,187,164
7v3o_A,boltz2,eval-val,long,L/5,0.8769230769230769,32176,187,65
7v3o_A,boltz2,eval-val,long,R,0.8449197860962567,32176,187,187
7v3o_A,boltz2,eval-val,long,AUC,0.9861427967468094,32176,187,32176
7w15_A,boltz2,eval-val,all,L,0.9105960264900662,41328,303,302
7w15_A,boltz2,eval-val,all,L/2,0.9668874172185431,41328,303,151
7w15_A,boltz2,eval-val,all,L/5,0.9666666666666667,41328,303,60
7w15_A,boltz2,eval-val,all,R,0.9075907590759076,41328,303,303
7w15_A,boltz2,eval-val,all,AUC,0.965090311590574,41328,303,41328
7w15_A,boltz2,eval-val,short,L,0.1490066225165563,1707,47,302
7w15_A,boltz2,eval-val,short,L/2,0.2980132450331126,1707,47,151
7w15_A,boltz2,eval-val,short,L/5,0.7333333333333333,1707,47,60
7w15_A,boltz2,eval-val,short,R,0.8936170212765957,1707,47,47
7w15_A,boltz2,eval-val,short,AUC,0.9666559856447066,1707,47,1707
7w15_A,boltz2,eval-val,medium,L,0.18874172185430463,3306,59,302
7w15_A,boltz2,eval-val,medium,L/2,0.37748344370860926,3306,59,151
7w15_A,boltz2,eval-val,medium,L/5,0.8666666666666667,3306,59,60
7w15_A,boltz2,eval-val,medium,R,0.8813559322033898,3306,59,59
7w15_A,boltz2,eval-val,medium,AUC,0.9654283223627546,3306,59,3306
7w15_A,boltz2,eval-val,long,L,0.6059602649006622,36315,197,302
7w15_A,boltz2,eval-val,long,L/2,0.9602649006622517,36315,197,151
7w15_A,boltz2,eval-val,long,L/5,0.9666666666666667,36315,197,60
7w15_A,boltz2,eval-val,long,R,0.9137055837563451,36315,197,197
7w15_A,boltz2,eval-val,long,AUC,0.9643086128013001,36315,197,36315
7wr2_A,boltz2,eval-test,all,L,0.8074534161490683,8515,136,161
7wr2_A,boltz2,eval-test,all,L/2,0.95,8515,136,80
7wr2_A,boltz2,eval-test,all,L/5,0.96875,8515,136,32
7wr2_A,boltz2,eval-test,all,R,0.8676470588235294,8515,136,136
7wr2_A,boltz2,eval-test,all,AUC,0.9881645640712426,8515,136,8515
7wr2_A,boltz2,eval-test,short,L,0.14906832298136646,765,25,161
7wr2_A,boltz2,eval-test,short,L/2,0.3,765,25,80
7wr2_A,boltz2,eval-test,short,L/5,0.75,765,25,32
7wr2_A,boltz2,eval-test,short,R,0.8,765,25,25
7wr2_A,boltz2,eval-test,short,AUC,0.9767297297297297,765,25,765
7wr2_A,boltz2,eval-test,medium,L,0.14906832298136646,1422,24,161
7wr2_A,boltz2,eval-test,medium,L/2,0.3,1422,24,80
7wr2_A,boltz2,eval-test,medium,L/5,0.75,1422,24,32
7wr2_A,boltz2,eval-test,medium,R,0.9583333333333334,1422,24,24
7wr2_A,boltz2,eval-test,medium,AUC,0.9999105865522175,1422,24,1422
7wr2_A,boltz2,eval-test,long,L,0.5279503105590062,6328,87,161
7wr2_A,boltz2,eval-test,long,L/2,0.8875,6328,87,80
7wr2_A,boltz2,eval-test,long,L/5,0.96875,6328,87,32
7wr2_A,boltz2,eval-test,long,R,0.8735632183908046,6328,87,87
7wr2_A,boltz2,eval-test,long,AUC,0.9877819462324599,6328,87,6328
7wu8_A,boltz2,eval-test,all,L,0.4895833333333333,2926,54,96
7wu8_A,boltz2,eval-test,all,L/2,0.8333333333333334,2926,54,48
7wu8_A,boltz2,eval-test,all,L/5,0.9473684210526315,2926,54,19
7wu8_A,boltz2,eval-test,all,R,0.8333333333333334,2926,54,54
7wu8_A,boltz2,eval-test,all,AUC,0.9337408439079747,2926,54,2926
7wu8_A,boltz2,eval-test,short,L,0.11458333333333333,441,11,96
7wu8_A,boltz2,eval-test,short,L/2,0.22916666666666666,441,11,48
7wu8_A,boltz2,eval-test,short,L/5,0.5789473684210527,441,11,19
7wu8_A,boltz2,eval-test,short,R,0.9090909090909091,441,11,11
7wu8_A,boltz2,eval-test,short,AUC,0.999154334038055,441,11,441
7wu8_A,boltz2,eval-test,medium,L,0.11458333333333333,774,13,96
7wu8_A,boltz2,eval-test,medium,L/2,0.20833333333333334,774,13,48
7wu8_A,boltz2,eval-test,medium,L/5,0.5263157894736842,774,13,19
7wu8_A,boltz2,eval-test,medium,R,0.7692307692307693,774,13,13
7wu8_A,boltz2,eval-test,medium,AUC,0.8835034873142625,774,13,774
7wu8_A,boltz2,eval-test,long,L,0.2708333333333333,1711,30,96
7wu8_A,boltz2,eval-test,long,L/2,0.5416666666666666,1711,30,48
7wu8_A,boltz2,eval-test,long,L/5,0.8421052631578947,1711,30,19
7wu8_A,boltz2,eval-test,long,R,0.8,1711,30,30
7wu8_A,boltz2,eval-test,long,AUC,0.9317668054729329,1711,30,1711
7wz5_A,boltz2,eval-val,all,L,0.6708074534161491,12090,113,161
7wz5_A,boltz2,eval-val,all,L/2,0.95,12090,113,80
7wz5_A,boltz2,eval-val,all,L/5,0.9375,12090,113,32
7wz5_A,boltz2,eval-val,all,R,0.8938053097345132,12090,113,113
7wz5_A,boltz2,eval-val,all,AUC,0.9774150455038826,12090,113,12090
7wz5_A,boltz2,eval-val,short,L,0.031055900621118012,915,5,161
7wz5_A,boltz2,eval-val,short,L/2,0.0625,915,5,80
7wz5_A,boltz2,eval-val,short,L/5,0.15625,915,5,32
7wz5_A,boltz2,eval-val,short,R,1.0,915,5,5
7wz5_A,boltz2,eval-val,short,AUC,1.0,915,5,915
7wz5_A,boltz2,eval-val,medium,L,0.024844720496894408,1722,5,161
7wz5_A,boltz2,eval-val,medium,L/2,0.05,1722,5,80
