stem,eval_set,designed,is_viral,L,msa_query_length,msa_depth,tier
8h02_A,eval-test,0,0,84,79,2728,≥1000
8h5s_A,eval-test,0,0,260,247,12371,≥1000
8hbt_A,eval-test,0,0,446,431,3236,≥1000
8hd2_A,eval-test,0,0,354,314,970,100–999
8he1_A,eval-test,0,0,280,225,8863,≥1000
8axs_A,eval-test,0,0,578,573,864,100–999
8hnq_A,eval-test,0,0,286,286,19394,≥1000
8hvd_A,eval-test,0,0,614,602,4962,≥1000
7xhz_A,eval-test,0,0,231,231,3439,≥1000
8hw8_A,eval-test,0,0,356,326,9271,≥1000
8hxs_A,eval-test,0,0,100,100,5612,≥1000
8ii8_A,eval-test,0,0,226,225,3,<10
8ikx_A,eval-test,0,0,390,390,14703,≥1000
8ini_A,eval-test,0,1,99,95,79,10–99
8iqc_A,eval-test,0,1,254,226,183,100–999
8irq_A,eval-test,0,0,165,150,1300,≥1000
8iym_A,eval-test,0,0,163,155,2614,≥1000
8j2n_A,eval-test,0,0,320,239,8533,≥1000
8j2x_A,eval-test,0,0,341,337,6984,≥1000
8jb3_A,eval-test,0,0,455,419,1470,≥1000
7wr2_A,eval-test,0,0,161,136,730,100–999
8j8y_A,eval-test,0,0,141,129,11,10–99
8j9r_A,eval-test,0,0,74,72,5606,≥1000
8jdg_A,eval-test,0,0,471,456,15318,≥1000
8jh8_A,eval-test,0,0,248,242,8861,≥1000
8jiy_A,eval-test,0,0,241,216,1096,≥1000
8jmy_A,eval-test,0,0,129,128,2732,≥1000
8jn0_A,eval-test,0,0,89,89,3973,≥1000
8jup_A,eval-test,0,0,327,288,12161,≥1000
8jv2_A,eval-test,0,0,361,360,5610,≥1000
8jws_A,eval-test,0,0,127,117,4562,≥1000
8cjd_A,eval-test,0,0,663,635,2440,≥1000
8k2g_A,eval-test,0,0,516,505,5157,≥1000
8k2k_A,eval-test,0,0,542,529,3501,≥1000
8k2m_A,eval-test,0,0,581,559,2832,≥1000
8k4m_A,eval-test,0,0,137,124,47,10–99
8k5j_A,eval-test,0,0,427,403,15313,≥1000
8k7x_A,eval-test,0,0,856,673,8026,≥1000
8kg4_A,eval-test,0,0,265,265,2987,≥1000
8xrh_A,eval-test,0,1,408,389,705,100–999
8khv_A,eval-test,0,0,614,579,4763,≥1000
8kih_A,eval-test,0,0,332,291,33,10–99
8ok3_A,eval-test,0,0,125,121,22,10–99
8oqh_A,eval-test,0,0,91,81,1395,≥1000
8ork_A,eval-test,0,0,460,460,2550,≥1000
8os2_A,eval-test,0,0,146,123,4314,≥1000
8owf_A,eval-test,0,0,575,563,9943,≥1000
8osz_A,eval-test,0,0,263,246,4809,≥1000
8ou1_A,eval-test,0,0,148,142,1046,≥1000
8ovq_A,eval-test,0,0,232,208,618,100–999
8ovu_A,eval-test,0,0,99,99,8265,≥1000
8ow8_A,eval-test,0,0,446,401,130,100–999
8oxk_A,eval-test,0,0,99,94,6,<10
8oxl_A,eval-test,0,0,92,92,117,100–999
8p0e_A,eval-test,0,1,190,184,8419,≥1000
8p2a_A,eval-test,0,0,89,89,11747,≥1000
8p5p_A,eval-test,0,0,116,107,6266,≥1000
8p5n_A,eval-test,0,0,144,138,13839,≥1000
7wu8_A,eval-test,0,0,96,82,1232,≥1000
8pak_A,eval-test,0,0,361,345,1843,≥1000
8paq_A,eval-test,0,0,166,159,110,100–999
8pb5_A,eval-test,0,0,322,320,6343,≥1000
8por_A,eval-test,0,0,179,164,14537,≥1000
8ptd_A,eval-test,0,0,343,343,2286,≥1000
8pu2_A,eval-test,0,0,75,74,655,100–999
8pvs_A,eval-test,0,0,731,731,6924,≥1000
8pw2_A,eval-test,0,1,72,60,27,10–99
8pxc_A,eval-test,0,0,457,252,1414,≥1000
8pxu_A,eval-test,0,0,655,646,11928,≥1000
8q1v_A,eval-test,0,0,93,79,9866,≥1000
8qb1_A,eval-test,0,0,88,88,5907,≥1000
8qd8_A,eval-test,0,0,431,412,2475,≥1000
8qjp_A,eval-test,0,0,254,250,9163,≥1000
8qlc_A,eval-test,0,0,627,624,4321,≥1000
8qoh_A,eval-test,0,0,278,274,3,<10
8qpj_A,eval-test,0,0,300,292,660,100–999
8qq1_A,eval-test,0,0,221,217,5339,≥1000
8qle_A,eval-test,0,0,283,272,2493,≥1000
8qx6_A,eval-test,0,0,165,165,2646,≥1000
8r2c_A,eval-test,0,0,169,169,3459,≥1000
8r5n_A,eval-test,0,0,165,165,2557,≥1000
8ra0_A,eval-test,0,0,499,485,3854,≥1000
8rcw_A,eval-test,0,0,229,205,1862,≥1000
8rdd_A,eval-test,0,0,170,164,466,100–999
8re3_A,eval-test,0,0,445,445,9077,≥1000
8rom_A,eval-test,0,0,202,194,6634,≥1000
8an4_A,eval-test,0,0,196,195,3434,≥1000
8qnf_A,eval-test,0,0,537,447,10778,≥1000
8s5b_A,eval-test,0,0,396,377,6835,≥1000
8s9l_A,eval-test,0,0,270,241,1109,≥1000
8sot_A,eval-test,0,0,116,116,7483,≥1000
8spc_A,eval-test,0,0,415,370,12149,≥1000
8suc_A,eval-test,0,0,283,282,2148,≥1000
8sv7_A,eval-test,0,0,276,272,8193,≥1000
8sx0_A,eval-test,0,0,111,96,47,10–99
8sxs_A,eval-test,0,0,126,126,6708,≥1000
8gm7_A,eval-test,0,0,170,168,32,10–99
8t27_A,eval-test,0,0,509,504,6209,≥1000
8t2j_A,eval-test,0,0,345,339,6729,≥1000
8t41_A,eval-test,0,0,867,859,13910,≥1000
8t4c_A,eval-test,0,0,147,144,4880,≥1000
8t5t_A,eval-test,0,0,208,195,512,100–999
8t8k_A,eval-test,0,0,184,183,1907,≥1000
8t93_A,eval-test,0,1,249,216,1484,≥1000
8t9n_A,eval-test,0,0,135,135,2582,≥1000
8te9_A,eval-test,0,0,336,308,8381,≥1000
8tfo_A,eval-test,0,0,416,390,5086,≥1000
8tfs_A,eval-test,0,0,186,141,3584,≥1000
8hic_A,eval-test,0,0,414,395,9553,≥1000
8ti5_A,eval-test,0,0,134,131,3516,≥1000
8tjg_A,eval-test,0,0,260,250,10820,≥1000
8tru_A,eval-test,0,0,408,378,8595,≥1000
8tse_A,eval-test,0,0,428,409,4971,≥1000
8tuk_A,eval-test,0,0,322,290,3921,≥1000
8tw1_A,eval-test,0,1,286,274,1591,≥1000
8tyh_A,eval-test,0,0,538,333,10315,≥1000
8u0i_A,eval-test,0,0,90,86,1527,≥1000
8u0x_A,eval-test,0,0,186,176,80,10–99
8u2f_A,eval-test,0,0,149,137,300,100–999
8ubs_A,eval-test,0,0,151,150,2985,≥1000
8uds_A,eval-test,0,0,167,147,11031,≥1000
8tls_A,eval-test,0,0,116,116,7269,≥1000
8ujw_A,eval-test,0,0,264,182,2222,≥1000
8uk7_A,eval-test,0,0,138,116,588,100–999
8upi_A,eval-test,0,0,523,510,12601,≥1000
8ux2_A,eval-test,0,0,246,239,6,<10
8v3m_A,eval-test,0,0,524,500,7681,≥1000
8v6t_A,eval-test,0,0,172,172,1914,≥1000
8vcw_A,eval-test,0,0,327,327,10700,≥1000
8vh7_A,eval-test,0,0,552,522,10447,≥1000
8vpo_A,eval-test,0,0,472,448,906,100–999
8vqk_A,eval-test,0,0,440,401,1650,≥1000
8w6v_A,eval-test,0,0,536,494,10366,≥1000
8w7p_A,eval-test,0,0,274,250,285,100–999
8wac_A,eval-test,0,0,127,119,92,10–99
8wae_A,eval-test,0,0,118,107,362,100–999
8wc1_A,eval-test,0,0,178,151,462,100–999
8wcf_A,eval-test,0,0,160,160,3874,≥1000
8whj_A,eval-test,0,0,264,243,2295,≥1000
8whn_A,eval-test,0,0,161,142,196,100–999
8wik_A,eval-test,0,0,373,364,4362,≥1000
8wj5_A,eval-test,0,0,140,130,49,10–99
8kbl_A,eval-test,0,0,104,104,3427,≥1000
8wnj_A,eval-test,0,0,920,917,17297,≥1000
8wrx_A,eval-test,0,1,88,86,4,<10
8wt3_A,eval-test,0,0,135,134,10656,≥1000
8wim_A,eval-test,0,1,620,571,119,100–999
8x7c_A,eval-test,0,0,353,350,11327,≥1000
8xf9_A,eval-test,0,0,283,279,3950,≥1000
8xif_A,eval-test,0,1,224,223,108,100–999
8xjg_A,eval-test,0,0,153,148,13977,≥1000
8xpk_A,eval-test,0,0,269,254,11678,≥1000
8y9p_A,eval-test,0,0,256,195,11612,≥1000
8ye0_A,eval-test,0,0,290,288,203,100–999
8wqn_A,eval-test,0,0,173,155,23,10–99
8yxk_A,eval-test,0,0,201,151,7150,≥1000
8z4q_A,eval-test,0,0,473,463,1264,≥1000
8hel_A,eval-test,0,1,76,68,98,10–99
8zqf_A,eval-test,0,0,214,197,124,100–999
9aue_A,eval-test,0,0,415,415,7920,≥1000
9azz_A,eval-test,0,0,186,174,1739,≥1000
9b1u_A,eval-test,0,0,310,298,2855,≥1000
9b8e_A,eval-test,0,0,233,222,24,10–99
9bks_A,eval-test,0,0,80,73,7084,≥1000
9bjx_A,eval-test,0,0,368,368,6047,≥1000
9cfj_A,eval-test,0,0,276,276,2893,≥1000
9crn_A,eval-test,0,0,379,361,4862,≥1000
9d91_A,eval-test,0,0,320,314,10286,≥1000
9etn_A,eval-test,0,0,586,551,11291,≥1000
9evq_A,eval-test,0,0,226,214,341,100–999
9fce_A,eval-test,0,0,229,208,11504,≥1000
9fgp_A,eval-test,0,0,140,140,1481,≥1000
9f9u_A,eval-test,0,0,170,170,797,100–999
9fow_A,eval-test,0,0,146,123,303,100–999
9fym_A,eval-test,0,0,330,322,2208,≥1000
9gso_A,eval-test,0,0,177,167,44,10–99
9ijc_A,eval-test,0,0,321,281,2263,≥1000
9iuh_A,eval-test,0,0,411,411,10725,≥1000
9j0v_A,eval-test,0,0,286,246,4194,≥1000
9jq9_A,eval-test,0,0,179,165,4143,≥1000
7pv5_A,eval-val,0,0,81,76,7024,≥1000
7qp5_A,eval-val,0,0,245,241,760,100–999
7qsj_A,eval-val,0,0,373,346,4109,≥1000
7t9r_A,eval-val,0,0,38,38,605,100–999
7tlh_A,eval-val,0,0,136,124,1571,≥1000
7tjb_A,eval-val,0,0,227,222,2695,≥1000
7uba_A,eval-val,0,0,213,187,825,100–999
7uk8_A,eval-val,0,0,394,383,6883,≥1000
7ur2_A,eval-val,0,0,195,160,3520,≥1000
7urp_A,eval-val,0,0,160,159,373,100–999
7uvg_A,eval-val,0,0,183,166,258,100–999
7uww_A,eval-val,0,0,635,632,2999,≥1000
7v3o_A,eval-val,0,0,328,277,1763,≥1000
7w15_A,eval-val,0,0,302,293,3269,≥1000
7y3h_A,eval-val,0,0,413,396,2954,≥1000
7wz5_A,eval-val,0,0,161,161,419,100–999
7wzm_A,eval-val,0,0,492,458,13687,≥1000
7x4p_A,eval-val,0,0,307,306,2349,≥1000
7x3h_A,eval-val,0,0,290,276,431,100–999
7x8l_A,eval-val,0,0,514,511,15750,≥1000
7xcd_A,eval-val,0,1,178,178,22,10–99
7xg9_A,eval-val,0,0,288,286,6291,≥1000
7xi5_A,eval-val,0,0,65,57,8344,≥1000
7xp9_A,eval-val,0,0,84,76,14,10–99
8ycm_A,eval-val,0,0,229,222,1231,≥1000
7xq4_A,eval-val,0,0,514,489,3205,≥1000
7xrx_A,eval-val,0,0,398,398,4876,≥1000
7xjr_A,eval-val,0,0,337,306,1824,≥1000
7xyr_A,eval-val,0,0,591,546,13071,≥1000
7xz3_A,eval-val,0,0,325,273,2326,≥1000
7y4h_A,eval-val,0,0,338,329,3065,≥1000
7y54_A,eval-val,0,0,100,100,6350,≥1000
7y5m_A,eval-val,0,1,170,155,617,100–999
7y5r_A,eval-val,0,0,105,105,7175,≥1000
7y8h_A,eval-val,0,0,100,92,7160,≥1000
7y8i_A,eval-val,0,0,97,82,5975,≥1000
7y5j_A,eval-val,0,0,102,95,6807,≥1000
7yd4_A,eval-val,0,0,185,179,204,100–999
7yhr_A,eval-val,0,0,60,59,795,100–999
7ykm_A,eval-val,0,0,105,81,6843,≥1000
7ylr_A,eval-val,0,0,330,326,13175,≥1000
8gmy_A,eval-val,0,0,236,219,1377,≥1000
7yug_A,eval-val,0,0,118,117,1016,≥1000
7yyg_A,eval-val,0,0,365,275,467,100–999
7z65_A,eval-val,0,0,283,283,976,100–999
7znz_A,eval-val,0,0,761,761,14553,≥1000
7zoi_A,eval-val,0,0,151,124,5108,≥1000
7zs2_A,eval-val,0,0,316,278,10786,≥1000
7zu3_A,eval-val,0,1,132,126,152,100–999
7zv1_A,eval-val,0,1,136,109,211,100–999
8adc_A,eval-val,0,0,215,207,37,10–99
8add_A,eval-val,0,0,213,212,425,100–999
8akh_A,eval-val,0,0,374,321,4818,≥1000
8ak2_A,eval-val,0,0,297,289,9228,≥1000
8arl_A,eval-val,0,0,246,232,750,100–999
8q8i_A,eval-val,0,1,282,279,4262,≥1000
8au6_A,eval-val,0,0,321,248,1629,≥1000
8axj_A,eval-val,0,0,162,161,8861,≥1000
8azb_A,eval-val,0,0,521,501,10171,≥1000
8b2e_A,eval-val,0,0,143,141,8124,≥1000
8b2g_A,eval-val,0,0,74,74,9187,≥1000
8b2s_A,eval-val,0,0,245,240,11374,≥1000
8b4u_A,eval-val,0,0,277,269,7444,≥1000
8b5w_A,eval-val,0,0,459,346,1782,≥1000
8b61_A,eval-val,0,0,238,197,666,100–999
8b6a_A,eval-val,0,0,214,175,2190,≥1000
8b6e_A,eval-val,0,0,66,52,1220,≥1000
8baq_A,eval-val,0,0,208,208,1901,≥1000
8bau_A,eval-val,0,0,189,189,8803,≥1000
8bfy_A,eval-val,0,0,426,393,2829,≥1000
8bgb_A,eval-val,0,0,131,130,6729,≥1000
8bke_A,eval-val,0,1,638,428,1369,≥1000
8bsb_A,eval-val,0,0,177,159,177,100–999
8bux_A,eval-val,0,0,334,289,468,100–999
8c4d_A,eval-val,0,0,330,184,1261,≥1000
7xlz_A,eval-val,0,0,266,241,7530,≥1000
8c4y_A,eval-val,0,0,314,312,5267,≥1000
8cba_A,eval-val,0,0,214,195,124,100–999
8ci9_A,eval-val,0,0,312,306,4450,≥1000
8cih_A,eval-val,0,0,214,188,853,100–999
8amo_A,eval-val,0,0,399,385,10164,≥1000
8cpk_A,eval-val,0,0,384,384,17150,≥1000
8cpn_A,eval-val,0,0,207,159,407,100–999
8d2z_A,eval-val,0,0,327,306,9977,≥1000
8daj_A,eval-val,0,0,302,302,14853,≥1000
8dez_A,eval-val,0,0,173,173,562,100–999
8dge_A,eval-val,0,0,738,707,10569,≥1000
8dhj_A,eval-val,0,0,249,236,9218,≥1000
8dmu_A,eval-val,0,0,489,476,1918,≥1000
8dp9_A,eval-val,0,0,148,133,5320,≥1000
8dqd_A,eval-val,0,0,377,370,8851,≥1000
8dx0_A,eval-val,0,0,154,139,12803,≥1000
8e0r_A,eval-val,0,0,468,418,1361,≥1000
8e5h_A,eval-val,0,0,372,368,11649,≥1000
8eb9_A,eval-val,0,0,95,89,25,10–99
8ec3_A,eval-val,0,0,168,155,26,10–99
8eo5_A,eval-val,0,0,290,270,7470,≥1000
