stem,method,mean_plddt,source,source_row,metric,value,eval_set,designed,is_viral,L,msa_query_length,msa_depth,tier,figure
8gtz_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2321,gdt_ts,0.847944,eval-test,0,0,483,462,7510,≥1000,01_predictors
8h02_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2322,gdt_ts,0.955696,eval-test,0,0,84,79,2728,≥1000,01_predictors
8h5s_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2323,gdt_ts,0.505061,eval-test,0,0,260,247,12371,≥1000,01_predictors
8hbt_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2324,gdt_ts,0.896172,eval-test,0,0,446,431,3236,≥1000,01_predictors
8hd2_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2325,gdt_ts,0.90207,eval-test,0,0,354,314,970,100–999,01_predictors
8he1_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2326,gdt_ts,0.972222,eval-test,0,0,280,225,8863,≥1000,01_predictors
8axs_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2327,gdt_ts,0.6863,eval-test,0,0,578,573,864,100–999,01_predictors
8hnq_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2328,gdt_ts,0.787587,eval-test,0,0,286,286,19394,≥1000,01_predictors
8hvd_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2329,gdt_ts,0.885797,eval-test,0,0,614,602,4962,≥1000,01_predictors
7xhz_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2330,gdt_ts,0.757576,eval-test,0,0,231,231,3439,≥1000,01_predictors
8hw8_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2331,gdt_ts,0.981595,eval-test,0,0,356,326,9271,≥1000,01_predictors
8hxs_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2332,gdt_ts,0.85,eval-test,0,0,100,100,5612,≥1000,01_predictors
8ii8_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2333,gdt_ts,0.333333,eval-test,0,0,226,225,3,<10,01_predictors
8ikx_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2334,gdt_ts,0.921795,eval-test,0,0,390,390,14703,≥1000,01_predictors
8ini_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2335,gdt_ts,0.081579,eval-test,0,1,99,95,79,10–99,01_predictors
8iqc_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2336,gdt_ts,0.970133,eval-test,0,1,254,226,183,100–999,01_predictors
8irq_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2337,gdt_ts,0.956667,eval-test,0,0,165,150,1300,≥1000,01_predictors
8iym_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2338,gdt_ts,0.904839,eval-test,0,0,163,155,2614,≥1000,01_predictors
8j2n_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2339,gdt_ts,0.987448,eval-test,0,0,320,239,8533,≥1000,01_predictors
8j2x_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2340,gdt_ts,0.85089,eval-test,0,0,341,337,6984,≥1000,01_predictors
8jb3_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2341,gdt_ts,0.744033,eval-test,0,0,455,419,1470,≥1000,01_predictors
7wr2_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2342,gdt_ts,0.952206,eval-test,0,0,161,136,730,100–999,01_predictors
8j8y_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2343,gdt_ts,0.689922,eval-test,0,0,141,129,11,10–99,01_predictors
8j9r_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2344,gdt_ts,0.788194,eval-test,0,0,74,72,5606,≥1000,01_predictors
8jdg_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2345,gdt_ts,0.901316,eval-test,0,0,471,456,15318,≥1000,01_predictors
8jh8_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2346,gdt_ts,0.96281,eval-test,0,0,248,242,8861,≥1000,01_predictors
8jiy_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2347,gdt_ts,0.444444,eval-test,0,0,241,216,1096,≥1000,01_predictors
8jmy_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2348,gdt_ts,0.662109,eval-test,0,0,129,128,2732,≥1000,01_predictors
8jn0_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2349,gdt_ts,0.983146,eval-test,0,0,89,89,3973,≥1000,01_predictors
8jup_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2350,gdt_ts,0.895833,eval-test,0,0,327,288,12161,≥1000,01_predictors
8jv2_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2351,gdt_ts,0.84375,eval-test,0,0,361,360,5610,≥1000,01_predictors
8jws_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2352,gdt_ts,0.923077,eval-test,0,0,127,117,4562,≥1000,01_predictors
8cjd_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2353,gdt_ts,0.261417,eval-test,0,0,663,635,2440,≥1000,01_predictors
8k2g_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2354,gdt_ts,0.863366,eval-test,0,0,516,505,5157,≥1000,01_predictors
8k2k_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2355,gdt_ts,0.951796,eval-test,0,0,542,529,3501,≥1000,01_predictors
8k2m_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2356,gdt_ts,0.927996,eval-test,0,0,581,559,2832,≥1000,01_predictors
8k4m_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2357,gdt_ts,0.042339,eval-test,0,0,137,124,47,10–99,01_predictors
8k5j_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2358,gdt_ts,0.707816,eval-test,0,0,427,403,15313,≥1000,01_predictors
8k7x_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2359,gdt_ts,0.795319,eval-test,0,0,856,673,8026,≥1000,01_predictors
8kg4_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2360,gdt_ts,0.916038,eval-test,0,0,265,265,2987,≥1000,01_predictors
8xrh_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2361,gdt_ts,0.832905,eval-test,0,1,408,389,705,100–999,01_predictors
8khv_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2362,gdt_ts,0.708981,eval-test,0,0,614,579,4763,≥1000,01_predictors
8kih_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2363,gdt_ts,0.909794,eval-test,0,0,332,291,33,10–99,01_predictors
8ok3_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2364,gdt_ts,0.704545,eval-test,0,0,125,121,22,10–99,01_predictors
8oqh_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2365,gdt_ts,0.700617,eval-test,0,0,91,81,1395,≥1000,01_predictors
8ork_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2366,gdt_ts,0.557609,eval-test,0,0,460,460,2550,≥1000,01_predictors
8os2_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2367,gdt_ts,0.530488,eval-test,0,0,146,123,4314,≥1000,01_predictors
8owf_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2368,gdt_ts,0.404973,eval-test,0,0,575,563,9943,≥1000,01_predictors
8osz_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2369,gdt_ts,0.917683,eval-test,0,0,263,246,4809,≥1000,01_predictors
8ou1_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2370,gdt_ts,0.931338,eval-test,0,0,148,142,1046,≥1000,01_predictors
8ovq_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2371,gdt_ts,0.225962,eval-test,0,0,232,208,618,100–999,01_predictors
8ovu_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2372,gdt_ts,0.891414,eval-test,0,0,99,99,8265,≥1000,01_predictors
8ow8_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2373,gdt_ts,0.218204,eval-test,0,0,446,401,130,100–999,01_predictors
8oxk_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2374,gdt_ts,0.56117,eval-test,0,0,99,94,6,<10,01_predictors
8oxl_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2375,gdt_ts,0.119565,eval-test,0,0,92,92,117,100–999,01_predictors
8p0e_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2376,gdt_ts,0.955163,eval-test,0,1,190,184,8419,≥1000,01_predictors
8p2a_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2377,gdt_ts,0.983146,eval-test,0,0,89,89,11747,≥1000,01_predictors
8p5p_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2378,gdt_ts,0.963592,eval-test,0,0,116,107,6266,≥1000,01_predictors
8p5n_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2379,gdt_ts,0.916667,eval-test,0,0,144,138,13839,≥1000,01_predictors
7wu8_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2380,gdt_ts,0.978659,eval-test,0,0,96,82,1232,≥1000,01_predictors
8pak_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2381,gdt_ts,0.87971,eval-test,0,0,361,345,1843,≥1000,01_predictors
8paq_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2382,gdt_ts,0.617925,eval-test,0,0,166,159,110,100–999,01_predictors
8pb5_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2383,gdt_ts,0.882812,eval-test,0,0,322,320,6343,≥1000,01_predictors
8ptd_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2384,gdt_ts,0.874636,eval-test,0,0,343,343,2286,≥1000,01_predictors
8pu2_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2385,gdt_ts,0.14527,eval-test,0,0,75,74,655,100–999,01_predictors
8pvs_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2386,gdt_ts,0.063269,eval-test,0,0,731,731,6924,≥1000,01_predictors
8pw2_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2387,gdt_ts,0.85,eval-test,0,1,72,60,27,10–99,01_predictors
8pxc_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2388,gdt_ts,0.761905,eval-test,0,0,457,252,1414,≥1000,01_predictors
8pxu_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2389,gdt_ts,0.160604,eval-test,0,0,655,646,11928,≥1000,01_predictors
8q1v_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2390,gdt_ts,0.740506,eval-test,0,0,93,79,9866,≥1000,01_predictors
8qb1_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2391,gdt_ts,0.875,eval-test,0,0,88,88,5907,≥1000,01_predictors
8qd8_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2392,gdt_ts,0.860437,eval-test,0,0,431,412,2475,≥1000,01_predictors
8qjp_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2393,gdt_ts,0.905,eval-test,0,0,254,250,9163,≥1000,01_predictors
8qlc_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2394,gdt_ts,0.785256,eval-test,0,0,627,624,4321,≥1000,01_predictors
8qoh_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2395,gdt_ts,0.207117,eval-test,0,0,278,274,3,<10,01_predictors
8qpj_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2396,gdt_ts,0.760274,eval-test,0,0,300,292,660,100–999,01_predictors
8qq1_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2397,gdt_ts,0.923963,eval-test,0,0,221,217,5339,≥1000,01_predictors
8qx6_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2398,gdt_ts,0.948485,eval-test,0,0,165,165,2646,≥1000,01_predictors
8r2c_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2399,gdt_ts,0.569527,eval-test,0,0,169,169,3459,≥1000,01_predictors
8r5n_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2400,gdt_ts,0.887879,eval-test,0,0,165,165,2557,≥1000,01_predictors
8rcw_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2401,gdt_ts,0.957317,eval-test,0,0,229,205,1862,≥1000,01_predictors
8rdd_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2402,gdt_ts,0.930982,eval-test,0,0,170,164,466,100–999,01_predictors
8re3_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2403,gdt_ts,0.904494,eval-test,0,0,445,445,9077,≥1000,01_predictors
8rom_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2404,gdt_ts,0.917526,eval-test,0,0,202,194,6634,≥1000,01_predictors
8an4_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2405,gdt_ts,0.923077,eval-test,0,0,196,195,3434,≥1000,01_predictors
8qnf_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2406,gdt_ts,0.842282,eval-test,0,0,537,447,10778,≥1000,01_predictors
8s5b_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2407,gdt_ts,0.948276,eval-test,0,0,396,377,6835,≥1000,01_predictors
8s9l_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2408,gdt_ts,0.899378,eval-test,0,0,270,241,1109,≥1000,01_predictors
8sot_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2409,gdt_ts,0.743534,eval-test,0,0,116,116,7483,≥1000,01_predictors
8spc_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2410,gdt_ts,0.904054,eval-test,0,0,415,370,12149,≥1000,01_predictors
8suc_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2411,gdt_ts,0.910461,eval-test,0,0,283,282,2148,≥1000,01_predictors
8sv7_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2412,gdt_ts,0.976103,eval-test,0,0,276,272,8193,≥1000,01_predictors
