stem,n_residues,best_target_rep,best_target_split,best_alntmscore,best_qtmscore,best_train_target_rep,best_train_alntmscore,best_train_qtmscore,best_train_fident,tm_field,n_hits_tm_ge_fold,n_train_hits_tm_ge_fold,verdict,fold_tm,redundant_tm,foldseek_version,db_snapshot_tag
9b7d,387,A0A515LBI4,train,0.8568,0.8525,A0A515LBI4,0.8568,0.8525,0.303,qtmscore,361,359,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9bch,198,,,,,,,,,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9de9,83,A0A5C5Z9L1,train,0.7421,0.7345,A0A5C5Z9L1,0.7421,0.7345,0.055,qtmscore,414,406,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9deb,83,A0A2V9Q9P1,train,0.9129,0.9029,A0A2V9Q9P1,0.9129,0.9029,0.108,qtmscore,6640,6523,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9ded,116,A0A2G2QYP2,train,0.7903,0.7842,A0A2G2QYP2,0.7903,0.7842,0.056,qtmscore,105,100,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9def,164,A0A5C5W703,train,0.5299,0.5243,A0A5C5W703,0.5299,0.5243,0.013,qtmscore,9,9,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9deg,158,A0A538UAC0,train,0.5386,0.5294,A0A538UAC0,0.5386,0.5294,0.036,qtmscore,6,6,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9dl1,517,O77532,train,0.9951,0.985,O77532,0.9951,0.985,0.857,qtmscore,718,711,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9emy,683,A0A0L7KK37,train,0.9717,0.9691,A0A0L7KK37,0.9717,0.9691,0.432,qtmscore,3165,3118,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9eqn,75,A0A2T0PWV3,train,0.6677,0.6369,A0A2T0PWV3,0.6677,0.6369,0.033,qtmscore,81,79,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9eum,176,,,,,,,,,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9f4c,141,,,,,,,,,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9fdg,179,,,,,,,,,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9hac,269,A0A1B6KQL7,train,0.7521,0.7467,A0A1B6KQL7,0.7521,0.7467,0.047,qtmscore,321,319,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9had,240,B2GM93,train,0.9645,0.9479,B2GM93,0.9645,0.9479,0.428,qtmscore,1102,1089,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9isp,220,A0A2D3NAC2,train,0.9474,0.8107,A0A2D3NAC2,0.9474,0.8107,0.474,qtmscore,15,14,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9j46,126,A0A7M5X608,train,0.5893,0.5604,A0A7M5X608,0.5893,0.5604,0.087,qtmscore,42,38,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9j5h,35,,,,,,,,,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9k3e,252,A0A7X0EX27,train,0.7534,0.7476,A0A7X0EX27,0.7534,0.7476,0.05,qtmscore,79,75,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
9mrb,158,A0A378ECQ8,train,0.6021,0.5952,A0A378ECQ8,0.6021,0.5952,0.01,qtmscore,10,10,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
