dataset,stem,pdb_id,length,fold_verdict,nearest_train_fold_qtm,seq_leakage,nearest_train_seq_fident,msa_n_seqs,msa_neff,neff_tier
denovo_pdb,3pg0_A,3pg0,140,redundant,0.9849,redundant_seq,0.656,17666,4649.5124,deep
denovo_pdb,3q7w_A,3q7w,124,redundant,0.9403,novel_seq,0.286,3820,3114.0057,deep
denovo_pdb,3q7x_A,3q7x,125,redundant,0.9455,novel_seq,0.287,3908,3032.2259,deep
denovo_pdb,3q7y_A,3q7y,124,redundant,0.9331,novel_seq,0.264,670,72.4978,deep
denovo_pdb,3rfn_A,3rfn,151,redundant,0.9326,redundant_seq,0.548,2041,1328.6984,deep
denovo_pdb,3teu_A,3teu,98,redundant,0.9215,redundant_seq,0.392,13079,4435.611,deep
denovo_pdb,3v45_A,3v45,166,redundant,0.9294,redundant_seq,0.494,14085,4652.1307,deep
denovo_pdb,3ww9_A,3ww9,251,redundant,0.9632,redundant_seq,0.600,23886,4795.4,deep
denovo_pdb,3wwa_A,3wwa,251,redundant,0.9691,redundant_seq,0.600,23886,4795.4,deep
denovo_pdb,4a29_A,4a29,247,redundant,0.9419,redundant_seq,0.339,7957,4722.056,deep
denovo_pdb,4d8h_A,4d8h,124,redundant,0.94,novel_seq,0.268,4132,3816.3319,deep
denovo_pdb,4db6_A,4db6,197,redundant,0.9436,redundant_seq,0.355,6879,2404.2899,deep
denovo_pdb,4drt_A,4drt,352,redundant,0.9636,redundant_seq,0.808,12593,4467.0597,deep
denovo_pdb,4dui_A,4dui,165,redundant,0.9612,redundant_seq,0.423,17912,4846.8704,deep
denovo_pdb,4etj_A,4etj,164,redundant,0.9377,redundant_seq,0.493,13893,4684.616,deep
denovo_pdb,4hxt_A,4hxt,247,redundant,0.9473,redundant_seq,0.341,4135,2168.0753,deep
denovo_pdb,4ijb_A,4ijb,244,redundant,0.9316,redundant_seq,0.319,8158,4712.3896,deep
denovo_pdb,4j8y_A,4j8y,157,redundant,0.9829,redundant_seq,0.436,19060,4829.6134,deep
denovo_pdb,4lny_A,4lny,248,redundant,0.9373,redundant_seq,0.321,8299,4724.1815,deep
denovo_pdb,4lpx_A,4lpx,97,same_fold,0.7949,redundant_seq,0.399,5692,4207.9596,deep
denovo_pdb,4lt9_A,4lt9,250,redundant,0.9079,novel_seq,0.297,7816,4722.6072,deep
denovo_pdb,4n6t_A,4n6t,79,redundant,0.9606,redundant_seq,0.800,7980,3247.6227,deep
denovo_pdb,4n6u_A,4n6u,79,redundant,0.9652,redundant_seq,0.800,7980,3247.6227,deep
denovo_pdb,4nez_A,4nez,160,same_fold,0.6432,novel_seq,,22,11.5833,marginal
denovo_pdb,4oxw_A,4oxw,106,redundant,0.9232,redundant_seq,0.452,7298,4302.3477,deep
denovo_pdb,4oza_A,4oza,57,same_fold,0.7975,novel_seq,,173,39.005,deep
denovo_pdb,4ozc_A,4ozc,57,same_fold,0.8108,novel_seq,,168,34.432,deep
denovo_pdb,4pq8_A,4pq8,241,same_fold,0.8974,redundant_seq,0.410,8654,4650.6662,deep
denovo_pdb,4psj_A,4psj,255,same_fold,0.8965,redundant_seq,0.382,4145,3181.6627,deep
denovo_pdb,4pww_A,4pww,85,same_fold,0.7491,novel_seq,0.268,29,9.5448,low
denovo_pdb,4qkr_A,4qkr,125,redundant,0.9395,novel_seq,0.295,991,125.1713,deep
denovo_pdb,4qks_A,4qks,124,redundant,0.9391,novel_seq,0.263,551,53.399,deep
denovo_pdb,4r5c_A,4r5c,304,same_fold,0.889,redundant_seq,0.350,9677,4704.7081,deep
denovo_pdb,4r6f_A,4r6f,329,same_fold,0.8423,redundant_seq,0.305,7220,4745.0567,deep
denovo_pdb,4u3h_A,4u3h,100,same_fold,0.8807,redundant_seq,0.428,19911,4925.8333,deep
denovo_pdb,4uos_A,4uos,188,same_fold,0.8607,novel_seq,,3,1.0,orphan
denovo_pdb,4wpy_A,4wpy,88,redundant,0.9347,redundant_seq,0.449,3732,1784.5267,deep
denovo_pdb,4wsp_A,4wsp,79,redundant,0.9196,redundant_seq,0.426,3586,1595.5746,deep
denovo_pdb,4yxx_A,4yxx,208,novel_fold,0.446,novel_seq,,3,1.0,orphan
denovo_pdb,4yxz_A,4yxz,278,novel_fold,0.4451,novel_seq,0.239,9,2.0,low
denovo_pdb,5bvl_A,5bvl,180,same_fold,0.8011,novel_seq,0.238,23,8.2667,low
denovo_pdb,5cwb_A,5cwb,197,same_fold,0.7865,novel_seq,0.211,7,4.0,low
denovo_pdb,5cwc_A,5cwc,196,same_fold,0.707,novel_seq,,3,1.0,orphan
denovo_pdb,5cwd_A,5cwd,171,same_fold,0.6637,novel_seq,,3,1.0,orphan
denovo_pdb,5cwg_A,5cwg,195,same_fold,0.7308,novel_seq,0.184,4,2.0,low
denovo_pdb,5cwh_A,5cwh,159,same_fold,0.8449,novel_seq,,9,2.3333,low
denovo_pdb,5cwi_A,5cwi,233,same_fold,0.5979,novel_seq,,2,1.0,orphan
denovo_pdb,5cwj_A,5cwj,160,same_fold,0.8475,novel_seq,,5,2.0,low
denovo_pdb,5cwk_A,5cwk,172,same_fold,0.7439,novel_seq,,12,5.6667,low
denovo_pdb,5cwm_A,5cwm,226,same_fold,0.7202,novel_seq,,7,1.1048,orphan
denovo_pdb,5cwn_A,5cwn,207,same_fold,0.761,novel_seq,,4,2.0,low
denovo_pdb,5cwp_A,5cwp,229,same_fold,0.5819,novel_seq,,9,6.0,low
denovo_pdb,5cwq_A,5cwq,233,same_fold,0.7275,novel_seq,,3,1.0,orphan
denovo_pdb,5di5_A,5di5,191,redundant,0.9329,redundant_seq,0.379,481,403.4583,deep
denovo_pdb,5dra_A,5dra,190,redundant,0.9491,redundant_seq,0.392,4,3.0,low
denovo_pdb,5f53_A,5f53,84,redundant,0.9901,redundant_seq,0.606,21126,4819.0861,deep
denovo_pdb,5hrz_A,5hrz,122,redundant,0.9551,redundant_seq,0.452,12522,4767.4038,deep
denovo_pdb,5ieo_A,5ieo,118,redundant,0.92,novel_seq,0.241,6061,4292.9542,deep
denovo_pdb,5iep_A,5iep,121,redundant,0.9215,novel_seq,0.289,5489,4265.0642,deep
denovo_pdb,5j0i_A,5j0i,73,redundant,0.9477,novel_seq,,4,2.0,low
denovo_pdb,5l0p_A,5l0p,311,novel_fold,0.3713,novel_seq,1.000,12393,4158.7982,deep
denovo_pdb,5l33_A,5l33,106,same_fold,0.8847,novel_seq,,147,95.2321,deep
denovo_pdb,5le4_A,5le4,313,same_fold,0.6456,redundant_seq,0.350,20740,4894.5333,deep
denovo_pdb,5le9_A,5le9,315,same_fold,0.6496,redundant_seq,0.405,16848,4897.5405,deep
denovo_pdb,5lea_A,5lea,316,same_fold,0.6588,redundant_seq,0.383,22215,4912.7159,deep
denovo_pdb,5lw2_A,5lw2,155,redundant,0.9743,redundant_seq,0.531,16607,4822.345,deep
denovo_pdb,5oos_A,5oos,161,redundant,0.9655,redundant_seq,0.445,17610,4856.9762,deep
denovo_pdb,5oou_A,5oou,165,redundant,0.9552,redundant_seq,0.449,18394,4871.0223,deep
denovo_pdb,5op3_A,5op3,157,redundant,0.9806,redundant_seq,0.449,17933,4836.6903,deep
denovo_pdb,5orm_A,5orm,350,same_fold,0.8837,redundant_seq,0.459,11164,3965.8463,deep
denovo_pdb,5trv_A,5trv,118,same_fold,0.8722,novel_seq,,447,364.1135,deep
denovo_pdb,5vjs_A,5vjs,196,same_fold,0.8883,novel_seq,,161,130.6262,deep
denovo_pdb,5vjt_A,5vjt,196,same_fold,0.8869,novel_seq,,161,130.6262,deep
denovo_pdb,5vju_A,5vju,196,same_fold,0.8827,novel_seq,,104,84.65,deep
denovo_pdb,5vnv_A,5vnv,120,same_fold,0.8991,redundant_seq,0.716,11622,3865.4461,deep
denovo_pdb,5xg5_A,5xg5,145,redundant,0.9192,redundant_seq,0.450,888,490.8693,deep
denovo_pdb,5ys7_A,5ys7,315,same_fold,0.6222,novel_seq,0.342,229,83.696,deep
denovo_pdb,6ais_O,6ais,244,same_fold,0.5633,novel_seq,,229,81.1195,deep
denovo_pdb,6ds9_A,6ds9,93,same_fold,0.8823,redundant_seq,0.300,4,2.0,low
denovo_pdb,6ee5_A,6ee5,352,redundant,0.9613,redundant_seq,0.466,16801,4750.8667,deep
denovo_pdb,6egc_A,6egc,147,same_fold,0.8944,novel_seq,0.229,5,3.0,low
denovo_pdb,6f0s_A,6f0s,251,redundant,0.9637,redundant_seq,0.589,21733,4814.3699,deep
denovo_pdb,6ff6_A,6ff6,222,same_fold,0.6876,redundant_seq,0.490,10450,4488.913,deep
denovo_pdb,6fpb_A,6fpb,160,redundant,0.98,redundant_seq,0.427,21836,4869.0007,deep
denovo_pdb,6g6m_A,6g6m,320,redundant,0.9608,redundant_seq,0.475,16553,4715.8563,deep
denovo_pdb,6g6p_A,6g6p,318,redundant,0.9406,redundant_seq,0.383,26143,4899.796,deep
denovo_pdb,6i37_A,6i37,251,redundant,0.9506,redundant_seq,0.575,23772,4814.4667,deep
denovo_pdb,6i38_A,6i38,251,redundant,0.9537,redundant_seq,0.586,21739,4795.3365,deep
denovo_pdb,6i39_A,6i39,251,redundant,0.9427,redundant_seq,0.581,17404,4781.0437,deep
denovo_pdb,6i3a_A,6i3a,251,redundant,0.9231,redundant_seq,0.580,12134,4338.0282,deep
denovo_pdb,6ics_O,6ics,242,same_fold,0.5655,novel_seq,,229,80.3039,deep
denovo_pdb,6idc_A,6idc,251,same_fold,0.5255,novel_seq,,229,81.8622,deep
denovo_pdb,6iei_A,6iei,250,same_fold,0.5834,novel_seq,,229,81.4388,deep
denovo_pdb,6jcc_A,6jcc,97,same_fold,0.7035,novel_seq,0.290,96,63.0,deep
denovo_pdb,6mrr_A,6mrr,68,same_fold,0.8412,redundant_seq,0.407,3,1.0,orphan
denovo_pdb,6mrs_A,6mrs,77,same_fold,0.7954,redundant_seq,0.300,4,2.0,low
denovo_pdb,6n9h_A,6n9h,75,redundant,0.9406,redundant_seq,0.394,3,1.0,orphan
denovo_pdb,6naf_A,6naf,74,redundant,0.9377,redundant_seq,0.394,3,1.0,orphan
denovo_pdb,6nek_A,6nek,86,same_fold,0.7847,redundant_seq,0.426,15118,4885.0,deep
denovo_pdb,6nla_A,6nla,56,same_fold,0.7994,redundant_seq,0.339,185,39.0179,deep
denovo_pdb,6qb2_A,6qb2,95,same_fold,0.8722,redundant_seq,0.345,3304,2007.6545,deep
denovo_pdb,6qsd_A,6qsd,250,redundant,0.9556,redundant_seq,0.602,19239,4726.5849,deep
denovo_pdb,6qse_A,6qse,251,redundant,0.9596,redundant_seq,0.602,19635,4729.6596,deep
denovo_pdb,6qsg_A,6qsg,251,redundant,0.9588,redundant_seq,0.602,19635,4729.6596,deep
denovo_pdb,6qsh_A,6qsh,246,redundant,0.9723,redundant_seq,0.584,19339,4706.6846,deep
denovo_pdb,6rej_A,6rej,250,redundant,0.9523,redundant_seq,0.599,19889,4719.3112,deep
denovo_pdb,6rek_A,6rek,251,redundant,0.9524,redundant_seq,0.599,19039,4726.4067,deep
denovo_pdb,6rem_A,6rem,251,redundant,0.9578,redundant_seq,0.599,19039,4726.4067,deep
denovo_pdb,6reo_A,6reo,251,redundant,0.9688,redundant_seq,0.594,20795,4762.6161,deep
denovo_pdb,6rlh_A,6rlh,248,redundant,0.9739,redundant_seq,0.595,22522,4796.5548,deep
denovo_pdb,6rli_A,6rli,250,redundant,0.9728,redundant_seq,0.594,22153,4786.2306,deep
denovo_pdb,6sa6_A,6sa6,395,same_fold,0.7102,redundant_seq,0.397,20572,4869.6152,deep
denovo_pdb,6tjg_A,6tjg,320,redundant,0.9895,redundant_seq,0.593,18516,4649.6981,deep
denovo_pdb,6veh_A,6veh,180,redundant,0.9542,redundant_seq,0.532,18848,4886.0667,deep
denovo_pdb,6w3w_A,6w3w,107,same_fold,0.8365,novel_seq,0.466,5,3.0,low
denovo_pdb,6w90_A,6w90,130,same_fold,0.7384,novel_seq,0.281,10,7.0,low
denovo_pdb,6wvs_A,6wvs,182,same_fold,0.8091,novel_seq,0.210,28,4.2487,low
denovo_pdb,6x9z_A,6x9z,120,same_fold,0.897,novel_seq,0.253,77,53.1095,deep
denovo_pdb,6xi6_A,6xi6,269,same_fold,0.5285,novel_seq,,9,7.0,low
denovo_pdb,6xt4_A,6xt4,235,same_fold,0.6321,novel_seq,,10,8.0,low
denovo_pdb,6y7p_A,6y7p,319,redundant,0.9757,redundant_seq,0.479,18970,4730.8004,deep
denovo_pdb,6ypi_A,6ypi,87,same_fold,0.7346,redundant_seq,0.341,1516,210.7053,deep
denovo_pdb,6yqx_A,6yqx,181,same_fold,0.7981,novel_seq,0.276,23,11.2667,marginal
denovo_pdb,6yqy_A,6yqy,178,same_fold,0.8288,novel_seq,0.243,19,9.4,low
denovo_pdb,6z2i_A,6z2i,168,same_fold,0.8171,novel_seq,0.250,13,9.5333,low
denovo_pdb,7a8s_A,7a8s,190,same_fold,0.7933,novel_seq,0.256,27,19.2857,marginal
denovo_pdb,7ah0_A,7ah0,104,redundant,0.904,novel_seq,,3,1.0,orphan
denovo_pdb,7awy_A,7awy,311,redundant,0.9382,redundant_seq,0.535,16218,4841.6738,deep
denovo_pdb,7awz_A,7awz,313,redundant,0.9387,redundant_seq,0.529,13952,4868.2742,deep
denovo_pdb,7ax0_A,7ax0,317,redundant,0.9281,redundant_seq,0.527,16021,4877.6667,deep
denovo_pdb,7ax2_A,7ax2,311,redundant,0.9224,redundant_seq,0.527,13757,4881.4,deep
denovo_pdb,7bid_A,7bid,286,redundant,0.9505,redundant_seq,0.648,31307,4856.0142,deep
denovo_pdb,7dgu_A,7dgu,97,redundant,0.9082,novel_seq,0.400,3,1.0,orphan
denovo_pdb,7dgw_A,7dgw,94,same_fold,0.7946,redundant_seq,0.339,3,1.0,orphan
denovo_pdb,7dgy_A,7dgy,99,same_fold,0.8197,novel_seq,,3,1.0,orphan
denovo_pdb,7dmf_A,7dmf,189,same_fold,0.5973,novel_seq,0.286,723,130.7045,deep
denovo_pdb,7f1h_A,7f1h,189,redundant,0.9884,redundant_seq,0.710,5784,2205.9381,deep
denovo_pdb,7f1i_A,7f1i,191,redundant,0.9841,redundant_seq,0.710,5793,2180.3684,deep
denovo_pdb,7f1j_A,7f1j,190,redundant,0.9863,redundant_seq,0.710,5783,2194.6947,deep
denovo_pdb,7f1k_A,7f1k,193,redundant,0.9785,redundant_seq,0.711,5768,2202.8563,deep
denovo_pdb,7f1l_A,7f1l,194,redundant,0.9724,redundant_seq,0.711,5759,2228.7904,deep
denovo_pdb,7hiy_A,7hiy,126,redundant,0.9075,novel_seq,0.455,6,3.0,low
denovo_pdb,7hiz_A,7hiz,126,redundant,0.9079,novel_seq,0.455,6,3.0,low
denovo_pdb,7hj0_A,7hj0,126,redundant,0.9141,novel_seq,0.455,6,3.0,low
denovo_pdb,7hj1_A,7hj1,126,redundant,0.9067,novel_seq,0.455,6,3.0,low
denovo_pdb,7hj2_A,7hj2,126,redundant,0.9061,novel_seq,0.455,6,3.0,low
denovo_pdb,7hj3_A,7hj3,126,redundant,0.9015,novel_seq,0.455,6,3.0,low
denovo_pdb,7hj4_A,7hj4,126,redundant,0.9026,novel_seq,0.455,6,3.0,low
denovo_pdb,7hj5_A,7hj5,126,redundant,0.9005,novel_seq,0.455,6,3.0,low
denovo_pdb,7hj6_A,7hj6,126,redundant,0.9082,novel_seq,0.455,6,3.0,low
denovo_pdb,7hj7_A,7hj7,126,redundant,0.9064,novel_seq,0.455,6,3.0,low
denovo_pdb,7hj8_A,7hj8,126,redundant,0.9093,novel_seq,0.455,6,3.0,low
denovo_pdb,7hj9_A,7hj9,126,redundant,0.9066,novel_seq,0.455,6,3.0,low
denovo_pdb,7hja_A,7hja,126,redundant,0.9063,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjb_A,7hjb,126,redundant,0.9023,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjc_A,7hjc,126,redundant,0.9081,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjd_A,7hjd,126,redundant,0.9077,novel_seq,0.455,6,3.0,low
denovo_pdb,7hje_A,7hje,126,redundant,0.904,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjf_A,7hjf,126,redundant,0.9012,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjg_A,7hjg,126,redundant,0.9052,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjh_A,7hjh,126,redundant,0.9049,novel_seq,0.455,6,3.0,low
denovo_pdb,7hji_A,7hji,126,redundant,0.9066,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjj_A,7hjj,126,same_fold,0.8986,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjk_A,7hjk,126,redundant,0.9049,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjl_A,7hjl,126,redundant,0.9018,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjm_A,7hjm,126,redundant,0.9056,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjn_A,7hjn,126,redundant,0.9034,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjo_A,7hjo,126,redundant,0.9102,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjp_A,7hjp,126,redundant,0.9057,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjq_A,7hjq,126,redundant,0.9039,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjr_A,7hjr,126,redundant,0.9034,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjs_A,7hjs,126,redundant,0.9097,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjt_A,7hjt,126,redundant,0.9046,novel_seq,0.455,6,3.0,low
denovo_pdb,7hju_A,7hju,126,redundant,0.9033,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjv_A,7hjv,126,redundant,0.9027,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjw_A,7hjw,126,redundant,0.9032,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjx_A,7hjx,126,redundant,0.9021,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjy_A,7hjy,126,redundant,0.9072,novel_seq,0.455,6,3.0,low
denovo_pdb,7hjz_A,7hjz,126,redundant,0.91,novel_seq,0.455,6,3.0,low
denovo_pdb,7hk0_A,7hk0,126,redundant,0.9015,novel_seq,0.455,6,3.0,low
denovo_pdb,7hk1_A,7hk1,126,redundant,0.9041,novel_seq,0.455,6,3.0,low
denovo_pdb,7hk2_A,7hk2,126,redundant,0.9084,novel_seq,0.455,6,3.0,low
denovo_pdb,7hk3_A,7hk3,126,redundant,0.9003,novel_seq,0.455,6,3.0,low
denovo_pdb,7hk4_A,7hk4,126,redundant,0.901,novel_seq,0.455,6,3.0,low
denovo_pdb,7jrq_A,7jrq,127,same_fold,0.8425,novel_seq,,5,2.0,low
denovo_pdb,7kuw_A,7kuw,62,same_fold,0.7707,novel_seq,0.535,3,1.0,orphan
denovo_pdb,7mcc_A,7mcc,190,same_fold,0.7788,novel_seq,,25,6.8403,low
denovo_pdb,7ocm_A,7ocm,174,same_fold,0.6037,redundant_seq,0.698,13173,4147.925,deep
denovo_pdb,7osu_A,7osu,183,same_fold,0.8045,novel_seq,0.211,29,14.6,marginal
denovo_pdb,7osv_A,7osv,173,same_fold,0.839,novel_seq,0.204,17,10.0,marginal
denovo_pdb,7ot7_A,7ot7,183,same_fold,0.8073,novel_seq,0.279,12,6.4167,low
denovo_pdb,7p12_A,7p12,184,same_fold,0.7808,novel_seq,0.247,16,3.5333,low
denovo_pdb,7qnl_AAA,7qnl,240,same_fold,0.8732,redundant_seq,0.429,13578,4701.3012,deep
denovo_pdb,7rmx_A,7rmx,229,same_fold,0.537,novel_seq,,8,4.3333,low
denovo_pdb,7smj_A,7smj,174,same_fold,0.8278,novel_seq,,27,5.6137,low
denovo_pdb,7sq3_A,7sq3,146,novel_fold,0.453,novel_seq,,8,2.0,low
denovo_pdb,7sq4_A,7sq4,48,same_fold,0.888,novel_seq,,8,1.0,orphan
denovo_pdb,7sq5_A,7sq5,140,same_fold,0.5136,novel_seq,,4,1.0,orphan
denovo_pdb,7tal_A,7tal,196,same_fold,0.8224,redundant_seq,0.789,15570,3940.9644,deep
denovo_pdb,7tjl_A,7tjl,85,same_fold,0.7136,novel_seq,0.555,3,1.0,orphan
denovo_pdb,7udo_A,7udo,172,same_fold,0.6948,novel_seq,0.265,2,1.0,orphan
denovo_pdb,7uek_A,7uek,228,same_fold,0.8067,novel_seq,0.251,4,2.0,low
denovo_pdb,7ur7_A,7ur7,63,same_fold,0.8798,novel_seq,0.618,2,1.0,orphan
denovo_pdb,7ur8_A,7ur8,71,same_fold,0.7591,redundant_seq,0.413,3,2.0,low
denovo_pdb,7vql_A,7vql,115,redundant,0.92,redundant_seq,0.385,8193,4758.7287,deep
denovo_pdb,7vqv_A,7vqv,115,redundant,0.9267,redundant_seq,0.393,8882,4760.5123,deep
denovo_pdb,7vty_A,7vty,90,redundant,0.9676,redundant_seq,0.370,878,438.2229,deep
denovo_pdb,7vu4_A,7vu4,117,redundant,0.9083,redundant_seq,0.398,5887,4627.7329,deep
denovo_pdb,8a3k_UNK,8a3k,127,redundant,0.9143,novel_seq,,2,1.0,orphan
denovo_pdb,8ah9_A,8ah9,115,same_fold,0.8666,novel_seq,0.375,8,4.6667,low
denovo_pdb,8bcs_A,8bcs,49,redundant,0.9398,novel_seq,,2,1.0,orphan
denovo_pdb,8bl3_A,8bl3,141,same_fold,0.6415,novel_seq,0.240,55,32.7516,deep
denovo_pdb,8bl5_A,8bl5,117,redundant,0.9049,novel_seq,0.584,6258,4363.1968,deep
denovo_pdb,8bl6_A,8bl6,139,same_fold,0.6462,novel_seq,0.226,4,3.0,low
denovo_pdb,8bl9_A,8bl9,116,redundant,0.9125,redundant_seq,0.584,6443,4248.7019,deep
denovo_pdb,8bu0_A,8bu0,136,redundant,0.9831,redundant_seq,0.466,13915,4772.8152,deep
denovo_pdb,8ch0_A,8ch0,136,redundant,0.9698,redundant_seq,0.466,13915,4772.8152,deep
denovo_pdb,8chy_A,8chy,272,redundant,0.955,redundant_seq,0.435,8678,4830.6882,deep
denovo_pdb,8cig_A,8cig,136,redundant,0.9845,redundant_seq,0.466,13915,4772.8152,deep
denovo_pdb,8ckr_A,8ckr,136,redundant,0.9873,redundant_seq,0.466,13915,4772.8152,deep
denovo_pdb,8cmq_A,8cmq,136,redundant,0.9767,redundant_seq,0.466,13915,4772.8152,deep
denovo_pdb,8cqq_A,8cqq,272,redundant,0.9661,redundant_seq,0.435,8678,4830.6882,deep
denovo_pdb,8cux_B,8cux,119,redundant,0.9604,redundant_seq,0.457,6173,3646.4989,deep
denovo_pdb,8d03_A,8d03,65,same_fold,0.6984,novel_seq,0.445,3,1.0,orphan
denovo_pdb,8d05_A,8d05,60,same_fold,0.7325,redundant_seq,0.329,3,1.0,orphan
denovo_pdb,8d9o_A,8d9o,194,redundant,0.9095,novel_seq,,161,130.6262,deep
denovo_pdb,8d9p_A,8d9p,195,same_fold,0.8661,novel_seq,,166,124.9429,deep
denovo_pdb,8eov_A,8eov,139,same_fold,0.7779,novel_seq,0.584,2,1.0,orphan
denovo_pdb,8eoz_B,8eoz,227,same_fold,0.5315,novel_seq,0.322,2,1.0,orphan
denovo_pdb,8etq_A,8etq,277,novel_fold,0.473,novel_seq,,2,1.0,orphan
denovo_pdb,8fjf_A,8fjf,127,novel_fold,0.4859,novel_seq,0.406,2,1.0,orphan
denovo_pdb,8fjg_A,8fjg,104,same_fold,0.7447,novel_seq,0.272,2,1.0,orphan
denovo_pdb,8g9j_A,8g9j,201,same_fold,0.8112,novel_seq,,2,1.0,orphan
denovo_pdb,8gl3_A,8gl3,189,same_fold,0.8876,novel_seq,0.310,2,1.0,orphan
denovo_pdb,8j1w_A,8j1w,175,same_fold,0.7376,redundant_seq,0.506,2283,925.3542,deep
denovo_pdb,8j1x_A,8j1x,174,same_fold,0.7448,redundant_seq,0.510,2475,895.0906,deep
denovo_pdb,8j98_A,8j98,184,same_fold,0.7397,redundant_seq,0.510,2469,907.1633,deep
denovo_pdb,8ju8_A,8ju8,139,same_fold,0.7648,novel_seq,0.281,2,1.0,orphan
denovo_pdb,8k7o_A,8k7o,233,same_fold,0.7449,novel_seq,0.228,64,63.0,deep
