source,stem,n_residues,best_target_rep,best_target_split,best_alntmscore,best_qtmscore,best_train_target_rep,best_train_alntmscore,best_train_qtmscore,best_train_fident,tm_field,n_hits_tm_ge_fold,n_train_hits_tm_ge_fold,verdict,fold_tm,redundant_tm,foldseek_version,db_snapshot_tag
de novo (PDB),3q7x,132,A0A4R2EWI1,train,0.9603,0.9455,A0A4R2EWI1,0.9603,0.9455,0.128,qtmscore,293,289,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3q7y,132,A0A4R2EWI1,train,0.9477,0.9331,A0A4R2EWI1,0.9477,0.9331,0.153,qtmscore,292,287,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3qa9,149,A0A2H5Y6U2,train,0.973,0.9395,A0A2H5Y6U2,0.973,0.9395,0.255,qtmscore,181,175,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3rfn,159,U6GH15,train,0.9386,0.9326,U6GH15,0.9386,0.9326,0.182,qtmscore,164,160,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3teu,98,S4RKH1,train,0.9305,0.9215,S4RKH1,0.9305,0.9215,0.198,qtmscore,300,291,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3v1a,48,A0A418M573,train,0.9698,0.9119,A0A418M573,0.9698,0.9119,0.173,qtmscore,300,293,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3v45,167,A0A813Q629,train,0.9348,0.9294,A0A813Q629,0.9348,0.9294,0.211,qtmscore,234,227,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3ww9,256,D5PCS6,train,0.967,0.9632,D5PCS6,0.967,0.9632,0.539,qtmscore,278,273,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3wwa,298,D5PCS6,train,0.9729,0.9691,D5PCS6,0.9729,0.9691,0.539,qtmscore,283,278,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4a29,258,A0A834H2M0,train,0.9456,0.9419,A0A834H2M0,0.9456,0.9419,0.227,qtmscore,135,133,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4d8h,132,A0A4R2EWI1,train,0.9548,0.94,A0A4R2EWI1,0.9548,0.94,0.129,qtmscore,295,291,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4db6,210,A0A4W2DI95,train,0.9483,0.9436,A0A4W2DI95,0.9483,0.9436,0.368,qtmscore,292,285,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4drt,361,A0A0A2VY31,train,0.9663,0.9636,A0A0A2VY31,0.9663,0.9636,0.687,qtmscore,124,121,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4dui,169,A0A2B4T0T7,train,0.9669,0.9612,A0A2B4T0T7,0.9669,0.9612,0.353,qtmscore,300,293,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4ess,167,A0A5B9DEH1,train,0.9456,0.9399,A0A5B9DEH1,0.9456,0.9399,0.349,qtmscore,231,223,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4etj,167,A0A7J4FBZ8,train,0.9431,0.9377,A0A7J4FBZ8,0.9431,0.9377,0.377,qtmscore,255,250,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4gvw,199,A0A2T5GB58,train,0.9657,0.9559,A0A2T5GB58,0.9657,0.9559,0.433,qtmscore,248,243,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4hxt,252,E9AIJ7,train,0.9663,0.9473,E9AIJ7,0.9663,0.9473,0.263,qtmscore,280,273,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4ijb,256,A0A834H2M0,train,0.9352,0.9316,A0A834H2M0,0.9352,0.9316,0.214,qtmscore,96,94,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4j8y,169,A0A6J4X017,train,0.9892,0.9829,A0A6J4X017,0.9892,0.9829,0.382,qtmscore,300,292,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4lny,259,A0A7S0NL70,train,0.941,0.9373,A0A7S0NL70,0.941,0.9373,0.239,qtmscore,143,142,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4lpx,100,A0A2B4SDW3,train,0.8259,0.7949,A0A2B4SDW3,0.8259,0.7949,0.044,qtmscore,296,287,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4lt9,269,A0A834H2M0,train,0.9113,0.9079,A0A834H2M0,0.9113,0.9079,0.199,qtmscore,143,141,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4n6t,79,Q9MB08,train,0.9726,0.9606,Q9MB08,0.9726,0.9606,0.765,qtmscore,248,242,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4n6u,79,Q9MB08,train,0.9773,0.9652,Q9MB08,0.9773,0.9652,0.746,qtmscore,249,242,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4ndj,297,W6U5W5,train,0.822,0.7294,W6U5W5,0.822,0.7294,0.058,qtmscore,15,15,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4nez,172,A0A259RU23,train,0.6464,0.6432,A0A259RU23,0.6464,0.6432,0.046,qtmscore,48,48,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4oxw,119,A0A2J7Q664,train,0.9316,0.9232,A0A2J7Q664,0.9316,0.9232,0.297,qtmscore,161,156,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4oza,57,A0A538PYB1,train,0.8093,0.7975,A0A538PYB1,0.8093,0.7975,0.104,qtmscore,249,244,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4ozc,57,A0A538PYB1,train,0.8231,0.8108,A0A538PYB1,0.8231,0.8108,0.089,qtmscore,236,230,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4pjr,303,A0A7J6ERQ1,train,0.9563,0.951,A0A7J6ERQ1,0.9563,0.951,0.363,qtmscore,300,294,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4pjs,303,A0A7J6ERQ1,train,0.9541,0.9489,A0A7J6ERQ1,0.9541,0.9489,0.37,qtmscore,300,294,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4pq8,271,A0A6L7WAJ8,train,0.9009,0.8974,A0A6L7WAJ8,0.9009,0.8974,0.349,qtmscore,300,297,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4psj,271,A0A6L8HDK0,train,0.9067,0.8965,A0A6L8HDK0,0.9067,0.8965,0.238,qtmscore,294,290,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4pww,89,A0A7C7RCI1,train,0.7564,0.7491,A0A7C7RCI1,0.7564,0.7491,0.09,qtmscore,294,291,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4qkr,132,A0A553NWY3,train,0.9468,0.9395,A0A553NWY3,0.9468,0.9395,0.261,qtmscore,294,290,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4qks,132,A0A553NWY3,train,0.9464,0.9391,A0A553NWY3,0.9464,0.9391,0.24,qtmscore,293,289,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4r5c,304,A0A7X3X3J5,val,0.8993,0.8937,A0A0L0FNP9,0.8946,0.889,0.201,qtmscore,277,274,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4r6f,331,A0A842FYD5,train,0.9445,0.8423,A0A842FYD5,0.9445,0.8423,0.298,qtmscore,240,236,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4u3h,100,A0A6P4H4D9,train,0.9066,0.8807,A0A6P4H4D9,0.9066,0.8807,0.146,qtmscore,300,291,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4uos,191,A0A850M7E7,train,0.8648,0.8607,A0A850M7E7,0.8648,0.8607,0.094,qtmscore,125,122,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4wpy,94,A0A1V2IA59,train,0.945,0.9347,A0A1V2IA59,0.945,0.9347,0.353,qtmscore,98,96,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4wsp,94,A0A7Y6CPM5,train,0.9307,0.9196,A0A7Y6CPM5,0.9307,0.9196,0.297,qtmscore,155,151,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4yxx,220,A0A6A6LK84,train,0.4558,0.446,A0A6A6LK84,0.4558,0.446,0.056,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4yxz,286,A0A6B3MGN1,train,0.4475,0.4451,A0A6B3MGN1,0.4475,0.4451,0.02,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),4z08,264,C4LI94,train,0.9352,0.9316,C4LI94,0.9352,0.9316,0.128,qtmscore,150,150,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5bvl,194,A0A7J6I7D2,train,0.8658,0.8011,A0A7J6I7D2,0.8658,0.8011,0.051,qtmscore,143,140,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5cwb,211,A0A1E4FHM3,train,0.8395,0.7865,A0A1E4FHM3,0.8395,0.7865,0.135,qtmscore,32,31,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5cwc,210,A0A0G0BBL8,train,0.7099,0.707,A0A0G0BBL8,0.7099,0.707,0.047,qtmscore,13,13,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5cwd,179,A0A183HF71,train,0.667,0.6637,A0A183HF71,0.667,0.6637,0.088,qtmscore,105,100,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5cwg,210,A0A3D2KL67,train,0.7339,0.7308,A0A3D2KL67,0.7339,0.7308,0.053,qtmscore,13,13,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5cwh,172,A0A6M0RKE7,train,0.8496,0.8449,A0A6M0RKE7,0.8496,0.8449,0.118,qtmscore,254,248,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5cwi,250,A0A319D6H8,train,0.7437,0.5979,A0A319D6H8,0.7437,0.5979,0.064,qtmscore,14,14,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5cwj,171,A0A6P0SWE4,train,0.8678,0.8475,A0A6P0SWE4,0.8678,0.8475,0.139,qtmscore,274,271,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5cwk,183,A0A2C9LG88,train,0.7475,0.7439,A0A2C9LG88,0.7475,0.7439,0.019,qtmscore,249,244,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5cwm,239,A0A7V9IVQ8,train,0.8031,0.7202,A0A7V9IVQ8,0.8031,0.7202,0.12,qtmscore,118,118,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5cwn,211,A0A1J4KHU3,train,0.7641,0.761,A0A1J4KHU3,0.7641,0.761,0.037,qtmscore,145,141,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5cwp,235,A0A319D6H8,train,0.7456,0.5819,A0A319D6H8,0.7456,0.5819,0.059,qtmscore,10,10,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5cwq,239,A0A1I1YBI7,train,0.7328,0.7275,A0A1I1YBI7,0.7328,0.7275,0.043,qtmscore,201,199,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5d2t,264,C4LI94,train,0.9356,0.9319,C4LI94,0.9356,0.9319,0.129,qtmscore,140,140,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5d2v,264,C4LI94,train,0.9351,0.9315,C4LI94,0.9351,0.9315,0.129,qtmscore,142,142,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5d2w,264,A0A7X8CWK4,train,0.9428,0.9354,A0A7X8CWK4,0.9428,0.9354,0.35,qtmscore,142,142,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5d2x,264,A0A1V5BFS2,train,0.9407,0.937,A0A1V5BFS2,0.9407,0.937,0.435,qtmscore,139,139,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5d2y,264,A0A7X8CWK4,train,0.941,0.9337,A0A7X8CWK4,0.941,0.9337,0.343,qtmscore,150,150,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5d30,264,A0A7X8CWK4,train,0.9447,0.9373,A0A7X8CWK4,0.9447,0.9373,0.343,qtmscore,137,137,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5di5,246,A0A6N2DA43,train,0.9376,0.9329,A0A6N2DA43,0.9376,0.9329,0.28,qtmscore,296,285,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5dra,219,A0A7V2Q7V2,train,0.9539,0.9491,A0A7V2Q7V2,0.9539,0.9491,0.263,qtmscore,299,289,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5f53,87,X8DB20,train,1.002,0.9901,X8DB20,1.002,0.9901,0.607,qtmscore,300,292,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5hrz,128,A0A226WXB6,test,0.9721,0.9643,A0A381AGI6,0.9787,0.9551,0.308,qtmscore,300,296,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5ieo,137,A0A7W1SH19,train,0.9274,0.92,A0A7W1SH19,0.9274,0.92,0.253,qtmscore,250,241,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),5iep,137,A0A7W1SH19,train,0.9287,0.9215,A0A7W1SH19,0.9287,0.9215,0.253,qtmscore,235,230,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
