source,stem,pdb_id,query_len,best_hit,best_fident,best_split,best_train_hit,best_train_fident,best_train_qcov,verdict
denovo_pdb,3ltb_A,3ltb,69,A0A7C5ZPU6,0.345,train,A0A7C5ZPU6,0.345,0.638,redundant_seq
denovo_pdb,3ltc_A,3ltc,69,A0A7C5ZPU6,0.345,train,A0A7C5ZPU6,0.345,0.638,redundant_seq
denovo_pdb,3ltd_A,3ltd,69,A0A7C5ZPU6,0.345,train,A0A7C5ZPU6,0.345,0.638,redundant_seq
denovo_pdb,3o49_A,3o49,123,A0A553NWY3,0.273,train,A0A553NWY3,0.273,0.959,novel_seq
denovo_pdb,3o4b_A,3o4b,123,A0A673LX75,0.371,train,A0A673LX75,0.371,0.667,redundant_seq
denovo_pdb,3o4c_A,3o4c,124,A0A673LX75,0.371,train,A0A673LX75,0.371,0.661,redundant_seq
denovo_pdb,3o4d_A,3o4d,123,A0A553NWY3,0.298,train,A0A553NWY3,0.298,0.976,novel_seq
denovo_pdb,3p6i_A,3p6i,127,A0A673LX75,0.371,train,A0A673LX75,0.371,0.646,redundant_seq
denovo_pdb,3p6j_A,3p6j,125,A0A673LX75,0.375,train,A0A673LX75,0.375,0.656,redundant_seq
denovo_pdb,3pg0_A,3pg0,140,A0A3A8I9I4,0.656,train,A0A3A8I9I4,0.656,0.921,redundant_seq
denovo_pdb,3q7w_A,3q7w,124,A0A3Q0D5R4,0.286,train,A0A3Q0D5R4,0.286,0.911,novel_seq
denovo_pdb,3q7x_A,3q7x,125,A0A3Q0D5R4,0.287,train,A0A3Q0D5R4,0.287,0.904,novel_seq
denovo_pdb,3q7y_A,3q7y,124,A0A7Z2ZP54,0.264,train,A0A7Z2ZP54,0.264,0.976,novel_seq
denovo_pdb,3rfn_A,3rfn,151,A0A533W365,0.548,train,A0A533W365,0.548,0.623,redundant_seq
denovo_pdb,3teu_A,3teu,98,A0A060XVR8,0.392,train,A0A060XVR8,0.392,0.908,redundant_seq
denovo_pdb,3v45_A,3v45,166,A0A3N1VIN4,0.494,train,A0A3N1VIN4,0.494,0.765,redundant_seq
denovo_pdb,3ww9_A,3ww9,251,X8DB20,0.600,train,X8DB20,0.600,0.884,redundant_seq
denovo_pdb,3wwa_A,3wwa,251,X8DB20,0.600,train,X8DB20,0.600,0.884,redundant_seq
denovo_pdb,4a29_A,4a29,247,A0A7Y5LBB5,0.339,train,A0A7Y5LBB5,0.339,0.907,redundant_seq
denovo_pdb,4d8h_A,4d8h,124,A0A2V5Q4T7,0.268,train,A0A2V5Q4T7,0.268,0.887,novel_seq
denovo_pdb,4db6_A,4db6,197,A0A2T7ND37,0.355,train,A0A2T7ND37,0.355,0.858,redundant_seq
denovo_pdb,4drt_A,4drt,352,A0A0A2VY31,0.808,train,A0A0A2VY31,0.808,0.974,redundant_seq
denovo_pdb,4dui_A,4dui,165,A0A523U4Q5,0.423,train,A0A523U4Q5,0.423,0.958,redundant_seq
denovo_pdb,4etj_A,4etj,164,A0A3N1VIN4,0.493,train,A0A3N1VIN4,0.493,0.774,redundant_seq
denovo_pdb,4hxt_A,4hxt,247,A0A1V4JIW7,0.341,train,A0A1V4JIW7,0.341,0.785,redundant_seq
denovo_pdb,4ijb_A,4ijb,244,A0A7Y5LBB5,0.319,train,A0A7Y5LBB5,0.319,0.906,redundant_seq
denovo_pdb,4j8y_A,4j8y,157,A0A158Q546,0.436,train,A0A158Q546,0.436,0.962,redundant_seq
denovo_pdb,4lny_A,4lny,248,A0A7V2XTD8,0.321,train,A0A7V2XTD8,0.321,0.859,redundant_seq
denovo_pdb,4lpx_A,4lpx,97,B4F7A0,0.399,train,B4F7A0,0.399,0.876,redundant_seq
denovo_pdb,4lt9_A,4lt9,250,A0A7Y5LBB5,0.297,train,A0A7Y5LBB5,0.297,0.900,novel_seq
denovo_pdb,4n6t_A,4n6t,79,Q9MB08,0.800,train,Q9MB08,0.800,0.987,redundant_seq
denovo_pdb,4n6u_A,4n6u,79,Q9MB08,0.800,train,Q9MB08,0.800,0.987,redundant_seq
denovo_pdb,4nez_A,4nez,160,,,,,,,novel_seq
denovo_pdb,4oxw_A,4oxw,106,A0A1Y2GPA9,0.452,train,A0A1Y2GPA9,0.452,0.906,redundant_seq
denovo_pdb,4oza_A,4oza,57,,,,,,,novel_seq
denovo_pdb,4ozc_A,4ozc,57,,,,,,,novel_seq
denovo_pdb,4pq8_A,4pq8,241,A0A523RLK6,0.410,train,A0A523RLK6,0.410,0.851,redundant_seq
denovo_pdb,4psj_A,4psj,255,A0A7K1Z0X9,0.382,train,A0A7K1Z0X9,0.382,0.816,redundant_seq
denovo_pdb,4pww_A,4pww,85,A0A7V9SMZ4,0.268,train,A0A7V9SMZ4,0.268,0.918,novel_seq
denovo_pdb,4qkr_A,4qkr,125,A0A553NWY3,0.295,train,A0A553NWY3,0.295,0.976,novel_seq
denovo_pdb,4qks_A,4qks,124,A0A553NWY3,0.263,train,A0A553NWY3,0.263,0.976,novel_seq
denovo_pdb,4r5c_A,4r5c,304,A0A496BMS3,0.350,train,A0A496BMS3,0.350,0.898,redundant_seq
denovo_pdb,4r6f_A,4r6f,329,A0A7J6YSV9,0.305,train,A0A7J6YSV9,0.305,0.888,redundant_seq
denovo_pdb,4u3h_A,4u3h,100,A0A0R3WY37,0.428,train,A0A0R3WY37,0.428,0.820,redundant_seq
denovo_pdb,4uos_A,4uos,188,,,,,,,novel_seq
denovo_pdb,4wpy_A,4wpy,88,A0A317K7S7,0.449,train,A0A317K7S7,0.449,0.955,redundant_seq
denovo_pdb,4wsp_A,4wsp,79,A0A317K7S7,0.426,train,A0A317K7S7,0.426,0.924,redundant_seq
denovo_pdb,4yxx_A,4yxx,208,,,,,,,novel_seq
denovo_pdb,4yxz_A,4yxz,278,A0A0P9G0P5,0.239,train,A0A0P9G0P5,0.239,0.399,novel_seq
denovo_pdb,5bvl_A,5bvl,180,A0A433QS93,0.238,train,A0A433QS93,0.238,0.583,novel_seq
denovo_pdb,5cwb_A,5cwb,197,A0A2A4R593,0.211,train,A0A2A4R593,0.211,0.777,novel_seq
denovo_pdb,5cwc_A,5cwc,196,,,,,,,novel_seq
denovo_pdb,5cwd_A,5cwd,171,,,,,,,novel_seq
denovo_pdb,5cwg_A,5cwg,195,A0A7C3NYK9,0.184,train,A0A7C3NYK9,0.184,0.867,novel_seq
denovo_pdb,5cwh_A,5cwh,159,,,,,,,novel_seq
denovo_pdb,5cwi_A,5cwi,233,,,,,,,novel_seq
denovo_pdb,5cwj_A,5cwj,160,,,,,,,novel_seq
denovo_pdb,5cwk_A,5cwk,172,,,,,,,novel_seq
denovo_pdb,5cwm_A,5cwm,226,,,,,,,novel_seq
denovo_pdb,5cwn_A,5cwn,207,,,,,,,novel_seq
denovo_pdb,5cwp_A,5cwp,229,,,,,,,novel_seq
denovo_pdb,5cwq_A,5cwq,233,,,,,,,novel_seq
denovo_pdb,5di5_A,5di5,191,A0A7V2Q7V2,0.379,train,A0A7V2Q7V2,0.379,0.838,redundant_seq
denovo_pdb,5dra_A,5dra,190,A0A6P0MD26,0.392,train,A0A6P0MD26,0.392,0.842,redundant_seq
denovo_pdb,5f53_A,5f53,84,A0A1X2KIL5,0.606,train,A0A1X2KIL5,0.606,0.988,redundant_seq
denovo_pdb,5hrz_A,5hrz,122,A0A843JUG7,0.452,train,A0A843JUG7,0.452,0.943,redundant_seq
denovo_pdb,5ieo_A,5ieo,118,A0A7Y2JFA7,0.241,train,A0A7Y2JFA7,0.241,0.932,novel_seq
denovo_pdb,5iep_A,5iep,121,A0A2V8T7V8,0.289,train,A0A2V8T7V8,0.289,0.950,novel_seq
denovo_pdb,5j0i_A,5j0i,73,,,,,,,novel_seq
denovo_pdb,5l0p_A,5l0p,311,S7PJC6,1.000,train,S7PJC6,1.000,0.251,novel_seq
denovo_pdb,5l33_A,5l33,106,,,,,,,novel_seq
denovo_pdb,5le4_A,5le4,313,A0A523U4Q5,0.350,train,A0A523U4Q5,0.350,0.990,redundant_seq
denovo_pdb,5le9_A,5le9,315,A0A523U4Q5,0.405,train,A0A523U4Q5,0.405,0.959,redundant_seq
denovo_pdb,5lea_A,5lea,316,A0A1S3JGR5,0.383,train,A0A1S3JGR5,0.383,0.972,redundant_seq
denovo_pdb,5lw2_A,5lw2,155,A0A3R7MHF1,0.531,train,A0A3R7MHF1,0.531,0.839,redundant_seq
denovo_pdb,5oos_A,5oos,161,A0A673HS80,0.445,train,A0A673HS80,0.445,0.969,redundant_seq
denovo_pdb,5oou_A,5oou,165,A0A673HS80,0.449,train,A0A673HS80,0.449,0.945,redundant_seq
denovo_pdb,5op3_A,5op3,157,A0A673HS80,0.449,train,A0A673HS80,0.449,0.987,redundant_seq
denovo_pdb,5orm_A,5orm,350,A0A6P5NV79,0.459,train,A0A6P5NV79,0.459,0.923,redundant_seq
denovo_pdb,5trv_A,5trv,118,,,,,,,novel_seq
denovo_pdb,5vjs_A,5vjs,196,,,,,,,novel_seq
denovo_pdb,5vjt_A,5vjt,196,,,,,,,novel_seq
denovo_pdb,5vju_A,5vju,196,,,,,,,novel_seq
denovo_pdb,5vnv_A,5vnv,120,A0A3Q2KQ74,0.716,train,A0A3Q2KQ74,0.716,0.800,redundant_seq
denovo_pdb,5xg5_A,5xg5,145,A0A2A5HWJ2,0.450,train,A0A2A5HWJ2,0.450,0.848,redundant_seq
denovo_pdb,5ys7_A,5ys7,315,A0A6N6SDE7,0.342,train,A0A6N6SDE7,0.342,0.178,novel_seq
denovo_pdb,6ais_O,6ais,244,,,,,,,novel_seq
denovo_pdb,6ds9_A,6ds9,93,A0A0M9FXN2,0.300,train,A0A0M9FXN2,0.300,0.613,redundant_seq
denovo_pdb,6ee5_A,6ee5,352,W5KQ72,0.466,train,W5KQ72,0.466,0.969,redundant_seq
denovo_pdb,6egc_A,6egc,147,N4V5I2,0.229,train,N4V5I2,0.229,0.701,novel_seq
denovo_pdb,6f0s_A,6f0s,251,X8DB20,0.589,train,X8DB20,0.589,0.892,redundant_seq
denovo_pdb,6ff6_A,6ff6,222,A0A3S4GKV5,0.490,train,A0A3S4GKV5,0.490,1.000,redundant_seq
denovo_pdb,6fpb_A,6fpb,160,A0A673HS80,0.427,train,A0A673HS80,0.427,1.000,redundant_seq
denovo_pdb,6g6m_A,6g6m,320,A0A5M9MG40,0.475,train,A0A5M9MG40,0.475,0.991,redundant_seq
denovo_pdb,6g6p_A,6g6p,318,A0A286RFI6,0.383,train,A0A286RFI6,0.383,0.994,redundant_seq
denovo_pdb,6i37_A,6i37,251,X8DB20,0.575,train,X8DB20,0.575,0.873,redundant_seq
denovo_pdb,6i38_A,6i38,251,X8DB20,0.586,train,X8DB20,0.586,0.861,redundant_seq
denovo_pdb,6i39_A,6i39,251,X8DB20,0.581,train,X8DB20,0.581,0.892,redundant_seq
denovo_pdb,6i3a_A,6i3a,251,X8DB20,0.580,train,X8DB20,0.580,0.892,redundant_seq
denovo_pdb,6ics_O,6ics,242,,,,,,,novel_seq
denovo_pdb,6idc_A,6idc,251,,,,,,,novel_seq
denovo_pdb,6iei_A,6iei,250,,,,,,,novel_seq
denovo_pdb,6jcc_A,6jcc,97,A0A8B6C3H4,0.290,train,A0A8B6C3H4,0.290,0.814,novel_seq
denovo_pdb,6mrr_A,6mrr,68,A0A6P8AU23,0.407,train,A0A6P8AU23,0.407,0.529,redundant_seq
denovo_pdb,6mrs_A,6mrs,77,A0A7I4A530,0.300,train,A0A7I4A530,0.300,0.636,redundant_seq
denovo_pdb,6n9h_A,6n9h,75,A0A813MD71,0.394,train,A0A813MD71,0.394,0.520,redundant_seq
denovo_pdb,6naf_A,6naf,74,A0A813MD71,0.394,train,A0A813MD71,0.394,0.527,redundant_seq
denovo_pdb,6nek_A,6nek,86,A0A7J7JIK5,0.426,train,A0A7J7JIK5,0.426,0.895,redundant_seq
denovo_pdb,6nla_A,6nla,56,A0A193C6W2,0.339,train,A0A193C6W2,0.339,0.804,redundant_seq
denovo_pdb,6qb2_A,6qb2,95,A0A4W4GZ97,0.345,train,A0A4W4GZ97,0.345,0.968,redundant_seq
denovo_pdb,6qsd_A,6qsd,250,X8DB20,0.602,train,X8DB20,0.602,0.896,redundant_seq
denovo_pdb,6qse_A,6qse,251,X8DB20,0.602,train,X8DB20,0.602,0.892,redundant_seq
denovo_pdb,6qsg_A,6qsg,251,X8DB20,0.602,train,X8DB20,0.602,0.892,redundant_seq
denovo_pdb,6qsh_A,6qsh,246,X8DB20,0.584,train,X8DB20,0.584,0.898,redundant_seq
denovo_pdb,6rej_A,6rej,250,X8DB20,0.599,train,X8DB20,0.599,0.896,redundant_seq
denovo_pdb,6rek_A,6rek,251,X8DB20,0.599,train,X8DB20,0.599,0.892,redundant_seq
denovo_pdb,6rem_A,6rem,251,X8DB20,0.599,train,X8DB20,0.599,0.892,redundant_seq
denovo_pdb,6reo_A,6reo,251,X8DB20,0.594,train,X8DB20,0.594,0.892,redundant_seq
denovo_pdb,6rlh_A,6rlh,248,X8DB20,0.595,train,X8DB20,0.595,0.903,redundant_seq
denovo_pdb,6rli_A,6rli,250,X8DB20,0.594,train,X8DB20,0.594,0.896,redundant_seq
denovo_pdb,6sa6_A,6sa6,395,A0A2T7ND37,0.397,train,A0A2T7ND37,0.397,0.554,redundant_seq
denovo_pdb,6tjg_A,6tjg,320,A0A7X7EQ47,0.593,train,A0A7X7EQ47,0.593,0.991,redundant_seq
denovo_pdb,6veh_A,6veh,180,A0A1E3X4R6,0.532,train,A0A1E3X4R6,0.532,0.772,redundant_seq
denovo_pdb,6w3w_A,6w3w,107,A0A1J5NYP4,0.304,test,A0A1B8CJM4,0.466,0.299,novel_seq
denovo_pdb,6w90_A,6w90,130,A0A0U3ND14,0.281,train,A0A0U3ND14,0.281,0.585,novel_seq
denovo_pdb,6wvs_A,6wvs,182,A0A7C3IA96,0.210,train,A0A7C3IA96,0.210,0.654,novel_seq
denovo_pdb,6x9z_A,6x9z,120,A0A7H8QT70,0.253,train,A0A7H8QT70,0.253,0.700,novel_seq
denovo_pdb,6xi6_A,6xi6,269,,,,,,,novel_seq
denovo_pdb,6xt4_A,6xt4,235,,,,,,,novel_seq
denovo_pdb,6y7p_A,6y7p,319,A0A5M9MG40,0.479,train,A0A5M9MG40,0.479,0.981,redundant_seq
denovo_pdb,6ypi_A,6ypi,87,A0A4Q8A4Z6,0.341,train,A0A4Q8A4Z6,0.341,0.655,redundant_seq
denovo_pdb,6yqx_A,6yqx,181,A0A0F9HQN6,0.276,train,A0A0F9HQN6,0.276,0.497,novel_seq
denovo_pdb,6yqy_A,6yqy,178,A0A433QS93,0.243,train,A0A433QS93,0.243,0.596,novel_seq
denovo_pdb,6z2i_A,6z2i,168,U4UIR7,0.250,train,U4UIR7,0.250,0.601,novel_seq
denovo_pdb,7a8s_A,7a8s,190,A0A7C4IR40,0.256,train,A0A7C4IR40,0.256,0.458,novel_seq
denovo_pdb,7ah0_A,7ah0,104,,,,,,,novel_seq
denovo_pdb,7awy_A,7awy,311,A0A2A5AJA0,0.535,train,A0A2A5AJA0,0.535,0.961,redundant_seq
denovo_pdb,7awz_A,7awz,313,A0A2A5AJA0,0.529,train,A0A2A5AJA0,0.529,0.958,redundant_seq
denovo_pdb,7ax0_A,7ax0,317,A0A2A5AJA0,0.527,train,A0A2A5AJA0,0.527,0.959,redundant_seq
denovo_pdb,7ax2_A,7ax2,311,A0A2A5AJA0,0.527,train,A0A2A5AJA0,0.527,0.952,redundant_seq
denovo_pdb,7bid_A,7bid,286,A0A2T1DDV6,0.648,train,A0A2T1DDV6,0.648,1.000,redundant_seq
denovo_pdb,7dgu_A,7dgu,97,A0A7W0LV79,0.400,train,A0A7W0LV79,0.400,0.423,novel_seq
denovo_pdb,7dgw_A,7dgw,94,A0A0G4FVA2,0.339,train,A0A0G4FVA2,0.339,0.532,redundant_seq
denovo_pdb,7dgy_A,7dgy,99,,,,,,,novel_seq
denovo_pdb,7dmf_A,7dmf,189,A0A7J6BCL8,0.286,train,A0A7J6BCL8,0.286,0.963,novel_seq
denovo_pdb,7f1h_A,7f1h,189,Q693B5,0.710,train,Q693B5,0.710,0.984,redundant_seq
denovo_pdb,7f1i_A,7f1i,191,Q693B5,0.710,train,Q693B5,0.710,0.974,redundant_seq
denovo_pdb,7f1j_A,7f1j,190,Q693B5,0.710,train,Q693B5,0.710,0.979,redundant_seq
denovo_pdb,7f1k_A,7f1k,193,Q693B5,0.711,train,Q693B5,0.711,0.964,redundant_seq
denovo_pdb,7f1l_A,7f1l,194,Q693B5,0.711,train,Q693B5,0.711,0.959,redundant_seq
denovo_pdb,7hiy_A,7hiy,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hiz_A,7hiz,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hj0_A,7hj0,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hj1_A,7hj1,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hj2_A,7hj2,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hj3_A,7hj3,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hj4_A,7hj4,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hj5_A,7hj5,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hj6_A,7hj6,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hj7_A,7hj7,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hj8_A,7hj8,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hj9_A,7hj9,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hja_A,7hja,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjb_A,7hjb,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjc_A,7hjc,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjd_A,7hjd,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hje_A,7hje,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjf_A,7hjf,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjg_A,7hjg,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjh_A,7hjh,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hji_A,7hji,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjj_A,7hjj,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjk_A,7hjk,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjl_A,7hjl,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjm_A,7hjm,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjn_A,7hjn,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjo_A,7hjo,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjp_A,7hjp,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjq_A,7hjq,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjr_A,7hjr,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjs_A,7hjs,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjt_A,7hjt,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hju_A,7hju,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjv_A,7hjv,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjw_A,7hjw,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjx_A,7hjx,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjy_A,7hjy,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hjz_A,7hjz,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hk0_A,7hk0,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hk1_A,7hk1,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hk2_A,7hk2,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hk3_A,7hk3,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7hk4_A,7hk4,126,A0A7S0FQK9,0.455,train,A0A7S0FQK9,0.455,0.262,novel_seq
denovo_pdb,7jrq_A,7jrq,127,,,,,,,novel_seq
denovo_pdb,7kuw_A,7kuw,62,A0A150SHB3,0.535,train,A0A150SHB3,0.535,0.403,novel_seq
denovo_pdb,7mcc_A,7mcc,190,,,,,,,novel_seq
denovo_pdb,7ocm_A,7ocm,174,A0A444U663,0.698,train,A0A444U663,0.698,0.954,redundant_seq
denovo_pdb,7osu_A,7osu,183,Q988X9,0.211,train,Q988X9,0.211,0.552,novel_seq
denovo_pdb,7osv_A,7osv,173,A0A292PQT5,0.204,train,A0A292PQT5,0.204,0.844,novel_seq
denovo_pdb,7ot7_A,7ot7,183,A0A7S1RU35,0.279,train,A0A7S1RU35,0.279,0.415,novel_seq
denovo_pdb,7p12_A,7p12,184,A0A433QS93,0.247,train,A0A433QS93,0.247,0.630,novel_seq
denovo_pdb,7qnl_AAA,7qnl,240,A0A2J8A511,0.429,train,A0A2J8A511,0.429,0.767,redundant_seq
denovo_pdb,7rmx_A,7rmx,229,,,,,,,novel_seq
denovo_pdb,7smj_A,7smj,174,,,,,,,novel_seq
denovo_pdb,7sq3_A,7sq3,146,,,,,,,novel_seq
denovo_pdb,7sq4_A,7sq4,48,,,,,,,novel_seq
denovo_pdb,7sq5_A,7sq5,140,,,,,,,novel_seq
denovo_pdb,7tal_A,7tal,196,A0A126X3U3,0.789,train,A0A126X3U3,0.789,0.709,redundant_seq
denovo_pdb,7tjl_A,7tjl,85,B1B9K7,0.555,train,B1B9K7,0.555,0.294,novel_seq
denovo_pdb,7udo_A,7udo,172,T0GBK2,0.265,train,T0GBK2,0.265,0.395,novel_seq
denovo_pdb,7uek_A,7uek,228,R5T390,0.251,train,R5T390,0.251,0.395,novel_seq
denovo_pdb,7ur7_A,7ur7,63,A0A3Q3EH71,0.618,train,A0A3Q3EH71,0.618,0.349,novel_seq
denovo_pdb,7ur8_A,7ur8,71,A0A660T8Q5,0.413,train,A0A660T8Q5,0.413,0.606,redundant_seq
denovo_pdb,7vql_A,7vql,115,A0A4V5N3V6,0.385,train,A0A4V5N3V6,0.385,0.861,redundant_seq
denovo_pdb,7vqv_A,7vqv,115,A0A4V5N3V6,0.393,train,A0A4V5N3V6,0.393,0.861,redundant_seq
denovo_pdb,7vty_A,7vty,90,A0A5N4DGG1,0.370,train,A0A5N4DGG1,0.370,0.989,redundant_seq
denovo_pdb,7vu4_A,7vu4,117,A0A836DDG6,0.398,train,A0A836DDG6,0.398,0.846,redundant_seq
denovo_pdb,8a3k_UNK,8a3k,127,,,,,,,novel_seq
denovo_pdb,8ah9_A,8ah9,115,A0A1Q7D8I5,0.375,train,A0A1Q7D8I5,0.375,0.400,novel_seq
denovo_pdb,8bcs_A,8bcs,49,,,,,,,novel_seq
