stem,length,n_seqs,neff,neff_per_L,neff_per_sqrtL,theta
3ltc_A,69,4,2.0,0.028986,0.2408,0.8
3ltd_A,69,4,2.0,0.028986,0.2408,0.8
4yxz_A,278,9,2.0,0.007194,0.12,0.8
5cwg_A,195,4,2.0,0.010256,0.1432,0.8
5cwj_A,160,5,2.0,0.0125,0.1581,0.8
5cwn_A,207,4,2.0,0.009662,0.139,0.8
5j0i_A,73,4,2.0,0.027397,0.2341,0.8
6ds9_A,93,4,2.0,0.021505,0.2074,0.8
6mrs_A,77,4,2.0,0.025974,0.2279,0.8
7jrq_A,127,5,2.0,0.015748,0.1775,0.8
7sq3_A,146,8,2.0,0.013699,0.1655,0.8
7uek_A,228,4,2.0,0.008772,0.1325,0.8
7ur8_A,71,3,2.0,0.028169,0.2374,0.8
8p4y_A,192,3,2.0,0.010417,0.1443,0.8
9gvf_A,211,8,2.0,0.009479,0.1377,0.8
9h3c_A,212,4,2.0,0.009434,0.1374,0.8
9lm8_A,381,3,2.0,0.005249,0.1025,0.8
9n0j_A,126,3,2.0,0.015873,0.1782,0.8
5cwh_A,159,9,2.3333,0.014675,0.185,0.8
1qys_A,92,6,3.0,0.032609,0.3128,0.8
5dra_A,190,4,3.0,0.015789,0.2176,0.8
6egc_A,147,5,3.0,0.020408,0.2474,0.8
6w3w_A,107,5,3.0,0.028037,0.29,0.8
7hiy_A,126,6,3.0,0.02381,0.2673,0.8
7hiz_A,126,6,3.0,0.02381,0.2673,0.8
7hj0_A,126,6,3.0,0.02381,0.2673,0.8
7hj1_A,126,6,3.0,0.02381,0.2673,0.8
7hj2_A,126,6,3.0,0.02381,0.2673,0.8
7hj3_A,126,6,3.0,0.02381,0.2673,0.8
7hj4_A,126,6,3.0,0.02381,0.2673,0.8
7hj5_A,126,6,3.0,0.02381,0.2673,0.8
7hj6_A,126,6,3.0,0.02381,0.2673,0.8
7hj7_A,126,6,3.0,0.02381,0.2673,0.8
7hj8_A,126,6,3.0,0.02381,0.2673,0.8
7hj9_A,126,6,3.0,0.02381,0.2673,0.8
7hja_A,126,6,3.0,0.02381,0.2673,0.8
7hjb_A,126,6,3.0,0.02381,0.2673,0.8
7hjc_A,126,6,3.0,0.02381,0.2673,0.8
7hjd_A,126,6,3.0,0.02381,0.2673,0.8
7hje_A,126,6,3.0,0.02381,0.2673,0.8
7hjf_A,126,6,3.0,0.02381,0.2673,0.8
7hjg_A,126,6,3.0,0.02381,0.2673,0.8
7hjh_A,126,6,3.0,0.02381,0.2673,0.8
7hji_A,126,6,3.0,0.02381,0.2673,0.8
7hjj_A,126,6,3.0,0.02381,0.2673,0.8
7hjk_A,126,6,3.0,0.02381,0.2673,0.8
7hjl_A,126,6,3.0,0.02381,0.2673,0.8
7hjm_A,126,6,3.0,0.02381,0.2673,0.8
7hjn_A,126,6,3.0,0.02381,0.2673,0.8
7hjo_A,126,6,3.0,0.02381,0.2673,0.8
7hjp_A,126,6,3.0,0.02381,0.2673,0.8
7hjq_A,126,6,3.0,0.02381,0.2673,0.8
7hjr_A,126,6,3.0,0.02381,0.2673,0.8
7hjs_A,126,6,3.0,0.02381,0.2673,0.8
7hjt_A,126,6,3.0,0.02381,0.2673,0.8
7hju_A,126,6,3.0,0.02381,0.2673,0.8
7hjv_A,126,6,3.0,0.02381,0.2673,0.8
7hjw_A,126,6,3.0,0.02381,0.2673,0.8
7hjx_A,126,6,3.0,0.02381,0.2673,0.8
7hjy_A,126,6,3.0,0.02381,0.2673,0.8
7hjz_A,126,6,3.0,0.02381,0.2673,0.8
7hk0_A,126,6,3.0,0.02381,0.2673,0.8
7hk1_A,126,6,3.0,0.02381,0.2673,0.8
7hk2_A,126,6,3.0,0.02381,0.2673,0.8
7hk3_A,126,6,3.0,0.02381,0.2673,0.8
7hk4_A,126,6,3.0,0.02381,0.2673,0.8
8bl6_A,139,4,3.0,0.021583,0.2545,0.8
8raj_A,62,5,3.0,0.048387,0.381,0.8
9dcx_A,257,4,3.0,0.011673,0.1871,0.8
9dw2_A,126,6,3.0,0.02381,0.2673,0.8
9r17_A,105,4,3.0,0.028571,0.2928,0.8
9tau_A,120,6,3.0,0.025,0.2739,0.8
T1043-D1,148,6,3.0,0.02027,0.2466,0.8
7p12_A,184,16,3.5333,0.019203,0.2605,0.8
5cwb_A,197,7,4.0,0.020305,0.285,0.8
9cte_A,110,6,4.0,0.036364,0.3814,0.8
T1123-D1,214,9,4.0,0.018692,0.2734,0.8
6wvs_A,182,28,4.2487,0.023345,0.3149,0.8
7rmx_A,229,8,4.3333,0.018923,0.2864,0.8
8ah9_A,115,8,4.6667,0.04058,0.4352,0.8
9bch_A,198,13,5.0,0.025253,0.3553,0.8
9dd2_A,258,6,5.0,0.01938,0.3113,0.8
9j46_F,124,10,5.0,0.040323,0.449,0.8
7smj_A,174,27,5.6137,0.032263,0.4256,0.8
5cwk_A,172,12,5.6667,0.032946,0.4321,0.8
5cwp_A,229,9,6.0,0.026201,0.3965,0.8
8kc8_A,227,7,6.0,0.026432,0.3982,0.8
9dl1_D,124,13,6.0,0.048387,0.5388,0.8
9r0z_A,100,8,6.0,0.06,0.6,0.8
7ot7_A,183,12,6.4167,0.035064,0.4743,0.8
7mcc_A,190,25,6.8403,0.036002,0.4962,0.8
6w90_A,130,10,7.0,0.053846,0.6139,0.8
6xi6_A,269,9,7.0,0.026022,0.4268,0.8
9eqn_A,72,73,7.2061,0.100085,0.8492,0.8
6xt4_A,235,10,8.0,0.034043,0.5219,0.8
5bvl_A,180,23,8.2667,0.045926,0.6162,0.8
9r00_A,129,14,9.0,0.069767,0.7924,0.8
T1033-D1,100,12,9.0,0.09,0.9,0.8
6yqy_A,178,19,9.4,0.052809,0.7046,0.8
6z2i_A,168,13,9.5333,0.056746,0.7355,0.8
4pww_A,85,29,9.5448,0.112292,1.0353,0.8
7osv_A,173,17,10.0,0.057803,0.7603,0.8
9k3e_C,116,12,10.0,0.086207,0.9285,0.8
9szu_A,322,15,11.1667,0.034679,0.6223,0.8
6yqx_A,181,23,11.2667,0.062247,0.8374,0.8
4nez_A,160,22,11.5833,0.072396,0.9157,0.8
9quc_A,171,21,11.9833,0.070078,0.9164,0.8
9qud_A,170,21,11.9833,0.07049,0.9191,0.8
9qui_A,170,21,11.9833,0.07049,0.9191,0.8
9qul_A,169,21,11.9833,0.070907,0.9218,0.8
9quo_A,170,21,11.9833,0.07049,0.9191,0.8
7osu_A,183,29,14.6,0.079781,1.0793,0.8
T1039-D1,161,20,16.0,0.099379,1.261,0.8
7a8s_A,190,27,19.2857,0.101504,1.3991,0.8
8v4w_A,207,67,21.5487,0.1041,1.4977,0.8
T1038-D1,114,90,25.7821,0.226159,2.4147,0.8
8bl3_A,141,55,32.7516,0.232281,2.7582,0.8
4ozc_A,57,168,34.432,0.60407,4.5606,0.8
4oza_A,57,173,39.005,0.684298,5.1663,0.8
6nla_A,56,185,39.0179,0.696748,5.214,0.8
9def_A,151,42,40.0,0.264901,3.2552,0.8
T1042-D1,276,52,43.0,0.155797,2.5883,0.8
T1040-D1,130,58,43.4357,0.334121,3.8096,0.8
3p6i_A,127,273,43.993,0.346401,3.9037,0.8
9fdg_A,179,123,44.1073,0.246409,3.2967,0.8
8r8o_A,262,55,46.0,0.175573,2.8419,0.8
3p6j_A,125,765,52.9453,0.423562,4.7356,0.8
6x9z_A,120,77,53.1095,0.442579,4.8482,0.8
4qks_A,124,551,53.399,0.430637,4.7954,0.8
8qup_A,114,188,57.7893,0.506923,5.4125,0.8
T1104-D1,117,94,60.7833,0.519516,5.6194,0.8
6jcc_A,97,96,63.0,0.649485,6.3967,0.8
8k7o_A,233,64,63.0,0.270386,4.1273,0.8
8kdq_A,233,64,63.0,0.270386,4.1273,0.8
T1120-D1,118,119,68.0365,0.57658,6.2633,0.8
3q7y_A,124,670,72.4978,0.584659,6.5105,0.8
2hkd_A,315,229,79.3143,0.251791,4.4689,0.8
6ics_O,242,229,80.3039,0.331834,5.1621,0.8
T1027-D1,168,142,80.9098,0.481606,6.2423,0.8
6ais_O,244,229,81.1195,0.332457,5.1931,0.8
2i5v_O,246,229,81.3014,0.330494,5.1836,0.8
6iei_A,250,229,81.4388,0.325755,5.1506,0.8
2fkg_A,315,229,81.5398,0.258857,4.5942,0.8
2i5z_O,246,229,81.647,0.331899,5.2056,0.8
6idc_A,251,229,81.8622,0.326144,5.1671,0.8
2af5_A,292,229,83.2056,0.284951,4.8692,0.8
5ys7_A,315,229,83.696,0.265701,4.7157,0.8
5vju_A,196,104,84.65,0.431888,6.0464,0.8
T1035-D1,102,119,89.0,0.872549,8.8123,0.8
5l33_A,106,147,95.2321,0.898416,9.2498,0.8
T1120-D2,110,214,123.0646,1.118769,11.7337,0.8
8d9p_A,195,166,124.9429,0.640733,8.9473,0.8
4qkr_A,125,991,125.1713,1.00137,11.1957,0.8
8sjf_A,107,409,127.9395,1.195696,12.3684,0.8
9db8_A,107,409,127.9395,1.195696,12.3684,0.8
9db9_A,107,409,127.9395,1.195696,12.3684,0.8
9dba_A,107,409,127.9395,1.195696,12.3684,0.8
9dbb_A,107,409,127.9395,1.195696,12.3684,0.8
9dbc_A,109,410,128.2607,1.176704,12.2851,0.8
5vjs_A,196,161,130.6262,0.66646,9.3304,0.8
5vjt_A,196,161,130.6262,0.66646,9.3304,0.8
8d9o_A,194,161,130.6262,0.673331,9.3784,0.8
7dmf_A,189,723,130.7045,0.691558,9.5074,0.8
9dbd_A,326,414,139.2567,0.427168,7.7127,0.8
3o4b_A,123,1076,140.1339,1.1393,12.6354,0.8
T1049-D1,134,294,146.1894,1.090966,12.6288,0.8
T1038-D2,76,925,150.1513,1.975675,17.2235,0.8
3o49_A,123,890,160.1664,1.302166,14.4417,0.8
8zaf_A,353,304,177.7598,0.503569,9.4612,0.8
3o4d_A,123,1449,194.8968,1.584527,17.5733,0.8
6ypi_A,87,1516,210.7053,2.4219,22.59,0.8
T1029-D1,125,575,212.4491,1.699592,19.002,0.8
9isp_A,156,508,226.9115,1.454561,18.1675,0.8
5od1_A,94,1539,227.8041,2.423448,23.4962,0.8
3v1a_A,48,1591,247.8389,5.163311,35.7725,0.8
T1037-D1,404,335,269.5238,0.667138,13.4093,0.8
9hag_A,112,305,278.3333,2.485119,26.3,0.8
8kac_A,121,351,288.2825,2.3825,26.2075,0.8
T1121-D1,196,447,296.9585,1.515095,21.2113,0.8
5trv_A,118,447,364.1135,3.085708,33.5194,0.8
T1041-D1,242,468,371.4504,1.534919,23.8777,0.8
5di5_A,191,481,403.4583,2.112347,29.1932,0.8
9b7d_D,192,451,404.3333,2.105903,29.1802,0.8
7vty_A,90,878,438.2229,4.869143,46.1927,0.8
5xg5_A,145,888,490.8693,3.385306,40.7645,0.8
9f4c_A,141,1626,652.6246,4.628543,54.9609,0.8
9emy_B,379,1031,655.9989,1.730868,33.6964,0.8
8j1x_A,174,2475,895.0906,5.144199,67.8566,0.8
8j98_A,184,2469,907.1633,4.930235,66.877,0.8
8y33_A,184,2469,907.1633,4.930235,66.877,0.8
8j1w_A,175,2283,925.3542,5.287738,69.9502,0.8
T1031-D1,95,1960,1299.2594,13.676414,133.3012,0.8
3rfn_A,151,2041,1328.6984,8.799327,108.1279,0.8
9vp8_A,129,2361,1580.2666,12.250129,139.1347,0.8
4wsp_A,79,3586,1595.5746,20.197147,179.5162,0.8
8s3m_A,345,2132,1725.112,5.000325,92.8769,0.8
4wpy_A,88,3732,1784.5267,20.278712,190.2312,0.8
6qb2_A,95,3304,2007.6545,21.133205,205.981,0.8
4hxt_A,247,4135,2168.0753,8.777633,137.9513,0.8
7f1i_A,191,5793,2180.3684,11.415541,157.7659,0.8
7f1j_A,190,5783,2194.6947,11.551025,159.2199,0.8
7f1k_A,193,5768,2202.8563,11.413763,158.5651,0.8
7f1h_A,189,5784,2205.9381,11.67163,160.4584,0.8
3o4c_A,124,3462,2210.5238,17.826805,198.5109,0.8
7f1l_A,194,5759,2228.7904,11.48861,160.0178,0.8
4db6_A,197,6879,2404.2899,12.204517,171.2986,0.8
4ndj_A,280,5825,2615.4672,9.340954,156.3041,0.8
8vez_A,115,3290,2934.831,25.520269,273.6744,0.8
3q7x_A,125,3908,3032.2259,24.257807,271.2105,0.8
3q7w_A,124,3820,3114.0057,25.112949,279.646,0.8
4psj_A,255,4145,3181.6627,12.477108,199.2434,0.8
8j4i_A,190,6544,3189.5224,16.78696,231.3923,0.8
4n6t_A,79,7980,3247.6227,41.109148,365.3861,0.8
4n6u_A,79,7980,3247.6227,41.109148,365.3861,0.8
8cux_B,119,6173,3646.4989,30.642848,334.274,0.8
9eum_A,176,7754,3783.6853,21.498212,285.206,0.8
4d8h_A,124,4132,3816.3319,30.77687,342.7167,0.8
5vnv_A,120,11622,3865.4461,32.212051,352.8653,0.8
7tal_A,196,15570,3940.9644,20.106961,281.4975,0.8
5orm_A,350,11164,3965.8463,11.330989,211.9834,0.8
7ocm_A,174,13173,4147.925,23.838649,314.4534,0.8
5l0p_A,311,12393,4158.7982,13.372341,235.8238,0.8
4lpx_A,97,5692,4207.9596,43.381027,427.2536,0.8
8bl9_A,116,6443,4248.7019,36.62674,394.4821,0.8
5iep_A,121,5489,4265.0642,35.248464,387.7331,0.8
5ieo_A,118,6061,4292.9542,36.380968,395.1985,0.8
4oxw_A,106,7298,4302.3477,40.588186,417.881,0.8
6i3a_A,251,12134,4338.0282,17.282981,273.8139,0.8
8bl5_A,117,6258,4363.1968,37.29228,403.3777,0.8
4pjs_A,175,18335,4399.4402,25.139658,332.5664,0.8
4pjr_A,175,21840,4419.0933,25.251961,334.0521,0.8
3teu_A,98,13079,4435.611,45.261336,448.0644,0.8
4drt_A,352,12593,4467.0597,12.69051,238.0951,0.8
9jwo_A,280,9864,4480.5476,16.001956,267.7639,0.8
6ff6_A,222,10450,4488.913,20.220329,301.2761,0.8
9mxx_A,149,5150,4503.0251,30.221645,368.9022,0.8
8pf0_A,153,18336,4560.2738,29.805711,368.6763,0.8
9jwt_A,292,9491,4572.76,15.660137,267.6005,0.8
9jwq_A,286,9640,4597.7641,16.076098,271.8715,0.8
9jla_A,166,12952,4612.2713,27.784767,357.9817,0.8
4ess_A,158,13572,4625.0994,29.272781,367.9532,0.8
7vu4_A,117,5887,4627.7329,39.553272,427.8341,0.8
3qa9_A,142,12605,4631.3841,32.615381,388.6571,0.8
8xyr_A,165,14353,4645.3026,28.153349,361.6363,0.8
3pg0_A,140,17666,4649.5124,33.210803,392.9555,0.8
6tjg_A,320,18516,4649.6981,14.530307,259.926,0.8
4pq8_A,241,8654,4650.6662,19.29737,299.5757,0.8
3v45_A,166,14085,4652.1307,28.024884,361.0754,0.8
9jl8_A,166,13030,4653.38,28.03241,361.1723,0.8
8xyu_A,169,14582,4669.7037,27.631383,359.208,0.8
5d2y_A,250,16601,4669.9401,18.67976,295.3529,0.8
4z08_A,253,16832,4679.1839,18.494798,294.1778,0.8
5d30_A,250,16774,4680.042,18.720168,295.9918,0.8
4etj_A,164,13893,4684.616,28.564732,365.8071,0.8
5d2w_A,250,16874,4686.241,18.744964,296.3839,0.8
5d2t_A,251,16801,4691.0106,18.689285,296.094,0.8
5d2x_A,250,16719,4699.4576,18.79783,297.2198,0.8
7qnl_AAA,240,13578,4701.3012,19.588755,303.4677,0.8
9qrf_A,202,11244,4702.5791,23.280094,330.8723,0.8
4r5c_A,304,9677,4704.7081,15.476013,269.8335,0.8
9jl9_A,165,13253,4705.4448,28.517848,366.3184,0.8
4gvw_A,192,9780,4705.5204,24.507919,339.5917,0.8
5d2v_A,251,16771,4706.6816,18.75172,297.0831,0.8
6qsh_A,246,19339,4706.6846,19.132864,300.0873,0.8
4ijb_A,244,8158,4712.3896,19.313072,301.6798,0.8
6g6m_A,320,16553,4715.8563,14.737051,263.6244,0.8
6rej_A,250,19889,4719.3112,18.877245,298.4754,0.8
4a29_A,247,7957,4722.056,19.117635,300.4572,0.8
4lt9_A,250,7816,4722.6072,18.890429,298.6839,0.8
4lny_A,248,8299,4724.1815,19.049119,299.9858,0.8
6rek_A,251,19039,4726.4067,18.830306,298.3281,0.8
6rem_A,251,19039,4726.4067,18.830306,298.3281,0.8
6qsd_A,250,19239,4726.5849,18.90634,298.9355,0.8
6qse_A,251,19635,4729.6596,18.843265,298.5335,0.8
6qsg_A,251,19635,4729.6596,18.843265,298.5335,0.8
6y7p_A,319,18970,4730.8004,14.830095,264.874,0.8
4r6f_A,329,7220,4745.0567,14.422665,261.6034,0.8
6ee5_A,352,16801,4750.8667,13.49678,253.222,0.8
8yoz_A,79,12506,4753.0619,60.165341,534.7612,0.8
7vql_A,115,8193,4758.7287,41.380249,443.7537,0.8
7vqv_A,115,8882,4760.5123,41.395759,443.9201,0.8
6reo_A,251,20795,4762.6161,18.974566,300.6137,0.8
5hrz_A,122,12522,4767.4038,39.077081,431.6205,0.8
2fo7_A,136,13915,4772.8152,35.094229,409.2655,0.8
2hyz_A,136,13915,4772.8152,35.094229,409.2655,0.8
8bu0_A,136,13915,4772.8152,35.094229,409.2655,0.8
8ch0_A,136,13915,4772.8152,35.094229,409.2655,0.8
8cig_A,136,13915,4772.8152,35.094229,409.2655,0.8
8ckr_A,136,13915,4772.8152,35.094229,409.2655,0.8
8cmq_A,136,13915,4772.8152,35.094229,409.2655,0.8
6i39_A,251,17404,4781.0437,19.047983,301.7768,0.8
6rli_A,250,22153,4786.2306,19.144922,302.7078,0.8
6i38_A,251,21739,4795.3365,19.104926,302.679,0.8
3ww9_A,251,23886,4795.4,19.105179,302.683,0.8
3wwa_A,251,23886,4795.4,19.105179,302.683,0.8
6rlh_A,248,22522,4796.5548,19.340947,304.5815,0.8
1mj0_A,156,17504,4810.2058,30.834653,385.1247,0.8
6f0s_A,251,21733,4814.3699,19.180756,303.8803,0.8
6i37_A,251,23772,4814.4667,19.181142,303.8864,0.8
5f53_A,84,21126,4819.0861,57.370073,525.8054,0.8
2zgd_A,97,18702,4820.2234,49.693024,489.4195,0.8
5lw2_A,155,16607,4822.345,31.111903,387.3401,0.8
2xen_A,91,24478,4824.7064,53.018752,505.7667,0.8
2zgg_A,88,20854,4826.2272,54.843491,514.4775,0.8
4j8y_A,157,19060,4829.6134,30.761869,385.4451,0.8
8chy_A,272,8678,4830.6882,17.759883,292.9035,0.8
8cqq_A,272,8678,4830.6882,17.759883,292.9035,0.8
2qyj_A,154,20691,4833.1254,31.383931,389.4643,0.8
8xyw_A,105,15546,4836.3929,46.060884,471.9836,0.8
5op3_A,157,17933,4836.6903,30.806945,386.0099,0.8
7awy_A,311,16218,4841.6738,15.568083,274.5461,0.8
4dui_A,165,17912,4846.8704,29.374972,377.3283,0.8
7bid_A,286,31307,4856.0142,16.979071,287.1421,0.8
8qzn_A,346,23079,4856.7196,14.036762,261.0989,0.8
5oos_A,161,17610,4856.9762,30.167554,382.7833,0.8
8q52_A,320,18316,4860.7762,15.189926,271.7256,0.8
7awz_A,313,13952,4868.2742,15.553592,275.1711,0.8
6fpb_A,160,21836,4869.0007,30.431254,384.9283,0.8
6sa6_A,395,20572,4869.6152,12.32814,245.0169,0.8
5oou_A,165,18394,4871.0223,29.521347,379.2086,0.8
3og3_A,242,12689,4875.4167,20.14635,313.4037,0.8
7ax0_A,317,16021,4877.6667,15.386961,273.9571,0.8
7ax2_A,311,13757,4881.4,15.69582,276.7988,0.8
6nek_A,86,15118,4885.0,56.802326,526.7631,0.8
6veh_A,180,18848,4886.0667,27.144815,364.1859,0.8
2avp_A,68,18745,4893.998,71.970559,593.4844,0.8
5le4_A,313,20740,4894.5333,15.637487,276.6554,0.8
5le9_A,315,16848,4897.5405,15.547748,275.9451,0.8
6g6p_A,318,26143,4899.796,15.408164,274.7669,0.8
2wqh_A,104,16634,4902.0813,47.135398,480.6886,0.8
5lea_A,316,22215,4912.7159,15.546569,276.3619,0.8
4u3h_A,100,19911,4925.8333,49.258333,492.5833,0.8
9xzo_A,120,15974,4967.0,41.391667,453.423,0.8
T1122-D1,230,3,1.0,0.004348,0.0659,0.8
T1125-D1,134,3,1.0,0.007463,0.0864,0.8
T1125-D4,141,3,1.0,0.007092,0.0842,0.8
T1125-D2,148,6,2.0,0.013514,0.1644,0.8
T1125-D5,150,6,2.0,0.013333,0.1633,0.8
T1113-D1,167,6,4.0,0.023952,0.3095,0.8
T1112-D1,460,2538,2251.6595,4.894912,104.9842,0.8
