target_id,pair_id,input_fold,variant,candidate_id,shortlist_rank,n_contacts_mapped,fold,observed_residues,mapped_residues,sequence_identity,true_contacts_ca_checked,true_contacts_ca_far,true_contacts_ca_far_fraction,dataset,n_tokens,status,elapsed_seconds,predict_seconds,model_load_seconds,gpu_name,gpu_total_memory_gb,gpu_compute_capability,hostname,platform,torch_version,stem,n_residues,n_pairs,mode,total_seconds,model_nickname,runner_tag,n_samples,n_cycles
3j7wb_3j7vg__gt1__true_fold2,3j7wb_3j7vg,1,true_fold2,,0,208,3j7wB,343,343,1.0,192,0,0.0,exp304_foldswitch,343,ok,13.204,13.204,6.94,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3j7wb_3j7vg,343,58653,true_fold2:input_fold1,13.817,helico-contacts-msafree-01-step-6000,modal,3,6
3j7wb_3j7vg__gt1__blind_fold1,3j7wb_3j7vg,1,blind_fold1,root:57,14,274,3j7wB,343,343,1.0,192,0,0.0,exp304_foldswitch,343,ok,13.563,13.563,7.949,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3j7wb_3j7vg,343,58653,blind_fold1:input_fold1,14.306,helico-contacts-msafree-01-step-6000,modal,3,6
3j7wb_3j7vg__gt1__blind_fold2,3j7wb_3j7vg,1,blind_fold2,root:18,10,292,3j7wB,343,343,1.0,192,0,0.0,exp304_foldswitch,343,ok,13.609,13.609,8.017,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3j7wb_3j7vg,343,58653,blind_fold2:input_fold1,14.299,helico-contacts-msafree-01-step-6000,modal,3,6
3j7wb_3j7vg__gt1__iid_fold1,3j7wb_3j7vg,1,iid_fold1,iid:20,5,285,3j7wB,343,343,1.0,192,0,0.0,exp304_foldswitch,343,ok,12.134,12.134,7.328,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3j7wb_3j7vg,343,58653,iid_fold1:input_fold1,12.695,helico-contacts-msafree-01-step-6000,modal,3,6
3j7wb_3j7vg__gt1__iid_fold2,3j7wb_3j7vg,1,iid_fold2,root:25,1,282,3j7wB,343,343,1.0,192,0,0.0,exp304_foldswitch,343,ok,11.928,11.928,8.038,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3j7wb_3j7vg,343,58653,iid_fold2:input_fold1,12.562,helico-contacts-msafree-01-step-6000,modal,3,6
3j7wb_3j7vg__gt2__true_fold1,3j7wb_3j7vg,2,true_fold1,,0,192,3j7vG,317,317,1.0,208,0,0.0,exp304_foldswitch,317,ok,10.979,10.979,6.236,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3j7wb_3j7vg,317,50086,true_fold1:input_fold2,11.516,helico-contacts-msafree-01-step-6000,modal,3,6
3j7wb_3j7vg__gt2__true_fold2,3j7wb_3j7vg,2,true_fold2,,0,208,3j7vG,317,317,1.0,208,0,0.0,exp304_foldswitch,317,ok,10.966,10.966,6.94,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3j7wb_3j7vg,317,50086,true_fold2:input_fold2,11.501,helico-contacts-msafree-01-step-6000,modal,3,6
3j7wb_3j7vg__gt2__blind_fold1,3j7wb_3j7vg,2,blind_fold1,root:57,14,265,3j7vG,317,317,1.0,208,0,0.0,exp304_foldswitch,317,ok,11.565,11.565,6.829,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3j7wb_3j7vg,317,50086,blind_fold1:input_fold2,12.091,helico-contacts-msafree-01-step-6000,modal,3,6
3j7wb_3j7vg__gt2__blind_fold2,3j7wb_3j7vg,2,blind_fold2,root:18,10,281,3j7vG,317,317,1.0,208,0,0.0,exp304_foldswitch,317,ok,11.2,11.2,8.37,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3j7wb_3j7vg,317,50086,blind_fold2:input_fold2,11.77,helico-contacts-msafree-01-step-6000,modal,3,6
3j7wb_3j7vg__gt2__iid_fold1,3j7wb_3j7vg,2,iid_fold1,iid:20,5,267,3j7vG,317,317,1.0,208,0,0.0,exp304_foldswitch,317,ok,11.109,11.109,7.949,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3j7wb_3j7vg,317,50086,iid_fold1:input_fold2,11.751,helico-contacts-msafree-01-step-6000,modal,3,6
3j7wb_3j7vg__gt2__iid_fold2,3j7wb_3j7vg,2,iid_fold2,root:25,1,277,3j7vG,317,317,1.0,208,0,0.0,exp304_foldswitch,317,ok,11.205,11.205,7.328,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,3j7wb_3j7vg,317,50086,iid_fold2:input_fold2,11.707,helico-contacts-msafree-01-step-6000,modal,3,6
4y0mj_4xwsd__gt1__true_fold1,4y0mj_4xwsd,1,true_fold1,,0,165,4y0mJ,209,209,1.0,165,0,0.0,exp304_foldswitch,209,ok,9.439,9.439,8.017,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,4y0mj_4xwsd,209,21736,true_fold1:input_fold1,9.767,helico-contacts-msafree-01-step-6000,modal,3,6
4y0mj_4xwsd__gt1__true_fold2,4y0mj_4xwsd,1,true_fold2,,0,174,4y0mJ,209,209,1.0,165,0,0.0,exp304_foldswitch,209,ok,7.588,7.588,6.236,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,4y0mj_4xwsd,209,21736,true_fold2:input_fold1,7.856,helico-contacts-msafree-01-step-6000,modal,3,6
4y0mj_4xwsd__gt1__blind_fold1,4y0mj_4xwsd,1,blind_fold1,root:41,5,209,4y0mJ,209,209,1.0,165,0,0.0,exp304_foldswitch,209,ok,9.285,9.285,8.038,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,4y0mj_4xwsd,209,21736,blind_fold1:input_fold1,9.575,helico-contacts-msafree-01-step-6000,modal,3,6
4y0mj_4xwsd__gt1__blind_fold2,4y0mj_4xwsd,1,blind_fold2,iid:48,11,198,4y0mJ,209,209,1.0,165,0,0.0,exp304_foldswitch,209,ok,7.712,7.712,6.94,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,4y0mj_4xwsd,209,21736,blind_fold2:input_fold1,7.993,helico-contacts-msafree-01-step-6000,modal,3,6
4y0mj_4xwsd__gt2__true_fold1,4y0mj_4xwsd,2,true_fold1,,0,157,4xwsD,194,194,0.9948453608247424,170,0,0.0,exp304_foldswitch,194,ok,8.296,8.296,8.37,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,4y0mj_4xwsd,194,18721,true_fold1:input_fold2,8.569,helico-contacts-msafree-01-step-6000,modal,3,6
4y0mj_4xwsd__gt2__true_fold2,4y0mj_4xwsd,2,true_fold2,,0,170,4xwsD,194,194,0.9948453608247424,170,0,0.0,exp304_foldswitch,194,ok,9.188,9.188,8.017,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,4y0mj_4xwsd,194,18721,true_fold2:input_fold2,9.476,helico-contacts-msafree-01-step-6000,modal,3,6
4y0mj_4xwsd__gt2__blind_fold1,4y0mj_4xwsd,2,blind_fold1,root:41,5,190,4xwsD,194,194,0.9948453608247424,170,0,0.0,exp304_foldswitch,194,ok,8.467,8.467,6.829,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,4y0mj_4xwsd,194,18721,blind_fold1:input_fold2,8.721,helico-contacts-msafree-01-step-6000,modal,3,6
4y0mj_4xwsd__gt2__blind_fold2,4y0mj_4xwsd,2,blind_fold2,iid:48,11,178,4xwsD,194,194,0.9948453608247424,170,0,0.0,exp304_foldswitch,194,ok,8.724,8.724,7.949,NVIDIA H100 80GB HBM3,85.02,9.0,modal,Linux-4.19.0-gvisor-x86_64-with-glibc2.36,2.13.0+cu130,4y0mj_4xwsd,194,18721,blind_fold2:input_fold2,9.014,helico-contacts-msafree-01-step-6000,modal,3,6
