target_id,pair_id,input_fold,variant,candidate_id,shortlist_rank,n_contacts_mapped,fold,observed_residues,mapped_residues,sequence_identity,true_contacts_ca_checked,true_contacts_ca_far,true_contacts_ca_far_fraction,dataset,stem,status,lddt,tm_score,gdt_ts,rmsd,n_matched_atoms,n_contacts,n_tokens,mean_plddt,error
3g0ha_3ewsb__gt2__true_fold1,3g0ha_3ewsb,2,true_fold1,,0,450,3ewsB,405,405,1.0,425,0,0.0,exp304_foldswitch,3g0ha_3ewsb,ok,0.6747456503094282,0.6682474735489089,0.2567901234567901,5.306827846324119,3157,450,405,87.28273010253906,
3g0ha_3ewsb__gt2__true_fold2,3g0ha_3ewsb,2,true_fold2,,0,425,3ewsB,405,405,1.0,425,0,0.0,exp304_foldswitch,3g0ha_3ewsb,ok,0.7965756449211365,0.9376407746434936,0.730246913580247,1.1885643466561333,3157,425,405,88.23628234863281,
3g0ha_3ewsb__gt2__blind_fold1,3g0ha_3ewsb,2,blind_fold1,branch5:61,13,453,3ewsB,405,405,1.0,425,0,0.0,exp304_foldswitch,3g0ha_3ewsb,ok,0.6385197501618082,0.619645679446125,0.1839506172839506,5.659032409685242,3157,453,405,83.58856964111328,
3g0ha_3ewsb__gt2__blind_fold2,3g0ha_3ewsb,2,blind_fold2,branch5:17,7,436,3ewsB,405,405,1.0,425,0,0.0,exp304_foldswitch,3g0ha_3ewsb,ok,0.6712512314956813,0.7045574219500818,0.3148148148148148,5.15025286624047,3157,436,405,82.26053619384766,
3j7wb_3j7vg__gt1__true_fold1,3j7wb_3j7vg,1,true_fold1,,0,192,3j7wB,343,343,1.0,192,0,0.0,exp304_foldswitch,3j7wb_3j7vg,ok,0.6334133162329368,0.7316776547279055,0.2602040816326531,6.6924842514143705,2547,192,343,76.75881958007812,
3j7wb_3j7vg__gt1__true_fold2,3j7wb_3j7vg,1,true_fold2,,0,208,3j7wB,343,343,1.0,192,0,0.0,exp304_foldswitch,3j7wb_3j7vg,ok,0.5842271181451677,0.6633057562483939,0.1574344023323615,8.941460738032843,2547,208,343,80.27400207519531,
3j7wb_3j7vg__gt1__blind_fold1,3j7wb_3j7vg,1,blind_fold1,root:57,14,274,3j7wB,343,343,1.0,192,0,0.0,exp304_foldswitch,3j7wb_3j7vg,ok,0.5441802585033299,0.6346691892347387,0.2594752186588921,8.029449098966595,2547,274,343,71.7290267944336,
3j7wb_3j7vg__gt1__blind_fold2,3j7wb_3j7vg,1,blind_fold2,root:18,10,292,3j7wB,343,343,1.0,192,0,0.0,exp304_foldswitch,3j7wb_3j7vg,ok,0.5240448044404964,0.5630745798414281,0.0925655976676384,10.163905202362232,2547,292,343,76.49747467041016,
3j7wb_3j7vg__gt1__iid_fold1,3j7wb_3j7vg,1,iid_fold1,iid:20,5,285,3j7wB,343,343,1.0,192,0,0.0,exp304_foldswitch,3j7wb_3j7vg,ok,0.495022969897345,0.6509884150300467,0.1319241982507288,11.556877814073772,2547,285,343,67.74378204345703,
3j7wb_3j7vg__gt1__iid_fold2,3j7wb_3j7vg,1,iid_fold2,root:25,1,282,3j7wB,343,343,1.0,192,0,0.0,exp304_foldswitch,3j7wb_3j7vg,ok,0.575370961213988,0.6297248669647526,0.1260932944606414,9.604091886262124,2547,282,343,76.11265563964844,
3j7wb_3j7vg__gt2__true_fold1,3j7wb_3j7vg,2,true_fold1,,0,192,3j7vG,317,317,1.0,208,0,0.0,exp304_foldswitch,3j7wb_3j7vg,ok,0.5248204036144263,0.7407123096995206,0.3872239747634069,3.638625696702091,2374,192,317,82.059814453125,
3j7wb_3j7vg__gt2__true_fold2,3j7wb_3j7vg,2,true_fold2,,0,208,3j7vG,317,317,1.0,208,0,0.0,exp304_foldswitch,3j7wb_3j7vg,ok,0.5664774778545754,0.7612479049577769,0.4479495268138801,3.2421270178266086,2374,208,317,84.11182403564453,
3j7wb_3j7vg__gt2__blind_fold1,3j7wb_3j7vg,2,blind_fold1,root:57,14,265,3j7vG,317,317,1.0,208,0,0.0,exp304_foldswitch,3j7wb_3j7vg,ok,0.4504520649006137,0.6668724779358338,0.278391167192429,5.542764557693974,2374,265,317,76.68650817871094,
3j7wb_3j7vg__gt2__blind_fold2,3j7wb_3j7vg,2,blind_fold2,root:18,10,281,3j7vG,317,317,1.0,208,0,0.0,exp304_foldswitch,3j7wb_3j7vg,ok,0.5077973347006901,0.7149324535400127,0.3682965299684543,4.192670057516436,2374,281,317,78.49669647216797,
3j7wb_3j7vg__gt2__iid_fold1,3j7wb_3j7vg,2,iid_fold1,iid:20,5,267,3j7vG,317,317,1.0,208,0,0.0,exp304_foldswitch,3j7wb_3j7vg,ok,0.4226571370269407,0.621756111283097,0.2634069400630915,5.307640198193787,2374,267,317,74.83167266845703,
3j7wb_3j7vg__gt2__iid_fold2,3j7wb_3j7vg,2,iid_fold2,root:25,1,277,3j7vG,317,317,1.0,208,0,0.0,exp304_foldswitch,3j7wb_3j7vg,ok,0.5332593408433313,0.7674521877706318,0.4471608832807571,3.349428710786833,2374,277,317,78.006591796875,
4y0mj_4xwsd__gt1__true_fold1,4y0mj_4xwsd,1,true_fold1,,0,165,4y0mJ,209,209,1.0,165,0,0.0,exp304_foldswitch,4y0mj_4xwsd,ok,0.7904949689502874,0.9034168141872986,0.7643540669856459,1.2492262834078645,1629,165,209,88.21144104003906,
4y0mj_4xwsd__gt1__true_fold2,4y0mj_4xwsd,1,true_fold2,,0,174,4y0mJ,209,209,1.0,165,0,0.0,exp304_foldswitch,4y0mj_4xwsd,ok,0.7809193703716003,0.9055091375840534,0.7667464114832536,1.2034761464675563,1629,174,209,89.02025604248047,
4y0mj_4xwsd__gt1__blind_fold1,4y0mj_4xwsd,1,blind_fold1,root:41,5,209,4y0mJ,209,209,1.0,165,0,0.0,exp304_foldswitch,4y0mj_4xwsd,ok,0.7286894364560157,0.869733757034771,0.6889952153110047,1.3642785307483851,1629,209,209,84.20649719238281,
4y0mj_4xwsd__gt1__blind_fold2,4y0mj_4xwsd,1,blind_fold2,iid:48,11,198,4y0mJ,209,209,1.0,165,0,0.0,exp304_foldswitch,4y0mj_4xwsd,ok,0.6967314780991598,0.8567220153101117,0.6483253588516746,1.5558034989857925,1629,198,209,85.77545928955078,
4y0mj_4xwsd__gt2__true_fold1,4y0mj_4xwsd,2,true_fold1,,0,157,4xwsD,194,194,0.9948453608247424,170,0,0.0,exp304_foldswitch,4y0mj_4xwsd,ok,0.7979959401296681,0.9123196651963968,0.8028350515463918,1.2037276947761966,1518,157,194,85.68515014648438,
4y0mj_4xwsd__gt2__true_fold2,4y0mj_4xwsd,2,true_fold2,,0,170,4xwsD,194,194,0.9948453608247424,170,0,0.0,exp304_foldswitch,4y0mj_4xwsd,ok,0.8081693046105403,0.9276542276557034,0.8402061855670102,1.011217549774766,1518,170,194,85.13701629638672,
4y0mj_4xwsd__gt2__blind_fold1,4y0mj_4xwsd,2,blind_fold1,root:41,5,190,4xwsD,194,194,0.9948453608247424,170,0,0.0,exp304_foldswitch,4y0mj_4xwsd,ok,0.7069066995149293,0.8366826969789084,0.645618556701031,1.6319560147418144,1518,190,194,82.57807159423828,
4y0mj_4xwsd__gt2__blind_fold2,4y0mj_4xwsd,2,blind_fold2,iid:48,11,178,4xwsD,194,194,0.9948453608247424,170,0,0.0,exp304_foldswitch,4y0mj_4xwsd,ok,0.7133809900398334,0.8724810314920822,0.7061855670103092,1.445718888376844,1518,178,194,85.63044738769531,
