stem,range,cut,predictor,precision
8qup_A,all,R,ESMFold,0.4516129032258064
8qup_A,long,R,ESMFold,0.3888888888888889
8qup_A,all,R,ESMFold2,0.8064516129032258
8qup_A,long,R,ESMFold2,0.8055555555555556
8vc8_A,all,R,ESMFold,0.7619047619047619
8vc8_A,long,R,ESMFold,0.8
8vc8_A,all,R,ESMFold2,0.8503401360544217
8vc8_A,long,R,ESMFold2,0.8421052631578947
8es6_A,all,R,ESMFold,0.7978260869565217
8es6_A,long,R,ESMFold,0.8130081300813008
8es6_A,all,R,ESMFold2,0.8543478260869565
8es6_A,long,R,ESMFold2,0.8644986449864499
8ev4_A,all,R,ESMFold,0.8947368421052632
8ev4_A,long,R,ESMFold,0.8727272727272727
8ev4_A,all,R,ESMFold2,0.9157894736842104
8ev4_A,long,R,ESMFold2,0.8909090909090909
8ew1_A,all,R,ESMFold,0.8016528925619835
8ew1_A,long,R,ESMFold,0.7894736842105263
8ew1_A,all,R,ESMFold2,0.8705234159779615
8ew1_A,long,R,ESMFold2,0.868421052631579
8ew9_A,all,R,ESMFold,0.8138528138528138
8ew9_A,long,R,ESMFold,0.8109756097560976
8ew9_A,all,R,ESMFold2,0.7792207792207793
8ew9_A,long,R,ESMFold2,0.7621951219512195
8ey3_A,all,R,ESMFold,0.8717948717948718
8ey3_A,long,R,ESMFold,1.0
8ey3_A,all,R,ESMFold2,0.8974358974358975
8ey3_A,long,R,ESMFold2,0.8
8ez6_A,all,R,ESMFold,0.8571428571428571
8ez6_A,long,R,ESMFold,0.8571428571428571
8ez6_A,all,R,ESMFold2,0.9285714285714286
8ez6_A,long,R,ESMFold2,0.9047619047619048
8ezw_A,all,R,ESMFold,0.8389830508474576
8ezw_A,long,R,ESMFold,0.8375
8ezw_A,all,R,ESMFold2,0.7966101694915254
8ezw_A,long,R,ESMFold2,0.8
8f8n_A,all,R,ESMFold,0.7798165137614679
8f8n_A,long,R,ESMFold,0.7764705882352941
8f8n_A,all,R,ESMFold2,0.7614678899082569
8f8n_A,long,R,ESMFold2,0.7529411764705882
8f9o_A,all,R,ESMFold,0.8694915254237288
8f9o_A,long,R,ESMFold,0.8574766355140186
8f9o_A,all,R,ESMFold2,0.8983050847457628
8f9o_A,long,R,ESMFold2,0.8901869158878505
8fbc_A,all,R,ESMFold,0.7934272300469484
8fbc_A,long,R,ESMFold,0.7904761904761904
8fbc_A,all,R,ESMFold2,0.8075117370892019
8fbc_A,long,R,ESMFold2,0.8
8jjq_A,all,R,ESMFold,0.8092485549132948
8jjq_A,long,R,ESMFold,0.8104838709677419
8jjq_A,all,R,ESMFold2,0.8641618497109826
8jjq_A,long,R,ESMFold2,0.8669354838709677
8fr5_A,all,R,ESMFold,0.8333333333333334
8fr5_A,long,R,ESMFold,0.7884615384615384
8fr5_A,all,R,ESMFold2,0.8333333333333334
8fr5_A,long,R,ESMFold2,0.8076923076923077
8fty_A,all,R,ESMFold,0.8657487091222031
8fty_A,long,R,ESMFold,0.8463541666666666
8fty_A,all,R,ESMFold2,0.8795180722891566
8fty_A,long,R,ESMFold2,0.8723958333333334
8h2f_A,all,R,ESMFold,0.8823529411764706
8h2f_A,long,R,ESMFold,0.88
8h2f_A,all,R,ESMFold2,0.8983957219251337
8h2f_A,long,R,ESMFold2,0.904
8fz8_A,all,R,ESMFold,0.7683923705722071
8fz8_A,long,R,ESMFold,0.7818181818181819
8fz8_A,all,R,ESMFold2,0.8092643051771117
8fz8_A,long,R,ESMFold2,0.8181818181818182
8fz9_A,all,R,ESMFold,0.7553956834532374
8fz9_A,long,R,ESMFold,0.7448979591836735
8fz9_A,all,R,ESMFold2,0.7697841726618705
8fz9_A,long,R,ESMFold2,0.7551020408163265
8g0n_A,all,R,ESMFold,0.8745247148288974
8g0n_A,long,R,ESMFold,0.8605769230769231
8g0n_A,all,R,ESMFold2,0.8897338403041825
8g0n_A,long,R,ESMFold2,0.8846153846153846
8g1l_A,all,R,ESMFold,0.7090909090909091
8g1l_A,long,R,ESMFold,0.7043010752688172
8g1l_A,all,R,ESMFold2,0.5745454545454546
8g1l_A,long,R,ESMFold2,0.6021505376344086
8g1y_A,all,R,ESMFold,0.8277310924369747
8g1y_A,long,R,ESMFold,0.8426966292134831
8g1y_A,all,R,ESMFold2,0.8256302521008403
8g1y_A,long,R,ESMFold2,0.8230337078651685
8g32_A,all,R,ESMFold,0.6268656716417911
8g32_A,long,R,ESMFold,0.583969465648855
8g32_A,all,R,ESMFold2,0.6477611940298508
8g32_A,long,R,ESMFold2,0.6183206106870229
8g52_A,all,R,ESMFold,0.87109375
8g52_A,long,R,ESMFold,0.8742857142857143
8g52_A,all,R,ESMFold2,0.8984375
8g52_A,long,R,ESMFold2,0.8971428571428571
8g53_A,all,R,ESMFold,0.8466666666666667
8g53_A,long,R,ESMFold,0.8295454545454546
8g53_A,all,R,ESMFold2,0.8866666666666667
8g53_A,long,R,ESMFold2,0.875
8g5u_A,all,R,ESMFold,0.8
8g5u_A,long,R,ESMFold,0.7883211678832117
8g5u_A,all,R,ESMFold2,0.8635514018691589
8g5u_A,long,R,ESMFold2,0.8564476885644768
8g64_A,all,R,ESMFold,0.8466666666666667
8g64_A,long,R,ESMFold,0.8728813559322034
8g64_A,all,R,ESMFold2,0.9133333333333332
8g64_A,long,R,ESMFold2,0.9322033898305084
8gdl_A,all,R,ESMFold,0.8065326633165829
8gdl_A,long,R,ESMFold,0.788961038961039
8gdl_A,all,R,ESMFold2,0.8115577889447236
8gdl_A,long,R,ESMFold2,0.8051948051948052
8gj9_A,all,R,ESMFold,0.75
8gj9_A,long,R,ESMFold,0.7647058823529411
8gj9_A,all,R,ESMFold2,0.8333333333333334
8gj9_A,long,R,ESMFold2,0.8235294117647058
8gjw_A,all,R,ESMFold,0.8427230046948356
8gjw_A,long,R,ESMFold,0.8283828382838284
8gjw_A,all,R,ESMFold2,0.8403755868544601
8gjw_A,long,R,ESMFold2,0.8250825082508251
8gjy_A,all,R,ESMFold,0.7683215130023641
8gjy_A,long,R,ESMFold,0.7483660130718954
8gjy_A,all,R,ESMFold2,0.7919621749408984
8gjy_A,long,R,ESMFold2,0.7810457516339869
8gkd_A,all,R,ESMFold,0.8483516483516483
8gkd_A,long,R,ESMFold,0.8357771260997068
8gkd_A,all,R,ESMFold2,0.8835164835164835
8gkd_A,long,R,ESMFold2,0.8914956011730205
8gok_A,all,R,ESMFold,0.5401459854014599
8gok_A,long,R,ESMFold,0.4916201117318435
8gok_A,all,R,ESMFold2,0.6167883211678832
8gok_A,long,R,ESMFold2,0.5977653631284916
8gr7_A,all,R,ESMFold,0.8735955056179775
8gr7_A,long,R,ESMFold,0.8776978417266187
8gr7_A,all,R,ESMFold2,0.898876404494382
8gr7_A,long,R,ESMFold2,0.8992805755395683
8gqq_A,all,R,ESMFold,0.8282828282828283
8gqq_A,long,R,ESMFold,0.76
8gqq_A,all,R,ESMFold2,0.8686868686868687
8gqq_A,long,R,ESMFold2,0.86
8gtz_A,all,R,ESMFold,0.8283898305084746
8gtz_A,long,R,ESMFold,0.8318318318318318
8gtz_A,all,R,ESMFold2,0.836864406779661
8gtz_A,long,R,ESMFold2,0.8408408408408409
8h02_A,all,R,ESMFold,0.9074074074074074
8h02_A,long,R,ESMFold,0.90625
8h02_A,all,R,ESMFold2,0.8703703703703703
8h02_A,long,R,ESMFold2,0.84375
8h5s_A,all,R,ESMFold,0.806282722513089
8h5s_A,long,R,ESMFold,0.7606837606837606
8h5s_A,all,R,ESMFold2,0.8429319371727748
8h5s_A,long,R,ESMFold2,0.8205128205128205
8hbt_A,all,R,ESMFold,0.783157894736842
8hbt_A,long,R,ESMFold,0.7831632653061225
8hbt_A,all,R,ESMFold2,0.7936842105263158
8hbt_A,long,R,ESMFold2,0.7933673469387755
8hd2_A,all,R,ESMFold,0.8465753424657534
8hd2_A,long,R,ESMFold,0.8455598455598455
8hd2_A,all,R,ESMFold2,0.8904109589041096
8hd2_A,long,R,ESMFold2,0.8803088803088803
8he1_A,all,R,ESMFold,0.8888888888888888
8he1_A,long,R,ESMFold,0.8917525773195877
8he1_A,all,R,ESMFold2,0.9087301587301588
8he1_A,long,R,ESMFold2,0.9175257731958762
8axs_A,all,R,ESMFold,0.6717451523545707
8axs_A,long,R,ESMFold,0.6385809312638581
8axs_A,all,R,ESMFold2,0.8005540166204986
8axs_A,long,R,ESMFold2,0.7760532150776053
8hnq_A,all,R,ESMFold,0.8464052287581699
8hnq_A,long,R,ESMFold,0.8355555555555556
8hnq_A,all,R,ESMFold2,0.8856209150326797
8hnq_A,long,R,ESMFold2,0.8755555555555555
8hvd_A,all,R,ESMFold,0.8579465541490858
8hvd_A,long,R,ESMFold,0.8557504873294347
8hvd_A,all,R,ESMFold2,0.8438818565400844
8hvd_A,long,R,ESMFold2,0.8362573099415205
7xhz_A,all,R,ESMFold,0.726457399103139
7xhz_A,long,R,ESMFold,0.7450980392156863
7xhz_A,all,R,ESMFold2,0.7533632286995515
7xhz_A,long,R,ESMFold2,0.7516339869281046
8hw8_A,all,R,ESMFold,0.8895027624309392
8hw8_A,long,R,ESMFold,0.89272030651341
8hw8_A,all,R,ESMFold2,0.9088397790055248
8hw8_A,long,R,ESMFold2,0.9118773946360154
8hxs_A,all,R,ESMFold,0.8333333333333334
8hxs_A,long,R,ESMFold,0.8656716417910447
8hxs_A,all,R,ESMFold2,0.8421052631578947
8hxs_A,long,R,ESMFold2,0.8955223880597015
8ii8_A,all,R,ESMFold,0.3550724637681159
8ii8_A,long,R,ESMFold,0.2972972972972973
8ii8_A,all,R,ESMFold2,0.4927536231884058
8ii8_A,long,R,ESMFold2,0.4504504504504504
8ikx_A,all,R,ESMFold,0.8211764705882353
8ikx_A,long,R,ESMFold,0.821875
8ikx_A,all,R,ESMFold2,0.8376470588235294
8ikx_A,long,R,ESMFold2,0.834375
8irq_A,all,R,ESMFold,0.8731343283582089
8irq_A,long,R,ESMFold,0.8760330578512396
8irq_A,all,R,ESMFold2,0.8432835820895522
8irq_A,long,R,ESMFold2,0.8677685950413223
8iym_A,all,R,ESMFold,0.8580246913580247
8iym_A,long,R,ESMFold,0.875
8iym_A,all,R,ESMFold2,0.8148148148148148
8iym_A,long,R,ESMFold2,0.8303571428571429
8j2n_A,all,R,ESMFold,0.8682170542635659
8j2n_A,long,R,ESMFold,0.8585365853658536
8j2n_A,all,R,ESMFold2,0.8875968992248062
8j2n_A,long,R,ESMFold2,0.8829268292682927
8j2x_A,all,R,ESMFold,0.8138528138528138
8j2x_A,long,R,ESMFold,0.8181818181818182
8j2x_A,all,R,ESMFold2,0.8354978354978355
8j2x_A,long,R,ESMFold2,0.8409090909090909
8jb3_A,all,R,ESMFold,0.7571428571428571
8jb3_A,long,R,ESMFold,0.7474048442906575
8jb3_A,all,R,ESMFold2,0.8714285714285714
8jb3_A,long,R,ESMFold2,0.8754325259515571
7wr2_A,all,R,ESMFold,0.8308823529411765
7wr2_A,long,R,ESMFold,0.8275862068965517
7wr2_A,all,R,ESMFold2,0.8161764705882353
7wr2_A,long,R,ESMFold2,0.7816091954022989
8j8y_A,all,R,ESMFold,0.6041666666666666
8j8y_A,long,R,ESMFold,0.6176470588235294
8j8y_A,all,R,ESMFold2,0.84375
8j8y_A,long,R,ESMFold2,0.8382352941176471
8j9r_A,all,R,ESMFold,0.6862745098039216
8j9r_A,long,R,ESMFold,0.6333333333333333
8j9r_A,all,R,ESMFold2,0.7647058823529411
8j9r_A,long,R,ESMFold2,0.7666666666666667
8jdg_A,all,R,ESMFold,0.8596491228070176
8jdg_A,long,R,ESMFold,0.8404255319148937
8jdg_A,all,R,ESMFold2,0.8521303258145363
8jdg_A,long,R,ESMFold2,0.8226950354609929
8jh8_A,all,R,ESMFold,0.8406374501992032
8jh8_A,long,R,ESMFold,0.8469945355191257
8jh8_A,all,R,ESMFold2,0.9083665338645418
8jh8_A,long,R,ESMFold2,0.918032786885246
8jiy_A,all,R,ESMFold,0.6516393442622951
8jiy_A,long,R,ESMFold,0.6395939086294417
8jiy_A,all,R,ESMFold2,0.6680327868852459
8jiy_A,long,R,ESMFold2,0.6649746192893401
8jmy_A,all,R,ESMFold,0.8823529411764706
8jmy_A,long,R,ESMFold,0.8648648648648649
8jmy_A,all,R,ESMFold2,0.9243697478991596
8jmy_A,long,R,ESMFold2,0.918918918918919
8jn0_A,all,R,ESMFold,0.9278350515463918
8jn0_A,long,R,ESMFold,0.9074074074074074
8jn0_A,all,R,ESMFold2,0.8556701030927835
8jn0_A,long,R,ESMFold2,0.8518518518518519
8jup_A,all,R,ESMFold,0.7565217391304347
8jup_A,long,R,ESMFold,0.7668711656441718
8jup_A,all,R,ESMFold2,0.7608695652173914
8jup_A,long,R,ESMFold2,0.7852760736196319
8jv2_A,all,R,ESMFold,0.8654822335025381
8jv2_A,long,R,ESMFold,0.8692579505300353
8jv2_A,all,R,ESMFold2,0.8730964467005076
8jv2_A,long,R,ESMFold2,0.8869257950530035
8jws_A,all,R,ESMFold,0.8425925925925926
8jws_A,long,R,ESMFold,0.82
8jws_A,all,R,ESMFold2,0.8888888888888888
8jws_A,long,R,ESMFold2,0.9
8cjd_A,all,R,ESMFold,0.4671717171717172
8cjd_A,long,R,ESMFold,0.4037162162162162
8cjd_A,all,R,ESMFold2,0.5303030303030303
8cjd_A,long,R,ESMFold2,0.4814189189189189
8k2g_A,all,R,ESMFold,0.7928221859706363
8k2g_A,long,R,ESMFold,0.7948717948717948
8k2g_A,all,R,ESMFold2,0.8548123980424144
8k2g_A,long,R,ESMFold2,0.8525641025641025
8k2k_A,all,R,ESMFold,0.8744257274119449
8k2k_A,long,R,ESMFold,0.8695652173913043
8k2k_A,all,R,ESMFold2,0.892802450229709
8k2k_A,long,R,ESMFold2,0.8853754940711462
8k2m_A,all,R,ESMFold,0.8431061806656102
8k2m_A,long,R,ESMFold,0.8371134020618557
8k2m_A,all,R,ESMFold2,0.9001584786053882
8k2m_A,long,R,ESMFold2,0.8969072164948454
8k4m_A,all,R,ESMFold,0.0840336134453781
8k4m_A,long,R,ESMFold,0.0675675675675675
8k4m_A,all,R,ESMFold2,0.1680672268907563
8k4m_A,long,R,ESMFold2,0.1351351351351351
8k5j_A,all,R,ESMFold,0.7649572649572649
8k5j_A,long,R,ESMFold,0.767379679144385
8k5j_A,all,R,ESMFold2,0.844017094017094
8k5j_A,long,R,ESMFold2,0.8449197860962567
8k7x_A,all,R,ESMFold,0.7359249329758714
8k7x_A,long,R,ESMFold,0.7540983606557377
8k7x_A,all,R,ESMFold2,0.806970509383378
8k7x_A,long,R,ESMFold2,0.8051001821493625
8kg4_A,all,R,ESMFold,0.9074074074074074
8kg4_A,long,R,ESMFold,0.890625
8kg4_A,all,R,ESMFold2,0.8925925925925926
8kg4_A,long,R,ESMFold2,0.8854166666666666
8xrh_A,all,R,ESMFold,0.7069408740359897
8xrh_A,long,R,ESMFold,0.7147887323943662
8xrh_A,all,R,ESMFold2,0.7763496143958869
8xrh_A,long,R,ESMFold2,0.7852112676056338
8khv_A,all,R,ESMFold,0.8513513513513513
8khv_A,long,R,ESMFold,0.8378947368421052
8khv_A,all,R,ESMFold2,0.8858858858858859
8khv_A,long,R,ESMFold2,0.88
8kih_A,all,R,ESMFold,0.8280701754385965
8kih_A,long,R,ESMFold,0.8309859154929577
8kih_A,all,R,ESMFold2,0.8105263157894737
8kih_A,long,R,ESMFold2,0.812206572769953
8ok3_A,all,R,ESMFold,0.7043478260869566
8ok3_A,long,R,ESMFold,0.7142857142857143
8ok3_A,all,R,ESMFold2,0.8782608695652174
8ok3_A,long,R,ESMFold2,0.8901098901098901
8oqh_A,all,R,ESMFold,0.8873239436619719
8oqh_A,long,R,ESMFold,0.9230769230769232
8oqh_A,all,R,ESMFold2,0.8732394366197183
8oqh_A,long,R,ESMFold2,0.9230769230769232
8ork_A,all,R,ESMFold,0.7093596059113301
8ork_A,long,R,ESMFold,0.7208588957055214
8ork_A,all,R,ESMFold2,0.7315270935960592
8ork_A,long,R,ESMFold2,0.7392638036809815
8os2_A,all,R,ESMFold,0.7870370370370371
8os2_A,long,R,ESMFold,0.8059701492537313
8os2_A,all,R,ESMFold2,0.8148148148148148
8os2_A,long,R,ESMFold2,0.835820895522388
8owf_A,all,R,ESMFold,0.7480798771121352
8owf_A,long,R,ESMFold,0.7505112474437627
8owf_A,all,R,ESMFold2,0.8894009216589862
8owf_A,long,R,ESMFold2,0.8997955010224948
8osz_A,all,R,ESMFold,0.8345588235294118
8osz_A,long,R,ESMFold,0.7908496732026143
8osz_A,all,R,ESMFold2,0.8419117647058824
8osz_A,long,R,ESMFold2,0.8235294117647058
8ovu_A,all,R,ESMFold,0.8024691358024691
8ovu_A,long,R,ESMFold,0.8108108108108109
8ovu_A,all,R,ESMFold2,0.8271604938271605
8ovu_A,long,R,ESMFold2,0.8108108108108109
8oxk_A,all,R,ESMFold,0.5052631578947369
8oxk_A,long,R,ESMFold,0.4318181818181818
8oxk_A,all,R,ESMFold2,0.9052631578947368
8oxk_A,long,R,ESMFold2,0.8863636363636364
8oxl_A,all,R,ESMFold,0.2551020408163265
8oxl_A,long,R,ESMFold,0.1063829787234042
8oxl_A,all,R,ESMFold2,0.5714285714285714
8oxl_A,long,R,ESMFold2,0.3617021276595745
8p2a_A,all,R,ESMFold,0.8936170212765957
8p2a_A,long,R,ESMFold,0.8
8p2a_A,all,R,ESMFold2,0.851063829787234
8p2a_A,long,R,ESMFold2,0.8
8p5p_A,all,R,ESMFold,0.9083333333333332
8p5p_A,long,R,ESMFold,0.8846153846153846
8p5p_A,all,R,ESMFold2,0.925
8p5p_A,long,R,ESMFold2,0.9230769230769232
8p5n_A,all,R,ESMFold,0.7703703703703704
8p5n_A,long,R,ESMFold,0.7755102040816326
8p5n_A,all,R,ESMFold2,0.7703703703703704
8p5n_A,long,R,ESMFold2,0.7959183673469388
7wu8_A,all,R,ESMFold,0.8148148148148148
7wu8_A,long,R,ESMFold,0.7666666666666667
7wu8_A,all,R,ESMFold2,0.8148148148148148
7wu8_A,long,R,ESMFold2,0.8
8pak_A,all,R,ESMFold,0.7793696275071633
8pak_A,long,R,ESMFold,0.7915057915057915
8pak_A,all,R,ESMFold2,0.8137535816618912
8pak_A,long,R,ESMFold2,0.8301158301158301
8paq_A,all,R,ESMFold,0.4952380952380952
8paq_A,long,R,ESMFold,0.4814814814814814
8paq_A,all,R,ESMFold2,0.8666666666666667
8paq_A,long,R,ESMFold2,0.8518518518518519
8pb5_A,all,R,ESMFold,0.8477011494252874
8pb5_A,long,R,ESMFold,0.8521400778210116
8pb5_A,all,R,ESMFold2,0.8362068965517241
8pb5_A,long,R,ESMFold2,0.8249027237354085
8por_A,all,R,ESMFold,0.7297297297297297
8por_A,long,R,ESMFold,0.7108433734939759
8por_A,all,R,ESMFold2,0.7972972972972973
8por_A,long,R,ESMFold2,0.7831325301204819
8ptd_A,all,R,ESMFold,0.8349056603773585
8ptd_A,long,R,ESMFold,0.7869565217391304
8ptd_A,all,R,ESMFold2,0.8867924528301887
8ptd_A,long,R,ESMFold2,0.8695652173913043
8pu2_A,all,R,ESMFold,0.2765957446808511
8pu2_A,long,R,ESMFold,0.0769230769230769
8pu2_A,all,R,ESMFold2,0.7659574468085106
8pu2_A,long,R,ESMFold2,0.7307692307692307
8pvs_A,all,R,ESMFold,0.8248175182481752
8pvs_A,long,R,ESMFold,0.810958904109589
8pvs_A,all,R,ESMFold2,0.8748696558915537
8pvs_A,long,R,ESMFold2,0.8671232876712329
8pw2_A,all,R,ESMFold,0.875
8pw2_A,long,R,ESMFold,0.7916666666666666
8pw2_A,all,R,ESMFold2,0.8541666666666666
8pw2_A,long,R,ESMFold2,0.7916666666666666
8pxc_A,all,R,ESMFold,0.7937743190661478
8pxc_A,long,R,ESMFold,0.7989130434782609
8pxc_A,all,R,ESMFold2,0.7976653696498055
8pxc_A,long,R,ESMFold2,0.8206521739130435
8pxu_A,all,R,ESMFold,0.8211488250652742
8pxu_A,long,R,ESMFold,0.8096026490066225
8pxu_A,all,R,ESMFold2,0.8772845953002611
8pxu_A,long,R,ESMFold2,0.8741721854304636
8q1v_A,all,R,ESMFold,0.7083333333333334
8q1v_A,long,R,ESMFold,0.7333333333333333
8q1v_A,all,R,ESMFold2,0.7083333333333334
8q1v_A,long,R,ESMFold2,0.7333333333333333
8qb1_A,all,R,ESMFold,0.7763157894736842
8qb1_A,long,R,ESMFold,0.6333333333333333
8qb1_A,all,R,ESMFold2,0.7763157894736842
8qb1_A,long,R,ESMFold2,0.6666666666666666
8qd8_A,all,R,ESMFold,0.7923728813559322
8qd8_A,long,R,ESMFold,0.782991202346041
8qd8_A,all,R,ESMFold2,0.885593220338983
8qd8_A,long,R,ESMFold2,0.8797653958944281
8qjp_A,all,R,ESMFold,0.834061135371179
8qjp_A,long,R,ESMFold,0.8287292817679558
8qjp_A,all,R,ESMFold2,0.8820960698689956
8qjp_A,long,R,ESMFold2,0.8950276243093923
8qlc_A,all,R,ESMFold,0.8437978560490046
8qlc_A,long,R,ESMFold,0.8435517970401691
8qlc_A,all,R,ESMFold2,0.8637059724349158
8qlc_A,long,R,ESMFold2,0.8731501057082452
8qoh_A,all,R,ESMFold,0.4360902255639097
8qoh_A,long,R,ESMFold,0.4
8qoh_A,all,R,ESMFold2,0.6691729323308271
8qoh_A,long,R,ESMFold2,0.6878048780487804
8qpj_A,all,R,ESMFold,0.7142857142857143
8qpj_A,long,R,ESMFold,0.7241379310344828
8qpj_A,all,R,ESMFold2,0.8061224489795918
8qpj_A,long,R,ESMFold2,0.8189655172413793
8qq1_A,all,R,ESMFold,0.8565573770491803
8qq1_A,long,R,ESMFold,0.8516483516483516
8qq1_A,all,R,ESMFold2,0.8483606557377049
8qq1_A,long,R,ESMFold2,0.8296703296703297
8qle_A,all,R,ESMFold,0.8208333333333333
8qle_A,long,R,ESMFold,0.8367346938775511
8qle_A,all,R,ESMFold2,0.8208333333333333
8qle_A,long,R,ESMFold2,0.8469387755102041
8qx6_A,all,R,ESMFold,0.856353591160221
8qx6_A,long,R,ESMFold,0.849624060150376
8qx6_A,all,R,ESMFold2,0.856353591160221
8qx6_A,long,R,ESMFold2,0.8646616541353384
8r2c_A,all,R,ESMFold,0.6630434782608695
8r2c_A,long,R,ESMFold,0.6554621848739496
8r2c_A,all,R,ESMFold2,0.875
8r2c_A,long,R,ESMFold2,0.865546218487395
8r5n_A,all,R,ESMFold,0.8756756756756757
8r5n_A,long,R,ESMFold,0.8387096774193549
8r5n_A,all,R,ESMFold2,0.9135135135135136
8r5n_A,long,R,ESMFold2,0.913978494623656
8ra0_A,all,R,ESMFold,0.8141414141414142
8ra0_A,long,R,ESMFold,0.8017751479289941
8ra0_A,all,R,ESMFold2,0.8383838383838383
8ra0_A,long,R,ESMFold2,0.8195266272189349
8rcw_A,all,R,ESMFold,0.8472906403940886
8rcw_A,long,R,ESMFold,0.8181818181818182
8rcw_A,all,R,ESMFold2,0.8472906403940886
8rcw_A,long,R,ESMFold2,0.8251748251748252
8rdd_A,all,R,ESMFold,0.8141025641025641
8rdd_A,long,R,ESMFold,0.825
8rdd_A,all,R,ESMFold2,0.8717948717948718
8rdd_A,long,R,ESMFold2,0.8833333333333333
8re3_A,all,R,ESMFold,0.796078431372549
8re3_A,long,R,ESMFold,0.7989556135770235
8re3_A,all,R,ESMFold2,0.8450980392156863
8re3_A,long,R,ESMFold2,0.8407310704960835
8rom_A,all,R,ESMFold,0.8611111111111112
8rom_A,long,R,ESMFold,0.8740740740740741
8rom_A,all,R,ESMFold2,0.8555555555555555
8rom_A,long,R,ESMFold2,0.8666666666666667
8an4_A,all,R,ESMFold,0.8081395348837209
8an4_A,long,R,ESMFold,0.7815126050420168
8an4_A,all,R,ESMFold2,0.7848837209302325
8an4_A,long,R,ESMFold2,0.7563025210084033
8s5b_A,all,R,ESMFold,0.8673218673218673
8s5b_A,long,R,ESMFold,0.8592057761732852
8s5b_A,all,R,ESMFold2,0.8869778869778869
8s5b_A,long,R,ESMFold2,0.8808664259927798
8s9l_A,all,R,ESMFold,0.7736625514403292
8s9l_A,long,R,ESMFold,0.75
8s9l_A,all,R,ESMFold2,0.8189300411522634
8s9l_A,long,R,ESMFold2,0.7738095238095238
8sot_A,all,R,ESMFold,0.8539325842696629
8sot_A,long,R,ESMFold,0.8181818181818182
8sot_A,all,R,ESMFold2,0.8089887640449438
8sot_A,long,R,ESMFold2,0.7636363636363637
8spc_A,all,R,ESMFold,0.8409785932721713
8spc_A,long,R,ESMFold,0.8514056224899599
8spc_A,all,R,ESMFold2,0.8623853211009175
8spc_A,long,R,ESMFold2,0.8674698795180723
8suc_A,all,R,ESMFold,0.7992565055762082
8suc_A,long,R,ESMFold,0.7068965517241379
8suc_A,all,R,ESMFold2,0.8029739776951673
8suc_A,long,R,ESMFold2,0.7327586206896551
8sv7_A,all,R,ESMFold,0.8776223776223776
8sv7_A,long,R,ESMFold,0.8858695652173914
8sv7_A,all,R,ESMFold2,0.8776223776223776
8sv7_A,long,R,ESMFold2,0.8858695652173914
