query,target,qtmscore,ttmscore,qcov,tcov,evalue,stem,min_tm,reference_split
proteina-708d1feb0816da377a1d,A0A1J7CD45,5.670E-01,5.693E-01,0.957,0.887,5.397E-01,proteina-708d1feb0816da377a1d,0.567,train
proteina-9457e9a97fd8277ba214,A0A7V1P2X6,5.358E-01,5.505E-01,0.988,0.969,5.261E-01,proteina-9457e9a97fd8277ba214,0.5358,train
proteina-220a20fd044aa9cc3f85,A0A0S7Y369,5.207E-01,5.163E-01,0.995,0.901,4.946E-01,proteina-220a20fd044aa9cc3f85,0.5163,train
proteina-80a135014b75ee84514e,F2JQ64,4.170E-01,4.255E-01,0.645,0.852,4.082E-01,proteina-80a135014b75ee84514e,0.417,train
proteina-b12f0e37c9b3748b2cde,A0A0S2K0C5,4.291E-01,4.308E-01,0.810,0.879,4.053E-01,proteina-b12f0e37c9b3748b2cde,0.4291,train
proteina-24a6ff00fc989eedfc67,E1ZS62,8.253E-01,8.014E-01,1.000,0.930,7.943E-01,proteina-24a6ff00fc989eedfc67,0.8014,train
proteina-442a6992b88432d19788,A0A2P6V6E6,7.203E-01,6.874E-01,1.000,0.979,6.869E-01,proteina-442a6992b88432d19788,0.6874,train
proteina-00b4bb872d2b195e8f4c,A0A7C2XLN4,6.445E-01,7.647E-01,1.000,0.991,6.914E-01,proteina-00b4bb872d2b195e8f4c,0.6445,train
proteina-be9932922cb91a25b1a4,A0A7X7KDW0,6.842E-01,6.796E-01,0.975,0.938,6.640E-01,proteina-be9932922cb91a25b1a4,0.6796,train
proteina-74ebfffe184f15d423cd,A0A1G3PHP9,6.428E-01,6.127E-01,0.947,0.905,6.096E-01,proteina-74ebfffe184f15d423cd,0.6127,train
proteina-1c446aaa2ea711ff96d0,A0A7C3JN17,5.384E-01,5.794E-01,0.940,0.946,5.399E-01,proteina-1c446aaa2ea711ff96d0,0.5384,train
proteina-3389d287ae00910e0c0c,A0A426TVI4,8.023E-01,7.434E-01,0.967,0.853,7.589E-01,proteina-3389d287ae00910e0c0c,0.7434,train
proteina-8783a542da3afe9294d4,A0A3T1B5G2,5.292E-01,6.724E-01,0.957,1.000,5.723E-01,proteina-8783a542da3afe9294d4,0.5292,train
proteina-7c4326b76a0f1dcd4857,A0A846Q649,4.346E-01,4.188E-01,0.975,0.945,3.986E-01,proteina-7c4326b76a0f1dcd4857,0.4188,train
proteina-67669e91d3807101c02b,A0A6A6Z6E6,6.238E-01,6.395E-01,0.993,0.972,6.127E-01,proteina-67669e91d3807101c02b,0.6238,train
proteina-6e341fbeb6a6e56dadbc,V8CDK6,5.679E-01,5.484E-01,0.955,0.853,5.411E-01,proteina-6e341fbeb6a6e56dadbc,0.5484,train
proteina-6421c7ab556ec90937cc,A0A1G0GBF6,4.182E-01,5.685E-01,0.660,0.979,4.776E-01,proteina-6421c7ab556ec90937cc,0.4182,train
proteina-5e7c4393ef291af10e42,A0A4V3VL12,8.032E-01,8.851E-01,0.957,0.986,8.373E-01,proteina-5e7c4393ef291af10e42,0.8032,train
proteina-1817016ebf1231369e72,A0A1V3C9R6,3.937E-01,4.568E-01,0.870,0.985,4.026E-01,proteina-1817016ebf1231369e72,0.3937,train
proteina-e2d28ddddbee477acbda,A0A2V9RPT7,8.016E-01,8.251E-01,0.967,0.930,8.016E-01,proteina-e2d28ddddbee477acbda,0.8016,train
proteina-a584502173aa1ae4ff69,S3CPI2,7.430E-01,7.003E-01,0.998,0.885,7.029E-01,proteina-a584502173aa1ae4ff69,0.7003,train
proteina-14c363588514c5aa7d6c,A0A2E9IJR0,9.228E-01,7.819E-01,0.980,0.859,8.437E-01,proteina-14c363588514c5aa7d6c,0.7819,train
proteina-258dbf9c0935f96fe668,A0A3C0XH89,4.213E-01,4.956E-01,0.765,0.658,4.438E-01,proteina-258dbf9c0935f96fe668,0.4213,train
proteina-25eec4205501314310df,A0A3D4WRE8,5.077E-01,5.309E-01,0.915,0.937,5.013E-01,proteina-25eec4205501314310df,0.5077,train
proteina-4484f8d83d4a5ce301aa,A0A0G2AWE6,4.307E-01,4.662E-01,0.890,0.813,4.266E-01,proteina-4484f8d83d4a5ce301aa,0.4307,train
proteina-1ee317acde7300d00d32,A0A818JBZ5,8.386E-01,9.160E-01,0.995,0.981,8.680E-01,proteina-1ee317acde7300d00d32,0.8386,train
proteina-589b80e2a74ad19900b1,A0A2Z6UA77,7.248E-01,8.159E-01,0.905,0.980,7.584E-01,proteina-589b80e2a74ad19900b1,0.7248,train
proteina-416736fdef60f6ed818c,A0A4V3VL12,7.576E-01,8.353E-01,0.868,0.862,7.918E-01,proteina-416736fdef60f6ed818c,0.7576,train
proteina-652c13eeef602c8b7afb,A0A6G2CH26,6.466E-01,6.341E-01,0.918,0.922,6.177E-01,proteina-652c13eeef602c8b7afb,0.6341,train
proteina-4641f7de651cec113827,A0A317IMJ3,5.307E-01,6.243E-01,0.817,0.997,5.580E-01,proteina-4641f7de651cec113827,0.5307,train
proteina-d5b1f3b3150a5e2b18b4,A0A853QYG1,4.119E-01,4.563E-01,0.848,0.805,4.124E-01,proteina-d5b1f3b3150a5e2b18b4,0.4119,train
proteina-bf9c11c7fcc5050977be,A0A7W9HHV0,7.996E-01,8.236E-01,0.988,0.987,8.045E-01,proteina-bf9c11c7fcc5050977be,0.7996,train
proteina-97dfe05174882b40a2b0,A0A815GUR2,8.153E-01,7.914E-01,0.990,1.000,7.898E-01,proteina-97dfe05174882b40a2b0,0.7914,train
proteina-69e7edf3b87992f60023,A0A1Q9TK81,5.041E-01,5.391E-01,1.000,0.848,4.930E-01,proteina-69e7edf3b87992f60023,0.5041,train
proteina-3cb9f6c20fb9af208868,A0A1I7TR04,6.050E-01,5.929E-01,0.865,0.800,5.852E-01,proteina-3cb9f6c20fb9af208868,0.5929,train
proteina-ffa32d73cddc6e7509b3,E1ZS62,7.134E-01,6.928E-01,1.000,0.809,6.861E-01,proteina-ffa32d73cddc6e7509b3,0.6928,train
proteina-545433a4d45946d27430,E1ZS62,8.169E-01,7.926E-01,1.000,0.884,7.916E-01,proteina-545433a4d45946d27430,0.7926,train
proteina-4649dd1a76c5f51ebd06,A0A831UCJ1,5.011E-01,5.731E-01,0.940,0.971,5.201E-01,proteina-4649dd1a76c5f51ebd06,0.5011,train
proteina-8e284caf8e09632dc87a,A0A2N2GZQ6,5.166E-01,5.092E-01,0.765,0.946,5.011E-01,proteina-8e284caf8e09632dc87a,0.5092,train
proteina-546747abbe249e1136a1,A0A1D2MQF4,4.364E-01,4.270E-01,0.993,0.566,4.178E-01,proteina-546747abbe249e1136a1,0.427,train
proteina-833438e65c967dcd33a9,A0A3B9XET5,3.924E-01,4.359E-01,0.832,0.838,3.934E-01,proteina-833438e65c967dcd33a9,0.3924,train
proteina-e040766d6bc688a97ab6,A0A2E7E2U0,5.299E-01,5.948E-01,0.928,1.000,5.472E-01,proteina-e040766d6bc688a97ab6,0.5299,train
proteina-eae88699099f0f7e8877,A0A2E4N0W9,7.698E-01,7.395E-01,0.998,0.964,7.361E-01,proteina-eae88699099f0f7e8877,0.7395,train
proteina-bc5660de96a225950099,Q30P23,5.464E-01,4.763E-01,1.000,0.994,4.849E-01,proteina-bc5660de96a225950099,0.4763,train
proteina-417e7b63ac59056a8e55,A0A7Y5H8L0,6.456E-01,6.783E-01,0.910,0.974,6.381E-01,proteina-417e7b63ac59056a8e55,0.6456,train
proteina-a4e99211a600afe181f6,A0A2A5DCT1,4.699E-01,4.362E-01,0.938,0.913,4.355E-01,proteina-a4e99211a600afe181f6,0.4362,train
proteina-57fd032c54590252fac8,A0A7X7KDW0,6.707E-01,6.662E-01,0.902,0.983,6.519E-01,proteina-57fd032c54590252fac8,0.6662,train
proteina-781a88cb008b1ceec19b,Q4UD93,5.716E-01,6.244E-01,0.853,0.947,5.743E-01,proteina-781a88cb008b1ceec19b,0.5716,train
proteina-c1750b41a4795ef20329,A0A4Z2ETM9,5.878E-01,6.967E-01,0.887,1.000,6.152E-01,proteina-c1750b41a4795ef20329,0.5878,train
proteina-17c1c12d307fd5cb7032,A0A7H0G6Z7,6.343E-01,8.271E-01,0.930,0.987,7.157E-01,proteina-17c1c12d307fd5cb7032,0.6343,train
proteina-a8730a6cd2126b148e6c,A0A4Q3BZ64,8.649E-01,8.121E-01,0.990,0.890,8.299E-01,proteina-a8730a6cd2126b148e6c,0.8121,train
proteina-57554a13c992e12603e4,A0A547P8E2,5.549E-01,6.206E-01,0.785,0.907,5.699E-01,proteina-57554a13c992e12603e4,0.5549,train
proteina-997b38632870faa3ea67,A0A7J6U587,6.719E-01,6.780E-01,1.000,0.939,6.554E-01,proteina-997b38632870faa3ea67,0.6719,train
proteina-5b2b6131a77fcaa8c670,A0A8B5WG69,6.284E-01,6.528E-01,0.842,0.779,6.288E-01,proteina-5b2b6131a77fcaa8c670,0.6284,train
proteina-a81b6a1abf250c16dd6d,A0A2Z2H748,7.009E-01,7.410E-01,0.897,0.891,7.081E-01,proteina-a81b6a1abf250c16dd6d,0.7009,train
proteina-e462a8b00822245da1a4,F0LLJ4,5.123E-01,6.026E-01,0.623,0.863,5.434E-01,proteina-e462a8b00822245da1a4,0.5123,train
proteina-4874f8443ac293b8cf09,A0A7W9HHV0,8.403E-01,8.655E-01,0.983,0.946,8.454E-01,proteina-4874f8443ac293b8cf09,0.8403,train
proteina-6b67f0e7a0c995e57231,A0A6P6N6Q3,7.825E-01,7.544E-01,0.950,0.950,7.532E-01,proteina-6b67f0e7a0c995e57231,0.7544,train
proteina-68d97875d078a3f8fd2f,A0A0C1FRX5,6.945E-01,6.976E-01,0.988,0.972,6.728E-01,proteina-68d97875d078a3f8fd2f,0.6945,train
proteina-a6a6b0962f9f37bbd93d,A0A7C2G3I5,6.130E-01,6.755E-01,0.678,0.748,6.340E-01,proteina-a6a6b0962f9f37bbd93d,0.613,train
proteina-84ede69b6870bf3d6a15,A0A4S4MVT2,5.101E-01,5.733E-01,0.998,0.893,5.143E-01,proteina-84ede69b6870bf3d6a15,0.5101,train
proteina-e25d1e60520b6127b632,A0A2A2HD51,8.337E-01,8.358E-01,1.000,0.952,8.299E-01,proteina-e25d1e60520b6127b632,0.8337,train
proteina-a340b0faaf1044546073,A0A6B2C444,5.989E-01,7.033E-01,0.920,0.997,6.331E-01,proteina-a340b0faaf1044546073,0.5989,train
proteina-16c3df1dd079812bd85c,F5GZI0,8.038E-01,8.038E-01,0.995,0.985,7.884E-01,proteina-16c3df1dd079812bd85c,0.8038,train
proteina-15f86b57f8916038b05c,A0A7C3QRD2,7.943E-01,7.781E-01,0.950,0.875,7.696E-01,proteina-15f86b57f8916038b05c,0.7781,train
proteina-814f4aa57e07143de43f,A0A2D5ZR90,5.737E-01,5.466E-01,0.908,0.768,5.391E-01,proteina-814f4aa57e07143de43f,0.5466,train
proteina-83bd3d1f0c9bdf760768,A0A417N9M4,3.824E-01,3.912E-01,0.993,0.969,3.752E-01,proteina-83bd3d1f0c9bdf760768,0.3824,train
proteina-13735e959c0f6d4b125a,A0A6C2TYI3,4.073E-01,4.274E-01,0.983,0.926,4.011E-01,proteina-13735e959c0f6d4b125a,0.4073,train
proteina-294b402cae8c43c129ed,W4LGL3,8.919E-01,8.450E-01,0.957,0.983,8.601E-01,proteina-294b402cae8c43c129ed,0.845,train
proteina-00901e3f8440b54804bb,A0A7I7YSK0,7.074E-01,7.655E-01,0.825,0.894,7.250E-01,proteina-00901e3f8440b54804bb,0.7074,train
proteina-bd2c2acf67739e7d2a4c,A0A0F9ZXQ4,5.670E-01,6.177E-01,0.920,0.964,5.726E-01,proteina-bd2c2acf67739e7d2a4c,0.567,train
proteina-15b8ec191263d968f55b,E1ZS62,8.777E-01,8.517E-01,0.985,0.969,8.495E-01,proteina-15b8ec191263d968f55b,0.8517,train
proteina-0e98cf5af023d4cf1be8,A0A0F9TPL3,7.401E-01,7.989E-01,0.978,0.967,7.576E-01,proteina-0e98cf5af023d4cf1be8,0.7401,train
proteina-2775020a284459706f48,A0A287HKP4,5.770E-01,6.000E-01,0.940,0.887,5.639E-01,proteina-2775020a284459706f48,0.577,train
proteina-c8d322085527f674d10f,A0A816HBH1,8.421E-01,8.757E-01,0.952,0.987,8.482E-01,proteina-c8d322085527f674d10f,0.8421,train
proteina-04e23363b6b0903d5a85,F7XKQ7,4.326E-01,3.743E-01,0.830,0.813,3.852E-01,proteina-04e23363b6b0903d5a85,0.3743,train
proteina-4f13f61b5bb5f2c3065a,A0A7C3QRD2,8.191E-01,8.022E-01,1.000,0.939,7.964E-01,proteina-4f13f61b5bb5f2c3065a,0.8022,train
proteina-a05aac30a42750d811df,A0A2N1W8F8,7.339E-01,8.416E-01,0.902,0.939,7.749E-01,proteina-a05aac30a42750d811df,0.7339,train
proteina-e9a9b866c11d72fd93f9,A0A5J4Y326,6.129E-01,6.116E-01,0.882,0.920,5.898E-01,proteina-e9a9b866c11d72fd93f9,0.6116,train
proteina-72f3fdfbf9568a97cdac,A0A812J869,6.011E-01,5.928E-01,0.897,0.800,5.861E-01,proteina-72f3fdfbf9568a97cdac,0.5928,train
proteina-a85ccb940486bf6c6d9b,A0A850ADM3,7.437E-01,8.184E-01,0.950,0.983,7.654E-01,proteina-a85ccb940486bf6c6d9b,0.7437,train
proteina-a4d1c7b2bab276fc8fbc,A0A6A6SUE6,6.147E-01,6.043E-01,0.902,0.949,5.884E-01,proteina-a4d1c7b2bab276fc8fbc,0.6043,train
proteina-41a7faeb62a5b1fac7a0,A0A523GTB6,4.909E-01,4.784E-01,0.960,0.949,4.682E-01,proteina-41a7faeb62a5b1fac7a0,0.4784,train
proteina-956ecafbf8ec22e6e9cb,A0A7S4V8X8,5.195E-01,5.384E-01,0.897,0.760,5.143E-01,proteina-956ecafbf8ec22e6e9cb,0.5195,train
proteina-f0140288bdc6cd0d41a2,A0A4V3VL12,8.012E-01,8.836E-01,0.993,0.917,8.374E-01,proteina-f0140288bdc6cd0d41a2,0.8012,train
proteina-e4fe3c53b62945cb5b90,A0A6J7DMG7,5.268E-01,6.059E-01,0.642,0.733,5.574E-01,proteina-e4fe3c53b62945cb5b90,0.5268,train
proteina-f40b59181abf5f8794c1,R9WHP5,6.504E-01,6.947E-01,0.935,0.981,6.492E-01,proteina-f40b59181abf5f8794c1,0.6504,train
proteina-8a233476a720084ffcb4,A0A7S3LCJ6,5.955E-01,5.968E-01,0.925,0.962,5.771E-01,proteina-8a233476a720084ffcb4,0.5955,train
proteina-96b139efa602866e8308,A0A6B5PLK3,5.486E-01,5.665E-01,0.967,1.000,5.417E-01,proteina-96b139efa602866e8308,0.5486,train
proteina-a6e40c5f858eb4ad102d,A0A2V9RPT7,7.254E-01,7.463E-01,1.000,0.928,7.216E-01,proteina-a6e40c5f858eb4ad102d,0.7254,train
proteina-50a87ddce2d9ce29e2c0,A0A1S1RZ79,5.483E-01,6.627E-01,0.905,0.897,5.807E-01,proteina-50a87ddce2d9ce29e2c0,0.5483,train
proteina-82e712d15ddc1f5c21ca,F5S6K4,3.628E-01,3.694E-01,0.950,0.905,3.452E-01,proteina-82e712d15ddc1f5c21ca,0.3628,train
proteina-c0d0493cdcf9a7a0bc84,A0A819R839,5.619E-01,4.785E-01,1.000,0.855,4.930E-01,proteina-c0d0493cdcf9a7a0bc84,0.4785,train
proteina-02194b472e907cc2d3cb,A0A3D1TW66,5.931E-01,6.053E-01,0.810,0.854,5.827E-01,proteina-02194b472e907cc2d3cb,0.5931,train
proteina-20f9d21232998880bdc9,A0A3M1BY98,5.231E-01,5.652E-01,0.990,0.997,5.166E-01,proteina-20f9d21232998880bdc9,0.5231,train
proteina-51fbb83bc303bc17ae25,A0A517TED3,5.087E-01,4.906E-01,0.998,0.921,4.821E-01,proteina-51fbb83bc303bc17ae25,0.4906,train
proteina-ed585e01977f60f02797,A0A5C7ZS48,6.361E-01,6.703E-01,0.955,0.778,6.396E-01,proteina-ed585e01977f60f02797,0.6361,train
proteina-243685265d82b1d95a5b,L1K3I1,5.485E-01,6.443E-01,1.000,0.997,5.731E-01,proteina-243685265d82b1d95a5b,0.5485,train
proteina-3fe18de35d34139b1317,A0A4P5SWL3,6.183E-01,7.527E-01,0.925,0.849,6.751E-01,proteina-3fe18de35d34139b1317,0.6183,train
proteina-f1db9e84b582d8de28fc,A0A1G2KXY8,6.123E-01,6.214E-01,0.965,0.885,5.895E-01,proteina-f1db9e84b582d8de28fc,0.6123,train
proteina-ec6ba544bed3e76681dc,A0A831NPZ2,7.323E-01,8.296E-01,0.995,0.994,7.622E-01,proteina-ec6ba544bed3e76681dc,0.7323,train
proteina-f2f9b47ccc14376d624a,A0A833AFH9,4.964E-01,4.831E-01,0.877,0.923,4.630E-01,proteina-f2f9b47ccc14376d624a,0.4831,train
proteina-00a4a709956647240751,A0A7S1KSR4,6.758E-01,7.620E-01,0.910,0.884,7.061E-01,proteina-00a4a709956647240751,0.6758,train
proteina-2b33e894df2121a9c1e4,A0A6I5RBG0,3.862E-01,3.973E-01,1.000,0.935,3.719E-01,proteina-2b33e894df2121a9c1e4,0.3862,train
proteina-0ee49045461ed7e5ed11,A0A0D2RVP4,7.641E-01,7.393E-01,1.000,0.957,7.296E-01,proteina-0ee49045461ed7e5ed11,0.7393,train
proteina-f474afc59ba2a17a183c,E1ZUA6,5.971E-01,5.944E-01,0.740,0.963,5.820E-01,proteina-f474afc59ba2a17a183c,0.5944,train
proteina-e920f18f20d663c290e1,A0A7V5M4E1,5.047E-01,5.253E-01,0.985,0.955,5.004E-01,proteina-e920f18f20d663c290e1,0.5047,train
proteina-a030d6377c3913cd6813,K9X1G6,4.898E-01,5.147E-01,0.998,0.780,4.851E-01,proteina-a030d6377c3913cd6813,0.4898,train
proteina-a0c441b7c8aec8c8284a,A0A2N2PMK8,4.155E-01,4.571E-01,1.000,0.966,4.195E-01,proteina-a0c441b7c8aec8c8284a,0.4155,train
proteina-8286078cad44fb9f04fd,A0A2V9RPT7,7.470E-01,7.682E-01,0.913,0.928,7.414E-01,proteina-8286078cad44fb9f04fd,0.747,train
proteina-502ef0799b6ea87dff12,L8GN70,5.921E-01,6.188E-01,0.933,0.864,5.903E-01,proteina-502ef0799b6ea87dff12,0.5921,train
proteina-7c819ef89fdcde0dacd6,A0A532TUL0,6.502E-01,6.333E-01,0.983,0.993,6.226E-01,proteina-7c819ef89fdcde0dacd6,0.6333,train
proteina-e779a326f671f670b0ac,A0A835QFR1,6.589E-01,7.274E-01,0.875,0.922,6.805E-01,proteina-e779a326f671f670b0ac,0.6589,train
proteina-89bd3837961615d9644b,A0A2V9RPT7,7.293E-01,7.503E-01,0.980,0.930,7.251E-01,proteina-89bd3837961615d9644b,0.7293,train
proteina-a6541676d6e657602bc0,D4XGL8,8.590E-01,7.461E-01,0.980,0.855,7.976E-01,proteina-a6541676d6e657602bc0,0.7461,train
proteina-85fbabdd22fa82b72ab1,A0A4P5ZAE8,7.402E-01,7.369E-01,0.978,0.910,7.179E-01,proteina-85fbabdd22fa82b72ab1,0.7369,train
proteina-34448362f0c9c49c9279,A0A3A4NW38,5.013E-01,6.354E-01,0.873,0.993,5.434E-01,proteina-34448362f0c9c49c9279,0.5013,train
proteina-d1ed791de89ef26aba7c,A0A813HI95,4.938E-01,5.136E-01,0.970,0.684,4.905E-01,proteina-d1ed791de89ef26aba7c,0.4938,train
proteina-9c65910f3628d6ce9256,A0A506XM42,3.551E-01,3.756E-01,0.940,0.922,3.428E-01,proteina-9c65910f3628d6ce9256,0.3551,train
proteina-8d26f8e7888b4dba7d42,B5JVM7,7.310E-01,8.006E-01,0.940,0.906,7.517E-01,proteina-8d26f8e7888b4dba7d42,0.731,train
proteina-d59766ef4c782ea864bc,A0A6J8E2E2,7.723E-01,8.443E-01,0.998,0.997,7.835E-01,proteina-d59766ef4c782ea864bc,0.7723,train
proteina-b2cae417fda5332ab90b,A0A7X6DFI1,4.467E-01,4.388E-01,0.975,0.927,4.249E-01,proteina-b2cae417fda5332ab90b,0.4388,train
proteina-5412c8116c713c31b1fa,A0A482S3L7,7.340E-01,7.901E-01,1.000,0.954,7.434E-01,proteina-5412c8116c713c31b1fa,0.734,train
proteina-67941bf544bb5c08f791,A0A4U5R3M5,4.492E-01,4.618E-01,1.000,0.881,4.303E-01,proteina-67941bf544bb5c08f791,0.4492,train
proteina-b14beed963fc2a3e7236,A0A0F9TPL3,6.950E-01,7.511E-01,0.877,0.886,7.149E-01,proteina-b14beed963fc2a3e7236,0.695,train
proteina-a6d8dabf46770624a0d4,A0A524KB80,4.456E-01,4.653E-01,0.635,0.625,4.411E-01,proteina-a6d8dabf46770624a0d4,0.4456,train
proteina-fb3c85bc4809ee41c5e0,A0A1E8PKL1,5.165E-01,5.056E-01,0.940,0.902,4.916E-01,proteina-fb3c85bc4809ee41c5e0,0.5056,train
proteina-e6a98758d6ed16ada668,A0A534IF06,6.569E-01,6.525E-01,0.945,1.000,6.410E-01,proteina-e6a98758d6ed16ada668,0.6525,train
proteina-c94174df37f38ac8f52f,A0A833M6L8,7.946E-01,7.675E-01,0.952,0.889,7.684E-01,proteina-c94174df37f38ac8f52f,0.7675,train
proteina-d00fbcdbedf6120218d3,A0A6P6N6Q3,7.500E-01,7.247E-01,1.000,1.000,7.113E-01,proteina-d00fbcdbedf6120218d3,0.7247,train
proteina-7eb63a5e61862901b52c,A0A1S0UF52,5.198E-01,5.408E-01,0.840,0.819,5.060E-01,proteina-7eb63a5e61862901b52c,0.5198,train
proteina-ae0b2b5f69d3e1955618,A0A319EPH3,4.679E-01,4.062E-01,0.952,0.861,4.172E-01,proteina-ae0b2b5f69d3e1955618,0.4062,train
proteina-25b3f656122b5ff29f3d,A0A7Z0Q2K4,7.200E-01,7.038E-01,0.998,0.841,6.967E-01,proteina-25b3f656122b5ff29f3d,0.7038,train
proteina-4f1e537e3631c19d4b68,A0A7C3UL08,5.630E-01,5.931E-01,0.923,0.880,5.523E-01,proteina-4f1e537e3631c19d4b68,0.563,train
proteina-e6a86e55c9b440cfdb23,A0A7S1R7R4,4.999E-01,5.218E-01,0.783,0.766,4.939E-01,proteina-e6a86e55c9b440cfdb23,0.4999,train
proteina-b4ffc736a6fdd4a2a55b,A0A7C2MRC3,7.522E-01,7.349E-01,0.975,0.976,7.319E-01,proteina-b4ffc736a6fdd4a2a55b,0.7349,train
proteina-cdd2cc69cb1a316716bd,A0A1F5K5Y3,5.276E-01,5.638E-01,0.965,0.916,5.170E-01,proteina-cdd2cc69cb1a316716bd,0.5276,train
proteina-c9d451b2f3314031a88d,A0A3B3DHP4,8.832E-01,7.757E-01,1.000,0.948,8.162E-01,proteina-c9d451b2f3314031a88d,0.7757,train
proteina-2b3042e1dad10fba0057,A0A4Z1T045,5.542E-01,6.637E-01,0.957,0.890,5.925E-01,proteina-2b3042e1dad10fba0057,0.5542,train
proteina-e9bbadf305a54e490f99,A0A843FBQ7,7.044E-01,8.215E-01,0.957,0.997,7.441E-01,proteina-e9bbadf305a54e490f99,0.7044,train
proteina-07d5b83aed7c2508feb9,A0A7C3QRD2,7.797E-01,7.639E-01,0.990,0.919,7.540E-01,proteina-07d5b83aed7c2508feb9,0.7639,train
proteina-df5f80333f0e2569369e,A0A1H9HUV9,7.894E-01,8.484E-01,0.910,0.968,8.009E-01,proteina-df5f80333f0e2569369e,0.7894,train
proteina-b91e9d0dab8e9995a04b,A0A7J3WEV5,4.541E-01,4.431E-01,1.000,0.993,4.289E-01,proteina-b91e9d0dab8e9995a04b,0.4431,train
proteina-872955038ceae2cab27b,D3DBT5,4.958E-01,5.260E-01,0.695,0.979,4.988E-01,proteina-872955038ceae2cab27b,0.4958,train
proteina-3511d9f5efdae708c343,A0A2T5LI31,8.031E-01,7.639E-01,1.000,0.917,7.691E-01,proteina-3511d9f5efdae708c343,0.7639,train
proteina-82296d9e4bcf544d5ac8,A0A1S3CSF7,5.049E-01,5.701E-01,0.905,0.945,5.175E-01,proteina-82296d9e4bcf544d5ac8,0.5049,train
proteina-e2bb850d5d5a068da867,D4XGL8,8.680E-01,7.548E-01,1.000,0.827,8.043E-01,proteina-e2bb850d5d5a068da867,0.7548,train
proteina-572c4c411d58c999eb78,A0A183B095,5.868E-01,7.271E-01,0.940,1.000,6.439E-01,proteina-572c4c411d58c999eb78,0.5868,train
proteina-2e76f79d327dd24e8ea5,A0A5D0TWZ1,3.520E-01,3.456E-01,0.988,0.934,3.315E-01,proteina-2e76f79d327dd24e8ea5,0.3456,train
proteina-7fa49dcecca8dc579748,A0A0C1FRX5,7.331E-01,7.364E-01,0.988,0.975,7.140E-01,proteina-7fa49dcecca8dc579748,0.7331,train
proteina-e5c36adb8521fcda324a,A0A1D1XJH4,6.980E-01,7.405E-01,0.913,0.976,7.015E-01,proteina-e5c36adb8521fcda324a,0.698,train
proteina-1a0723638c78fe17ce91,A0A1D9BEE4,5.176E-01,5.615E-01,0.980,0.901,5.247E-01,proteina-1a0723638c78fe17ce91,0.5176,train
