eval_set,stem,L,n_gt_contacts,prompt_tokens,recipe_budget,context_headroom,max_tokens,gt_statement_tokens,gt_fits,headroom_ratio,n_contacts_emitted,document_truncated,scorable
eval-test,8wt3_A,135,237,277,938,7915,938,349,1,2.688,116,0,1
eval-test,8wim_A,620,1570,1247,3848,6945,3848,2128,1,1.808,709,0,1
eval-test,8x7c_A,353,851,713,2246,7479,2246,1222,1,1.838,407,0,1
eval-test,8xf9_A,283,663,573,1826,7619,1826,820,1,2.227,273,0,1
eval-test,8xif_A,224,539,455,1472,7737,1472,700,1,2.103,233,0,1
eval-test,8xjg_A,153,329,313,1046,7879,1046,328,1,3.189,109,0,1
eval-test,8xpk_A,269,588,545,1742,7647,1742,952,1,1.83,317,0,1
eval-test,8y9p_A,256,467,519,1664,7673,1664,601,1,2.769,200,0,1
eval-test,8ye0_A,290,747,587,1868,7605,1868,979,1,1.908,326,0,1
eval-test,8wqn_A,173,399,353,1166,7839,1166,478,1,2.439,159,0,1
eval-test,8yxk_A,201,320,409,1334,7783,1334,397,1,3.36,132,0,1
eval-test,8z4q_A,473,1259,953,2966,7239,2966,1636,1,1.813,545,0,1
eval-test,8hel_A,76,149,159,584,8033,584,121,1,4.826,40,0,1
eval-test,8zqf_A,214,401,435,1412,7757,1412,634,1,2.227,211,0,1
eval-test,9aue_A,415,827,837,2618,7355,2618,1084,1,2.415,361,0,1
eval-test,9azz_A,186,382,379,1244,7813,1244,526,1,2.365,175,0,1
eval-test,9b1u_A,310,651,627,1988,7565,1988,910,1,2.185,303,0,1
eval-test,9b8e_A,233,568,473,1526,7719,1526,712,1,2.143,237,0,1
eval-test,9bks_A,80,180,167,608,8025,608,223,1,2.726,74,0,1
eval-test,9bjx_A,368,949,743,2336,7449,2336,1261,1,1.852,420,0,1
eval-test,9cfj_A,276,580,559,1784,7633,1784,817,1,2.184,272,0,1
eval-test,9crn_A,379,917,765,2402,7427,2402,1186,1,2.025,395,0,1
eval-test,9d91_A,320,656,647,2048,7545,2048,862,1,2.376,287,0,1
eval-test,9etn_A,586,1142,1179,3644,7013,3644,1948,1,1.871,649,0,1
eval-test,9evq_A,226,503,459,1484,7733,1484,640,1,2.319,213,0,1
eval-test,9fce_A,229,453,465,1502,7727,1502,592,1,2.537,197,0,1
eval-test,9fgp_A,140,354,287,968,7905,968,505,1,1.917,168,0,1
eval-test,9f9u_A,170,434,347,1148,7845,1148,559,1,2.054,186,0,1
eval-test,9fow_A,146,254,299,1004,7893,1004,412,1,2.437,137,0,1
eval-test,9fym_A,330,864,667,2108,7525,2108,1210,1,1.742,403,0,1
eval-test,9gso_A,177,440,361,1190,7831,1190,469,1,2.537,156,0,1
eval-test,9ijc_A,321,734,649,2054,7543,2054,1114,1,1.844,371,0,1
eval-test,9iuh_A,411,1004,829,2594,7363,2594,1372,1,1.891,457,0,1
eval-test,9j0v_A,286,522,579,1844,7613,1844,673,1,2.74,224,0,1
eval-test,9jq9_A,179,440,365,1202,7827,1202,529,1,2.272,176,0,1
eval-val,7pv5_A,81,177,169,614,8023,614,193,1,3.181,64,0,1
eval-val,7qp5_A,245,568,497,1598,7695,1598,724,1,2.207,241,0,1
eval-val,7qsj_A,373,758,753,2366,7439,2366,1042,1,2.271,347,0,1
eval-val,7t9r_A,38,75,83,356,8109,356,73,1,4.877,24,0,1
eval-val,7tlh_A,136,238,279,944,7913,944,343,1,2.752,114,0,1
eval-val,7tjb_A,227,504,461,1490,7731,1490,604,1,2.467,201,0,1
eval-val,7uba_A,213,489,433,1406,7759,1406,625,1,2.25,208,0,1
eval-val,7uk8_A,394,1070,795,2492,7397,2492,1579,1,1.578,526,0,1
eval-val,7ur2_A,195,360,397,1298,7795,1298,412,1,3.15,137,0,1
eval-val,7urp_A,160,269,327,1088,7865,1088,403,1,2.7,134,0,1
eval-val,7uvg_A,183,353,373,1226,7819,1226,535,1,2.292,178,0,1
eval-val,7uww_A,635,1284,1277,3938,6915,3938,2080,1,1.893,693,0,1
eval-val,7v3o_A,328,591,663,2096,7529,2096,817,1,2.565,272,0,1
eval-val,7w15_A,302,768,611,1940,7581,1940,910,1,2.132,303,0,1
eval-val,7y3h_A,413,769,833,2606,7359,2606,937,1,2.781,312,0,1
eval-val,7wz5_A,161,317,329,1094,7863,1094,340,1,3.218,113,0,1
eval-val,7wzm_A,492,1011,991,3080,7201,3080,1369,1,2.25,456,0,1
eval-val,7x4p_A,307,772,621,1970,7571,1970,1000,1,1.97,333,0,1
eval-val,7x3h_A,290,688,587,1868,7605,1868,889,1,2.101,296,0,1
eval-val,7x8l_A,514,1170,1035,3212,7157,3212,1741,1,1.845,580,0,1
eval-val,7xcd_A,178,397,363,1196,7829,1196,445,1,2.688,148,0,1
eval-val,7xg9_A,288,592,583,1856,7609,1856,724,1,2.564,241,0,1
eval-val,7xi5_A,65,128,137,518,8055,518,127,1,4.079,42,0,1
eval-val,7xp9_A,84,170,175,632,8017,632,136,1,4.647,45,0,1
eval-val,8ycm_A,229,482,465,1502,7727,1502,589,1,2.55,196,0,1
eval-val,7xq4_A,514,1000,1035,3212,7157,3212,1417,1,2.267,472,0,1
eval-val,7xrx_A,398,852,803,2516,7389,2516,1189,1,2.116,396,0,1
eval-val,7xjr_A,337,769,681,2150,7511,2150,1063,1,2.023,354,0,1
eval-val,7xyr_A,591,1409,1189,3674,7003,3674,2122,1,1.731,707,0,1
eval-val,7xz3_A,325,709,657,2078,7535,2078,949,1,2.19,316,0,1
eval-val,7y4h_A,338,714,683,2156,7509,2156,961,1,2.243,320,0,1
eval-val,7y54_A,100,198,207,728,7985,728,316,1,2.304,105,0,1
eval-val,7y5m_A,170,339,347,1148,7845,1148,445,1,2.58,148,0,1
eval-val,7y5r_A,105,175,217,758,7975,758,292,1,2.596,97,0,1
eval-val,7y8h_A,100,163,207,728,7985,728,250,1,2.912,83,0,1
eval-val,7y8i_A,97,157,201,710,7991,710,250,1,2.84,83,0,1
eval-val,7y5j_A,102,183,211,740,7981,740,274,1,2.701,91,0,1
eval-val,7yd4_A,185,305,377,1238,7815,1238,427,1,2.899,142,0,1
eval-val,7yhr_A,60,121,127,488,8065,488,124,1,3.935,41,0,1
eval-val,7ykm_A,105,163,217,758,7975,758,166,1,4.566,55,0,1
eval-val,7ylr_A,330,726,667,2108,7525,2108,1093,1,1.929,364,0,1
eval-val,8gmy_A,236,572,479,1544,7713,1544,763,1,2.024,254,0,1
eval-val,7yug_A,118,271,243,836,7949,836,283,1,2.954,94,0,1
eval-val,7yyg_A,365,547,737,2318,7455,2318,664,1,3.491,221,0,1
eval-val,7z65_A,283,693,573,1826,7619,1826,961,1,1.9,320,0,1
eval-val,7znz_A,761,1885,1529,4694,6663,4694,2797,1,1.678,932,0,1
eval-val,7zoi_A,151,226,309,1034,7883,1034,331,1,3.124,110,0,1
eval-val,7zs2_A,316,569,639,2024,7553,2024,670,1,3.021,223,0,1
eval-val,7zu3_A,132,234,271,920,7921,920,277,1,3.321,92,0,1
eval-val,7zv1_A,136,205,279,944,7913,944,334,1,2.826,111,0,1
eval-val,8adc_A,215,426,437,1418,7755,1418,511,1,2.775,170,0,1
eval-val,8add_A,213,464,433,1406,7759,1406,631,1,2.228,210,0,1
eval-val,8akh_A,374,736,755,2372,7437,2372,964,1,2.461,321,0,1
eval-val,8ak2_A,297,749,601,1910,7591,1910,943,1,2.025,314,0,1
eval-val,8arl_A,246,843,499,1604,7693,1604,781,1,2.054,260,0,1
eval-val,8q8i_A,282,856,571,1820,7621,1820,1129,1,1.612,376,0,1
eval-val,8au6_A,321,396,649,2054,7543,2054,505,1,4.067,168,0,1
eval-val,8axj_A,162,343,331,1100,7861,1100,430,1,2.558,143,0,1
eval-val,8azb_A,521,1295,1049,3254,7143,3254,1762,1,1.847,587,0,1
eval-val,8b2e_A,143,283,293,986,7899,986,391,1,2.522,130,0,1
eval-val,8b2g_A,74,98,155,572,8037,572,178,1,3.213,59,0,1
eval-val,8b2s_A,245,421,497,1598,7695,1598,559,1,2.859,186,0,1
eval-val,8b4u_A,277,625,561,1790,7631,1790,820,1,2.183,273,0,1
eval-val,8b5w_A,459,853,925,2882,7267,2882,1111,1,2.594,370,0,1
eval-val,8b61_A,238,415,483,1556,7709,1556,637,1,2.443,212,0,1
eval-val,8b6a_A,214,327,435,1412,7757,1412,586,1,2.41,195,0,1
eval-val,8b6e_A,66,90,139,524,8053,524,133,1,3.94,44,0,1
eval-val,8baq_A,208,487,423,1376,7769,1376,571,1,2.41,190,0,1
eval-val,8bau_A,189,513,385,1262,7807,1262,628,1,2.01,209,0,1
eval-val,8bfy_A,426,826,859,2684,7333,2684,1078,1,2.49,359,0,1
eval-val,8bgb_A,131,247,269,914,7923,914,304,1,3.007,101,0,1
eval-val,8bke_A,638,834,1283,3956,6909,3956,1483,1,2.668,494,0,1
eval-val,8bsb_A,177,382,361,1190,7831,1190,346,1,3.439,115,0,1
eval-val,8bux_A,334,585,675,2132,7517,2132,721,1,2.957,240,0,1
eval-val,8c4d_A,330,480,667,2108,7525,2108,688,1,3.064,229,0,1
eval-val,7xlz_A,266,555,539,1724,7653,1724,796,1,2.166,265,0,1
eval-val,8c4y_A,314,816,635,2012,7557,2012,1120,1,1.796,373,0,1
eval-val,8cba_A,214,591,435,1412,7757,1412,736,1,1.918,245,0,1
eval-val,8ci9_A,312,718,631,2000,7561,2000,1012,1,1.976,337,0,1
eval-val,8cih_A,214,480,435,1412,7757,1412,475,1,2.973,158,0,1
eval-val,8amo_A,399,853,805,2522,7387,2522,1087,1,2.32,362,0,1
eval-val,8cpk_A,384,624,775,2432,7417,2432,1060,1,2.294,353,0,1
eval-val,8cpn_A,207,323,421,1370,7771,1370,505,1,2.713,168,0,1
eval-val,8d2z_A,327,687,661,2090,7531,2090,937,1,2.231,312,0,1
eval-val,8daj_A,302,605,611,1940,7581,1940,898,1,2.16,299,0,1
eval-val,8dez_A,173,309,353,1166,7839,1166,547,1,2.132,182,0,1
eval-val,8dge_A,738,1808,1483,4556,6709,4556,2743,1,1.661,914,0,1
eval-val,8dhj_A,249,659,505,1622,7687,1622,802,1,2.022,267,0,1
eval-val,8dmu_A,489,1259,985,3062,7207,3062,1714,1,1.786,571,0,1
eval-val,8dp9_A,148,301,303,1016,7889,1016,439,1,2.314,146,0,1
eval-val,8dqd_A,377,901,761,2390,7431,2390,1186,1,2.015,395,0,1
eval-val,8dx0_A,154,318,315,1052,7877,1052,406,1,2.591,135,0,1
eval-val,8e0r_A,468,922,943,2936,7249,2936,1489,1,1.972,496,0,1
eval-val,8e5h_A,372,732,751,2360,7441,2360,1033,1,2.285,344,0,1
eval-val,8eb9_A,95,136,197,698,7995,698,214,1,3.262,71,0,1
eval-val,8ec3_A,168,387,343,1136,7849,1136,379,1,2.997,126,0,1
eval-val,8eo5_A,290,579,587,1868,7605,1868,760,1,2.458,253,0,1
