target_id,stem,status,lddt,tm_score,gdt_ts,rmsd,n_matched_atoms,n_contacts,n_tokens,mean_plddt,error,arm,eval_set,is_viral,designed,exp199_stratum,L_helico
8fz9_A,8fz9_A,ok,0.740725464556794,0.8622065716859001,0.7591911764705883,1.674184651595636,1084.0,138.0,149.0,87.93977355957031,,mf_L_363k,eval-test,0,0,id_70_100,136
8g0n_A,8g0n_A,ok,0.7788268327157428,0.8553042840056271,0.4369834710743802,3.6283221377419768,1918.0,247.0,245.0,85.1402359008789,,mf_L_363k,eval-test,0,0,id_70_100,242
8g1l_A,8g1l_A,ok,0.5820333139355099,0.7905924653053671,0.5286561264822134,3.4480428291437217,1932.0,252.0,266.0,78.29535675048828,,mf_L_363k,eval-test,0,0,id_50_70,252
8g1y_A,8g1y_A,ok,0.6297102815924152,0.8448281811049285,0.5045362903225806,3.052640744752247,3818.0,497.0,525.0,80.53399658203125,,mf_L_363k,eval-test,0,0,id_70_100,496
8g32_A,8g32_A,ok,0.1811264089524228,0.231348267134978,0.0160060975609756,14.50812309452787,2517.0,362.0,329.0,31.45357322692871,,mf_L_363k,eval-test,0,0,id_70_100,327
8g52_A,8g52_A,ok,0.6864688329290098,0.8687518769302631,0.6303571428571428,1.896319489158561,2171.0,329.0,297.0,81.99432373046875,,mf_L_363k,eval-test,0,0,id_50_70,279
8g53_A,8g53_A,ok,0.5594032216138256,0.5416768001584772,0.1807065217391304,5.229177493626901,1358.0,218.0,184.0,78.01351165771484,,mf_L_363k,eval-test,0,0,id_50_70,184
8g5u_A,8g5u_A,ok,0.6553256258924991,0.8524192476568643,0.5327442827442828,2.3621355359390366,3752.0,489.0,518.0,81.69645690917969,,mf_L_363k,eval-test,0,0,id_50_70,481
8g64_A,8g64_A,ok,0.8279809058403731,0.936229907366984,0.8691176470588236,1.159355088275512,1426.0,172.0,243.0,91.67501068115234,,mf_L_363k,eval-test,0,0,id_70_100,169
8gbe_A,8gbe_A,ok,0.3064231247303102,0.2496690543165346,0.0170731707317073,12.105626831799668,1658.0,207.0,205.0,68.62983703613281,,mf_L_363k,eval-test,1,0,no_homolog,205
8gdl_A,8gdl_A,ok,0.66491698135325,0.9091995458112831,0.6924157303370787,1.8291695766027107,2758.0,361.0,386.0,84.6468734741211,,mf_L_363k,eval-test,0,0,id_50_70,355
8gj9_A,8gj9_A,ok,0.8682698976937749,0.936189740077672,0.967741935483871,0.4996739967186977,493.0,65.0,63.0,92.05011749267578,,mf_L_363k,eval-test,0,0,id_50_70,62
8gjw_A,8gjw_A,ok,0.660620762315836,0.8000024476857804,0.4682080924855492,2.386151884818654,2857.0,355.0,346.0,81.03950500488281,,mf_L_363k,eval-test,0,0,id_30_50,346
8gjy_A,8gjy_A,ok,0.5742392728235572,0.7053519268430465,0.3590116279069767,4.620404249016944,2853.0,376.0,344.0,72.6043930053711,,mf_L_363k,eval-test,0,0,id_50_70,344
8gkd_A,8gkd_A,ok,0.7516564761106235,0.9230800237273186,0.725212464589235,1.2548979163961944,2829.0,358.0,353.0,88.77838134765625,,mf_L_363k,eval-test,0,0,id_50_70,353
8gok_A,8gok_A,ok,0.3541195478504266,0.4038480016344871,0.0146520146520146,12.89488645974209,2207.0,273.0,273.0,43.69849395751953,,mf_L_363k,eval-test,0,0,id_70_100,273
8gr7_A,8gr7_A,ok,0.7879633226730673,0.933510983309194,0.8136503067484662,2.546930497028406,2635.0,343.0,339.0,87.09577941894531,,mf_L_363k,eval-test,0,0,id_70_100,326
8gsy_A,8gsy_A,ok,0.6941058476343984,0.764575576790801,0.5595238095238095,1.9566612725475832,994.0,144.0,126.0,84.08049774169922,,mf_L_363k,eval-test,0,0,id_30_50,126
8gqq_A,8gqq_A,ok,0.6515569602633282,0.7747757272444052,0.4646464646464646,3.428404688415818,762.0,99.0,99.0,79.25534057617188,,mf_L_363k,eval-test,0,0,id_50_70,99
8gtz_A,8gtz_A,ok,0.6355402531507074,0.5729115877592771,0.0183982683982684,13.137208835675487,3606.0,483.0,468.0,73.03766632080078,,mf_L_363k,eval-test,0,0,id_50_70,462
8q79_A,8q79_A,no_contacts,,,,,,,,,,mf_L_363k,eval-test,0,0,id_30_50,215
8h02_A,8h02_A,ok,0.8886906461128556,0.9724721973688486,0.981012658227848,0.3204984224931136,597.0,84.0,79.0,92.49111938476562,,mf_L_363k,eval-test,0,0,id_70_100,79
8h5s_A,8h5s_A,ok,0.708088590691997,0.7054292446469228,0.340080971659919,3.672256173863531,1849.0,260.0,249.0,88.77849578857422,,mf_L_363k,eval-test,0,0,id_70_100,247
8hbt_A,8hbt_A,ok,0.6335858606243088,0.8843555183254705,0.5974477958236659,2.060693463667364,3454.0,446.0,486.0,76.7055892944336,,mf_L_363k,eval-test,0,0,id_30_50,431
8hd2_A,8hd2_A,ok,0.5845168817830618,0.6167158216969054,0.1795886075949367,5.572349857272863,2597.0,354.0,340.0,74.5768051147461,,mf_L_363k,eval-test,0,0,id_70_100,314
8he1_A,8he1_A,ok,0.8016409076479493,0.9499044673230292,0.8844444444444446,0.9640137296039653,1805.0,280.0,236.0,91.64311981201172,,mf_L_363k,eval-test,0,0,id_30_50,225
8axs_A,8axs_A,ok,0.5667894291899672,0.631578491418696,0.1755226480836237,6.298159773652675,4555.0,578.0,623.0,76.8677978515625,,mf_L_363k,eval-test,0,0,id_70_100,573
8hnq_A,8hnq_A,ok,0.785710851579559,0.9520430032390846,0.8951048951048951,1.460827854063618,2294.0,286.0,370.0,87.25068664550781,,mf_L_363k,eval-test,0,0,id_50_70,286
8hvd_A,8hvd_A,ok,0.6864520349264526,0.7369059239031008,0.2836378737541528,4.488168788051067,4598.0,614.0,602.0,79.75716400146484,,mf_L_363k,eval-test,0,0,id_50_70,602
7xhz_A,7xhz_A,ok,0.6070211456430743,0.7992528145999759,0.5238095238095238,2.9837532616784537,1844.0,231.0,231.0,80.65897369384766,,mf_L_363k,eval-test,0,0,id_70_100,231
8hw8_A,8hw8_A,ok,0.7661810366496502,0.909817367239972,0.7461656441717791,2.458722651763653,2531.0,356.0,355.0,87.70703125,,mf_L_363k,eval-test,0,0,id_70_100,326
8hxs_A,8hxs_A,ok,0.660505263327844,0.8092935398548464,0.635,1.7242791880611443,786.0,100.0,100.0,84.25348663330078,,mf_L_363k,eval-test,0,0,id_30_50,100
8ii8_A,8ii8_A,ok,0.5253847638346119,0.6661014390522203,0.37,4.3963936206599925,1690.0,226.0,258.0,70.40764617919922,,mf_L_363k,eval-test,0,0,id_70_100,225
8ikx_A,8ikx_A,ok,0.7317479825916406,0.8840648145428193,0.5352564102564102,4.389986071889262,2919.0,390.0,405.0,81.26031494140625,,mf_L_363k,eval-test,0,0,id_70_100,390
8ini_A,8ini_A,ok,0.3194215116037869,0.2810737943602395,0.0973684210526315,7.494991116763426,768.0,99.0,95.0,48.95298385620117,,mf_L_363k,eval-test,1,0,no_homolog,95
8iqc_A,8iqc_A,ok,0.7370117296818132,0.9023341444659287,0.6902654867256637,2.271148606429392,1717.0,254.0,228.0,85.92523956298828,,mf_L_363k,eval-test,1,0,id_30_50,226
8irq_A,8irq_A,ok,0.4081957006160702,0.4320617605975748,0.1566666666666666,6.759682789381816,1194.0,165.0,150.0,62.3926887512207,,mf_L_363k,eval-test,0,0,id_50_70,150
8iym_A,8iym_A,ok,0.830729116808026,0.9261574056036408,0.8403225806451613,1.3090072674195727,1225.0,163.0,163.0,86.70767974853516,,mf_L_363k,eval-test,0,0,id_50_70,155
8j2n_A,8j2n_A,ok,0.7642481203960154,0.8947262678184623,0.743723849372385,1.572298833720004,1961.0,320.0,239.0,84.68524932861328,,mf_L_363k,eval-test,0,0,id_70_100,239
8j2x_A,8j2x_A,ok,0.6416016829141616,0.6549216467971772,0.28486646884273,3.732991334708916,2672.0,341.0,474.0,81.55261993408203,,mf_L_363k,eval-test,0,0,id_70_100,337
8jb3_A,8jb3_A,ok,0.441252380723287,0.46919736157434,0.009501187648456,13.903913854148168,3412.0,455.0,463.0,63.64001083374024,,mf_L_363k,eval-test,0,0,id_50_70,419
7wr2_A,7wr2_A,ok,0.7832040978766015,0.9104144834508854,0.8198529411764706,0.8988582913942529,1088.0,161.0,136.0,82.35552215576172,,mf_L_363k,eval-test,0,0,id_70_100,136
8j8y_A,8j8y_A,ok,0.667396734382498,0.7424619704723248,0.5852713178294573,2.1973430282257445,1010.0,141.0,129.0,80.12860107421875,,mf_L_363k,eval-test,0,0,id_50_70,129
8j9r_A,8j9r_A,ok,0.3037538043282127,0.2640492892571199,0.1006944444444444,7.712178958410035,570.0,74.0,75.0,58.77262115478516,,mf_L_363k,eval-test,0,0,id_50_70,72
8jdg_A,8jdg_A,ok,0.7958514632733692,0.9592496314620624,0.8036105032822758,0.9853011897751138,3473.0,471.0,516.0,88.84202575683594,,mf_L_363k,eval-test,0,0,id_50_70,456
8jh8_A,8jh8_A,ok,0.792167713579154,0.9181699841025082,0.8026859504132231,1.499055340116579,1843.0,248.0,244.0,90.03324890136719,,mf_L_363k,eval-test,0,0,id_50_70,242
8jiy_A,8jiy_A,ok,0.6055788465347852,0.7668841453304752,0.3946759259259259,3.850395888790548,1706.0,241.0,216.0,75.94784545898438,,mf_L_363k,eval-test,0,0,id_30_50,216
8jmy_A,8jmy_A,ok,0.7361067621898524,0.8043875431409329,0.646484375,2.237470862397812,1016.0,129.0,128.0,82.67720794677734,,mf_L_363k,eval-test,0,0,id_70_100,128
8jn0_A,8jn0_A,ok,0.7383937167260489,0.8900939458915353,0.8567415730337078,1.0124931454706767,736.0,89.0,89.0,83.35150909423828,,mf_L_363k,eval-test,0,0,id_50_70,89
8jup_A,8jup_A,ok,0.729305791594912,0.8482266583961972,0.5709342560553634,2.670481307178228,2211.0,327.0,320.0,84.68636322021484,,mf_L_363k,eval-test,0,0,id_70_100,288
8jv2_A,8jv2_A,ok,0.7068692448446314,0.8997475139171872,0.6980609418282548,1.8455306218217729,2775.0,361.0,368.0,85.57869720458984,,mf_L_363k,eval-test,0,0,id_70_100,360
8jws_A,8jws_A,ok,0.4546333916840535,0.3730358005440534,0.1239316239316239,5.835920248399754,933.0,127.0,117.0,65.78984069824219,,mf_L_363k,eval-test,0,0,id_70_100,117
8cjd_A,8cjd_A,ok,0.3662939619301443,0.4997150476927379,0.1179245283018868,13.447606314685888,5317.0,663.0,688.0,50.397342681884766,,mf_L_363k,eval-test,0,0,id_50_70,635
8k2g_A,8k2g_A,ok,0.6979110988881816,0.9146919522660288,0.7158415841584158,1.8909172443402888,4031.0,516.0,506.0,82.47496795654297,,mf_L_363k,eval-test,0,0,id_50_70,505
8k2k_A,8k2k_A,ok,0.7542633979045753,0.928986819888268,0.777882797731569,2.1592557601657663,4317.0,542.0,544.0,84.07433319091797,,mf_L_363k,eval-test,0,0,id_50_70,529
8k2m_A,8k2m_A,ok,0.6706321243726435,0.9149337483615606,0.6882826475849732,1.947512320320827,4546.0,581.0,575.0,80.224365234375,,mf_L_363k,eval-test,0,0,id_50_70,559
8k4m_A,8k4m_A,ok,0.2926922563174703,0.3572467630266438,0.0383064516129032,9.105946160591374,1033.0,137.0,124.0,62.00470733642578,,mf_L_363k,eval-test,0,0,id_70_100,124
8k5j_A,8k5j_A,ok,0.5322050236509974,0.4542542759697308,0.0409429280397022,11.092320396422869,3222.0,427.0,418.0,70.10093688964844,,mf_L_363k,eval-test,0,0,id_50_70,403
8k7x_A,8k7x_A,ok,0.6025623360789032,0.8530091394640815,0.5029717682020802,3.3322471071685364,5231.0,856.0,677.0,78.9021224975586,,mf_L_363k,eval-test,0,0,id_70_100,673
8kg4_A,8kg4_A,ok,0.8103035143769969,0.8354736061767746,0.5839622641509434,1.9980349038365808,2021.0,265.0,267.0,88.01708984375,,mf_L_363k,eval-test,0,0,id_70_100,265
8xrh_A,8xrh_A,ok,0.6018604358190828,0.8428716544737157,0.5371794871794872,3.371805596150798,3005.0,408.0,421.0,72.82479095458984,,mf_L_363k,eval-test,1,0,id_30_50,389
8khv_A,8khv_A,ok,0.736176926446146,0.8465598000280995,0.4664948453608247,2.9118463537196493,4533.0,614.0,583.0,85.53373718261719,,mf_L_363k,eval-test,0,0,id_50_70,579
8kih_A,8kih_A,ok,0.7723577235772356,0.9026747163447392,0.6632302405498283,3.0531517353554207,2342.0,332.0,323.0,86.97604370117188,,mf_L_363k,eval-test,0,0,id_70_100,291
8ok3_A,8ok3_A,ok,0.6582388614022101,0.7763770108701519,0.5599173553719008,2.2433529809635235,915.0,125.0,124.0,80.86556243896484,,mf_L_363k,eval-test,0,0,id_70_100,121
8oqh_A,8oqh_A,ok,0.7887783542138087,0.6534909491979191,0.5277777777777778,1.799429703167267,615.0,91.0,83.0,88.94254302978516,,mf_L_363k,eval-test,0,0,id_70_100,81
8ork_A,8ork_A,ok,0.4856103991834883,0.4826117070340693,0.096195652173913,9.530481194878869,3569.0,460.0,475.0,67.91718292236328,,mf_L_363k,eval-test,0,0,id_50_70,460
8os2_A,8os2_A,ok,0.3632223745922016,0.5402468993125336,0.0813008130081301,8.887553154426026,972.0,146.0,153.0,49.66793823242188,,mf_L_363k,eval-test,0,0,id_70_100,123
8owf_A,8owf_A,ok,0.6390245051648915,0.7119505394271848,0.1287744227353463,6.491605584133305,4469.0,575.0,564.0,74.81720733642578,,mf_L_363k,eval-test,0,0,id_70_100,563
8osz_A,8osz_A,ok,0.7501434914309699,0.8832565833101369,0.7032520325203252,1.6725829928926068,1955.0,263.0,254.0,87.28791809082031,,mf_L_363k,eval-test,0,0,id_50_70,246
8ou1_A,8ou1_A,ok,0.2816725831537718,0.3294843803944543,0.0821678321678321,9.147147551645888,1087.0,148.0,155.0,42.37859725952149,,mf_L_363k,eval-test,0,0,id_30_50,142
8ovq_A,8ovq_A,ok,0.5735091845786977,0.5535297259866242,0.2860576923076923,4.023703032601703,1507.0,232.0,223.0,73.6489486694336,,mf_L_363k,eval-test,0,0,id_20_30,208
8ovu_A,8ovu_A,ok,0.8890305443709314,0.9430044685277722,0.8686868686868687,1.4361295515248034,756.0,99.0,99.0,94.44489288330078,,mf_L_363k,eval-test,0,0,id_50_70,99
8ow8_A,8ow8_A,ok,0.299253408637699,0.4291506427543087,0.0392768079800498,10.620525368817171,3219.0,446.0,402.0,56.716758728027344,,mf_L_363k,eval-test,0,0,id_30_50,401
8oxk_A,8oxk_A,ok,0.4363569142847594,0.4743094000295291,0.3218085106382978,4.237182746609583,765.0,99.0,94.0,51.743595123291016,,mf_L_363k,eval-test,0,0,id_50_70,94
8oxl_A,8oxl_A,ok,0.4458368598756837,0.4468440809154987,0.2527173913043478,4.12594867639433,748.0,92.0,92.0,52.320579528808594,,mf_L_363k,eval-test,0,0,id_70_100,92
8p0e_A,8p0e_A,ok,0.7464033810487303,0.9306980242923292,0.8351351351351352,1.2195024507080108,1377.0,190.0,220.0,87.13787841796875,,mf_L_363k,eval-test,1,0,id_30_50,184
8p2a_A,8p2a_A,ok,0.8752369121387396,0.96134958511505,0.9722222222222222,0.4462929961610932,657.0,89.0,120.0,93.20274353027344,,mf_L_363k,eval-test,0,0,id_70_100,89
8p5p_A,8p5p_A,ok,0.3106842958917609,0.2902228445959579,0.1565420560747663,6.794922212914807,929.0,116.0,107.0,38.8556022644043,,mf_L_363k,eval-test,0,0,id_70_100,107
8p5n_A,8p5n_A,ok,0.8335111755717283,0.9328033775941296,0.8786231884057971,1.0096350642407597,1067.0,144.0,143.0,93.74459075927734,,mf_L_363k,eval-test,0,0,id_50_70,138
7wu8_A,7wu8_A,ok,0.814713396136037,0.8940978702838803,0.8902439024390244,0.8148660651368448,632.0,96.0,82.0,89.84442901611328,,mf_L_363k,eval-test,0,0,id_30_50,82
8pak_A,8pak_A,ok,0.7648746582005904,0.9332648790278586,0.7550724637681159,1.256417959995402,2680.0,361.0,345.0,85.63959503173828,,mf_L_363k,eval-test,0,0,id_70_100,345
8paq_A,8paq_A,ok,0.5011442426404661,0.6884713402572352,0.3625,3.513712524544475,1175.0,166.0,170.0,70.16639709472656,,mf_L_363k,eval-test,0,0,id_70_100,159
8pb5_A,8pb5_A,ok,0.4914888005008789,0.7309599047517645,0.3506191950464396,4.777725429945043,2543.0,322.0,366.0,74.79435729980469,,mf_L_363k,eval-test,0,0,id_50_70,320
8por_A,8por_A,no_contacts,,,,,,,,,,mf_L_363k,eval-test,0,0,id_50_70,164
8ptd_A,8ptd_A,ok,0.7684844450324992,0.9229484969310876,0.8002915451895043,2.207429434916845,2755.0,343.0,437.0,86.01720428466797,,mf_L_363k,eval-test,0,0,id_50_70,343
8pu2_A,8pu2_A,ok,0.4488428957157591,0.3777679716132529,0.1486486486486486,6.582569909722319,588.0,75.0,74.0,79.09978485107422,,mf_L_363k,eval-test,0,0,id_50_70,74
8pvs_A,8pvs_A,ok,0.6662464316140314,0.7385686341481427,0.0559345156889495,13.28365041656145,5701.0,731.0,748.0,82.01771545410156,,mf_L_363k,eval-test,0,0,id_70_100,731
8pw2_A,8pw2_A,ok,0.8235388744875259,0.8719546848968306,0.8791666666666667,0.7475666706131661,474.0,72.0,60.0,91.2844467163086,,mf_L_363k,eval-test,1,0,id_50_70,60
8pxc_A,8pxc_A,ok,0.325330720965741,0.5869224382853061,0.1850393700787401,9.078122506861268,1906.0,457.0,254.0,58.24039840698242,,mf_L_363k,eval-test,0,0,id_50_70,252
8pxu_A,8pxu_A,ok,0.6547906119747411,0.7723445839511659,0.2492260061919504,5.467952496318364,5084.0,655.0,651.0,76.36088562011719,,mf_L_363k,eval-test,0,0,id_30_50,646
8q1v_A,8q1v_A,ok,0.6783225279440808,0.77283439544702,0.7310126582278481,1.5520092930349314,607.0,93.0,125.0,82.26056671142578,,mf_L_363k,eval-test,0,0,id_50_70,79
8qb1_A,8qb1_A,ok,0.8161631162263319,0.8825484731149139,0.8096590909090909,0.9488383484645014,685.0,88.0,89.0,87.41246795654297,,mf_L_363k,eval-test,0,0,id_70_100,88
8qd8_A,8qd8_A,ok,0.588747358650789,0.8273805146693426,0.4951456310679611,4.219155687839239,3310.0,431.0,424.0,74.99853515625,,mf_L_363k,eval-test,0,0,id_50_70,412
8qjp_A,8qjp_A,ok,0.7822920002401729,0.9251671086445928,0.8306772908366534,1.387313534336143,1979.0,254.0,274.0,86.1461181640625,,mf_L_363k,eval-test,0,0,id_50_70,250
8qlc_A,8qlc_A,ok,0.7685531277196718,0.9387640652105969,0.6702724358974359,1.5145598217002385,4943.0,627.0,625.0,85.23772430419922,,mf_L_363k,eval-test,0,0,id_50_70,624
8qoh_A,8qoh_A,ok,0.4284190114469106,0.6544636687072286,0.1760948905109489,7.408067543944908,2161.0,278.0,274.0,69.8202133178711,,mf_L_363k,eval-test,0,0,id_70_100,274
8qpj_A,8qpj_A,ok,0.476637677771459,0.6016884480730187,0.2868150684931507,4.333174115129906,2247.0,300.0,292.0,69.4868392944336,,mf_L_363k,eval-test,0,0,id_70_100,292
8qq1_A,8qq1_A,ok,0.7698249518994982,0.9310635770168532,0.8222477064220184,0.9636594976609516,1835.0,221.0,278.0,90.86408996582033,,mf_L_363k,eval-test,0,0,id_70_100,217
8qle_A,8qle_A,no_contacts,,,,,,,,,,mf_L_363k,eval-test,0,0,id_70_100,272
8qx6_A,8qx6_A,ok,0.6477711598746081,0.8029190367484134,0.6727272727272727,2.369242497777218,1279.0,165.0,165.0,79.25682067871094,,mf_L_363k,eval-test,0,0,id_50_70,165
8r2c_A,8r2c_A,ok,0.5832615926433182,0.7535954273583306,0.5443786982248521,3.4041157782801195,1341.0,169.0,169.0,68.62498474121094,,mf_L_363k,eval-test,0,0,id_70_100,169
8r5n_A,8r5n_A,ok,0.2505647186111432,0.2736414302719727,0.0135542168674698,10.710667063823772,1396.0,165.0,196.0,54.74960708618164,,mf_L_363k,eval-test,0,0,id_70_100,165
8ra0_A,8ra0_A,no_contacts,,,,,,,,,,mf_L_363k,eval-test,0,0,id_50_70,485
8rcw_A,8rcw_A,ok,0.8488038076376951,0.965604838197759,0.9353658536585364,0.7042399614646425,1607.0,229.0,226.0,90.49506378173828,,mf_L_363k,eval-test,0,0,id_50_70,205
8rdd_A,8rdd_A,ok,0.5824625446186471,0.8211344541031108,0.538109756097561,2.2706836176611565,1338.0,170.0,172.0,79.75762176513672,,mf_L_363k,eval-test,0,0,id_70_100,164
8re3_A,8re3_A,ok,0.6288750579961417,0.8462042250271945,0.5975336322869955,3.366609522062995,3556.0,445.0,492.0,75.51963806152344,,mf_L_363k,eval-test,0,0,id_50_70,445
8rom_A,8rom_A,ok,0.6652348078206476,0.8533465424180589,0.667948717948718,2.193667048712597,1586.0,202.0,247.0,76.96980285644531,,mf_L_363k,eval-test,0,0,id_70_100,194
8an4_A,8an4_A,ok,0.826352430104333,0.929515478986518,0.8333333333333333,1.306753577452775,1498.0,196.0,195.0,87.43636322021484,,mf_L_363k,eval-test,0,0,id_50_70,195
