seq_len,num_contacts,num_tokens,num_predicted,sequence_nats,structure_nats,nats_per_token
177,156,830,829,753.0552,740.4312,1.801552
159,113,665,664,660.5663,497.2107,1.74364
513,310,1964,1963,2704.7871,1679.7669,2.233599
159,193,905,904,660.5663,962.7716,1.795728
167,124,714,713,701.4373,567.9873,1.780399
84,55,341,340,300.2209,210.8835,1.503248
126,59,437,436,496.4055,224.7108,1.653936
140,76,516,515,565.1249,309.6843,1.698659
271,27,631,630,1262.1098,84.3181,2.137187
183,74,596,595,784.2954,303.3896,1.828042
522,325,2027,2026,2761.0715,1802.625,2.252565
103,52,370,369,386.9125,193.9527,1.574161
309,247,1367,1366,1477.8647,1282.7058,2.020915
108,6,242,241,410.3228,9.8255,1.743354
119,48,390,389,462.6082,170.9231,1.628615
367,372,1858,1857,1815.9585,2100.3308,2.108933
578,530,2754,2753,3114.6569,3153.7587,2.27694
563,588,2898,2897,3019.394,3579.7404,2.27792
90,30,278,277,327.1853,94.3585,1.521819
99,43,335,334,368.3545,151.7286,1.557135
102,33,311,310,382.2586,107.8201,1.580899
128,98,558,557,506.1328,420.6381,1.663862
260,255,1293,1292,1200.6097,1349.3885,1.973683
218,160,924,923,970.2142,766.989,1.882127
227,183,1011,1010,1018.9585,906.6667,1.90656
189,106,704,703,815.7297,470.9572,1.83028
117,113,581,580,453.0249,508.2397,1.657353
350,266,1506,1505,1715.8492,1398.6161,2.069412
185,225,1053,1052,794.7522,1144.1934,1.843104
95,53,357,356,349.9541,201.0064,1.547642
535,513,2617,2616,2842.6431,3041.545,2.249307
145,21,361,360,590.0083,60.1991,1.806132
360,32,824,823,1774.6402,106.9412,2.286247
137,114,624,623,550.2787,511.8677,1.70489
471,318,1904,1903,2444.2508,1745.654,2.201737
266,273,1359,1358,1234.0993,1450.7803,1.977084
377,366,1860,1859,1875.2141,2050.027,2.11148
193,82,640,639,836.7908,336.7056,1.836458
1130,1022,5334,5333,6832.366,6778.606,2.552217
269,156,1014,1013,1250.8945,748.5563,1.973792
210,115,773,772,927.1939,520.5286,1.875288
106,83,469,468,400.9309,347.0075,1.598159
200,195,993,992,873.8436,969.2114,1.857918
448,387,2065,2064,2303.1352,2180.0185,2.172071
174,108,680,679,737.5098,475.2114,1.78604
416,374,1962,1961,2108.7681,2101.0398,2.146766
434,342,1902,1901,2217.81,1903.1803,2.167801
189,124,758,757,815.7297,548.8554,1.802622
248,148,948,947,1134.0452,696.1075,1.932579
120,54,410,409,467.4122,204.4297,1.642645
106,88,484,483,400.9309,375.7195,1.607972
126,80,500,499,496.4055,332.9513,1.662038
120,41,371,370,467.4122,143.2183,1.650353
124,123,625,624,486.7093,555.9194,1.670879
235,89,745,744,1062.5836,383.8319,1.944107
510,454,2390,2389,2686.0605,2628.7903,2.224718
359,189,1293,1292,1768.7486,936.8786,2.094139
198,173,923,922,863.232,833.7425,1.840536
187,104,694,693,805.2304,451.1175,1.812912
400,352,1864,1863,2012.4911,1948.8279,2.126312
1195,1057,5569,5568,7291.2885,7032.145,2.572456
573,423,2423,2422,3082.859,2440.7307,2.28059
418,372,1960,1959,2120.8462,2102.333,2.155783
119,84,498,497,462.6082,344.5014,1.623963
1137,1175,5807,5806,6881.6129,7940.906,2.552966
740,717,3639,3638,4166.3609,4521.4107,2.388063
119,54,408,407,462.6082,201.0324,1.630566
420,273,1667,1666,2132.9339,1453.7204,2.152854
984,713,4115,4114,5815.511,4475.884,2.501554
254,210,1146,1145,1167.2573,1070.6263,1.954483
185,120,738,737,794.7522,552.9939,1.828692
117,2,248,247,453.0249,1.7329,1.841125
218,183,993,992,970.2142,909.0802,1.89445
616,556,2908,2907,3357.7022,3355.2946,2.309252
366,366,1838,1837,1810.0477,2060.7285,2.107118
223,178,988,987,997.2499,873.4736,1.895363
442,409,2119,2118,2266.5131,2351.8713,2.18054
151,74,532,531,620.0917,297.2728,1.727617
176,125,735,734,747.8678,567.0542,1.791447
135,68,482,481,540.4169,273.2616,1.691639
301,151,1063,1062,1432.0371,716.2071,2.022829
186,197,971,970,799.9887,988.817,1.84413
132,79,509,508,525.679,320.6983,1.666097
185,48,522,521,794.7522,175.1664,1.861648
197,149,849,848,857.9337,696.0372,1.832513
160,32,424,423,665.6539,104.6782,1.821116
143,148,738,737,580.0343,705.4303,1.744185
223,294,1336,1335,997.2499,1582.9177,1.93271
124,67,457,456,486.7093,266.3692,1.651488
198,145,839,838,863.232,691.2713,1.855016
172,135,757,756,727.1746,609.4756,1.768056
818,575,3369,3368,4685.9033,3469.024,2.421297
307,189,1189,1188,1466.3883,944.1238,2.029051
447,415,2147,2146,2297.0259,2382.4684,2.180566
301,326,1588,1587,1432.0371,1795.722,2.033875
123,42,380,379,481.873,143.5399,1.650166
724,437,2767,2766,4060.7741,2543.8613,2.387793
306,270,1430,1429,1460.655,1424.2615,2.018836
96,73,419,418,354.5391,295.0595,1.554064
118,3,253,252,457.8124,3.8712,1.832078
75,43,287,286,260.5649,150.0163,1.435599
246,106,818,817,1123.0063,466.0899,1.945038
314,175,1161,1160,1506.6116,845.7299,2.027881
172,53,511,510,727.1746,192.9653,1.804196
385,305,1693,1692,1922.8087,1647.8453,2.110316
343,160,1174,1173,1674.8638,768.1212,2.082681
173,153,813,812,732.3394,720.6084,1.789344
385,231,1471,1470,1922.8087,1178.529,2.109754
232,143,901,900,1046.1921,654.2582,1.889389
247,112,838,837,1128.5238,496.4269,1.941399
395,298,1692,1691,1982.5338,1623.7702,2.132646
303,250,1364,1363,1443.4745,1307.8354,2.018569
238,163,973,972,1079.0129,791.9599,1.924869
292,331,1585,1584,1380.7335,1817.9177,2.01935
276,191,1133,1132,1290.2117,946.6346,1.976013
228,114,806,805,1024.3966,510.1878,1.906316
256,156,988,987,1178.3593,741.3923,1.945037
178,142,790,789,758.2481,671.3751,1.811943
212,222,1098,1097,937.9212,1145.224,1.898947
1103,1018,5268,5267,6642.8215,6737.8157,2.540467
201,163,899,898,879.1568,790.6281,1.859449
834,959,4553,4552,4793.4169,6306.1265,2.438388
434,478,2310,2309,2217.81,2822.2234,2.182778
143,86,552,551,580.0343,361.0465,1.707951
336,234,1382,1381,1634.0202,1204.6416,2.055512
106,55,385,384,400.9309,204.8275,1.577496
145,79,535,534,590.0083,330.6422,1.724065
59,36,234,233,192.739,121.4882,1.348615
338,336,1692,1691,1645.6752,1849.3277,2.066826
371,412,1986,1985,1839.6287,2368.2566,2.119841
360,376,1856,1855,1774.6402,2103.4706,2.090626
169,113,685,684,711.7147,502.9817,1.775872
86,8,204,203,309.1642,16.8609,1.606035
219,108,770,769,975.6124,476.6061,1.88845
676,769,3667,3666,3746.1605,4895.9012,2.357355
147,83,551,550,600.0095,350.3903,1.728
201,170,920,919,879.1568,824.1409,1.853425
213,65,629,628,943.2918,251.653,1.902778
544,470,2506,2505,2899.3004,2766.0771,2.261628
444,298,1790,1789,2278.7115,1613.499,2.175635
403,233,1513,1512,2030.4954,1194.3124,2.132809
74,3,165,164,256.2211,3.6402,1.58452
162,145,767,766,675.8475,678.1277,1.767592
122,84,504,503,477.0447,354.819,1.653804
120,37,359,358,467.4122,124.9213,1.654563
190,147,829,828,820.9872,695.8387,1.831915
241,213,1129,1128,1095.4797,1073.5037,1.922858
555,450,2468,2467,2968.7492,2631.2522,2.269964
133,83,523,522,530.5843,342.7683,1.673089
94,40,316,315,345.3794,141.2298,1.544791
188,159,861,860,810.4775,758.7994,1.824741
380,290,1638,1637,1893.0425,1555.0049,2.106321
297,306,1520,1519,1409.2021,1648.0526,2.012676
135,102,584,583,540.4169,442.6447,1.686212
340,236,1396,1395,1657.3419,1220.6758,2.063095
166,85,595,594,696.3074,357.1831,1.773553
103,78,448,447,386.9125,315.7772,1.572013
68,29,231,230,230.439,93.6462,1.409066
310,245,1363,1362,1483.6077,1276.1939,2.026286
175,120,718,717,742.686,540.6911,1.789926
209,112,762,761,921.8373,499.1746,1.867296
113,39,351,350,433.9593,132.0033,1.617036
614,528,2820,2819,3344.8508,3134.5359,2.29847
57,19,179,178,184.5338,47.6686,1.304508
183,41,497,496,784.2954,143.1884,1.869927
111,60,410,409,424.4782,235.5263,1.613703
106,37,331,330,400.9309,126.4171,1.598024
346,122,1066,1065,1692.4117,548.8655,2.104486
388,233,1483,1482,1940.6995,1206.4656,2.123593
304,231,1309,1308,1449.198,1181.1342,2.010957
91,60,370,369,331.7179,230.7693,1.524356
71,47,291,290,243.2688,167.4143,1.416149
764,624,3408,3407,4325.3852,3829.2229,2.393486
304,224,1288,1287,1449.198,1142.3858,2.013663
484,402,2182,2181,2524.5096,2280.0179,2.202901
161,31,423,422,670.7476,99.3868,1.824963
207,144,854,853,911.1384,673.8657,1.858152
684,39,1493,1492,3798.3666,132.7938,2.634826
132,52,428,427,525.679,187.5823,1.670401
655,175,1843,1842,3609.5713,861.4245,2.427251
96,87,461,460,354.5391,362.609,1.559018
531,641,2993,2992,2817.5103,3948.6246,2.261409
181,128,754,753,773.8601,575.4876,1.791962
123,96,542,541,481.873,417.8753,1.663121
112,77,463,462,429.2144,321.4316,1.624775
80,4,180,179,282.4743,5.9506,1.611312
687,598,3176,3175,3817.9679,3619.9715,2.342658
187,112,718,717,805.2304,494.9172,1.813316
159,147,767,766,660.5663,691.9556,1.765694
371,309,1677,1676,1839.6287,1692.1939,2.107293
88,48,328,327,318.1526,176.2377,1.511897
489,198,1580,1579,2555.4714,987.5421,2.243834
106,32,316,315,400.9309,101.1585,1.593935
187,120,742,741,805.2304,548.18,1.826465
95,68,402,401,349.9541,268.1662,1.541447
92,54,354,353,336.2612,202.3755,1.525883
68,23,213,212,230.439,69.7776,1.416116
128,85,519,518,506.1328,349.6402,1.652072
321,305,1565,1564,1546.9897,1661.1359,2.051231
121,93,529,528,472.2244,403.4689,1.65851
218,19,501,500,970.2142,51.7528,2.043934
184,85,631,630,789.5211,358.6411,1.82248
158,73,543,542,655.4849,290.3362,1.745057
398,539,2421,2420,2000.5007,3240.589,2.16574
484,4,988,987,2524.5096,5.9506,2.56379
508,540,2644,2643,2673.5858,3245.3232,2.239466
99,58,380,379,368.3545,221.6291,1.556685
591,449,2537,2536,3197.532,2592.6493,2.283194
206,82,666,665,905.796,339.5847,1.872753
135,103,587,586,540.4169,438.9467,1.671269
320,293,1527,1526,1541.2121,1574.4423,2.041713
224,209,1083,1082,1002.6705,1062.4307,1.908596
362,320,1692,1691,1786.4318,1750.3858,2.091554
131,106,588,587,520.7812,464.8525,1.679103
523,443,2383,2382,2767.3349,2561.7764,2.237242
114,49,383,382,438.7129,179.975,1.619602
734,578,3210,3209,4126.725,3498.1677,2.376096
82,44,304,303,291.324,157.1955,1.480262
147,64,494,493,600.0095,243.5463,1.711066
129,79,503,502,511.008,319.0296,1.653461
338,357,1755,1754,1645.6752,1985.254,2.070085
546,571,2813,2812,2911.9111,3452.1484,2.263179
156,42,446,445,645.3408,150.5293,1.788472
110,37,339,338,419.7508,127.0707,1.617815
95,65,393,392,349.9541,257.4968,1.54962
216,213,1079,1078,959.4315,1080.5289,1.892357
83,9,201,200,295.7666,18.4811,1.571238
