stem,msa_volume,found,a3m_bytes,n_seqs,query_len,n_eff_0.8,n_eff_0.62,elapsed_seconds
T1104-D1,exp74,True,17299.0,93.0,117.0,37.70008325008325,18.599024642592415,0.021706295999990743
T1112-D1,exp74,True,1346401.0,2537.0,460.0,549.3841491320775,85.82772406251043,7.3358438919999855
T1113-D1,exp74,True,1176.0,5.0,167.0,4.0,4.0,0.1186363369999981
T1120-D1,exp74,True,21741.0,118.0,118.0,60.45679320679321,27.467611517022217,0.1283162870000183
T1120-D2,exp74,True,37204.0,213.0,110.0,90.98658964581179,54.67838725807903,0.14842974700002287
T1121-D1,exp74,True,119175.0,446.0,196.0,213.69696737377194,80.21159522733467,0.28908617299998696
T1122-D1,exp74,True,536.0,2.0,230.0,1.0,1.0,0.12130074800001012
T1123-D1,exp74,True,2243.0,8.0,214.0,3.0,1.9999999999999998,0.017843319000007796
T1125-D1,exp74,True,332.0,2.0,134.0,1.0,1.0,0.01641394899999682
T1125-D2,exp74,True,1010.0,5.0,148.0,1.9999999999999998,1.9999999999999998,0.029073460000006435
T1125-D4,exp74,True,354.0,2.0,141.0,1.0,1.0,0.047372204999987844
T1125-D5,exp74,True,1018.0,5.0,150.0,1.9999999999999998,1.9999999999999998,0.01775281899998049
5sbj_A,foldbench,True,38.0,1.0,30.0,1.0,1.0,0.01799303299999999
7pv5_A,foldbench,True,1015578.0,7015.0,81.0,4915.186635792285,1569.968575819153,13.832979276
7qp5_A,foldbench,True,237515.0,744.0,245.0,159.3401774225075,69.77680525402397,0.4220305419999981
7qsj_A,foldbench,True,1740636.0,3925.0,373.0,1194.3772519269887,189.32404503676307,15.178584196
7t9r_A,foldbench,True,57495.0,604.0,38.0,84.54184894528223,25.66375921646918,0.08561597000000276
7tjb_A,foldbench,True,802935.0,2699.0,227.0,1338.9283511868512,621.0170588497631,4.645847159000002
7tlh_A,foldbench,True,320704.0,1568.0,136.0,251.57598459965936,63.73662464508829,1.0103538919999977
7uba_A,foldbench,True,214685.0,775.0,213.0,374.6864265266897,213.26354969614283,0.3853150260000002
7uk8_A,foldbench,True,3252105.0,6910.0,394.0,2176.613842743031,329.91952465006113,51.286033273
7ur2_A,foldbench,True,717506.0,2716.0,195.0,600.6502423510467,270.2549318293412,4.350634389
7ur7_A,foldbench,True,78.0,1.0,70.0,1.0,1.0,0.015475046000000159
7urp_A,foldbench,True,83001.0,358.0,160.0,80.96714657323822,60.88306336593641,0.09484933699999942
7uvg_A,foldbench,True,58235.0,231.0,183.0,50.51056574052713,37.59990402040726,0.04549384899999609
7uww_A,foldbench,True,2118165.0,2997.0,635.0,1946.8428803688903,1213.9413521142342,14.890542237999995
7v3o_A,foldbench,True,566104.0,1425.0,328.0,784.6876383805244,280.2344864987355,1.8322704529999925
7w15_A,foldbench,True,1183923.0,3212.0,302.0,2004.4722192727252,755.2961590040995,8.45476722299999
7wr2_A,foldbench,True,20666.0,92.0,161.0,28.132160726107216,15.285654040929092,0.020361497999999756
7wu8_A,foldbench,True,194819.0,1210.0,96.0,198.71944654037827,67.55576736559351,0.6356737070000094
7wz5_A,foldbench,True,97702.0,418.0,161.0,148.85248275398956,68.82514829932893,0.1427850429999893
7wzm_A,foldbench,True,8148229.0,14412.0,492.0,9420.60613012521,5607.456054169861,317.972547239
7x3h_A,foldbench,True,148296.0,415.0,290.0,226.8687495253285,121.69428093592049,0.3429065630000001
7x4p_A,foldbench,True,890756.0,2354.0,307.0,1371.0575054038472,495.20435445082796,5.797779246999999
7x8l_A,foldbench,True,9494027.0,16065.0,514.0,7437.071494797685,1018.8129205806449,434.338867694
7xcd_A,foldbench,True,4930.0,21.0,178.0,8.178571428571427,6.497641247641248,0.02317985499999997
7xg9_A,foldbench,True,2232211.0,6258.0,288.0,2775.350137899425,718.8721283925413,40.758608493
7xhz_A,foldbench,True,1002495.0,3438.0,231.0,2595.289219652896,1270.7270193902182,7.946963026000001
7xi5_A,foldbench,True,1106781.0,8804.0,65.0,7430.491153870435,4350.843888904207,25.672129823
7xjr_A,foldbench,True,750813.0,1782.0,337.0,1208.7141596579424,505.8159311688758,2.989433956
7xlz_A,foldbench,True,2425698.0,6985.0,266.0,4665.9452674851555,1548.7947111544843,48.940919333
7xp9_A,foldbench,True,1770.0,13.0,84.0,6.0,5.385714285714286,0.1247223329999998
7xq4_A,foldbench,True,2045099.0,3474.0,514.0,2217.9094290799167,896.6765643972253,19.208707852
7xrx_A,foldbench,True,2287401.0,4875.0,398.0,1419.427066458402,256.88937729517136,32.930019005000005
7xyr_A,foldbench,True,8432032.0,12428.0,591.0,5040.641040830131,735.6165133397967,310.05033448200004
7xz3_A,foldbench,True,1279649.0,3205.0,325.0,747.4828142136098,91.85410805193044,11.683448334
7y3h_A,foldbench,True,1410739.0,2922.0,413.0,2011.7481261602827,800.797511897783,9.153228541
7y4h_A,foldbench,True,1235794.0,3034.0,338.0,1002.6865971822178,193.46873969689818,10.861499748
7y54_A,foldbench,True,1051097.0,6349.0,100.0,4704.075990013094,2888.906157688816,13.672308854
7y5j_A,foldbench,True,1109266.0,6568.0,102.0,5689.48735605926,4881.703155914433,18.455292906
7y5m_A,foldbench,True,133329.0,552.0,170.0,387.83887812244586,210.1299183350967,0.19464291600000005
7y5r_A,foldbench,True,1241216.0,7174.0,105.0,4630.106758433789,2377.358545099136,29.550387104000002
7y8h_A,foldbench,True,1152160.0,6826.0,100.0,5711.167864303468,4471.134791338231,15.440771904000002
7y8i_A,foldbench,True,777929.0,4712.0,97.0,3724.371207696379,2546.4441042475078,7.023606769
7yd4_A,foldbench,True,50438.0,203.0,185.0,43.59788156107693,15.175987652433067,0.0605494929999999
7yhr_A,foldbench,True,91398.0,780.0,60.0,360.29941447441445,123.74863772837305,0.3844571390000002
7ykm_A,foldbench,True,912355.0,5421.0,105.0,4079.2690954035706,2015.9315930440544,11.469102592
7ylr_A,foldbench,True,5130088.0,12814.0,330.0,7091.641742671014,2559.358101574251,176.364853687
7yug_A,foldbench,True,173098.0,923.0,118.0,186.6192462738417,81.51153344703994,0.55837118
7yyg_A,foldbench,True,188025.0,436.0,365.0,213.40223387723387,107.4084145451813,0.23115891
7z65_A,foldbench,True,346659.0,975.0,283.0,395.8938666433975,127.55565407463256,0.799048714
7znz_A,foldbench,True,12561415.0,14552.0,761.0,4816.730149900666,521.0884206931994,518.052653032
7zoi_A,foldbench,True,1006461.0,4671.0,151.0,3001.7875559521785,630.3860736383324,12.689000208999998
7zs2_A,foldbench,True,4000426.0,10322.0,316.0,3835.010484302521,1391.7442618135046,88.700293848
7zu3_A,foldbench,True,29541.0,151.0,132.0,50.376567044265315,40.83222823360316,0.037189039000000035
7zv1_A,foldbench,True,42845.0,210.0,136.0,61.64569892473119,33.403262264454284,0.07177349099999986
8adc_A,foldbench,True,11027.0,38.0,215.0,34.0,26.80952380952381,0.055287030999999986
8add_A,foldbench,True,119322.0,425.0,213.0,124.91040041123915,69.94302211555177,0.15589752899999998
8ah9_A,foldbench,True,1260.0,7.0,120.0,4.416666666666667,4.0,0.01651320200000006
8ak2_A,foldbench,True,3505069.0,9418.0,297.0,7030.341558587559,4675.654458522275,72.71245838200001
8akh_A,foldbench,True,2207411.0,4968.0,374.0,4163.372469218371,2127.743872995053,24.758022265000008
8amo_A,foldbench,True,5054615.0,10565.0,399.0,7428.022577784775,5200.661415256995,124.724768698
8an4_A,foldbench,True,825657.0,3192.0,196.0,1868.2967066902427,616.64957848689,8.181680977
8arl_A,foldbench,True,229607.0,746.0,246.0,224.78295125926707,130.2532672103476,0.5923443989999999
8au6_A,foldbench,True,584915.0,1509.0,321.0,605.5294864617582,241.7347394187845,1.896120719
8axj_A,foldbench,True,2061517.0,8919.0,162.0,6351.149835469916,3490.2304946433387,48.193144931000006
8axs_A,foldbench,True,558225.0,860.0,578.0,459.6494913217134,232.9075531706893,1.4254438950000003
8azb_A,foldbench,True,6007468.0,10010.0,521.0,6887.176093295059,4019.6557241315713,168.090645197
8b2e_A,foldbench,True,1609290.0,7586.0,143.0,2481.0069336573733,269.22680141204825,26.247396036999998
8b2g_A,foldbench,True,1272523.0,9186.0,74.0,6914.408422470315,4290.768102817254,22.662356398
8b2s_A,foldbench,True,3809497.0,12141.0,245.0,5970.640871611748,2335.476407147413,123.49123269399999
8b4u_A,foldbench,True,2615117.0,7547.0,277.0,5167.029064979863,2167.648349316949,42.16336806699999
8b5w_A,foldbench,True,1059558.0,1919.0,459.0,371.92968638440027,132.93767818970605,4.275602158
8b61_A,foldbench,True,119044.0,395.0,238.0,188.59663520314894,99.15916082804335,0.2557107649999999
8b6a_A,foldbench,True,501704.0,1741.0,214.0,1062.8857893388317,530.3012066294085,2.321753042
8b6e_A,foldbench,True,145437.0,1114.0,66.0,758.6003968253968,635.4274420024419,0.5388881080000001
8baq_A,foldbench,True,528912.0,1900.0,208.0,1212.5031772750813,687.4473873040298,2.225343073
8bau_A,foldbench,True,2273196.0,8802.0,189.0,4694.506766858172,1024.8429223025178,76.545554008
8bfy_A,foldbench,True,1376441.0,2763.0,426.0,1424.2326960488494,348.605954685342,10.805240028
8bgb_A,foldbench,True,1333501.0,6729.0,131.0,3801.216577675693,888.6670712179799,24.522814614
8bke_A,foldbench,True,570940.0,808.0,638.0,368.84146475415673,42.35565322998323,1.4123114860000001
8bsb_A,foldbench,True,39014.0,160.0,177.0,75.2476911976912,34.48959132972291,0.06281247699999981
8bux_A,foldbench,True,188051.0,466.0,334.0,35.298877972287194,21.287989800008667,0.28465731399999994
8c4d_A,foldbench,True,804438.0,2023.0,330.0,444.8628950581808,210.58957577043645,4.696861154
8c4y_A,foldbench,True,2016840.0,5281.0,314.0,2171.0497738921695,441.64414261363913,21.538508945000004
8cba_A,foldbench,True,36261.0,129.0,214.0,33.16816049447628,17.23161963531899,0.06742484199999987
8ci9_A,foldbench,True,1718375.0,4478.0,312.0,2062.3154474782905,637.9425744678852,17.056897374000002
8cih_A,foldbench,True,232241.0,830.0,214.0,246.40519982652646,113.84834624655481,0.8164006340000001
8cjd_A,foldbench,True,903319.0,1234.0,663.0,667.5672866042405,119.95409756783769,3.30296215
8cpk_A,foldbench,True,8051388.0,17149.0,384.0,6882.270924962373,1488.5062235020848,374.168044641
8cpn_A,foldbench,True,585579.0,2092.0,207.0,976.7374976104873,136.83484311340993,3.5121555130000006
8d2z_A,foldbench,True,3646719.0,9122.0,327.0,2965.6743849120094,853.3111712454429,72.42254530400001
8daj_A,foldbench,True,5536028.0,14852.0,302.0,5742.460786762753,1256.8928100681576,219.62370351599998
8dez_A,foldbench,True,135127.0,561.0,173.0,208.9241106446428,111.45751284533279,0.22201304899999985
8dge_A,foldbench,True,8605366.0,10183.0,738.0,4961.021641474629,660.7160802168082,238.80969606600001
8dhj_A,foldbench,True,2962314.0,9324.0,249.0,5925.856204934168,1152.3916373813577,57.813808189999996
8dmu_A,foldbench,True,1082304.0,1908.0,489.0,808.2893740663833,147.66329409855325,4.58483162
8dp9_A,foldbench,True,1018420.0,4803.0,148.0,2817.7370971455257,217.28440292857448,10.075834889000001
8dqd_A,foldbench,True,3894111.0,8684.0,377.0,7146.630261556307,4780.050592720678,78.307249621
8dx0_A,foldbench,True,2444657.0,10903.0,154.0,9410.179977656277,5256.880451878882,67.627849517
8e0r_A,foldbench,True,680770.0,1251.0,468.0,331.5109231593953,131.61752235854536,1.8834673339999999
8e5h_A,foldbench,True,5158082.0,11556.0,372.0,7891.311330107163,1517.328088587114,122.816129663
8eb9_A,foldbench,True,3611.0,24.0,95.0,1.337803500846979,1.0,0.1370406970000002
8ec3_A,foldbench,True,5631.0,25.0,168.0,8.364285714285714,6.0,0.028786647
8eo5_A,foldbench,True,2611499.0,7045.0,290.0,3167.9634429735975,895.4930399365385,50.633440561
8eov_A,foldbench,True,154.0,1.0,146.0,1.0,1.0,0.023155836000000374
8es6_A,foldbench,True,7056044.0,12647.0,488.0,6352.362739382067,1036.4217822898745,253.26158010000003
8ev4_A,foldbench,True,2441999.0,12246.0,125.0,9004.561477939966,3138.1906407054857,75.040041157
8ew1_A,foldbench,True,1386090.0,3989.0,267.0,2407.8187900574276,759.0628245408732,15.48950198
8ew9_A,foldbench,True,80343.0,256.0,248.0,123.29563492063491,65.30210661242782,0.10579354500000004
8ey3_A,foldbench,True,670893.0,5307.0,65.0,2628.2749683770826,433.6147967765145,9.61530978
8ez6_A,foldbench,True,401613.0,2923.0,72.0,830.8927811620534,320.8567589545213,2.2660987159999997
8ezw_A,foldbench,True,1089679.0,4476.0,160.0,2164.7405634784145,1018.0126220722474,9.489738267
8f8n_A,foldbench,True,189528.0,660.0,220.0,141.98545420840236,49.73222208359132,0.6183881100000002
8f9o_A,foldbench,True,7034870.0,11396.0,496.0,5501.891840179416,691.4982970234423,197.937097126
8fbc_A,foldbench,True,4833888.0,10322.0,395.0,7586.045807010475,4385.292268816698,135.119298112
8fib_A,foldbench,True,6243227.0,12202.0,441.0,7941.041577132396,3059.4931368677735,243.226436436
8fjf_A,foldbench,True,142.0,1.0,134.0,1.0,1.0,0.016838861999999732
8fr5_A,foldbench,True,63284.0,389.0,97.0,225.213499630191,163.3448861607615,0.11157306700000014
8fty_A,foldbench,True,3823316.0,6492.0,509.0,2904.5822987491974,970.3099284220009,62.413562812
8fz8_A,foldbench,True,5167896.0,10820.0,405.0,6829.025204944797,4502.42703269241,142.88077909499998
8fz9_A,foldbench,True,242358.0,1193.0,138.0,753.6088450614635,259.1508291094583,1.0437353089999997
8g0n_A,foldbench,True,948874.0,3043.0,247.0,1817.5168619157785,644.6601380304689,8.104979988
8g1l_A,foldbench,True,143404.0,439.0,252.0,41.423392603414484,19.0102403786091,0.22482016799999993
8g1y_A,foldbench,True,8680471.0,15276.0,497.0,5179.128586635833,570.4421046535904,402.056555248
8g32_A,foldbench,True,478453.0,1108.0,362.0,440.75807028055124,224.0198163071136,1.3294193320000005
8g52_A,foldbench,True,524669.0,1322.0,329.0,798.1288423249101,418.0158722942741,1.799556912
8g53_A,foldbench,True,150141.0,526.0,218.0,291.39222658744285,147.555982371295,0.37309408999999993
8g5u_A,foldbench,True,3402235.0,6065.0,489.0,3203.1029873082434,719.0500289822296,56.848824448
8g64_A,foldbench,True,685461.0,2849.0,172.0,2076.614671825298,956.8164289580345,4.668199925
8gac_A,foldbench,True,114.0,1.0,106.0,1.0,1.0,0.017618381000000127
8gbe_A,foldbench,True,29505.0,109.0,207.0,64.04912032412032,25.751637086907646,0.33436261999999983
8gdl_A,foldbench,True,68164.0,160.0,361.0,119.41666666666666,92.88257575757575,0.0473230280000001
8gj9_A,foldbench,True,109426.0,878.0,65.0,360.2705250445673,213.03683351300128,0.2627677799999999
8gjw_A,foldbench,True,67167.0,156.0,355.0,107.875,74.83733766233766,0.04261769700000073
8gjy_A,foldbench,True,662117.0,1468.0,376.0,700.1743779301244,309.3086370259238,2.164694601999999
8gkd_A,foldbench,True,263314.0,617.0,358.0,398.2462964065518,244.6502075043224,0.4844979599999988
8gm7_A,foldbench,True,7077.0,31.0,170.0,7.967388167388166,1.6941149527356425,0.04016896600000042
8gmy_A,foldbench,True,460297.0,1475.0,236.0,783.9337673312286,377.7199818511472,1.4938566929999988
8gok_A,foldbench,True,17039.0,50.0,273.0,28.266666666666666,20.416666666666668,0.036578679999999864
8gqq_A,foldbench,True,665958.0,4080.0,99.0,2185.8142057015825,984.2796648144765,6.631147470999999
8gr7_A,foldbench,True,1099852.0,2676.0,343.0,1391.4606691138217,568.5706695892798,6.5181864900000015
8gsy_A,foldbench,True,35654.0,169.0,144.0,71.14547437856262,44.64615245865246,0.03295296800000003
8gtz_A,foldbench,True,3972365.0,7167.0,483.0,3177.086846976521,788.7090402025524,71.783062746
8h02_A,foldbench,True,312100.0,2073.0,84.0,858.4727091993017,361.2805119416336,1.3658111270000006
8h2f_A,foldbench,True,2211113.0,8897.0,180.0,6644.6869594270365,2164.3657426394557,41.882866312000004
8h5s_A,foldbench,True,3918168.0,11996.0,260.0,4792.411938889434,817.1808684427151,123.59436935099998
8hbt_A,foldbench,True,1747489.0,3346.0,446.0,1064.5650954159373,230.31192286746096,13.306800080999999
8hd2_A,foldbench,True,428560.0,1016.0,354.0,782.8926376354343,375.4618836697334,1.0182689720000013
8he1_A,foldbench,True,3122082.0,8905.0,280.0,6465.578326930439,2194.5016613022963,60.637084169999994
8hel_A,foldbench,True,11190.0,84.0,76.0,50.43333333333334,36.28538961038961,0.01771805999999998
8hic_A,foldbench,True,4300809.0,8886.0,414.0,2883.457307533019,783.7464699283394,86.794367425
8hnq_A,foldbench,True,7187384.0,19393.0,286.0,9952.636018095734,4967.943820422428,365.371615199
8hvd_A,foldbench,True,3477534.0,5003.0,614.0,2173.189656816783,723.2585526305379,39.666731916
8hw8_A,foldbench,True,4401266.0,9751.0,356.0,6549.67221914117,2500.5952678772574,111.41074663999999
8hxs_A,foldbench,True,929541.0,5611.0,100.0,4171.480105714394,2394.5575049068366,13.056410196000002
8ii8_A,foldbench,True,523.0,2.0,226.0,1.0,1.0,0.04141848400000114
8ikx_A,foldbench,True,6815954.0,14702.0,390.0,5494.290970535766,678.5216036515769,242.096752234
8ini_A,foldbench,True,12161.0,78.0,99.0,32.31489898989899,14.443091167805648,0.11119592999999917
8iqc_A,foldbench,True,51153.0,154.0,254.0,114.2095238095238,73.7197510822511,0.14479754999999983
8irq_A,foldbench,True,222294.0,955.0,165.0,295.7372622366903,115.40073532290329,0.48136110600000137
8iym_A,foldbench,True,540487.0,2362.0,163.0,1924.1540255968305,1353.978572209061,3.237834588
8j2n_A,foldbench,True,2835347.0,7145.0,320.0,2315.1246760922622,417.51250910839497,52.181118948999995
8j2x_A,foldbench,True,2797557.0,6821.0,341.0,3448.2299249168373,1454.0642091862542,52.447224023000004
8j8y_A,foldbench,True,1947.0,10.0,141.0,3.0,1.0,0.10859269700000063
8j9r_A,foldbench,True,754362.0,5443.0,74.0,1903.4300269754908,747.4647931021558,7.895245563
8jb3_A,foldbench,True,787309.0,1483.0,455.0,317.3418405144388,62.09090548828312,2.8157443220000005
8jdg_A,foldbench,True,8626463.0,15763.0,471.0,7182.293154319632,1791.1515873080718,390.62966375599996
8jh8_A,foldbench,True,2901720.0,8802.0,248.0,4150.3008374759565,1624.1063764208482,54.726885171999996
8jiy_A,foldbench,True,294287.0,943.0,241.0,518.3125556691301,277.8705378256487,0.7333049549999995
8jjq_A,foldbench,True,1187722.0,2973.0,331.0,1394.9828540964224,277.28916012661955,9.389297604
8jmy_A,foldbench,True,514850.0,2615.0,129.0,1338.4453839711125,470.87230484321424,2.9504300510000014
8jn0_A,foldbench,True,618778.0,3972.0,89.0,2402.4207259241093,642.5486764341968,6.688441327
8ju8_A,foldbench,False,,,,,,
8jup_A,foldbench,True,4101215.0,10396.0,327.0,6708.443376204306,1551.0452334798551,100.505882845
8jv2_A,foldbench,True,2379629.0,5571.0,361.0,1766.2995254181355,326.2002927493255,30.741698227
8jws_A,foldbench,True,841884.0,4311.0,127.0,1732.1511439897845,663.5495692113423,7.444519501999999
8k2g_A,foldbench,True,3134037.0,5291.0,516.0,2630.063865082137,871.8906570504613,37.402556752
8k2k_A,foldbench,True,2128598.0,3429.0,542.0,1797.9444903818844,692.0217210044709,15.021079274000002
8k2m_A,foldbench,True,1888063.0,2891.0,581.0,1405.7956248277087,428.6491556119413,22.02965427
8k4m_A,foldbench,True,9300.0,46.0,137.0,14.613492063492066,6.579074580390371,0.026880966000000228
8k5j_A,foldbench,True,7790491.0,14674.0,427.0,5059.328608367792,375.32222657904924,238.884090796
8k7o_A,foldbench,False,,,,,,
8k7x_A,foldbench,True,6994859.0,7465.0,856.0,2525.1413576475697,450.5572771717792,122.44351588900001
8k7z_A,foldbench,True,188.0,1.0,180.0,1.0,1.0,0.018209204000000145
8k83_A,foldbench,True,189.0,1.0,181.0,1.0,1.0,0.013631133000000073
8k84_A,foldbench,True,50937.0,207.0,177.0,182.75,157.52380952380952,0.057802902999999795
8ka7_A,foldbench,True,132.0,1.0,124.0,1.0,1.0,0.01428225499999991
8kac_A,foldbench,True,31073.0,159.0,129.0,92.60425194931774,27.629379162835175,0.03537422200000018
8kbl_A,foldbench,True,568708.0,3426.0,104.0,1167.379665015654,176.17728952054887,5.254092421999999
8kcj_A,foldbench,True,189.0,1.0,181.0,1.0,1.0,0.01723278100000014
8kg4_A,foldbench,True,1013635.0,2986.0,265.0,1677.3860736718589,882.7030867761105,8.455274109000001
8khv_A,foldbench,True,3262055.0,4722.0,614.0,2020.0573086327356,642.4994002476724,42.251859042
8kih_A,foldbench,True,12240.0,31.0,332.0,17.0,11.633333333333333,0.09853254500000119
8ok3_A,foldbench,True,3694.0,20.0,125.0,15.0,13.416666666666666,0.11158161599999872
8oqh_A,foldbench,True,210817.0,1377.0,91.0,115.90090930860265,21.434836531321288,1.052998002999999
8ork_A,foldbench,True,1352822.0,2549.0,460.0,533.2452942810833,85.98487268677562,9.384719457
8os2_A,foldbench,True,799669.0,3717.0,146.0,976.753430950278,226.3596235731904,7.827008200000002
8osz_A,foldbench,True,1210119.0,3662.0,263.0,2004.5900840278296,457.62581796950633,9.620932671000006
8ou1_A,foldbench,True,224217.0,1035.0,148.0,154.0654970003847,60.24268650735312,0.9432179100000013
8ovq_A,foldbench,True,263138.0,881.0,232.0,508.0125669353132,211.19588137502853,1.2277834129999974
8ovu_A,foldbench,True,1364700.0,8264.0,99.0,6450.137476176579,5545.5581866826105,29.464545900000005
8ow8_A,foldbench,True,72812.0,138.0,446.0,44.978664799253025,36.27389042012791,0.23565353299999714
8owf_A,foldbench,True,6231973.0,9523.0,575.0,4155.2859662016435,965.5982356503121,191.802895207
8oxk_A,foldbench,True,737.0,5.0,99.0,4.0,4.0,0.1567632479999972
8oxl_A,foldbench,True,17176.0,116.0,92.0,67.0,57.83333333333333,0.13836484300000507
8oys_A,foldbench,False,,,,,,
8oyy_A,foldbench,True,250.0,1.0,242.0,1.0,1.0,0.016799821999999853
8p0e_A,foldbench,True,2287631.0,8851.0,190.0,2547.5057175111942,213.01383513005186,54.51016333300001
8p2a_A,foldbench,True,1792892.0,11746.0,89.0,5352.023462444162,1075.376864215772,54.84321224399999
8p5n_A,foldbench,True,2817842.0,13328.0,144.0,5317.500634332789,1090.2893636979813,89.84810602900001
8p5p_A,foldbench,True,1066669.0,5575.0,116.0,2088.3445619543863,908.3116930998103,10.950056432000004
