stem,length,fine_cluster,contacts_emitted,num_tokens,truncated,document_sha256,source_parquet
proteina-1091ab3e577ea1ceb439,60,proteina-1091ab3e577ea1ceb439,46,266,False,306cec7e3991f1fdb6d43171d738fe4fb9ff0df89b762b94c719dd8808a42995,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/1f51c6e45e0ad889d606.parquet
proteina-11287023291209dc10ec,500,proteina-11287023291209dc10ec,591,2781,False,de5e3f8566052d062fda5ea0e7f535cced3ffb070cda67b785a7c3e6d149e728,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l500-v1/documents-provisional/a81fc8f02b11de0e0c18.parquet
proteina-11cd6fe0c0f69bd97613,200,proteina-11cd6fe0c0f69bd97613,231,1101,False,82a4e337ca03d4106a40647f01ea56e74b14d5e6a6bc9b65d867f4f36ac0fe7f,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/ee09aa4072bcc9f570db.parquet
proteina-135917511679828d7e71,100,proteina-135917511679828d7e71,76,436,False,cb7dd06c6f0efdf1c66b4dea719b1ed10ab58b5c1be0c35dfc0026a961696cd3,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/facc89fba0efb2f9ad84.parquet
proteina-13735e959c0f6d4b125a,400,proteina-13735e959c0f6d4b125a,451,2161,False,de50ca5406c33670e6be5f52022bb24ed4835bc5ad383fc392fa0604ace1bf41,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/67c2f5606936d9326f6b.parquet
proteina-137598f5dd33ba7937f6,60,proteina-137598f5dd33ba7937f6,43,257,False,db292a093d065a29070de6e7f0b8d6940bc603a25c1555e1b5bb30504085a780,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/7674651d62cf1d031f65.parquet
proteina-1404e6b8bda1ff7eaa68,400,proteina-1404e6b8bda1ff7eaa68,410,2038,False,3d88697114d7c878af798bef066bcee86896a74eaa5bf78daf279a5d9448c5d6,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/d57c7c8ec8bdbf237e5b.parquet
proteina-146e4aeabdf8507c8afa,60,proteina-146e4aeabdf8507c8afa,44,260,False,acd421147ed0dc30bdd93b54423ac7886fcbdc0144d5d0f33d6b4c0be14bb9aa,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/98f91b68a0eb17e9ebf0.parquet
proteina-14d4e7a8a48e2f4a19bc,100,proteina-14d4e7a8a48e2f4a19bc,61,391,False,b3e749c5bd0d1a08dc8fad7d7643fc37d6666208ea070018ba1569e5f7869c25,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/947fb8c94a3ad7f02463.parquet
proteina-14ea71f49b3164e4c4e4,100,proteina-14ea71f49b3164e4c4e4,88,472,False,7f5f175e1caa0b3f275ec37a900d3efe84149711a585e94e4c1be5f7d4271767,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/947fb8c94a3ad7f02463.parquet
proteina-150ba515b91c07bf1b2c,60,proteina-150ba515b91c07bf1b2c,48,272,False,e030684fe992e9681108c938a2c762e0a06c0b0f77f5bf4590c62f948082c2ab,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/98f91b68a0eb17e9ebf0.parquet
proteina-15b208095e1495863a32,100,proteina-15b208095e1495863a32,97,499,False,9a58a521073036828216323967193ea5df0f602289517b804fccc7ef67fd5544,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/5b88ed200d13b0d3f9bc.parquet
proteina-15f688d6d439e84cef95,500,proteina-15f688d6d439e84cef95,642,2934,False,84674c93271b620302c4d0e56dba309875b73623654eb1e21ca23480ff695535,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l500-v1/documents-provisional/7387ac8c8ca7f11e39ad.parquet
proteina-161ad036080a8066d50b,60,proteina-161ad036080a8066d50b,50,278,False,d1b11785e1a95a7774d1d08780359ec57c59db7dc2acf4c7a298e079095ef540,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/67fd8b160bb02d6adc11.parquet
proteina-16c3df1dd079812bd85c,400,proteina-16c3df1dd079812bd85c,404,2020,False,55ff7aef029da41b4287ddbaf8855b50aee99045d2ffe7dc35ef532c0da6e61c,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/36301b6d01ec1f06f8a0.parquet
proteina-171210a29768f1e4d93e,100,proteina-171210a29768f1e4d93e,70,418,False,7881194c96f08ba23e96b5da1695d540a9e03c32d3c74aaa5ad5ed31a9dfcb93,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/facc89fba0efb2f9ad84.parquet
proteina-172c753b1d36a2ebf56a,200,proteina-172c753b1d36a2ebf56a,194,990,False,f1016b244661cbe47c28c3e7d7938fc51ce8924a197342cb9e76da6c4e3f933a,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/0718f68136e9854c332d.parquet
proteina-179d248b6f5708085697,500,proteina-179d248b6f5708085697,571,2721,False,fcebcb037bf803ca1def19a33ed49f25e37c0e148dfdb32891cf6d4419514e66,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l500-v1/documents-provisional/98dc77e90a23d52a3c45.parquet
proteina-196b47be5f54394618a0,100,proteina-196b47be5f54394618a0,81,451,False,87400bcda00b9131afd444a870ed08d087ec7ba60f9162a718af5a8af8c561ba,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/106536dde600e7daa177.parquet
proteina-19bba8f9984cc67c4d3f,300,proteina-19bba8f9984cc67c4d3f,270,1418,False,7ad79de78594ec928596800a7659c4ba43b3ab8a2747a2b0a316b3982b78877e,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l300-cis-v2/documents-provisional/168bbab4c134c7498a33.parquet
proteina-1a0723638c78fe17ce91,400,proteina-1a0723638c78fe17ce91,451,2161,False,37bcc3098f9a527a60d6f8b1c8433d4f8b4677c8ea52ec8edc4a207e89951c07,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/d8ed6d4d070a85c32baa.parquet
proteina-1a173192e6bf801d73ab,400,proteina-1a173192e6bf801d73ab,483,2257,False,c747c5c3356151e6e5ddf41317a18b4c33de97d06f3996d7412bbda92862c62b,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/0438d716ebcae47d2a1f.parquet
proteina-1ac25796fd9b1b1945c3,60,proteina-1ac25796fd9b1b1945c3,38,242,False,fc845b9d45a75ce221bacd37cb6e26398b98f1aaccd1ae52c6e4ae3a8ab72623,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/98f91b68a0eb17e9ebf0.parquet
proteina-1bb5140063c1dd1f0a1a,100,proteina-1bb5140063c1dd1f0a1a,93,487,False,cb092a4e46ff00571a60af307a3454e0d12ebe228f3302ecd5b05e725acd825c,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/facc89fba0efb2f9ad84.parquet
proteina-1c1f932ebc86e3916f5c,100,proteina-1c1f932ebc86e3916f5c,96,496,False,6c9c40eb3699f100499440af1eb3c48ae5df6e4b84e42d8ae6e074c46fd6d71a,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/be5d3c6ac9a605935969.parquet
proteina-1c446aaa2ea711ff96d0,400,proteina-1c446aaa2ea711ff96d0,438,2122,False,eabe7f3f88dcf1c1bfca8dc6a9e48f3072a7c0c8c3c2cf2c5779d3a49959f39e,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/21145e4ce7a942ed42d8.parquet
proteina-1cdd3ab5629f3a778d89,60,proteina-1cdd3ab5629f3a778d89,52,284,False,ecea82ccc53cf3a65d88f2bfd082f79aec2329d6b9facc897944ebef6cd35e79,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/a919b4c557ee7a7ccd74.parquet
proteina-1da07eb464f4feaec558,60,proteina-1da07eb464f4feaec558,30,218,False,c059f041b49467683bdafe58e55d1fcbfb3e9a26543479aa781a111a49a1a833,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/a919b4c557ee7a7ccd74.parquet
proteina-1e0fb0d4c115131831b5,100,proteina-1e0fb0d4c115131831b5,79,445,False,8b5878ba1e6d43ef16439445d9ae08820b739d87b2c72c78de8b9b5e6c927618,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/f3568cd0506e0516c73a.parquet
proteina-1e9ca72c23606b4f6722,300,proteina-1e9ca72c23606b4f6722,296,1496,False,5d4445c15f7ffc6872cc04881fe41aea19a67d35bd49e12f705e2072a3eb6c44,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l300-cis-v2/documents-provisional/dfd0421e4a55661b2880.parquet
proteina-1ebbbfb6ba268bcf2e28,300,proteina-1ebbbfb6ba268bcf2e28,290,1478,False,0f641532f603636b4dbe0552182cfa544f723a6f838db8974865b0d1f778a671,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l300-cis-v2/documents-provisional/5f1ad2461b6ce2723dbe.parquet
proteina-1ed6d51ebbe075b9b2aa,200,proteina-1ed6d51ebbe075b9b2aa,199,1005,False,09b8bbc96eb1ed509a0e931c1dad366ccedfa4f59ee33f8d5c58325daa14bc20,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/61b17ab70a69b214148b.parquet
proteina-1ef17dd214e985d200d1,500,proteina-1ef17dd214e985d200d1,568,2712,False,501442c183cf9cb850e3119d43ae008a287ce9623061a1e69fafbd301c72a543,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l500-v1/documents-provisional/019c6ba3a03e60ae61b7.parquet
proteina-1f2be0809d24d51331ba,200,proteina-1f2be0809d24d51331ba,203,1017,False,1b94d411bd977e7e03726e53883f0b18d7a6cfbe1e22bf5aab3515bf6415e9a3,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/ee09aa4072bcc9f570db.parquet
proteina-215583f1945db6f6dbfe,100,proteina-215583f1945db6f6dbfe,88,472,False,526454a971894bc403f314205aef3fd8b54ee318f515c0a8d48b8a9d61140271,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/106536dde600e7daa177.parquet
proteina-231eb9ef50ca2b117629,60,proteina-231eb9ef50ca2b117629,45,263,False,1a4c74f03755acda4799a1d9ac13e2be019bcc6145bc392938c2ffec3685fe94,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/7674651d62cf1d031f65.parquet
proteina-238b8d4270af77b6809f,400,proteina-238b8d4270af77b6809f,450,2158,False,65fa529767d3278c4599ae23c75d7f9448af1af342f6f7374b9a83e4afcfd49b,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/21145e4ce7a942ed42d8.parquet
proteina-23942e9049d9a2f5d2b9,100,proteina-23942e9049d9a2f5d2b9,81,451,False,73a03d246a049f58162d8b9d784e6cd88c25d4ccf7eff127ba2a8880cb555d43,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/5b88ed200d13b0d3f9bc.parquet
proteina-23b9676d523afd20d1b2,300,proteina-23b9676d523afd20d1b2,324,1580,False,bf1e54512fbfab2b6cc71918dab7ea51d457598cc66f2306a4162a83417b24d1,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l300-cis-v2/documents-provisional/207c3ae6375a421407ac.parquet
proteina-24f2a0890fca35ea8ca2,300,proteina-24f2a0890fca35ea8ca2,332,1604,False,6ab1991fcb2c10881a5c4c4020f4fc4a20209ad6ee85648bc594c0f7c2838936,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l300-cis-v2/documents-provisional/6aee2b8707354d965c03.parquet
proteina-2512a305180d1b13b75b,60,proteina-2512a305180d1b13b75b,46,266,False,d90aa59e00d0f8922ff47fc1563cb1e77cb2e713c1ebf8e927c9cee77218d255,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/6732899e8165c8b123c0.parquet
proteina-25422934cee7864f88f8,300,proteina-25422934cee7864f88f8,304,1520,False,0fa1bf1a918fe14a167e07aed7925a427c715c26d0481b4842da7a6d7ae405e2,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l300-cis-v2/documents-provisional/207c3ae6375a421407ac.parquet
proteina-257a3310954901ab529c,200,proteina-257a3310954901ab529c,229,1095,False,5a716087251a1b429a55a17b0112e2ca1cdcf9fc0fee46662e49784b123d0112,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/6eb672d283c08189deb7.parquet
proteina-25b37f4890317a940404,100,proteina-25b37f4890317a940404,87,469,False,90eee7c29189ddf8c39506bdf7add0e647b4adf5eeb5239203a2b10a2597c4a3,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/96469653a4df51ca0ade.parquet
proteina-26449f0a95887e6f5197,300,proteina-26449f0a95887e6f5197,324,1580,False,fb3579b442e77cf30e57e8c2e7a6a88a4f2b5130f239580739d686393abf4ebf,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l300-cis-v2/documents-provisional/168bbab4c134c7498a33.parquet
proteina-268de4fd9e7cc2b9ac48,60,proteina-268de4fd9e7cc2b9ac48,48,272,False,1fbcd1d665cbe371edc5e1258002805b28cd8f449d1cb43c2a10f171f3f80db9,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/7674651d62cf1d031f65.parquet
proteina-26d1c94e4a580130c8d9,200,proteina-26d1c94e4a580130c8d9,217,1059,False,bc88adb47743521efa3fa32a6ba25ff70e81098ba718af36a2f14428b8a168c8,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/0718f68136e9854c332d.parquet
proteina-276b5488628433a2a539,100,proteina-276b5488628433a2a539,83,457,False,a5cc31d7d2b18722967c29b6175c79d37df048ae60558af6ad07a8abb635bd33,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/106536dde600e7daa177.parquet
proteina-2775020a284459706f48,400,proteina-2775020a284459706f48,416,2056,False,d67c602948b8f9f81efed6bedd1adb2f42647029551636e37ca5b8679645c6d6,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/30688717e25b45f33440.parquet
proteina-27ae64c00ce829981954,200,proteina-27ae64c00ce829981954,228,1092,False,bd3a7e0f6701acb722f0c5802e7fbd5a2ac580adee3404496aec98bc595c4bb1,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/6eb672d283c08189deb7.parquet
proteina-294b402cae8c43c129ed,400,proteina-294b402cae8c43c129ed,322,1774,False,cf0fb76961a2cf012522369f0dee8e02783ff60f8a7d3be327c79594e256080d,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/67c2f5606936d9326f6b.parquet
proteina-29639e56bac37dcfdb2b,60,proteina-29639e56bac37dcfdb2b,37,239,False,9720efee6175eaa4834d60d7daaac18f3fcee8dc6746a14f65b7fbb5957d76e4,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/7674651d62cf1d031f65.parquet
proteina-2a21efb31c705b1a2b62,60,proteina-2a21efb31c705b1a2b62,49,275,False,c7fb2b4c53b958836c1d6fc9bd0c8aecaf56b8996e5e97a15acdc6ea4cddf08b,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/1f51c6e45e0ad889d606.parquet
proteina-2a4a9abfb2af9f5d3ce5,100,proteina-2a4a9abfb2af9f5d3ce5,94,490,False,0267243f0ade7f8143c803b303ed5a61742e21b0171e085f68ee14455c2f021f,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/106536dde600e7daa177.parquet
proteina-2ac5fc6f1805200e8eb9,200,proteina-2ac5fc6f1805200e8eb9,191,981,False,516cb23621807c25003e67c3904280bf5621e7677329b9656655a948b998ed86,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/9f9af92f298c2cb26872.parquet
proteina-2b18f32432ba5eab10b8,400,proteina-2b18f32432ba5eab10b8,520,2368,False,20589c26aeb15244eef8decad7b5ffa2e42fe8c1623d9a5d839b0698628e834e,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/e98ce5bdb99851e833c6.parquet
proteina-2b19bc28e8a907f73649,60,proteina-2b19bc28e8a907f73649,54,290,False,2eac69487dfdb9a3ba45cdee5f4ecce79acb5b80921cb8a3767ac93d26083643,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/7acfe5ae4bc143bf3f0d.parquet
proteina-2c38d189900329477ce8,100,proteina-2c38d189900329477ce8,90,478,False,0cbd5026462ca2b902c057eef895a6e1aaac25f0023652a9a7d21349cd9be13e,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/f3568cd0506e0516c73a.parquet
proteina-2f45d9c13a666a4507b4,60,proteina-2f45d9c13a666a4507b4,42,254,False,f23683af033ffcc2a2fe1124f9e2dfcd1c40bdb8fc5787919337f7d751a7f973,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/6732899e8165c8b123c0.parquet
proteina-2f58b143cc41192eb256,100,proteina-2f58b143cc41192eb256,74,430,False,41d4ffab5aea170eb6709c0a07341a181702f7b205058c46d29023833273d032,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/106536dde600e7daa177.parquet
proteina-2fdccf65fda1dd4d346b,200,proteina-2fdccf65fda1dd4d346b,200,1008,False,f53b9fe630b7712cdaf7282fc2664ae90e727c089e984a8664c9b5e7085db0a0,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/9f9af92f298c2cb26872.parquet
proteina-2ffc344f134f7ccb1080,300,proteina-2ffc344f134f7ccb1080,289,1475,False,8a0fa68d2cddcd4637eb4aeca3b46cffeba8a8716fb38a3e843d9bacfc9ca95b,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l300-cis-v2/documents-provisional/64864aab5e7353e7bf2e.parquet
proteina-3025f21bb5b363bb7835,100,proteina-3025f21bb5b363bb7835,102,514,False,a7ffd2210a916ee54ccf6a5f5029b3b00a25aab056dc3f6a70617ff361ceadf6,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/f3568cd0506e0516c73a.parquet
proteina-30697ada902d1bff1031,200,proteina-30697ada902d1bff1031,207,1029,False,335752f7947364816dee0fcc8a335584234555621f3d967376e321792f75fd5e,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/ee09aa4072bcc9f570db.parquet
