mode,split,stem,n_contacts,n_true,mean_true_log_ratio,mean_false_log_ratio,true_false_log_ratio_delta,log_ratio_auc
full_g05_pa_all,test,8ycm_A,16724,5394,6.515865231827896,6.25323325006944,0.2626319817584566,0.5593224844315592
full_g05_pa_all,test,8b61_A,23924,7879,10.24181767223068,11.546776209925566,-1.304958537694887,0.5016724245898871
full_g05_pa_all,test,7qp5_A,25510,9568,11.56102160901107,12.26097982870832,-0.6999582196972511,0.5043469921693564
full_g05_pa_all,test,8b2s_A,17204,10087,6.418399251114437,6.178760266610644,0.2396389845037925,0.5649826487081013
full_g05_pa_all,test,8arl_A,21245,792,9.773982739085426,11.202616137599547,-1.4286333985141209,0.526667323506418
full_g05_pa_all,test,8dhj_A,27578,18678,13.267539955750594,13.384603394670098,-0.11706343891950333,0.511757944514426
full_g05_pa_all,test,8b4u_A,26137,20057,10.627652669088844,10.947434368094822,-0.3197816990059774,0.5016060641644996
full_g05_pa_all,test,8q8i_A,32818,14757,14.372091910059206,15.432743327081823,-1.0606514170226173,0.5078159789910617
full_g05_pa_all,test,7z65_A,29337,15336,12.623342458329255,13.475188191785092,-0.8518457334558374,0.5019242817516909
full_g05_pa_all,test,7xg9_A,25393,7619,9.615525134294064,10.160074460403173,-0.5445493261091094,0.5122870750079017
full_g05_pa_all,test,7x3h_A,30517,16390,13.065797188039927,13.51188756290975,-0.44609037486982395,0.4923454811756664
full_g05_pa_all,test,8eo5_A,25689,18928,9.911379400233223,10.228665325959248,-0.31728592572602565,0.5056665545694109
full_g05_pa_all,test,7w15_A,30195,16856,12.42728142908124,12.817212519721783,-0.3899310906405429,0.5179714363564445
full_g05_pa_all,test,8daj_A,29395,17108,10.747497446079008,11.565340905200987,-0.8178434591219794,0.5056595055452177
full_g05_pa_all,test,7x4p_A,32774,14671,14.035031482266142,14.37059778548682,-0.3355663032206788,0.5109307850280745
full_g05_pa_all,test,8ci9_A,31704,15176,13.188946237886285,13.211187671475106,-0.022241433588821025,0.5152202201334608
full_g05_pa_all,test,8c4y_A,34811,22595,13.810244596483605,14.64170224200928,-0.8314576455256759,0.49867896959255054
full_g05_pa_all,test,8au6_A,19710,9102,6.770470394172352,6.712076548635848,0.05839384553650451,0.5249791526020006
full_g05_pa_all,test,7xz3_A,35305,9190,13.891254995741413,14.692101587808049,-0.8008465920666357,0.5038863218413075
full_g05_pa_all,test,8d2z_A,30717,18322,10.500185275008528,11.235908591769224,-0.735723316760696,0.5077166372399897
full_g05_pa_all,test,7v3o_A,29628,8222,10.69193587186709,10.780599942874804,-0.0886640710077149,0.5306955934555776
full_g05_pa_all,test,7ylr_A,34024,22720,12.189301135018304,12.810402940076848,-0.6211018050585437,0.49803900588598826
full_g05_pa_all,test,8bux_A,19062,919,6.472922434148676,6.411414867505656,0.061507566643019373,0.5323047459318027
full_g05_pa_all,test,7xjr_A,33696,17942,12.911065282720877,14.005793297428816,-1.0947280147079397,0.5010071578730539
full_g05_pa_all,test,7y4h_A,35112,15616,12.39120986072879,13.3175805674918,-0.9263707067630111,0.4994051723567087
full_g05_pa_all,test,7yyg_A,26406,2103,8.514513337356714,9.353247559229574,-0.8387342218728602,0.4980060051408739
full_g05_pa_all,test,8e5h_A,33823,17614,10.856746573634366,11.542837534935646,-0.6860909613012804,0.5216383599092649
full_g05_pa_all,test,7qsj_A,34711,19820,12.161562132604578,12.570041464274565,-0.4084793316699873,0.5112414609058588
full_g05_pa_all,test,8dqd_A,37733,25590,12.504018343697204,13.359730811069454,-0.8557124673722498,0.5057648520687932
full_g05_pa_all,test,8cpk_A,35561,22494,11.058713326587624,11.044306005756146,0.014407320831477222,0.5221594869113639
full_g05_pa_all,test,7uk8_A,48053,20870,16.292349433935517,16.121006909210085,0.1713425247254321,0.5093159213826266
full_g05_pa_all,test,7xrx_A,37055,12082,13.065586426849878,12.867149580320472,0.19843684652940574,0.5232868747046678
full_g05_pa_all,test,8amo_A,36008,21171,11.17553348014391,12.180024679201592,-1.0044911990576821,0.49095210862642935
full_g05_pa_all,test,8bfy_A,37080,20042,10.687395538568197,11.246454165220149,-0.5590586266519519,0.5023461413037551
full_g05_pa_all,test,8b5w_A,37994,2656,11.20683756208956,12.208300805149754,-1.0014632430601935,0.49660997547266433
full_g05_pa_all,test,8e0r_A,46186,3487,12.344194078446717,13.184303419863989,-0.8401093414172713,0.5030550284320292
full_g05_pa_all,test,8dmu_A,44698,3013,11.39960788949147,12.374282927389062,-0.9746750378975921,0.5079220821564034
full_g05_pa_all,test,7wzm_A,42406,28569,10.909430606763841,11.8888002542821,-0.9793696475182578,0.5001458060988013
full_g05_pa_all,test,7x8l_A,56005,29656,13.86787499932209,14.56555136119654,-0.6976763618744499,0.5073947153132994
full_g05_pa_all,test,8azb_A,59657,40823,14.66910097088224,14.558187390347213,0.11091358053502809,0.5080881180063197
full_g05_pa_all,test,7xyr_A,68452,40054,15.073624214074593,15.281053605156036,-0.2074293910814422,0.5071382843844661
full_g05_pa_all,test,7uww_A,65190,19253,12.352484271305277,12.629689265331162,-0.27720499402588494,0.5006579799981493
full_g05_pa_all,test,8bke_A,64958,22788,13.337006921744262,13.79981991825835,-0.4628129965140886,0.49602053793648243
full_g05_pa_all,test,8dge_A,87478,40288,15.291543067186979,15.218619882593275,0.07292318459370328,0.5112915352332459
full_g0_pa_pos,test,7yhr_A,4013,1220,5.446154826403153,4.709798324430369,0.736356501972784,0.5965108908101636
full_g0_pa_pos,test,7xi5_A,4311,3045,5.721810820517673,5.048831954604312,0.6729788659133611,0.5950744104363976
full_g0_pa_pos,test,8b6e_A,3958,2979,5.734662115333784,4.812075273861558,0.9225868414722251,0.6450012189514549
full_g0_pa_pos,test,8b2g_A,6131,2935,5.379218041630274,4.4626256449145725,0.9165923967157017,0.6269339016189317
full_g0_pa_pos,test,7pv5_A,7006,4315,5.504780174601879,4.917219658925249,0.5875605156766301,0.589007605713737
full_g0_pa_pos,test,8eb9_A,5405,432,4.798595019098785,4.089997052307367,0.7085979667914186,0.5841083517662041
full_g0_pa_pos,test,7y8i_A,9527,6478,5.913912826721758,5.379536193620479,0.5343766331012798,0.5680791995634542
full_g0_pa_pos,test,7y54_A,9568,6703,5.614545084546079,5.01203858501312,0.602506499532959,0.5993466497640216
full_g0_pa_pos,test,7y8h_A,8670,5959,5.700272056730947,4.831622949872497,0.8686491068584496,0.6176081249660705
full_g0_pa_pos,test,7y5j_A,9534,6159,5.53394415846872,5.064912103520499,0.46903205494822053,0.5712524279434492
full_g0_pa_pos,test,7y5r_A,9314,6777,5.59074655548013,4.95278669645291,0.6379598590272195,0.5901393622578257
full_g0_pa_pos,test,7yug_A,7166,1085,4.989325512155959,4.211769810629173,0.7775557015267864,0.6161163766873778
full_g0_pa_pos,test,8bgb_A,10649,7188,5.89974097217214,5.19310240301997,0.7066385691521697,0.5934148248943591
full_g0_pa_pos,test,7zu3_A,11384,2127,6.043849204564016,5.575673196997191,0.4681760075668251,0.5735340297503677
full_g0_pa_pos,test,7tlh_A,11390,3144,5.755441618552455,5.258654108637388,0.4967875099150669,0.5780089459674796
full_g0_pa_pos,test,7zv1_A,9744,4090,5.764721968984983,4.914489753465265,0.8502322155197177,0.6065452504361107
full_g0_pa_pos,test,8dp9_A,14810,9584,7.369261662887785,6.757186735838001,0.6120749270497843,0.5704607500573413
full_g0_pa_pos,test,7zoi_A,14213,6570,6.079886176406521,5.744775040959104,0.33511113544741633,0.5622662553114627
full_g0_pa_pos,test,8dx0_A,13997,9743,6.4644800766470505,6.109542592237281,0.3549374844097697,0.5516056372323003
full_g0_pa_pos,test,7urp_A,13715,4156,6.416022051272769,5.962171841284956,0.453850209987813,0.6004111817181998
full_g0_pa_pos,test,7wz5_A,12072,371,5.844224548163118,4.870021157659467,0.9742033905036509,0.6306939001919111
full_g0_pa_pos,test,8axj_A,13414,9933,6.157769959448844,5.41826403803248,0.739505921416364,0.6219662835510995
full_g0_pa_pos,test,7y5m_A,12150,6522,5.801700648610937,4.988209115496195,0.8134915331147416,0.6166525490129412
full_g0_pa_pos,test,8dez_A,15115,3489,7.116331483542014,6.223135846280075,0.8931956372619387,0.6139147132540169
full_g0_pa_pos,test,8bsb_A,11985,3368,7.192802103855724,6.720771757375894,0.4720303464798308,0.5509550391605612
full_g0_pa_pos,test,7xcd_A,14878,1118,6.292879800823699,6.30648881775614,-0.013609016932440987,0.5169192286891042
full_g0_pa_pos,test,7uvg_A,17603,3047,8.7089906935765,8.319448334435434,0.38954235914106583,0.5845737584835832
full_g0_pa_pos,test,8bau_A,21253,10991,11.573345752647322,10.582361977619284,0.9909837750280381,0.5893007045806564
full_g0_pa_pos,test,7ur2_A,16485,5082,6.892696764993063,6.468578110178432,0.42411865481463096,0.5786844414239118
full_g0_pa_pos,test,8cpn_A,21444,4461,10.40883828178165,9.868184352793628,0.5406539289880214,0.5607094429107431
full_g0_pa_pos,test,8baq_A,20263,6588,8.879338419190413,8.36018891542755,0.5191495037628631,0.5909883018151667
full_g0_pa_pos,test,7uba_A,18982,2813,7.94736485595365,8.209274922979274,-0.26191006702562447,0.5610369207911186
full_g0_pa_pos,test,8b6a_A,18889,9200,7.823666352914322,7.535600245625645,0.2880661072886772,0.5574082778767495
full_g0_pa_pos,test,8cba_A,20987,1784,10.54783894666241,10.493405002898685,0.05443394376372446,0.5447334403793876
full_g0_pa_pos,test,8cih_A,15239,1474,6.817431709967968,6.902852839672356,-0.08542112970438787,0.5441639834378286
full_g0_pa_pos,test,8adc_A,23156,3489,10.7209499030323,10.605469810576718,0.11548009245558255,0.5306261404870312
full_g0_pa_pos,test,7tjb_A,21471,12598,9.72625138761958,9.023280957496032,0.702970430123548,0.5704935964050186
full_g0_pa_pos,test,8ycm_A,19045,4221,7.5565101082267505,7.102187251217544,0.45432285700920616,0.609077936711222
full_g0_pa_pos,test,8b61_A,24607,7074,11.380586624949126,11.08655359447336,0.29403303047576657,0.5610835496909652
full_g0_pa_pos,test,7qp5_A,26700,8425,13.039818142322652,12.401247497129212,0.6385706451934396,0.5488244792914061
full_g0_pa_pos,test,8b2s_A,18877,9704,6.84041819005271,6.034942863668865,0.8054753263838448,0.6140294806283432
full_g0_pa_pos,test,8arl_A,26342,717,14.159946353739775,14.071182148098218,0.08876420564155652,0.5346984250093547
full_g0_pa_pos,test,8dhj_A,28396,18442,14.076895881320592,13.149191477458182,0.9277044038624105,0.5508025971633053
full_g0_pa_pos,test,8b4u_A,27267,19995,11.776547931889167,11.429276672773355,0.34727125911581247,0.5453755387416711
full_g0_pa_pos,test,8q8i_A,34956,14382,15.932696151939426,15.446760873394554,0.48593527854487206,0.5489644430542228
full_g0_pa_pos,test,7z65_A,31050,15218,14.002705778646444,13.632871670987054,0.36983410765938984,0.5437373109096426
full_g0_pa_pos,test,7xg9_A,26956,6634,10.690487371964837,10.474117676227303,0.21636969573753362,0.5567629962250517
full_g0_pa_pos,test,7x3h_A,32047,15900,14.167019137662114,13.783829556345374,0.3831895813167403,0.528200672438325
full_g0_pa_pos,test,8eo5_A,26668,18796,10.80029358582543,10.186799545903932,0.6134940399214983,0.561402823852636
full_g0_pa_pos,test,7w15_A,31811,16264,13.771982385836262,13.118285759903442,0.6536966259328203,0.5506463909745961
full_g0_pa_pos,test,8daj_A,30747,16938,11.962709864564763,11.754318451660087,0.20839141290467644,0.5545648880543672
full_g0_pa_pos,test,7x4p_A,34344,13771,14.933816965801947,14.5413818857918,0.3924350800101468,0.5398268833276283
full_g0_pa_pos,test,8ci9_A,34229,14025,14.726779635112978,13.713782669201297,1.0129969659116806,0.5569719132230924
full_g0_pa_pos,test,8c4y_A,36365,22201,14.997640083223503,14.50305974249226,0.49458034073124324,0.5408592850199051
full_g0_pa_pos,test,8au6_A,20634,8531,6.940880229743137,6.407723636897765,0.5331565928453728,0.5764761791962016
full_g0_pa_pos,test,7xz3_A,37420,7406,15.579772088957874,14.88605986172658,0.6937122272312948,0.5547969908578625
full_g0_pa_pos,test,8d2z_A,32039,17703,11.834635846822273,11.39954043803352,0.43509540878875264,0.5577877496361089
full_g0_pa_pos,test,7v3o_A,33293,7569,12.631962512628037,12.557636969037965,0.07432554359007248,0.5571271822171799
full_g0_pa_pos,test,7ylr_A,35344,22457,13.296370590988081,12.719594836174918,0.5767757548131627,0.5473639958684792
full_g0_pa_pos,test,8bux_A,22477,869,6.878101068652815,6.989567227574718,-0.11146615892190326,0.5469016344796647
full_g0_pa_pos,test,7xjr_A,35418,17289,14.384147884260845,13.888049175343774,0.49609870891707075,0.5492421726656802
full_g0_pa_pos,test,7y4h_A,36918,15271,13.665307288325527,13.585969481917687,0.07933780640784072,0.5448669359376431
full_g0_pa_pos,test,7yyg_A,29913,1737,9.800115564560317,10.59962035387191,-0.7995047893115927,0.5227343906563792
full_g0_pa_pos,test,8e5h_A,35566,16818,12.152219863197365,11.372587522833186,0.7796323403641789,0.5782037847147982
full_g0_pa_pos,test,7qsj_A,36577,18809,13.608795884498733,12.882732706612838,0.7260631778858944,0.5585924967209289
full_g0_pa_pos,test,8dqd_A,39596,25753,13.781181956228496,13.449150945626364,0.33203101060213136,0.5429189576551117
full_g0_pa_pos,test,8cpk_A,37335,22294,12.386847601867453,11.637733045979799,0.7491145558876546,0.55859795700788
full_g0_pa_pos,test,7uk8_A,50458,20607,17.17913158363665,16.530680187794058,0.6484513958425921,0.5319339030898967
full_g0_pa_pos,test,7xrx_A,40111,10355,14.471038203845849,13.693216845185983,0.7778213586598657,0.5496673345592924
full_g0_pa_pos,test,8amo_A,38003,20657,12.639015741464688,12.126075970304054,0.5129397711606334,0.5467861690096272
full_g0_pa_pos,test,8bfy_A,38281,19561,11.694108763562546,11.235675645756046,0.4584331178065,0.5479332799937255
full_g0_pa_pos,test,8b5w_A,44594,2239,12.810161248844429,13.539978720075268,-0.7298174712308398,0.5251149166725938
full_g0_pa_pos,test,8e0r_A,53167,2613,14.400680899905192,14.7633684042467,-0.3626875043415083,0.5189495869879606
full_g0_pa_pos,test,8dmu_A,56478,2514,14.000727922549691,14.21128596614626,-0.21055804359656882,0.5303042123547759
full_g0_pa_pos,test,7wzm_A,45089,28700,12.663768500161686,12.39003204109553,0.2737364590661553,0.5453024634310044
full_g0_pa_pos,test,7x8l_A,59531,28318,15.508801472081458,14.527303536823657,0.981497935257801,0.5547765169540932
full_g0_pa_pos,test,8azb_A,62362,40931,15.579920025940428,14.527373941449305,1.052546084491123,0.5407940489114735
full_g0_pa_pos,test,7xyr_A,72438,39689,16.299513347515624,15.415982093028534,0.8835312544870906,0.541413669268732
full_g0_pa_pos,test,7uww_A,73572,18407,13.917173048346456,13.803017518197265,0.11415553014919055,0.5313801509481542
full_g0_pa_pos,test,8bke_A,68587,21596,14.367498423150877,13.858702957645855,0.5087954655050222,0.533989924175894
full_g0_pa_pos,test,8dge_A,95573,38974,16.12887784350223,15.390651393612588,0.7382264498896429,0.5360413083552267
full_iid_single,test,7yhr_A,8228,2549,0.0,0.0,0.0,0.5
full_iid_single,test,7xi5_A,8621,6068,0.0,0.0,0.0,0.5
full_iid_single,test,8b6e_A,7930,5966,0.0,0.0,0.0,0.5
full_iid_single,test,8b2g_A,12624,5989,0.0,0.0,0.0,0.5
full_iid_single,test,7pv5_A,14011,8607,0.0,0.0,0.0,0.5
full_iid_single,test,8eb9_A,10828,843,0.0,0.0,0.0,0.5
full_iid_single,test,7y8i_A,19125,13002,0.0,0.0,0.0,0.5
full_iid_single,test,7y54_A,19008,13557,0.0,0.0,0.0,0.5
full_iid_single,test,7y8h_A,17362,11874,0.0,0.0,0.0,0.5
full_iid_single,test,7y5j_A,19095,12251,0.0,0.0,0.0,0.5
full_iid_single,test,7y5r_A,18661,13551,0.0,0.0,0.0,0.5
full_iid_single,test,7yug_A,15028,2257,0.0,0.0,0.0,0.5
full_iid_single,test,8bgb_A,21258,14444,0.0,0.0,0.0,0.5
full_iid_single,test,7zu3_A,22837,4209,0.0,0.0,0.0,0.5
full_iid_single,test,7tlh_A,22865,6232,0.0,0.0,0.0,0.5
full_iid_single,test,7zv1_A,19541,8318,0.0,0.0,0.0,0.5
full_iid_single,test,8dp9_A,29691,19106,0.0,0.0,0.0,0.5
full_iid_single,test,7zoi_A,28172,13091,0.0,0.0,0.0,0.5
full_iid_single,test,8dx0_A,28054,19583,0.0,0.0,0.0,0.5
full_iid_single,test,7urp_A,27464,8364,0.0,0.0,0.0,0.5
full_iid_single,test,7wz5_A,23500,733,0.0,0.0,0.0,0.5
full_iid_single,test,8axj_A,26862,19903,0.0,0.0,0.0,0.5
full_iid_single,test,7y5m_A,24507,13079,0.0,0.0,0.0,0.5
full_iid_single,test,8dez_A,30911,7013,0.0,0.0,0.0,0.5
full_iid_single,test,8bsb_A,23902,6689,0.0,0.0,0.0,0.5
full_iid_single,test,7xcd_A,30334,2213,0.0,0.0,0.0,0.5
full_iid_single,test,7uvg_A,35295,6084,0.0,0.0,0.0,0.5
full_iid_single,test,8bau_A,42099,21773,0.0,0.0,0.0,0.5
full_iid_single,test,7ur2_A,33152,10233,0.0,0.0,0.0,0.5
full_iid_single,test,8cpn_A,43063,9648,0.0,0.0,0.0,0.5
full_iid_single,test,8baq_A,40711,13066,0.0,0.0,0.0,0.5
full_iid_single,test,7uba_A,37354,5522,0.0,0.0,0.0,0.5
full_iid_single,test,8b6a_A,37488,18382,0.0,0.0,0.0,0.5
full_iid_single,test,8cba_A,41379,3533,0.0,0.0,0.0,0.5
full_iid_single,test,8cih_A,29925,2732,0.0,0.0,0.0,0.5
full_iid_single,test,8adc_A,46608,7328,0.0,0.0,0.0,0.5
full_iid_single,test,7tjb_A,42953,25285,0.0,0.0,0.0,0.5
full_iid_single,test,8ycm_A,38197,8510,0.0,0.0,0.0,0.5
full_iid_single,test,8b61_A,49333,14234,0.0,0.0,0.0,0.5
full_iid_single,test,7qp5_A,53147,16941,0.0,0.0,0.0,0.5
full_iid_single,test,8b2s_A,37666,19414,0.0,0.0,0.0,0.5
full_iid_single,test,8arl_A,52237,1530,0.0,0.0,0.0,0.5
full_iid_single,test,8dhj_A,56708,36833,0.0,0.0,0.0,0.5
full_iid_single,test,8b4u_A,54388,39945,0.0,0.0,0.0,0.5
full_iid_single,test,8q8i_A,70207,28885,0.0,0.0,0.0,0.5
full_iid_single,test,7z65_A,62327,30533,0.0,0.0,0.0,0.5
full_iid_single,test,7xg9_A,54391,13454,0.0,0.0,0.0,0.5
full_iid_single,test,7x3h_A,64017,31880,0.0,0.0,0.0,0.5
full_iid_single,test,8eo5_A,53109,37577,0.0,0.0,0.0,0.5
full_iid_single,test,7w15_A,63279,32661,0.0,0.0,0.0,0.5
full_iid_single,test,8daj_A,61603,33796,0.0,0.0,0.0,0.5
full_iid_single,test,7x4p_A,68493,27193,0.0,0.0,0.0,0.5
full_iid_single,test,8ci9_A,68269,28087,0.0,0.0,0.0,0.5
full_iid_single,test,8c4y_A,72852,44470,0.0,0.0,0.0,0.5
full_iid_single,test,8au6_A,41491,17052,0.0,0.0,0.0,0.5
full_iid_single,test,7xz3_A,75020,14701,0.0,0.0,0.0,0.5
full_iid_single,test,8d2z_A,63990,35375,0.0,0.0,0.0,0.5
full_iid_single,test,7v3o_A,65399,14988,0.0,0.0,0.0,0.5
full_iid_single,test,7ylr_A,70792,45190,0.0,0.0,0.0,0.5
full_iid_single,test,8bux_A,45557,1669,0.0,0.0,0.0,0.5
full_iid_single,test,7xjr_A,70802,34752,0.0,0.0,0.0,0.5
full_iid_single,test,7y4h_A,73321,30443,0.0,0.0,0.0,0.5
full_iid_single,test,7yyg_A,58852,3290,0.0,0.0,0.0,0.5
full_iid_single,test,8e5h_A,71326,33768,0.0,0.0,0.0,0.5
full_iid_single,test,7qsj_A,73486,37822,0.0,0.0,0.0,0.5
full_iid_single,test,8dqd_A,79147,51570,0.0,0.0,0.0,0.5
full_iid_single,test,8cpk_A,74934,44762,0.0,0.0,0.0,0.5
full_iid_single,test,7uk8_A,100623,40284,0.0,0.0,0.0,0.5
full_iid_single,test,7xrx_A,80127,21967,0.0,0.0,0.0,0.5
full_iid_single,test,8amo_A,76117,41501,0.0,0.0,0.0,0.5
full_iid_single,test,8bfy_A,76703,39186,0.0,0.0,0.0,0.5
full_iid_single,test,8b5w_A,90360,4443,0.0,0.0,0.0,0.5
full_iid_single,test,8e0r_A,105938,5403,0.0,0.0,0.0,0.5
full_iid_single,test,8dmu_A,113644,5131,0.0,0.0,0.0,0.5
full_iid_single,test,7wzm_A,90166,57426,0.0,0.0,0.0,0.5
full_iid_single,test,7x8l_A,118591,56564,0.0,0.0,0.0,0.5
full_iid_single,test,8azb_A,124901,81635,0.0,0.0,0.0,0.5
full_iid_single,test,7xyr_A,144937,79630,0.0,0.0,0.0,0.5
full_iid_single,test,7uww_A,147207,37103,0.0,0.0,0.0,0.5
full_iid_single,test,8bke_A,137647,43844,0.0,0.0,0.0,0.5
full_iid_single,test,8dge_A,191052,78085,0.0,0.0,0.0,0.5
full_t08_single,test,7yhr_A,3759,1303,0.0,0.0,0.0,0.5
full_t08_single,test,7xi5_A,3944,3054,0.0,0.0,0.0,0.5
full_t08_single,test,8b6e_A,3628,2946,0.0,0.0,0.0,0.5
full_t08_single,test,8b2g_A,5765,3103,0.0,0.0,0.0,0.5
full_t08_single,test,7pv5_A,6439,4295,0.0,0.0,0.0,0.5
full_t08_single,test,8eb9_A,4419,432,0.0,0.0,0.0,0.5
full_t08_single,test,7y8i_A,8992,6388,0.0,0.0,0.0,0.5
full_t08_single,test,7y54_A,8946,6811,0.0,0.0,0.0,0.5
full_t08_single,test,7y8h_A,8039,5884,0.0,0.0,0.0,0.5
full_t08_single,test,7y5j_A,8988,6223,0.0,0.0,0.0,0.5
full_t08_single,test,7y5r_A,8671,6731,0.0,0.0,0.0,0.5
full_t08_single,test,7yug_A,5466,1151,0.0,0.0,0.0,0.5
full_t08_single,test,8bgb_A,9890,7320,0.0,0.0,0.0,0.5
full_t08_single,test,7zu3_A,9318,2210,0.0,0.0,0.0,0.5
full_t08_single,test,7tlh_A,9713,3213,0.0,0.0,0.0,0.5
full_t08_single,test,7zv1_A,8355,4126,0.0,0.0,0.0,0.5
full_t08_single,test,8dp9_A,13214,9407,0.0,0.0,0.0,0.5
full_t08_single,test,7zoi_A,12879,6617,0.0,0.0,0.0,0.5
full_t08_single,test,8dx0_A,12994,9505,0.0,0.0,0.0,0.5
full_t08_single,test,7urp_A,11725,4194,0.0,0.0,0.0,0.5
full_t08_single,test,7wz5_A,8479,296,0.0,0.0,0.0,0.5
full_t08_single,test,8axj_A,12132,9759,0.0,0.0,0.0,0.5
full_t08_single,test,7y5m_A,10525,6433,0.0,0.0,0.0,0.5
full_t08_single,test,8dez_A,12565,4166,0.0,0.0,0.0,0.5
full_t08_single,test,8bsb_A,9565,4044,0.0,0.0,0.0,0.5
full_t08_single,test,7xcd_A,12581,1032,0.0,0.0,0.0,0.5
full_t08_single,test,7uvg_A,14437,3240,0.0,0.0,0.0,0.5
full_t08_single,test,8bau_A,18542,10775,0.0,0.0,0.0,0.5
full_t08_single,test,7ur2_A,14093,4979,0.0,0.0,0.0,0.5
full_t08_single,test,8cpn_A,17646,4697,0.0,0.0,0.0,0.5
full_t08_single,test,8baq_A,16818,6621,0.0,0.0,0.0,0.5
