stem,n_residues,n_pairs,elapsed_seconds,model_load_seconds,batch_size,model_nickname,gpu_name,gpu_total_memory_gb,gpu_compute_capability,runner_tag,hostname,platform,torch_version,timestamp_utc,provenance_path
7xq4_A,514,131841,241.546,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:43:04Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7xq4_A/provenance.json
7xrx_A,398,79003,222.028,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:46:49Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7xrx_A/provenance.json
7xyr_A,591,174345,457.809,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:57:07Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7xyr_A/provenance.json
7xz3_A,325,52650,142.9,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:59:33Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7xz3_A/provenance.json
7y3h_A,413,85078,286.259,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:18:22Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7y3h_A/provenance.json
7y4h_A,338,56953,142.262,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:01:57Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7y4h_A/provenance.json
7y54_A,100,4950,12.913,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:02:11Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7y54_A/provenance.json
7y5j_A,102,5151,13.366,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:03:51Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7y5j_A/provenance.json
7y5m_A,170,14365,45.441,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:02:57Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7y5m_A/provenance.json
7y5r_A,105,5460,14.51,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:03:12Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7y5r_A/provenance.json
7y8h_A,100,4950,12.876,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:03:25Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7y8h_A/provenance.json
7y8i_A,97,4656,12.146,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:03:37Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7y8i_A/provenance.json
7yd4_A,185,17020,56.324,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:04:47Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7yd4_A/provenance.json
7yhr_A,60,1770,3.779,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:04:51Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7yhr_A/provenance.json
7ykm_A,105,5460,14.53,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:05:06Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7ykm_A/provenance.json
7ylr_A,330,54285,135.509,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:07:22Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7ylr_A/provenance.json
7yug_A,118,6903,18.044,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:09:42Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7yug_A/provenance.json
7yyg_A,365,66430,177.698,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:12:40Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7yyg_A/provenance.json
7z65_A,283,39903,77.224,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:13:59Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7z65_A/provenance.json
7znz_A,761,289180,1306.671,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:35:47Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7znz_A/provenance.json
7zoi_A,151,11325,30.082,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:36:23Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7zoi_A/provenance.json
7zs2_A,316,49770,134.747,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:38:38Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7zs2_A/provenance.json
7zu3_A,132,8646,23.485,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:39:02Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7zu3_A/provenance.json
7zv1_A,136,9180,24.419,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:39:27Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7zv1_A/provenance.json
8adc_A,215,23005,77.768,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:40:45Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8adc_A/provenance.json
8add_A,213,22578,76.85,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:42:03Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8add_A/provenance.json
8ah9_A,120,7140,18.293,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:42:22Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8ah9_A/provenance.json
8ak2_A,297,43956,85.796,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:46:57Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8ak2_A/provenance.json
8akh_A,374,69751,187.459,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:45:29Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8akh_A/provenance.json
8amo_A,399,79401,224.368,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:46:09Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8amo_A/provenance.json
8arl_A,246,30135,131.994,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:49:10Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8arl_A/provenance.json
8au6_A,321,51360,127.668,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:52:35Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8au6_A/provenance.json
8axj_A,162,13041,40.654,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:53:17Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8axj_A/provenance.json
8azb_A,521,135460,264.721,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:57:42Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8azb_A/provenance.json
8b2e_A,143,10153,34.036,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:58:19Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8b2e_A/provenance.json
8b2g_A,74,2701,6.402,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T23:58:26Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8b2g_A/provenance.json
8b2s_A,245,29890,117.309,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:00:23Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8b2s_A/provenance.json
8b4u_A,277,38226,65.534,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:01:29Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8b4u_A/provenance.json
8b5w_A,459,105111,377.626,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:07:48Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8b5w_A/provenance.json
8b61_A,238,28203,117.484,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:09:48Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8b61_A/provenance.json
8b6a_A,214,22791,76.925,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:11:05Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8b6a_A/provenance.json
8b6e_A,66,2145,4.951,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:11:11Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8b6e_A/provenance.json
8baq_A,208,21528,72.839,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:12:24Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8baq_A/provenance.json
8bau_A,189,17766,59.043,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:13:23Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8bau_A/provenance.json
8bfy_A,426,90525,309.817,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:18:34Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8bfy_A/provenance.json
8bgb_A,131,8515,22.749,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:18:58Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8bgb_A/provenance.json
8bke_A,638,203203,622.32,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:29:21Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8bke_A/provenance.json
8bsb_A,177,15576,48.628,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:30:14Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8bsb_A/provenance.json
8bux_A,334,55611,137.875,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:32:33Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8bux_A/provenance.json
8c4d_A,330,54285,135.267,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:34:49Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8c4d_A/provenance.json
8c4y_A,314,49141,125.219,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:37:57Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8c4y_A/provenance.json
8cba_A,214,22791,82.798,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:39:21Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8cba_A/provenance.json
8ci9_A,312,48516,104.02,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:41:05Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8ci9_A/provenance.json
8cih_A,214,22791,77.095,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:42:24Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8cih_A/provenance.json
8cpk_A,384,73536,225.723,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:49:56Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8cpk_A/provenance.json
8cpn_A,207,21321,72.276,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:51:10Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8cpn_A/provenance.json
8d2z_A,327,53301,134.283,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:53:25Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/8d2z_A/provenance.json
