entry_id,r,L,n_gt,n_gen_tokens,finished,prompt_ok,n_sections_mine,n_sections_theirs,best_f1_mine,best_f1_theirs,last_f1_mine,last_f1_theirs,first_f1_mine,first_f1_theirs,mean_jaccard,precision,n_pred,max_section_f1_delta
denovo_pdb__4ozc_A,13,57,36,1099,True,True,10,10,0.3658536585365854,0.3658536585365854,0.3658536585365854,0.3658536585365854,0.28169014084507044,0.28169014084507044,0.11176797728997657,0.24242424242424243,361.0,0.0
denovo_pdb__4ozc_A,23,57,36,1369,True,True,16,16,0.3846153846153846,0.3846153846153846,0.3846153846153846,0.3846153846153846,0.1388888888888889,0.1388888888888889,0.06762690192506711,0.22838137472283815,450.0,0.0
foldbench100__7xp9_A,12,84,45,3491,True,True,26,26,0.26373626373626374,0.26373626373626374,0.2222222222222222,0.2222222222222222,0.0,0.0,0.07104163072550661,0.12813852813852813,1154.0,0.0
foldbench100__7xp9_A,7,84,45,1224,True,True,9,9,0.20183486238532108,0.20183486238532108,0.16842105263157894,0.16842105263157894,0.0,0.0,0.06962767337091183,0.1259259259259259,403.0,0.0
foldbench100__7xp9_A,6,84,45,3013,True,True,19,19,0.3883495145631068,0.3883495145631068,0.18750000000000003,0.18750000000000003,0.07339449541284403,0.07339449541284403,0.05991298752479484,0.13527054108216433,997.0,0.0
foldbench100__7xp9_A,1,84,45,3106,True,True,25,25,0.25,0.25,0.18918918918918917,0.18918918918918917,0.21686746987951808,0.21686746987951808,0.0568835475206241,0.12950340798442064,1023.0,0.0
denovo_pdb__2af5_A,22,292,251,4503,True,True,12,12,0.27811860940695293,0.27811860940695293,0.27811860940695293,0.27811860940695293,0.08947368421052632,0.08947368421052632,0.07052002313659039,0.24983299933199732,1495.0,0.0
denovo_pdb__2af5_A,23,292,251,6663,False,True,19,19,0.1509433962264151,0.1509433962264151,0.026666666666666665,0.026666666666666665,0.08791208791208792,0.08791208791208792,0.03269686844712351,0.11783295711060948,2214.0,0.0
denovo_pdb__2af5_A,4,292,251,6663,False,True,18,18,0.22065727699530518,0.22065727699530518,0.15466666666666667,0.15466666666666667,0.06043956043956045,0.06043956043956045,0.04657163193081886,0.19142212189616253,2213.0,0.0
denovo_pdb__2af5_A,11,292,251,6663,False,True,20,20,0.22448979591836735,0.22448979591836735,0.036585365853658534,0.036585365853658534,0.09142857142857143,0.09142857142857143,0.029368907494795028,0.15718157181571815,2212.0,0.0
denovo_pdb__5oos_A,18,161,122,1525,True,True,4,4,0.743801652892562,0.743801652892562,0.743801652892562,0.743801652892562,0.6642857142857144,0.6642857142857144,0.40953191286839025,0.6706114398422091,506.0,0.0
denovo_pdb__5oos_A,1,161,122,502,True,True,1,1,0.7087719298245614,0.7087719298245614,0.7087719298245614,0.7087719298245614,0.7087719298245614,0.7087719298245614,,0.6047904191616766,163.0,0.0
denovo_pdb__5oos_A,8,161,122,457,True,True,1,1,0.7407407407407408,0.7407407407407408,0.7407407407407408,0.7407407407407408,0.7407407407407408,0.7407407407407408,,0.6578947368421053,148.0,0.0
denovo_pdb__5oos_A,15,161,122,400,True,True,1,1,0.7165354330708663,0.7165354330708663,0.7165354330708663,0.7165354330708663,0.7165354330708663,0.7165354330708663,,0.6842105263157895,132.0,0.0
denovo_pdb__8oyw_A,19,178,167,6663,False,True,22,22,0.1443298969072165,0.1443298969072165,0.05240174672489083,0.05240174672489083,0.036101083032490974,0.036101083032490974,0.042149934565414104,0.08265582655826559,2204.0,0.0
denovo_pdb__8oyw_A,13,178,167,6663,False,True,19,19,0.20270270270270271,0.20270270270270271,0.14285714285714288,0.14285714285714288,0.10714285714285714,0.10714285714285714,0.03770896278824983,0.08623024830699774,2199.0,0.0
denovo_pdb__8oyw_A,17,178,167,6663,False,True,20,20,0.16788321167883213,0.16788321167883213,0.06862745098039216,0.06862745098039216,0.10600706713780919,0.10600706713780919,0.04325097959017802,0.11607949412827462,2202.0,0.0
denovo_pdb__8oyw_A,4,178,167,2211,True,True,6,6,0.18428184281842822,0.18428184281842822,0.18428184281842822,0.18428184281842822,0.12318840579710147,0.12318840579710147,0.03852796179599468,0.12108843537414966,733.0,0.0
denovo_pdb__4drt_A,18,352,317,6663,False,True,20,20,0.041379310344827586,0.041379310344827586,0.011019283746556472,0.011019283746556472,0.018648018648018648,0.018648018648018648,0.00994747524397012,0.04290876242095754,2214.0,0.0
denovo_pdb__4drt_A,2,352,317,6663,False,True,20,20,0.04245283018867925,0.04245283018867925,0.024509803921568627,0.024509803921568627,0.02380952380952381,0.02380952380952381,0.008734118244275932,0.04200542005420054,2212.0,0.0
denovo_pdb__4drt_A,9,352,317,6663,False,True,19,19,0.047337278106508875,0.047337278106508875,0.0,0.0,0.023255813953488372,0.023255813953488372,0.01119020156236576,0.037923250564334085,2212.0,0.0
denovo_pdb__4drt_A,6,352,317,6663,False,True,20,20,0.07302231237322515,0.07302231237322515,0.016260162601626018,0.016260162601626018,0.02331002331002331,0.02331002331002331,0.010638727450332874,0.04697380307136405,2212.0,0.0
denovo_pdb__6egc_A,6,147,159,6663,False,True,19,19,0.27941176470588236,0.27941176470588236,0.11209439528023599,0.11209439528023599,0.1970802919708029,0.1970802919708029,0.05218482069031441,0.17426636568848758,2183.0,0.0
denovo_pdb__6egc_A,20,147,159,6663,False,True,21,22,0.40666666666666673,0.40666666666666673,0.17100371747211895,0.0,0.19565217391304346,0.19565217391304346,0.06826205751741218,0.25158084914182477,2187.0,0.0
denovo_pdb__6egc_A,22,147,159,160,True,True,1,1,0.330188679245283,0.330188679245283,0.330188679245283,0.330188679245283,0.330188679245283,0.330188679245283,,0.660377358490566,53.0,0.0
denovo_pdb__6egc_A,3,147,159,6663,False,True,26,26,0.5,0.5,0.19327731092436976,0.19327731092436976,0.24489795918367346,0.24489795918367346,0.1636784938073684,0.4132007233273056,2185.0,0.0
denovo_pdb__7hjz_A,11,126,95,588,True,True,3,3,0.44594594594594594,0.44594594594594594,0.44594594594594594,0.44594594594594594,0.3176470588235294,0.3176470588235294,0.193,0.4666666666666667,195.0,0.0
denovo_pdb__7hjz_A,7,126,95,1139,True,True,5,5,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.2233502538071066,0.2233502538071066,0.04980009245077341,0.2566137566137566,378.0,0.0
denovo_pdb__7hjz_A,3,126,95,1550,True,True,8,8,0.5193370165745858,0.5193370165745858,0.29473684210526313,0.29473684210526313,0.23622047244094485,0.23622047244094485,0.13163528525852122,0.38132295719844356,514.0,0.0
denovo_pdb__7hjz_A,23,126,95,298,True,True,1,1,0.5257731958762888,0.5257731958762888,0.5257731958762888,0.5257731958762888,0.5257731958762888,0.5257731958762888,,0.5151515151515151,99.0,0.0
casp_fm__T1125-D2,21,148,137,6663,False,True,26,26,0.08979591836734693,0.08979591836734693,0.011627906976744186,0.011627906976744186,0.027522935779816515,0.027522935779816515,0.03150430181895794,0.05877034358047016,2209.0,0.0
casp_fm__T1125-D2,8,148,137,6663,False,True,27,27,0.10945273631840796,0.10945273631840796,0.011111111111111112,0.011111111111111112,0.025641025641025644,0.025641025641025644,0.020061851891490352,0.06555153707052441,2210.0,0.0
casp_fm__T1125-D2,12,148,137,6663,False,True,31,31,0.0970873786407767,0.0970873786407767,0.058536585365853655,0.058536585365853655,0.0686695278969957,0.0686695278969957,0.023988591403076708,0.07236544549977386,2207.0,0.0
casp_fm__T1125-D2,3,148,137,3834,True,True,15,15,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.07200000000000001,0.07200000000000001,0.017768100099329404,0.06677140612725845,1272.0,0.0
denovo_pdb__8bl5_A,14,117,110,6663,False,True,26,26,0.18867924528301885,0.18867924528301885,0.1111111111111111,0.1111111111111111,0.18867924528301885,0.18867924528301885,0.07577347822837,0.15054249547920434,2210.0,0.0
denovo_pdb__8bl5_A,8,117,110,6663,False,True,23,23,0.26666666666666666,0.26666666666666666,0.054421768707482984,0.054421768707482984,0.10426540284360189,0.10426540284360189,0.08792844669605304,0.1464075915047447,2196.0,0.0
denovo_pdb__8bl5_A,9,117,110,2453,True,True,8,8,0.2277227722772277,0.2277227722772277,0.20720720720720723,0.20720720720720723,0.08181818181818182,0.08181818181818182,0.072650929288491,0.1374233128834356,815.0,0.0
denovo_pdb__8bl5_A,20,117,110,6663,False,True,22,22,0.2046511627906977,0.2046511627906977,0.0,0.0,0.12669683257918551,0.12669683257918551,0.07866814828168871,0.13098464317976513,2195.0,0.0
denovo_pdb__4qkr_A,14,125,141,3471,True,True,12,12,0.29661016949152547,0.29661016949152547,0.29661016949152547,0.29661016949152547,0.22307692307692306,0.22307692307692306,0.18692952853292788,0.2792714657415438,1153.0,0.0
denovo_pdb__4qkr_A,5,125,141,2885,True,True,11,11,0.23045267489711938,0.23045267489711938,0.19491525423728814,0.19491525423728814,0.20168067226890754,0.20168067226890754,0.163819860788764,0.22964509394572025,958.0,0.0
denovo_pdb__4qkr_A,15,125,141,2369,True,True,8,8,0.3375527426160338,0.3375527426160338,0.3375527426160338,0.3375527426160338,0.22857142857142856,0.22857142857142856,0.18376458002771442,0.289707750952986,786.0,0.0
denovo_pdb__4qkr_A,11,125,141,3258,True,True,12,12,0.24778761061946905,0.24778761061946905,0.24778761061946905,0.24778761061946905,0.18666666666666665,0.18666666666666665,0.16366119212921965,0.2412199630314233,1081.0,0.0
denovo_pdb__8cux_B,15,119,99,6663,False,True,28,28,0.12429378531073444,0.12429378531073444,0.04519774011299436,0.04519774011299436,0.011627906976744186,0.011627906976744186,0.04450488780601257,0.05018083182640145,2201.0,0.0
denovo_pdb__8cux_B,19,119,99,6663,False,True,31,31,0.10582010582010583,0.10582010582010583,0.028169014084507043,0.028169014084507043,0.03260869565217391,0.03260869565217391,0.034119577985182815,0.03753957485300769,2204.0,0.0
denovo_pdb__8cux_B,16,119,99,6663,False,True,33,33,0.10050251256281408,0.10050251256281408,0.0,0.0,0.03821656050955414,0.03821656050955414,0.03162307579362117,0.04751131221719457,2201.0,0.0
denovo_pdb__8cux_B,11,119,99,6663,False,True,32,32,0.10362694300518135,0.10362694300518135,0.013245033112582781,0.013245033112582781,0.023668639053254437,0.023668639053254437,0.028844369741117256,0.04389140271493212,2205.0,0.0
denovo_pdb__8bl3_A,16,141,163,3126,True,True,9,9,0.4982206405693951,0.4982206405693951,0.4982206405693951,0.4982206405693951,0.1205673758865248,0.1205673758865248,0.08487693189849538,0.3012512030798845,1039.0,0.0
denovo_pdb__8bl3_A,14,141,163,6663,False,True,20,20,0.39464882943143814,0.39464882943143814,0.1990950226244344,0.1990950226244344,0.09352517985611511,0.09352517985611511,0.06725918030192815,0.2669376693766938,2193.0,0.0
denovo_pdb__8bl3_A,22,141,163,6663,False,True,19,19,0.3333333333333333,0.3333333333333333,0.12355212355212354,0.12355212355212354,0.15770609318996415,0.15770609318996415,0.06970910043796291,0.24198645598194132,2193.0,0.0
denovo_pdb__8bl3_A,10,141,163,6663,False,True,21,21,0.4043321299638989,0.4043321299638989,0.0679611650485437,0.0679611650485437,0.4043321299638989,0.4043321299638989,0.08806733372056182,0.2836495031616983,2205.0,0.0
denovo_pdb__1uw1_A,2,67,56,3925,True,True,25,25,0.2926829268292683,0.2926829268292683,0.10975609756097561,0.10975609756097561,0.2650602409638554,0.2650602409638554,0.05729073512584659,0.15307692307692308,1287.0,0.0
denovo_pdb__1uw1_A,7,67,56,1878,True,True,12,12,0.24299065420560748,0.24299065420560748,0.07339449541284403,0.07339449541284403,0.24299065420560748,0.24299065420560748,0.042052507449383776,0.13987138263665594,621.0,0.0
denovo_pdb__1uw1_A,21,67,56,6663,False,True,52,52,0.26785714285714285,0.26785714285714285,0.13513513513513514,0.13513513513513514,0.08333333333333333,0.08333333333333333,0.03912279626807301,0.11116152450090744,2197.0,0.0
denovo_pdb__1uw1_A,18,67,56,3905,True,True,26,26,0.23762376237623764,0.23762376237623764,0.2204724409448819,0.2204724409448819,0.08163265306122448,0.08163265306122448,0.051210724027040265,0.14385150812064965,1288.0,0.0
denovo_pdb__6rej_A,12,250,223,670,True,True,1,1,0.6410835214446953,0.6410835214446953,0.6410835214446953,0.6410835214446953,0.6410835214446953,0.6410835214446953,,0.6367713004484304,220.0,0.0
denovo_pdb__6rej_A,19,250,223,742,True,True,1,1,0.625531914893617,0.625531914893617,0.625531914893617,0.625531914893617,0.625531914893617,0.625531914893617,,0.5951417004048583,247.0,0.0
denovo_pdb__6rej_A,4,250,223,721,True,True,1,1,0.6883116883116883,0.6883116883116883,0.6883116883116883,0.6883116883116883,0.6883116883116883,0.6883116883116883,,0.6625,239.0,0.0
denovo_pdb__6rej_A,14,250,223,625,True,True,1,1,0.6,0.6,0.6,0.6,0.6,0.6,,0.6201923076923077,207.0,0.0
denovo_pdb__7hjc_A,5,126,93,2503,True,True,10,10,0.5876288659793815,0.5876288659793815,0.5876288659793815,0.5876288659793815,0.3116883116883117,0.3116883116883117,0.13368796188886015,0.3658243080625752,830.0,0.0
denovo_pdb__7hjc_A,23,126,93,280,True,True,1,1,0.3763440860215054,0.3763440860215054,0.3763440860215054,0.3763440860215054,0.3763440860215054,0.3763440860215054,,0.3763440860215054,93.0,0.0
denovo_pdb__7hjc_A,10,126,93,1684,True,True,7,7,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.3050847457627119,0.3050847457627119,0.11299733980742761,0.31305903398926654,559.0,0.0
denovo_pdb__7hjc_A,3,126,93,2163,True,True,9,9,0.5538461538461539,0.5538461538461539,0.5538461538461539,0.5538461538461539,0.24864864864864866,0.24864864864864866,0.08250232928304135,0.2938718662952646,716.0,0.0
denovo_pdb__9hag_A,9,112,81,1740,True,True,6,6,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.2741116751269035,0.2741116751269035,0.10500816417652117,0.2560553633217993,577.0,0.0
denovo_pdb__9hag_A,2,112,81,1486,True,True,7,7,0.4785276073619632,0.4785276073619632,0.4785276073619632,0.4785276073619632,0.27672955974842767,0.27672955974842767,0.1477154467779679,0.33874239350912777,493.0,0.0
denovo_pdb__9hag_A,13,112,81,1969,True,True,7,7,0.4489795918367347,0.4489795918367347,0.4489795918367347,0.4489795918367347,0.2608695652173913,0.2608695652173913,0.10562474184273546,0.24311926605504589,653.0,0.0
denovo_pdb__9hag_A,17,112,81,301,True,True,1,1,0.3425414364640884,0.3425414364640884,0.3425414364640884,0.3425414364640884,0.3425414364640884,0.3425414364640884,,0.31,100.0,0.0
foldbench100__7z65_A,11,283,320,6663,False,True,18,18,0.16266173752310534,0.16266173752310534,0.0440771349862259,0.0440771349862259,0.05069124423963133,0.05069124423963133,0.04599694276376341,0.17381489841986456,2210.0,0.0
foldbench100__7z65_A,1,283,320,4373,True,True,11,11,0.241112828438949,0.241112828438949,0.241112828438949,0.241112828438949,0.10648148148148148,0.10648148148148148,0.0373569603474346,0.17537826685006877,1452.0,0.0
foldbench100__7z65_A,21,283,320,5069,True,True,14,14,0.20094191522762953,0.20094191522762953,0.20094191522762953,0.20094191522762953,0.061465721040189124,0.061465721040189124,0.04145725777853833,0.18635014836795252,1684.0,0.0
foldbench100__7z65_A,20,283,320,3606,True,True,9,9,0.1728,0.1728,0.1728,0.1728,0.06496519721577725,0.06496519721577725,0.038758463396693726,0.1451209341117598,1197.0,0.0
denovo_pdb__2hyz_A,18,136,121,400,True,True,1,1,0.7968127490039841,0.7968127490039841,0.7968127490039841,0.7968127490039841,0.7968127490039841,0.7968127490039841,,0.7518796992481203,130.0,0.0
denovo_pdb__2hyz_A,17,136,121,454,True,True,1,1,0.8475836431226766,0.8475836431226766,0.8475836431226766,0.8475836431226766,0.8475836431226766,0.8475836431226766,,0.7549668874172185,148.0,0.0
denovo_pdb__2hyz_A,6,136,121,427,True,True,1,1,0.7984790874524714,0.7984790874524714,0.7984790874524714,0.7984790874524714,0.7984790874524714,0.7984790874524714,,0.7394366197183099,142.0,0.0
denovo_pdb__2hyz_A,23,136,121,385,True,True,1,1,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,,0.8125,127.0,0.0
denovo_pdb__6veh_A,8,180,128,1330,True,True,4,4,0.6134453781512607,0.6134453781512607,0.6134453781512607,0.6134453781512607,0.5416666666666667,0.5416666666666667,0.2786765729698102,0.5769230769230769,442.0,0.0
denovo_pdb__6veh_A,5,180,128,1011,True,True,3,3,0.5555555555555557,0.5555555555555557,0.5555555555555557,0.5555555555555557,0.36283185840707965,0.36283185840707965,0.34244217321140397,0.5089285714285714,335.0,0.0
denovo_pdb__6veh_A,1,180,128,1679,True,True,5,5,0.582375478927203,0.582375478927203,0.582375478927203,0.582375478927203,0.4730290456431535,0.4730290456431535,0.26592837980142414,0.5412186379928315,558.0,0.0
denovo_pdb__6veh_A,7,180,128,1149,True,True,3,3,0.5865724381625441,0.5865724381625441,0.5865724381625441,0.5865724381625441,0.4298245614035087,0.4298245614035087,0.2582276290087283,0.5157068062827225,382.0,0.0
foldbench100__7y54_A,13,100,105,2199,True,True,9,9,0.3850267379679144,0.3850267379679144,0.3535353535353535,0.3535353535353535,0.2153846153846154,0.2153846153846154,0.15373901115079966,0.30684931506849317,729.0,0.0
foldbench100__7y54_A,15,100,105,1904,True,True,8,8,0.5025641025641026,0.5025641025641026,0.4361702127659574,0.4361702127659574,0.4180790960451977,0.4180790960451977,0.20433108801148897,0.46677215189873417,631.0,0.0
foldbench100__7y54_A,2,100,105,855,True,True,3,3,0.4292237442922375,0.4292237442922375,0.4292237442922375,0.4292237442922375,0.23232323232323232,0.23232323232323232,0.07430368373764601,0.27816901408450706,283.0,0.0
foldbench100__7y54_A,3,100,105,2277,True,True,9,9,0.4387755102040816,0.4387755102040816,0.4134615384615385,0.4134615384615385,0.26666666666666666,0.26666666666666666,0.1478237698934105,0.3478835978835979,756.0,0.0
foldbench100__7wzm_A,23,492,456,6663,False,True,19,19,0.025089605734767026,0.025089605734767026,0.010434782608695651,0.010434782608695651,0.021621621621621623,0.021621621621621623,0.006118316980682891,0.03566591422121896,2212.0,0.0
foldbench100__7wzm_A,2,492,456,6663,False,True,20,20,0.04060913705583756,0.04060913705583756,0.007920792079207921,0.007920792079207921,0.020979020979020976,0.020979020979020976,0.008567101453098965,0.056458897922312554,2213.0,0.0
foldbench100__7wzm_A,5,492,456,6663,False,True,20,20,0.023890784982935155,0.023890784982935155,0.01509433962264151,0.01509433962264151,0.0035398230088495575,0.0035398230088495575,0.005962180085577451,0.02981029810298103,2210.0,0.0
foldbench100__7wzm_A,9,492,456,6663,False,True,19,19,0.03893805309734513,0.03893805309734513,0.021390374331550797,0.021390374331550797,0.017921146953405017,0.017921146953405017,0.008769384955866733,0.05191873589164785,2213.0,0.0
denovo_pdb__9mxx_A,23,149,166,6663,False,True,22,22,0.1843971631205674,0.1843971631205674,0.14035087719298248,0.14035087719298248,0.05447470817120622,0.05447470817120622,0.07701934149373689,0.14498644986449866,2203.0,0.0
denovo_pdb__9mxx_A,20,149,166,6663,False,True,24,24,0.1444866920152091,0.1444866920152091,0.010526315789473684,0.010526315789473684,0.06666666666666668,0.06666666666666668,0.050109650707304984,0.09986443741527339,2202.0,0.0
denovo_pdb__9mxx_A,19,149,166,6663,False,True,21,21,0.15217391304347824,0.15217391304347824,0.058577405857740586,0.058577405857740586,0.08727272727272728,0.08727272727272728,0.04469757344377869,0.11336946702800361,2200.0,0.0
denovo_pdb__9mxx_A,6,149,166,6663,False,True,20,20,0.15969581749049427,0.15969581749049427,0.0784313725490196,0.0784313725490196,0.059040590405904064,0.059040590405904064,0.06234461234666651,0.11969286359530262,2188.0,0.0
denovo_pdb__5ieo_A,1,118,102,6663,False,True,28,28,0.16949152542372883,0.16949152542372883,0.016666666666666666,0.016666666666666666,0.0963855421686747,0.0963855421686747,0.040399056822123684,0.08227848101265822,2203.0,0.0
denovo_pdb__5ieo_A,5,118,102,6663,False,True,32,32,0.13333333333333333,0.13333333333333333,0.013245033112582781,0.013245033112582781,0.058823529411764705,0.058823529411764705,0.039171569604922823,0.07828054298642534,2206.0,0.0
denovo_pdb__5ieo_A,0,118,102,6663,False,True,26,26,0.12999999999999998,0.12999999999999998,0.065359477124183,0.065359477124183,0.07960199004975124,0.07960199004975124,0.04575121039282567,0.06871609403254973,2204.0,0.0
denovo_pdb__5ieo_A,13,118,102,6663,False,True,25,25,0.16831683168316833,0.16831683168316833,0.04878048780487805,0.04878048780487805,0.04519774011299435,0.04519774011299435,0.054432531397604296,0.08224130140081337,2202.0,0.0
denovo_pdb__2wqh_A,2,104,87,328,True,True,1,1,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388,,0.7155963302752294,109.0,0.0
denovo_pdb__2wqh_A,3,104,87,352,True,True,1,1,0.7839195979899497,0.7839195979899497,0.7839195979899497,0.7839195979899497,0.7839195979899497,0.7839195979899497,,0.6666666666666666,112.0,0.0
denovo_pdb__2wqh_A,15,104,87,346,True,True,1,1,0.7623762376237625,0.7623762376237625,0.7623762376237625,0.7623762376237625,0.7623762376237625,0.7623762376237625,,0.6695652173913044,115.0,0.0
denovo_pdb__2wqh_A,16,104,87,340,True,True,1,1,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8367346938775511,,0.7256637168141593,109.0,0.0
denovo_pdb__7tal_A,14,196,194,6663,False,True,20,20,0.2686567164179105,0.2686567164179105,0.03669724770642202,0.03669724770642202,0.10600706713780919,0.10600706713780919,0.03406512836109353,0.16711833785004518,2202.0,0.0
denovo_pdb__7tal_A,7,196,194,6663,False,True,20,20,0.3365695792880259,0.3365695792880259,0.13281249999999997,0.13281249999999997,0.10847457627118644,0.10847457627118644,0.0758336815480899,0.26151761517615174,2207.0,0.0
denovo_pdb__7tal_A,21,196,194,6663,False,True,22,22,0.41975308641975306,0.41975308641975306,0.06986899563318777,0.06986899563318777,0.1986754966887417,0.1986754966887417,0.10610293120523616,0.34462511291779585,2210.0,0.0
denovo_pdb__7tal_A,8,196,194,3488,True,True,11,11,0.4504504504504505,0.4504504504504505,0.4504504504504505,0.4504504504504505,0.22137404580152673,0.22137404580152673,0.03398264540489093,0.23295944779982744,1155.0,0.0
denovo_pdb__9rb0_A,10,208,141,6663,False,True,21,21,0.11857707509881422,0.11857707509881422,0.023529411764705885,0.023529411764705885,0.02390438247011952,0.02390438247011952,0.023029793368300626,0.07181571815718157,2191.0,0.0
denovo_pdb__9rb0_A,1,208,141,6663,False,True,20,20,0.112,0.112,0.016736401673640166,0.016736401673640166,0.015624999999999997,0.015624999999999997,0.01764238028405874,0.06233062330623306,2192.0,0.0
denovo_pdb__9rb0_A,20,208,141,6663,False,True,19,19,0.16083916083916086,0.16083916083916086,0.05970149253731343,0.05970149253731343,0.08270676691729323,0.08270676691729323,0.04900787542865145,0.09706546275395034,2196.0,0.0
denovo_pdb__9rb0_A,12,208,141,6663,False,True,20,20,0.16470588235294117,0.16470588235294117,0.022727272727272728,0.022727272727272728,0.05737704918032787,0.05737704918032787,0.03262997837680018,0.09620596205962059,2195.0,0.0
denovo_pdb__7kuw_A,4,62,13,395,True,True,11,11,0.26666666666666666,0.26666666666666666,0.16666666666666669,0.16666666666666669,0.11764705882352941,0.11764705882352941,0.053485312899106,0.125,127.0,0.0
denovo_pdb__7kuw_A,23,62,13,7,True,True,1,1,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.2666666666666667,,1.0,2.0,0.0
denovo_pdb__7kuw_A,21,62,13,332,True,True,8,8,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.09090909090909093,0.09090909090909093,0.06805704738035565,0.08333333333333333,107.0,0.0
denovo_pdb__7kuw_A,17,62,13,349,True,True,7,7,0.2666666666666667,0.2666666666666667,0.046511627906976744,0.046511627906976744,0.058823529411764705,0.058823529411764705,0.1041117961152929,0.07894736842105263,114.0,0.0
denovo_pdb__5cwd_A,19,171,124,6663,False,True,20,20,0.169811320754717,0.169811320754717,0.06349206349206349,0.06349206349206349,0.05172413793103448,0.05172413793103448,0.03354168276363551,0.0957542908762421,2199.0,0.0
denovo_pdb__5cwd_A,5,171,124,2043,True,True,6,6,0.2730627306273063,0.2730627306273063,0.2730627306273063,0.2730627306273063,0.2105263157894737,0.2105263157894737,0.10170200295960301,0.16053019145802652,678.0,0.0
denovo_pdb__5cwd_A,4,171,124,415,True,True,1,1,0.2519083969465649,0.2519083969465649,0.2519083969465649,0.2519083969465649,0.2519083969465649,0.2519083969465649,,0.2391304347826087,138.0,0.0
denovo_pdb__5cwd_A,6,171,124,2669,True,True,8,8,0.23387096774193547,0.23387096774193547,0.23387096774193547,0.23387096774193547,0.11764705882352941,0.11764705882352941,0.1426121597555349,0.1657271702367531,886.0,0.0
foldbench100__7wz5_A,6,161,113,6663,False,True,25,25,0.041884816753926704,0.041884816753926704,0.0,0.0,0.010309278350515464,0.010309278350515464,0.016189304029760532,0.02078626299141437,2206.0,0.0
foldbench100__7wz5_A,14,161,113,4423,True,True,16,16,0.043478260869565216,0.043478260869565216,0.016949152542372878,0.016949152542372878,0.01941747572815534,0.01941747572815534,0.01785232762293421,0.02042205582028591,1468.0,0.0
