model,stem,n_residues,elapsed_seconds,num_recycles,n_samples,num_loops,num_sampling_steps,gpu_name
esmfold,7dgw_A,94,1.007,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6w90_A,130,1.3366,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7y54_A,100,1.6446,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hjb_A,126,0.7439,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7tal_A,196,1.7751,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8bke_A,638,14.8455,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7awz_A,313,2.7387,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5sbj_A,30,1.4521,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9dbw_A,107,1.0451,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7xz3_A,325,4.3928,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8bfy_A,426,5.2024,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8vei_A,117,0.7909,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1043-D1,148,1.7651,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4pww_A,85,1.041,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1049-D1,134,2.5159,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4r5c_A,304,2.6933,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1031-D1,95,0.9916,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6y7p_A,319,2.8226,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8fjf_A,127,0.8483,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7kuw_A,62,1.0422,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4etj_A,164,2.1127,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8azb_A,521,8.4619,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4oza_A,57,1.0806,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7xp9_A,84,1.5902,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7ah0_A,104,1.5245,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1113-D1,167,0.9491,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hj7_A,126,1.6008,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4lpx_A,97,0.7627,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8kc8_A,227,1.4306,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8k7o_A,233,1.4852,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8tnm_A,136,1.1874,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4r6f_A,329,2.9095,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9r00_A,129,1.1689,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4lny_A,248,1.6155,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4n6t_A,79,1.1036,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7dmf_A,189,1.9789,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5d2t_A,251,1.6945,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,1mj0_A,156,1.2928,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5l0p_A,311,2.608,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7dgy_A,99,1.5105,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8dp9_A,148,0.927,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8j4i_A,190,1.0918,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7ylr_A,330,3.1266,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6rej_A,250,1.5991,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,2p05_A,63,1.9544,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6ee5_A,352,3.9539,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7ax0_A,317,2.9354,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4a29_A,247,1.5888,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,2hkd_A,315,3.0329,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7sq5_A,140,1.8889,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hjd_A,126,0.8166,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hjl_A,126,1.5482,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8d2z_A,327,6.1285,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9dl1_D,124,1.4681,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6x9z_A,120,0.764,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3ltd_A,69,1.4877,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9qrf_A,202,1.3069,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8bl9_A,116,1.0362,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8d9o_A,194,1.3598,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9lm8_A,381,3.868,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,2hyz_A,136,1.2965,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5xg5_A,145,1.2931,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7f1k_A,193,1.3687,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8add_A,213,1.2192,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5lw2_A,155,1.1666,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8s3m_A,345,3.482,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3o4b_A,123,1.1658,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8b6a_A,214,1.2793,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6nek_A,86,1.132,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8k8f_A,179,1.8813,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1040-D1,130,1.9761,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8gmy_A,236,1.4157,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7y3h_A,413,4.8855,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5iep_A,121,1.5448,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8dqd_A,377,3.9218,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8q52_A,320,2.7135,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7p12_A,184,1.926,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9lni_A,212,1.1675,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4wpy_A,88,1.4916,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3ltc_A,69,1.1595,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9quc_A,171,0.9478,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6fpb_A,160,1.2228,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7zu3_A,132,1.3614,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6ff6_A,222,2.0004,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4ozc_A,57,1.4887,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hj3_A,126,0.762,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hjs_A,126,1.1176,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9quo_A,170,1.0785,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8amo_A,399,4.4216,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4yxz_A,278,2.4184,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9eum_A,176,1.0267,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6qsg_A,251,3.0928,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9ugr_A,181,0.9646,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1125-D4,141,1.926,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7jrq_A,127,0.7368,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1039-D1,161,0.8902,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8cpk_A,384,6.2913,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7xi5_A,65,1.5811,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9jla_A,166,1.1549,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8vc8_A,197,1.2347,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9fw5_A,197,1.128,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9dbc_A,109,1.0237,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5cwb_A,197,1.2631,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8xyu_A,169,1.1887,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8c4y_A,314,3.0647,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9r0z_A,100,1.538,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3teu_A,98,1.6009,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8y33_A,184,1.7863,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7zv1_A,136,2.017,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9eqn_A,72,1.4752,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8oys_A,190,1.1299,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9r1j_A,132,5.35,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hk1_A,126,0.7406,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,2xen_A,91,1.0452,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1125-D2,148,1.8092,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5vju_A,196,1.7981,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8axj_A,162,1.369,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4n6u_A,79,1.1073,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6ypi_A,87,1.6623,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8ch0_A,136,1.1906,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8dge_A,738,21.8224,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4qkr_A,125,1.0608,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3rfn_A,151,1.3245,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hj6_A,126,1.6269,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9vp8_A,129,1.7409,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9x1x_A,90,1.534,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8kc4_A,151,1.1714,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8ec3_A,168,1.3098,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hjx_A,126,0.8472,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hj1_A,126,0.7608,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6wvs_A,182,2.0576,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5od1_A,94,1.4836,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8dez_A,173,1.332,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9tau_A,120,1.4947,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7yhr_A,60,1.5039,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9rbe_A,208,1.2044,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7a8s_A,190,1.0388,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9deb_E,83,1.0792,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4nez_A,160,1.8538,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8d9p_A,195,1.271,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9fdg_A,179,1.754,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6yqy_A,178,0.9574,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9xzo_A,120,0.8367,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6mrs_A,77,0.8382,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6i39_A,251,1.7114,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7osv_A,173,1.2222,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5cwc_A,196,1.2743,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8e0r_A,468,6.3584,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9v3a_A,120,0.7302,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8j1w_A,175,1.0012,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7y5r_A,105,1.9369,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7xq4_A,514,8.2244,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7ykm_A,105,1.6815,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6g6m_A,320,2.9158,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6w3w_A,107,1.1006,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8kcj_A,179,0.9271,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7qp5_A,245,2.1737,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8vej_B,242,1.5792,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7vty_A,90,0.7818,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8g9j_A,201,2.082,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9r17_A,105,0.8175,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4ijb_A,244,1.5975,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5cwk_A,172,1.2567,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4uos_A,188,1.853,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,2qyj_A,154,2.2472,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9dcx_A,257,1.8407,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8u1a_A,324,2.7435,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7uvg_A,183,3.0546,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6iei_A,250,1.9027,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1104-D1,117,0.8154,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5oou_A,165,1.4034,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5hrz_A,122,0.8629,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7y8h_A,100,1.7431,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4ess_A,158,0.925,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,2i5z_O,246,1.5681,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7ur8_A,71,1.4996,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6jcc_A,97,1.5653,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7f1i_A,191,1.9903,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,1uw1_A,67,1.8442,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hju_A,126,1.0244,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9bk7_A,102,1.6041,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7xlz_A,266,2.3355,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7y8i_A,97,1.129,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7f1h_A,189,1.0302,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6sa6_A,395,4.3601,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hjf_A,126,1.4759,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1122-D1,230,1.3865,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8etq_A,277,2.3661,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7osu_A,183,1.281,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8chy_A,272,1.9659,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7yyg_A,365,4.781,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8yoz_A,79,1.4741,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8k8i_A,211,1.2126,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7ocm_A,174,2.1169,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7bid_A,286,2.2846,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1120-D2,110,1.0146,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5cwg_A,195,1.0865,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8pf0_A,153,1.3194,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hjw_A,126,0.9965,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5op3_A,157,1.202,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5dra_A,190,1.9756,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7hiz_A,126,1.5603,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4drt_A,352,3.2055,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5d30_A,250,1.6947,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7tjl_A,85,1.7546,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8cqq_A,272,1.9164,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9dbd_A,326,2.909,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8qkd_A,281,2.2033,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8xyr_A,165,1.2536,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8bgb_A,131,0.9367,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8bux_A,334,3.1413,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5cwq_A,233,1.4269,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1027-D1,168,1.294,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8kac_A,121,1.1114,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,6rlh_A,248,2.206,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9emy_B,379,3.901,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,8b2e_A,143,1.4165,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,5cwd_A,171,1.3947,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9d01_A,369,3.7058,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,7z65_A,283,2.9524,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9def_A,151,1.2219,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,3q7w_A,124,1.0613,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4u3h_A,100,1.5252,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9rar_A,208,1.2637,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,4yxx_A,208,2.093,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,9fwa_A,202,1.2023,4.0,,,,NVIDIA H100 80GB HBM3
esmfold,T1033-D1,100,0.978,4.0,,,,NVIDIA H100 80GB HBM3
