entry_id,L,band,n_gt,global_plddt,seconds,all_R,all_AUC,all_ntrue,all_ncand,long_R,long_AUC,long_ntrue,long_ncand
AF-A0A0F7PNC1-F1,88,0-100,27,86.72613629427823,0.906,0.5925925925925926,0.9924741091802702,27,3403,0.5,0.9948823339780787,12,2080
AF-W1UGQ4-F1,101,101-150,80,92.41891132014813,1.225,0.25,0.88125,80,4560,0.14285714285714285,0.8981392557022809,28,3003
AF-A0A7X3RPZ1-F1,172,151-200,114,95.10825582992199,3.35,0.12280701754385964,0.884805807710518,114,13861,0.13043478260869565,0.8814258107781009,69,11026
AF-A0A7C7KEC7-F1,235,201-250,218,90.31880847038107,6.035,0.5045871559633027,0.9829082466936894,218,26335,0.3695652173913043,0.9789655320494551,92,22366
AF-A0A6J6JZN5-F1,312,251-350,339,92.71266014148027,10.452,0.13864306784660768,0.8425511163539439,339,46971,0.125,0.8318715358339779,240,41616
AF-A0A6G6K1X9-F1,407,351-512,383,81.77044222220157,17.843,0.1174934725848564,0.8719521451564071,383,80601,0.06563706563706563,0.8510568903325156,259,73536
AF-A0A7T9INP0-F1,79,0-100,17,78.47405020798308,0.75,0.0,0.9229858858595599,17,2701,0.0,0.9022458298387849,7,1540
AF-R6WBE0-F1,120,101-150,111,92.47283325195312,1.628,0.18018018018018017,0.8541544337633722,111,6555,0.037037037037037035,0.8154707293125372,54,4656
AF-K6E4M3-F1,159,151-200,58,86.8067297545619,2.887,0.13793103448275862,0.9429782890692333,58,11781,0.1111111111111111,0.9441488779419813,45,9180
AF-A0A2S1R5F9-F1,240,201-250,152,84.91875003178914,6.261,0.20394736842105263,0.9469706958578833,152,27495,0.15053763440860216,0.9524699214472897,93,23436
AF-A0A660S7Y7-F1,258,251-350,257,86.65399225368056,7.379,0.13229571984435798,0.8863392635318326,257,31878,0.08125,0.8926717120907262,160,27495
AF-A0A7V3JQB9-F1,396,351-512,324,84.25946977885083,17.039,0.4444444444444444,0.9669395217673471,324,76245,0.4,0.9629712473701024,210,69378
AF-A0A4R0MUF4-F1,65,0-100,23,87.6972303537222,0.557,0.2608695652173913,0.9362136333092755,23,1770,0.3125,0.9198224852071006,16,861
AF-A0A4Q5TKM0-F1,101,101-150,51,85.85603963266504,1.223,0.0784313725490196,0.8410586234937533,51,4560,0.09090909090909091,0.87494133251709,33,3003
AF-A0A3R7G1Y5-F1,154,151-200,152,96.81194810743456,2.656,0.20394736842105263,0.8171677008412147,152,11026,0.07368421052631578,0.7672584073009125,95,8515
AF-A0A3L7PN98-F1,230,201-250,230,97.5526954650879,5.834,0.12173913043478261,0.8411081994045029,230,25200,0.10857142857142857,0.8332631635837916,175,21321
AF-A0A7Y5R676-F1,277,251-350,249,90.57335733076295,8.452,0.13654618473895583,0.9015222251587276,249,36856,0.07058823529411765,0.900946466005444,170,32131
AF-A0A7G6Y7C2-F1,419,351-512,199,76.6621958293323,18.984,0.20100502512562815,0.9465619673191263,199,85491,0.0782608695652174,0.9370347709172496,115,78210
AF-A0A7C2VRS1-F1,63,0-100,30,93.62698461139013,0.509,0.7,0.9829739166153215,30,1653,0.7142857142857143,0.9667101827676241,14,780
AF-A0A7R6WB12-F1,113,101-150,89,91.66238926575247,1.471,0.16853932584269662,0.8494472873927805,89,5778,0.125,0.8363756026389242,64,4005
AF-A0A1F8NAE2-F1,164,151-200,123,89.57030496364686,3.075,0.13821138211382114,0.8507432638243412,123,12561,0.060240963855421686,0.8289370827542314,83,9870
AF-A0A7V9QA30-F1,245,201-250,201,83.85955117673291,6.512,0.2537313432835821,0.9268842416660683,201,28680,0.03,0.9033780852195982,100,24531
AF-V7J8J2-F1,261,251-350,109,75.67141764556767,7.595,0.1559633027522936,0.9147274907011773,109,32640,0.136986301369863,0.9162060686928108,73,28203
AF-A0A7G2E1I1-F1,367,351-512,384,87.9545774849624,14.498,0.1328125,0.8835926434987761,384,65341,0.053231939163498096,0.8730045597208325,263,58996
AF-A0A6H9HT88-F1,67,0-100,37,86.03731297734959,0.567,0.5135135135135135,0.9729146622350506,37,1891,0.4444444444444444,0.9619252873563218,18,946
AF-A0A2T0MBW4-F1,130,101-150,147,90.21092294546274,1.971,0.25170068027210885,0.8402286601869473,147,7750,0.18309859154929578,0.8174295774647887,71,5671
AF-A0A6L7E6M5-F1,162,151-200,111,88.79629610791619,2.98,0.22522522522522523,0.8412343121861046,111,12246,0.21428571428571427,0.8720932675139166,70,9591
AF-A0A7C7RUN0-F1,217,201-250,137,95.1692164900116,5.163,0.145985401459854,0.9226705562832532,137,22366,0.08333333333333333,0.9185095078299776,96,18721
AF-A0A1G7LNW0-F1,284,251-350,260,88.51119719760518,8.934,0.1346153846153846,0.855974962707654,260,38781,0.06918238993710692,0.8404086420767027,159,33930
AF-A0A562P9P6-F1,388,351-512,30,83.37430423559601,16.457,0.23333333333333334,0.9585552197439018,30,73153,0.0,0.9167717718239422,13,66430
AF-A0A2S9IPA0-F1,64,0-100,27,82.00281286239624,0.532,0.4074074074074074,0.9720462743028064,27,1711,0.16666666666666666,0.9427599009900989,12,820
AF-A0A7C1BIX5-F1,103,101-150,43,89.44592211084458,1.246,0.20930232558139536,0.8451587419147781,43,4753,0.14285714285714285,0.8043977142857143,35,3160
AF-A0A368L0B7-F1,188,151-200,138,87.61595766595069,4.031,0.1956521739130435,0.8758204004264898,138,16653,0.1566265060240964,0.8618082055297863,83,13530
AF-A0A815HXD5-F1,227,201-250,218,83.31700441805802,5.686,0.2018348623853211,0.8222021895637062,218,24531,0.07692307692307693,0.7843252781433185,130,20706
AF-A0A0F4JJR3-F1,275,251-350,133,79.78309090354226,8.304,0.21052631578947367,0.9674768702752957,133,36315,0.25882352941176473,0.9721852229684239,85,31626
AF-A0A7X7FCW6-F1,352,351-512,253,83.9069319638339,13.448,0.1541501976284585,0.9203216591771637,253,60031,0.08571428571428572,0.9137142565142602,140,53956
AF-A0A3D1JGZ9-F1,44,0-100,8,94.8854545246471,0.277,0.125,0.8731241473396998,8,741,,,0,210
AF-A0A0D0K2C7-F1,126,101-150,49,78.58944425128755,1.87,0.16326530612244897,0.9236116024554323,49,7260,0.1111111111111111,0.9244350733712436,36,5253
AF-A0A495M121-F1,153,151-200,62,80.1648363100937,2.624,0.3387096774193548,0.9648817761023095,62,10878,0.15,0.9597190675433352,20,8385
AF-A0A1H7BZP4-F1,219,201-250,125,89.3389040803256,5.235,0.144,0.9229030265596047,125,22791,0.16842105263157894,0.9287138962315069,95,19110
AF-A0A077ZA81-F1,312,251-350,334,92.36519243778326,10.44,0.10179640718562874,0.7945440893413123,334,46971,0.06224066390041494,0.7649249978062203,241,41616
AF-A0A522ZN68-F1,412,351-512,350,84.9380582929815,18.501,0.16,0.8860246363499027,350,82621,0.14393939393939395,0.8746704330880948,264,75466
AF-A0A249P6X1-F1,62,0-100,6,91.24032278983823,0.503,0.3333333333333333,0.9536687631027254,6,1596,0.0,0.9310810810810811,1,741
AF-A0A497ENK9-F1,129,101-150,50,78.22519367425016,1.953,0.34,0.9632048574445617,50,7626,0.25,0.9647325994104554,24,5565
AF-A0A444H5J9-F1,181,151-200,70,80.52187836367781,3.647,0.2857142857142857,0.9480989656136428,70,15400,0.24444444444444444,0.9490910071748395,45,12403
AF-A0A1J0AGT5-F1,270,251-350,116,89.34407407972547,8.064,0.646551724137931,0.9966841599278379,116,34980,0.5454545454545454,0.9967718687351479,44,30381
AF-A0A0C2RMB1-F1,87,0-100,59,93.05919502521384,0.894,0.423728813559322,0.8672333703976971,59,3321,0.08695652173913043,0.7466131460110386,23,2016
AF-A0A7X4CRR5-F1,101,101-150,11,76.28742591933448,1.224,0.18181818181818182,0.9616698974799656,11,4560,,,0,3003
AF-A0A451CPY0-F1,177,151-200,189,87.95937844184833,3.495,0.164021164021164,0.8409263286648421,189,14706,0.0782608695652174,0.8097645331286012,115,11781
AF-A0A3C1LHA9-F1,305,251-350,221,89.33078693327357,10.07,0.1583710407239819,0.9181256450237448,221,44850,0.064,0.901665586388495,125,39621
AF-A0A268E796-F1,84,0-100,47,87.54023860749744,0.844,0.2765957446808511,0.9438000532966803,47,3081,0.10526315789473684,0.9152547298671859,19,1830
AF-A0A3N1XX21-F1,136,101-150,74,87.96308817582972,2.133,0.2972972972972973,0.9514835887895952,74,8515,0.3793103448275862,0.959242149260298,58,6328
AF-A8EWB7-F1,180,151-200,57,85.76511126624213,3.623,0.08771929824561403,0.7472714949293063,57,15225,0.0,0.6897273208700953,41,12246
AF-A0A7X6D5Z5-F1,283,251-350,266,93.66452308088647,8.683,0.15037593984962405,0.8010595177957185,266,38503,0.08421052631578947,0.7690827202414638,190,33670
AF-A0A067PRJ7-F1,97,0-100,56,93.90845355790916,1.131,0.14285714285714285,0.8713680387409202,56,4186,0.27586206896551724,0.8952870121825315,29,2701
AF-A0A2S9P5T1-F1,144,101-150,122,94.14986115031772,2.367,0.16393442622950818,0.8047195421123978,122,9591,0.10526315789473684,0.7472883820771306,76,7260
AF-A0A433W767-F1,176,151-200,179,94.57704531062733,3.464,0.1787709497206704,0.802194321257847,179,14535,0.19696969696969696,0.7814990985006642,132,11628
AF-A0A090QN67-F1,278,251-350,186,79.29712235155723,8.501,0.3763440860215054,0.9595354502233375,186,37128,0.376,0.9593391196528208,125,32385
AF-A0A0R2QD14-F1,65,0-100,23,94.25846182016225,0.556,0.2608695652173913,0.8716806450810085,23,1770,0.0,0.8554700568752092,7,861
AF-A0A4Q3T7H6-F1,117,101-150,110,94.8531623579498,1.578,0.20909090909090908,0.8440952267516302,110,6216,0.0625,0.7805584470660807,48,4371
AF-A0A3E2SN93-F1,158,151-200,168,94.03632958327668,2.861,0.27976190476190477,0.8784732610321614,168,11628,0.23770491803278687,0.8609046799301124,122,9045
AF-A0A6L7X515-F1,252,251-350,242,88.67170647212437,7.104,0.22727272727272727,0.8616589553800175,242,30381,0.1464968152866242,0.8302095757160113,157,26106
AF-A0A7Y3A1B4-F1,89,0-100,80,89.7633713282896,0.918,0.3875,0.9310591603053435,80,3486,0.4186046511627907,0.9327882636691522,43,2145
AF-A0A317DSL5-F1,103,101-150,71,91.36466035565127,1.246,0.1267605633802817,0.8265878912947999,71,4753,0.027777777777777776,0.7749413145539906,36,3160
AF-A0A542SDG3-F1,191,151-200,116,89.74178002642087,4.117,0.19827586206896552,0.9274281096329359,116,17205,0.07936507936507936,0.9073659204701096,63,14028
AF-A0A6L9QBG2-F1,72,0-100,47,95.62375005086263,0.65,0.2978723404255319,0.882919730994612,47,2211,0.10526315789473684,0.8552972751671746,19,1176
AF-A0A829EEH3-F1,116,101-150,73,96.15206928910881,1.551,0.1643835616438356,0.8097452854184077,73,6105,0.038461538461538464,0.7567621682624048,52,4278
AF-A0A535H6X6-F1,200,151-200,125,90.50309967041015,4.472,0.112,0.9093432676955827,125,18915,0.0625,0.90517724181279,64,15576
AF-A0A8B3GH25-F1,79,0-100,44,90.28240493581265,0.747,0.5909090909090909,0.986305470968625,44,2701,0.7647058823529411,0.9962921478506045,17,1540
AF-A0A2T0M0R1-F1,104,101-150,67,82.7115387916565,1.266,0.43283582089552236,0.951074477112764,67,4851,0.36363636363636365,0.9563265961769236,33,3240
AF-A0A0R2AXN7-F1,94,0-100,63,96.97787215861868,1.064,0.4126984126984127,0.9517135688949859,63,3916,0.1935483870967742,0.9383495018008782,31,2485
AF-A0A317CR35-F1,105,101-150,33,91.87409529913039,1.278,0.18181818181818182,0.9387838112670328,33,4950,0.2,0.9205461165048543,25,3321
AF-A0A2N6PDX4-F1,68,0-100,47,88.24411745632396,0.597,0.23404255319148937,0.8680091982764395,47,1953,0.05555555555555555,0.7898948331047098,18,990
AF-A0A6I1G324-F1,103,101-150,40,95.63961225342982,1.246,0.025,0.8107203479736897,40,4753,0.06896551724137931,0.7959669159351974,29,3160
AF-A0A6P0RH93-F1,83,0-100,51,79.46638557709844,0.813,0.45098039215686275,0.8222541048939902,51,3003,0.0,0.5718935606187712,17,1770
AF-A0A4Q3VBH4-F1,112,101-150,60,88.35035685130528,1.447,0.15,0.9143171151903998,60,5671,0.16216216216216217,0.9063704075305004,37,3916
AF-A0A6M5Y3Q7-F1,90,0-100,49,82.97677794562446,0.931,0.08163265306122448,0.8698363753340018,49,3570,0.08695652173913043,0.8603052221604006,23,2211
AF-A0A6L3EMM9-F1,139,101-150,38,81.6642446998212,2.2,0.21052631578947367,0.9561057495536429,38,8911,0.24242424242424243,0.9532054003953958,33,6670
AF-A0A4Q3UKB1-F1,64,0-100,41,87.71078145503998,0.533,0.34146341463414637,0.9190740470278954,41,1711,0.1875,0.9195429104477612,16,820
AF-A0A2T0SH52-F1,133,101-150,72,86.46233086836965,2.064,0.2916666666666667,0.9336226277170915,72,8128,0.2,0.9300016820857864,50,5995
AF-A0A523FYF3-F1,70,0-100,45,79.17542871747698,0.619,0.13333333333333333,0.8195468195468195,45,2080,0.20833333333333334,0.808853673919899,24,1081
AF-A0A2N5JGB2-F1,135,101-150,91,91.10607395878544,2.099,0.1978021978021978,0.8435132506750543,91,8385,0.140625,0.8097646090702211,64,6216
AF-A0A6I1ZQT1-F1,76,0-100,77,96.34315801921643,0.706,0.14285714285714285,0.7268736247141563,77,2485,0.13636363636363635,0.7092817227749761,44,1378
AF-A0A0M3KBQ3-F1,134,101-150,69,82.81059737703693,2.082,0.057971014492753624,0.8546245992674849,69,8256,0.05263157894736842,0.8384227008926635,38,6105
AF-A0A7Z9MK76-F1,83,0-100,29,92.35012082019485,0.813,0.06896551724137931,0.6560652088212786,29,3003,0.0,0.9256795016987542,4,1770
AF-A0A5C4MTZ4-F1,127,101-150,48,81.67472436859852,1.886,0.3958333333333333,0.9427360334560662,48,7381,0.23809523809523808,0.9728834739144017,21,5356
AF-A0A495BTJ2-F1,69,0-100,32,75.22811607692553,0.608,0.25,0.889128654233871,32,2016,0.16666666666666666,0.9037145650048876,12,1035
AF-A0A7T9GM63-F1,122,101-150,91,91.56040979604252,1.67,0.14285714285714285,0.850912194601515,91,6786,0.04918032786885246,0.8080598240870667,61,4851
AF-A0A4R4NNM5-F1,68,0-100,58,97.07558856290929,0.598,0.27586206896551724,0.7871804203439178,58,1953,0.25806451612903225,0.6811867200376737,31,990
