target_id,arm,n_contacts,n_true,hits,precision,recall,pairs_over_L
7zu3_A,mf_L5,26,92,11,0.4230769230769231,0.11956521739130435,0.19696969696969696
7zv1_A,mf_L5,27,111,23,0.8518518518518519,0.2072072072072072,0.19852941176470587
8adc_A,mf_L5,43,170,16,0.37209302325581395,0.09411764705882353,0.2
8add_A,mf_L5,42,210,13,0.30952380952380953,0.06190476190476191,0.19718309859154928
8akh_A,mf_L5,74,321,72,0.972972972972973,0.22429906542056074,0.19786096256684493
8ak2_A,mf_L5,59,314,58,0.9830508474576272,0.18471337579617833,0.19865319865319866
8arl_A,mf_L5,49,260,6,0.12244897959183673,0.023076923076923078,0.1991869918699187
8q8i_A,mf_L5,56,376,52,0.9285714285714286,0.13829787234042554,0.19858156028368795
8au6_A,mf_L5,64,168,43,0.671875,0.25595238095238093,0.19937694704049844
8axj_A,mf_L5,32,143,32,1.0,0.22377622377622378,0.19753086419753085
8azb_A,mf_L5,104,587,104,1.0,0.17717206132879046,0.19961612284069097
8b2e_A,mf_L5,28,130,23,0.8214285714285714,0.17692307692307693,0.1958041958041958
8b2g_A,mf_L5,14,59,14,1.0,0.23728813559322035,0.1891891891891892
8b2s_A,mf_L5,49,186,46,0.9387755102040817,0.24731182795698925,0.2
8b4u_A,mf_L5,55,273,55,1.0,0.20146520146520147,0.19855595667870035
8b5w_A,mf_L5,91,370,20,0.21978021978021978,0.05405405405405406,0.19825708061002179
8b61_A,mf_L5,47,212,34,0.723404255319149,0.16037735849056603,0.19747899159663865
8b6a_A,mf_L5,42,195,39,0.9285714285714286,0.2,0.19626168224299065
8b6e_A,mf_L5,13,44,13,1.0,0.29545454545454547,0.19696969696969696
8baq_A,mf_L5,41,190,38,0.926829268292683,0.2,0.1971153846153846
8bau_A,mf_L5,37,209,36,0.972972972972973,0.1722488038277512,0.19576719576719576
8bfy_A,mf_L5,85,359,78,0.9176470588235294,0.21727019498607242,0.19953051643192488
8bgb_A,mf_L5,26,101,25,0.9615384615384616,0.24752475247524752,0.1984732824427481
8bke_A,mf_L5,127,494,118,0.9291338582677166,0.2388663967611336,0.19905956112852666
8bsb_A,mf_L5,35,115,33,0.9428571428571428,0.28695652173913044,0.1977401129943503
8bux_A,mf_L5,66,240,10,0.15151515151515152,0.041666666666666664,0.19760479041916168
8c4d_A,mf_L5,66,229,56,0.8484848484848485,0.2445414847161572,0.2
7xlz_A,mf_L5,53,265,52,0.9811320754716981,0.19622641509433963,0.19924812030075187
8c4y_A,mf_L5,62,373,62,1.0,0.16621983914209115,0.19745222929936307
8cba_A,mf_L5,42,245,17,0.40476190476190477,0.06938775510204082,0.19626168224299065
8ci9_A,mf_L5,62,337,60,0.967741935483871,0.17804154302670624,0.1987179487179487
8cih_A,mf_L5,42,158,25,0.5952380952380952,0.15822784810126583,0.19626168224299065
8amo_A,mf_L5,79,362,79,1.0,0.21823204419889503,0.19799498746867167
8cpk_A,mf_L5,76,353,71,0.9342105263157895,0.20113314447592068,0.19791666666666666
8cpn_A,mf_L5,41,168,28,0.6829268292682927,0.16666666666666666,0.19806763285024154
8d2z_A,mf_L5,65,312,62,0.9538461538461539,0.1987179487179487,0.19877675840978593
8daj_A,mf_L5,60,299,59,0.9833333333333333,0.19732441471571907,0.1986754966887417
8dez_A,mf_L5,34,182,19,0.5588235294117647,0.1043956043956044,0.19653179190751446
8dge_A,mf_L5,147,914,138,0.9387755102040817,0.15098468271334792,0.1991869918699187
8dhj_A,mf_L5,49,267,48,0.9795918367346939,0.1797752808988764,0.19678714859437751
8dmu_A,mf_L5,97,571,32,0.32989690721649484,0.05604203152364273,0.1983640081799591
8dp9_A,mf_L5,29,146,26,0.896551724137931,0.1780821917808219,0.19594594594594594
8dqd_A,mf_L5,75,395,74,0.9866666666666667,0.18734177215189873,0.1989389920424403
8dx0_A,mf_L5,30,135,28,0.9333333333333333,0.2074074074074074,0.19480519480519481
8e0r_A,mf_L5,93,496,38,0.40860215053763443,0.07661290322580645,0.1987179487179487
8e5h_A,mf_L5,74,344,70,0.9459459459459459,0.20348837209302326,0.1989247311827957
8eb9_A,mf_L5,19,71,7,0.3684210526315789,0.09859154929577464,0.2
8ec3_A,mf_L5,33,126,3,0.09090909090909091,0.023809523809523808,0.19642857142857142
8eo5_A,mf_L5,58,253,58,1.0,0.22924901185770752,0.2
7qp5_A,mf_L2,122,241,68,0.5573770491803278,0.2821576763485477,0.49795918367346936
7qsj_A,mf_L2,186,347,161,0.8655913978494624,0.46397694524495675,0.49865951742627346
7t9r_A,mf_L2,19,24,4,0.21052631578947367,0.16666666666666666,0.5
7tlh_A,mf_L2,68,114,28,0.4117647058823529,0.24561403508771928,0.5
7tjb_A,mf_L2,113,201,102,0.9026548672566371,0.5074626865671642,0.4977973568281938
7uba_A,mf_L2,106,208,35,0.330188679245283,0.16826923076923078,0.49765258215962443
7uk8_A,mf_L2,197,526,150,0.7614213197969543,0.28517110266159695,0.5
7ur2_A,mf_L2,97,137,40,0.41237113402061853,0.291970802919708,0.49743589743589745
7urp_A,mf_L2,80,134,50,0.625,0.373134328358209,0.5
7uvg_A,mf_L2,91,178,50,0.5494505494505495,0.2808988764044944,0.4972677595628415
7uww_A,mf_L2,317,693,188,0.5930599369085173,0.2712842712842713,0.49921259842519683
7v3o_A,mf_L2,164,272,81,0.49390243902439024,0.2977941176470588,0.5
7w15_A,mf_L2,151,303,128,0.847682119205298,0.42244224422442245,0.5
7y3h_A,mf_L2,206,312,161,0.7815533980582524,0.5160256410256411,0.49878934624697335
7wz5_A,mf_L2,80,113,3,0.0375,0.02654867256637168,0.4968944099378882
7wzm_A,mf_L2,246,456,224,0.9105691056910569,0.49122807017543857,0.5
7x4p_A,mf_L2,153,333,104,0.6797385620915033,0.3123123123123123,0.498371335504886
7x3h_A,mf_L2,145,296,111,0.7655172413793103,0.375,0.5
7x8l_A,mf_L2,257,580,202,0.7859922178988327,0.3482758620689655,0.5
7xcd_A,mf_L2,89,148,21,0.23595505617977527,0.14189189189189189,0.5
7xg9_A,mf_L2,144,241,78,0.5416666666666666,0.3236514522821577,0.5
7xi5_A,mf_L2,32,42,30,0.9375,0.7142857142857143,0.49230769230769234
7xp9_A,mf_L2,42,45,17,0.40476190476190477,0.37777777777777777,0.5
8ycm_A,mf_L2,114,196,63,0.5526315789473685,0.32142857142857145,0.4978165938864629
7xq4_A,mf_L2,257,472,183,0.7120622568093385,0.3877118644067797,0.5
7xrx_A,mf_L2,199,396,129,0.6482412060301508,0.32575757575757575,0.5
7xjr_A,mf_L2,168,354,135,0.8035714285714286,0.3813559322033898,0.49851632047477745
7xyr_A,mf_L2,295,707,271,0.9186440677966101,0.38330975954738333,0.49915397631133673
7xz3_A,mf_L2,162,316,35,0.21604938271604937,0.11075949367088607,0.49846153846153846
7y4h_A,mf_L2,169,320,138,0.8165680473372781,0.43125,0.5
7y54_A,mf_L2,50,105,50,1.0,0.47619047619047616,0.5
7y5m_A,mf_L2,85,148,65,0.7647058823529411,0.4391891891891892,0.5
7y5r_A,mf_L2,52,97,47,0.9038461538461539,0.4845360824742268,0.49523809523809526
7y8h_A,mf_L2,50,83,46,0.92,0.5542168674698795,0.5
7y8i_A,mf_L2,48,83,46,0.9583333333333334,0.5542168674698795,0.4948453608247423
7y5j_A,mf_L2,51,91,45,0.8823529411764706,0.4945054945054945,0.5
7yd4_A,mf_L2,92,142,18,0.1956521739130435,0.1267605633802817,0.4972972972972973
7yhr_A,mf_L2,30,41,14,0.4666666666666667,0.34146341463414637,0.5
7ykm_A,mf_L2,52,55,39,0.75,0.7090909090909091,0.49523809523809526
7ylr_A,mf_L2,165,364,153,0.9272727272727272,0.42032967032967034,0.5
8gmy_A,mf_L2,118,254,70,0.5932203389830508,0.2755905511811024,0.5
7yug_A,mf_L2,59,94,27,0.4576271186440678,0.2872340425531915,0.5
7yyg_A,mf_L2,182,221,48,0.26373626373626374,0.2171945701357466,0.4986301369863014
7z65_A,mf_L2,141,320,115,0.8156028368794326,0.359375,0.49823321554770317
7znz_A,mf_L2,380,932,261,0.6868421052631579,0.2800429184549356,0.49934296977660975
7zoi_A,mf_L2,75,110,60,0.8,0.5454545454545454,0.4966887417218543
7zs2_A,mf_L2,158,223,131,0.8291139240506329,0.5874439461883408,0.5
7zu3_A,mf_L2,66,92,32,0.48484848484848486,0.34782608695652173,0.5
7zv1_A,mf_L2,68,111,40,0.5882352941176471,0.36036036036036034,0.5
8adc_A,mf_L2,107,170,36,0.3364485981308411,0.21176470588235294,0.49767441860465117
8add_A,mf_L2,106,210,21,0.19811320754716982,0.1,0.49765258215962443
8akh_A,mf_L2,187,321,147,0.786096256684492,0.45794392523364486,0.5
8ak2_A,mf_L2,148,314,140,0.9459459459459459,0.445859872611465,0.4983164983164983
8arl_A,mf_L2,123,260,10,0.08130081300813008,0.038461538461538464,0.5
8q8i_A,mf_L2,141,376,107,0.7588652482269503,0.2845744680851064,0.5
8au6_A,mf_L2,160,168,80,0.5,0.47619047619047616,0.4984423676012461
8axj_A,mf_L2,81,143,76,0.9382716049382716,0.5314685314685315,0.5
8azb_A,mf_L2,260,587,246,0.9461538461538461,0.4190800681431005,0.4990403071017274
8b2e_A,mf_L2,71,130,57,0.8028169014084507,0.43846153846153846,0.4965034965034965
8b2g_A,mf_L2,37,59,29,0.7837837837837838,0.4915254237288136,0.5
8b2s_A,mf_L2,122,186,94,0.7704918032786885,0.5053763440860215,0.49795918367346936
8b4u_A,mf_L2,138,273,134,0.9710144927536232,0.4908424908424908,0.4981949458483754
8b5w_A,mf_L2,229,370,45,0.1965065502183406,0.12162162162162163,0.4989106753812636
8b61_A,mf_L2,119,212,71,0.5966386554621849,0.33490566037735847,0.5
8b6a_A,mf_L2,107,195,87,0.8130841121495327,0.4461538461538462,0.5
8b6e_A,mf_L2,33,44,29,0.8787878787878788,0.6590909090909091,0.5
8baq_A,mf_L2,104,190,76,0.7307692307692307,0.4,0.5
8bau_A,mf_L2,94,209,90,0.9574468085106383,0.430622009569378,0.4973544973544973
8bfy_A,mf_L2,213,359,163,0.7652582159624414,0.45403899721448465,0.5
8bgb_A,mf_L2,65,101,58,0.8923076923076924,0.5742574257425742,0.4961832061068702
8bke_A,mf_L2,319,494,248,0.7774294670846394,0.5020242914979757,0.5
8bsb_A,mf_L2,88,115,68,0.7727272727272727,0.591304347826087,0.4971751412429379
8bux_A,mf_L2,167,240,19,0.11377245508982035,0.07916666666666666,0.5
8c4d_A,mf_L2,165,229,109,0.6606060606060606,0.4759825327510917,0.5
7xlz_A,mf_L2,133,265,115,0.8646616541353384,0.4339622641509434,0.5
8c4y_A,mf_L2,157,373,148,0.9426751592356688,0.3967828418230563,0.5
8cba_A,mf_L2,107,245,31,0.2897196261682243,0.12653061224489795,0.5
8ci9_A,mf_L2,156,337,132,0.8461538461538461,0.3916913946587537,0.5
8cih_A,mf_L2,107,158,44,0.411214953271028,0.27848101265822783,0.5
8amo_A,mf_L2,199,362,177,0.8894472361809045,0.4889502762430939,0.49874686716791977
8cpk_A,mf_L2,192,353,159,0.828125,0.45042492917847027,0.5
8cpn_A,mf_L2,103,168,46,0.44660194174757284,0.27380952380952384,0.4975845410628019
8d2z_A,mf_L2,163,312,140,0.8588957055214724,0.44871794871794873,0.4984709480122324
8daj_A,mf_L2,151,299,136,0.9006622516556292,0.45484949832775917,0.5
8dez_A,mf_L2,86,182,25,0.29069767441860467,0.13736263736263737,0.49710982658959535
8dge_A,mf_L2,369,914,298,0.8075880758807588,0.32603938730853393,0.5
8dhj_A,mf_L2,124,267,112,0.9032258064516129,0.41947565543071164,0.4979919678714859
8dmu_A,mf_L2,244,571,61,0.25,0.10683012259194395,0.49897750511247446
8dp9_A,mf_L2,74,146,69,0.9324324324324325,0.4726027397260274,0.5
8dqd_A,mf_L2,188,395,175,0.9308510638297872,0.4430379746835443,0.4986737400530504
8dx0_A,mf_L2,77,135,72,0.935064935064935,0.5333333333333333,0.5
8e0r_A,mf_L2,234,496,54,0.23076923076923078,0.10887096774193548,0.5
8e5h_A,mf_L2,186,344,138,0.7419354838709677,0.4011627906976744,0.5
8eb9_A,mf_L2,47,71,12,0.2553191489361702,0.16901408450704225,0.49473684210526314
8ec3_A,mf_L2,84,126,19,0.2261904761904762,0.15079365079365079,0.5
8eo5_A,mf_L2,145,253,137,0.9448275862068966,0.541501976284585,0.5
7qp5_A,mf_L,245,241,104,0.42448979591836733,0.4315352697095436,1.0
7qsj_A,mf_L,373,347,235,0.6300268096514745,0.6772334293948127,1.0
7t9r_A,mf_L,38,24,8,0.21052631578947367,0.3333333333333333,1.0
7tlh_A,mf_L,136,114,47,0.34558823529411764,0.41228070175438597,1.0
7tjb_A,mf_L,227,201,152,0.6696035242290749,0.7562189054726368,1.0
7uba_A,mf_L,213,208,49,0.2300469483568075,0.23557692307692307,1.0
7uk8_A,mf_L,394,526,235,0.5964467005076142,0.4467680608365019,1.0
7ur2_A,mf_L,195,137,67,0.3435897435897436,0.48905109489051096,1.0
7urp_A,mf_L,160,134,63,0.39375,0.4701492537313433,1.0
7uvg_A,mf_L,183,178,76,0.41530054644808745,0.42696629213483145,1.0
7uww_A,mf_L,635,693,270,0.4251968503937008,0.38961038961038963,1.0
7v3o_A,mf_L,328,272,112,0.34146341463414637,0.4117647058823529,1.0
7w15_A,mf_L,302,303,204,0.6754966887417219,0.6732673267326733,1.0
7y3h_A,mf_L,413,312,218,0.5278450363196125,0.6987179487179487,1.0
7wz5_A,mf_L,161,113,7,0.043478260869565216,0.061946902654867256,1.0
7wzm_A,mf_L,492,456,333,0.676829268292683,0.7302631578947368,1.0
7x4p_A,mf_L,307,333,159,0.5179153094462541,0.4774774774774775,1.0
7x3h_A,mf_L,290,296,190,0.6551724137931034,0.6418918918918919,1.0
7x8l_A,mf_L,514,580,290,0.5642023346303502,0.5,1.0
7xcd_A,mf_L,178,148,26,0.14606741573033707,0.17567567567567569,1.0
7xg9_A,mf_L,288,241,104,0.3611111111111111,0.4315352697095436,1.0
7xi5_A,mf_L,65,42,38,0.5846153846153846,0.9047619047619048,1.0
7xp9_A,mf_L,84,45,25,0.2976190476190476,0.5555555555555556,1.0
8ycm_A,mf_L,229,196,96,0.4192139737991266,0.4897959183673469,1.0
7xq4_A,mf_L,514,472,242,0.4708171206225681,0.5127118644067796,1.0
7xrx_A,mf_L,398,396,201,0.5050251256281407,0.5075757575757576,1.0
7xjr_A,mf_L,337,354,196,0.5816023738872403,0.5536723163841808,1.0
7xyr_A,mf_L,591,707,436,0.7377326565143824,0.6166902404526167,1.0
7xz3_A,mf_L,325,316,46,0.14153846153846153,0.14556962025316456,1.0
7y4h_A,mf_L,338,320,189,0.5591715976331361,0.590625,1.0
7y54_A,mf_L,100,105,84,0.84,0.8,1.0
7y5m_A,mf_L,170,148,86,0.5058823529411764,0.581081081081081,1.0
7y5r_A,mf_L,105,97,76,0.7238095238095238,0.7835051546391752,1.0
7y8h_A,mf_L,100,83,68,0.68,0.8192771084337349,1.0
7y8i_A,mf_L,97,83,72,0.7422680412371134,0.8674698795180723,1.0
7y5j_A,mf_L,102,91,74,0.7254901960784313,0.8131868131868132,1.0
7yd4_A,mf_L,185,142,32,0.17297297297297298,0.22535211267605634,1.0
7yhr_A,mf_L,60,41,21,0.35,0.5121951219512195,1.0
7ykm_A,mf_L,105,55,51,0.4857142857142857,0.9272727272727272,1.0
7ylr_A,mf_L,330,364,246,0.7454545454545455,0.6758241758241759,1.0
8gmy_A,mf_L,236,254,85,0.3601694915254237,0.3346456692913386,1.0
7yug_A,mf_L,118,94,32,0.2711864406779661,0.3404255319148936,1.0
7yyg_A,mf_L,365,221,69,0.18904109589041096,0.31221719457013575,1.0
7z65_A,mf_L,283,320,165,0.5830388692579506,0.515625,1.0
7znz_A,mf_L,761,932,400,0.5256241787122208,0.4291845493562232,1.0
7zoi_A,mf_L,151,110,84,0.5562913907284768,0.7636363636363637,1.0
7zs2_A,mf_L,316,223,181,0.5727848101265823,0.8116591928251121,1.0
7zu3_A,mf_L,132,92,44,0.3333333333333333,0.4782608695652174,1.0
7zv1_A,mf_L,136,111,53,0.3897058823529412,0.4774774774774775,1.0
8adc_A,mf_L,215,170,64,0.29767441860465116,0.3764705882352941,1.0
8add_A,mf_L,213,210,40,0.18779342723004694,0.19047619047619047,1.0
8akh_A,mf_L,374,321,219,0.5855614973262032,0.6822429906542056,1.0
8ak2_A,mf_L,297,314,212,0.7138047138047138,0.6751592356687898,1.0
8arl_A,mf_L,246,260,14,0.056910569105691054,0.05384615384615385,1.0
8q8i_A,mf_L,282,376,171,0.6063829787234043,0.45478723404255317,1.0
8au6_A,mf_L,321,168,105,0.32710280373831774,0.625,1.0
8axj_A,mf_L,162,143,108,0.6666666666666666,0.7552447552447552,1.0
8azb_A,mf_L,521,587,417,0.800383877159309,0.7103918228279387,1.0
8b2e_A,mf_L,143,130,78,0.5454545454545454,0.6,1.0
8b2g_A,mf_L,74,59,49,0.6621621621621622,0.8305084745762712,1.0
8b2s_A,mf_L,245,186,138,0.563265306122449,0.7419354838709677,1.0
8b4u_A,mf_L,277,273,233,0.8411552346570397,0.8534798534798534,1.0
8b5w_A,mf_L,459,370,67,0.14596949891067537,0.1810810810810811,1.0
8b61_A,mf_L,238,212,95,0.39915966386554624,0.4481132075471698,1.0
8b6a_A,mf_L,214,195,122,0.5700934579439252,0.6256410256410256,1.0
8b6e_A,mf_L,66,44,38,0.5757575757575758,0.8636363636363636,1.0
8baq_A,mf_L,208,190,92,0.4423076923076923,0.4842105263157895,1.0
8bau_A,mf_L,189,209,136,0.7195767195767195,0.6507177033492823,1.0
8bfy_A,mf_L,426,359,237,0.5563380281690141,0.6601671309192201,1.0
8bgb_A,mf_L,131,101,90,0.6870229007633588,0.8910891089108911,1.0
8bke_A,mf_L,638,494,356,0.5579937304075235,0.7206477732793523,1.0
8bsb_A,mf_L,177,115,89,0.5028248587570622,0.7739130434782608,1.0
8bux_A,mf_L,334,240,26,0.07784431137724551,0.10833333333333334,1.0
8c4d_A,mf_L,330,229,162,0.4909090909090909,0.7074235807860262,1.0
7xlz_A,mf_L,266,265,173,0.650375939849624,0.6528301886792452,1.0
8c4y_A,mf_L,314,373,251,0.7993630573248408,0.6729222520107239,1.0
8cba_A,mf_L,214,245,37,0.17289719626168223,0.1510204081632653,1.0
8ci9_A,mf_L,312,337,190,0.6089743589743589,0.5637982195845698,1.0
8cih_A,mf_L,214,158,61,0.2850467289719626,0.3860759493670886,1.0
8amo_A,mf_L,399,362,272,0.681704260651629,0.7513812154696132,1.0
8cpk_A,mf_L,384,353,229,0.5963541666666666,0.6487252124645893,1.0
8cpn_A,mf_L,207,168,53,0.2560386473429952,0.31547619047619047,1.0
8d2z_A,mf_L,327,312,217,0.6636085626911316,0.6955128205128205,1.0
8daj_A,mf_L,302,299,201,0.6655629139072847,0.6722408026755853,1.0
8dez_A,mf_L,173,182,46,0.2658959537572254,0.25274725274725274,1.0
8dge_A,mf_L,738,914,444,0.6016260162601627,0.48577680525164113,1.0
8dhj_A,mf_L,249,267,195,0.7831325301204819,0.7303370786516854,1.0
8dmu_A,mf_L,489,571,74,0.15132924335378323,0.1295971978984238,1.0
8dp9_A,mf_L,148,146,106,0.7162162162162162,0.726027397260274,1.0
8dqd_A,mf_L,377,395,267,0.7082228116710876,0.6759493670886076,1.0
8dx0_A,mf_L,154,135,114,0.7402597402597403,0.8444444444444444,1.0
8e0r_A,mf_L,468,496,94,0.20085470085470086,0.18951612903225806,1.0
8e5h_A,mf_L,372,344,191,0.5134408602150538,0.5552325581395349,1.0
8eb9_A,mf_L,95,71,17,0.17894736842105263,0.23943661971830985,1.0
8ec3_A,mf_L,168,126,37,0.22023809523809523,0.29365079365079366,1.0
8eo5_A,mf_L,290,253,216,0.7448275862068966,0.8537549407114624,1.0
7qp5_A,mf_1p5L,367,241,127,0.3460490463215259,0.5269709543568465,1.4979591836734694
7qsj_A,mf_1p5L,559,347,273,0.4883720930232558,0.7867435158501441,1.4986595174262736
7t9r_A,mf_1p5L,57,24,10,0.17543859649122806,0.4166666666666667,1.5
7tlh_A,mf_1p5L,204,114,63,0.3088235294117647,0.5526315789473685,1.5
7tjb_A,mf_1p5L,340,201,175,0.5147058823529411,0.8706467661691543,1.497797356828194
7uba_A,mf_1p5L,319,208,58,0.18181818181818182,0.27884615384615385,1.4976525821596245
7uk8_A,mf_1p5L,591,526,283,0.47884940778341795,0.5380228136882129,1.5
7ur2_A,mf_1p5L,292,137,76,0.2602739726027397,0.5547445255474452,1.4974358974358974
7urp_A,mf_1p5L,240,134,71,0.29583333333333334,0.5298507462686567,1.5
7uvg_A,mf_1p5L,274,178,90,0.3284671532846715,0.5056179775280899,1.4972677595628416
7uww_A,mf_1p5L,952,693,306,0.32142857142857145,0.44155844155844154,1.499212598425197
7v3o_A,mf_1p5L,492,272,130,0.26422764227642276,0.47794117647058826,1.5
7w15_A,mf_1p5L,453,303,239,0.5275938189845475,0.7887788778877888,1.5
7y3h_A,mf_1p5L,619,312,247,0.3990306946688207,0.7916666666666666,1.4987893462469735
7wz5_A,mf_1p5L,241,113,11,0.04564315352697095,0.09734513274336283,1.4968944099378882
7wzm_A,mf_1p5L,738,456,394,0.5338753387533876,0.8640350877192983,1.5
7x4p_A,mf_1p5L,460,333,192,0.41739130434782606,0.5765765765765766,1.498371335504886
7x3h_A,mf_1p5L,435,296,228,0.5241379310344828,0.7702702702702703,1.5
7x8l_A,mf_1p5L,771,580,340,0.4409857328145266,0.5862068965517241,1.5
7xcd_A,mf_1p5L,267,148,31,0.11610486891385768,0.20945945945945946,1.5
7xg9_A,mf_1p5L,432,241,118,0.27314814814814814,0.4896265560165975,1.5
7xi5_A,mf_1p5L,97,42,41,0.422680412371134,0.9761904761904762,1.4923076923076923
7xp9_A,mf_1p5L,126,45,31,0.24603174603174602,0.6888888888888889,1.5
8ycm_A,mf_1p5L,343,196,110,0.3206997084548105,0.5612244897959183,1.497816593886463
7xq4_A,mf_1p5L,771,472,270,0.35019455252918286,0.5720338983050848,1.5
7xrx_A,mf_1p5L,597,396,239,0.40033500837520936,0.6035353535353535,1.5
7xjr_A,mf_1p5L,505,354,239,0.47326732673267324,0.6751412429378532,1.4985163204747773
7xyr_A,mf_1p5L,886,707,532,0.600451467268623,0.7524752475247525,1.4991539763113366
7xz3_A,mf_1p5L,487,316,58,0.11909650924024641,0.18354430379746836,1.4984615384615385
7y4h_A,mf_1p5L,507,320,216,0.4260355029585799,0.675,1.5
7y54_A,mf_1p5L,150,105,96,0.64,0.9142857142857143,1.5
7y5m_A,mf_1p5L,255,148,100,0.39215686274509803,0.6756756756756757,1.5
7y5r_A,mf_1p5L,157,97,89,0.5668789808917197,0.9175257731958762,1.4952380952380953
7y8h_A,mf_1p5L,150,83,78,0.52,0.9397590361445783,1.5
7y8i_A,mf_1p5L,145,83,82,0.5655172413793104,0.9879518072289156,1.4948453608247423
7y5j_A,mf_1p5L,153,91,85,0.5555555555555556,0.9340659340659341,1.5
7yd4_A,mf_1p5L,277,142,44,0.1588447653429603,0.30985915492957744,1.4972972972972973
7yhr_A,mf_1p5L,90,41,29,0.32222222222222224,0.7073170731707317,1.5
7ykm_A,mf_1p5L,157,55,54,0.34394904458598724,0.9818181818181818,1.4952380952380953
7ylr_A,mf_1p5L,495,364,293,0.591919191919192,0.804945054945055,1.5
8gmy_A,mf_1p5L,354,254,97,0.2740112994350282,0.38188976377952755,1.5
7yug_A,mf_1p5L,177,94,37,0.20903954802259886,0.39361702127659576,1.5
7yyg_A,mf_1p5L,547,221,84,0.15356489945155394,0.38009049773755654,1.4986301369863013
7z65_A,mf_1p5L,424,320,198,0.4669811320754717,0.61875,1.4982332155477032
