stem,residues,tokens,statements,mode,max_position,sequence_nll,structure_nll
9gso_A,177,830,339,baseline,829,3.6036739349365234,2.8526012897491455
9gso_A,177,830,339,gap1,829,3.6036739349365234,2.8526012897491455
9gso_A,177,830,339,shift1024,1853,3.6007513999938965,2.848464012145996
9gso_A,177,830,339,fixedgap2,1167,3.6047778129577637,3.108532190322876
9gso_A,177,830,339,randgap2,1160,3.8222999572753906,2.917778491973877
9gso_A,177,830,339,fixedgap3,1505,4.13086462020874,3.0508410930633545
9gso_A,177,830,339,randgap3,1513,4.058379650115967,3.042369842529297
9gso_A,177,830,339,fixedgap5,2181,4.827828407287598,5.608355522155762
9gso_A,177,830,339,randgap5,2194,4.409964084625244,4.070971488952637
9gso_A,177,830,339,gap2,999,3.6047980785369873,2.922273874282837
9gso_A,177,830,339,gap4,1353,4.058539390563965,3.043915033340454
9gso_A,177,830,339,gap8,2030,4.36243200302124,3.0181221961975098
9gso_A,177,830,339,jitter1,822,3.7361860275268555,4.676352024078369
9gso_A,177,830,339,jitter4,819,3.96221923828125,5.673871994018555
9gso_A,177,830,339,flat,2,6.97792387008667,6.258674621582031
9gso_A,177,830,339,rope_off,829,6.575652122497559,8.52064037322998
8amo_A,399,1892,767,baseline,1891,3.720721960067749,3.3688135147094727
8amo_A,399,1892,767,gap1,1891,3.720721960067749,3.3688135147094727
8amo_A,399,1892,767,shift1024,2915,3.7198727130889893,3.3730525970458984
8amo_A,399,1892,767,fixedgap2,2657,3.733530282974243,3.5614709854125977
8amo_A,399,1892,767,randgap2,2638,4.1095380783081055,3.3956515789031982
8amo_A,399,1892,767,fixedgap3,3423,4.397737979888916,3.4217209815979004
8amo_A,399,1892,767,randgap3,3389,4.62338924407959,3.425906181335449
8amo_A,399,1892,767,fixedgap5,4955,4.809374809265137,4.14008903503418
8amo_A,399,1892,767,randgap5,4906,4.595977306365967,3.5751917362213135
8amo_A,399,1892,767,gap2,2262,3.727537155151367,3.4216668605804443
8amo_A,399,1892,767,gap4,3031,4.606827735900879,3.4048454761505127
8amo_A,399,1892,767,gap8,4547,4.573611736297607,3.5484259128570557
8amo_A,399,1892,767,jitter1,1872,3.8764700889587402,4.826079368591309
8amo_A,399,1892,767,jitter4,1921,4.233819007873535,5.616976737976074
8amo_A,399,1892,767,flat,2,6.103489875793457,7.705909252166748
8amo_A,399,1892,767,rope_off,1891,5.764467716217041,9.998380661010742
7uvg_A,183,908,367,baseline,907,3.539238691329956,2.890573740005493
7uvg_A,183,908,367,gap1,907,3.539238691329956,2.890573740005493
7uvg_A,183,908,367,shift1024,1931,3.539609909057617,2.8882369995117188
7uvg_A,183,908,367,fixedgap2,1273,3.5457286834716797,3.035318374633789
7uvg_A,183,908,367,randgap2,1260,3.7385213375091553,2.9709954261779785
7uvg_A,183,908,367,fixedgap3,1639,3.9681622982025146,3.001202344894409
7uvg_A,183,908,367,randgap3,1619,4.137905120849609,3.001932382583618
7uvg_A,183,908,367,fixedgap5,2371,4.742702484130859,4.806697845458984
7uvg_A,183,908,367,randgap5,2309,4.383328914642334,5.6012864112854
7uvg_A,183,908,367,gap2,1077,3.540353775024414,2.9803411960601807
7uvg_A,183,908,367,gap4,1439,3.9693872928619385,2.984498977661133
7uvg_A,183,908,367,gap8,2138,4.310956001281738,3.49155592918396
7uvg_A,183,908,367,jitter1,894,3.6557326316833496,4.231878757476807
7uvg_A,183,908,367,jitter4,873,3.8513872623443604,6.58599853515625
7uvg_A,183,908,367,flat,2,9.404321670532227,5.818719863891602
7uvg_A,183,908,367,rope_off,907,7.6459736824035645,8.097421646118164
8j2x_A,341,1383,578,baseline,1382,3.5913093090057373,3.6469311714172363
8j2x_A,341,1383,578,gap1,1382,3.5913093090057373,3.6469311714172363
8j2x_A,341,1383,578,shift1024,2406,3.589904308319092,3.6490988731384277
8j2x_A,341,1383,578,fixedgap2,1959,3.6002554893493652,3.7988362312316895
8j2x_A,341,1383,578,randgap2,1975,4.067575931549072,3.6251063346862793
8j2x_A,341,1383,578,fixedgap3,2536,4.140249252319336,3.6142592430114746
8j2x_A,341,1383,578,randgap3,2575,4.614952087402344,3.5954129695892334
8j2x_A,341,1383,578,fixedgap5,3690,4.549111843109131,4.593072414398193
8j2x_A,341,1383,578,randgap5,3747,4.535498142242432,3.756486415863037
8j2x_A,341,1383,578,gap2,1672,3.596940279006958,3.742180347442627
8j2x_A,341,1383,578,gap4,2267,4.497537136077881,3.6372711658477783
8j2x_A,341,1383,578,gap8,3456,4.648524284362793,4.357107639312744
8j2x_A,341,1383,578,jitter1,1398,3.7729671001434326,4.337660789489746
8j2x_A,341,1383,578,jitter4,1297,4.148776531219482,5.887627601623535
8j2x_A,341,1383,578,flat,2,9.66152572631836,7.241662502288818
8j2x_A,341,1383,578,rope_off,1382,8.38443660736084,7.66362190246582
8t4c_A,147,782,313,baseline,781,3.2610466480255127,2.8267927169799805
8t4c_A,147,782,313,gap1,781,3.2610466480255127,2.8267927169799805
8t4c_A,147,782,313,shift1024,1805,3.2606654167175293,2.830045461654663
8t4c_A,147,782,313,fixedgap2,1093,3.2835280895233154,3.1051230430603027
8t4c_A,147,782,313,randgap2,1091,3.6214897632598877,2.9294731616973877
8t4c_A,147,782,313,fixedgap3,1405,3.801224708557129,2.953111171722412
8t4c_A,147,782,313,randgap3,1409,3.876713752746582,2.98156476020813
8t4c_A,147,782,313,fixedgap5,2029,4.2820658683776855,6.856437683105469
8t4c_A,147,782,313,randgap5,2024,4.028913974761963,3.0572850704193115
8t4c_A,147,782,313,gap2,934,3.2589380741119385,2.939077615737915
8t4c_A,147,782,313,gap4,1242,3.850515604019165,2.990328311920166
8t4c_A,147,782,313,gap8,1866,3.997673749923706,3.078040838241577
8t4c_A,147,782,313,jitter1,779,3.390991687774658,3.970625162124634
8t4c_A,147,782,313,jitter4,749,3.686255693435669,5.496304512023926
8t4c_A,147,782,313,flat,2,7.510670185089111,6.133273601531982
8t4c_A,147,782,313,rope_off,781,6.613903999328613,8.452863693237305
8daj_A,302,1509,607,baseline,1508,3.6520438194274902,3.3697803020477295
8daj_A,302,1509,607,gap1,1508,3.6520438194274902,3.3697803020477295
8daj_A,302,1509,607,shift1024,2532,3.6521825790405273,3.363870620727539
8daj_A,302,1509,607,fixedgap2,2114,3.649059772491455,3.6361727714538574
8daj_A,302,1509,607,randgap2,2102,3.974945306777954,3.5000503063201904
8daj_A,302,1509,607,fixedgap3,2720,4.30389928817749,3.4561350345611572
8daj_A,302,1509,607,randgap3,2692,4.634686470031738,3.4748706817626953
8daj_A,302,1509,607,fixedgap5,3932,4.883853435516357,4.226840496063232
8daj_A,302,1509,607,randgap5,3889,4.621423721313477,3.5776376724243164
8daj_A,302,1509,607,gap2,1810,3.648327350616455,3.4924800395965576
8daj_A,302,1509,607,gap4,2409,4.35925817489624,3.5067200660705566
8daj_A,302,1509,607,gap8,3598,4.650062084197998,3.498225212097168
8daj_A,302,1509,607,jitter1,1496,3.769779920578003,4.834439754486084
8daj_A,302,1509,607,jitter4,1482,4.210839748382568,5.960198879241943
8daj_A,302,1509,607,flat,2,8.086000442504883,7.500282287597656
8daj_A,302,1509,607,rope_off,1508,7.061794281005859,8.231734275817871
8suc_A,283,1381,558,baseline,1380,3.6280570030212402,3.1365530490875244
8suc_A,283,1381,558,gap1,1380,3.6280570030212402,3.1365530490875244
8suc_A,283,1381,558,shift1024,2404,3.626732349395752,3.1393985748291016
8suc_A,283,1381,558,fixedgap2,1937,3.634308099746704,3.4801785945892334
8suc_A,283,1381,558,randgap2,1951,4.082144737243652,3.2899298667907715
8suc_A,283,1381,558,fixedgap3,2494,4.224684715270996,3.3536858558654785
8suc_A,283,1381,558,randgap3,2513,4.319612979888916,3.355940103530884
8suc_A,283,1381,558,fixedgap5,3608,4.7052435874938965,3.878631591796875
8suc_A,283,1381,558,randgap5,3653,4.576923370361328,3.461303472518921
8suc_A,283,1381,558,gap2,1670,3.6288135051727295,3.2976436614990234
8suc_A,283,1381,558,gap4,2232,4.341541767120361,3.3318731784820557
8suc_A,283,1381,558,gap8,3370,4.532674312591553,3.4124412536621094
8suc_A,283,1381,558,jitter1,1394,3.7634177207946777,4.920245170593262
8suc_A,283,1381,558,jitter4,1379,4.194108963012695,5.114833354949951
8suc_A,283,1381,558,flat,2,9.52955150604248,9.227502822875977
8suc_A,283,1381,558,rope_off,1380,7.306491851806641,9.232558250427246
8dhj_A,249,1307,522,baseline,1306,3.456134796142578,3.127232074737549
8dhj_A,249,1307,522,gap1,1306,3.456134796142578,3.127232074737549
8dhj_A,249,1307,522,shift1024,2330,3.455822229385376,3.1255221366882324
8dhj_A,249,1307,522,fixedgap2,1827,3.4676921367645264,3.4747302532196045
8dhj_A,249,1307,522,randgap2,1816,3.8346807956695557,3.29618239402771
8dhj_A,249,1307,522,fixedgap3,2348,4.154465198516846,3.3424196243286133
8dhj_A,249,1307,522,randgap3,2306,4.153952121734619,3.2898340225219727
8dhj_A,249,1307,522,fixedgap5,3390,4.611557960510254,6.41770076751709
8dhj_A,249,1307,522,randgap5,3322,4.3650593757629395,3.3227944374084473
8dhj_A,249,1307,522,gap2,1555,3.464186668395996,3.285111427307129
8dhj_A,249,1307,522,gap4,2061,4.17155647277832,3.244141101837158
8dhj_A,249,1307,522,gap8,3065,4.3542160987854,3.3331239223480225
8dhj_A,249,1307,522,jitter1,1295,3.5699551105499268,4.6571221351623535
8dhj_A,249,1307,522,jitter4,1277,3.9851722717285156,5.019239902496338
8dhj_A,249,1307,522,flat,2,8.16991138458252,5.508787631988525
8dhj_A,249,1307,522,rope_off,1306,8.16170883178711,9.448599815368652
9fgp_A,140,792,314,baseline,791,3.468827247619629,2.7081291675567627
9fgp_A,140,792,314,gap1,791,3.468827247619629,2.7081291675567627
9fgp_A,140,792,314,shift1024,1815,3.4695684909820557,2.710421323776245
9fgp_A,140,792,314,fixedgap2,1104,3.471804618835449,2.924457311630249
9fgp_A,140,792,314,randgap2,1102,3.6691629886627197,2.8134756088256836
9fgp_A,140,792,314,fixedgap3,1417,4.020411014556885,2.917860507965088
9fgp_A,140,792,314,randgap3,1407,4.207707405090332,2.893308401107788
9fgp_A,140,792,314,fixedgap5,2043,4.765564441680908,4.180051326751709
9fgp_A,140,792,314,randgap5,2025,4.470261096954346,2.9251773357391357
9fgp_A,140,792,314,gap2,945,3.4725921154022217,2.7813327312469482
9fgp_A,140,792,314,gap4,1246,3.934934377670288,2.9025707244873047
9fgp_A,140,792,314,gap8,1868,4.5019636154174805,2.891000509262085
9fgp_A,140,792,314,jitter1,789,3.693340539932251,3.6129262447357178
9fgp_A,140,792,314,jitter4,806,3.8468549251556396,5.234921455383301
9fgp_A,140,792,314,flat,2,6.793700218200684,6.037731647491455
9fgp_A,140,792,314,rope_off,791,6.438045501708984,9.132704734802246
7yug_A,118,526,218,baseline,525,3.399951934814453,2.887237548828125
7yug_A,118,526,218,gap1,525,3.399951934814453,2.887237548828125
7yug_A,118,526,218,shift1024,1549,3.401083469390869,2.885619640350342
7yug_A,118,526,218,fixedgap2,742,3.4254469871520996,3.0266947746276855
7yug_A,118,526,218,randgap2,739,3.740565061569214,2.9741013050079346
7yug_A,118,526,218,fixedgap3,959,3.8607494831085205,2.952066659927368
7yug_A,118,526,218,randgap3,961,4.013640880584717,3.1176156997680664
7yug_A,118,526,218,fixedgap5,1393,4.132534503936768,5.442257404327393
7yug_A,118,526,218,randgap5,1383,4.099647045135498,3.0710628032684326
7yug_A,118,526,218,gap2,631,3.398024320602417,3.0111026763916016
7yug_A,118,526,218,gap4,848,3.9213945865631104,2.9440510272979736
7yug_A,118,526,218,gap8,1285,4.084115505218506,3.049478769302368
7yug_A,118,526,218,jitter1,522,3.608786106109619,3.9717209339141846
7yug_A,118,526,218,jitter4,552,3.9675629138946533,4.66243314743042
7yug_A,118,526,218,flat,2,6.072286128997803,8.747413635253906
7yug_A,118,526,218,rope_off,525,6.658946990966797,6.351009368896484
8ev4_A,125,543,226,baseline,542,3.2319376468658447,3.1952528953552246
8ev4_A,125,543,226,gap1,542,3.2319376468658447,3.1952528953552246
8ev4_A,125,543,226,shift1024,1566,3.2331621646881104,3.1968603134155273
8ev4_A,125,543,226,fixedgap2,767,3.245755910873413,3.4047882556915283
8ev4_A,125,543,226,randgap2,770,3.581244707107544,3.2783620357513428
8ev4_A,125,543,226,fixedgap3,992,3.7762563228607178,3.2111289501190186
8ev4_A,125,543,226,randgap3,1003,3.879756450653076,3.2350666522979736
8ev4_A,125,543,226,fixedgap5,1442,4.120534896850586,5.036424160003662
8ev4_A,125,543,226,randgap5,1457,3.979642152786255,3.161085605621338
8ev4_A,125,543,226,gap2,661,3.230510950088501,3.286034345626831
8ev4_A,125,543,226,gap4,887,3.9356534481048584,3.2855963706970215
8ev4_A,125,543,226,gap8,1340,4.043878078460693,3.1470072269439697
8ev4_A,125,543,226,jitter1,545,3.3358774185180664,4.52853536605835
8ev4_A,125,543,226,jitter4,513,3.7138707637786865,5.9605560302734375
8ev4_A,125,543,226,flat,2,7.472201824188232,6.365665912628174
8ev4_A,125,543,226,rope_off,542,6.38994836807251,8.18592643737793
8jiy_A,241,1222,491,baseline,1221,3.630390167236328,3.0806987285614014
8jiy_A,241,1222,491,gap1,1221,3.630390167236328,3.0806987285614014
8jiy_A,241,1222,491,shift1024,2245,3.627964735031128,3.0830342769622803
8jiy_A,241,1222,491,fixedgap2,1711,3.6402347087860107,3.284792900085449
8jiy_A,241,1222,491,randgap2,1719,3.928962469100952,3.152647018432617
8jiy_A,241,1222,491,fixedgap3,2201,4.222070217132568,3.198621988296509
8jiy_A,241,1222,491,randgap3,2199,4.492900371551514,3.167102575302124
8jiy_A,241,1222,491,fixedgap5,3181,4.769336223602295,4.222597122192383
8jiy_A,241,1222,491,randgap5,3164,4.630985260009766,3.1817030906677246
8jiy_A,241,1222,491,gap2,1470,3.6335062980651855,3.1551027297973633
8jiy_A,241,1222,491,gap4,1953,4.229951858520508,3.172290325164795
8jiy_A,241,1222,491,gap8,2922,4.486972808837891,3.182805299758911
8jiy_A,241,1222,491,jitter1,1229,3.818369150161743,4.787909507751465
8jiy_A,241,1222,491,jitter4,1231,4.027408599853516,5.598171234130859
8jiy_A,241,1222,491,flat,2,6.652576446533203,5.704699516296387
8jiy_A,241,1222,491,rope_off,1221,6.6023406982421875,9.839899063110352
9bjx_A,368,2004,794,baseline,2003,3.764533042907715,3.4734604358673096
9bjx_A,368,2004,794,gap1,2003,3.764533042907715,3.4734604358673096
9bjx_A,368,2004,794,shift1024,3027,3.764829635620117,3.4707257747650146
9bjx_A,368,2004,794,fixedgap2,2796,3.7664096355438232,3.6659553050994873
9bjx_A,368,2004,794,randgap2,2782,4.238766193389893,3.5432467460632324
9bjx_A,368,2004,794,fixedgap3,3589,4.545322895050049,3.552861452102661
9bjx_A,368,2004,794,randgap3,3580,4.550342082977295,3.5965464115142822
9bjx_A,368,2004,794,fixedgap5,5175,4.927493095397949,5.609184265136719
9bjx_A,368,2004,794,randgap5,5133,4.6344404220581055,3.5520544052124023
9bjx_A,368,2004,794,gap2,2403,3.7673227787017822,3.547290563583374
9bjx_A,368,2004,794,gap4,3187,4.518729209899902,3.5498194694519043
9bjx_A,368,2004,794,gap8,4741,4.571967601776123,3.5517022609710693
9bjx_A,368,2004,794,jitter1,1989,3.9401416778564453,4.755000114440918
9bjx_A,368,2004,794,jitter4,2022,4.243316650390625,5.787335395812988
9bjx_A,368,2004,794,flat,2,9.151113510131836,7.652922630310059
9bjx_A,368,2004,794,rope_off,2003,7.872173309326172,9.589158058166504
8kih_A,332,1527,623,baseline,1526,3.8290295600891113,3.240485668182373
8kih_A,332,1527,623,gap1,1526,3.8290295600891113,3.240485668182373
8kih_A,332,1527,623,shift1024,2550,3.8316001892089844,3.2389726638793945
8kih_A,332,1527,623,fixedgap2,2148,3.8446710109710693,3.4538826942443848
8kih_A,332,1527,623,randgap2,2204,4.53226900100708,3.3505258560180664
8kih_A,332,1527,623,fixedgap3,2770,4.483931064605713,3.3813602924346924
8kih_A,332,1527,623,randgap3,2883,4.766580104827881,3.325667142868042
8kih_A,332,1527,623,fixedgap5,4014,4.809952735900879,4.432943820953369
8kih_A,332,1527,623,randgap5,4207,4.763941764831543,3.392096757888794
8kih_A,332,1527,623,gap2,1861,3.8331143856048584,3.2829928398132324
8kih_A,332,1527,623,gap4,2541,5.139439105987549,3.3462305068969727
8kih_A,332,1527,623,gap8,3862,4.826333045959473,3.3346505165100098
8kih_A,332,1527,623,jitter1,1582,3.972625494003296,4.448379993438721
8kih_A,332,1527,623,jitter4,1456,4.427506446838379,5.84707498550415
8kih_A,332,1527,623,flat,2,10.222990036010742,6.364640235900879
8kih_A,332,1527,623,rope_off,1526,7.968614101409912,7.182057857513428
8hnq_A,286,1498,598,baseline,1497,3.4631969928741455,3.4495842456817627
8hnq_A,286,1498,598,gap1,1497,3.4631969928741455,3.4495842456817627
8hnq_A,286,1498,598,shift1024,2521,3.46353816986084,3.4464728832244873
8hnq_A,286,1498,598,fixedgap2,2094,3.477621078491211,3.6736974716186523
8hnq_A,286,1498,598,randgap2,2136,3.739001512527466,3.5495588779449463
8hnq_A,286,1498,598,fixedgap3,2691,4.094006538391113,3.4403178691864014
8hnq_A,286,1498,598,randgap3,2769,3.9498393535614014,3.5183041095733643
8hnq_A,286,1498,598,fixedgap5,3885,4.518969535827637,6.031383514404297
8hnq_A,286,1498,598,randgap5,4028,4.276956558227539,3.5690524578094482
8hnq_A,286,1498,598,gap2,1814,3.4644336700439453,3.5577714443206787
8hnq_A,286,1498,598,gap4,2450,3.949443817138672,3.4968864917755127
8hnq_A,286,1498,598,gap8,3717,4.194597244262695,3.5137603282928467
8hnq_A,286,1498,598,jitter1,1539,3.609321355819702,4.302733421325684
8hnq_A,286,1498,598,jitter4,1404,3.9270002841949463,6.219100475311279
8hnq_A,286,1498,598,flat,2,10.222625732421875,7.106813907623291
8hnq_A,286,1498,598,rope_off,1497,8.648927688598633,8.362813949584961
8s9l_A,270,1277,519,baseline,1276,3.7050323486328125,3.075601577758789
8s9l_A,270,1277,519,gap1,1276,3.7050323486328125,3.075601577758789
8s9l_A,270,1277,519,shift1024,2300,3.705515146255493,3.073732852935791
8s9l_A,270,1277,519,fixedgap2,1794,3.710787296295166,3.3691794872283936
8s9l_A,270,1277,519,randgap2,1786,4.069211483001709,3.1672325134277344
8s9l_A,270,1277,519,fixedgap3,2312,4.192103385925293,3.269113302230835
8s9l_A,270,1277,519,randgap3,2303,4.647442817687988,3.215895175933838
8s9l_A,270,1277,519,fixedgap5,3348,4.658515930175781,5.697629451751709
8s9l_A,270,1277,519,randgap5,3343,4.71664571762085,3.351505756378174
8s9l_A,270,1277,519,gap2,1528,3.7069480419158936,3.181753396987915
8s9l_A,270,1277,519,gap4,2043,4.506831645965576,3.1536965370178223
8s9l_A,270,1277,519,gap8,3073,4.620433330535889,3.309792995452881
8s9l_A,270,1277,519,jitter1,1268,3.828183174133301,4.35051155090332
8s9l_A,270,1277,519,jitter4,1298,4.170598030090332,5.944957256317139
8s9l_A,270,1277,519,flat,2,11.115891456604004,6.844788074493408
8s9l_A,270,1277,519,rope_off,1276,9.340021133422852,8.280268669128418
8pw2_A,72,296,126,baseline,295,3.162073850631714,2.509962558746338
8pw2_A,72,296,126,gap1,295,3.162073850631714,2.509962558746338
8pw2_A,72,296,126,shift1024,1319,3.1609485149383545,2.5146071910858154
8pw2_A,72,296,126,fixedgap2,420,3.1535050868988037,2.674086570739746
8pw2_A,72,296,126,randgap2,402,3.217302083969116,2.5385680198669434
8pw2_A,72,296,126,fixedgap3,545,3.4978220462799072,2.6308205127716064
8pw2_A,72,296,126,randgap3,519,3.4996230602264404,2.6305489540100098
8pw2_A,72,296,126,fixedgap5,795,4.0392608642578125,3.056954860687256
8pw2_A,72,296,126,randgap5,746,3.6484744548797607,4.408466339111328
8pw2_A,72,296,126,gap2,348,3.1440987586975098,2.531163215637207
8pw2_A,72,296,126,gap4,457,3.425363779067993,2.6175527572631836
8pw2_A,72,296,126,gap8,684,3.7197208404541016,4.252425670623779
8pw2_A,72,296,126,jitter1,277,3.415311813354492,3.060899019241333
8pw2_A,72,296,126,jitter4,330,3.6137290000915527,3.802882432937622
8pw2_A,72,296,126,flat,2,7.080197811126709,5.455123424530029
8pw2_A,72,296,126,rope_off,295,6.441168308258057,7.547198295593262
8kac_A,129,578,239,baseline,577,3.2153542041778564,2.8645071983337402
8kac_A,129,578,239,gap1,577,3.2153542041778564,2.8645071983337402
8kac_A,129,578,239,shift1024,1601,3.2161707878112793,2.861602783203125
8kac_A,129,578,239,fixedgap2,815,3.2300212383270264,3.0294694900512695
8kac_A,129,578,239,randgap2,825,3.405294418334961,2.9363787174224854
8kac_A,129,578,239,fixedgap3,1053,3.650545597076416,2.9339451789855957
8kac_A,129,578,239,randgap3,1069,3.7494544982910156,2.9115240573883057
8kac_A,129,578,239,fixedgap5,1529,4.281655788421631,4.644561290740967
8kac_A,129,578,239,randgap5,1566,3.991745710372925,4.045095920562744
8kac_A,129,578,239,gap2,701,3.2203238010406494,2.9119322299957275
8kac_A,129,578,239,gap4,947,3.725977897644043,2.8886804580688477
8kac_A,129,578,239,gap8,1431,4.075470924377441,4.586729526519775
8kac_A,129,578,239,jitter1,587,3.3282723426818848,3.782881259918213
8kac_A,129,578,239,jitter4,575,3.618135690689087,4.039978981018066
8kac_A,129,578,239,flat,2,7.188299179077148,5.7527923583984375
8kac_A,129,578,239,rope_off,577,5.624976634979248,6.161035060882568
8hd2_A,354,1811,725,baseline,1810,3.8439533710479736,3.2916531562805176
8hd2_A,354,1811,725,gap1,1810,3.8439533710479736,3.2916531562805176
8hd2_A,354,1811,725,shift1024,2834,3.843388080596924,3.2933688163757324
8hd2_A,354,1811,725,fixedgap2,2534,3.849677801132202,3.5060601234436035
8hd2_A,354,1811,725,randgap2,2573,4.6658148765563965,3.3621625900268555
8hd2_A,354,1811,725,fixedgap3,3258,4.469045639038086,3.3982245922088623
8hd2_A,354,1811,725,randgap3,3328,4.983506679534912,3.4641172885894775
8hd2_A,354,1811,725,fixedgap5,4706,4.80411958694458,5.565859794616699
8hd2_A,354,1811,725,randgap5,4810,4.8631391525268555,3.436326742172241
8hd2_A,354,1811,725,gap2,2192,3.8447141647338867,3.3748984336853027
8hd2_A,354,1811,725,gap4,2950,5.085501670837402,3.4232778549194336
8hd2_A,354,1811,725,gap8,4443,5.070106506347656,3.4297916889190674
8hd2_A,354,1811,725,jitter1,1849,3.980376720428467,5.1045074462890625
8hd2_A,354,1811,725,jitter4,1798,4.517166614532471,5.689759254455566
8hd2_A,354,1811,725,flat,2,9.453899383544922,7.013340473175049
8hd2_A,354,1811,725,rope_off,1810,8.041655540466309,8.33415412902832
8fjf_A,134,561,235,baseline,560,3.123962163925171,2.9688570499420166
8fjf_A,134,561,235,gap1,560,3.123962163925171,2.9688570499420166
8fjf_A,134,561,235,shift1024,1584,3.1222517490386963,2.969912528991699
8fjf_A,134,561,235,fixedgap2,794,3.1105470657348633,3.1682963371276855
8fjf_A,134,561,235,randgap2,778,3.2399539947509766,3.0049805641174316
8fjf_A,134,561,235,fixedgap3,1028,3.5529699325561523,3.1193156242370605
8fjf_A,134,561,235,randgap3,1006,3.6327061653137207,3.0920166969299316
8fjf_A,134,561,235,fixedgap5,1496,4.10368013381958,3.2358994483947754
8fjf_A,134,561,235,randgap5,1438,3.9156694412231445,3.087850332260132
8fjf_A,134,561,235,gap2,666,3.128018856048584,3.055346727371216
8fjf_A,134,561,235,gap4,892,3.533017873764038,3.0607051849365234
8fjf_A,134,561,235,gap8,1327,3.8366878032684326,3.059859037399292
8fjf_A,134,561,235,jitter1,544,3.270871877670288,3.392695665359497
8fjf_A,134,561,235,jitter4,522,3.6342999935150146,5.461845874786377
8fjf_A,134,561,235,flat,2,7.016109943389893,4.514174461364746
8fjf_A,134,561,235,rope_off,560,5.920533180236816,6.278069496154785
8tfo_A,416,2031,819,baseline,2030,3.850935220718384,3.318077325820923
8tfo_A,416,2031,819,gap1,2030,3.850935220718384,3.318077325820923
8tfo_A,416,2031,819,shift1024,3054,3.852052927017212,3.3163845539093018
8tfo_A,416,2031,819,fixedgap2,2848,3.859790325164795,3.6205735206604004
8tfo_A,416,2031,819,randgap2,2845,4.508367538452148,3.4538626670837402
8tfo_A,416,2031,819,fixedgap3,3666,4.430379867553711,3.509472608566284
8tfo_A,416,2031,819,randgap3,3692,4.893733024597168,3.4895803928375244
8tfo_A,416,2031,819,fixedgap5,5302,4.967107772827148,5.382829666137695
8tfo_A,416,2031,819,randgap5,5326,4.83270788192749,3.860429048538208
8tfo_A,416,2031,819,gap2,2447,3.853766918182373,3.423072576522827
8tfo_A,416,2031,819,gap4,3264,4.849267959594727,3.447615623474121
8tfo_A,416,2031,819,gap8,4909,4.690964698791504,3.7987303733825684
8tfo_A,416,2031,819,jitter1,2027,3.9729347229003906,4.8094072341918945
8tfo_A,416,2031,819,jitter4,2016,4.511264324188232,6.839165687561035
8tfo_A,416,2031,819,flat,2,9.305516242980957,6.707736492156982
8tfo_A,416,2031,819,rope_off,2030,7.380633354187012,8.943105697631836
8d2z_A,327,1598,645,baseline,1597,3.67234206199646,3.4491612911224365
8d2z_A,327,1598,645,gap1,1597,3.67234206199646,3.4491612911224365
