entry_id,gcs_uri,struct_cluster_id,seq_cluster_id,global_plddt,seq_len,split,uniprot_accession,tax_id,organism_name,is_anchor,was_excluded,cluster_size,n_anchors,n_candidates,length_bin,size_bin
AF-A0A1W1BQI3-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1W1BQI3-F1-model_v4.cif,A0A0R2V987,A0A1W1BQI3,90.44,396,train,A0A1W1BQI3,652676,hydrothermal vent metagenome,false,false,78,5,64,250-499,20-99
AF-A0A2H0PKF8-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2H0PKF8-F1-model_v4.cif,A0A0R2V987,A0A2H0PKF8,88.0,423,train,A0A2H0PKF8,1973974,Deltaproteobacteria bacterium CG11_big_fil_rev_8_21_14_0_20_45_16,false,false,78,5,64,250-499,20-99
AF-A0A2J6X2F2-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2J6X2F2-F1-model_v4.cif,A0A0R2V987,A0A2J6X2F2,92.94,405,train,A0A2J6X2F2,2053621,Sulfurihydrogenibium sp,true,false,78,5,64,250-499,20-99
AF-A0A2V7VZ70-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2V7VZ70-F1-model_v4.cif,A0A0R2V987,A0A2V7VZ70,92.44,441,train,A0A2V7VZ70,1978231,Acidobacteria bacterium,true,false,78,5,64,250-499,20-99
AF-A0A2Z4FMK9-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2Z4FMK9-F1-model_v4.cif,A0A0R2V987,A0A2Z4FMK9,83.75,453,train,A0A2Z4FMK9,1548548,Bradymonas sediminis,false,false,78,5,64,250-499,20-99
AF-A0A380CTH2-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A380CTH2-F1-model_v4.cif,A0A0R2V987,A0A380CTH2,87.69,440,train,A0A380CTH2,258,Sphingobacterium spiritivorum,false,false,78,5,64,250-499,20-99
AF-A0A3M0BZL0-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A3M0BZL0-F1-model_v4.cif,A0A0R2V987,A0A3M0BZL0,91.75,410,train,A0A3M0BZL0,133270,Hydrogenothermus marinus,true,false,78,5,64,250-499,20-99
AF-A0A432R8J5-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A432R8J5-F1-model_v4.cif,A0A0R2V987,A0A432R8J5,92.62,411,train,A0A432R8J5,2231113,Hydrogenothermus sp,true,false,78,5,64,250-499,20-99
AF-A0A497XT48-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A497XT48-F1-model_v4.cif,A0A0R2V987,A0A497XT48,93.0,410,train,A0A497XT48,246264,Hydrogenivirga caldilitoris,true,false,78,5,64,250-499,20-99
AF-A0A5C7J7C3-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A5C7J7C3-F1-model_v4.cif,A0A0R2V987,A0A5C7J7C3,83.5,508,train,A0A5C7J7C3,1898103,Rhodocyclaceae bacterium,false,false,78,5,64,250-499,20-99
AF-A0A7C1TXW8-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A7C1TXW8-F1-model_v4.cif,A0A0R2V987,A0A7C1TXW8,81.44,490,train,A0A7C1TXW8,1913989,Gammaproteobacteria bacterium,false,false,78,5,64,250-499,20-99
AF-A0A7X7A4A0-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A7X7A4A0-F1-model_v4.cif,A0A0R2V987,A0A7X7A4A0,86.81,430,train,A0A7X7A4A0,2033014,Armatimonadetes bacterium,false,false,78,5,64,250-499,20-99
AF-A0A7X7UGV9-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A7X7UGV9-F1-model_v4.cif,A0A0R2V987,A0A7X7UGV9,87.25,432,train,A0A7X7UGV9,2026763,Myxococcales bacterium,false,false,78,5,64,250-499,20-99
AF-A0A0S2EWZ3-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A0S2EWZ3-F1-model_v4.cif,A0A0T6XIA0,A0A0S2EWZ3,85.94,103,train,A0A0S2EWZ3,1349819,Aureimonas sp. AU20,true,false,11,5,2,60-249,<20
AF-A0A1E4Y872-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1E4Y872-F1-model_v4.cif,A0A0T6XIA0,A0A1E4Y872,81.0,97,train,A0A1E4Y872,1860096,Rhizobium sp. YK2,false,false,11,5,2,60-249,<20
AF-A0A395L0V9-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A395L0V9-F1-model_v4.cif,A0A0T6XIA0,A0A395L0V9,81.88,101,train,A0A395L0V9,2203782,Ensifer sp. M14,true,false,11,5,2,60-249,<20
AF-A0A506U0Z8-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A506U0Z8-F1-model_v4.cif,A0A0T6XIA0,A0A506U0Z8,82.06,96,train,A0A506U0Z8,2590451,Martelella alba,true,false,11,5,2,60-249,<20
AF-A0A847JHC9-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A847JHC9-F1-model_v4.cif,A0A0T6XIA0,A0A847JHC9,83.81,103,train,A0A847JHC9,1871068,Phyllobacteriaceae bacterium,true,false,11,5,2,60-249,<20
AF-F0LD83-F1,gs://public-datasets-deepmind-alphafold-v4/AF-F0LD83-F1-model_v4.cif,A0A0T6XIA0,F0LD83,83.75,102,train,F0LD83,1183401,Agrobacterium fabacearum (strain H13-3),true,false,11,5,2,60-249,<20
AF-V4NTM2-F1,gs://public-datasets-deepmind-alphafold-v4/AF-V4NTM2-F1-model_v4.cif,A0A0T6XIA0,V4NTM2,80.5,104,train,V4NTM2,1282363,Asticcacaulis sp. YBE204,false,false,11,5,2,60-249,<20
AF-A0A178LQJ2-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A178LQJ2-F1-model_v4.cif,A0A166RK55,A0A178LQJ2,83.44,822,train,A0A178LQJ2,912594,Mycolicibacterium iranicum,false,false,13,5,4,500-1000,<20
AF-A0A1H9BCD0-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1H9BCD0-F1-model_v4.cif,A0A166RK55,A0A1H9BCD0,88.44,795,train,A0A1H9BCD0,1882768,Arthrobacter sp. OV608,true,false,13,5,4,500-1000,<20
AF-A0A497Q397-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A497Q397-F1-model_v4.cif,A0A166RK55,A0A497Q397,87.06,777,train,A0A497Q397,2053491,Thorarchaeota archaeon (strain OWC),true,false,13,5,4,500-1000,<20
AF-A0A4U6T7Q4-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A4U6T7Q4-F1-model_v4.cif,A0A166RK55,A0A4U6T7Q4,89.19,883,train,A0A4U6T7Q4,4556,Setaria viridis,true,false,13,5,4,500-1000,<20
AF-A0A5E9FWY0-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A5E9FWY0-F1-model_v4.cif,A0A166RK55,A0A5E9FWY0,83.06,967,train,A0A5E9FWY0,1424659,Cryobacterium flavum,false,false,13,5,4,500-1000,<20
AF-A0A7W7R6J7-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A7W7R6J7-F1-model_v4.cif,A0A166RK55,A0A7W7R6J7,82.19,904,train,A0A7W7R6J7,58351,Kitasatospora kifunensis,false,false,13,5,4,500-1000,<20
AF-A0A7X7UG65-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A7X7UG65-F1-model_v4.cif,A0A166RK55,A0A7X7UG65,82.06,778,train,A0A7X7UG65,2026763,Myxococcales bacterium,false,false,13,5,4,500-1000,<20
AF-A0A7Y9RAQ4-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A7Y9RAQ4-F1-model_v4.cif,A0A166RK55,A0A7Y9RAQ4,84.19,838,train,A0A7Y9RAQ4,156981,Cellulomonas hominis,true,false,13,5,4,500-1000,<20
AF-D7DNX3-F1,gs://public-datasets-deepmind-alphafold-v4/AF-D7DNX3-F1-model_v4.cif,A0A166RK55,D7DNX3,85.56,868,train,D7DNX3,666681,Methylotenera versatilis (strain 301),true,false,13,5,4,500-1000,<20
AF-A0A066YM12-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A066YM12-F1-model_v4.cif,A0A1D3DN82,A0A066YM12,88.69,407,train,A0A066YM12,1348663,Kitasatospora cheerisanensis KCTC 2395,true,false,7,5,2,250-499,<20
AF-A0A0M4DPI5-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A0M4DPI5-F1-model_v4.cif,A0A1D3DN82,A0A0M4DPI5,90.44,396,train,A0A0M4DPI5,38300,Streptomyces pristinaespiralis,true,false,7,5,2,250-499,<20
AF-A0A1D3DN82-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1D3DN82-F1-model_v4.cif,A0A1D3DN82,A0A1D3DN82,92.19,371,train,A0A1D3DN82,1306406,Streptomyces thermolilacinus SPC6,true,false,7,5,2,250-499,<20
AF-A0A1S2KK66-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1S2KK66-F1-model_v4.cif,A0A1D3DN82,A0A1S2KK66,88.75,384,train,A0A1S2KK66,1906739,Streptomyces sp. CC77,true,false,7,5,2,250-499,<20
AF-A0A1X1NF38-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1X1NF38-F1-model_v4.cif,A0A1D3DN82,A0A1X1NF38,93.5,357,train,A0A1X1NF38,1907777,Streptomyces sp. CB03238,true,false,7,5,2,250-499,<20
AF-A0A2D3UG40-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2D3UG40-F1-model_v4.cif,A0A1D3DN82,A0A2D3UG40,87.69,390,train,A0A2D3UG40,316280,Streptomyces peucetius subsp. caesius ATCC 27952,false,false,7,5,2,250-499,<20
AF-A0A5Q4TED7-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A5Q4TED7-F1-model_v4.cif,A0A1D3DN82,A0A5Q4TED7,88.0,400,train,A0A5Q4TED7,1828156,Streptomyces sp. t39,false,false,7,5,2,250-499,<20
AF-A0A0D0P093-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A0D0P093-F1-model_v4.cif,A0A1Q5GN08,A0A0D0P093,93.62,908,train,A0A0D0P093,2064,Kitasatospora griseola,true,false,360,5,346,500-1000,100+
AF-A0A0F3L0B0-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A0F3L0B0-F1-model_v4.cif,A0A1Q5GN08,A0A0F3L0B0,93.0,880,train,A0A0F3L0B0,345309,Luteibacter yeojuensis,true,false,360,5,346,500-1000,100+
AF-A0A0P4RAL2-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A0P4RAL2-F1-model_v4.cif,A0A1Q5GN08,A0A0P4RAL2,92.75,839,train,A0A0P4RAL2,1546107,Streptomyces lydicamycinicus,true,false,360,5,346,500-1000,100+
AF-A0A1R1SP09-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1R1SP09-F1-model_v4.cif,A0A1Q5GN08,A0A1R1SP09,93.0,853,train,A0A1R1SP09,1331668,Streptomyces sparsogenes DSM 40356,true,false,360,5,346,500-1000,100+
AF-A0A2H1K0I9-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2H1K0I9-F1-model_v4.cif,A0A1Q5GN08,A0A2H1K0I9,85.31,876,train,A0A2H1K0I9,273384,Brevibacterium aurantiacum,false,false,360,5,346,500-1000,100+
AF-A0A2M9L8Z8-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2M9L8Z8-F1-model_v4.cif,A0A1Q5GN08,A0A2M9L8Z8,92.75,858,train,A0A2M9L8Z8,2020329,Kitasatospora sp. CB02891,true,false,360,5,346,500-1000,100+
AF-A0A2R9UBP7-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2R9UBP7-F1-model_v4.cif,A0A1Q5GN08,A0A2R9UBP7,89.75,853,train,A0A2R9UBP7,1895788,Microbacterium sp. 71-36,false,false,360,5,346,500-1000,100+
AF-A0A541BJV9-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A541BJV9-F1-model_v4.cif,A0A1Q5GN08,A0A541BJV9,90.0,889,train,A0A541BJV9,43657,Pseudoalteromonas luteoviolacea,false,false,360,5,346,500-1000,100+
AF-A0A543AWC2-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A543AWC2-F1-model_v4.cif,A0A1Q5GN08,A0A543AWC2,92.19,919,train,A0A543AWC2,1496996,Stackebrandtia endophytica,false,false,360,5,346,500-1000,100+
AF-A0A6M7UR97-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A6M7UR97-F1-model_v4.cif,A0A1Q5GN08,A0A6M7UR97,84.62,903,train,A0A6M7UR97,1777866,Mesorhizobium erdmanii,false,false,360,5,346,500-1000,100+
AF-A0A7I7M9D1-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A7I7M9D1-F1-model_v4.cif,A0A1Q5GN08,A0A7I7M9D1,80.06,934,train,A0A7I7M9D1,216929,Mycolicibacterium psychrotolerans,false,false,360,5,346,500-1000,100+
AF-A0A7K2IR45-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A7K2IR45-F1-model_v4.cif,A0A1Q5GN08,A0A7K2IR45,89.69,851,train,A0A7K2IR45,53437,Nocardiopsis alba,false,false,360,5,346,500-1000,100+
AF-A0A828ZFZ5-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A828ZFZ5-F1-model_v4.cif,A0A1Q5GN08,A0A828ZFZ5,92.44,865,train,A0A828ZFZ5,1231627,Lysinibacillus fusiformis ZB2,false,false,360,5,346,500-1000,100+
AF-A0A063CC99-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A063CC99-F1-model_v4.cif,A0A1V2LEH1,A0A063CC99,81.38,480,train,A0A063CC99,1159556,Ustilaginoidea virens,false,false,29,5,10,500-1000,20-99
AF-A0A1V2LEH1-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1V2LEH1-F1-model_v4.cif,A0A1V2LEH1,A0A1V2LEH1,87.56,528,train,A0A1V2LEH1,36022,Cyberlindnera fabianii,true,false,29,5,10,500-1000,20-99
AF-A0A2I3GAM0-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2I3GAM0-F1-model_v4.cif,A0A1V2LEH1,A0A2I3GAM0,85.0,522,train,A0A2I3GAM0,61853,Nomascus leucogenys,true,false,29,5,10,500-1000,20-99
AF-A0A452IU89-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A452IU89-F1-model_v4.cif,A0A1V2LEH1,A0A452IU89,81.88,548,train,A0A452IU89,38772,Gopherus agassizii (Agassiz's desert tortoise),false,false,29,5,10,500-1000,20-99
AF-A0A493TKE5-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A493TKE5-F1-model_v4.cif,A0A1V2LEH1,A0A493TKE5,82.5,547,train,A0A493TKE5,8840,Anas platyrhynchos platyrhynchos,false,false,29,5,10,500-1000,20-99
AF-A0A5F8GMW1-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A5F8GMW1-F1-model_v4.cif,A0A1V2LEH1,A0A5F8GMW1,82.81,548,train,A0A5F8GMW1,13616,Monodelphis domestica,false,false,29,5,10,500-1000,20-99
AF-A0A653CK53-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A653CK53-F1-model_v4.cif,A0A1V2LEH1,A0A653CK53,87.0,500,train,A0A653CK53,64391,Callosobruchus maculatus,true,false,29,5,10,500-1000,20-99
AF-A0A672U1Z2-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A672U1Z2-F1-model_v4.cif,A0A1V2LEH1,A0A672U1Z2,82.0,546,train,A0A672U1Z2,2489341,Strigops habroptila,false,false,29,5,10,500-1000,20-99
AF-A0A673ABE1-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A673ABE1-F1-model_v4.cif,A0A1V2LEH1,A0A673ABE1,84.94,530,train,A0A673ABE1,375764,Sphaeramia orbicularis (orbiculate cardinalfish),true,false,29,5,10,500-1000,20-99
AF-A0A6J0I4A2-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A6J0I4A2-F1-model_v4.cif,A0A1V2LEH1,A0A6J0I4A2,81.88,545,train,A0A6J0I4A2,321398,Lepidothrix coronata (blue-crowned manakin),false,false,29,5,10,500-1000,20-99
AF-A0A6J2GUJ0-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A6J2GUJ0-F1-model_v4.cif,A0A1V2LEH1,A0A6J2GUJ0,81.75,545,train,A0A6J2GUJ0,649802,Pipra filicauda (Wire-tailed manakin),false,false,29,5,10,500-1000,20-99
AF-A0A6Q2XL52-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A6Q2XL52-F1-model_v4.cif,A0A1V2LEH1,A0A6Q2XL52,86.25,522,train,A0A6Q2XL52,8010,Esox lucius,true,false,29,5,10,500-1000,20-99
AF-U3JG46-F1,gs://public-datasets-deepmind-alphafold-v4/AF-U3JG46-F1-model_v4.cif,A0A1V2LEH1,U3JG46,82.81,535,train,U3JG46,59894,Ficedula albicollis,false,false,29,5,10,500-1000,20-99
AF-A0A150GTA0-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A150GTA0-F1-model_v4.cif,A0A1Y1IFY3,A0A150GTA0,80.44,488,train,A0A150GTA0,33097,Gonium pectorale,false,false,32,5,4,500-1000,20-99
AF-A0A383V3E6-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A383V3E6-F1-model_v4.cif,A0A1Y1IFY3,A0A383V3E6,84.62,474,train,A0A383V3E6,3088,Tetradesmus obliquus,true,false,32,5,4,500-1000,20-99
AF-A0A4T0BDZ2-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A4T0BDZ2-F1-model_v4.cif,A0A1Y1IFY3,A0A4T0BDZ2,82.62,464,train,A0A4T0BDZ2,5580,Aureobasidium pullulans,false,false,32,5,4,500-1000,20-99
AF-A0A5J4Z129-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A5J4Z129-F1-model_v4.cif,A0A1Y1IFY3,A0A5J4Z129,84.81,490,train,A0A5J4Z129,35688,Porphyridium purpureum,true,false,32,5,4,500-1000,20-99
AF-A0A7S1K419-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A7S1K419-F1-model_v4.cif,A0A1Y1IFY3,A0A7S1K419,84.56,509,train,A0A7S1K419,1169539,Vitrella brassicaformis,true,false,32,5,4,500-1000,20-99
AF-B8CDE1-F1,gs://public-datasets-deepmind-alphafold-v4/AF-B8CDE1-F1-model_v4.cif,A0A1Y1IFY3,B8CDE1,85.19,526,train,B8CDE1,35128,Thalassiosira pseudonana,true,false,32,5,4,500-1000,20-99
AF-B8LDE9-F1,gs://public-datasets-deepmind-alphafold-v4/AF-B8LDE9-F1-model_v4.cif,A0A1Y1IFY3,B8LDE9,83.12,550,train,B8LDE9,35128,Thalassiosira pseudonana,true,false,32,5,4,500-1000,20-99
AF-K0R1Q6-F1,gs://public-datasets-deepmind-alphafold-v4/AF-K0R1Q6-F1-model_v4.cif,A0A1Y1IFY3,K0R1Q6,80.06,583,train,K0R1Q6,159749,Thalassiosira oceanica,false,false,32,5,4,500-1000,20-99
AF-K0RID9-F1,gs://public-datasets-deepmind-alphafold-v4/AF-K0RID9-F1-model_v4.cif,A0A1Y1IFY3,K0RID9,81.44,588,train,K0RID9,159749,Thalassiosira oceanica,false,false,32,5,4,500-1000,20-99
AF-A0A098LGL9-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A098LGL9-F1-model_v4.cif,A0A2J6XGX4,A0A098LGL9,93.5,413,train,A0A098LGL9,153721,Sporocytophaga myxococcoides,true,false,32,5,26,250-499,20-99
AF-A0A0F4VZ04-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A0F4VZ04-F1-model_v4.cif,A0A2J6XGX4,A0A0F4VZ04,92.81,439,train,A0A0F4VZ04,1523154,Clostridium sp. IBUN125C,false,false,32,5,26,250-499,20-99
AF-A0A1C5QHR3-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1C5QHR3-F1-model_v4.cif,A0A2J6XGX4,A0A1C5QHR3,91.69,432,train,A0A1C5QHR3,59620,uncultured Clostridium sp,false,false,32,5,26,250-499,20-99
AF-A0A2J6XGX4-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2J6XGX4-F1-model_v4.cif,A0A2J6XGX4,A0A2J6XGX4,84.62,427,train,A0A2J6XGX4,2060322,Caldisphaera sp,false,false,32,5,26,250-499,20-99
AF-A0A2Z3N086-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2Z3N086-F1-model_v4.cif,A0A2J6XGX4,A0A2Z3N086,93.88,417,train,A0A2Z3N086,2203219,Chitinophaga alhagiae,true,false,32,5,26,250-499,20-99
AF-A0A353X1E7-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A353X1E7-F1-model_v4.cif,A0A2J6XGX4,A0A353X1E7,93.69,431,train,A0A353X1E7,2053541,Cytophagales bacterium,true,false,32,5,26,250-499,20-99
AF-A0A3N9QJE2-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A3N9QJE2-F1-model_v4.cif,A0A2J6XGX4,A0A3N9QJE2,88.38,456,train,A0A3N9QJE2,2491024,Bacillus sp. C1-1,false,false,32,5,26,250-499,20-99
AF-A0A4Q1F5B2-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A4Q1F5B2-F1-model_v4.cif,A0A2J6XGX4,A0A4Q1F5B2,88.06,411,train,A0A4Q1F5B2,394559,Flavobacterium sp. YO64,false,false,32,5,26,250-499,20-99
AF-A0A5B2TP81-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A5B2TP81-F1-model_v4.cif,A0A2J6XGX4,A0A5B2TP81,93.38,425,train,A0A5B2TP81,1658664,Maribacter flavus,true,false,32,5,26,250-499,20-99
AF-A0A5R8WHB3-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A5R8WHB3-F1-model_v4.cif,A0A2J6XGX4,A0A5R8WHB3,91.19,440,train,A0A5R8WHB3,2025313,Hymenobacter jeollabukensis,false,false,32,5,26,250-499,20-99
AF-A0A6N4EDN7-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A6N4EDN7-F1-model_v4.cif,A0A2J6XGX4,A0A6N4EDN7,93.69,416,train,A0A6N4EDN7,146939,Azospira oryzae,true,false,32,5,26,250-499,20-99
AF-G5FCZ3-F1,gs://public-datasets-deepmind-alphafold-v4/AF-G5FCZ3-F1-model_v4.cif,A0A2J6XGX4,G5FCZ3,91.25,442,train,G5FCZ3,665940,Clostridium sp. 7_3_54FAA,false,false,32,5,26,250-499,20-99
AF-I3Z349-F1,gs://public-datasets-deepmind-alphafold-v4/AF-I3Z349-F1-model_v4.cif,A0A2J6XGX4,I3Z349,93.12,414,train,I3Z349,866536,Belliella baltica (strain DSM 15883 / CIP 108006 / LMG 21964 / BA134),false,false,32,5,26,250-499,20-99
AF-A0A0C5VVJ0-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A0C5VVJ0-F1-model_v4.cif,A0A2K9NN49,A0A0C5VVJ0,93.0,256,train,A0A0C5VVJ0,1445510,Gynuella sunshinyii YC6258,true,false,121,2,101,250-499,100+
AF-A0A163CI27-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A163CI27-F1-model_v4.cif,A0A2K9NN49,A0A163CI27,82.19,267,train,A0A163CI27,1723647,Prochlorococcus sp. MIT 1303,false,false,121,2,101,250-499,100+
AF-A0A1T4SGJ1-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1T4SGJ1-F1-model_v4.cif,A0A2K9NN49,A0A1T4SGJ1,80.31,268,train,A0A1T4SGJ1,1935446,Photobacterium toruni,false,false,121,2,101,250-499,100+
AF-A0A238ZD81-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A238ZD81-F1-model_v4.cif,A0A2K9NN49,A0A238ZD81,90.12,266,train,A0A238ZD81,240169,Desulfurobacterium atlanticum,false,false,121,2,101,250-499,100+
AF-A0A2D6Y2Z5-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2D6Y2Z5-F1-model_v4.cif,A0A2K9NN49,A0A2D6Y2Z5,82.44,255,train,A0A2D6Y2Z5,2024878,Synechococcus sp. ARS1019,false,false,121,2,101,250-499,100+
AF-A0A2E0ANU0-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2E0ANU0-F1-model_v4.cif,A0A2K9NN49,A0A2E0ANU0,83.94,267,train,A0A2E0ANU0,2024872,Cyanobium sp. NAT70,false,false,121,2,101,250-499,100+
AF-A0A2G6Q3N0-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2G6Q3N0-F1-model_v4.cif,A0A2K9NN49,A0A2G6Q3N0,83.44,286,train,A0A2G6Q3N0,1978231,Acidobacteria bacterium,false,false,121,2,101,250-499,100+
