stem,n_residues,n_pairs,mode,elapsed_seconds,timing_unit,chunk_size,n_rollouts,model_nickname,runner_tag,hostname,platform,source,timestamp_utc,gpu_name,gpu_total_memory_gb,gpu_compute_capability,torch_version
7zoi_A,151,11325,iid,60.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8dx0_A,154,11781,iid,60.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7urp_A,160,12720,iid,60.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7wz5_A,161,12880,iid,67.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8axj_A,162,13041,iid,67.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8ec3_A,168,14028,iid,67.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7y5m_A,170,14365,iid,67.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8dez_A,173,14878,iid,67.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8bsb_A,177,15576,iid,67.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7xcd_A,178,15753,iid,67.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7uvg_A,183,16653,iid,67.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7yd4_A,185,17020,iid,95.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8bau_A,189,17766,iid,95.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7ur2_A,195,18915,iid,95.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8cpn_A,207,21321,iid,95.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8baq_A,208,21528,iid,95.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8add_A,213,22578,iid,95.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7uba_A,213,22578,iid,95.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8b6a_A,214,22791,iid,95.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8cih_A,214,22791,iid,107.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8cba_A,214,22791,iid,107.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8adc_A,215,23005,iid,107.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7tjb_A,227,25651,iid,107.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8ycm_A,229,26106,iid,107.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8gmy_A,236,27730,iid,107.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8b61_A,238,28203,iid,107.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8b2s_A,245,29890,iid,107.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7qp5_A,245,29890,iid,145.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8arl_A,246,30135,iid,145.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8dhj_A,249,30876,iid,145.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7xlz_A,266,35245,iid,145.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8b4u_A,277,38226,iid,145.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8q8i_A,282,39621,iid,145.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7z65_A,283,39903,iid,145.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7xg9_A,288,41328,iid,145.2,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8eo5_A,290,41905,iid,170.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7x3h_A,290,41905,iid,170.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8ak2_A,297,43956,iid,170.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7w15_A,302,45451,iid,170.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8daj_A,302,45451,iid,170.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7x4p_A,307,46971,iid,170.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8ci9_A,312,48516,iid,170.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8c4y_A,314,49141,iid,170.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7zs2_A,316,49770,iid,165.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8au6_A,321,51360,iid,165.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7xz3_A,325,52650,iid,165.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8d2z_A,327,53301,iid,165.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7v3o_A,328,53628,iid,165.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7ylr_A,330,54285,iid,165.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8c4d_A,330,54285,iid,165.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8bux_A,334,55611,iid,165.8,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7xjr_A,337,56616,iid,213.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7y4h_A,338,56953,iid,213.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7yyg_A,365,66430,iid,213.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8e5h_A,372,69006,iid,213.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7qsj_A,373,69378,iid,213.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8akh_A,374,69751,iid,213.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8dqd_A,377,70876,iid,213.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8cpk_A,384,73536,iid,213.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7uk8_A,394,77421,iid,288.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7xrx_A,398,79003,iid,288.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8amo_A,399,79401,iid,288.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7y3h_A,413,85078,iid,288.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8bfy_A,426,90525,iid,288.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8b5w_A,459,105111,iid,288.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8e0r_A,468,109278,iid,288.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8dmu_A,489,119316,iid,288.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7wzm_A,492,120786,iid,531.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7x8l_A,514,131841,iid,531.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7xq4_A,514,131841,iid,531.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8azb_A,521,135460,iid,531.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7xyr_A,591,174345,iid,531.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7uww_A,635,201295,iid,531.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8bke_A,638,203203,iid,531.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8dge_A,738,271953,iid,531.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7znz_A,761,289180,iid,112.1,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7t9r_A,38,703,seeded,22.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7yhr_A,60,1770,seeded,22.3,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
