dataset,stem,K,comparison,value,reference,delta
foldbench_monomer,7pv5_A,3,cluster_oracle_vs_pooled,0.796875,0.796875,0.0
foldbench_monomer,7pv5_A,3,cluster_oracle_with_pooled_vs_pooled,0.796875,0.796875,0.0
foldbench_monomer,7pv5_A,3,cluster_oracle_vs_random_oracle,0.796875,0.796875,0.0
foldbench_monomer,7pv5_A,5,cluster_oracle_vs_pooled,0.78125,0.796875,-0.015625
foldbench_monomer,7pv5_A,5,cluster_oracle_with_pooled_vs_pooled,0.796875,0.796875,0.0
foldbench_monomer,7pv5_A,5,cluster_oracle_vs_random_oracle,0.78125,0.796875,-0.015625
foldbench_monomer,7pv5_A,10,cluster_oracle_vs_pooled,0.796875,0.796875,0.0
foldbench_monomer,7pv5_A,10,cluster_oracle_with_pooled_vs_pooled,0.796875,0.796875,0.0
foldbench_monomer,7pv5_A,10,cluster_oracle_vs_random_oracle,0.796875,0.796875,0.0
foldbench_monomer,7pv5_A,20,cluster_oracle_vs_pooled,0.796875,0.796875,0.0
foldbench_monomer,7pv5_A,20,cluster_oracle_with_pooled_vs_pooled,0.796875,0.796875,0.0
foldbench_monomer,7pv5_A,20,cluster_oracle_vs_random_oracle,0.796875,0.78125,0.015625
foldbench_monomer,7xp9_A,2,cluster_oracle_vs_pooled,0.3333333333333333,0.3111111111111111,0.0222222222222222
foldbench_monomer,7xp9_A,2,cluster_oracle_with_pooled_vs_pooled,0.3333333333333333,0.3111111111111111,0.0222222222222222
foldbench_monomer,7xp9_A,2,cluster_oracle_vs_random_oracle,0.3333333333333333,0.3111111111111111,0.0222222222222222
foldbench_monomer,7xp9_A,3,cluster_oracle_vs_pooled,0.3777777777777777,0.3111111111111111,0.0666666666666666
foldbench_monomer,7xp9_A,3,cluster_oracle_with_pooled_vs_pooled,0.3777777777777777,0.3111111111111111,0.0666666666666666
foldbench_monomer,7xp9_A,3,cluster_oracle_vs_random_oracle,0.3777777777777777,0.3333333333333333,0.0444444444444444
foldbench_monomer,7xp9_A,5,cluster_oracle_vs_pooled,0.3333333333333333,0.3111111111111111,0.0222222222222222
foldbench_monomer,7xp9_A,5,cluster_oracle_with_pooled_vs_pooled,0.3333333333333333,0.3111111111111111,0.0222222222222222
foldbench_monomer,7xp9_A,5,cluster_oracle_vs_random_oracle,0.3333333333333333,0.3555555555555555,-0.0222222222222222
foldbench_monomer,7xp9_A,10,cluster_oracle_vs_pooled,0.3333333333333333,0.3111111111111111,0.0222222222222222
foldbench_monomer,7xp9_A,10,cluster_oracle_with_pooled_vs_pooled,0.3333333333333333,0.3111111111111111,0.0222222222222222
foldbench_monomer,7xp9_A,10,cluster_oracle_vs_random_oracle,0.3333333333333333,0.4,-0.06666666666666671
foldbench_monomer,7xp9_A,20,cluster_oracle_vs_pooled,0.3333333333333333,0.3111111111111111,0.0222222222222222
foldbench_monomer,7xp9_A,20,cluster_oracle_with_pooled_vs_pooled,0.3333333333333333,0.3111111111111111,0.0222222222222222
foldbench_monomer,7xp9_A,20,cluster_oracle_vs_random_oracle,0.3333333333333333,0.3111111111111111,0.0222222222222222
foldbench_monomer,8eb9_A,2,cluster_oracle_vs_pooled,0.1830985915492957,0.2253521126760563,-0.04225352112676059
foldbench_monomer,8eb9_A,2,cluster_oracle_with_pooled_vs_pooled,0.2253521126760563,0.2253521126760563,0.0
foldbench_monomer,8eb9_A,2,cluster_oracle_vs_random_oracle,0.1830985915492957,0.2112676056338028,-0.028169014084507116
foldbench_monomer,8eb9_A,3,cluster_oracle_vs_pooled,0.2394366197183098,0.2253521126760563,0.014084507042253502
foldbench_monomer,8eb9_A,3,cluster_oracle_with_pooled_vs_pooled,0.2394366197183098,0.2253521126760563,0.014084507042253502
foldbench_monomer,8eb9_A,3,cluster_oracle_vs_random_oracle,0.2394366197183098,0.2112676056338028,0.028169014084506977
foldbench_monomer,8eb9_A,5,cluster_oracle_vs_pooled,0.2112676056338028,0.2253521126760563,-0.014084507042253475
foldbench_monomer,8eb9_A,5,cluster_oracle_with_pooled_vs_pooled,0.2253521126760563,0.2253521126760563,0.0
foldbench_monomer,8eb9_A,5,cluster_oracle_vs_random_oracle,0.2112676056338028,0.2253521126760563,-0.014084507042253475
foldbench_monomer,8eb9_A,10,cluster_oracle_vs_pooled,0.2253521126760563,0.2253521126760563,0.0
foldbench_monomer,8eb9_A,10,cluster_oracle_with_pooled_vs_pooled,0.2253521126760563,0.2253521126760563,0.0
foldbench_monomer,8eb9_A,10,cluster_oracle_vs_random_oracle,0.2253521126760563,0.2535211267605634,-0.028169014084507088
foldbench_monomer,8eb9_A,20,cluster_oracle_vs_pooled,0.2816901408450704,0.2253521126760563,0.05633802816901409
foldbench_monomer,8eb9_A,20,cluster_oracle_with_pooled_vs_pooled,0.2816901408450704,0.2253521126760563,0.05633802816901409
foldbench_monomer,8eb9_A,20,cluster_oracle_vs_random_oracle,0.2816901408450704,0.1408450704225352,0.1408450704225352
foldbench_monomer,7y8i_A,2,cluster_oracle_vs_pooled,0.8192771084337349,0.7951807228915663,0.02409638554216864
foldbench_monomer,7y8i_A,2,cluster_oracle_with_pooled_vs_pooled,0.8192771084337349,0.7951807228915663,0.02409638554216864
foldbench_monomer,7y8i_A,2,cluster_oracle_vs_random_oracle,0.8192771084337349,0.8072289156626506,0.012048192771084265
foldbench_monomer,7y8i_A,3,cluster_oracle_vs_pooled,0.8192771084337349,0.7951807228915663,0.02409638554216864
foldbench_monomer,7y8i_A,3,cluster_oracle_with_pooled_vs_pooled,0.8192771084337349,0.7951807228915663,0.02409638554216864
foldbench_monomer,7y8i_A,3,cluster_oracle_vs_random_oracle,0.8192771084337349,0.8072289156626506,0.012048192771084265
foldbench_monomer,7y8i_A,5,cluster_oracle_vs_pooled,0.8072289156626506,0.7951807228915663,0.012048192771084376
foldbench_monomer,7y8i_A,5,cluster_oracle_with_pooled_vs_pooled,0.8072289156626506,0.7951807228915663,0.012048192771084376
foldbench_monomer,7y8i_A,5,cluster_oracle_vs_random_oracle,0.8072289156626506,0.8313253012048193,-0.02409638554216864
foldbench_monomer,7y8i_A,10,cluster_oracle_vs_pooled,0.8192771084337349,0.7951807228915663,0.02409638554216864
foldbench_monomer,7y8i_A,10,cluster_oracle_with_pooled_vs_pooled,0.8192771084337349,0.7951807228915663,0.02409638554216864
foldbench_monomer,7y8i_A,10,cluster_oracle_vs_random_oracle,0.8192771084337349,0.8192771084337349,0.0
foldbench_monomer,7y8i_A,20,cluster_oracle_vs_pooled,0.8313253012048193,0.7951807228915663,0.03614457831325302
foldbench_monomer,7y8i_A,20,cluster_oracle_with_pooled_vs_pooled,0.8313253012048193,0.7951807228915663,0.03614457831325302
foldbench_monomer,7y8i_A,20,cluster_oracle_vs_random_oracle,0.8313253012048193,0.8192771084337349,0.012048192771084376
foldbench_monomer,7y54_A,2,cluster_oracle_vs_pooled,0.819047619047619,0.819047619047619,0.0
foldbench_monomer,7y54_A,2,cluster_oracle_with_pooled_vs_pooled,0.819047619047619,0.819047619047619,0.0
foldbench_monomer,7y54_A,2,cluster_oracle_vs_random_oracle,0.819047619047619,0.8095238095238095,0.00952380952380949
foldbench_monomer,7y54_A,3,cluster_oracle_vs_pooled,0.8095238095238095,0.819047619047619,-0.00952380952380949
foldbench_monomer,7y54_A,3,cluster_oracle_with_pooled_vs_pooled,0.819047619047619,0.819047619047619,0.0
foldbench_monomer,7y54_A,3,cluster_oracle_vs_random_oracle,0.8095238095238095,0.8095238095238095,0.0
foldbench_monomer,7y54_A,5,cluster_oracle_vs_pooled,0.8095238095238095,0.819047619047619,-0.00952380952380949
foldbench_monomer,7y54_A,5,cluster_oracle_with_pooled_vs_pooled,0.819047619047619,0.819047619047619,0.0
foldbench_monomer,7y54_A,5,cluster_oracle_vs_random_oracle,0.8095238095238095,0.8285714285714286,-0.01904761904761909
foldbench_monomer,7y54_A,10,cluster_oracle_vs_pooled,0.819047619047619,0.819047619047619,0.0
foldbench_monomer,7y54_A,10,cluster_oracle_with_pooled_vs_pooled,0.819047619047619,0.819047619047619,0.0
foldbench_monomer,7y54_A,10,cluster_oracle_vs_random_oracle,0.819047619047619,0.8095238095238095,0.00952380952380949
foldbench_monomer,7y54_A,20,cluster_oracle_vs_pooled,0.819047619047619,0.819047619047619,0.0
foldbench_monomer,7y54_A,20,cluster_oracle_with_pooled_vs_pooled,0.819047619047619,0.819047619047619,0.0
foldbench_monomer,7y54_A,20,cluster_oracle_vs_random_oracle,0.819047619047619,0.8095238095238095,0.00952380952380949
foldbench_monomer,7y8h_A,2,cluster_oracle_vs_pooled,0.7590361445783133,0.7469879518072289,0.012048192771084376
foldbench_monomer,7y8h_A,2,cluster_oracle_with_pooled_vs_pooled,0.7590361445783133,0.7469879518072289,0.012048192771084376
foldbench_monomer,7y8h_A,2,cluster_oracle_vs_random_oracle,0.7590361445783133,0.7469879518072289,0.012048192771084376
foldbench_monomer,7y8h_A,3,cluster_oracle_vs_pooled,0.8313253012048193,0.7469879518072289,0.08433734939759041
foldbench_monomer,7y8h_A,3,cluster_oracle_with_pooled_vs_pooled,0.8313253012048193,0.7469879518072289,0.08433734939759041
foldbench_monomer,7y8h_A,3,cluster_oracle_vs_random_oracle,0.8313253012048193,0.7951807228915663,0.03614457831325302
foldbench_monomer,7y8h_A,5,cluster_oracle_vs_pooled,0.8313253012048193,0.7469879518072289,0.08433734939759041
foldbench_monomer,7y8h_A,5,cluster_oracle_with_pooled_vs_pooled,0.8313253012048193,0.7469879518072289,0.08433734939759041
foldbench_monomer,7y8h_A,5,cluster_oracle_vs_random_oracle,0.8313253012048193,0.7710843373493976,0.06024096385542166
foldbench_monomer,7y8h_A,10,cluster_oracle_vs_pooled,0.8192771084337349,0.7469879518072289,0.07228915662650603
foldbench_monomer,7y8h_A,10,cluster_oracle_with_pooled_vs_pooled,0.8192771084337349,0.7469879518072289,0.07228915662650603
foldbench_monomer,7y8h_A,10,cluster_oracle_vs_random_oracle,0.8192771084337349,0.7831325301204819,0.03614457831325302
foldbench_monomer,7y8h_A,20,cluster_oracle_vs_pooled,0.8192771084337349,0.7469879518072289,0.07228915662650603
foldbench_monomer,7y8h_A,20,cluster_oracle_with_pooled_vs_pooled,0.8192771084337349,0.7469879518072289,0.07228915662650603
foldbench_monomer,7y8h_A,20,cluster_oracle_vs_random_oracle,0.8192771084337349,0.7831325301204819,0.03614457831325302
foldbench_monomer,7y5j_A,2,cluster_oracle_vs_pooled,0.7692307692307693,0.7692307692307693,0.0
foldbench_monomer,7y5j_A,2,cluster_oracle_with_pooled_vs_pooled,0.7692307692307693,0.7692307692307693,0.0
foldbench_monomer,7y5j_A,2,cluster_oracle_vs_random_oracle,0.7692307692307693,0.7692307692307693,0.0
foldbench_monomer,7y5j_A,3,cluster_oracle_vs_pooled,0.7692307692307693,0.7692307692307693,0.0
foldbench_monomer,7y5j_A,3,cluster_oracle_with_pooled_vs_pooled,0.7692307692307693,0.7692307692307693,0.0
foldbench_monomer,7y5j_A,3,cluster_oracle_vs_random_oracle,0.7692307692307693,0.7692307692307693,0.0
foldbench_monomer,7y5j_A,5,cluster_oracle_vs_pooled,0.7692307692307693,0.7692307692307693,0.0
foldbench_monomer,7y5j_A,5,cluster_oracle_with_pooled_vs_pooled,0.7692307692307693,0.7692307692307693,0.0
foldbench_monomer,7y5j_A,5,cluster_oracle_vs_random_oracle,0.7692307692307693,0.7802197802197802,-0.01098901098901095
foldbench_monomer,7y5j_A,10,cluster_oracle_vs_pooled,0.7582417582417582,0.7692307692307693,-0.010989010989011061
foldbench_monomer,7y5j_A,10,cluster_oracle_with_pooled_vs_pooled,0.7692307692307693,0.7692307692307693,0.0
foldbench_monomer,7y5j_A,10,cluster_oracle_vs_random_oracle,0.7582417582417582,0.7692307692307693,-0.010989010989011061
foldbench_monomer,7y5j_A,20,cluster_oracle_vs_pooled,0.7692307692307693,0.7692307692307693,0.0
foldbench_monomer,7y5j_A,20,cluster_oracle_with_pooled_vs_pooled,0.7692307692307693,0.7692307692307693,0.0
foldbench_monomer,7y5j_A,20,cluster_oracle_vs_random_oracle,0.7692307692307693,0.7582417582417582,0.010989010989011061
foldbench_monomer,7ykm_A,2,cluster_oracle_vs_pooled,0.7454545454545455,0.7454545454545455,0.0
foldbench_monomer,7ykm_A,2,cluster_oracle_with_pooled_vs_pooled,0.7454545454545455,0.7454545454545455,0.0
foldbench_monomer,7ykm_A,2,cluster_oracle_vs_random_oracle,0.7454545454545455,0.7818181818181819,-0.036363636363636376
foldbench_monomer,7ykm_A,3,cluster_oracle_vs_pooled,0.7818181818181819,0.7454545454545455,0.036363636363636376
foldbench_monomer,7ykm_A,3,cluster_oracle_with_pooled_vs_pooled,0.7818181818181819,0.7454545454545455,0.036363636363636376
foldbench_monomer,7ykm_A,3,cluster_oracle_vs_random_oracle,0.7818181818181819,0.7636363636363637,0.018181818181818188
foldbench_monomer,7ykm_A,5,cluster_oracle_vs_pooled,0.7636363636363637,0.7454545454545455,0.018181818181818188
foldbench_monomer,7ykm_A,5,cluster_oracle_with_pooled_vs_pooled,0.7636363636363637,0.7454545454545455,0.018181818181818188
foldbench_monomer,7ykm_A,5,cluster_oracle_vs_random_oracle,0.7636363636363637,0.7818181818181819,-0.018181818181818188
foldbench_monomer,7ykm_A,10,cluster_oracle_vs_pooled,0.7818181818181819,0.7454545454545455,0.036363636363636376
foldbench_monomer,7ykm_A,10,cluster_oracle_with_pooled_vs_pooled,0.7818181818181819,0.7454545454545455,0.036363636363636376
foldbench_monomer,7ykm_A,10,cluster_oracle_vs_random_oracle,0.7818181818181819,0.8,-0.018181818181818188
foldbench_monomer,7ykm_A,20,cluster_oracle_vs_pooled,0.8,0.7454545454545455,0.054545454545454564
foldbench_monomer,7ykm_A,20,cluster_oracle_with_pooled_vs_pooled,0.8,0.7454545454545455,0.054545454545454564
foldbench_monomer,7ykm_A,20,cluster_oracle_vs_random_oracle,0.8,0.7818181818181819,0.018181818181818188
foldbench_monomer,7y5r_A,2,cluster_oracle_vs_pooled,0.7835051546391752,0.7835051546391752,0.0
foldbench_monomer,7y5r_A,2,cluster_oracle_with_pooled_vs_pooled,0.7835051546391752,0.7835051546391752,0.0
foldbench_monomer,7y5r_A,2,cluster_oracle_vs_random_oracle,0.7835051546391752,0.7731958762886598,0.010309278350515427
foldbench_monomer,7y5r_A,3,cluster_oracle_vs_pooled,0.7835051546391752,0.7835051546391752,0.0
foldbench_monomer,7y5r_A,3,cluster_oracle_with_pooled_vs_pooled,0.7835051546391752,0.7835051546391752,0.0
foldbench_monomer,7y5r_A,3,cluster_oracle_vs_random_oracle,0.7835051546391752,0.7835051546391752,0.0
foldbench_monomer,7y5r_A,5,cluster_oracle_vs_pooled,0.7731958762886598,0.7835051546391752,-0.010309278350515427
foldbench_monomer,7y5r_A,5,cluster_oracle_with_pooled_vs_pooled,0.7835051546391752,0.7835051546391752,0.0
foldbench_monomer,7y5r_A,5,cluster_oracle_vs_random_oracle,0.7731958762886598,0.7731958762886598,0.0
foldbench_monomer,7y5r_A,10,cluster_oracle_vs_pooled,0.8041237113402062,0.7835051546391752,0.020618556701030966
foldbench_monomer,7y5r_A,10,cluster_oracle_with_pooled_vs_pooled,0.8041237113402062,0.7835051546391752,0.020618556701030966
foldbench_monomer,7y5r_A,10,cluster_oracle_vs_random_oracle,0.8041237113402062,0.7731958762886598,0.030927835051546393
foldbench_monomer,7y5r_A,20,cluster_oracle_vs_pooled,0.7731958762886598,0.7835051546391752,-0.010309278350515427
foldbench_monomer,7y5r_A,20,cluster_oracle_with_pooled_vs_pooled,0.7835051546391752,0.7835051546391752,0.0
foldbench_monomer,7y5r_A,20,cluster_oracle_vs_random_oracle,0.7731958762886598,0.8041237113402062,-0.030927835051546393
foldbench_monomer,7yug_A,2,cluster_oracle_vs_pooled,0.3191489361702128,0.351063829787234,-0.03191489361702121
foldbench_monomer,7yug_A,2,cluster_oracle_with_pooled_vs_pooled,0.351063829787234,0.351063829787234,0.0
foldbench_monomer,7yug_A,2,cluster_oracle_vs_random_oracle,0.3191489361702128,0.351063829787234,-0.03191489361702121
foldbench_monomer,7yug_A,3,cluster_oracle_vs_pooled,0.3723404255319149,0.351063829787234,0.021276595744680882
foldbench_monomer,7yug_A,3,cluster_oracle_with_pooled_vs_pooled,0.3723404255319149,0.351063829787234,0.021276595744680882
foldbench_monomer,7yug_A,3,cluster_oracle_vs_random_oracle,0.3723404255319149,0.3297872340425531,0.042553191489361764
foldbench_monomer,7yug_A,5,cluster_oracle_vs_pooled,0.3617021276595745,0.351063829787234,0.010638297872340496
foldbench_monomer,7yug_A,5,cluster_oracle_with_pooled_vs_pooled,0.3617021276595745,0.351063829787234,0.010638297872340496
foldbench_monomer,7yug_A,5,cluster_oracle_vs_random_oracle,0.3617021276595745,0.351063829787234,0.010638297872340496
foldbench_monomer,7yug_A,10,cluster_oracle_vs_pooled,0.3404255319148936,0.351063829787234,-0.010638297872340385
foldbench_monomer,7yug_A,10,cluster_oracle_with_pooled_vs_pooled,0.351063829787234,0.351063829787234,0.0
foldbench_monomer,7yug_A,10,cluster_oracle_vs_random_oracle,0.3404255319148936,0.3085106382978723,0.03191489361702132
foldbench_monomer,7yug_A,20,cluster_oracle_vs_pooled,0.3297872340425531,0.351063829787234,-0.021276595744680882
foldbench_monomer,7yug_A,20,cluster_oracle_with_pooled_vs_pooled,0.351063829787234,0.351063829787234,0.0
foldbench_monomer,7yug_A,20,cluster_oracle_vs_random_oracle,0.3297872340425531,0.3085106382978723,0.021276595744680826
foldbench_monomer,8bgb_A,2,cluster_oracle_vs_pooled,0.7821782178217822,0.7821782178217822,0.0
foldbench_monomer,8bgb_A,2,cluster_oracle_with_pooled_vs_pooled,0.7821782178217822,0.7821782178217822,0.0
foldbench_monomer,8bgb_A,2,cluster_oracle_vs_random_oracle,0.7821782178217822,0.7920792079207921,-0.00990099009900991
foldbench_monomer,8bgb_A,3,cluster_oracle_vs_pooled,0.7821782178217822,0.7821782178217822,0.0
foldbench_monomer,8bgb_A,3,cluster_oracle_with_pooled_vs_pooled,0.7821782178217822,0.7821782178217822,0.0
foldbench_monomer,8bgb_A,3,cluster_oracle_vs_random_oracle,0.7821782178217822,0.801980198019802,-0.01980198019801982
foldbench_monomer,8bgb_A,5,cluster_oracle_vs_pooled,0.7920792079207921,0.7821782178217822,0.00990099009900991
